state,scene,order,address,x,y,width,height,u,v,clut,kind,cache_slot,owner_source,char,physical_index,space_filler,next_x,overlap_with_next_px
slot1,load menu,565,0x801BEC74,212,48,12,12,60,24,0x7FC0,static,,,<S:188>,188,0,,0
slot1,load menu,566,0x801BEC0C,188,48,12,12,72,12,0x7FC2,static,,,<S:110>,110,0,,0
slot1,load menu,567,0x801BEBD8,158,48,6,12,52,0,0x7FC2,static,,,<S:18>,18,0,,0
slot1,load menu,568,0x801BEBA4,152,48,6,12,64,0,0x7FC0,static,,,<S:20>,20,0,,0
slot1,load menu,569,0x801BEB70,140,48,12,12,108,0,0x7FC0,static,,,<S:36>,36,0,,0
slot1,load menu,570,0x801BEB3C,134,48,6,12,52,0,0x7FC0,static,,,<S:16>,16,0,,0
slot1,load menu,571,0x801BEB08,128,48,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot1,load menu,572,0x801BEAD4,122,48,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot1,load menu,573,0x801BEAA0,116,48,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot1,load menu,574,0x801BEA6C,98,48,6,12,64,0,0x7FC0,static,,,<S:20>,20,0,,0
slot1,load menu,575,0x801BEA38,92,48,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot1,load menu,576,0x801BEA04,80,48,12,12,132,60,0x7FC2,static,,,<S:466>,466,0,,0
slot1,load menu,577,0x801BE9D0,56,48,12,12,48,0,0x7FC1,static,,,<S:17>,17,0,,0
slot1,load menu,595,0x801EFF20,164,120,12,12,52,224,0x7FC1,dynamic,17,36,세,,0,,0
slot1,load menu,596,0x801EFEEC,152,120,12,12,16,224,0x7FC0,dynamic,4,29,하,,0,,0
slot1,load menu,597,0x801EFEB8,140,120,12,12,52,224,0x7FC0,dynamic,16,214,택,,0,,0
slot1,load menu,598,0x801EFE84,128,120,12,12,40,224,0x7FC3,dynamic,15,106,선,,0,,0
slot1,load menu,599,0x801EFE1C,110,120,12,12,4,224,0x7FC2,dynamic,2,11,를,,0,,0
slot1,load menu,600,0x801EFDB4,86,120,12,12,40,224,0x7FC2,dynamic,14,39,이,,0,,0
slot1,load menu,601,0x801EFCB0,32,120,12,12,40,224,0x7FC1,dynamic,13,137,불,,0,,0
slot1,load menu,603,0x801EFF54,176,120,12,12,156,12,0x7FC2,static,,,<S:138>,138,0,,0
slot1,load menu,604,0x801EFE50,122,120,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,128,6
slot1,load menu,605,0x801EFDE8,98,120,12,12,168,12,0x7FC0,static,,,<S:140>,140,0,,0
slot1,load menu,606,0x801EFD80,74,120,12,12,12,24,0x7FC0,static,,,<S:172>,172,0,,0
slot1,load menu,607,0x801EFD4C,68,120,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,74,6
slot1,load menu,608,0x801EFD18,56,120,12,12,36,24,0x7FC3,static,,,<S:183>,183,0,,0
slot1,load menu,609,0x801EFCE4,44,120,12,12,228,12,0x7FC2,static,,,<S:162>,162,0,,0
slot2,story dialogue,652,0x801BF1DC,244,50,12,12,40,224,0x7FC1,dynamic,13,38,을,,0,,0
slot2,story dialogue,653,0x801BF1A8,232,50,12,12,28,224,0x7FC3,dynamic,11,75,꽃,,0,,0
slot2,story dialogue,654,0x801BF174,220,50,12,12,28,224,0x7FC2,dynamic,10,137,불,,0,,0
slot2,story dialogue,655,0x801BF10C,202,50,12,12,28,224,0x7FC0,dynamic,8,2,의,,0,,0
slot2,story dialogue,656,0x801BF0D8,190,50,12,12,16,224,0x7FC3,dynamic,7,24,인,,0,,0
slot2,story dialogue,657,0x801BF0A4,178,50,12,12,16,224,0x7FC2,dynamic,6,69,봉,,0,,0
slot2,story dialogue,658,0x801BF03C,160,50,12,12,16,224,0x7FC1,dynamic,5,25,는,,0,,0
slot2,story dialogue,659,0x801BF008,148,50,12,12,16,224,0x7FC0,dynamic,4,7,있,,0,,0
slot2,story dialogue,660,0x801BEFA0,130,50,12,12,28,224,0x7FC1,dynamic,9,1,에,,0,,0
slot2,story dialogue,661,0x801BEF6C,118,50,12,12,4,224,0x7FC3,dynamic,3,32,상,,0,,0
slot2,story dialogue,662,0x801BEF38,106,50,12,12,4,224,0x7FC1,dynamic,1,10,정,,0,,0
slot2,story dialogue,663,0x801BEED0,88,50,12,12,4,224,0x7FC0,dynamic,0,101,산,,0,,0
slot2,story dialogue,664,0x801BEE9C,76,50,12,12,64,224,0x7FC3,dynamic,23,114,온,,0,,0
slot2,story dialogue,665,0x801BEE68,64,50,12,12,64,224,0x7FC1,dynamic,21,8,시,,0,,0
slot2,story dialogue,666,0x801BEE00,46,50,12,12,28,224,0x7FC1,dynamic,9,1,에,,0,,0
slot2,story dialogue,667,0x801BEDCC,256,36,12,12,64,224,0x7FC0,dynamic,20,23,전,,0,,0
slot2,story dialogue,668,0x801BED64,238,36,12,12,52,224,0x7FC3,dynamic,19,4,그,,0,,0
slot2,story dialogue,669,0x801BECFC,220,36,12,12,4,224,0x7FC2,dynamic,2,14,만,,0,,0
slot2,story dialogue,670,0x801BECC8,208,36,12,12,40,224,0x7FC0,dynamic,12,16,지,,0,,0
slot2,story dialogue,671,0x801BEC94,196,36,12,12,52,224,0x7FC2,dynamic,18,29,하,,0,,0
slot2,story dialogue,672,0x801BEBF8,166,36,12,12,40,224,0x7FC0,dynamic,12,16,지,,0,,0
slot2,story dialogue,673,0x801BEBC4,154,36,12,12,40,224,0x7FC2,dynamic,14,39,이,,0,,0
slot2,story dialogue,674,0x801BEB5C,130,36,12,12,52,224,0x7FC1,dynamic,17,30,물,,0,,0
slot2,story dialogue,675,0x801BE9F0,58,36,12,12,64,224,0x7FC2,dynamic,22,33,장,,0,,0
slot2,story dialogue,677,0x801BF314,82,64,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,,0
slot2,story dialogue,678,0x801BF2E0,76,64,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,82,6
slot2,story dialogue,679,0x801BF2AC,70,64,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,76,6
slot2,story dialogue,680,0x801BF278,58,64,12,12,36,0,0x7FC2,static,,,<S:14>,14,0,,0
slot2,story dialogue,681,0x801BF244,46,64,12,12,36,0,0x7FC2,static,,,<S:14>,14,0,,0
slot2,story dialogue,682,0x801BF210,256,50,12,12,36,0,0x7FC2,static,,,<S:14>,14,0,,0
slot2,story dialogue,683,0x801BF140,214,50,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,220,6
slot2,story dialogue,684,0x801BF070,172,50,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,178,6
slot2,story dialogue,685,0x801BEFD4,142,50,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,148,6
slot2,story dialogue,686,0x801BEF04,100,50,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,106,6
slot2,story dialogue,687,0x801BEE34,58,50,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,64,6
slot2,story dialogue,688,0x801BED98,250,36,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,256,6
slot2,story dialogue,689,0x801BED30,232,36,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,238,6
slot2,story dialogue,690,0x801BEC60,190,36,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,196,6
slot2,story dialogue,691,0x801BEC2C,178,36,12,12,36,0,0x7FC2,static,,,<S:14>,14,0,,0
slot2,story dialogue,692,0x801BEB90,142,36,12,12,24,204,0x7FC2,static,,,<S:1438>,1438,0,,0
slot2,story dialogue,693,0x801BEB28,124,36,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,130,6
slot2,story dialogue,694,0x801BEAF4,112,36,12,12,36,0,0x7FC0,static,,,<S:12>,12,0,,0
slot2,story dialogue,695,0x801BEAC0,100,36,12,12,192,12,0x7FC0,static,,,<S:148>,148,0,,0
slot2,story dialogue,696,0x801BEA8C,88,36,12,12,192,12,0x7FC0,static,,,<S:148>,148,0,,0
slot2,story dialogue,697,0x801BEA58,82,36,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,88,6
slot2,story dialogue,698,0x801BEA24,70,36,12,12,48,120,0x7FC1,static,,,<S:857>,857,0,,0
slot2,story dialogue,699,0x801BE9BC,46,36,12,12,96,24,0x7FC0,static,,,<S:200>,200,0,,0
slot3,dialogue choice,702,0x801F0CE0,162,122,12,12,28,224,0x7FC3,dynamic,11,0,니,,0,,0
slot3,dialogue choice,703,0x801F0AA4,214,104,12,12,28,224,0x7FC3,dynamic,11,0,니,,0,,0
slot3,dialogue choice,704,0x801F0A08,178,104,12,12,64,224,0x7FC0,dynamic,20,8,시,,0,,0
slot3,dialogue choice,705,0x801F09D4,166,104,12,12,28,224,0x7FC2,dynamic,10,29,하,,0,,0
slot3,dialogue choice,706,0x801F096C,142,104,12,12,28,224,0x7FC1,dynamic,9,10,정,,0,,0
slot3,dialogue choice,707,0x801F0904,124,104,12,12,28,224,0x7FC0,dynamic,8,11,를,,0,,0
slot3,dialogue choice,708,0x801F089C,100,104,12,12,64,224,0x7FC3,dynamic,23,33,장,,0,,0
slot3,dialogue choice,709,0x801F0834,82,104,12,12,16,224,0x7FC2,dynamic,6,23,전,,0,,0
slot3,dialogue choice,710,0x801F07CC,64,104,12,12,16,224,0x7FC3,dynamic,7,65,투,,0,,0
slot3,dialogue choice,711,0x801F0798,52,104,12,12,16,224,0x7FC2,dynamic,6,23,전,,0,,0
slot3,dialogue choice,713,0x801F0D14,174,122,12,12,156,12,0x7FC2,static,,,<S:138>,138,0,,0
slot3,dialogue choice,714,0x801F0CAC,150,122,12,12,192,12,0x7FC0,static,,,<S:148>,148,0,,0
slot3,dialogue choice,715,0x801F0C78,144,122,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,150,6
slot3,dialogue choice,716,0x801F0C44,138,122,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,144,6
slot3,dialogue choice,717,0x801F0C10,132,122,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,138,6
slot3,dialogue choice,718,0x801F0BDC,126,122,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,132,6
slot3,dialogue choice,719,0x801F0BA8,120,122,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,126,6
slot3,dialogue choice,720,0x801F0B74,114,122,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,120,6
slot3,dialogue choice,721,0x801F0B40,102,122,12,12,84,24,0x7FC2,static,,,<S:198>,198,0,,0
slot3,dialogue choice,722,0x801F0B0C,238,104,12,12,132,144,0x7FC3,static,,,<S:1055>,1055,0,,0
slot3,dialogue choice,723,0x801F0AD8,226,104,12,12,72,12,0x7FC0,static,,,<S:108>,108,0,,0
slot3,dialogue choice,724,0x801F0A70,202,104,12,12,36,12,0x7FC0,static,,,<S:96>,96,0,,0
slot3,dialogue choice,725,0x801F0A3C,190,104,12,12,72,24,0x7FC3,static,,,<S:195>,195,0,,0
slot3,dialogue choice,726,0x801F09A0,154,104,12,12,24,84,0x7FC2,static,,,<S:598>,598,0,,0
slot3,dialogue choice,727,0x801F0938,136,104,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,142,6
slot3,dialogue choice,728,0x801F08D0,112,104,12,12,24,84,0x7FC2,static,,,<S:598>,598,0,,0
slot3,dialogue choice,729,0x801F0868,94,104,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,100,6
slot3,dialogue choice,730,0x801F0800,76,104,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,82,6
slot4,status/skill UI,538,0x801BF35C,86,210,6,12,52,0,0x7FC2,static,,,<S:18>,18,0,,0
slot4,status/skill UI,539,0x801BF328,80,210,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,540,0x801BF2F4,42,210,6,12,52,0,0x7FC1,static,,,<S:17>,17,0,,0
slot4,status/skill UI,541,0x801BF2C0,36,210,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,542,0x801BF28C,86,194,6,12,52,0,0x7FC2,static,,,<S:18>,18,0,,0
slot4,status/skill UI,543,0x801BF258,80,194,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,544,0x801BF224,42,194,6,12,52,0,0x7FC1,static,,,<S:17>,17,0,,0
slot4,status/skill UI,545,0x801BF1F0,36,194,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,546,0x801BF1BC,96,178,6,12,52,0,0x7FC0,static,,,<S:16>,16,0,,0
slot4,status/skill UI,547,0x801BF188,90,178,6,12,52,0,0x7FC0,static,,,<S:16>,16,0,,0
slot4,status/skill UI,548,0x801BF154,84,178,6,12,64,0,0x7FC3,static,,,<S:23>,23,0,,0
slot4,status/skill UI,549,0x801BF120,78,178,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,550,0x801BF0EC,72,178,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,551,0x801BF0B8,66,178,6,12,40,0,0x7FC3,static,,,<S:15>,15,0,,0
slot4,status/skill UI,552,0x801BF084,60,178,6,12,52,0,0x7FC2,static,,,<S:18>,18,0,,0
slot4,status/skill UI,553,0x801BF050,54,178,6,12,64,0,0x7FC2,static,,,<S:22>,22,0,,0
slot4,status/skill UI,554,0x801BF01C,48,178,6,12,52,0,0x7FC2,static,,,<S:18>,18,0,,0
slot4,status/skill UI,555,0x801BEFE8,42,178,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,556,0x801BEFB4,36,178,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,557,0x801BEF80,86,98,6,12,52,0,0x7FC3,static,,,<S:19>,19,0,,0
slot4,status/skill UI,558,0x801BEF4C,80,98,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,559,0x801BEF18,86,162,6,12,52,0,0x7FC3,static,,,<S:19>,19,0,,0
slot4,status/skill UI,560,0x801BEEE4,80,162,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,561,0x801BEEB0,42,162,6,12,64,0,0x7FC3,static,,,<S:23>,23,0,,0
slot4,status/skill UI,562,0x801BEE7C,36,162,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,563,0x801BEE48,86,146,6,12,64,0,0x7FC3,static,,,<S:23>,23,0,,0
slot4,status/skill UI,564,0x801BEE14,80,146,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,565,0x801BEDE0,42,146,6,12,76,0,0x7FC1,static,,,<S:25>,25,0,,0
slot4,status/skill UI,566,0x801BEDAC,36,146,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,567,0x801BED78,72,130,6,12,64,0,0x7FC3,static,,,<S:23>,23,0,,0
slot4,status/skill UI,568,0x801BED44,66,130,6,12,52,0,0x7FC2,static,,,<S:18>,18,0,,0
slot4,status/skill UI,569,0x801BED10,60,130,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,570,0x801BECDC,54,130,6,12,40,0,0x7FC3,static,,,<S:15>,15,0,,0
slot4,status/skill UI,571,0x801BECA8,48,130,6,12,64,0,0x7FC3,static,,,<S:23>,23,0,,0
slot4,status/skill UI,572,0x801BEC74,42,130,6,12,52,0,0x7FC2,static,,,<S:18>,18,0,,0
slot4,status/skill UI,573,0x801BEC40,36,130,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,574,0x801BEC0C,72,114,6,12,76,0,0x7FC0,static,,,<S:24>,24,0,,0
slot4,status/skill UI,575,0x801BEBD8,66,114,6,12,64,0,0x7FC0,static,,,<S:20>,20,0,,0
slot4,status/skill UI,576,0x801BEBA4,60,114,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,577,0x801BEB70,54,114,6,12,40,0,0x7FC3,static,,,<S:15>,15,0,,0
slot4,status/skill UI,578,0x801BEB3C,48,114,6,12,76,0,0x7FC0,static,,,<S:24>,24,0,,0
slot4,status/skill UI,579,0x801BEB08,42,114,6,12,64,0,0x7FC0,static,,,<S:20>,20,0,,0
slot4,status/skill UI,580,0x801BEAD4,36,114,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,581,0x801BEAA0,48,98,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot4,status/skill UI,582,0x801BEA6C,42,98,6,12,64,0,0x7FC0,static,,,<S:20>,20,0,,0
slot4,status/skill UI,583,0x801BEA38,36,98,6,12,52,0,0x7FC1,static,,,<S:17>,17,0,,0
slot4,status/skill UI,584,0x801BEA04,32,82,12,12,216,12,0x7FC1,static,,,<S:157>,157,0,,0
slot4,status/skill UI,585,0x801BE9D0,20,82,12,12,192,12,0x7FC0,static,,,<S:148>,148,0,,0
slot4,status/skill UI,635,0x801F1AF0,134,65,12,12,4,224,0x7FC2,dynamic,2,43,저,,0,,0
slot4,status/skill UI,636,0x801F1ABC,122,65,12,12,4,224,0x7FC1,dynamic,1,39,이,,0,,0
slot4,status/skill UI,637,0x801F1A88,110,65,12,12,4,224,0x7FC0,dynamic,0,117,카,,0,,0
slot4,status/skill UI,639,0x801F1BC0,176,65,12,12,72,96,0x7FC3,static,,,<S:699>,699,0,,0
slot4,status/skill UI,640,0x801F1B8C,164,65,12,12,228,12,0x7FC2,static,,,<S:162>,162,0,,0
slot4,status/skill UI,641,0x801F1B58,152,65,12,12,132,96,0x7FC0,static,,,<S:716>,716,0,,0
slot4,status/skill UI,642,0x801F1B24,146,65,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,152,6
slot4,status/skill UI,660,0x801EFD80,130,116,12,12,64,224,0x7FC3,dynamic,23,116,레,,0,,0
slot4,status/skill UI,661,0x801EFCE4,100,116,12,12,4,224,0x7FC3,dynamic,3,16,지,,0,,0
slot4,status/skill UI,663,0x801EFE50,172,116,12,12,48,0,0x7FC1,static,,,<S:17>,17,0,,0
slot4,status/skill UI,664,0x801EFE1C,160,116,12,12,24,0,0x7FC3,static,,,<S:11>,11,0,,0
slot4,status/skill UI,665,0x801EFDE8,154,116,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,160,6
slot4,status/skill UI,666,0x801EFDB4,142,116,12,12,132,204,0x7FC1,static,,,<S:1473>,1473,0,,0
slot4,status/skill UI,667,0x801EFD4C,124,116,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,130,6
slot4,status/skill UI,668,0x801EFD18,112,116,12,12,60,12,0x7FC0,static,,,<S:104>,104,0,,0
slot4,status/skill UI,669,0x801EFCB0,88,116,12,12,120,60,0x7FC0,static,,,<S:460>,460,0,,0
slot5,item name: 마력의 잎,724,0x801F1B44,130,149,12,12,28,224,0x7FC2,dynamic,10,185,잎,,0,,0
slot5,item name: 마력의 잎,725,0x801F1ADC,112,149,12,12,4,224,0x7FC0,dynamic,0,2,의,,0,,0
slot5,item name: 마력의 잎,726,0x801F1AA8,100,149,12,12,16,224,0x7FC2,dynamic,6,49,력,,0,,0
slot5,item name: 마력의 잎,727,0x801F1A74,88,149,12,12,16,224,0x7FC1,dynamic,5,37,마,,0,,0
slot5,item name: 마력의 잎,729,0x801F1BE0,154,149,6,12,52,0,0x7FC1,static,,,<S:17>,17,0,,0
slot5,item name: 마력의 잎,730,0x801F1BAC,148,149,6,12,52,0,0x7FC0,static,,,<S:16>,16,0,,0
slot5,item name: 마력의 잎,731,0x801F1B78,142,149,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot5,item name: 마력의 잎,732,0x801F1B10,124,149,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,130,6
slot6,item name: 쓴 잎,724,0x801F1AF0,86,169,12,12,28,224,0x7FC2,dynamic,10,185,잎,,0,,0
slot6,item name: 쓴 잎,725,0x801F1A88,68,169,12,12,4,224,0x7FC1,dynamic,1,266,쓴,,0,,0
slot6,item name: 쓴 잎,727,0x801F1B8C,110,169,6,12,52,0,0x7FC1,static,,,<S:17>,17,0,,0
slot6,item name: 쓴 잎,728,0x801F1B58,104,169,6,12,52,0,0x7FC0,static,,,<S:16>,16,0,,0
slot6,item name: 쓴 잎,729,0x801F1B24,98,169,6,12,4,0,0x7FC0,static,,,<S:0>,0,0,,0
slot6,item name: 쓴 잎,730,0x801F1ABC,80,169,12,12,204,12,0x7FC3,static,,,<S:155>,155,1,86,6
