행번호,파일,오프셋,칸,칸 바이트,빈 슬롯,원문,지금 화면,출처,수정제안,제안 바이트,상태
54,6/S6014.DAT,0x46E86,1,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
55,6/S6054.DAT,0x454DC,0,4,0,150人,???,CSV,150,3,제자리
56,6/S6054.DAT,0x454DC,1,4,0,200人,???,CSV,200,3,제자리
57,6/S6054.DAT,0x454DC,2,4,0,250人,???,CSV,250,3,제자리
58,7/S7011.DAT,0x47DD4,3,10,71,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
59,7/S7011.DAT,0x47E2C,3,10,71,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
60,7/S7011.DAT,0x47E86,1,10,71,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
61,7/S7012.DAT,0x46DD4,3,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
62,7/S7012.DAT,0x46E2C,3,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
63,7/S7012.DAT,0x46E86,1,10,0,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
64,8/S8011.DAT,0x47DD4,3,10,74,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
65,8/S8011.DAT,0x47E2C,3,10,74,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
66,8/S8011.DAT,0x47E86,1,10,74,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
67,8/S8012.DAT,0x47DD4,3,10,69,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
68,8/S8012.DAT,0x47E2C,3,10,69,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
69,8/S8012.DAT,0x47E86,1,10,69,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
70,8/S8013.DAT,0x46DD4,3,10,18,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
71,8/S8013.DAT,0x46E2C,3,10,18,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
72,8/S8013.DAT,0x46E86,1,10,18,解い装ま火,?????·,,,,원문이 노이즈 - 손대지 말 것
73,C2/SC0B6.DAT,0x47838,0,7,0,幻のこて,??????,CSV,환상의 건틀릿,11,슬롯 없음 - 더 줄여야 함
