char,virtual_code_hex,physical_code_hex,physical_index,row,column,plane,source_x,source_y,provenance
면,E9 5C,E1 5C,1331,15,17,3,204,180,v41_preserved
멸,E9 5D,E1 5D,1332,15,18,0,216,180,v41_preserved
명,E9 5E,E1 5E,1333,15,18,1,216,180,v41_preserved
모,E9 5F,E1 5F,1334,15,18,2,216,180,v41_preserved
목,E9 60,E1 60,1335,15,18,3,216,180,v41_preserved
몬,E9 61,E1 61,1336,15,19,0,228,180,v41_preserved
몸,E9 62,E1 62,1337,15,19,1,228,180,v41_preserved
못,E9 63,E1 63,1338,15,19,2,228,180,v41_preserved
무,E9 64,E1 64,1339,15,19,3,228,180,v41_preserved
문,E9 65,E1 65,1340,15,20,0,240,180,v41_preserved
물,E9 66,E1 66,1341,15,20,1,240,180,v41_preserved
미,E9 67,E1 67,1342,15,20,2,240,180,v41_preserved
민,E9 68,E1 68,1343,15,20,3,240,180,v41_preserved
밀,E9 69,E1 69,1344,16,0,0,0,192,v41_preserved
바,E9 6A,E1 6A,1345,16,0,1,0,192,v41_preserved
반,E9 6B,E1 6B,1346,16,0,2,0,192,v41_preserved
받,E9 6C,E1 6C,1347,16,0,3,0,192,v41_preserved
발,E9 6D,E1 6D,1348,16,1,0,12,192,v41_preserved
방,E9 6E,E1 6E,1349,16,1,1,12,192,v41_preserved
배,E9 6F,E1 6F,1350,16,1,2,12,192,v41_preserved
뱀,E9 70,E1 70,1351,16,1,3,12,192,v41_preserved
번,E9 71,E1 71,1352,16,2,0,24,192,v41_preserved
범,E9 72,E1 72,1353,16,2,1,24,192,v41_preserved
법,E9 73,E1 73,1354,16,2,2,24,192,v41_preserved
변,E9 74,E1 74,1355,16,2,3,24,192,v41_preserved
별,E9 75,E1 75,1356,16,3,0,36,192,v41_preserved
병,E9 76,E1 76,1357,16,3,1,36,192,v41_preserved
보,E9 77,E1 77,1358,16,3,2,36,192,v41_preserved
복,E9 78,E1 78,1359,16,3,3,36,192,v41_preserved
본,E9 79,E1 79,1360,16,4,0,48,192,v41_preserved
봉,E9 7A,E1 7A,1361,16,4,1,48,192,v41_preserved
부,E9 7B,E1 7B,1362,16,4,2,48,192,v41_preserved
북,E9 7C,E1 7C,1363,16,4,3,48,192,v41_preserved
분,E9 7D,E1 7D,1364,16,5,0,60,192,v41_preserved
불,E9 7E,E1 7E,1365,16,5,1,60,192,v41_preserved
브,E9 7F,E1 7F,1366,16,5,2,60,192,v41_preserved
비,E9 80,E1 80,1367,16,5,3,60,192,v41_preserved
빌,E9 81,E1 81,1368,16,6,0,72,192,v41_preserved
빨,E9 82,E1 82,1369,16,6,1,72,192,v41_preserved
사,E9 83,E1 83,1370,16,6,2,72,192,v41_preserved
산,E9 84,E1 84,1371,16,6,3,72,192,v41_preserved
상,E9 85,E1 85,1372,16,7,0,84,192,v41_preserved
새,E9 86,E1 86,1373,16,7,1,84,192,v41_preserved
생,E9 87,E1 87,1374,16,7,2,84,192,v41_preserved
서,E9 88,E1 88,1375,16,7,3,84,192,v41_preserved
선,E9 89,E1 89,1376,16,8,0,96,192,v41_preserved
성,E9 8A,E1 8A,1377,16,8,1,96,192,v41_preserved
센,E9 8B,E1 8B,1378,16,8,2,96,192,v41_preserved
소,E9 8C,E1 8C,1379,16,8,3,96,192,v41_preserved
수,E9 8D,E1 8D,1380,16,9,0,108,192,v41_preserved
숲,E9 8E,E1 8E,1381,16,9,1,108,192,v41_preserved
슈,E9 8F,E1 8F,1382,16,9,2,108,192,v41_preserved
스,E9 90,E1 90,1383,16,9,3,108,192,v41_preserved
슬,E9 91,E1 91,1384,16,10,0,120,192,v41_preserved
승,E9 92,E1 92,1385,16,10,1,120,192,v41_preserved
시,E9 93,E1 93,1386,16,10,2,120,192,v41_preserved
식,E9 94,E1 94,1387,16,10,3,120,192,v41_preserved
신,E9 95,E1 95,1388,16,11,0,132,192,v41_preserved
실,E9 96,E1 96,1389,16,11,1,132,192,v41_preserved
심,E9 97,E1 97,1390,16,11,2,132,192,v41_preserved
쓰,E9 98,E1 98,1391,16,11,3,132,192,v41_preserved
쓴,E9 99,E1 99,1392,16,12,0,144,192,v41_preserved
아,E9 9A,E1 9A,1393,16,12,1,144,192,v41_preserved
악,E9 9B,E1 9B,1394,16,12,2,144,192,v41_preserved
안,E9 9C,E1 9C,1395,16,12,3,144,192,v41_preserved
애,E9 9D,E1 9D,1396,16,13,0,156,192,v41_preserved
야,E9 9E,E1 9E,1397,16,13,1,156,192,v41_preserved
약,E9 9F,E1 9F,1398,16,13,2,156,192,v41_preserved
양,E9 A0,E1 A0,1399,16,13,3,156,192,v41_preserved
어,E9 A1,E1 A1,1400,16,14,0,168,192,v41_preserved
언,E9 A2,E1 A2,1401,16,14,1,168,192,v41_preserved
없,E9 A3,E1 A3,1402,16,14,2,168,192,v41_preserved
에,E9 A4,E1 A4,1403,16,14,3,168,192,v41_preserved
여,E9 A5,E1 A5,1404,16,15,0,180,192,v41_preserved
연,E9 A6,E1 A6,1405,16,15,1,180,192,v41_preserved
열,E9 A7,E1 A7,1406,16,15,2,180,192,v41_preserved
오,E9 A8,E1 A8,1407,16,15,3,180,192,v41_preserved
옥,E9 A9,E1 A9,1408,16,16,0,192,192,v41_preserved
올,E9 AA,E1 AA,1409,16,16,1,192,192,v41_preserved
옷,E9 AB,E1 AB,1410,16,16,2,192,192,v41_preserved
와,E9 AC,E1 AC,1411,16,16,3,192,192,v41_preserved
왕,E9 AD,E1 AD,1412,16,17,0,204,192,v41_preserved
외,E9 AE,E1 AE,1413,16,17,1,204,192,v41_preserved
요,E9 AF,E1 AF,1414,16,17,2,204,192,v41_preserved
용,E9 B0,E1 B0,1415,16,17,3,204,192,v41_preserved
우,E9 B1,E1 B1,1416,16,18,0,216,192,v41_preserved
운,E9 B2,E1 B2,1417,16,18,1,216,192,v41_preserved
울,E9 B3,E1 B3,1418,16,18,2,216,192,v41_preserved
워,E9 B4,E1 B4,1419,16,18,3,216,192,v41_preserved
원,E9 B5,E1 B5,1420,16,19,0,228,192,v41_preserved
위,E9 B6,E1 B6,1421,16,19,1,228,192,v41_preserved
유,E9 B7,E1 B7,1422,16,19,2,228,192,v41_preserved
율,E9 B8,E1 B8,1423,16,19,3,228,192,v41_preserved
으,E9 B9,E1 B9,1424,16,20,0,240,192,v41_preserved
은,E9 BA,E1 BA,1425,16,20,1,240,192,v41_preserved
을,E9 BB,E1 BB,1426,16,20,2,240,192,v41_preserved
음,E9 BC,E1 BC,1427,16,20,3,240,192,v41_preserved
의,E9 BD,E1 F1,1480,17,13,0,156,204,v41_preserved
이,E9 BE,E1 F2,1481,17,13,1,156,204,v41_preserved
인,E9 BF,E1 F3,1482,17,13,2,156,204,v41_preserved
일,E9 C0,E1 F4,1483,17,13,3,156,204,v41_preserved
임,E9 C1,E1 F5,1484,17,14,0,168,204,v41_preserved
입,E9 C2,E1 F6,1485,17,14,1,168,204,v41_preserved
자,E9 C3,E1 F7,1486,17,14,2,168,204,v41_preserved
작,E9 C4,E1 F8,1487,17,14,3,168,204,v41_preserved
잠,E9 C5,E1 F9,1488,17,15,0,180,204,v41_preserved
잡,E9 C6,E1 FA,1489,17,15,1,180,204,v41_preserved
장,E9 C7,E1 FB,1490,17,15,2,180,204,v41_preserved
저,E9 C8,E1 FC,1491,17,15,3,180,204,v41_preserved
적,E9 C9,E1 FD,1492,17,16,0,192,204,v41_preserved
전,E9 CA,E1 FE,1493,17,16,1,192,204,v41_preserved
절,E9 CB,E2 01,1495,17,16,3,192,204,v41_preserved
점,E9 CC,E2 02,1496,17,17,0,204,204,v41_preserved
정,E9 CD,E2 03,1497,17,17,1,204,204,v41_preserved
제,E9 CE,E2 04,1498,17,17,2,204,204,v41_preserved
져,E9 CF,E2 05,1499,17,17,3,204,204,v41_preserved
조,E9 D0,E2 06,1500,17,18,0,216,204,v41_preserved
족,E9 D1,E2 07,1501,17,18,1,216,204,v41_preserved
좀,E9 D2,E2 08,1502,17,18,2,216,204,v41_preserved
좋,E9 D3,E2 09,1503,17,18,3,216,204,v41_preserved
주,E9 D4,E2 0A,1504,17,19,0,228,204,v41_preserved
죽,E9 D5,E2 0B,1505,17,19,1,228,204,v41_preserved
줄,E9 D6,E2 0C,1506,17,19,2,228,204,v41_preserved
중,E9 D7,E2 0D,1507,17,19,3,228,204,v41_preserved
증,E9 D8,E2 0E,1508,17,20,0,240,204,v41_preserved
지,E9 D9,E2 0F,1509,17,20,1,240,204,v41_preserved
직,E9 DA,E2 10,1510,17,20,2,240,204,v41_preserved
진,E9 DB,E2 11,1511,17,20,3,240,204,v41_preserved
질,E9 DC,E2 46,1564,18,13,0,156,216,v41_preserved
집,E9 DD,E2 47,1565,18,13,1,156,216,v41_preserved
찌,E9 DE,E2 48,1566,18,13,2,156,216,v41_preserved
차,E9 DF,E2 49,1567,18,13,3,156,216,v41_preserved
천,E9 E0,E2 4A,1568,18,14,0,168,216,v41_preserved
첩,E9 E1,E2 4B,1569,18,14,1,168,216,v41_preserved
체,E9 E2,E2 4C,1570,18,14,2,168,216,v41_preserved
초,E9 E3,E2 4D,1571,18,14,3,168,216,v41_preserved
촌,E9 E4,E2 4E,1572,18,15,0,180,216,v41_preserved
최,E9 E5,E2 4F,1573,18,15,1,180,216,v41_preserved
치,E9 E6,E2 50,1574,18,15,2,180,216,v41_preserved
침,E9 E7,E2 51,1575,18,15,3,180,216,v41_preserved
카,E9 E8,E2 52,1576,18,16,0,192,216,v41_preserved
케,E9 E9,E2 53,1577,18,16,1,192,216,v41_preserved
코,E9 EA,E2 54,1578,18,16,2,192,216,v41_preserved
쿠,E9 EB,E2 55,1579,18,16,3,192,216,v41_preserved
크,E9 EC,E2 56,1580,18,17,0,204,216,v41_preserved
큰,E9 ED,E2 57,1581,18,17,1,204,216,v41_preserved
키,E9 EE,E2 58,1582,18,17,2,204,216,v41_preserved
킬,E9 EF,E2 59,1583,18,17,3,204,216,v41_preserved
타,E9 F0,E2 5A,1584,18,18,0,216,216,v41_preserved
탑,E9 F1,E2 5B,1585,18,18,1,216,216,v41_preserved
태,E9 F2,E2 5C,1586,18,18,2,216,216,v41_preserved
터,E9 F3,E2 5D,1587,18,18,3,216,216,v41_preserved
토,E9 F4,E2 5E,1588,18,19,0,228,216,v41_preserved
투,E9 F5,E2 5F,1589,18,19,1,228,216,v41_preserved
트,E9 F6,E2 60,1590,18,19,2,228,216,v41_preserved
틀,E9 F7,E2 61,1591,18,19,3,228,216,v41_preserved
파,E9 F8,E2 62,1592,18,20,0,240,216,v41_preserved
판,E9 F9,E2 63,1593,18,20,1,240,216,v41_preserved
팔,E9 FA,E2 64,1594,18,20,2,240,216,v41_preserved
퍼,E9 FB,E2 65,1595,18,20,3,240,216,v41_preserved
편,E9 FC,E2 86,1628,19,8,0,96,228,v41_preserved
평,E9 FD,E2 87,1629,19,8,1,96,228,v41_preserved
포,E9 FE,E2 88,1630,19,8,2,96,228,v41_preserved
폭,EA 01,E2 89,1631,19,8,3,96,228,v41_preserved
풀,EA 02,E2 8A,1632,19,9,0,108,228,v41_preserved
풍,EA 03,E2 8B,1633,19,9,1,108,228,v41_preserved
프,EA 04,E2 8C,1634,19,9,2,108,228,v41_preserved
플,EA 05,E2 8D,1635,19,9,3,108,228,v41_preserved
피,EA 06,E2 8E,1636,19,10,0,120,228,v41_preserved
하,EA 07,E2 8F,1637,19,10,1,120,228,v41_preserved
한,EA 08,E2 90,1638,19,10,2,120,228,v41_preserved
함,EA 09,E2 91,1639,19,10,3,120,228,v41_preserved
합,EA 0A,E2 92,1640,19,11,0,132,228,v41_preserved
항,EA 0B,E2 93,1641,19,11,1,132,228,v41_preserved
해,EA 0C,E2 94,1642,19,11,2,132,228,v41_preserved
행,EA 0D,E2 95,1643,19,11,3,132,228,v41_preserved
향,EA 0E,E2 96,1644,19,12,0,144,228,v41_preserved
허,EA 0F,E2 97,1645,19,12,1,144,228,v41_preserved
험,EA 10,E2 98,1646,19,12,2,144,228,v41_preserved
헤,EA 11,E2 99,1647,19,12,3,144,228,v41_preserved
화,EA 12,E2 9A,1648,19,13,0,156,228,v41_preserved
확,EA 13,E2 9B,1649,19,13,1,156,228,v41_preserved
활,EA 14,E2 9C,1650,19,13,2,156,228,v41_preserved
황,EA 15,E2 9D,1651,19,13,3,156,228,v41_preserved
회,EA 16,E2 9E,1652,19,14,0,168,228,v41_preserved
후,EA 17,E2 9F,1653,19,14,1,168,228,v41_preserved
힘,EA 18,E2 A0,1654,19,14,2,168,228,v41_preserved
갈,EA 19,E2 00,1494,17,16,2,192,204,v42_sparse_extension
개,EA 1A,E2 A1,1655,19,14,3,168,228,v42_sparse_extension
갯,EA 1B,E2 AA,1282,15,5,2,60,180,v71_preserved_runtime_mapping
겐,EA 1C,E2 AB,1286,15,6,2,72,180,v71_preserved_runtime_mapping
곤,EA 1D,E2 AC,1300,15,10,0,120,180,v71_preserved_runtime_mapping
골,EA 1E,E2 AD,1311,15,12,3,144,180,v71_preserved_runtime_mapping
귀,EA 1F,E2 AE,1240,14,16,0,192,168,v71_preserved_runtime_mapping
극,EA 20,E2 AF,1241,14,16,1,192,168,v71_preserved_runtime_mapping
껍,EA 21,E2 B0,1242,14,16,2,192,168,v71_preserved_runtime_mapping
끈,EA 22,E2 B1,1243,14,16,3,192,168,v71_preserved_runtime_mapping
낫,EA 23,E2 B2,1244,14,17,0,204,168,v71_preserved_runtime_mapping
냉,EA 24,E2 B3,1245,14,17,1,204,168,v71_preserved_runtime_mapping
네,EA 25,E2 B4,1246,14,17,2,204,168,v71_preserved_runtime_mapping
뇌,EA 26,E2 B5,1247,14,17,3,204,168,v71_preserved_runtime_mapping
능,EA 27,E2 B6,1676,19,20,0,240,228,v42_sparse_extension
닷,EA 28,E2 B7,1677,19,20,1,240,228,v42_sparse_extension
덴,EA 29,E2 B8,1678,19,20,2,240,228,v42_sparse_extension
독,EA 2A,E2 B9,1679,19,20,3,240,228,v42_sparse_extension
둔,EA 2B,E2 DA,1712,20,8,0,96,240,v42_sparse_extension
득,EA 2C,E2 DB,1713,20,8,1,96,240,v42_sparse_extension
듦,EA 2D,E2 DC,1714,20,8,2,96,240,v42_sparse_extension
띄,EA 2E,E2 DD,1715,20,8,3,96,240,v42_sparse_extension
띠,EA 2F,E2 DE,1716,20,9,0,108,240,v42_sparse_extension
락,EA 30,E2 DF,1717,20,9,1,108,240,v42_sparse_extension
랑,EA 31,E2 E0,1718,20,9,2,108,240,v42_sparse_extension
랙,EA 32,E2 E1,1719,20,9,3,108,240,v42_sparse_extension
랩,EA 33,E2 E2,1720,20,10,0,120,240,v42_sparse_extension
렉,EA 34,E2 E3,1721,20,10,1,120,240,v42_sparse_extension
렘,EA 35,E2 E4,1722,20,10,2,120,240,v42_sparse_extension
렛,EA 36,E2 E5,1723,20,10,3,120,240,v42_sparse_extension
렬,EA 37,E2 E6,1724,20,11,0,132,240,v42_sparse_extension
롭,EA 38,E2 E7,1725,20,11,1,132,240,v42_sparse_extension
뢰,EA 39,E2 E8,1726,20,11,2,132,240,v42_sparse_extension
룬,EA 3A,E2 E9,1727,20,11,3,132,240,v42_sparse_extension
률,EA 3B,E2 EA,1728,20,12,0,144,240,v42_sparse_extension
링,EA 3C,E2 EB,1729,20,12,1,144,240,v42_sparse_extension
맨,EA 3D,E2 EC,1730,20,12,2,144,240,v42_sparse_extension
멘,EA 3E,E2 ED,1731,20,12,3,144,240,v42_sparse_extension
묵,EA 3F,E2 EE,1732,20,13,0,156,240,v42_sparse_extension
박,EA 40,E2 EF,1733,20,13,1,156,240,v42_sparse_extension
벌,EA 41,E2 F0,1734,20,13,2,156,240,v42_sparse_extension
베,EA 42,E2 F1,1735,20,13,3,156,240,v42_sparse_extension
벨,EA 43,E2 F2,1736,20,14,0,168,240,v42_sparse_extension
벽,EA 44,E2 F3,1737,20,14,1,168,240,v42_sparse_extension
붕,EA 45,E2 F4,1738,20,14,2,168,240,v42_sparse_extension
뷰,EA 46,E2 F5,1739,20,14,3,168,240,v42_sparse_extension
블,EA 47,E2 F6,1740,20,15,0,180,240,v42_sparse_extension
빙,EA 48,E2 F7,1741,20,15,1,180,240,v42_sparse_extension
뿔,EA 49,E2 F8,1742,20,15,2,180,240,v42_sparse_extension
살,EA 4A,E2 F9,1743,20,15,3,180,240,v42_sparse_extension
샘,EA 4B,E2 FA,1744,20,16,0,192,240,v42_sparse_extension
샤,EA 4C,E2 FB,1745,20,16,1,192,240,v42_sparse_extension
샬,EA 4D,E2 FC,1746,20,16,2,192,240,v42_sparse_extension
석,EA 4E,E2 FD,1747,20,16,3,192,240,v42_sparse_extension
섬,EA 4F,E2 FE,1748,20,17,0,204,240,v42_sparse_extension
셔,EA 50,E3 00,1749,20,17,1,204,240,v42_sparse_extension
션,EA 51,E3 01,1750,20,17,2,204,240,v42_sparse_extension
속,EA 52,E3 02,1751,20,17,3,204,240,v42_sparse_extension
순,EA 53,E3 03,1752,20,18,0,216,240,v42_sparse_extension
술,EA 54,E3 04,1753,20,18,1,216,240,v42_sparse_extension
싱,EA 55,E3 05,1754,20,18,2,216,240,v42_sparse_extension
썬,EA 56,E3 06,1755,20,18,3,216,240,v42_sparse_extension
알,EA 57,E3 07,1756,20,19,0,228,240,v42_sparse_extension
암,EA 58,E3 08,1757,20,19,1,228,240,v42_sparse_extension
압,EA 59,E3 09,1758,20,19,2,228,240,v42_sparse_extension
앞,EA 5A,E3 0A,1759,20,19,3,228,240,v42_sparse_extension
앵,EA 5B,E3 0B,1760,20,20,0,240,240,v42_sparse_extension
얼,EA 5C,E3 0C,1761,20,20,1,240,240,v42_sparse_extension
업,EA 5D,E3 0D,1762,20,20,2,240,240,v42_sparse_extension
엔,EA 5E,E3 0E,1763,20,20,3,240,240,v42_sparse_extension
엘,EA 5F,E6 AA,928,11,1,0,12,132,v72_low_page_relocation
염,EA 60,E6 AB,929,11,1,1,12,132,v72_low_page_relocation
영,EA 61,E6 AC,930,11,1,2,12,132,v72_low_page_relocation
욕,EA 62,E6 AD,931,11,1,3,12,132,v72_low_page_relocation
월,EA 63,E6 FE,1012,12,1,0,12,144,v72_low_page_relocation
윈,EA 64,E7 00,1013,12,1,1,12,144,v72_low_page_relocation
익,EA 65,E7 01,1014,12,1,2,12,144,v72_low_page_relocation
잎,EA 66,E7 02,2771,32,20,3,240,384,v42_sparse_extension
잔,EA 67,E7 53,1015,12,1,3,12,144,v72_low_page_relocation
젤,EA 68,E7 54,1439,17,2,3,24,204,v72_low_page_relocation
즌,EA 69,E7 55,1410,16,16,2,192,192,v71_preserved_runtime_mapping
짓,EA 6A,E7 56,1521,18,2,1,24,216,v72_low_page_relocation
짜,EA 6B,E8 EC,1597,19,0,1,0,228,v72_low_page_relocation
찍,EA 6C,E8 ED,1598,19,0,2,0,228,v72_low_page_relocation
참,EA 6D,E8 EE,1599,19,0,3,0,228,v72_low_page_relocation
창,EA 6E,E8 EF,1601,19,1,1,12,228,v72_low_page_relocation
책,EA 6F,E8 F0,1602,19,1,2,12,228,v72_low_page_relocation
처,EA 70,E8 F1,1603,19,1,3,12,228,v72_low_page_relocation
척,EA 71,E8 F2,1605,19,2,1,24,228,v72_low_page_relocation
추,EA 72,E8 F3,1606,19,2,2,24,228,v72_low_page_relocation
축,EA 73,E8 F4,1607,19,2,3,24,228,v72_low_page_relocation
츠,EA 74,E8 F5,1609,19,3,1,36,228,v72_low_page_relocation
층,EA 75,E8 F6,1610,19,3,2,36,228,v72_low_page_relocation
칸,EA 76,E8 F7,1611,19,3,3,36,228,v72_low_page_relocation
컬,EA 77,E8 F8,1613,19,4,1,48,228,v72_low_page_relocation
켈,EA 78,E8 F9,1614,19,4,2,48,228,v72_low_page_relocation
콘,EA 79,E8 FA,1615,19,4,3,48,228,v72_low_page_relocation
큐,EA 7A,E8 FB,1338,15,19,2,228,180,v71_preserved_runtime_mapping
클,EA 7B,E8 FC,1617,19,5,1,60,228,v72_low_page_relocation
탄,EA 7C,E8 FD,1618,19,5,2,60,228,v72_low_page_relocation
탈,EA 7D,E8 FE,1619,19,5,3,60,228,v72_low_page_relocation
텀,EA 7E,E9 00,1621,19,6,1,72,228,v72_low_page_relocation
테,EA 7F,E9 01,1622,19,6,2,72,228,v72_low_page_relocation
텔,EA 80,E9 02,1623,19,6,3,72,228,v72_low_page_relocation
템,EA 81,E9 03,1625,19,7,1,84,228,v72_low_page_relocation
톤,EA 82,E9 04,1626,19,7,2,84,228,v72_low_page_relocation
톰,EA 83,E9 05,1627,19,7,3,84,228,v72_low_page_relocation
퇴,EA 84,E9 06,1681,20,0,1,0,240,v72_low_page_relocation
특,EA 85,E9 07,1682,20,0,2,0,240,v72_low_page_relocation
티,EA 86,E9 08,1683,20,0,3,0,240,v72_low_page_relocation
팡,EA 87,E9 09,1685,20,1,1,12,240,v72_low_page_relocation
패,EA 88,E9 0A,1686,20,1,2,12,240,v72_low_page_relocation
팬,EA 89,E9 0B,1687,20,1,3,12,240,v72_low_page_relocation
펀,EA 8A,E9 0C,1689,20,2,1,24,240,v72_low_page_relocation
폴,EA 8B,E9 0D,1690,20,2,2,24,240,v72_low_page_relocation
표,EA 8C,E9 0E,1691,20,2,3,24,240,v72_low_page_relocation
필,EA 8D,E9 0F,1693,20,3,1,36,240,v72_low_page_relocation
현,EA 8E,E9 10,1313,15,13,1,156,180,v71_preserved_runtime_mapping
호,EA 8F,E9 11,1694,20,3,2,36,240,v72_low_page_relocation
환,EA 90,E9 12,1695,20,3,3,36,240,v72_low_page_relocation
