char,virtual_code_hex,physical_index,row,column,plane,source_x,source_y
여,E9 A5,1404,16,15,0,180,192
연,E9 A6,1405,16,15,1,180,192
열,E9 A7,1406,16,15,2,180,192
오,E9 A8,1407,16,15,3,180,192
옥,E9 A9,1408,16,16,0,192,192
올,E9 AA,1409,16,16,1,192,192
옷,E9 AB,1410,16,16,2,192,192
와,E9 AC,1411,16,16,3,192,192
왕,E9 AD,1412,16,17,0,204,192
외,E9 AE,1413,16,17,1,204,192
요,E9 AF,1414,16,17,2,204,192
용,E9 B0,1415,16,17,3,204,192
우,E9 B1,1416,16,18,0,216,192
운,E9 B2,1417,16,18,1,216,192
울,E9 B3,1418,16,18,2,216,192
워,E9 B4,1419,16,18,3,216,192
원,E9 B5,1420,16,19,0,228,192
위,E9 B6,1421,16,19,1,228,192
유,E9 B7,1422,16,19,2,228,192
율,E9 B8,1423,16,19,3,228,192
으,E9 B9,1424,16,20,0,240,192
은,E9 BA,1425,16,20,1,240,192
을,E9 BB,1426,16,20,2,240,192
음,E9 BC,1427,16,20,3,240,192
의,E9 BD,1480,17,13,0,156,204
이,E9 BE,1481,17,13,1,156,204
인,E9 BF,1482,17,13,2,156,204
일,E9 C0,1483,17,13,3,156,204
임,E9 C1,1484,17,14,0,168,204
입,E9 C2,1485,17,14,1,168,204
자,E9 C3,1486,17,14,2,168,204
작,E9 C4,1487,17,14,3,168,204
잠,E9 C5,1488,17,15,0,180,204
잡,E9 C6,1489,17,15,1,180,204
장,E9 C7,1490,17,15,2,180,204
저,E9 C8,1491,17,15,3,180,204
적,E9 C9,1492,17,16,0,192,204
전,E9 CA,1493,17,16,1,192,204
절,E9 CB,1495,17,16,3,192,204
점,E9 CC,1496,17,17,0,204,204
정,E9 CD,1497,17,17,1,204,204
제,E9 CE,1498,17,17,2,204,204
져,E9 CF,1499,17,17,3,204,204
조,E9 D0,1500,17,18,0,216,204
족,E9 D1,1501,17,18,1,216,204
좀,E9 D2,1502,17,18,2,216,204
좋,E9 D3,1503,17,18,3,216,204
주,E9 D4,1504,17,19,0,228,204
죽,E9 D5,1505,17,19,1,228,204
줄,E9 D6,1506,17,19,2,228,204
중,E9 D7,1507,17,19,3,228,204
증,E9 D8,1508,17,20,0,240,204
지,E9 D9,1509,17,20,1,240,204
직,E9 DA,1510,17,20,2,240,204
진,E9 DB,1511,17,20,3,240,204
질,E9 DC,1564,18,13,0,156,216
집,E9 DD,1565,18,13,1,156,216
찌,E9 DE,1566,18,13,2,156,216
차,E9 DF,1567,18,13,3,156,216
천,E9 E0,1568,18,14,0,168,216
첩,E9 E1,1569,18,14,1,168,216
체,E9 E2,1570,18,14,2,168,216
초,E9 E3,1571,18,14,3,168,216
촌,E9 E4,1572,18,15,0,180,216
최,E9 E5,1573,18,15,1,180,216
치,E9 E6,1574,18,15,2,180,216
침,E9 E7,1575,18,15,3,180,216
카,E9 E8,1576,18,16,0,192,216
케,E9 E9,1577,18,16,1,192,216
코,E9 EA,1578,18,16,2,192,216
쿠,E9 EB,1579,18,16,3,192,216
크,E9 EC,1580,18,17,0,204,216
큰,E9 ED,1581,18,17,1,204,216
키,E9 EE,1582,18,17,2,204,216
킬,E9 EF,1583,18,17,3,204,216
타,E9 F0,1584,18,18,0,216,216
탑,E9 F1,1585,18,18,1,216,216
태,E9 F2,1586,18,18,2,216,216
터,E9 F3,1587,18,18,3,216,216
토,E9 F4,1588,18,19,0,228,216
투,E9 F5,1589,18,19,1,228,216
트,E9 F6,1590,18,19,2,228,216
틀,E9 F7,1591,18,19,3,228,216
파,E9 F8,1592,18,20,0,240,216
판,E9 F9,1593,18,20,1,240,216
팔,E9 FA,1594,18,20,2,240,216
퍼,E9 FB,1595,18,20,3,240,216
편,E9 FC,1628,19,8,0,96,228
평,E9 FD,1629,19,8,1,96,228
포,E9 FE,1630,19,8,2,96,228
폭,EA 01,1631,19,8,3,96,228
풀,EA 02,1632,19,9,0,108,228
풍,EA 03,1633,19,9,1,108,228
프,EA 04,1634,19,9,2,108,228
플,EA 05,1635,19,9,3,108,228
피,EA 06,1636,19,10,0,120,228
하,EA 07,1637,19,10,1,120,228
한,EA 08,1638,19,10,2,120,228
함,EA 09,1639,19,10,3,120,228
합,EA 0A,1640,19,11,0,132,228
항,EA 0B,1641,19,11,1,132,228
해,EA 0C,1642,19,11,2,132,228
행,EA 0D,1643,19,11,3,132,228
향,EA 0E,1644,19,12,0,144,228
허,EA 0F,1645,19,12,1,144,228
험,EA 10,1646,19,12,2,144,228
헤,EA 11,1647,19,12,3,144,228
화,EA 12,1648,19,13,0,156,228
확,EA 13,1649,19,13,1,156,228
활,EA 14,1650,19,13,2,156,228
황,EA 15,1651,19,13,3,156,228
회,EA 16,1652,19,14,0,168,228
후,EA 17,1653,19,14,1,168,228
힘,EA 18,1654,19,14,2,168,228
