table_key,index,japanese,status,korean_target,missing_glyphs,encoded_bytes,encoded_hex,pointer_offset,string_offset
equipment_name,16,じ<N:ぃ:20>す,guide_safe_override,기도 구슬,,9,E0 AC E0 A7 9C E0 24 DF B6,0x804E4,0x802E7
equipment_name,17,長老のはちまき,guide_safe_override,장로 허리 장식,,14,E0 E1 E0 D6 9C E0 F6 E0 98 9C E0 E1 DF B5,0x804E8,0x802F1
equipment_name,18,しつ<N:ぷ:23>うのバンダナ,translated_existing_bank,질풍의 반다나,,13,DF A7 DE C9 E0 9B 9C E0 8A E0 C1 E0 99,0x804EC,0x80300
equipment_name,19,<N:ハ:12><N:｣:11>パーフーツ,guide_safe_override,하이퍼 신발,,11,E0 C4 E0 BD DF 04 9C E0 C3 E0 FA,0x804F0,0x8030E
equipment_name,20,まにあわせのくつ,translated_existing_bank,임시 신발,,9,DF F6 E0 61 9C E0 C3 E0 FA,0x804F4,0x8031A
equipment_name,21,フ<N:リ:12>ス<N:リ:12>ット,translated_existing_bank,팔찌 1,,6,DF 8B DF 0D 9C 12,0x804F8,0x80324
equipment_name,22,フ<N:リ:12>ス<N:リ:12>ット,translated_existing_bank,팔찌 2,,6,DF 8B DF 0D 9C 13,0x804FC,0x8032B
equipment_name,23,技のフ<N:リ:12>ス<N:リ:12>ット,guide_safe_override,마력 팔찌,,9,E0 9E E0 8C 9C DF 8B DF 0D,0x80500,0x80332
equipment_name,24,女神のいのり,translated_existing_bank,여신의 기도,,11,E0 DC E0 C3 E0 9B 9C E0 AC E0 A7,0x80504,0x8033C
equipment_name,25,パワーリスト,translated_existing_bank,파워 리스트,,11,DF A0 DF AE 9C E0 98 E0 39 E0 82,0x80508,0x80348
equipment_name,26,デ<N:ｲ:6>ールの<N:牙:4>,translated_existing_bank,데일의 이빨,,11,E0 31 E0 6B E0 9B 9C E0 BD DF 2F,0x8050C,0x80354
equipment_name,27,幻獣の<N:牙:4>,guide_safe_override,마수의 이빨,,11,E0 9E DF B7 E0 9B 9C E0 BD DF 2F,0x80510,0x80360
equipment_name,28,しおかぜの調ベ,guide_safe_override,바다 바람의 노래,,16,DF 6E E0 C1 9C DF 6E E0 BA E0 9B 9C E0 3C E0 BB,0x80514,0x8036C
equipment_name,29,<N:貝:2>がら,guide_safe_override,조가비,,6,E0 A4 E0 C0 E0 53,0x80518,0x8037D
equipment_name,30,一角獣の角,guide_safe_override,일각수 장식,,11,E0 6B E0 43 DF B7 9C E0 E1 DF B5,0x8051C,0x80384
equipment_name,31,<N:悲:5>劇のめがね,guide_safe_override,비애의 안경,,11,E0 53 DF FE E0 9B 9C E0 E9 E0 89,0x80520,0x80390
equipment_name,32,鏡,translated_existing_bank,거울,,4,DF 87 DF F9,0x80524,0x8039C
equipment_name,33,古代の<N:ｴ:24>びわ,translated_existing_bank,고대의 반지,,11,E0 7F E0 36 E0 9B 9C E0 8A E0 A2,0x80528,0x803A1
equipment_name,34,幻の<N:ｴ:24>びわ,guide_safe_override,신기한 반지,,11,E0 C3 E0 AC E0 84 9C E0 8A E0 A2,0x8052C,0x803AD
equipment_name,35,魔導の<N:ｴ:24>びわ,translated_existing_bank,마도의 반지,,11,E0 9E E0 A7 E0 9B 9C E0 8A E0 A2,0x80530,0x803B9
equipment_name,36,おもちゃの<N:ｴ:24>びわ,translated_existing_bank,장난감 반지,,11,E0 E1 E0 3D E0 01 9C E0 8A E0 A2,0x80534,0x803C5
equipment_name,37,<N:毒:1>よけの<N:ｴ:24>びわ,guide_safe_override,몸 이상 방지 반지,,17,DF 36 9C E0 BD E0 56 9C E0 0F E0 A2 9C E0 8A E0 A2,0x80538,0x803D1
equipment_name,38,幻の盾,guide_safe_override,신기한 막이,,11,E0 C3 E0 AC E0 84 9C DF 39 E0 BD,0x8053C,0x803E3
equipment_name,39,戦士の守り,guide_safe_override,전사 방어,,9,E0 CC E0 A5 9C E0 0F E0 A0,0x80540,0x803EF
equipment_name,40,長老の盾,guide_safe_override,장로 막이,,9,E0 E1 E0 D6 9C DF 39 E0 BD,0x80544,0x803F9
equipment_name,41,強力な<N:杖:1>,guide_safe_override,강한 마법봉,,11,E0 F2 E0 84 9C E0 9E E0 B3 DF 93,0x80548,0x80403
equipment_name,42,じごくのスニー<N:フ:11>,translated_existing_bank,지옥의 스누프,,13,E0 A2 DF 19 E0 9B 9C E0 39 E0 34 DF 9F,0x8054C,0x8040F
equipment_name,43,王様の像,translated_existing_bank,왕의 상,,7,E0 65 E0 9B 9C E0 56,0x80550,0x8041D
equipment_name,44,たかの像,translated_existing_bank,매의 상,,7,DF 38 E0 9B 9C E0 56,0x80554,0x80425
equipment_name,45,まがいの像,guide_safe_override,모조상,,6,E0 11 E0 A4 E0 56,0x80558,0x8042D
equipment_name,46,たん剣,translated_existing_bank,단검,,4,E0 37 DE F3,0x8055C,0x80434
equipment_name,47,幻の剣,guide_safe_override,신기한 검,,9,E0 C3 E0 AC E0 84 9C DE F3,0x80560,0x80439
equipment_name,48,<N:リ:12><N:｣:11>ラのかみか<N:ざ:2>り,translated_existing_bank,리라의 머리장식,,15,E0 98 E0 A6 E0 9B 9C DF 7C E0 98 E0 E1 DF B5,0x80564,0x80443
equipment_name,49,乱れる宝石,guide_safe_override,요동치는 돌,,11,E0 66 E0 94 E0 B0 E0 C2 9C E0 D5,0x80568,0x80453
equipment_name,50,アーマーストーン,guide_safe_override,갑옷 돌,,7,E0 F4 DE D8 9C E0 D5,0x8056C,0x8045F
equipment_name,51,ロマンシン<N:ク:12>ストーン,guide_safe_override,연인의 돌 1,,11,DF 1C E0 6A E0 9B 9C E0 D5 9C 12,0x80570,0x80467
equipment_name,52,ロマンシン<N:ク:12>ストーン,guide_safe_override,연인의 돌 2,,11,DF 1C E0 6A E0 9B 9C E0 D5 9C 13,0x80574,0x80473
equipment_name,53,ロマンシン<N:ク:12>ストーン,guide_safe_override,연인의 돌 3,,11,DF 1C E0 6A E0 9B 9C E0 D5 9C 14,0x80578,0x8047F
equipment_name,54,ロマンシン<N:ク:12>ストーン,guide_safe_override,연인의 돌 4,,11,DF 1C E0 6A E0 9B 9C E0 D5 9C 15,0x8057C,0x8048B
equipment_name,55,太陽の<N:げ:26>うし,translated_existing_bank,태양의 거울,,11,DF 08 DD CF E0 9B 9C DF 87 DF F9,0x80580,0x80497
equipment_name,56,おし花の本,guide_safe_override,꽃 도감,,7,DF 99 9C E0 A7 E0 01,0x80584,0x805A4
equipment_name,57,クラウ<N:ｲ:6>スの本,guide_safe_override,크라우스 도감,,13,E0 9D E0 A6 E0 68 E0 39 9C E0 A7 E0 01,0x80588,0x805AC
equipment_name,58,音楽集,translated_existing_bank,음악집,,6,DF F8 DF 1F E0 D2,0x8058C,0x805BA
equipment_name,59,ラークの紋章,translated_existing_bank,라크의 문장,,11,E0 A6 E0 9D E0 9B 9C DF 7B E0 E1,0x80590,0x805C1
equipment_name,60,<N:ｴ:24>かりの紋章,translated_existing_bank,유카리의 문장,,13,E0 AD DF E9 E0 98 E0 9B 9C DF 7B E0 E1,0x80594,0x805CD
equipment_name,61,フ<N:リ:12><N:｣:11>の紋章,translated_existing_bank,포니의 문장,,11,DF 02 E0 35 E0 9B 9C DF 7B E0 E1,0x80598,0x805DB
equipment_name,62,勇者の証,guide_safe_override,용자의 증거,,11,E0 67 E0 E0 E0 9B 9C E0 D1 DF 87,0x8059C,0x805E7
equipment_name,63,？？？？？,translated_existing_bank,?????,,10,E0 47 E0 47 E0 47 E0 47 E0 47,0x805A0,0x805F3
equipment_description,0,炎系の攻撃に強くなります,guide_safe_override,불 공격에 강함,,14,E0 0A 9C E0 C6 E0 40 E0 9F 9C E0 F2 E0 85,0x80A94,0x805FE
equipment_description,1,水系の攻撃に強くなります,guide_safe_override,물 공격에 강함,,14,E0 4F 9C E0 C6 E0 40 E0 9F 9C E0 F2 E0 85,0x80A98,0x8060D
equipment_description,2,<N:ｌ:5>へモジーへを回避します,guide_safe_override,헤모지 상태 방지,,16,DF 9D E0 11 E0 A2 9C E0 56 DF 08 9C E0 0F E0 A2,0x80A9C,0x8061C
equipment_description,3,自分の<N:Π:10><N:Ｐ:10>の回復量が大きくなります,guide_safe_override,체력 회복량 증가,,15,E0 90 E0 8C 9C DE C7 DF 33 40 9C E0 D1 E0 C0,0x80AA0,0x8062D
equipment_description,4,戦闘で入る経験値が2倍になります,guide_safe_override,전투 경험치 2배,,15,E0 CC E0 EF 9C E0 89 E0 E8 E0 B0 9C 13 DF BD,0x80AA4,0x8063D
equipment_description,5,魔力が10<N:X:20>上昇します,guide_safe_override,마력 10% 상승,,13,E0 9E E0 8C 9C 12 11 07 9C E0 56 E0 FF,0x80AA8,0x8064D
equipment_description,6,<N:ｌ:5><N:眠:5>りへを回避します,guide_safe_override,수면 상태 방지,,14,DF B7 E0 4C 9C E0 56 DF 08 9C E0 0F E0 A2,0x80AAC,0x8065B
equipment_description,7,防御力が30<N:X:20>上昇します（チョン<N:力:5>ラ）,guide_safe_override,촌가라 방어력 30% 상승,,22,DF 83 E0 C0 E0 A6 9C E0 0F E0 A0 E0 8C 9C 14 11 07 9C E0 56 E0 FF,0x80AB0,0x8066A
equipment_description,8,<N:ｌ:5>投げるへが<N:リ:12>ベル1になります,guide_safe_override,던지기 +1,,9,DF 69 E0 A2 E0 AC 9C 0C 12,0x80AB4,0x80681
equipment_description,9,攻撃力が<N:ｃ:12>0<N:X:20>上昇します,guide_safe_override,공격력 50% 상승,,15,E0 C6 E0 40 E0 8C 9C 16 11 07 9C E0 56 E0 FF,0x80AB8,0x8068B
equipment_description,10,<N:ｌ:5>暗闇へを回避します,guide_safe_override,실명 방지,,9,DF 26 E0 4E 9C E0 0F E0 A2,0x80ABC,0x8069B
equipment_description,11,攻撃が<N:非:1>常に当たりやすくなります,guide_safe_override,명중 크게 상승,,14,E0 4E DF A9 9C E0 9D E0 14 9C E0 56 E0 FF,0x80AC0,0x806A5
equipment_description,12,<N:ｌ:5>投げるへが<N:ｌ:5>ぶん投げるへになります,guide_safe_override,던지기 강화,,11,DF 69 E0 A2 E0 AC 9C E0 F2 DE FE,0x80AC4,0x806B4
equipment_description,13,攻撃が特定の敵に強くなります,guide_safe_override,일부 적에게 강함,,16,E0 6B E0 0B 9C DF F2 E0 9F E0 14 9C E0 F2 E0 85,0x80AC8,0x806C0
equipment_description,14,攻撃が必す当たるようになります,guide_safe_override,공격이 반드시 명중,,18,E0 C6 E0 40 E0 BD 9C E0 8A DF 41 E0 61 9C E0 4E DF A9,0x80ACC,0x806D1
equipment_description,15,<N:リ:12>ベルアッ<N:フ:11>時に<N:Π:10><N:Ｐ:10>の伸びが大きくなります,guide_safe_override,성장 시 최대 체력 증가량 상승,,28,E0 5A E0 E1 9C E0 61 9C DF A4 E0 36 9C E0 90 E0 8C 9C E0 D1 E0 C0 40 9C E0 56 E0 FF,0x80AD0,0x806E4
equipment_description,16,魔力が30<N:X:20>上昇します （<N:ニ:13>ーゲン）,guide_safe_override,마법사 마력 30% 상승,,20,E0 9E E0 B3 E0 A5 9C E0 9E E0 8C 9C 14 11 07 9C E0 56 E0 FF,0x80AD4,0x80701
equipment_description,17,攻撃が当たりやすくなります,guide_safe_override,명중 상승,,9,E0 4E DF A9 9C E0 56 E0 FF,0x80AD8,0x80716
equipment_description,18,すばやさが10<N:X:20>上昇します,guide_safe_override,민첩 10% 상승,,13,DF BE DF EC 9C 12 11 07 9C E0 56 E0 FF,0x80ADC,0x80720
equipment_description,19,すばやさが30<N:X:20>上昇します,guide_safe_override,민첩 30% 상승,,13,DF BE DF EC 9C 14 11 07 9C E0 56 E0 FF,0x80AE0,0x8072E
equipment_description,20,<N:ｌ:5>ジャン<N:フ:11>へが<N:リ:12>ベル1になります,guide_safe_override,점프 +1,,7,DE D2 DF 9F 9C 0C 12,0x80AE4,0x8073C
equipment_description,21,反撃しやすくなります,guide_safe_override,반격 상승,,9,E0 8A E0 40 9C E0 56 E0 FF,0x80AE8,0x80744
equipment_description,22,<N:ｌ:5>受け取るへが<N:リ:12>ベル1になります,guide_safe_override,받기 +1,,7,E0 10 E0 AC 9C 0C 12,0x80AEC,0x8074E
equipment_description,23,<N:ｌ:5>受け取るへが<N:ｌ:5>投げ返すへになります,guide_safe_override,받기가 되던지기로 변화,,22,E0 10 E0 AC E0 C0 9C E0 2F DF 69 E0 A2 E0 AC E0 D6 9C DE 3C DE FE,0x80AF0,0x80756
equipment_description,24,半分の<N:∪:20><N:Ｐ:10>で能力を使用できます,guide_safe_override,소비 마력 절반,,14,E0 D9 E0 53 9C E0 9E E0 8C 9C E0 E6 E0 8A,0x80AF4,0x8076D
equipment_description,25,攻撃力が30<N:X:20>上昇します,guide_safe_override,공격력 30% 상승,,15,E0 C6 E0 40 E0 8C 9C 14 11 07 9C E0 56 E0 FF,0x80AF8,0x8077C
equipment_description,26,反撃ダメージが大きくなります（<N:｣:11>ー<N:力:5>）,guide_safe_override,이가 반격 피해 증가,,19,E0 BD E0 C0 9C E0 8A E0 40 9C DF 82 E0 88 9C E0 D1 E0 C0,0x80AFC,0x8078C
equipment_description,27,効果はわかつていません,guide_safe_override,작용 불명,,9,E0 92 E0 67 9C E0 0A E0 4E,0x80B00,0x807A0
equipment_description,28,行動する度まわりの<N:午:15>ャラを回復します（ククル）,guide_safe_override,쿠쿠루 행동 시 주변 아군 회복,,29,E0 7A E0 7A E0 44 9C E0 8B E0 94 9C E0 61 9C E0 CF DE 3C 9C E0 9C E0 C5 9C DE C7 DF 33,0x80B04,0x807AA
equipment_description,29,敵がア<N:｣:11>テムを落としやすくなります,guide_safe_override,물건 입수율 상승,,16,E0 4F E0 41 9C E0 C9 DF B7 DF 6D 9C E0 56 E0 FF,0x80B08,0x807C8
equipment_description,30,敵を倒すとほ<N:げ:26>ア<N:｣:11>テムが出ます,guide_safe_override,좋은 물건 입수,,14,E0 CE E0 BF 9C E0 4F E0 41 9C E0 C9 DF B7,0x80B0C,0x807D9
equipment_description,31,効果はわかつていません,guide_safe_override,작용 불명,,9,E0 92 E0 67 9C E0 0A E0 4E,0x80B10,0x807A0
equipment_description,32,<N:ｌ:5>石化へを回避します,guide_safe_override,돌 상태 방지,,12,E0 D5 9C E0 56 DF 08 9C E0 0F E0 A2,0x80B14,0x807E8
equipment_description,33,効果はわかつていません （アーク）,guide_safe_override,아크 전용 작용 불명,,19,E0 9C E0 9D 9C E0 CC E0 67 9C E0 92 E0 67 9C E0 0A E0 4E,0x80B18,0x807F5
equipment_description,34,魔力が<N:ｃ:12>0<N:X:20>上昇します,guide_safe_override,마력 50% 상승,,13,E0 9E E0 8C 9C 16 11 07 9C E0 56 E0 FF,0x80B1C,0x80809
equipment_description,35,魔力が30<N:X:20>上昇します,guide_safe_override,마력 30% 상승,,13,E0 9E E0 8C 9C 14 11 07 9C E0 56 E0 FF,0x80B20,0x80817
equipment_description,36,<N:ｌ:5>向き直りの笛への効果が<N:∪:20><N:∧:11><N:Ｐ:10>全体（ポニ）,guide_safe_override,방향잡이 피리가 전체에 적용,,27,E0 0F DE F8 DF F4 E0 BD 9C DF 82 E0 98 E0 C0 9C E0 CC E0 90 E0 9F 9C DF F2 E0 67,0x80B24,0x80825
equipment_description,37,<N:ｌ:5><N:毒:1>へを回避します,guide_safe_override,해로운 기운 방지,,16,E0 88 E0 D6 DF FA 9C E0 AC DF FA 9C E0 0F E0 A2,0x80B28,0x80841
equipment_description,38,防御力が<N:ｃ:12>0<N:X:20>上昇します,guide_safe_override,방어력 50% 상승,,15,E0 0F E0 A0 E0 8C 9C 16 11 07 9C E0 56 E0 FF,0x80B2C,0x80852
equipment_description,39,防御力が30<N:X:20>上昇します,guide_safe_override,방어력 30% 상승,,15,E0 0F E0 A0 E0 8C 9C 14 11 07 9C E0 56 E0 FF,0x80B30,0x80862
equipment_description,40,防御しやすくなります,guide_safe_override,방어율 상승,,11,E0 0F E0 A0 DF 6D 9C E0 56 E0 FF,0x80B34,0x80872
equipment_description,41,攻撃力が<N:７:11>0<N:X:20>上昇します（<N:ニ:13>ーゲン）,guide_safe_override,마법사 공격력 70% 상승,,22,E0 9E E0 B3 E0 A5 9C E0 C6 E0 40 E0 8C 9C 18 11 07 9C E0 56 E0 FF,0x80B38,0x8087E
equipment_description,42,<N:ｌ:5>心<N:眼:3>法への<N:乾:16>囲が広くなります（<N:｣:11>ー<N:力:5>）,guide_safe_override,심안법 범위 확대,,16,DF 25 E0 E9 E0 B3 9C DE E4 E0 69 9C DE C8 E0 36,0x80B3C,0x80895
equipment_description,43,召喚<N:午:15>ャラの経験値が自分に入ります（チョン<N:力:5>ラ）,guide_safe_override,마물 경험치가 촌가라에게,,24,E0 9E E0 4F 9C E0 89 E0 E8 E0 B0 E0 C0 9C DF 83 E0 C0 E0 A6 E0 9F E0 14,0x80B40,0x808A6
equipment_description,44,<N:ｌ:5>沈黙へを回避します,guide_safe_override,마법 봉인 상태 방지,,19,E0 9E E0 B3 9C DF 93 E0 6A 9C E0 56 DF 08 9C E0 0F E0 A2,0x80B44,0x808BF
equipment_description,45,攻撃を避けやすくなります,guide_safe_override,회피율 상승,,11,DE C7 DF 82 DF 6D 9C E0 56 E0 FF,0x80B48,0x808D3
equipment_description,46,攻撃力が10<N:X:20>上昇します,guide_safe_override,공격력 10% 상승,,15,E0 C6 E0 40 E0 8C 9C 12 11 07 9C E0 56 E0 FF,0x80B4C,0x808DF
equipment_description,47,<N:与:3>えるダメージの当たりはすれが大きくなります,guide_safe_override,공격 피해 편차 증가,,19,E0 C6 E0 40 9C DF 82 E0 88 9C E0 E4 E0 96 9C E0 D1 E0 C0,0x80B50,0x808EF
equipment_description,48,復活魔法で<N:Π:10><N:Ｐ:10>最大で復活します（ククル）,guide_safe_override,쿠쿠루 부활 시 최대 체력 회복,,29,E0 7A E0 7A E0 44 9C E0 0B E0 80 9C E0 61 9C DF A4 E0 36 9C E0 90 E0 8C 9C DE C7 DF 33,0x80B54,0x80903
equipment_description,49,当たりはすれが大きくなります,guide_safe_override,피해 편차 증가,,14,DF 82 E0 88 9C E0 E4 E0 96 9C E0 D1 E0 C0,0x80B58,0x80921
equipment_description,50,防御力が10<N:X:20>上昇します,guide_safe_override,방어력 10% 상승,,15,E0 0F E0 A0 E0 8C 9C 12 11 07 9C E0 56 E0 FF,0x80B5C,0x80930
equipment_description,51,効果はわかつていません,guide_safe_override,작용 불명,,9,E0 92 E0 67 9C E0 0A E0 4E,0x80B60,0x807A0
equipment_description,52,効果はわかつていません,guide_safe_override,작용 불명,,9,E0 92 E0 67 9C E0 0A E0 4E,0x80B64,0x807A0
equipment_description,53,効果はわかつていません,guide_safe_override,작용 불명,,9,E0 92 E0 67 9C E0 0A E0 4E,0x80B68,0x807A0
equipment_description,54,効果はわかつていません,guide_safe_override,작용 불명,,9,E0 92 E0 67 9C E0 0A E0 4E,0x80B6C,0x807A0
equipment_description,55,行動するたびに<N:Π:10><N:Ｐ:10>が回復します,guide_safe_override,매 행동 체력 회복,,17,DF 38 9C E0 8B E0 94 9C E0 90 E0 8C 9C DE C7 DF 33,0x80B70,0x80940
equipment_description,56,攻撃が<N:非:1>常に当たりやすくなります（トッシュ）,guide_safe_override,토슈 명중 크게 상승,,19,E0 7E DE DD 9C E0 4E DF A9 9C E0 9D E0 14 9C E0 56 E0 FF,0x80B74,0x80952
equipment_description,57,全ステータスしょう害を回避します,guide_safe_override,모든 이상 상태 방지,,19,E0 11 DF D4 9C E0 BD E0 56 9C E0 56 DF 08 9C E0 0F E0 A2,0x80B78,0x80966
equipment_description,58,魔力が30<N:X:20>上昇します （ポニ）,guide_safe_override,포코 마력 30% 상승,,18,DF 02 DF A3 9C E0 9E E0 8C 9C 14 11 07 9C E0 56 E0 FF,0x80B7C,0x8097A
equipment_description,59,<N:ｌ:5>マ<N:ヒ:5>へを回避します,guide_safe_override,마비 상태 방지,,14,E0 9E E0 53 9C E0 56 DF 08 9C E0 0F E0 A2,0x80B80,0x8098D
equipment_description,60,桜花雷爆斬でマ<N:ヒ:5>させることができます（トッシュ）,guide_safe_override,토슈 비기에 마비 부여,,21,E0 7E DE DD 9C E0 53 E0 AC E0 9F 9C E0 9E E0 53 9C E0 0B E0 DC,0x80B84,0x8099C
equipment_description,61,攻撃が特定の敵に強くなります,guide_safe_override,일부 적에게 강함,,16,E0 6B E0 0B 9C DF F2 E0 9F E0 14 9C E0 F2 E0 85,0x80B88,0x806C0
equipment_description,62,行動するごとに<N:∪:20><N:Ｐ:10>が回復します（アーク）,guide_safe_override,아크 매 행동 마력 회복,,22,E0 9C E0 9D 9C DF 38 9C E0 8B E0 94 9C E0 9E E0 8C 9C DE C7 DF 33,0x80B8C,0x809B2
equipment_description,63,？？？？？,guide_safe_override,?????,,10,E0 47 E0 47 E0 47 E0 47 E0 47,0x80B90,0x805F3
consumable_name,0,ねばねば,guide_safe_override,거미줄,,6,DF 87 E0 50 DF AA,0x80C9C,0x809C9
consumable_name,1,やる気<N:г:23>リー,guide_safe_override,기운 음식,,9,E0 AC DF FA 9C DF F8 DF B5,0x80CA0,0x809D0
consumable_name,2,みなぎる果実,translated_existing_bank,넘치는 열매,,11,E0 97 E0 B0 E0 C2 9C E0 B2 DF 38,0x80CA4,0x809DA
consumable_name,3,回復果物,translated_existing_bank,회복 열매,,9,DE C7 DF 33 9C E0 B2 DF 38,0x80CA8,0x809E6
consumable_name,4,しびれるりんご,translated_existing_bank,마비 사과,,9,E0 9E E0 53 9C E0 A5 E0 C7,0x80CAC,0x809F0
consumable_name,5,石,translated_existing_bank,돌,,2,E0 D5,0x80CB0,0x809FA
consumable_name,6,<N:リ:12>ニの草,translated_existing_bank,레코의 풀,,9,DF D2 DF A3 E0 9B 9C DF 8A,0x80CB4,0x809FD
consumable_name,7,薬草,translated_existing_bank,약초,,4,DF B1 DF EB,0x80CB8,0x80A07
consumable_name,8,<N:毒:1>薬,guide_safe_override,위험한 풀,,9,E0 69 E0 E8 E0 84 9C DF 8A,0x80CBC,0x80A0C
consumable_name,9,ルウの薬,translated_existing_bank,루우의 약,,9,E0 44 E0 68 E0 9B 9C DF B1,0x80CC0,0x80A16
consumable_name,10,すばやさの薬,translated_existing_bank,민첩의 약,,9,DF BE DF EC E0 9B 9C DF B1,0x80CC4,0x80A20
consumable_name,11,小さい爆弾,guide_safe_override,작은 폭발 구슬,,14,E0 92 E0 BF 9C DE CB E0 FA 9C E0 24 DF B6,0x80CC8,0x80A2A
consumable_name,12,大きい爆弾,guide_safe_override,큰 폭발 구슬,,12,DF 0A 9C DE CB E0 FA 9C E0 24 DF B6,0x80CCC,0x80A39
consumable_name,13,万能薬,guide_safe_override,만병약,,6,E0 49 E0 0E DF B1,0x80CD0,0x80A46
consumable_name,14,聖水,translated_existing_bank,성수,,4,E0 5A DF B7,0x80CD4,0x80A4D
consumable_name,15,復活の薬,translated_existing_bank,부활약,,6,E0 0B E0 80 DF B1,0x80CD8,0x80A52
consumable_name,16,攻撃瓶,translated_existing_bank,공격 항아리,,11,E0 C6 E0 40 9C E0 87 E0 9C E0 98,0x80CDC,0x80A59
consumable_name,17,<N:眠:5>り玉,translated_existing_bank,수면 구슬,,9,DF B7 E0 4C 9C E0 24 DF B6,0x80CE0,0x80A65
consumable_name,18,弱りの玉,translated_existing_bank,약화 구슬,,9,DF B1 DE FE 9C E0 24 DF B6,0x80CE4,0x80A6F
consumable_name,19,ちからの実,translated_existing_bank,힘의 열매,,9,E0 8E E0 9B 9C E0 B2 DF 38,0x80CE8,0x80A79
consumable_name,20,パロの実,translated_existing_bank,파로의 열매,,11,DF A0 E0 D6 E0 9B 9C E0 B2 DF 38,0x80CEC,0x80A83
consumable_name,21,いのちの木の実,translated_existing_bank,생명의 열매,,11,E0 04 E0 4E E0 9B 9C E0 B2 DF 38,0x80CF0,0x80B94
consumable_name,22,魔力の葉,guide_safe_override,마력의 풀,,9,E0 9E E0 8C E0 9B 9C DF 8A,0x80CF4,0x80BA0
consumable_name,23,魔力の泉,guide_safe_override,마력의 물,,9,E0 9E E0 8C E0 9B 9C E0 4F,0x80CF8,0x80BAA
consumable_name,24,目つぶしの草,translated_existing_bank,눈가림 풀,,9,DF 6A E0 C0 DF 3A 9C DF 8A,0x80CFC,0x80BB4
consumable_name,25,苦い葉,guide_safe_override,쓴 풀,,5,DE DC 9C DF 8A,0x80D00,0x80BBE
consumable_name,26,石解け<N:ハ:12>リ,guide_safe_override,몸 마비 회복침,,14,DF 36 9C E0 9E E0 53 9C DE C7 DF 33 DF 5A,0x80D04,0x80BC4
consumable_name,27,痛烈な<N:ハ:12>リ,guide_safe_override,마법 봉인 회복침,,16,E0 9E E0 B3 9C DF 93 E0 6A 9C DE C7 DF 33 DF 5A,0x80D08,0x80BD3
consumable_name,28,召喚のつ<N:げ:26>,guide_safe_override,마물 항아리,,11,E0 9E E0 4F 9C E0 87 E0 9C E0 98,0x80D0C,0x80BE4
consumable_name,29,？？？？？,translated_existing_bank,?????,,10,E0 47 E0 47 E0 47 E0 47 E0 47,0x80D10,0x805F3
