source file,offset,japanese,korean,source of the translation (existing / new)
1/S1021.DAT,0x481F0,"俺、今夜 山へ行けば
父さんが母さんと俺をおいて
消えたわけが分かる気がするんだ",오늘 밤 산에 가면 아버지가 우리를 두고 사라진 이유를 알 수 있을 것 같아.,existing
1/S1021.DAT,0x48250,"アークの母 
あなたのお父さんはね、
<CTRL:E4>つ死んだのよ・・。",어머니: 네 아버지는... 죽었단다.,existing
1/S1021.DAT,0x482A8,"父さんが死んだなんてうそだろ？<CTRL:E4>よあの強かつた父さんが
かんたんに死ぬはすない。",아버지가 죽었다니 거짓말이야! 그렇게 강한 분이 쉽게 죽을 리 없어.,existing
1/S1021.DAT,0x48308,"アークの母 
山にはきつと
恐ろしいモンスターがいて・・。",어머니: 산에는 분명 무서운 괴물이 있어...,existing
1/S1021.DAT,0x48360,"もしも、父さんが
モンスターに殺されたのなら
・・俺が父さんの敵（かたき）を討つてやる！",괴물이 아버지를 죽였다면 내가 원수를 갚겠어!,existing
1/S1021.DAT,0x483C6,"母さん・・
俺、自分自身の目で
確かめたいんだよ。",엄마... 내 눈으로 직접 확인하고 싶어.,existing
1/S1021.DAT,0x48420,"アークの母 
アーク・・。",어머니: 아크...,existing
1/S1021.DAT,0x48496,母さん・・。,엄마...,existing
1/S1021.DAT,0x48512,"アークの母 
あの人が旅にでて10年
あの人の言葉通りになつてしまつた。",어머니: 그이가 떠난 지 십 년... 결국 그이 말대로 됐구나.,existing
1/S1021.DAT,0x485E8,"アークの母 
あなた・・<CTRL:E4>4
どうしても行つてしまうの。",어머니: 여보... 정말 가야만 해요?,existing
1/S1021.DAT,0x4863C,"アークの父 
分かつてくれ、ポルタ。
この世界の運命に
かかわることなのだ。","아버지: 이해해 줘, 포르타. 이 세계의 운명이 걸린 일이야.",existing
1/S1021.DAT,0x4869A,"アークの母 
なんであなたが・・。<CTRL:E4>よ
私とアークはどうすればいいの・・？",어머니: 왜 당신이어야 해요...? 나와 아크는 어떻게 하라고요?,existing
1/S1021.DAT,0x486F8,"アークの父 
・・すまない。
だが私がやらなければ・・。",아버지: 미안하오. 하지만 내가 아니면...,existing
1/S1021.DAT,0x4874E,"アークの母 
いやです！
私はごくふつうの幸せがあれば・。",어머니: 싫어요! 난 평범한 행복만 있으면 돼요...,existing
1/S1021.DAT,0x487A2,"アークの父 
10年後の今日、封印（ふういん）が
解かれ、再び山が荒れる・・。
その時アークは山へ向かう。","아버지: 십 년 뒤 오늘, 봉인이 풀리고 산이 다시 날뛸 거다. 그때 아크는 산으로 향한다.",existing
1/S1021.DAT,0x48818,"アークの母 
山が荒れる？",어머니: 산이 날뛴다고요?,existing
1/S1021.DAT,0x4885A,"アークの父 
封印（ふういん）されていた
モンスターが現れる。",아버지: 봉인됐던 괴물이 나타날 거다.,existing
1/S1021.DAT,0x488B0,"アークの母 
そんな所へ あの子が・・。
やめて下さい！何もかも！",어머니: 그런 곳에 아크를 보내다니... 그만하세요! 전부 다!,existing
1/S1021.DAT,0x48908,"アークの父 
ポルタ・・
その日まで我が子を
<CTRL:E4>4アークをたのんだぞ！",아버지: 포르타... 그날까지 우리 아이 아크를 부탁하오!,existing
1/S1021.DAT,0x48A4E,"父さんのかたみを
身に付けなくちゃ。",아버지의 유품을 장비해야겠어.,existing
1/S1021.DAT,0x48AC6,"父さんのかたみは、おくの
はこの中にあるはすだ。",아버지의 유품은 안쪽 방 상자에 있을 거야.,existing
1/S1021.DAT,0x48B14,"話しかけるときも、
アイテムをさがすときも、
近づいてから<CTRL:E7>！をおすんだ。",말을 걸거나 물건을 찾을 때는 가까이 다가가 결정 버튼을 누르면 돼.,existing
1/S1021.DAT,0x48C34,"どうしても、自分の力で
やつてみたいんだ。",이번만큼은 내 힘으로 해내고 싶어.,existing
1/S1021.DAT,0x48C88,母さんに、一言いわなきゃ。,엄마에게 한마디 하고 가야 해.,existing
1/S1021.DAT,0x48CF8,"話しかけるときも、
アイテムをさがすときも、
近づいてから<CTRL:E7>！をおすんだ。",말을 걸거나 물건을 찾을 때는 가까이 다가가 결정 버튼을 누르면 돼.,existing
1/S1021.DAT,0x48DA6,"アークの母 
ヨシュア、アークを守つて・・。","어머니: 요슈아, 아크를 지켜 주세요...",existing
1/S1022.DAT,0x4789A,それじゃ母さん、行くからね。,"그럼 엄마, 다녀올게.",existing
1/S1022.DAT,0x478DC,"アークの母 
・・・。",어머니: ...,existing
1/S1022.DAT,0x47940,"アークの母 
おまえも、いつてしまうのかい？",어머니: 너도 떠나는 거니?,existing
1/S1022.DAT,0x479A2,"そんな、大したこじゃないよ。
王様に呼ばれて
パレンシアの都に行くだけ
じゃないか。",별일 아니야. 왕의 부름을 받아 팔렌시아로 가는 것뿐이야.,existing
1/S1022.DAT,0x47A06,"兵士にとりたてられれば
母さんにも楽してもらえる。",병사가 되면 엄마도 편히 지낼 수 있어.,existing
1/S1022.DAT,0x47A62,"アークの母 
・・体を大切にね。<CTRL:E4>よ
つらくなつたら
いつでも戻つておいで。",어머니: 몸조심하렴. 힘들면 언제든 돌아오고.,existing
1/S1022.DAT,0x47ACA,"アークの母 
・・・アーク<CTRL:E4>よ
これをもつていきなさい。<CTRL:E4>よ",어머니: 아크... 이것도 가져가렴.,existing
1/S1022.DAT,0x47B24,zしつ<G:655>うのバンダナyをもらいました。,질풍의 반다나를 받았다.,existing
1/S1022.DAT,0x47B70,z<G:263>活の薬yをもらいました。,부활의 약을 받았다.,existing
1/S1022.DAT,0x47BB8,z聖水yをもらいました。,성수를 받았다.,existing
1/S1022.DAT,0x47C0E,"ああ
そんなに心配するなつて。",응. 그렇게 걱정하지 마.,existing
1/S1022.DAT,0x47C68,"アークの母 
アーク・・。",어머니: 아크...,existing
1/S1023.DAT,0x478BC,"アークの母 
つかれたらいつでも戻つておいで。",어머니: 지치면 언제든 돌아오렴.,existing
1/S1023.DAT,0x4790C,z薬草yをもらいました。,약초를 받았다.,existing
1/S1023.DAT,0x47952,"アークの母 
父さんの<G:676>き手紙があるけどよむかい？
<CTRL:E5>""ベつにいい。
<CTRL:E5>""よむ。",,
1/S1023.DAT,0x479C0,"アークの母 
無理するんじゃないよ。",어머니: 무리하지 말거라.,existing
1/S1023.DAT,0x47A40,"父の手紙 
おまえの旅の助けになればと思い
これを書いている。
命を大切に、戦いぬいてくれ。",아버지의 편지: 네 여행에 도움이 되길 바라며 쓴다. 목숨을 소중히 여기고 끝까지 싸워라.,existing
1/S1023.DAT,0x47AB0,"<CTRL:E5>""強くなるためには
<CTRL:E5>""作戦をたてるには
<CTRL:E5>""敵からダメージを受けないためには1<CTRL:E5>""次の<G:466>ージ",,
1/S1023.DAT,0x47B30,"<CTRL:E5>""敵からダメージを受けないためには2<CTRL:E5>""うまく戦うには
<CTRL:E5>""よむのやめる。",,
1/S1023.DAT,0x47BA0,どこの国にも、いつ行つてもモンスターのいる場所がある。,어느 나라든 언제나 괴물이 출몰하는 장소가 있다.,existing
1/S1023.DAT,0x47BEE,"ここで何度も戦えば、
どんどん強くなれるはすだ。",그곳에서 거듭 싸우면 계속 강해질 수 있다.,existing
1/S1023.DAT,0x47C3C,"この場所のモンスターはゲームが進んでも変わらないので、鍛えたいレベルに
合わせて場所を選ベばよいだろう。",그 장소의 괴물은 진행해도 바뀌지 않는다. 원하는 수련 수준에 맞춰 장소를 고르면 된다.,existing
1/S1023.DAT,0x47CB8,"森や<G:755><G:801>などでは、思わぬところから
敵がきてやられるこがある。",숲이나 동굴에서는 뜻밖의 방향에서 적이 덮칠 수 있다.,existing
1/S1023.DAT,0x47D0E,自分のターンの時に、<G:825><G:732>ボタンを同時におしてフリーカー<G:551>ルにして、,자기 차례에 두 버튼을 함께 눌러 자유 커서로 바꿔라.,existing
1/S1023.DAT,0x47D66,これを使つて、モンスターの場所、マップをよく見て作戦を立てるのだ。,자유 커서로 적의 위치와 지형을 살피고 작전을 세워라.,existing
1/S1023.DAT,0x47DCA,"敵に攻撃した場合に、反撃をされ、
ダメージを受けることがある。",적을 공격하면 반격을 받아 피해를 입을 수 있다.,existing
1/S1023.DAT,0x47E20,"これを避けるためには、
敵の後ろかよこに
回り込んで攻撃することだ。",반격을 피하려면 적의 옆이나 뒤로 돌아가 공격해라.,existing
1/S1023.DAT,0x47E78,"逆に、自分が攻撃される時になるベく、
正面からになるようにすると
敵に反撃しやすい。",공격받을 때는 정면을 향하도록 하면 적에게 반격하기 쉽다.,existing
1/S1023.DAT,0x47EDA,"戦いは、小さなこのつみかさねが
大切なのだ。",전투에서는 이런 작은 차이가 중요하다.,existing
1/S1023.DAT,0x47F32,魔法攻撃とアイテムを投げつける攻撃は、絶対に敵の反撃を受けない。,마법이나 아이템을 던지는 공격은 절대 반격받지 않는다.,existing
1/S1023.DAT,0x47F8C,"ただし、敵にダメージを与えられる
アイテムはかぎられている。",다만 적에게 피해를 주는 아이템은 한정돼 있다.,existing
1/S1023.DAT,0x47FE0,とりあえすは、石を投げつけるのがいいだろう。,우선은 돌을 던지는 것이 좋다.,existing
1/S1023.DAT,0x48036,"分れつするモンスターは、
<G:469><G:363>が<G:751>分になるが、倒した時にもらえる経験値は変わらない。",분열하는 괴물은 체력이 절반이 되지만 쓰러뜨릴 때 얻는 경험치는 그대로다.,existing
1/S1023.DAT,0x4809C,これを利用するといいだろう。,이 점을 잘 이용해라.,existing
1/S1023.DAT,0x48142,母さん、薬草くれよ。,"엄마, 약초 좀 줘.",existing
1/S1023.DAT,0x48182,"アークの母 
アーク、よく聞くのよ
うちにはもう薬草はないの・・。","어머니: 아크, 잘 들으렴. 집에는 이제 약초가 없어...",existing
1/S1023.DAT,0x481DC,"アークの母 
自分の力で何とかしてちょうだい。",어머니: 네 힘으로 어떻게든 해 보렴.,existing
1/S1023.DAT,0x48232,・・・・・,......,existing
1/S1023.DAT,0x48306,"アークの母 
母さん、あなたにはまけたわ・・。",어머니: 정말 너한테는 못 당하겠구나...,existing
1/S1023.DAT,0x48358,zちからの<G:529>yをもらいました。,힘의 열매를 받았다.,existing
1/S1023.DAT,0x4839E,zパロの<G:529>yをもらいました。,파로의 열매를 받았다.,existing
1/S1023.DAT,0x483E4,zいのちの<G:739>の<G:529>yをもらいました。,생명의 나무 열매를 받았다.,existing
1/S1023.DAT,0x484C6,"アークの母 
もう、何も無いのよ・・・",어머니: 이제 정말 아무것도 없어...,existing
1/S1023.DAT,0x4853C,"アークの母 
（むかしはあんな子じゃなかつたのに・・）",어머니: 예전엔 저런 아이가 아니었는데...,existing
1/S1031.DAT,0x4782A,る<CTRL:00>の<CTRL:00>%,,
1/S1032.DAT,0x4782E,る<CTRL:00>し<CTRL:00>%,,
1/S1041.DAT,0x4782E,る<CTRL:00>し<CTRL:00>%,,
1/S1041.DAT,0x4794A,・・！,...!,existing
1/S1041.DAT,0x479BA,"アークデーモン 
おまえが封印（ふういん）を
解いた勇者か？",아크 데몬: 네가 봉인을 풀어 버린 용사인가?,existing
1/S1041.DAT,0x47A12,・・父さんを殺したヤツだな！,네가 아버지를 죽인 놈이구나!,existing
1/S1041.DAT,0x47A56,"アークデーモン 
何のこだかわからんな。
俺は封印（ふういん）を解いた
勇者を殺し・・",아크 데몬: 무슨 소린지 모르겠군. 난 봉인을 푼 용사를 죽이고...,existing
1/S1041.DAT,0x47ABE,"アークデーモン 
3000年の呪（のろ）いを
たち切るのだ！",아크 데몬: 삼천 년의 저주를 끊어 내겠다!,existing
1/S1041.DAT,0x47B12,"アークデーモン 
かくごするがいい！",아크 데몬: 각오해라!,existing
1/S1041.DAT,0x47BB8,"アークデーモン 
違う！こんなヤツじゃない！
どこにいる？
俺を呼びさましたヤツは！",아크 데몬: 아니야! 이런 놈이 아니다! 날 깨운 자는 어디 있지?,existing
1/S1041.DAT,0x47C86,"こんなところで
死んでしまうのか・・。",이런 곳에서 죽는 건가...,existing
1/S1041.DAT,0x47CD2,ちくしょう・・。,제길...,existing
1/S1041.DAT,0x47DD2,な、なんだ？,"뭐, 뭐지?",existing
1/S1041.DAT,0x47E22,力がみなぎつてくる！,힘이 솟아오른다!,existing
1/S1041.DAT,0x47E68,立ちなさい。,일어나세요.,existing
1/S1041.DAT,0x47EA4,誰？,누구지?,existing
1/S1041.DAT,0x47EE2,"山の精霊 
私はこの山の精霊（せいれい）・・。",산의 정령: 저는 이 산의 정령입니다...,existing
1/S1041.DAT,0x47F2E,"山の精霊 
すつとここでz聖柩y（せいひつ）を
封印（ふういん）する
炎を見守つて来ました。",산의 정령: 저는 줄곧 이곳에서 성궤를 봉인하는 불꽃을 지켜 왔습니다.,existing
1/S1041.DAT,0x47F9E,"山の精霊 
山頂へ向かいなさい。
山頂の社（やしろ）に炎をともすと
モンスターは消えます。",산의 정령: 산 정상의 사당에 불을 붙이세요. 그러면 마물은 사라집니다.,existing
1/S1041.DAT,0x48008,"わかつた。
火をつければ いいんだね？",알겠어. 불을 붙이면 되는 거지?,existing
1/S1041.DAT,0x48058,"山の精霊 
ええ<CTRL:E4>よ
しかし、あなたはもう一度
炎を消しにくることになります。",산의 정령: 그렇습니다. 하지만 당신은 언젠가 다시 불을 끄러 오게 됩니다.,existing
1/S1041.DAT,0x480C0,なぜ？,왜지?,existing
1/S1041.DAT,0x480F6,"山の精霊 
それが、あなたの運命なのです。",산의 정령: 그것이 당신의 운명이기 때문입니다.,existing
1/S1041.DAT,0x48142,運命？,운명?,existing
1/S1041.DAT,0x48178,"山の精霊 
人類は滅亡（めつぼう）に向かつて
突き進んでいます。",산의 정령: 인류는 지금 멸망을 향해 치닫고 있습니다.,existing
1/S1041.DAT,0x481D2,"山の精霊 
あなたはそれを止める運命を
せおつているんです。",산의 정령: 당신은 그 멸망을 막을 운명을 짊어지고 있습니다.,existing
1/S1041.DAT,0x48226,"山の精霊 
z聖柩yの力を
手に入れるこによつて・・。",산의 정령: 성궤의 힘을 손에 넣음으로써...,existing
1/S1041.DAT,0x4827A,人が滅びる？,인류가 멸망한다고?,existing
1/S1041.DAT,0x482BC,"山の精霊 
あなたのお父さんが、われわれ精霊と
約束をしました。<CTRL:E4>よ
滅亡をくい止めるために。",산의 정령: 당신의 아버지는 멸망을 막기 위해 우리 정령들과 약속했습니다.,existing
1/S1041.DAT,0x48326,"山の精霊 
そして、あなたはやつてきたのです。",산의 정령: 그리고 마침내 당신이 이곳에 왔습니다.,existing
1/S1041.DAT,0x48378,"山の精霊 
約束に従い、モンスターと戦う力を
あなたに与えます。",산의 정령: 약속에 따라 마물과 싸울 힘을 당신에게 드리겠습니다.,existing
1/S1041.DAT,0x483D2,"そんなこ言われたつて
何のこだか分かんないよ・・。",갑자기 그런 말을 해도 무슨 뜻인지 모르겠어...,existing
1/S1041.DAT,0x48428,"山の精霊 
今にきつと分かります。
たのみましたよ。",산의 정령: 때가 되면 알게 될 겁니다. 부탁드립니다.,existing
1/S1041.DAT,0x48498,アークは精霊の力を手に入れた。,아크는 정령의 힘을 손에 넣었다.,existing
1/S1041.DAT,0x485CC,"$<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>'<CTRL:00>地<CTRL:FF>""<CTRL:00>%<CTRL:00>攻<CTRL:FF>""<CTRL:00>#<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>$<CTRL:00>$<CTRL:00>-<CTRL:00>2<CTRL:00>$<CTRL:00>！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>（<CTRL:00>地<CTRL:FF>""<CTRL:00>&<CTRL:00>攻<CTRL:FF>""<CTRL:00>#<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>$<CTRL:00>$<CTRL:00>-<CTRL:00>2<CTRL:00>$<CTRL:00>！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>）<CTRL:00>地<CTRL:FF>""<CTRL:00>'<CTRL:00>攻<CTRL:FF>""<CTRL:00>$<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>""<CTRL:00>じ<CTRL:00><CTRL:F0><CTRL:FF>-<CTRL:00>#<CTRL:00>（<CTRL:00>て",,
1/S1041.DAT,0x48600,"！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>$<CTRL:00>$<CTRL:00>-<CTRL:00>2<CTRL:00>$<CTRL:00>！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>（<CTRL:00>地<CTRL:FF>""<CTRL:00>&<CTRL:00>攻<CTRL:FF>""<CTRL:00>#<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>$<CTRL:00>$<CTRL:00>-<CTRL:00>2<CTRL:00>$<CTRL:00>！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>）<CTRL:00>地<CTRL:FF>""<CTRL:00>'<CTRL:00>攻<CTRL:FF>""<CTRL:00>$<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>""<CTRL:00>じ<CTRL:00><CTRL:F0><CTRL:FF>-<CTRL:00>#<CTRL:00>（<CTRL:00>て",,
1/S1041.DAT,0x48616,"！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>（<CTRL:00>地<CTRL:FF>""<CTRL:00>&<CTRL:00>攻<CTRL:FF>""<CTRL:00>#<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>$<CTRL:00>$<CTRL:00>-<CTRL:00>2<CTRL:00>$<CTRL:00>！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>）<CTRL:00>地<CTRL:FF>""<CTRL:00>'<CTRL:00>攻<CTRL:FF>""<CTRL:00>$<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>""<CTRL:00>じ<CTRL:00><CTRL:F0><CTRL:FF>-<CTRL:00>#<CTRL:00>（<CTRL:00>て",,
1/S1041.DAT,0x4864A,"！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>$<CTRL:00>$<CTRL:00>-<CTRL:00>2<CTRL:00>$<CTRL:00>！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>）<CTRL:00>地<CTRL:FF>""<CTRL:00>'<CTRL:00>攻<CTRL:FF>""<CTRL:00>$<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>""<CTRL:00>じ<CTRL:00><CTRL:F0><CTRL:FF>-<CTRL:00>#<CTRL:00>（<CTRL:00>て",,
1/S1041.DAT,0x48660,"！<CTRL:00>-<CTRL:00>4<CTRL:00>$<CTRL:00> <CTRL:00>""<CTRL:00>）<CTRL:00>地<CTRL:FF>""<CTRL:00>'<CTRL:00>攻<CTRL:FF>""<CTRL:00>$<CTRL:00><CTRL:FB><CTRL:FF>""<CTRL:00>""<CTRL:00>'<CTRL:00>""<CTRL:00>$<CTRL:00>/<CTRL:00>""<CTRL:00>&<CTRL:00>1<CTRL:00>-<CTRL:00>6<CTRL:00>""<CTRL:00>！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>""<CTRL:00>じ<CTRL:00><CTRL:F0><CTRL:FF>-<CTRL:00>#<CTRL:00>（<CTRL:00>て",,
1/S1041.DAT,0x48694,"！<CTRL:00>大<CTRL:00>$<CTRL:00> <CTRL:00>-<CTRL:00>""<CTRL:00>""<CTRL:00>じ<CTRL:00><CTRL:F0><CTRL:FF>-<CTRL:00>#<CTRL:00>（<CTRL:00>て",,
1/S1051.DAT,0x479F8, <CTRL:00>9<CTRL:00>し<CTRL:00>す<CTRL:00>.<CTRL:00>う<CTRL:00> <CTRL:00>ん<CTRL:00>5<CTRL:00>は<CTRL:00>3 に<CTRL:00>す<CTRL:00>/<CTRL:00>う<CTRL:00> <CTRL:00>ん<CTRL:00>2<CTRL:00>は<CTRL:00>3 に<CTRL:00> <CTRL:00>ー か<CTRL:00> ,,
1/S1051.DAT,0x47A1C,は<CTRL:00>3 に<CTRL:00> <CTRL:00>ー か<CTRL:00> ,,
