pointer_offset,source_offset,new_offset,encoded_bytes,korean,encoded_hex
0x7822C,0x78210,0x822E3,26,데이터를 불러오고 있습니다,E0 31 E0 BD DF E8 E0 AB 9C E0 0A E0 25 E0 62 E0 7F 9C E0 CA E0 5F E0 35 E0 C1
0x82AC4,0x82A90,0x81FCB,18,저장하시겠습니까?,E0 CB E0 E1 E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47
0x82AC8,0x82AA0,0x7818F,33,전투 전 장비를 정비하시겠습니까?,E0 CC E0 EF 9C E0 CC 9C E0 E1 E0 53 E0 AB 9C E0 EB E0 53 E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47
0x82ACC,0x82AB0,0x81FDE,18,진행하시겠습니까?,DF 10 E0 8B E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47
0x82348,0x8224C,0x82070,9,대상 변경,E0 36 E0 56 9C DE 3C E0 89
0x8234C,0x8225C,0x82003,16,"공격, 연결 열기",E0 C6 E0 40 DF E2 9C DF 1C DF 86 9C E0 B2 E0 AC
0x82350,0x82270,0x82334,19,"행동 끝, 상태 확인",E0 8B E0 94 9C DF 52 DF E2 9C E0 56 DF 08 9C DE C8 E0 6A
0x82354,0x8228C,0x780CA,17,스킬을 선택하세요,E0 39 DF 88 E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66
0x82358,0x8229C,0x82044,10,돌아갑니다,E0 D5 E0 9C E0 F4 E0 35 E0 C1
0x8235C,0x822AC,0x82014,16,결정 : 돌아가기,DF 86 E0 EB 9C DF 80 9C E0 D5 E0 9C E0 C0 E0 AC
0x82360,0x822C4,0x81FB4,22,다음 대상을 선택합니다,E0 C1 DF F8 9C E0 36 E0 56 E0 A3 9C E0 58 E0 B6 E0 86 E0 35 E0 C1
0x82364,0x822D4,0x8224C,33,결정하면 주변에 스킬을 사용합니다,DF 86 E0 EB E0 C4 E0 4C 9C E0 CF DE 3C E0 9F 9C E0 39 DF 88 E0 A3 9C E0 A5 E0 67 E0 86 E0 35 E0 C1
0x82368,0x822E8,0x78100,38,결정하면 보는 방향에 스킬을 사용합니다,DF 86 E0 EB E0 C4 E0 4C 9C E0 93 E0 C2 9C E0 0F DE F8 E0 9F 9C E0 39 DF 88 E0 A3 9C E0 A5 E0 67 E0 86 E0 35 E0 C1
0x8236C,0x82304,0x81F6B,25,비어 있는 곳을 선택하세요,E0 53 E0 A0 9C E0 CA E0 C2 9C E0 7B E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66
0x82370,0x82318,0x822FE,26,결정하면 스킬을 사용합니다,DF 86 E0 EB E0 C4 E0 4C 9C E0 39 DF 88 E0 A3 9C E0 A5 E0 67 E0 86 E0 35 E0 C1
0x82374,0x82328,0x81FF1,17,인물을 선택하세요,E0 6A E0 4F E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66
0x82378,0x8233C,0x82319,26,결정하면 전투를 시작합니다,DF 86 E0 EB E0 C4 E0 4C 9C E0 CC E0 EF E0 AB 9C E0 61 E0 92 E0 86 E0 35 E0 C1
0x82AC0,0x82A88,0x82035,14,예      아니요,DF 1A 9C 9C 9C 9C 9C 9C E0 9C E0 35 E0 66
0x81EE8,0x81EB0,0x82083,8,스메리아,E0 39 E0 8F E0 98 E0 9C
0x81EEC,0x81EB8,0x781B1,6,밀마나,E0 51 E0 9E E0 99
0x81EF0,0x81EC0,0x8204F,10,그레이시누,E0 29 DF D2 E0 BD E0 61 E0 34
0x81EF4,0x81EC8,0x8205A,10,아라라토스,E0 9C E0 A6 E0 A6 E0 7E E0 39
0x81EFC,0x81ED8,0x82AB9,4,카델,DF E9 DF 68
0x81F00,0x81EE0,0x82065,10,지크라프섬,E0 A2 E0 9D E0 A6 DF 9F DF 2D
0x80F1C,0x80C0D,0x8208C,8,LV 1 상승,6C 9C 12 9C E0 56 E0 FF
