"category","index","japanese","v41_glyph_limited","v42_v43_restored","v41_status","reference"
"consumable_name","23","魔力の泉","마력의 물","마력의 샘","guide_safe_override","project_translation+local_guide_reference"
"consumable_name","25","苦い葉","쓴 풀","쓴 잎","guide_safe_override","project_translation+local_guide_reference"
"consumable_name","26","石解け<N:ハ:12>リ","몸 마비 회복침","석화 해제침","guide_safe_override","project_translation+local_guide_reference"
"consumable_name","27","痛烈な<N:ハ:12>リ","마법 봉인 회복침","침묵 해제침","guide_safe_override","project_translation+local_guide_reference"
"consumable_name","28","召喚のつ<N:げ:26>","마물 항아리","소환 항아리","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","0","炎系の攻撃に強くなります","불 공격에 강함","화염 공격 피해 감소","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","1","水系の攻撃に強くなります","물 공격에 강함","냉기 공격 피해 감소","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","2","<N:ｌ:5>へモジーへを回避します","헤모지 상태 방지","헤모지 방지","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","3","自分の<N:Π:10><N:Ｐ:10>の回復量が大きくなります","체력 회복량 증가","회복 효과 증가","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","4","戦闘で入る経験値が2倍になります","전투 경험치 2배","획득 경험치 2배","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","6","<N:ｌ:5><N:眠:5>りへを回避します","수면 상태 방지","수면 방지","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","8","<N:ｌ:5>投げるへが<N:リ:12>ベル1になります","던지기 LV +1","던지기 레벨 +1","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","10","<N:ｌ:5>暗闇へを回避します","실명 방지","암흑 방지","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","11","攻撃が<N:非:1>常に当たりやすくなります","명중 크게 상승","명중률 상승","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","12","<N:ｌ:5>投げるへが<N:ｌ:5>ぶん投げるへになります","던지기 강화","던지기가 강력 투척으로 변화","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","13","攻撃が特定の敵に強くなります","일부 적에게 강함","특정 적에게 추가 피해","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","15","<N:リ:12>ベルアッ<N:フ:11>時に<N:Π:10><N:Ｐ:10>の伸びが大きくなります","성장 시 최대 체력 증가량 상승","레벨업 시 최대 체력 증가량 상승","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","16","魔力が30<N:X:20>上昇します （<N:ニ:13>ーゲン）","마법사 마력 30% 상승","고겐 마력 30% 상승","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","17","攻撃が当たりやすくなります","명중 상승","명중률 상승","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","20","<N:ｌ:5>ジャン<N:フ:11>へが<N:リ:12>ベル1になります","점프 LV +1","점프 레벨 +1","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","21","反撃しやすくなります","반격 상승","반격률 상승","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","22","<N:ｌ:5>受け取るへが<N:リ:12>ベル1になります","받기 LV +1","받기 레벨 +1","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","24","半分の<N:∪:20><N:Ｐ:10>で能力を使用できます","소비 마력 절반","능력 MP 소비 절반","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","27","効果はわかつていません","작용 불명","효과 불명","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","29","敵がア<N:｣:11>テムを落としやすくなります","물건 입수율 상승","아이템 드롭률 상승","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","30","敵を倒すとほ<N:げ:26>ア<N:｣:11>テムが出ます","좋은 물건 입수","적 처치 시 희귀 아이템 획득","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","31","効果はわかつていません","작용 불명","효과 불명","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","32","<N:ｌ:5>石化へを回避します","돌 상태 방지","석화 방지","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","33","効果はわかつていません （アーク）","아크 전용 작용 불명","아크 전용 효과 불명","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","36","<N:ｌ:5>向き直りの笛への効果が<N:∪:20><N:∧:11><N:Ｐ:10>全体（ポニ）","방향잡이 피리가 전체에 적용","포코의 방향 전환 효과가 전체화","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","37","<N:ｌ:5><N:毒:1>へを回避します","해로운 기운 방지","독 방지","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","41","攻撃力が<N:７:11>0<N:X:20>上昇します（<N:ニ:13>ーゲン）","마법사 공격력 70% 상승","고겐 공격력 70% 상승","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","42","<N:ｌ:5>心<N:眼:3>法への<N:乾:16>囲が広くなります（<N:｣:11>ー<N:力:5>）","심안법 범위 확대","이가 심안법 범위 확장","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","43","召喚<N:午:15>ャラの経験値が自分に入ります（チョン<N:力:5>ラ）","마물 경험치가 촌가라에게","촌가라가 소환수 경험치 획득","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","44","<N:ｌ:5>沈黙へを回避します","마법 봉인 상태 방지","침묵 방지","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","47","<N:与:3>えるダメージの当たりはすれが大きくなります","공격 피해 편차 증가","피해 편차 증가","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","51","効果はわかつていません","작용 불명","효과 불명","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","52","効果はわかつていません","작용 불명","효과 불명","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","53","効果はわかつていません","작용 불명","효과 불명","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","54","効果はわかつていません","작용 불명","효과 불명","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","56","攻撃が<N:非:1>常に当たりやすくなります（トッシュ）","토슈 명중 크게 상승","토슈 공격 명중률 상승","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","57","全ステータスしょう害を回避します","모든 이상 상태 방지","모든 상태 이상 방지","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","59","<N:ｌ:5>マ<N:ヒ:5>へを回避します","마비 상태 방지","마비 방지","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","60","桜花雷爆斬でマ<N:ヒ:5>させることができます（トッシュ）","토슈 비기에 마비 부여","토슈 앵화뇌폭참에 마비 부여","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","61","攻撃が特定の敵に強くなります","일부 적에게 강함","특정 적에게 추가 피해","guide_safe_override","project_translation+local_guide_reference"
"equipment_description","62","行動するごとに<N:∪:20><N:Ｐ:10>が回復します（アーク）","아크 매 행동 마력 회복","아크 매 행동 MP 회복","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","0","炎の守り","불꽃 방어","불꽃의 수호","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","1","氷の守り","차가운 바람 방어","얼음의 수호","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","2","アンチへモジー","헤모지 방지","안티 헤모지","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","4","きぬのおび","비단 허리 장식","비단 허리띠","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","7","パワーアーム","강화 팔","파워 암","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","9","幻のこて","신기한 장갑","환상의 장갑","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","12","ぶん投げの絵巻","던지기 두루마리","투척의 두루마리","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","14","バ<N:｣:11>オ<N:リ:12>ット<N:リ:12>ーサー","보라 레이저","바이올렛 레이저","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","16","じ<N:ぃ:20>す","기도 구슬","염주","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","17","長老のはちまき","장로 허리 장식","장로의 머리띠","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","19","<N:ハ:12><N:｣:11>パーフーツ","하이퍼 신발","하이퍼 부츠","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","23","技のフ<N:リ:12>ス<N:リ:12>ット","마력 팔찌","기술의 팔찌","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","27","幻獣の<N:牙:4>","마수의 이빨","환수의 이빨","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","28","しおかぜの調ベ","바다 바람의 노래","바닷바람의 선율","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","29","<N:貝:2>がら","조가비","조개껍데기","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","30","一角獣の角","일각수 장식","유니콘의 뿔","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","31","<N:悲:5>劇のめがね","비애의 안경","비극의 안경","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","34","幻の<N:ｴ:24>びわ","신기한 반지","환상의 반지","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","37","<N:毒:1>よけの<N:ｴ:24>びわ","몸 이상 방지 반지","독막이 반지","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","38","幻の盾","신기한 막이","환상의 방패","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","39","戦士の守り","전사 방어","전사의 수호","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","40","長老の盾","장로 막이","장로의 방패","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","41","強力な<N:杖:1>","강한 마법봉","강력한 지팡이","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","45","まがいの像","모조상","가짜 상","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","47","幻の剣","신기한 검","환상의 검","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","49","乱れる宝石","요동치는 돌","요동치는 보석","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","50","アーマーストーン","갑옷 돌","아머 스톤","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","51","ロマンシン<N:ク:12>ストーン","연인의 돌 1","로맨싱 스톤","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","52","ロマンシン<N:ク:12>ストーン","연인의 돌 2","로맨싱 스톤","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","53","ロマンシン<N:ク:12>ストーン","연인의 돌 3","로맨싱 스톤","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","54","ロマンシン<N:ク:12>ストーン","연인의 돌 4","로맨싱 스톤","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","56","おし花の本","꽃 도감","압화 책","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","57","クラウ<N:ｲ:6>スの本","크라우스 도감","클라우스의 책","guide_safe_override","project_translation+local_guide_reference"
"equipment_name","62","勇者の証","용자의 증거","용자의 증표","guide_safe_override","project_translation+local_guide_reference"
"location_name","7","謁見の聞","왕의 방","알현실","guide_safe_override","project_translation+local_guide_reference"
"location_name","15","パ<N:リ:12>ンシア城地下倉庫","팔렌시아 지하 보관소","팔렌시아 지하창고","guide_safe_override","project_translation+local_guide_reference"
"location_name","18","幻界","이계","환계","guide_safe_override","project_translation+local_guide_reference"
"location_name","35","地下エ<N:リ:12>ベータ","지하 승강기","지하 엘리베이터","guide_safe_override","project_translation+local_guide_reference"
"location_name","40","トウウ<N:ｲ:6>ルがん<N:ヘ:5>き","토우빌 바위산","토우빌 암벽","guide_safe_override","project_translation+local_guide_reference"
"location_name","54","クラーフとう最上階","탑 꼭대기","클라프탑 최상층","guide_safe_override","project_translation+local_guide_reference"
"skill_description","1","ようがんを発生させ敵にダメージを<N:与:3>えます","불바다로 주변 적 공격","용암으로 적에게 피해","guide_safe_override","project_translation+local_guide_reference"
"skill_description","2","ステ<N:｣:11>タス傷害と体力を回復します","이상 상태와 체력 회복","상태 이상과 체력 회복","guide_safe_override","project_translation+local_guide_reference"
"skill_description","3","いくうかんからの攻撃で敵にダメージを<N:与:3>えます","이공간 공격으로 적 피해","이공간 공격으로 피해","guide_safe_override","project_translation+local_guide_reference"
"skill_description","4","敵の素早さを下げます","일정 범위 적 민첩 감소","적 민첩 감소","guide_safe_override","project_translation+local_guide_reference"
"skill_description","5","いんせきが落下しまわりの敵にダメージを<N:与:3>えます","별을 내려 주변 적 공격","운석으로 주변 적 피해","guide_safe_override","project_translation+local_guide_reference"
"skill_description","6","体力を回復します","주변 아군 체력 회복","체력 회복","guide_safe_override","project_translation+local_guide_reference"
"skill_description","7","<N:毒:1>を消しさります","해로운 기운 제거","독 해제","guide_safe_override","project_translation+local_guide_reference"
"skill_description","9","ステ<N:｣:11>タス傷害を回復します","아군의 이상 상태 회복","상태 이상 회복","guide_safe_override","project_translation+local_guide_reference"
"skill_description","12","敵の体力をすいとり味方に分け<N:与:3>えます","적 체력 줄여 아군 회복","적 체력을 흡수해 아군 회복","guide_safe_override","project_translation+local_guide_reference"
"skill_description","13","敵一体に必殺の剣で斬りつけます","적 하나에 강한 검격","적 하나에 필살검","guide_safe_override","project_translation+local_guide_reference"
"skill_description","14","敵をマ<N:ヒ:5>させます","적 하나를 마비로 변화","적에게 마비 부여","guide_safe_override","project_translation+local_guide_reference"
"skill_description","15","2ます先の敵を斬りつけます","전방의 적 공격","두 칸 앞의 적 공격","guide_safe_override","project_translation+local_guide_reference"
"skill_description","16","敵に向かつて走り込んで斬りつけます","달려가며 적 공격","돌진하며 적 공격","guide_safe_override","project_translation+local_guide_reference"
"skill_description","17","味方の攻撃力を上げます","범위 아군 공격력 상승","아군 공격력 상승","guide_safe_override","project_translation+local_guide_reference"
"skill_description","18","<N:波:1>動<N:リ:12>ー<N:ザ:8>ー弾を撃ちます","파동 광선으로 적 공격","파동 광선 발사","guide_safe_override","project_translation+local_guide_reference"
"skill_description","19","<N:遠:1>くの敵を気合で攻撃します","먼 적을 소리로 공격","먼 적을 기합으로 공격","guide_safe_override","project_translation+local_guide_reference"
"skill_description","20","一度にたくさんの爆弾を撃ちます","다수의 폭발 구슬 발사","폭탄을 연속 발사","guide_safe_override","project_translation+local_guide_reference"
"skill_description","21","味方の体力を回復します","주변 아군 체력 회복","아군 체력 회복","guide_safe_override","project_translation+local_guide_reference"
"skill_description","22","敵のすばやさを下げます","일정 범위 적 민첩 감소","적 민첩 감소","guide_safe_override","project_translation+local_guide_reference"
"skill_description","23","味方のすばやさを上げます","주변 아군 민첩 상승","아군 민첩 상승","guide_safe_override","project_translation+local_guide_reference"
"skill_description","24","全員がポニと同じ方向に向きを変えます","아군 방향을 포코로 변경","전원이 포니 방향으로 전환","guide_safe_override","project_translation+local_guide_reference"
"skill_description","25","すごい炎で敵をつつみこみダメージを<N:与:3>えます","큰 불꽃으로 범위 공격","거대한 불꽃으로 피해","guide_safe_override","project_translation+local_guide_reference"
"skill_description","26","敵を<N:眠:5>らせます","범위 적을 잠들게 함","적에게 수면 부여","guide_safe_override","project_translation+local_guide_reference"
"skill_description","27","すごいふぶきを起こして敵にダメージを<N:与:3>えます","눈보라로 주변 적 공격","눈보라로 적에게 피해","guide_safe_override","project_translation+local_guide_reference"
"skill_description","28","すごい風を起こして敵にダメージを<N:与:3>えます","돌풍으로 주변 적 공격","강풍으로 적에게 피해","guide_safe_override","project_translation+local_guide_reference"
"skill_description","29","炎のかたまりを作りだします","불꽃 장막 생성","불꽃 장벽 생성","guide_safe_override","project_translation+local_guide_reference"
"skill_description","30","すごい雷を落として敵にダメージを<N:与:3>えます","전기로 범위 적에게 피해","번개로 적에게 피해","guide_safe_override","project_translation+local_guide_reference"
"skill_description","31","まわりの味方を連れてテ<N:リ:12>ポートします","주변 아군과 공간 이동","주변 아군과 순간이동","guide_safe_override","project_translation+local_guide_reference"
"skill_description","33","心<N:眼:3>法でロックした敵に対して光弾を撃ち込みます","고정한 적에게 광선 발사","고정한 적에게 광탄 발사","guide_safe_override","project_translation+local_guide_reference"
"skill_description","34","自分のまわりにいる敵<N:午:15>ャラクタを攻撃します","주변 적을 회전하며 공격","주변 적 공격","guide_safe_override","project_translation+local_guide_reference"
"skill_description","35","たつまきで敵をすいあげて地上にたたき落とします","회오리로 올려 내리침","회오리로 띄워 내리찍음","guide_safe_override","project_translation+local_guide_reference"
"skill_description","36","自分の残像を敵に向かつてぶつけます","분신을 날려 공격","잔상을 날려 공격","guide_safe_override","project_translation+local_guide_reference"
"skill_description","37","自分よりある程度弱い敵を消し去ります","자신보다 약한 적을 소멸","약한 적을 소멸","guide_safe_override","project_translation+local_guide_reference"
"skill_description","38","<N:ｌ:5><N:ゲ:16>ラックへを召喚します","회복 마물로 체력 회복","케락 소환","guide_safe_override","project_translation+local_guide_reference"
"skill_description","39","<N:ｌ:5>モフリーへを召喚します","모프리를 불러 길 생성","모프리 소환","guide_safe_override","project_translation+local_guide_reference"
"skill_description","40","<N:ｌ:5>フウジンへを召喚します","후우진을 부름","후우진 소환","guide_safe_override","project_translation+local_guide_reference"
"skill_description","41","<N:ｌ:5>ラ<N:｣:11>ジンへを召喚します","라이진을 부름","라이진 소환","guide_safe_override","project_translation+local_guide_reference"
"skill_description","42","<N:ｌ:5>へモジーへを召喚します","헤모지를 불러 적을 변화","헤모지 소환","guide_safe_override","project_translation+local_guide_reference"
"skill_description","43","<N:ｌ:5>オトンへを召喚します","강한 마물로 힘 상승","오톤 소환","guide_safe_override","project_translation+local_guide_reference"
"skill_description","44","モンスターを調ベます","마물의 힘 조사","몬스터 정보 조사","guide_safe_override","project_translation+local_guide_reference"
"skill_description","45","<N:ｌ:5>ちょこへを召喚します","초코를 부름","초코 소환","guide_safe_override","project_translation+local_guide_reference"
"skill_description","46","味方を回復します","아군 체력 회복","아군 회복","guide_safe_override","project_translation+local_guide_reference"
"skill_description","47","行けないところに<N:ｴ:24>かを造ります","못 가는 곳에 길 생성","갈 수 없는 곳에 다리 생성","guide_safe_override","project_translation+local_guide_reference"
"skill_description","48","ラ<N:｣:11>ジンとの合体魔法","라이진 합체 마법","라이진과 합체 마법","guide_safe_override","project_translation+local_guide_reference"
"skill_description","49","フウジンとの合体魔法","후우진 합체 마법","후우진과 합체 마법","guide_safe_override","project_translation+local_guide_reference"
"skill_description","50","敵に乗り移れます","적의 몸으로 이동","적에게 빙의","guide_safe_override","project_translation+local_guide_reference"
"skill_description","53","かまフーメランで敵を攻撃します","큰 무기를 던져 공격","낫 부메랑으로 공격","guide_safe_override","project_translation+local_guide_reference"
"skill_description","57","つばさをはためかせ風でダメージを<N:与:3>えます","바람으로 적에게 피해","날갯짓으로 바람 피해","guide_safe_override","project_translation+local_guide_reference"
"skill_description","58","敵をへモジーにします","적을 헤모지 상태로 변화","적을 헤모지 상태로 만듦","guide_safe_override","project_translation+local_guide_reference"
"skill_name","2","トータル<N:ヒ:5>ーリン<N:ク:12>","전체 회복","토탈 힐링","guide_safe_override","project_translation+local_guide_reference"
"skill_name","5","メテオフ<N:｣:13>ール","별 내리기","메테오 폴","guide_safe_override","project_translation+local_guide_reference"
"skill_name","6","<N:午:15>ュア","회복","큐어","guide_safe_override","project_translation+local_guide_reference"
"skill_name","7","デポ<N:｣:11><N:ス:15>ン","해로운 기운 제거","디포이즌","guide_safe_override","project_translation+local_guide_reference"
"skill_name","10","天のさばき","하늘의 심판","천벌","guide_safe_override","project_translation+local_guide_reference"
"skill_name","11","リ<N:ザ:8><N:リ:12>クション","부활","리저렉션","guide_safe_override","project_translation+local_guide_reference"
"skill_name","13","桜花雷爆斬","토슈 비기","앵화뇌폭참","guide_safe_override","project_translation+local_guide_reference"
"skill_name","14","呪縛剣","봉인검","주박검","guide_safe_override","project_translation+local_guide_reference"
"skill_name","15","<N:真:2><N:空:2>斬","진공검","진공참","guide_safe_override","project_translation+local_guide_reference"
"skill_name","16","<N:虎:5><N:影:1>斬","그림자검","호영참","guide_safe_override","project_translation+local_guide_reference"
"skill_name","17","戦の小太鼓","전투 큰 북","전투의 북","guide_safe_override","project_translation+local_guide_reference"
"skill_name","18","荒獅子太鼓","황사자태고","황사자 북","guide_safe_override","project_translation+local_guide_reference"
"skill_name","20","へろへろラッパ","비틀비틀 나팔","탈진 나팔","guide_safe_override","project_translation+local_guide_reference"
"skill_name","22","のろまのベース","느림의 연주","둔화 베이스","guide_safe_override","project_translation+local_guide_reference"
"skill_name","24","向き直りの笛","방향잡이 피리","방향전환 피리","guide_safe_override","project_translation+local_guide_reference"
"skill_name","25","エクス<N:フ:11>ロージョン","대폭발","익스플로전","guide_safe_override","project_translation+local_guide_reference"
"skill_name","28","ウ<N:｣:11>ントスラッシャー","바람 검","윈드 슬래셔","guide_safe_override","project_translation+local_guide_reference"
"skill_name","29","<N:ヒ:5>ートウ<N:｣:13>ール","불의 장막","히트 월","guide_safe_override","project_translation+local_guide_reference"
"skill_name","30","サンダーストーム","전기 폭풍","썬더 스톰","guide_safe_override","project_translation+local_guide_reference"
"skill_name","31","テ<N:リ:12>ポート","공간 이동","텔레포트","guide_safe_override","project_translation+local_guide_reference"
"skill_name","33","<N:退:3>魔光弾","악령 광선","퇴마광탄","guide_safe_override","project_translation+local_guide_reference"
"skill_name","34","旋風撃蹴","회오리 차기","선풍격축","guide_safe_override","project_translation+local_guide_reference"
"skill_name","36","鬼神流<N:影:1><N:波:1>","유령 파동","귀신류영파","guide_safe_override","project_translation+local_guide_reference"
"skill_name","38","<N:ゲ:16>ラック","회복 마물","케락","guide_safe_override","project_translation+local_guide_reference"
"skill_name","43","オトン","강화 마물","오톤","guide_safe_override","project_translation+local_guide_reference"
"skill_name","48","風雷破","바람 전기","풍뢰파","guide_safe_override","project_translation+local_guide_reference"
"skill_name","49","風雷破","바람 전기","풍뢰파","guide_safe_override","project_translation+local_guide_reference"
"skill_name","50","乗り移り","몸 가져오기","빙의","guide_safe_override","project_translation+local_guide_reference"
"skill_name","51","バク<N:リ:12>ツ手裏剣","폭발 수리검","폭렬 수리검","guide_safe_override","project_translation+local_guide_reference"
"skill_name","55","炎雷崩","불과 전기","염뢰붕","guide_safe_override","project_translation+local_guide_reference"
"skill_name","56","ダスト・ルー<N:｣:11>ン","먼지 마법진","더스트 룬","guide_safe_override","project_translation+local_guide_reference"
"skill_name","57","ヨミのつばさ","요미의 바람","요미의 날개","guide_safe_override","project_translation+local_guide_reference"
"skill_name","58","やる気なし","기운 없음","의욕 없음","guide_safe_override","project_translation+local_guide_reference"
