음절,상태,등장,단어수,단어,원문,현재 번역,대체안,보류 사유
맑,검토필요,1,1,맑았어(1),罪人？ / きれいな目をしていたわよ。,죄인? 눈이 맑았어.,,
펼,검토필요,1,1,펼칠(1),リエちゃん / あんた、トッシュといい勝負ができるな,"리에: 너, 토슈와 꽤 좋은 승부를 펼칠 수 있겠는걸.",,
앉,보류,1,1,눌러앉아(1),わしの家にオトンが住み着いとるとは・・・。,내 집에 아버지가 눌러앉아 있다니...,,住み着く의 눌러앉는 뉘앙스를 살릴 대체어가 마땅치 않다
탈,검토필요,1,1,찬탈을(1),大臣  / 王よ、この者は王家乗つ取りをもくろんでおるやも。,"대신: 왕이시여, 이 자는 왕가 찬탈을 노리고 있을지도 모릅니다.",,
척,검토필요,1,1,척하기는(1),かつこつけやがつて。,멋있는 척하기는.,,
쵸,검토필요,1,1,쵸코의(1),ラマダ僧  / ちょこのかみのけのいろは？,라마다 승: 쵸코의 머리카락 빛깔은?,,
밝,검토필요,1,1,밝혀져(1),大僧正  / 大経典を持ち出されれば / 封印の技が明らかになり / 恐ろしいこになる。,대승정: 대경전이 밖으로 나가면 봉인의 기술이 밝혀져 끔찍한 일이 벌어진다.,,
엉,검토필요,1,1,엉망이(1),きつと大僧正がモンスターに / 取つて代わられた時に、 / 荒らされたんでしょうね。,분명 대승정이 몬스터에게 자리를 빼앗긴 때 엉망이 된 거겠지.,,
뤘,검토필요,1,1,이뤘나(1),兵士1  / アークか？ / 王との約束を果たしたのか？,병사: 아크인가? 왕과의 약속은 이뤘나?,,
볍,검토필요,1,1,가볍게(1),僧正  / やつらをあまくみない方がいい / なにやら大きな力を感じる。,승정: 그자들을 가볍게 보지 않는 편이 좋습니다. 왠지 큰 힘이 느껴집니다.,,
덤,검토필요,1,1,덤으로(1),水の精霊  / ついでにこの国の / モンスター退治をしていつておくれよ！ / その分お礼はするからさ。,물의 정령: 덤으로 이 나라의 몬스터도 퇴치해 다오! 그만큼 보답은 하마.,,
낸,검토필요,1,1,화낸다고(1),兵士1  / 怒つた所でどうしようもねえだろう。,병사1: 화낸다고 어쩔 수 있는 것도 아니잖아.,,
짝,검토필요,1,1,짝이(1),どいつもこいつも、だらしないねえ。,"누구나 할 것 없이, 한심하기 짝이 없군.",,
렵,검토필요,1,1,무렵(1),サリュ族の男  / そのころは、ここは水とみどりの豊かな / それは住みやすい土地だつた / と聞いております。,"사류족 남자: 그 무렵 이곳은 물과 초목이 풍부한, 매우 살기 좋은 땅이었다고 들었습니다.",,
켈,보류,1,1,스켈레톤(1),レットスケルトン  / うがー！,레드 스켈레톤: 우가아!,,스켈레톤은 몬스터 고유명이라 임의로 바꿀 수 없다
웃,보류,1,1,웃지(1),水の精霊  / わらつちゃうじゃないの。 / この国はもともと / ゆたかな国だつたんだよ。,물의 정령: 웃지 마라. 이 나라는 원래 풍요로운 나라였단다.,,わらつちゃう는 '웃음이 나온다'는 뜻이라 대체어가 의미를 옅게 만든다
즉,검토필요,1,1,즉(1),精霊達は、おまえをみとめれば / 石、すなわち意志をおまえに / たくす。,"정령들은 너를 인정하면 돌, 즉 의지를 너에게 맡긴다.",,
옵,검토필요,1,1,무엇이옵니까(1),ナンデショウナ？,무엇이옵니까?,,
줍,검토필요,1,1,줍는(1),乗員  / 何か大こなものをひろうことがあるみたいですよ。,승무원: 뭔가 대단한 것을 줍는 일이 있는 모양입니다.,,
뻔,검토필요,1,1,뻔했어요(1),ベみの精霊  / ヨシュアは、この国で殺されかけたの、 / 次の国王であるという理由でね。,베미의 정령: 요슈아는 이 나라에서 다음 국왕이 될 사람이라는 이유로 죽임을 당할 뻔했어요.,,
납,검토필요,1,1,나타납니다(1),ヤグン  / 最近はこの付近でもモンスターが現われる,야군: 최근에는 이 근처에도 몬스터가 나타납니다.,,
묵,검토필요,1,1,묵어도(1),明日にでも出発するとして / 今夜はここにとまつていいぞ。 / 宿代はサービスじゃ。,내일이라도 출발한다면 오늘 밤은 여기 묵어도 좋다네. 방값은 서비스야.,,
렁,검토필요,1,1,어슬렁거릴(1),兵士  / じゃまだ、じゃまだ！ / ここは、子供のうろちょろする場所じゃないぞ。,"병사: 방해야, 방해! 여기는 아이들이 어슬렁거릴 곳이 아니야.",,
딪,검토필요,1,1,부딪쳐(1),ベみの精霊  / 身を持つて知つた経験を生かして / 正しい道をみつけて進みなさい。,베미의 정령: 몸소 부딪쳐 알게 된 경험을 살려 올바른 길을 찾아 나아가세요.,,
돋,검토필요,1,1,돋는구나(1),風の精霊  / お前らがオーフを壊してくれなければ、 / これがすつと続いたかと思うとさすがに / ぞつとするぞ。,바람의 정령: 너희가 오브를 부수지 않았더라면 이것이 계속됐을 거라고 생각하니 정말 소름이 돋는구나.,,
봬,검토필요,1,1,봬도(1),子供、子供つて / これでもスメリア王の命で来ているのよ。,"아이들이라니, 이래 봬도 수메리아 왕의 명으로 온 거예요.",,
돈,검토필요,1,1,돈이(1),何か金になる話か？,돈이 될 만한 이야기인가?,,
뒷,검토필요,1,1,뒷받침하는(1),そして知ろうとする気持ちを支えているのもまた欲ではなかろうか。,그리고 알고자 하는 마음을 뒷받침하는 것도 또한 욕망이 아닐까.,,
헉,검토필요,1,1,헉(1),兵士  / はつ！,병사: 헉!,,
큭,검토필요,1,1,큭(1),ぐつ・・。,큭...,,
홀,검토필요,1,1,홀로(1),水の精霊  / それが、こんな地下深くでひつそりと / 誰にもありがたがられすにねえ。,물의 정령: 그런데 이런 지하 깊은 곳에 홀로 숨어 누구에게도 고마움 받지 못하고 있구나.,,
붕,보류,1,1,대붕괴(1),ここは3000年前 / 大崩壊（だいほうかい）の後 / 人が最初に街を作り / それが大きくなりできたところ。,"여기는 3천 년 전 대붕괴 뒤에 사람이 처음으로 거리를 만들고, 그것이 크게 발전한 곳이야.",,대붕괴는 세계관 용어라 표기 변경에 판단이 필요하다
찍,검토필요,1,1,끔찍한(1),大僧正  / 大経典を持ち出されれば / 封印の技が明らかになり / 恐ろしいこになる。,대승정: 대경전이 밖으로 나가면 봉인의 기술이 밝혀져 끔찍한 일이 벌어진다.,,
곤,검토필요,1,1,곤란하군요(1),こまりましたな、<CTRL:E4>よこのままじゃ帰れませんわ<CTRL:E4>よ,곤란하군요. 이대로는 돌아갈 수 없습니다.,,
섰,검토필요,1,1,맞섰다는군(1),兵士1  / くわしくはしらんが / 大臣の発令したパレンシア改造計画に / たてついたらしい。,"병사1: 자세히는 모르지만, 대신이 발령한 팔렌시아 개조 계획에 맞섰다는군.",,
값,검토필요,1,1,방값은(1),明日にでも出発するとして / 今夜はここにとまつていいぞ。 / 宿代はサービスじゃ。,내일이라도 출발한다면 오늘 밤은 여기 묵어도 좋다네. 방값은 서비스야.,,
닿,검토필요,1,1,닿았다(1),おまえのうわさが私のもとにとどいた。 / あれからもう10年、早いものだ。,"네 소문이 내게 닿았다. 그로부터도 벌써 10년, 빠르구나.",,
독,검토필요,1,1,독차지해서는(1),ベみの精霊  / 誰かだけが奪い / ひとりじめしてはならないのです。,베미의 정령: 누구 한 사람만이 빼앗아 독차지해서는 안 됩니다.,,
챈,검토필요,1,1,눈치챈(1),敵は私たちが行動を始めたのに / 気付いているようだ。,적은 우리가 행동을 시작한 것을 눈치챈 모양이다.,,
월,검토필요,1,1,세월(1),よくぞ シオンの炎を消した！ / 3000年もの長きにわたり / われを封じ込めし炎を・・。,잘도 시온의 불꽃을 껐구나! 3천 년이라는 긴 세월 동안 나를 가두어 둔 불꽃을...,,
밑,검토필요,1,1,밑의(1),サリュ族の男  / アリバーシャ国王の配下の将軍です。,사류족 남자: 아리바샤 국왕 밑의 장군입니다.,,
깔,보류,1,1,빛깔은(1),ラマダ僧  / ちょこのかみのけのいろは？,라마다 승: 쵸코의 머리카락 빛깔은?,,"'색깔'로 바꾸면 색이 남고, '색'으로 되돌리면 색이 다시 1회가 된다"
껍,검토필요,1,1,껍데기만(1),地の精霊  / それを、小手先ばかりまねて / 継承（けいしょう）するからこうなつて / しまう。,땅의 정령: 그것을 껍데기만 흉내 내어 계승하니 이렇게 되어 버린 게다.,,
훤,검토필요,1,1,훤히(1),この期に及んでまだ嘘をつくのかこちらは大僧正様が / 何もかもお見通しだ。,이 지경이 되고도 아직 거짓말을 하는가. 대승정님께서는 모든 것을 훤히 보고 계신다.,,
앙,검토필요,2,1,신앙의(2),男  / トヨーケの森は、かつてはベみの森とよばれ、国民の信こうの対しょうだつたのですが・・、,"남자: 토요케의 숲은 예전에는 베미의 숲이라 불렸고, 국민 신앙의 대상이었습니다만...",,
꽤,검토필요,2,1,꽤(2),リエちゃん / あんた、トッシュといい勝負ができるな,"리에: 너, 토슈와 꽤 좋은 승부를 펼칠 수 있겠는걸.",,
얌,검토필요,2,1,얌전히(2),兵士2  / おとなしくしてくれたんで / ホント助かつたぜ。,병사2: 얌전히 있어 줘서 정말 도움이 됐어.,,
둬,검토필요,2,1,그만둬(2),兵士  / こら！ / やめろ、やめないか！！,"병사: 이봐! 그만둬, 그만두지 못해!!",,
똑,검토필요,2,1,똑똑히(1),兵士1  / よかろう！人聞の底力さを / 思い知らせてやろう。,병사1: 좋다! 인간의 저력을 똑똑히 보여 주마.,,
픈,검토필요,2,1,슬픈(2),老人  / 人聞同士が殺しあうなんて悲しいこじゃのう。,노인: 사람끼리 서로 죽이다니 슬픈 일이구먼.,,
션,검토필요,2,1,컨디션이(2),出場者  / 今日は調子が悪いから明日にしよう。,출전자: 오늘은 컨디션이 안 좋으니 내일 하자.,,
컨,검토필요,2,1,컨디션이(2),出場者  / 今日は調子が悪いから明日にしよう。,출전자: 오늘은 컨디션이 안 좋으니 내일 하자.,,
힌,검토필요,2,1,맞힌(2),ラマダ僧  / 私のもんだいに全て正解したのはおまえが初めてだ。ほうびにこれをやろう。,라마다 승: 내 문제를 모두 맞힌 건 네가 처음이다. 상으로 이걸 주마.,,
현,검토필요,2,1,현재(2),アナウンサー  / 現在、,"아나운서: 현재,",,
엽,검토필요,2,2,귀엽구먼(1) 귀엽구나(1),リエちゃんかわいいのふ,"리에 양, 귀엽구먼.",,
랜,검토필요,2,2,오랜만인(1) 오랜만에(1),ひさしぶりな気がする。,오랜만인 것 같아.,,
교,검토필요,2,2,공교롭게도(1) 라마다교라는(1),大臣  / ご苦労 / だがあいにく国王はぐあいが悪いようだ / 代わつて私が話を聞こう,대신: 수고했다. 하지만 공교롭게도 국왕께서는 편찮으신 모양이다. 대신 내가 이야기를 듣도록 하지.,,
착,검토필요,2,2,도착한다는(1) 집착한(1),突然、死んだものとばかり思つていた父親からこのような手紙が届くことで,죽은 줄로만 알았던 아버지에게서 갑자기 이런 편지가 도착한다는 것은,,
얼,검토필요,2,2,얼마나(1) 얼굴도(1),どれほどすばらしいことだろう、と私は思う。,"얼마나 훌륭한 일일까, 하고 나는 생각한다.",,
흉,검토필요,2,2,흉내(1) 흉악한(1),地の精霊  / それを、小手先ばかりまねて / 継承（けいしょう）するからこうなつて / しまう。,땅의 정령: 그것을 껍데기만 흉내 내어 계승하니 이렇게 되어 버린 게다.,,
짜,검토필요,2,2,공짜니까(1) 진짜(1),礼は言うが宝はわけんぞ / 言うだけならただだからな,고맙다는 말은 하겠지만 보물은 나누지 않을 거야. 말만 하는 건 공짜니까.,,
순,검토필요,2,2,순식간에(1) 부순(1),サリュ族の男  / 動力石は、高値で売れ / 国はにわかに富みました。,사류족 남자: 동력석은 비싸게 팔려 나라가 순식간에 부유해졌습니다.,,
뱅,검토필요,2,2,술주정뱅이는(1) 술주정뱅이가(1),兵士  / 何だ、このヨッパライは！？,"병사: 뭐야, 이 술주정뱅이는!?",,
툼,검토필요,2,2,다툼에(1) 다툼으로(1),ベみの精霊  / 彼は人聞同士の争いに / つかれていたのです。,베미의 정령: 그는 인간들끼리의 다툼에 지쳐 있었어요.,,
추,검토필요,2,2,추진하는(1) 추한(1),兵士2  / 大臣の進めているパレンシアの改造計画にたてついた罪でな。,병사2: 대신이 추진하는 팔렌시아 개조 계획에 맞선 죄로 말이지.,,
채,검토필요,2,2,채굴장입니다(1) 채굴은(1),サリュ族の男  / あれは動力石の採使場（さいくつじょう）です。,사류족 남자: 저것은 동력석 채굴장입니다.,,
깃,검토필요,2,2,깃든(1) 깃들어(1),おまえのかたなに宿る精霊。,네 검에 깃든 정령이다.,,
컷,검토필요,3,1,실컷(3),兵士1  / せいぜいほざいてればいいさ / じゃあな。,병사1: 실컷 떠들고 있으면 돼. 그럼 이만.,,
완,검토필요,3,1,완전히(3),国王  / わしも最近、すつかりおとろえてしまつたようじゃ。,국왕: 나도 요즘 완전히 쇠약해진 모양이야.,,
릅,검토필요,3,1,모릅니다(3),大臣  / 王よ、この者は王家乗つ取りをもくろんでおるやも。,"대신: 왕이시여, 이 자는 왕가 찬탈을 노리고 있을지도 모릅니다.",,
쩔,검토필요,3,1,어쩔(3),兵士1  / 怒つた所でどうしようもねえだろう。,병사1: 화낸다고 어쩔 수 있는 것도 아니잖아.,,
퇴,검토필요,3,1,퇴치해(3),大臣  / そこのモンスターを退治して欲しいのだ。,대신: 저기 있는 몬스터를 퇴치해 주었으면 한다.,,
익,검토필요,3,2,손익(2) 손익만으로(1),なぜ？ / <CTRL:E4>よ損得でしか動かないんじゃ / ないのか？,왜? 손익 때문에만 움직이는 게 아니었나?,,
떨,검토필요,3,2,떨어져(2) 어떨까(1),じゆうにあるけるときは、いろんなところで<CTRL:E7>！をおしてみてね。何かおちているかもしれないよ。,자유롭게 걸어 다닐 수 있을 때는 여기저기서 결정 버튼을 눌러 봐. 뭔가 떨어져 있을지도 몰라.,,
극,검토필요,3,2,비극을(2) 비극도(1),人の無知は時として多くの悲劇を生む。しかし、人は学び知るこができる。,인간의 무지는 때때로 많은 비극을 낳는다. 하지만 인간은 배우고 알 수 있어.,,
철,검토필요,3,3,철수한다(1) 철저히(1) 철수하자(1),マットバトラー  / よし、カサトール様がお待ちかねだ。 / 引きあげるぞ。,"매트 버틀러: 좋아, 카사토르 님이 기다리고 계신다. 철수한다.",,
업,검토필요,3,3,업해도(1) 업해서(1) 업시키는(1),どんなにレベルアップしても、 / おぼえられない能力もいくつかあるみたい。,아무리 레벨 업해도 배울 수 없는 능력도 몇 가지 있는 모양이야.,,
흘,검토필요,3,3,사흘(1) 흘린(1) 흘렸을(1),兵士  / しかし、王のそうぎは3日前に終わりましたよ,병사: 하지만 왕의 장례는 사흘 전에 끝났습니다만.,,
존,검토필요,3,3,존재에게(1) 존재라고(1) 존재를(1),確かに私は一度は人聞というものに / 失望したが、,"확실히 나는 한때 인간이라는 존재에게 실망했지만,",,
취,검토필요,3,3,취급하지(1) 취급할(1) 취하는(1),俺達が、モンスターを倒して見せるしかないだろう。 / 将軍が子供あつかいできないように。,우리가 몬스터를 쓰러뜨려 보이는 수밖에 없겠지. 장군이 아이 취급하지 못하게.,,
백,검토필요,3,3,백성의(1) 백(1) 이백(1),そして / 神の血をひく民の娘として / 王子と結婚させられる。,그리고 신의 피를 이은 백성의 딸로서 왕자와 결혼하게 되는 거야.,,
셈,검토필요,3,3,셈이군(1) 셈이지(1) 셈이야(1),大臣  / フンッ / 少し計画はくるつたが、 / おまえらのおかげで手聞がはぶけたわ。,"대신: 흥! 계획은 조금 틀어졌지만, 너희들 덕분에 수고를 던 셈이군.",,
맙,검토필요,3,3,고맙다고(1) 고맙다는(1) 고맙지만(1),いや助かつた、助かつた / 礼を言うぞ,"아니, 살았다 살았어. 고맙다고 하겠어.",,
럽,검토필요,3,3,당황스럽겠지(1) 믿음직스럽다네(1) 자랑스럽습니다(1),おまえ自身もとまどうであろう。,너 자신도 당황스럽겠지.,,
껴,검토필요,3,3,느껴지지만(1) 느껴집니다(1) 느껴져(1),敵つていうのは、 / 一体何なんだろう？<CTRL:E4>よ / 確かに大きな力は感じるけど・・,적이라는 건 대체 뭘까? 분명 큰 힘은 느껴지지만...,,
몇,검토필요,4,1,몇(4),乗員  / ここで何度も戦えば、 / どんどん強くなれます。,승무원: 여기서 몇 번이고 싸우면 점점 강해질 수 있습니다.,,
특,검토필요,4,2,특수(3) 특별(1),チョピン  / 特しゅ攻撃もアイテムを投げるのと同じく絶対に敵の反撃を受けない攻撃手段です。,초핀: 특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.,,
쩌,검토필요,4,2,어쩌면(3) 어쩌지(1),モンスターが強くて、どうやつても勝てないときはどうしよう。,몬스터가 너무 강해서 어떻게 해도 이길 수 없을 때는 어쩌지?,,
끔,검토필요,4,3,가끔(2) 가끔은(1) 끔찍한(1),ポストはときどき見に来た方がいいね。,우편함은 가끔 보러 오는 편이 좋겠어.,,
창,검토필요,4,3,창고로(2) 창고나(1) 창고였어(1),地下へ通じる道なら / 倉庫か牢屋しか / 考えられないなっ。,지하로 통하는 길이라면 창고나 감옥밖에는 생각할 수 없겠군.,,
놓,검토필요,4,3,놓고(2) 놓아줄(1) 놓을(1),しらベまくつて / 役に立たなかつたら / どうしてくれるんだよ。,모조리 조사해 놓고 도움이 안 되면 어쩔 셈이야?,,
박,검토필요,4,3,박식하지(2) 박식한(1) 투박한(1),まつたく、 / ものしりなのか / そうじゃないのか・・。,"정말이지, 박식한 건지 아닌 건지...",,
획,검토필요,4,3,계획에(2) 계획(1) 계획은(1),兵士1  / くわしくはしらんが / 大臣の発令したパレンシア改造計画に / たてついたらしい。,"병사1: 자세히는 모르지만, 대신이 발령한 팔렌시아 개조 계획에 맞섰다는군.",,
권,검토필요,4,4,여권이다(1) 여권(1) 권법가들(1) 권법을(1),兵士  / パスポートだよ、パスポート！ / まさか持つてないのか？ / あやしい奴め。,"병사: 여권이다, 여권! 설마 갖고 있지 않은 건가? 수상한 녀석 같으니.",,
벽,검토필요,4,4,벽을(1) 벽은(1) 벽이(1) 새벽(1),ベみの精霊  / そして、彼はそのカベをあなたにたくして戦つているのです,베미의 정령: 그리고 그는 그 벽을 당신에게 맡기고 싸우고 있습니다.,,
란,검토필요,4,4,곤란하군요(1) 커다란(1) 모험가란(1) 것뿐이란(1),こまりましたな、<CTRL:E4>よこのままじゃ帰れませんわ<CTRL:E4>よ,곤란하군요. 이대로는 돌아갈 수 없습니다.,,
캐,검토필요,5,1,캐릭터들의(5),チョピン  / キャラクターの防ご値が近い値になるように気をつけてみてはどうでしょう？,초핀: 캐릭터들의 방어력이 비슷한 수치가 되도록 신경 써 보시는 건 어떻겠습니까?,,
릭,검토필요,5,1,캐릭터들의(5),チョピン  / キャラクターの防ご値が近い値になるように気をつけてみてはどうでしょう？,초핀: 캐릭터들의 방어력이 비슷한 수치가 되도록 신경 써 보시는 건 어떻겠습니까?,,
겸,검토필요,5,1,겸해서(5),チョピン  / 力試しもかねて、時には行つてみるのも / よいのでは？,"초핀: 힘 시험도 겸해서, 때로는 가 보는 것도 좋지 않겠습니까?",,
슷,검토필요,5,1,비슷한(5),チョピン  / キャラクターの防ご値が近い値になるように気をつけてみてはどうでしょう？,초핀: 캐릭터들의 방어력이 비슷한 수치가 되도록 신경 써 보시는 건 어떻겠습니까?,,
뼈,검토필요,5,1,뼈대도(5),骨のなさそうな野郎共だつたが / 一応ほめてやるぜ。,"뼈대도 없어 보이는 풋내기들이었지만, 일단 칭찬해 주지.",,
골,검토필요,5,1,골라(5),チョピン  / 強い相手を選んで戦うと、それだけ多くの経験をつめます。,초핀: 강한 상대를 골라 싸우면 그만큼 많은 경험을 쌓을 수 있습니다.,,
풋,검토필요,5,1,풋내기들이었지만(5),骨のなさそうな野郎共だつたが / 一応ほめてやるぜ。,"뼈대도 없어 보이는 풋내기들이었지만, 일단 칭찬해 주지.",,
쁘,검토필요,5,3,바쁘다(3) 나쁘다는(1) 나쁘지(1),ゆるせねえやつがいるから / たたき切るだけだ。 / 何がいけねえ？,용서 못 할 놈이 있으니까 베어 버릴 뿐이야. 뭐가 나쁘다는 거냐?,,
청,검토필요,5,3,엄청난(3) 대청소부터다(1) 신청하면(1),兵士1  / ます、パレンシアの大掃除からだな。,병사1: 우선 팔렌시아의 대청소부터다.,,
끈,검토필요,5,4,이끈다(2) 끈질기시군요(1) 끈질긴(1) 이끈(1),石は次の石に我々を導く・・。<CTRL:E4>よ,돌은 다음 돌로 우리를 이끈다...,,
랑,검토필요,5,4,사랑하는(2) 자랑할(1) 사랑하고(1) 자랑스럽습니다(1),愛する我が子へ。 /              父より,사랑하는 내 아들에게. 아버지로부터,,
락,검토필요,5,5,연락은(1) 연락을(1) 케락은(1) 머리카락(1) 연락해(1),兵士  / 何だなんだ、 / 入国の連らくは受けていないぞ。,"병사: 뭐야, 입국 연락은 받지 못했는데.",,
죄,검토필요,5,5,죄인일(1) 죄인(1) 죄송합니다만(1) 죄의(1) 죄로(1),きつと罪人（ざいにん）だと / 思うんだけど・・。,분명 죄인일 거라고 생각하는데...,,
턴,검토필요,6,1,턴에(6),チョピン  / バトル中に、自分のターンで / スタートボタンをおすと / ステータスを見れますよね。,초핀: 전투 중 자신의 턴에 스타트 버튼을 누르면 스테이터스를 볼 수 있지요.,,
횟,검토필요,6,1,횟수를(6),チョピン  / その後の闘技場では、バトルに勝つた数を数えているみたいですね。,초핀: 그 뒤의 투기장에서는 배틀에서 이긴 횟수를 세고 있는 모양입니다.,,
욱,검토필요,6,2,더욱(5) 더욱이(1),チョピン  / 仲聞がふえてくると、戦闘での役わりに / よりレベルにさが出てきます。,초핀: 동료가 늘어나면 전투에서의 역할에 따라 더욱 레벨 차이가 생기게 됩니다.,,
능,검토필요,6,2,만능약을(5) 능력도(1),チョピン  / 行くと万能薬をもらえるようですよ。,초핀: 가면 만능약을 받을 수 있는 모양입니다.,,
칭,검토필요,6,2,칭찬해(5) 칭호를(1),出場者  / ラマダ寺で修行すると、なんとかばすたーとかいうしょうごうがもらえるらしいぞ。,출전자: 라마다사에서 수행하면 뭐시기 버스터라는 칭호를 받을 수 있는 모양이야.,,
귀,검토필요,6,4,귀를(3) 귀엽구먼(1) 말귀가(1) 귀엽구나(1),リエちゃんかわいいのふ,"리에 양, 귀엽구먼.",,
샤,검토필요,6,4,아리바샤에(2) 아리바샤의(2) 아리바샤인가(1) 아리바샤(1),アリバーシャにあると・・。,아리바샤에 있다고...,,
재,검토필요,6,5,현재(2) 존재에게(1) 존재라고(1) 존재를(1) 재미있는(1),確かに私は一度は人聞というものに / 失望したが、,"확실히 나는 한때 인간이라는 존재에게 실망했지만,",,
근,검토필요,6,6,최근에는(1) 근처에도(1) 근처의(1) 근처에서(1) 근원인(1),ヤグン  / 最近はこの付近でもモンスターが現われる,야군: 최근에는 이 근처에도 몬스터가 나타납니다.,,
필,검토필요,6,6,필요는(1) 필사적이다(1) 필요해(1) 필요했을(1) 필요하겠군(1),チョピン  / 私は、国王の命に従つただけです。 / 別段お礼には及びません。,초핀: 저는 국왕의 명을 따를 뿐입니다. 굳이 감사하실 필요는 없습니다.,,
쁜,검토필요,7,1,나쁜(7),何か悪いことしたの？,무슨 나쁜 짓을 한 거야?,,
깐,검토필요,7,1,잠깐(7),ちょつとそのこで / 城の地下倉庫に行きたいんだ。,"잠깐 부탁이 있는데, 성의 지하 창고로 가고 싶어.",,
쨌,검토필요,7,2,어쨌든(6) 어쨌다는(1),とにかくわしの店にきて話を / 聞いてくれ。,어쨌든 내 가게로 와서 이야기를 들어 줘.,,
등,검토필요,7,2,등급을(6) 등을(1),チョピン  / ラマダ寺では、ランクを設けて修行を行つているようですが、その全てを終えると手に入るアクセサリーがあるようです。,"초핀: 라마다사에서는 등급을 두고 수행을 하고 있는 모양인데, 그것을 모두 끝내면 얻을 수 있는 액세서리가 있는 모양입니다.",,
빠,검토필요,7,4,바빠(3) 빠르구나(2) 빠진(1) 나빠지고(1),兵士1  / あっ、あのよぼよぼのじいさんとフヌケの小僧共のこか？,"병사1: 아, 그 비실비실한 영감과 맥 빠진 꼬마 놈들 말인가?",,
깊,검토필요,8,1,깊은(8),チョピン  / アララトスの遺跡ダンジョンは / 相当に階層が深いようです。,초핀: 아라라토스의 유적 던전은 상당히 층이 깊은 모양입니다.,,
책,검토필요,8,1,책임지지(8),ヤグン  / もしものこがあつても / 我々は責任をもちませんぞ。,야군: 만일 무슨 일이 있어도 우리는 책임지지 않겠소.,,
햣,검토필요,8,2,햣햣햣(1) 햣햣햣햣햣(1),ひゃひゃひゃつ！ / こりゃ強そうだわ。,햣햣햣! 이거 강해 보이는군.,,
잊,검토필요,8,3,잊지(5) 잊고(2) 잊었나(1),ベみの精霊  / 土の精霊の言葉を、忘れないでください。,베미의 정령: 땅의 정령의 말을 잊지 마세요.,,
환,검토필요,8,3,소환수는(6) 환영합니다(1) 소환(1),チョピン  / 召喚獣は全部で2までなると聞いております。中には見つかりにくいものもいるようなのであちこち探してみて下さい。,초핀: 소환수는 전부 합쳐 둘까지 있다고 들었습니다. 그중에는 찾기 어려운 것도 있는 모양이니 여기저기 찾아 보십시오.,,
층,검토필요,8,4,층이(5) 아래층이야(1) 아래층이(1) 층일수록(1),チョピン  / アララトスの遺跡ダンジョンは / 相当に階層が深いようです。,초핀: 아라라토스의 유적 던전은 상당히 층이 깊은 모양입니다.,,
효,검토필요,8,4,효과를(2) 효과도(1) 우효효효효(1) 효과가(1),と言いたいところだが、 / この石は1つだけでは何の効果もないらしい。,"그렇게 말하고 싶지만, 이 돌은 하나만으로는 아무 효과도 없는 모양이야.",,
낳,검토필요,8,7,낳지(2) 낳습니다(1) 낳는지(1) 낳는다(1) 낳은(1),ベみの精霊  / 遂には争いによる奪いあいを生みます。,베미의 정령: 마침내 다툼으로 인한 빼앗음을 낳습니다.,,
갖,검토필요,9,1,갖고(9),兵士  / パスポートだよ、パスポート！ / まさか持つてないのか？ / あやしい奴め。,"병사: 여권이다, 여권! 설마 갖고 있지 않은 건가? 수상한 녀석 같으니.",,
