file,offset,score,speaker,ours,reference,reference_speaker,episode,japanese
1/S1013.DAT,0x47B2E,0.07,아크데몬,"아크데몬: 이번에야말로 성궤의 봉인을 풀 생각인가 보군, 용자여!",,,,アークデーモン  / 今度こそ、<G:90>聖柩<G:89>の封印を / 解く気のようだな / 勇者よ!
1/S1013.DAT,0x47B8E,0.12,아크 데몬,아크 데몬: 네놈을 내 손으로 죽여야만 삼천 년의 저주에서 벗어날 수 있다.,,,,アークデーモン  / 貴様を俺の手で殺すこによつて / 俺は初めて3000年の呪いから / 解放される。
1/S1013.DAT,0x47BF8,0.08,아크데몬,아크데몬: 성궤는 사르바시오 폭포에 놓여 있다.,,,,アークデーモン  / <G:90>聖柩<G:89>はサルバシオの滝に / 置いてある。
1/S1013.DAT,0x47C4C,0.12,아크 데몬,아크 데몬: 그곳에서 결판을 내자.,,,,アークデーモン  / 貴様とは そこで決着をつけよう。
1/S1021.DAT,0x4785C,0.17,,아이템이 있습니다. 약초를 발견했습니다.,,,,アイテムがあります。 / <G:90>薬草<G:89>をみつけました。
1/S1021.DAT,0x478AC,0.12,,여기 있던 것은 이미 주웠다.,,,,ここにあつたものはもうひろいました。
1/S1021.DAT,0x47914,0.18,,아이템이 있습니다. 돌을 발견했습니다.,,,,アイテムがあります。 / <G:90>石<G:89>をみつけました。
1/S1021.DAT,0x47962,0.15,,여기 있던 돌은 이미 주웠습니다.,,,,ここにあつた<G:90>石<G:89>はもうひろいました。
1/S1021.DAT,0x479AA,0.05,,이걸 던지면 웬만한 적은 쓰러뜨릴 수 있겠어.,,,,これをぶつければ、 / 少しくらいの敵だつたら / 倒せるかもしれないな。
1/S1021.DAT,0x47A26,0.00,어머니,어머니: 아!,,,,アークの母  / あ!
1/S1021.DAT,0x47A82,0.15,,아이템이 있습니다. 마법의 카트를 발견했습니다.,,,,アイテムがあります。 / <G:90>魔法のカート<G:89>をみつけました。
1/S1021.DAT,0x47AD6,0.04,어머니,어머니: 그걸 가져가도 별로 좋은 일은 없을 텐데.,,,,アークの母  / それをもつていつても、 / 何もいいことはないかも / しれないわよ。
1/S1021.DAT,0x47B34,0.07,,그렇진 않을 거야. 그럼 가져갈게.,,,,そんなことないだろ。<CTRL:E4:29> / じゃ、もつていくよ。
1/S1021.DAT,0x47B7E,0.05,어머니,어머니: 모처럼 준 거니까 꼭 장비해서 쓰렴.,,,,アークの母  / せつかくあげたんだから、 / ちゃんとそうびしてつかうのよ。
1/S1021.DAT,0x47BD8,0.22,,알았어.,나는 네가 해낼줄 알았어!,아크,4,わかつたよ。
1/S1021.DAT,0x47C38,0.19,,아버지의 유품인 갑옷과 검을 찾았다.,,,,父のかたみのよろいと剣をみつけました。
1/S1021.DAT,0x47CDE,0.29,어머니,어머니: 아버지의 갑옷과 검은 안쪽 방 상자에 있어.,아버지의 갑옷과 검이 이 상자에 있었지!이 잠금을 풀 방법을 찾아봐야겠군...,아크,2,アークの母  / お父さんのよろいと剣はおくの部屋の / はこの中よ。
1/S1021.DAT,0x47D46,0.67,,"엄마, 걱정하지 마...",걱정하지 마.,아크,6,母さん、心配しないで・・。
1/S1021.DAT,0x47D8A,0.20,어머니,어머니: 아크... 이것도 가져가렴.,아크... 이것을 가지고 가거라...,어머니,2,アークの母  / ・・・アーク<CTRL:E4:3D> / これをもつていきなさい。<CTRL:E4:3D>
1/S1021.DAT,0x47DE4,0.23,,카이저 글로브를 받았습니다.,예! .......... 찾았습니다.,군인들,21,<G:90>カイザーグローフ<G:89>をもらいました。
1/S1021.DAT,0x47E30,0.27,,부활의 약을 받았습니다.,예! .......... 찾았습니다.,군인들,21,<G:90>復活の薬<G:89>をもらいました。
1/S1021.DAT,0x47E7A,0.27,,회복 과일을 받았습니다.,예! .......... 찾았습니다.,군인들,21,<G:90>回復果物<G:89>をもらいました。
1/S1021.DAT,0x47EC8,0.33,,성수를 받았습니다.,예! .......... 찾았습니다.,군인들,21,<G:90>聖水<G:89>をもらいました。
1/S1021.DAT,0x47F0E,0.33,어머니,어머니: 아크...,오... 아크야...,어머니,2,アークの母  / アーク<CTRL:E4:15>・<CTRL:E4:15>・<CTRL:E4:15>・
1/S1021.DAT,0x4807A,0.21,,아버지의 갑옷과 검이 여기 있는 건 알고 있지만...,아버지의 갑옷과 검이 이 상자에 있었지!이 잠금을 풀 방법을 찾아봐야겠군...,아크,2,父さんのかたみのよろいと剣 / この中にあるのは / 分かつているんだけど。
1/S1021.DAT,0x480D6,0.06,,자물쇠가 잠겨 있다니...,,,,カベが かかつてるなんて・・。
1/S1021.DAT,0x48196,0.10,,"엄마, 그날 밤도 오늘처럼 눈보라가 심했지?",,,,母さん<CTRL:E4:0B>、 / あの日も、今夜みたいにすごい / ふぶきだつたんだよね？
1/S1021.DAT,0x481F0,0.17,,오늘 밤 산에 가면 아버지가 우리를 두고 사라진 이유를 알 수 있을 것 같아.,,,,俺、今夜 山へ行けば / 父さんが母さんと俺をおいて / 消えたわけが分かる気がするんだ
1/S1021.DAT,0x48250,0.23,어머니,어머니: 네 아버지는... 죽었단다.,네 아버지는 오래 전에 죽었단다... 이제 받아들일 때도 되지 않았느냐 아크야...,어머니,2,アークの母  / あなたのお父さんはね、 / <CTRL:E4:29>死んだのよ・・。
1/S1021.DAT,0x482A8,0.16,,아버지가 죽었다니 거짓말이야! 그렇게 강한 분이 쉽게 죽을 리 없어.,,,,父さんが死んだなんてうそだろ？<CTRL:E4:3D>あの強かつた父さんが / かんたんに死ぬはすない。
1/S1021.DAT,0x48308,0.09,어머니,어머니: 산에는 분명 무서운 괴물이 있어...,,,,アークの母  / 山にはきつと / 恐ろしいモンスターがいて・・。
1/S1021.DAT,0x48360,0.13,,괴물이 아버지를 죽였다면 내가 원수를 갚겠어!,,,,もしも、父さんが / モンスターに殺されたのなら / ・・俺が父さんの敵(かたき)を討つてやる!
1/S1021.DAT,0x483C6,0.10,,엄마... 내 눈으로 직접 확인하고 싶어.,,,,母さん・・ / 俺、自分自身の目で / 確かめたいんだよ。
1/S1021.DAT,0x48420,0.33,어머니,어머니: 아크...,오... 아크야...,어머니,2,アークの母  / アーク・・。
1/S1021.DAT,0x48496,0.00,,엄마...,,,,母さん・・。
1/S1021.DAT,0x48512,0.07,어머니,어머니: 그이가 떠난 지 십 년... 결국 그이 말대로 됐구나.,,,,アークの母  / あの人が旅にでて10年 / あの人の言葉通りになつてしまつた。
1/S1021.DAT,0x485E8,0.14,어머니,어머니: 여보... 정말 가야만 해요?,,,,アークの母  / あなた・・<CTRL:E4:15> / どうしても行つてしまうの。
1/S1021.DAT,0x4863C,0.13,아버지,"아버지: 이해해 줘, 포르타. 이 세계의 운명이 걸린 일이야.",,,,アークの父  / 分かつてくれ、ポルタ。 / この世界の運命に / かかわることなのだ。
1/S1021.DAT,0x4869A,0.09,어머니,어머니: 왜 당신이어야 해요...? 나와 아크는 어떻게 하라고요?,,,,アークの母  / なんであなたが・・。<CTRL:E4:3D> / 私とアークはどうすればいいの・・？
1/S1021.DAT,0x486F8,0.17,아버지,아버지: 미안하오. 하지만 내가 아니면...,,,,アークの父  / ・・すまない。 / だが私がやらなければ・・。
1/S1021.DAT,0x4874E,0.07,어머니,어머니: 싫어요! 난 평범한 행복만 있으면 돼요...,,,,アークの母  / いやです! / 私はごくふつうの幸せがあれば・。
1/S1021.DAT,0x487A2,0.16,아버지,"아버지: 십 년 뒤 오늘, 봉인이 풀리고 산이 다시 날뛸 거다. 그때 아크는 산으로 향한다.",,,,アークの父  / 10年後の今日、封印(ふういん)が / 解かれ、再び山が荒れる・・。 / その時アークは山へ向かう。
1/S1021.DAT,0x48818,0.10,어머니,어머니: 산이 날뛴다고요?,,,,アークの母  / 山が荒れる？
1/S1021.DAT,0x4885A,0.06,아버지,아버지: 봉인됐던 괴물이 나타날 거다.,,,,アークの父  / 封印(ふういん)されていた / モンスターが現れる。
1/S1021.DAT,0x488B0,0.08,어머니,어머니: 그런 곳에 아크를 보내다니... 그만하세요! 전부 다!,,,,アークの母  / そんな所へ あの子が・・。 / やめて下さい!何もかも!
1/S1021.DAT,0x48908,0.10,아버지,아버지: 포르타... 그날까지 우리 아이 아크를 부탁하오!,,,,アークの父  / ポルタ・・ / その日まで我が子を / <CTRL:E4:15>アークをたのんだぞ!
1/S1021.DAT,0x48A4E,0.20,,아버지의 유품을 장비해야겠어.,이것은 아버지의!,,10,父さんのかたみを / 身に付けなくちゃ。
1/S1021.DAT,0x48AC6,0.16,,아버지의 유품은 안쪽 방 상자에 있을 거야.,,,,父さんのかたみは、おくの / はこの中にあるはすだ。
1/S1021.DAT,0x48B14,0.06,,말을 걸거나 물건을 찾을 때는 가까이 다가가 결정 버튼을 누르면 돼.,,,,話しかけるときも、 / アイテムをさがすときも、 / 近づいてから<CTRL:E7:02>をおすんだ。
1/S1021.DAT,0x48C34,0.12,,이번만큼은 내 힘으로 해내고 싶어.,,,,どうしても、自分の力で / やつてみたいんだ。
1/S1021.DAT,0x48C88,0.12,,엄마에게 한마디 하고 가야 해.,,,,母さんに、一言いわなきゃ。
1/S1021.DAT,0x48CF8,0.06,,말을 걸거나 물건을 찾을 때는 가까이 다가가 결정 버튼을 누르면 돼.,,,,話しかけるときも、 / アイテムをさがすときも、 / 近づいてから<CTRL:E7:02>をおすんだ。
1/S1021.DAT,0x48DA6,0.13,어머니,"어머니: 요슈아, 아크를 지켜 주세요...",,,,アークの母  / ヨシュア、アークを守つて・・。
1/S1022.DAT,0x4789A,0.07,,"그럼 엄마, 다녀올게.",,,,それじゃ母さん、行くからね。
1/S1022.DAT,0x478DC,0.00,어머니,어머니: ...,,,,アークの母  / ・・・。
1/S1022.DAT,0x47940,0.17,어머니,어머니: 너도 떠나는 거니?,,,,アークの母  / おまえも、いつてしまうのかい？
1/S1022.DAT,0x479A2,0.13,,별일 아니야. 왕의 부름을 받아 팔렌시아로 가는 것뿐이야.,,,,そんな、大したこじゃないよ。 / 王様に呼ばれて / パレンシアの都に行くだけ / じゃないか。
1/S1022.DAT,0x47A06,0.09,,병사가 되면 엄마도 편히 지낼 수 있어.,,,,兵士にとりたてられれば / 母さんにも楽してもらえる。
1/S1022.DAT,0x47A62,0.09,어머니,어머니: 몸조심하렴. 힘들면 언제든 돌아오고.,,,,アークの母  / ・・体を大切にね。<CTRL:E4:3D> / つらくなつたら / いつでも戻つておいで。
1/S1022.DAT,0x47ACA,0.20,어머니,어머니: 아크... 이것도 가져가렴.,아크... 이것을 가지고 가거라...,어머니,2,アークの母  / ・・・アーク<CTRL:E4:3D> / これをもつていきなさい。<CTRL:E4:3D>
1/S1022.DAT,0x47B24,0.23,,질풍의 반다나를 받았습니다.,예! .......... 찾았습니다.,군인들,21,<G:90>しつぷうのバンダナ<G:89>をもらいました。
1/S1022.DAT,0x47B70,0.27,,부활의 약을 받았습니다.,예! .......... 찾았습니다.,군인들,21,<G:90>復活の薬<G:89>をもらいました。
1/S1022.DAT,0x47BB8,0.33,,성수를 받았습니다.,예! .......... 찾았습니다.,군인들,21,<G:90>聖水<G:89>をもらいました。
1/S1022.DAT,0x47C0E,0.50,,응. 그렇게 걱정하지 마.,걱정하지 마.,아크,6,ああ / そんなに心配するなつて。
1/S1022.DAT,0x47C68,0.33,어머니,어머니: 아크...,오... 아크야...,어머니,2,アークの母  / アーク・・。
1/S1023.DAT,0x478BC,0.08,어머니,어머니: 지치면 언제든 돌아오렴.,,,,アークの母  / つかれたらいつでも戻つておいで。
1/S1023.DAT,0x4790C,0.33,,약초를 받았습니다.,예! .......... 찾았습니다.,군인들,21,<G:90>薬草<G:89>をもらいました。
1/S1023.DAT,0x47952,0.14,어머니,어머니: 아버지가 남긴 편지가 있는데 읽어 볼래?|괜찮아|읽는다,,,,アークの母  / 父さんの置き手紙があるけどよむかい？ / <CTRL:E5:03>ベつにいい。 / <CTRL:E5:03>よむ。
1/S1023.DAT,0x479C0,0.13,어머니,어머니: 무리하지 말거라.,,,,アークの母  / 無理するんじゃないよ。
1/S1023.DAT,0x47A40,0.07,아버지의 편지,아버지의 편지: 네 여행에 도움이 되길 바라며 쓴다. 목숨을 소중히 여기고 끝까지 싸워라.,,,,父の手紙  / おまえの旅の助けになればと思い / これを書いている。 / 命を大切に、戦いぬいてくれ。
1/S1023.DAT,0x47AB0,0.08,,|강해지려면|작전을 세우려면|적에게 피해를 입지 않으려면|다음 페이지,,,,<CTRL:E5:03>強くなるためには / <CTRL:E5:03>作戦をたてるには / <CTRL:E5:03>敵からダメージを受けないためには1<CTRL:E5:03>次のページ
1/S1023.DAT,0x47B30,0.04,<CTRL,"<CTRL:E5>""피해 줄이기 2<CTRL:E5>""전투 요령
<CTRL:E5>""그만 읽기",,,,<CTRL:E5:03>敵からダメージを受けないためには2<CTRL:E5:03>うまく戦うには / <CTRL:E5:03>よむのやめる。
1/S1023.DAT,0x47BA0,0.09,,어느 나라든 언제나 괴물이 출몰하는 장소가 있다.,,,,どこの国にも、いつ行つてもモンスターのいる場所がある。
1/S1023.DAT,0x47BEE,0.08,,그곳에서 거듭 싸우면 계속 강해질 수 있다.,,,,ここで何度も戦えば、 / どんどん強くなれるはすだ。
1/S1023.DAT,0x47C3C,0.07,,그 장소의 괴물은 진행해도 바뀌지 않는다. 원하는 수련 수준에 맞춰 장소를 고르면 된다.,,,,この場所のモンスターはゲームが進んでも変わらないので、鍛えたいレベルに / 合わせて場所を選ベばよいだろう。
1/S1023.DAT,0x47CB8,0.10,,숲이나 동굴 같은 곳에서는 뜻밖의 곳에서 적이 나와 당하는 일이 있다.,,,,森や洞窟などでは、思わぬところから / 敵がきてやられるこがある。
1/S1023.DAT,0x47D0E,0.05,,"자신의 턴일 때 LR 버튼을 동시에 눌러 프리 커서로 만들어서,",,,,自分のターンの時に、LRボタンを同時におしてフリーカーソルにして、
1/S1023.DAT,0x47D66,0.06,,자유 커서로 적의 위치와 지형을 살피고 작전을 세워라.,,,,これを使つて、モンスターの場所、マップをよく見て作戦を立てるのだ。
1/S1023.DAT,0x47DCA,0.07,,적을 공격하면 반격을 받아 피해를 입을 수 있다.,,,,敵に攻撃した場合に、反撃をされ、 / ダメージを受けることがある。
1/S1023.DAT,0x47E20,0.09,,반격을 피하려면 적의 옆이나 뒤로 돌아가 공격해라.,,,,これを避けるためには、 / 敵の後ろかよこに / 回り込んで攻撃することだ。
1/S1023.DAT,0x47E78,0.12,,공격받을 때는 정면을 향하도록 하면 적에게 반격하기 쉽다.,,,,逆に、自分が攻撃される時になるベく、 / 正面からになるようにすると / 敵に反撃しやすい。
1/S1023.DAT,0x47EDA,0.07,,전투에서는 이런 작은 차이가 중요하다.,,,,戦いは、小さなこのつみかさねが / 大切なのだ。
1/S1023.DAT,0x47F32,0.09,,마법이나 아이템을 던지는 공격은 절대 반격받지 않는다.,,,,魔法攻撃とアイテムを投げつける攻撃は、絶対に敵の反撃を受けない。
1/S1023.DAT,0x47F8C,0.06,,다만 적에게 피해를 주는 아이템은 한정돼 있다.,,,,ただし、敵にダメージを与えられる / アイテムはかぎられている。
1/S1023.DAT,0x47FE0,0.09,,우선은 돌을 던지는 것이 좋다.,,,,とりあえすは、石を投げつけるのがいいだろう。
1/S1023.DAT,0x48036,0.09,,"분열하는 몬스터는 HP가 절반이 되지만, 쓰러뜨렸을 때 받는 경험치는 변하지 않는다.",,,,分れつするモンスターは、 / HPが半分になるが、倒した時にもらえる経験値は変わらない。
1/S1023.DAT,0x4809C,0.05,,이 점을 잘 이용해라.,,,,これを利用するといいだろう。
1/S1023.DAT,0x48142,0.00,,"엄마, 약초 좀 줘.",,,,母さん、薬草くれよ。
1/S1023.DAT,0x48182,0.07,어머니,"어머니: 아크, 잘 들으렴. 집에는 이제 약초가 없어...",,,,アークの母  / アーク、よく聞くのよ / うちにはもう薬草はないの・・。
1/S1023.DAT,0x481DC,0.14,어머니,어머니: 네 힘으로 어떻게든 해 보렴.,,,,アークの母  / 自分の力で何とかしてちょうだい。
1/S1023.DAT,0x48306,0.08,어머니,어머니: 정말 너한테는 못 당하겠구나...,,,,アークの母  / 母さん、あなたにはまけたわ・・。
1/S1023.DAT,0x48358,0.27,,힘의 열매를 받았습니다.,예! .......... 찾았습니다.,군인들,21,<G:90>ちからの実<G:89>をもらいました。
1/S1023.DAT,0x4839E,0.25,,파로의 열매를 받았습니다.,예! .......... 찾았습니다.,군인들,21,<G:90>パロの実<G:89>をもらいました。
1/S1023.DAT,0x483E4,0.21,,생명의 나무 열매를 받았습니다.,예! .......... 찾았습니다.,군인들,21,<G:90>いのちの木の実<G:89>をもらいました。
1/S1023.DAT,0x484C6,0.14,어머니,어머니: 이제 정말 아무것도 없어...,,,,アークの母  / もう、何も無いのよ・・・
1/S1023.DAT,0x4853C,0.10,어머니,어머니: 예전엔 저런 아이가 아니었는데...,,,,アークの母  / (むかしはあんな子じゃなかつたのに・・)
1/S1041.DAT,0x479BA,0.12,아크 데몬,아크 데몬: 네가 봉인을 풀어 버린 용자인가?,,,,アークデーモン  / おまえが封印(ふういん)を / 解いた勇者か？
1/S1041.DAT,0x47A12,0.35,,네가 아버지를 죽인 놈이구나!,너...너는 내 아버지를 죽인 놈 중의 하나구나!,아크,2,・・父さんを殺したヤツだな!
1/S1041.DAT,0x47A56,0.12,아크 데몬,아크 데몬: 무슨 소린지 모르겠군. 난 봉인을 푼 용자를 죽이고...,,,,アークデーモン  / 何のこだかわからんな。 / 俺は封印(ふういん)を解いた / 勇者を殺し・・
1/S1041.DAT,0x47ABE,0.05,아크 데몬,아크 데몬: 삼천 년의 저주를 끊어 내겠다!,,,,アークデーモン  / 3000年の呪(のろ)いを / たち切るのだ!
1/S1041.DAT,0x47B12,0.06,아크 데몬,아크 데몬: 각오해라!,,,,アークデーモン  / かくごするがいい!
1/S1041.DAT,0x47BB8,0.09,아크 데몬,아크 데몬: 아니야! 이런 놈이 아니다! 날 깨운 자는 어디 있지?,,,,アークデーモン  / 違う!こんなヤツじゃない! / どこにいる？ / 俺を呼びさましたヤツは!
1/S1041.DAT,0x47C86,0.12,,이런 곳에서 죽는 건가...,,,,こんなところで / 死んでしまうのか・・。
1/S1041.DAT,0x47CD2,0.00,,제길...,,,,ちくしょう・・。
1/S1041.DAT,0x47DD2,0.25,,"뭐, 뭐지?",이건 뭐지?,아크,19,な、なんだ？
1/S1041.DAT,0x47E22,0.20,,힘이 솟아오른다!,엔딩 롤이 오른다.,,21,力がみなぎつてくる!
1/S1041.DAT,0x47E68,0.29,,일어나세요.,"일어나라, 아크.",???,2,立ちなさい。
1/S1041.DAT,0x47EA4,0.25,,누구지?,카사돌이란게 누구지?,,18,誰？
1/S1041.DAT,0x47EE2,0.20,산의 정령,산의 정령: 저는 이 산의 정령입니다...,산의 정상,,1,山の精霊  / 私はこの山の精霊(せいれい)・・。
1/S1041.DAT,0x47F2E,0.16,산의 정령,산의 정령: 줄곧 이곳에서 성궤를 봉인하는 불꽃을 지켜보아 왔습니다.,,,,山の精霊  / すつとここで<G:90>聖柩<G:89>(せいひつ)を / 封印(ふういん)する / 炎を見守つて来ました。
1/S1041.DAT,0x47F9E,0.08,산의 정령,산의 정령: 산 정상의 사당에 불을 붙이세요. 그러면 마물은 사라집니다.,,,,山の精霊  / 山頂へ向かいなさい。 / 山頂の社(やしろ)に炎をともすと / モンスターは消えます。
1/S1041.DAT,0x48008,0.09,,알겠어. 불을 붙이면 되는 거지?,,,,わかつた。 / 火をつければ いいんだね？
1/S1041.DAT,0x48058,0.13,산의 정령,산의 정령: 그렇습니다. 하지만 당신은 언젠가 다시 불을 끄러 오게 됩니다.,,,,山の精霊  / ええ<CTRL:E4:3D> / しかし、あなたはもう一度 / 炎を消しにくることになります。
1/S1041.DAT,0x480C0,0.05,,왜지?,,,,なぜ？
1/S1041.DAT,0x480F6,0.29,산의 정령,산의 정령: 그것이 당신의 운명이기 때문입니다.,그것이 너의 운명이다.,불의 가디언,2,山の精霊  / それが、あなたの運命なのです。
1/S1041.DAT,0x48142,0.33,,운명?,운명이라....,,12,運命？
1/S1041.DAT,0x48178,0.16,산의 정령,산의 정령: 인류는 지금 멸망을 향해 치닫고 있습니다.,,,,山の精霊  / 人類は滅亡(めつぼう)に向かつて / 突き進んでいます。
1/S1041.DAT,0x481D2,0.13,산의 정령,산의 정령: 당신은 그 멸망을 막을 운명을 짊어지고 있습니다.,,,,山の精霊  / あなたはそれを止める運命を / せおつているんです。
1/S1041.DAT,0x48226,0.10,산의 정령,산의 정령: 성궤의 힘을 손에 넣음으로써...,,,,山の精霊  / <G:90>聖柩<G:89>の力を / 手に入れるこによつて・・。
1/S1041.DAT,0x4827A,0.20,,인류가 멸망한다고?,"그때, 거기서 그는 인류가 멸망한 것이라는 예언을 보게 됐다.",,5,人が滅びる？
1/S1041.DAT,0x482BC,0.15,산의 정령,산의 정령: 당신의 아버지는 멸망을 막기 위해 우리 정령들과 약속했습니다.,,,,山の精霊  / あなたのお父さんが、われわれ精霊と / 約束をしました。<CTRL:E4:3D> / 滅亡をくい止めるために。
1/S1041.DAT,0x48326,0.14,산의 정령,산의 정령: 그리고 마침내 당신이 이곳에 왔습니다.,,,,山の精霊  / そして、あなたはやつてきたのです。
1/S1041.DAT,0x48378,0.15,산의 정령,산의 정령: 약속에 따라 마물과 싸울 힘을 당신에게 드리겠습니다.,,,,山の精霊  / 約束に従い、モンスターと戦う力を / あなたに与えます。
1/S1041.DAT,0x483D2,0.15,,갑자기 그런 말을 해도 무슨 뜻인지 모르겠어...,,,,そんなこ言われたつて / 何のこだか分かんないよ・・。
1/S1041.DAT,0x48428,0.14,산의 정령,산의 정령: 때가 되면 알게 될 겁니다. 부탁드립니다.,,,,山の精霊  / 今にきつと分かります。 / たのみましたよ。
1/S1041.DAT,0x48498,0.21,,아크는 정령의 힘을 손에 넣었다.,아크는 가디언의 힘을 받았다.,,2,アークは精霊の力を手に入れた。
1/S1061.DAT,0x478A4,0.17,,이제 여기까지면 돼.,,,,もう、ここでいいよ。
1/S1061.DAT,0x47904,0.09,쿠쿠루,쿠쿠루: 그 뒤에 우리 일족의 계율이라는 고문서를 읽어 봤어.,,,,私ね / あの後、一族のおきてとされてる古文書(こもんじょ)を / よんでみたの。
1/S1061.DAT,0x47966,0.11,쿠쿠루,쿠쿠루: 거기에는 이렇게 쓰여 있었어...,,,,それに書かれていたのはね・・
1/S1061.DAT,0x479AA,0.07,,스메리아는 조화의 힘으로 일하는 나라. 화이트 가문은 조화를 이루기 위한 실을 짜는 가문.,,,,スメリアは /   和の力をもつて働く国。 / ワイト家は和するための /   糸をつむぎおる家。
1/S1061.DAT,0x47A12,0.04,,"화이트 가문의 딸은 든든한 받침이 되는 씨실. 세상이 무너질 때 불길처럼 치솟는 날실이 나타나,",,,,ワイト家の娘は /   強きささえとなるよこ糸。 / 世落ちる時、 /   火のぼるいきおいのたて糸現れ、
1/S1061.DAT,0x47A80,0.07,쿠쿠루,쿠쿠루: 그를 섬겨 세상을 바른길로 이끌라.,,,,これにつかえ /   この世を正しきにみちびく。
1/S1061.DAT,0x47ACC,0.08,쿠쿠루,쿠쿠루: 세상이 끝나려 할 때 나타날 용자를 도우라는 뜻인 것 같아.,,,,つまり、世が終わりかけた時に / 現れる勇者を助けて / はたらくつてことだと思うの。
1/S1061.DAT,0x47B40,0.12,쿠쿠루,쿠쿠루: 굉장한 이야기지?,,,,何だか、すごい話でしょ。
1/S1061.DAT,0x47B94,0.10,아크,아크: 그날 만난 정령도 인류의 멸망과 내 운명을 말했지만...,,,,そう言えば、あの夜会つた精霊も人が滅びるとか / 俺の運命とか言つてたけど、
1/S1061.DAT,0x47BF0,0.15,아크,아크: 그런 것보다 난 아버지를 만나고 싶어.,,,,・・そんなこより、俺 / 父さんに会いたいんだ。
1/S1061.DAT,0x47C3E,0.18,아크,아크: 난 마을을 떠날 거야. 팔렌시아성에 가면 뭔가 알 수 있겠지.,,,,とにかく俺は村を出て行く。 / パレンシア城に行けば / 何か分かるかもしれない。
1/S1061.DAT,0x47CC0,0.25,쿠쿠루,"쿠쿠루: 아크, 나...",오... 아크야...,어머니,2,・・アーク、あたし・・
1/S1061.DAT,0x47D04,0.12,쿠쿠루,쿠쿠루: 나도 네 뒤를 따라갈게.,,,,あなたのあとを / 追いかけていくわ。
1/S1061.DAT,0x47D52,0.40,아크,아크: 쿠쿠루...,"쿠쿠루, 괜찮아?",아크,5,ククル・・。
1/S1061.DAT,0x47DA0,0.10,쿠쿠루,쿠쿠루: 널 좋아해서 그러는 건 아니야.,,,,別に好きだからとか / そういうんじゃないの。
1/S1061.DAT,0x47DEC,0.08,,"나는 알 수 있어. 너는 날실이고, 내가 따라야 할 길이야.",,,,私には分かる。<CTRL:E4:15> / あなたはたて糸で<CTRL:E4:15> / 私のしたがう道なのよ。
1/S1061.DAT,0x47E44,0.00,아크,아크: 길?,,,,道？
1/S1061.DAT,0x47E7C,0.14,쿠쿠루,"쿠쿠루: 그래, 길.",,,,そう、道。
1/S1061.DAT,0x47EB6,0.18,쿠쿠루,쿠쿠루: 네가 나아가는 곳에 길이 생길 거야.,,,,あなたが進んでいく時 / そこに道が出来る。
1/S1061.DAT,0x47F02,0.11,쿠쿠루,쿠쿠루: 그 길이 어디로 이어지는지는 나도 모르지만...,,,,それがどこに続いているのか、 / 私には分からないけど・・
1/S1061.DAT,0x47F56,0.08,,나는 그 길을 걸어가게 될 것 같은 기분이 들어.,,,,私はその道を / 歩いていくような気がするの。
1/S1061.DAT,0x47FA2,0.10,쿠쿠루,쿠쿠루: 고문서에는 일족에게 전해지는 신비한 힘도 적혀 있었어.,,,,古文書には、一族に伝わる / 不思議な力についても / 書いてあつた。
