glyph index,candidate from index + 32,atlas row,atlas column,bitplane,classification,decision,basis,bitmap evidence
19,3,0,4,3,ASCII rule valid,3,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
20,4,0,5,0,ASCII rule valid,4,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
21,5,0,5,1,ASCII rule valid,5,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
22,6,0,5,2,ASCII rule valid,6,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
23,7,0,5,3,ASCII rule valid,7,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
24,8,0,6,0,ASCII rule valid,8,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
25,9,0,6,1,ASCII rule valid,9,original COMM.IMG 12x12 bitplane visibly matches the candidate ASCII glyph,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
26,:,0,6,2,Japanese/non-ASCII; ASCII rule rejected,<G:26>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
27,;,0,6,3,Japanese/non-ASCII; ASCII rule rejected,<G:27>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
28,<,0,7,0,Japanese/non-ASCII; ASCII rule rejected,<G:28>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
29,=,0,7,1,Japanese/non-ASCII; ASCII rule rejected,<G:29>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
30,>,0,7,2,Japanese/non-ASCII; ASCII rule rejected,<G:30>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
31,?,0,7,3,Japanese/non-ASCII; ASCII rule rejected,<G:31>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
32,@,0,8,0,Japanese/non-ASCII; ASCII rule rejected,<G:32>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
33,A,0,8,1,Japanese/non-ASCII; ASCII rule rejected,<G:33>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
34,B,0,8,2,Japanese/non-ASCII; ASCII rule rejected,<G:34>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
35,C,0,8,3,Japanese/non-ASCII; ASCII rule rejected,<G:35>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
36,D,0,9,0,Japanese/non-ASCII; ASCII rule rejected,<G:36>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
37,E,0,9,1,Japanese/non-ASCII; ASCII rule rejected,<G:37>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
38,F,0,9,2,Japanese/non-ASCII; ASCII rule rejected,<G:38>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
39,G,0,9,3,Japanese/non-ASCII; ASCII rule rejected,<G:39>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
40,H,0,10,0,Japanese/non-ASCII; ASCII rule rejected,<G:40>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
41,I,0,10,1,Japanese/non-ASCII; ASCII rule rejected,<G:41>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
42,J,0,10,2,Japanese/non-ASCII; ASCII rule rejected,<G:42>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
43,K,0,10,3,Japanese/non-ASCII; ASCII rule rejected,<G:43>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
44,L,0,11,0,Japanese/non-ASCII; ASCII rule rejected,<G:44>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
45,M,0,11,1,Japanese/non-ASCII; ASCII rule rejected,<G:45>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
46,N,0,11,2,Japanese/non-ASCII; ASCII rule rejected,<G:46>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
47,O,0,11,3,Japanese/non-ASCII; ASCII rule rejected,<G:47>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
48,P,0,12,0,Japanese/non-ASCII; ASCII rule rejected,<G:48>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
49,Q,0,12,1,Japanese/non-ASCII; ASCII rule rejected,<G:49>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
50,R,0,12,2,Japanese/non-ASCII; ASCII rule rejected,<G:50>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
51,S,0,12,3,Japanese/non-ASCII; ASCII rule rejected,<G:51>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
52,T,0,13,0,Japanese/non-ASCII; ASCII rule rejected,<G:52>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
53,U,0,13,1,Japanese/non-ASCII; ASCII rule rejected,<G:53>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
54,V,0,13,2,Japanese/non-ASCII; ASCII rule rejected,<G:54>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
55,W,0,13,3,Japanese/non-ASCII; ASCII rule rejected,<G:55>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
56,X,0,14,0,Japanese/non-ASCII; ASCII rule rejected,<G:56>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
57,Y,0,14,1,Japanese/non-ASCII; ASCII rule rejected,<G:57>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
58,Z,0,14,2,Japanese/non-ASCII; ASCII rule rejected,<G:58>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
59,[,0,14,3,Japanese/non-ASCII; ASCII rule rejected,<G:59>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
60,\,0,15,0,Japanese/non-ASCII; ASCII rule rejected,<G:60>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
61,],0,15,1,Japanese/non-ASCII; ASCII rule rejected,<G:61>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
62,^,0,15,2,Japanese/non-ASCII; ASCII rule rejected,<G:62>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
63,_,0,15,3,Japanese/non-ASCII; ASCII rule rejected,<G:63>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
64,`,0,16,0,Japanese/non-ASCII; ASCII rule rejected,<G:64>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
65,a,0,16,1,Japanese/non-ASCII; ASCII rule rejected,<G:65>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
66,b,0,16,2,Japanese/non-ASCII; ASCII rule rejected,<G:66>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
67,c,0,16,3,Japanese/non-ASCII; ASCII rule rejected,<G:67>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
68,d,0,17,0,Japanese/non-ASCII; ASCII rule rejected,<G:68>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
69,e,0,17,1,Japanese/non-ASCII; ASCII rule rejected,<G:69>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
70,f,0,17,2,Japanese/non-ASCII; ASCII rule rejected,<G:70>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
71,g,0,17,3,Japanese/non-ASCII; ASCII rule rejected,<G:71>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
72,h,0,18,0,Japanese/non-ASCII; ASCII rule rejected,<G:72>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
73,i,0,18,1,Japanese/non-ASCII; ASCII rule rejected,<G:73>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
74,j,0,18,2,Japanese/non-ASCII; ASCII rule rejected,<G:74>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
75,k,0,18,3,Japanese/non-ASCII; ASCII rule rejected,<G:75>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
76,l,0,19,0,Japanese/non-ASCII; ASCII rule rejected,<G:76>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
77,m,0,19,1,Japanese/non-ASCII; ASCII rule rejected,<G:77>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
78,n,0,19,2,Japanese/non-ASCII; ASCII rule rejected,<G:78>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
79,o,0,19,3,Japanese/non-ASCII; ASCII rule rejected,<G:79>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
80,p,0,20,0,Japanese/non-ASCII; ASCII rule rejected,<G:80>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
81,q,0,20,1,Japanese/non-ASCII; ASCII rule rejected,<G:81>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
82,r,0,20,2,Japanese/non-ASCII; ASCII rule rejected,<G:82>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
83,s,0,20,3,Japanese/non-ASCII; ASCII rule rejected,<G:83>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
84,t,1,0,0,Japanese/non-ASCII; ASCII rule rejected,<G:84>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
85,u,1,0,1,Japanese/non-ASCII; ASCII rule rejected,<G:85>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
86,v,1,0,2,Japanese/non-ASCII; ASCII rule rejected,<G:86>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
87,w,1,0,3,Japanese/non-ASCII; ASCII rule rejected,<G:87>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
88,x,1,1,0,Japanese/non-ASCII; ASCII rule rejected,<G:88>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
89,y,1,1,1,Japanese/non-ASCII; ASCII rule rejected,<G:89>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
90,z,1,1,2,Japanese/non-ASCII; ASCII rule rejected,<G:90>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
91,{,1,1,3,Japanese/non-ASCII; ASCII rule rejected,<G:91>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
92,|,1,2,0,Japanese/non-ASCII; ASCII rule rejected,<G:92>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
93,},1,2,1,Japanese/non-ASCII; ASCII rule rejected,<G:93>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
94,~,1,2,2,Japanese/non-ASCII; ASCII rule rejected,<G:94>,original COMM.IMG 12x12 bitplane visibly does not match candidate ASCII; character is not inferred,01_work/analysis/ascii_glyph_audit/ascii_indices_000_094.csv
