행번호,파일,오프셋,안 들어간 이유,원문,디스크 (지금 게임),CSV,수정안
295,21/S2041.DAT,0x48684,글자없음: R,"乗員 
自分のターンの時に、LRボタンを同時におすとフリーカーソルになります。",<E0FF>무원: 자기 차례에 두 버튼을 동시에 누르면 자유 커서로 바뀝니다<E060>,승무원: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.,승무원: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.
316,21/S2042.DAT,0x4831C,글자없음: R,"チョピン 
自分のターンの時に、LRボタンを同時におすとフリーカーソルになります。",(일본어 그대로),초핀: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.,초핀: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.
333,21/S2044.DAT,0x47FB8,슬롯 부족 / 창 넘침,"チョピン 
王から話は聞いております。
<CTRL:E4:3D>私はチョピン。",(일본어 그대로),초핀: 국왕께 말씀은 들었습니다. 저는 초핀입니다.,초핀: 국왕께 말씀은 들었습니다. 저는 초핀입니다.
345,21/S2044.DAT,0x48428,글자없음: 맺,"アーク、心配せんでいい。
こやつも定められた仲聞の1人。","아크, 걱정하지 마. 이 녀석도 정해진 동료 중 한 명이야.","아크, 걱정하지마. 이 녀석도 운명으로 정해진 동료 중 하나다.","아크, 걱정하지마. 이 녀석도 운명으로 정해진 동료 중 하나다."
346,21/S2044.DAT,0x4847E,글자없음: 맺,定められた？,정해졌다고?,운명으로 정해졌다고?,운명으로 정해졌다고?
376,21/S2045.DAT,0x47F94,글자없음: R,"チョピン 
アイテム・アクセサリー・特しゅ能力は、カーソルで選んでいる時にLかRボタンをおすことで、その効果を見れます。",(일본어 그대로),"초핀: 아이템, 장신구, 특수 능력은 커서로 고르고 있을 때 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다.","초핀: 아이템, 장신구, 특수 능력은 커서로 고르고 있을 때 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다."
377,21/S2045.DAT,0x4800E,슬롯 부족 / 창 넘침,"チョピン 
特に、特しゅ能力は必要なMPと
現在のMPが表示されるので
大いに利用して下さい。",(일본어 그대로),초핀: 특히 특수능력은 필요한 MP와 지금 MP가 표시되니 많이 활용해 주십시오.,초핀: 특히 특수능력은 필요한 MP와 지금 MP가 표시되니 많이 활용해 주십시오.
394,21/S2045.DAT,0x486D2,슬롯 부족 / 창 넘침,"なんだか、ちょつとやる気に
なつてきたな。",(일본어 그대로),조금 의욕이 나기 시작했어.,조금 의욕이 나기 시작했어.
395,21/S2045.DAT,0x4871A,슬롯 부족 / 창 넘침,"チョピン 
ただし、
ダメージが0の場合はだめですよ。",(일본어 그대로),초핀: 다만 피해가 0인 경우에는 안 됩니다.,초핀: 다만 피해가 0인 경우에는 안 됩니다.
398,21/S2045.DAT,0x48810,슬롯 부족 / 창 넘침,"チョピン 
すベての人が攻撃に向いているわけでは
ありません。",(일본어 그대로),초핀: 모든 사람이 공격에 알맞은 것은 아닙니다.,초핀: 모든 사람이 공격에 알맞은 것은 아닙니다.
400,21/S2045.DAT,0x488C8,슬롯 부족 / 창 넘침,"チョピン 
きつと、
すぐやられてしまう落ちこぼれは
いなくなりますよ。",(일본어 그대로),초핀: 그러면 금방 당해 버리는 낙오자는 없어질 겁니다.,초핀: 그러면 금방 당해 버리는 낙오자는 없어질 겁니다.
401,21/S2045.DAT,0x48926,슬롯 부족 / 창 넘침,落ちこぼれとは誰のことじゃ？,(일본어 그대로),낙오자라니 누구를 말하는 게냐?,낙오자라니 누구를 말하는 게냐?
406,21/S2045.DAT,0x48B10,글자없음: 뜩,"そうじゃ、おまえらの力で宝を
どんどん手に入れるんじゃ!",(일본어 그대로),"그래, 너희 힘으로 보물을 잔뜩 손에 넣는 거다!","그래, 너희 힘으로 보물을 손에 넣는 거다!"
407,21/S2045.DAT,0x48B62,슬롯 부족 / 창 넘침,"もちろん、手に入れた後はわしにまかせんしゃい。
キャッキャッキャッキャッ。",(일본어 그대로),물론 손에 넣은 뒤에는 나에게 맡기거라. 크크크크크.,물론 손에 넣은 뒤에는 나에게 맡기거라. 크크크크크.
408,21/S2045.DAT,0x48BC0,슬롯 부족 / 창 넘침,まかせる訳ないでしょ!,(일본어 그대로),맡길 리가 없잖아!,맡길 리가 없잖아!
409,21/S2045.DAT,0x48C0A,슬롯 부족 / 창 넘침,"チョピン 
トヨーケの森の恵みの精霊を
おぼえていますか？",(일본어 그대로),초핀: 토요케 숲의 은혜의 정령을 기억하십니까?,초핀: 토요케 숲의 은혜의 정령을 기억하십니까?
413,21/S2045.DAT,0x48D6E,슬롯 부족 / 창 넘침,やさしいのう。,(일본어 그대로),친절하기도 하군.,친절하기도 하군.
416,21/S2045.DAT,0x48E78,슬롯 부족 / 창 넘침,弟子達よ・・・・。,(일본어 그대로),제자들아....,제자들아....
417,21/S2045.DAT,0x48EC0,슬롯 부족 / 창 넘침,"チョピン 
どれについてお話ししましょう？",(일본어 그대로),초핀: 어느 것에 관해 말씀드릴까요?,초핀: 어느 것에 관해 말씀드릴까요?
418,21/S2045.DAT,0x48F18,선택지(E5),"<CTRL:E5:03>ストーンサークル
<CTRL:E5:03>リングの位置設定
<CTRL:E5:03>召喚獣について
<CTRL:E5:03>次のページ",돌 고리 |연결 위치   |<E284><DD7B><DE6E><23><45><1B><21>|다음,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지
421,21/S2045.DAT,0x4907E,선택지(E5),"<CTRL:E5:03>ポコの楽器
<CTRL:E5:03>闘技場
<CTRL:E5:03>キートウオール
<CTRL:E5:03>次のページ",<E287><1C><DDDF><DE7A>|<E288><4C><89>|불꽃     |다음,|포코의 악기|투기장|키토우올|다음 페이지,|포코의 악기|투기장|키토우올|다음 페이지
423,21/S2045.DAT,0x4916A,슬롯 부족 / 창 넘침,"チョピン 
ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？",(일본어 그대로),초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?
436,21/S2045.DAT,0x496A6,글자없음: 씩,"チョピン 
ロマンシングストーンのある場所がわかりました。1つはスメリアのトウヴィル・1つは遺跡ダンジョン、1つはゴーゲン様が、最後の1つはアークさんの父上が持つてらつしゃつたみたいですね。",(일본어 그대로),"초핀: 로맨싱 스톤을 찾았습니다. 토우빌과 유적던전에 하나씩, 고겐님 하나, 마지막은 아크님의 아버님이 가지고 계셨던것 같습니다.","초핀: 로맨싱 스톤을 찾았습니다. 토우빌과 유적던전에 하나씩, 고겐님 하나, 마지막은 아크님의 아버님이 가지고 계셨던것 같습니다."
437,21/S2045.DAT,0x49744,글자없음: ‘ ’,"チョピン 
戦闘での経験値が倍になるアクセサリーがあるようです。名前は<G:90>きぬのおび<G:89>。
誰でも使えるようですね。",초핀: 전투에서 경험치가 두 배가 되는 장신구가 있는 모양입니다. 이름은 비단 띠. 누구나 쓸 수 있는 것 같군요.,초핀: 전투 경험치를 두 배로 늘려 주는 장신구가 있다고 합니다. 이름은 「비단 띠」. 누구나 착용할 수 있습니다.,초핀: 전투 경험치를 두 배로 늘려 주는 장신구가 있다고 합니다. 이름은 「비단 띠」. 누구나 착용할 수 있습니다.
715,31/S3012.DAT,0x47FF0,선택지(E5),"チョピン 
何か私でお力になれるこはありますか？
<CTRL:E5:03>ベつにない。
<CTRL:E5:03>ちょつと教えてほしい。",초핀:,초핀: 무언가 제가 도움이 될 일이 있습니까?|없어|좀 물어보고 싶어,초핀: 무언가 제가 도움이 될 일이 있습니까?|없어|좀 물어보고 싶어
718,31/S3012.DAT,0x4811E,선택지(E5),"<CTRL:E5:04>どうすれば強くなれるの？
<CTRL:E5:04>何か戦いのコツはあるの？
<CTRL:E5:04>やつっり、いいや。",강해지는 방법|전투 요령|그만둘래,|어떻게 하면 강해져?|무슨 싸움 요령이 있어?|그만,|어떻게 하면 강해져?|무슨 싸움 요령이 있어?|그만
723,31/S3012.DAT,0x4831C,글자없음: R,"チョピン 
自分のターンの時に、LRボタンを同時におすとフリーカーソルになります。",초핀: 자기 차례에 두 버튼을 동시에 누르면 자유 커서로 바뀝니다<E060>,초핀: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.,초핀: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.
742,31/S3013.DAT,0x483C6,글자없음: R,"乗員 
フリーカーソルでマップをチェック
してますか？
自分のターンでLR同時おしですよ。",(일본어 그대로),승무원: 프리 커서로 맵을 확인하고 계십니까? 자신의 턴에 LR 동시에 누르시면 됩니다.,승무원: 프리 커서로 맵을 확인하고 계십니까? 자신의 턴에 LR 동시에 누르시면 됩니다.
771,31/S3014.DAT,0x46FB4,글자없음: R,"チョピン 
アイテム・アクセサリー・特しゅ能力は、カーソルで選んでいる時にLかRボタンをおすことで、その効果を見れます。",(일본어 그대로),"초핀: 아이템, 장신구, 특수 능력은 커서로 고르고 있을 때 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다.","초핀: 아이템, 장신구, 특수 능력은 커서로 고르고 있을 때 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다."
772,31/S3014.DAT,0x4702E,슬롯 부족 / 창 넘침,"チョピン 
特に、特しゅ能力は必要なMPと
現在のMPが表示されるので
大いに利用して下さい。",(일본어 그대로),초핀: 특히 특수 능력은 필요한 MP와 지금 MP가 표시되니 많이 활용해 주십시오.,초핀: 특히 특수 능력은 필요한 MP와 지금 MP가 표시되니 많이 활용해 주십시오.
774,31/S3014.DAT,0x47108,슬롯 부족 / 창 넘침,"チョピン 
アイテム投げは反撃されないので
強い敵でも安全な攻撃手段です。",(일본어 그대로),초핀: 아이템 던지기는 반격당하지 않으므로 강한 적에게도 안전한 공격 수단입니다.,초핀: 아이템 던지기는 반격당하지 않으므로 강한 적에게도 안전한 공격 수단입니다.
775,31/S3014.DAT,0x47174,슬롯 부족 / 창 넘침,"チョピン 
敵に攻撃した場合に、反撃をされ、
ダメージを受けることがあります。",<6C><69><72><34><25>|<BD><23><D0><B1><1E><1F><89><DDAC><23><24><DE02><B1><2F><3A><32><24> <67><78><31><7F><2F><DD68><49><22><2E><36><2A><3F><39><27><2B><37>,"초핀: 적을 공격했을 때 반격을 받아, 피해를 입을 때가 있습니다.","초핀: 적을 공격했을 때 반격을 받아, 피해를 입을 때가 있습니다."
776,31/S3014.DAT,0x471D2,슬롯 부족 / 창 넘침,"チョピン 
これを避けるためには、
敵の後ろかよこに
回り込んで攻撃することです。",,초핀: 이를 피하려면 적의 뒤나 옆으로 돌아 들어가 공격하면 됩니다.,초핀: 이를 피하려면 적의 뒤나 옆으로 돌아 들어가 공격하면 됩니다.
777,31/S3014.DAT,0x47232,슬롯 부족 / 창 넘침,"チョピン 
逆に、自分が攻撃される時になるベく、
正面からになるようにしむけると
敵に反撃しやすくなります。",(일본어 그대로),초핀: 반대로 자신이 공격받을 때는 되도록 정면을 향하게 하면 적에게 반격하기 쉬워집니다.,초핀: 반대로 자신이 공격받을 때는 되도록 정면을 향하게 하면 적에게 반격하기 쉬워집니다.
778,31/S3014.DAT,0x472A2,슬롯 부족 / 창 넘침,"チョピン 
特しゅ攻撃もアイテムを投げるのと同じく絶対に敵の反撃を受けない攻撃手段です。",(일본어 그대로),초핀: 특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.,초핀: 특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.
779,31/S3014.DAT,0x47324,슬롯 부족 / 창 넘침,"チョピン 
何が知りたいですか？",(일본어 그대로),초핀: 무엇을 알고 싶으십니까?,초핀: 무엇을 알고 싶으십니까?
782,31/S3014.DAT,0x4745A,슬롯 부족 / 창 넘침,"チョピン 
こちらの攻撃がモンスターにきかないのはレベルの違い以外に、相しょうが悪い
場合があります。",,초핀: 이쪽의 공격이 몬스터에게 통하지 않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.,초핀: 이쪽의 공격이 몬스터에게 통하지 않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.
783,31/S3014.DAT,0x474C8,슬롯 부족 / 창 넘침,"チョピン 
例えば、魔法を使用するモンスターは、
魔法攻撃には強いもんです。",,초핀: 예를 들어 마법을 사용하는 몬스터는 마법 공격에 강한 법입니다.,초핀: 예를 들어 마법을 사용하는 몬스터는 마법 공격에 강한 법입니다.
784,31/S3014.DAT,0x4752A,슬롯 부족 / 창 넘침,"チョピン 
他には、飛んでいるモンスターには、
風の魔法がよくきくとかもあります。",(일본어 그대로),초핀: 그 밖에 날아다니는 몬스터에게는 바람 마법이 잘 통하는 경우도 있습니다.,초핀: 그 밖에 날아다니는 몬스터에게는 바람 마법이 잘 통하는 경우도 있습니다.
785,31/S3014.DAT,0x4758C,슬롯 부족 / 창 넘침,"チョピン 
戦いは頭を使わなきゃいけません。
力だけじゃだめなんですよ。",(일본어 그대로),초핀: 싸움은 머리를 쓰지 않으면 안 됩니다. 힘만으로는 안 되는 법입니다.,초핀: 싸움은 머리를 쓰지 않으면 안 됩니다. 힘만으로는 안 되는 법입니다.
786,31/S3014.DAT,0x475E8,슬롯 부족 / 창 넘침,言つてくれるぜ。,(일본어 그대로),잘도 말하는군.,잘도 말하는군.
787,31/S3014.DAT,0x4762E,슬롯 부족 / 창 넘침,"チョピン 
強い相手を選んで戦うと、それだけ多くの経験をつめます。",(일본어 그대로),초핀: 강한 상대와 싸우면 그만큼 많은 경험을 쌓을 수 있습니다.,초핀: 강한 상대와 싸우면 그만큼 많은 경험을 쌓을 수 있습니다.
789,31/S3014.DAT,0x476F6,슬롯 부족 / 창 넘침,"なんだか、ちょつとやる気に
なつてきたな。",<1D><2D><35><20><24><4B><73><29><36>량<22><A9><23> <1D><29><21>덕<1F><1D><37>,조금 의욕이 나기 시작했어.,조금 의욕이 나기 시작했어.
790,31/S3014.DAT,0x4773E,슬롯 부족 / 창 넘침,"チョピン 
ただし、
ダメージが0の場合はだめですよ。",,초핀: 다만 피해가 0인 경우에는 안 됩니다.,초핀: 다만 피해가 0인 경우에는 안 됩니다.
792,31/S3014.DAT,0x477D6,슬롯 부족 / 창 넘침,"チョピン 
仲聞がふえてくると、戦闘での役わりに
よりレベルにさが出てきます。",(일본어 그대로),초핀: 동료가 늘어나면 전투에서의 역할에 따라 레벨 차이가 더 생기게 됩니다.,초핀: 동료가 늘어나면 전투에서의 역할에 따라 레벨 차이가 더 생기게 됩니다.
793,31/S3014.DAT,0x47834,슬롯 부족 / 창 넘침,"チョピン 
すベての人が攻撃に向いているわけでは
ありません。",(일본어 그대로),초핀: 모든 사람이 공격에 알맞은 것은 아닙니다.,초핀: 모든 사람이 공격에 알맞은 것은 아닙니다.
794,31/S3014.DAT,0x4788A,슬롯 부족 / 창 넘침,"チョピン 
キャラクターの防ご値が近い値になるように気をつけてみてはどうでしょう？",(일본어 그대로),초핀: 캐릭터들의 방어력이 비슷한 수치가 되도록 신경 써 보시는 건 어떻겠습니까?,초핀: 캐릭터들의 방어력이 비슷한 수치가 되도록 신경 써 보시는 건 어떻겠습니까?
795,31/S3014.DAT,0x478EC,슬롯 부족 / 창 넘침,"チョピン 
きつと、
すぐやられてしまう落ちこぼれは
いなくなりますよ。",(일본어 그대로),초핀: 그러면 금방 당해 버리는 낙오자는 없어질 겁니다.,초핀: 그러면 금방 당해 버리는 낙오자는 없어질 겁니다.
796,31/S3014.DAT,0x4794A,슬롯 부족 / 창 넘침,落ちこぼれとは誰のことじゃ？,(일본어 그대로),낙오자라니 누구를 말하는 게냐?,낙오자라니 누구를 말하는 게냐?
798,31/S3014.DAT,0x47A1A,슬롯 부족 / 창 넘침,"チョピン 
アララトスの遺跡ダンジョンは
相当に階層が深いようです。",(일본어 그대로),초핀: 아라라토스의 유적 던전은 층이 상당히 많은것 같습니다.,초핀: 아라라토스의 유적 던전은 층이 상당히 많은것 같습니다.
799,31/S3014.DAT,0x47A78,슬롯 부족 / 창 넘침,"チョピン 
なかには、モンスターに守られた、
あそこにしかないアクセサリーもあると
聞きます。",(일본어 그대로),"초핀: 그 안에는 몬스터가 지키고 있는, 그곳에서만 얻을 수 있는 액세서리도 있다고 들었습니다.","초핀: 그 안에는 몬스터가 지키고 있는, 그곳에서만 얻을 수 있는 액세서리도 있다고 들었습니다."
800,31/S3014.DAT,0x47ADE,슬롯 부족 / 창 넘침,"チョピン 
力試しもかねて、時には行つてみるのも
よいのでは？",(일본어 그대로),"초핀: 실력도 시험해 볼 겸, 가끔 들러 보는 것도 좋지 않을까요?","초핀: 실력도 시험해 볼 겸, 가끔 들러 보는 것도 좋지 않을까요?"
801,31/S3014.DAT,0x47B34,슬롯 부족 / 창 넘침,"そうじゃ、おまえらの力で宝を
どんどん手に入れるんじゃ!",(일본어 그대로),"그래, 너희 힘으로 보물을 손에 넣는 거다!","그래, 너희 힘으로 보물을 손에 넣는 거다!"
802,31/S3014.DAT,0x47B86,슬롯 부족 / 창 넘침,"もちろん、手に入れた後はわしにまかせんしゃい。
キャッキャッキャッキャッ。",(일본어 그대로),물론 손에 넣은 뒤에는 나에게 맡기거라. 크크크크크.,물론 손에 넣은 뒤에는 나에게 맡기거라. 크크크크크.
803,31/S3014.DAT,0x47BE4,슬롯 부족 / 창 넘침,まかせる訳ないでしょ!,(일본어 그대로),맡길 리가 없잖아!,맡길 리가 없잖아!
804,31/S3014.DAT,0x47C2E,슬롯 부족 / 창 넘침,"チョピン 
トヨーケの森の恵みの精霊を
おぼえていますか？",(일본어 그대로),초핀: 토요케 숲의 은혜의 정령을 기억하십니까?,초핀: 토요케 숲의 은혜의 정령을 기억하십니까?
805,31/S3014.DAT,0x47C82,슬롯 부족 / 창 넘침,"チョピン 
彼女はいつも我々を見守つてくれて
います。",(일본어 그대로),초핀: 그녀는 언제나 우리를 지켜봐 주고 있습니다.,초핀: 그녀는 언제나 우리를 지켜봐 주고 있습니다.
806,31/S3014.DAT,0x47CD6,슬롯 부족 / 창 넘침,"チョピン 
ミルマーナには、3カ所バトルエリアが
あるこですし、時には行つて、
話を聞くのもよいでしょう。",(일본어 그대로),"초핀: 미르마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다.","초핀: 미르마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다."
807,31/S3014.DAT,0x47D42,슬롯 부족 / 창 넘침,"チョピン 
行くと万能薬をもらえるようですよ。",(일본어 그대로),초핀: 가면 만능약을 받을 수 있는 것같습니다.,초핀: 가면 만능약을 받을 수 있는 것같습니다.
808,31/S3014.DAT,0x47D92,슬롯 부족 / 창 넘침,やさしいのう。,(일본어 그대로),친절하기도 하군.,친절하기도 하군.
809,31/S3014.DAT,0x47DD8,슬롯 부족 / 창 넘침,"チョピン 
ラマダに残つた僧達は、
寺を修行の場として
解放しているようです。",(일본어 그대로),초핀: 라마다에 남은 승려들이 사원을 수련장으로 개방한것 같습니다.,초핀: 라마다에 남은 승려들이 사원을 수련장으로 개방한것 같습니다.
810,31/S3014.DAT,0x47E3A,슬롯 부족 / 창 넘침,"チョピン 
自分の強さを試したくなつた場合に、
立ちよつてみてはどうでしょう。",(일본어 그대로),"초핀: 실력도 시험해 볼 겸, 가끔 들러 보는 것도 좋지 않을까요?","초핀: 실력도 시험해 볼 겸, 가끔 들러 보는 것도 좋지 않을까요?"
811,31/S3014.DAT,0x47E9C,슬롯 부족 / 창 넘침,弟子達よ・・・・。,(일본어 그대로),제자들아....,제자들아....
812,31/S3014.DAT,0x47EE4,슬롯 부족 / 창 넘침,"チョピン 
どれについてお話ししましょう？",(일본어 그대로),초핀: 어느 것에 관해 말씀드릴까요?,초핀: 어느 것에 관해 말씀드릴까요?
813,31/S3014.DAT,0x47F3C,선택지(E5),"<CTRL:E5:03>ストーンサークル
<CTRL:E5:03>リングの位置設定
<CTRL:E5:03>召喚獣について
<CTRL:E5:03>次のページ",돌 고리 |연결 위치   |<E284><DD7B><DE6E><23><45><1B><21>|다음,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지
816,31/S3014.DAT,0x480A2,선택지(E5),"<CTRL:E5:03>ポコの楽器
<CTRL:E5:03>闘技場
<CTRL:E5:03>キートウオール
<CTRL:E5:03>次のページ",<E287><1C><DDDF><DE7A>|<E288><4C><89>|불꽃     |다음,|포코의 악기|투기장|키토우올|다음 페이지,|포코의 악기|투기장|키토우올|다음 페이지
818,31/S3014.DAT,0x4818E,슬롯 부족 / 창 넘침,"チョピン 
ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？",(일본어 그대로),초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?
819,31/S3014.DAT,0x481F2,슬롯 부족 / 창 넘침,"チョピン 
ここでは、あるアイテムが手に入ります。ストーンサークルだけに・・。",(일본어 그대로),초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...
821,31/S3014.DAT,0x482B6,슬롯 부족 / 창 넘침,"チョピン 
その時に、カーソルと<CTRL:E7:02>でリングの中の技を選んでアイコンの位置を変えられるんです。",(일본어 그대로),초핀: 그때 커서와  로 링 안의 기술을 고르고 아이콘의 위치를 바꾸어 놓을 수 있습니다.,초핀: 그때 커서와  로 링 안의 기술을 고르고 아이콘의 위치를 바꾸어 놓을 수 있습니다.
822,31/S3014.DAT,0x48320,슬롯 부족 / 창 넘침,"チョピン 
これは、一度変えるとセーフされるので
すつと使えますよ。",(일본어 그대로),초핀: 이것은 한 번 바꾸면 저장되므로 언제나 사용할 수 있습니다.,초핀: 이것은 한 번 바꾸면 저장되므로 언제나 사용할 수 있습니다.
824,31/S3014.DAT,0x483F8,슬롯 부족 / 창 넘침,"チョピン 
ポコ様の楽器は、全部で8つになると聞いております。全部見つかると、かなり強い兵隊になれそうですね。",(일본어 그대로),초핀: 포코 님의 악기는 전부 8개라고 들었습니다. 모두 찾으면 상당히 강한 병사가 될 수 있겠군요.,초핀: 포코 님의 악기는 전부 8개라고 들었습니다. 모두 찾으면 상당히 강한 병사가 될 수 있겠군요.
825,31/S3014.DAT,0x4846E,슬롯 부족 / 창 넘침,"チョピン 
その後の闘技場では、バトルに勝つた数を数えているみたいですね。",(일본어 그대로),초핀: 그 뒤로 투기장에서는 전투 승수를 기록한다고 합니다.,초핀: 그 뒤로 투기장에서는 전투 승수를 기록한다고 합니다.
826,31/S3014.DAT,0x484CA,슬롯 부족 / 창 넘침,"チョピン 
きつと、いいことがありますから
がんばつて記ろくを作つて下さい。",(일본어 그대로),초핀: 분명 좋은 일이 있을 테니 힘내서 기록을 세워 주십시오.,초핀: 분명 좋은 일이 있을 테니 힘내서 기록을 세워 주십시오.
