파일,행번호,오프셋,줄일바이트,제자리칸,현재,원문
C2/SC0B6.DAT,2489,0x45FE4,2,25,80회까지 앞으로  회입니다. 힘내 주십시오.,80回までのこり<CTRL:E8:21>回です。 / がんばつて下さい。
C2/SC0B6.DAT,2491,0x46086,2,19,지금까지의 승리 횟수는  회입니다.,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>
C2/SC0B6.DAT,2492,0x460E2,2,26,120회까지 앞으로  회입니다. 힘내 주십시오.,120回までのこり<CTRL:E8:21>回です。 / がんばつて下さい。
C2/SC0B6.DAT,2494,0x46184,2,19,지금까지의 승리 횟수는  회입니다.,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>
C2/SC0B6.DAT,2495,0x461E0,2,26,160회까지 앞으로  회입니다. 힘내 주십시오.,160回までのこり<CTRL:E8:21>回です。 / がんばつて下さい。
C2/SC0B6.DAT,2497,0x46282,2,19,지금까지의 승리 횟수는  회입니다.,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>
C2/SC0B6.DAT,2498,0x462DE,2,26,200회까지 앞으로  회입니다. 힘내 주십시오.,200回までのこり<CTRL:E8:21>回です。 / がんばつて下さい。
C2/SC0B6.DAT,2500,0x46380,2,19,지금까지의 승리 횟수는  회입니다.,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>
C2/SC0B6.DAT,2538,0x4700E,2,19,슬리플리스 카트를 손에 넣었다.,<G:90>スリープレスカート<G:89>を手にいれた。
C2/SC0B6.DAT,2544,0x471D2,2,14,선글라스를 손에 넣었다.,<G:90>サングラス<G:89>を手にいれた。
C2/SC0B6.DAT,2554,0x4752A,2,16,파워 리스트를 손에 넣었다.,<G:90>パワーリスト<G:89>を手にいれた。
C2/SC0B6.DAT,2582,0x47D60,2,19,슬리플리스 카트를 손에 넣었다.,<G:90>スリープレスカート<G:89>を手にいれた。
C2/SC0B6.DAT,2585,0x47E34,2,14,선글라스를 손에 넣었다.,<G:90>サングラス<G:89>を手にいれた。
C2/SC0B6.DAT,2586,0x47E78,2,16,파워 리스트를 손에 넣었다.,<G:90>パワーリスト<G:89>を手にいれた。
C2/SC0B6.DAT,2501,0x463DC,3,35,1000회까지 앞으로  회입니다. 포기하지 말고 힘내 주십시오.,1000回までのこり<CTRL:E8:21>回です。 / あきらめないで、がんばつて下さい。
C2/SC0B6.DAT,2509,0x466A0,3,15,약화의 구슬을 손에 넣었다.,<G:90>弱りの玉<G:89>を手にいれた。
C2/SC0B6.DAT,2529,0x46D1A,3,14,불꽃의 수호를 손에 넣었다.,<G:90>炎の守り<G:89>を手にいれた。
C2/SC0B6.DAT,2560,0x476F0,3,13,조개껍데기를 손에 넣었다.,<G:90>貝がら<G:89>を手にいれた。
C2/SC0B6.DAT,2572,0x47AA0,3,15,약화의 구슬을 손에 넣었다.,<G:90>弱りの玉<G:89>を手にいれた。
C2/SC0B6.DAT,2579,0x47C8A,3,14,불꽃의 수호를 손에 넣었다.,<G:90>炎の守り<G:89>を手にいれた。
C2/SC0B6.DAT,2589,0x47F4E,3,13,조개껍데기를 손에 넣었다.,<G:90>貝がら<G:89>を手にいれた。
C2/SC0B6.DAT,2591,0x47FD6,3,19,바이올렛 레이서를 손에 넣었다.,<G:90>バイオレットレーサー<G:89>を手にいれた。
C2/SC0B6.DAT,2520,0x46A24,4,18,생명의 나무 열매를 손에 넣었다.,<G:90>いのちの木の実<G:89>を手にいれた。
C2/SC0B6.DAT,2576,0x47BB6,4,18,생명의 나무 열매를 손에 넣었다.,<G:90>いのちの木の実<G:89>を手にいれた。
C2/SC0B6.DAT,2480,0x45CD4,5,47,승리 횟수 10회를 달성하신 분께는 조금 기쁜 상품이 있습니다. 힘내 주십시오.,勝利回数10回の方には、 / ちょつとうれしい賞品がございます。 / がんばつて下さい。
C2/SC0B6.DAT,2518,0x46990,5,14,파로의 열매를 손에 넣었다.,<G:90>パロの実<G:89>を手にいれた。
C2/SC0B6.DAT,2575,0x47B72,5,14,파로의 열매를 손에 넣었다.,<G:90>パロの実<G:89>を手にいれた。
C2/SC0B6.DAT,2565,0x4787C,6,14,환상의 건틀릿을 손에 넣었다.,<G:90>幻のこて<G:89>を手にいれた。
C2/SC0B6.DAT,2590,0x47F92,6,14,환상의 건틀릿을 손에 넣었다.,<G:90>幻のこて<G:89>を手にいれた。
6/S6054.DAT,1751,0x46088,1,33,라마다 승려: 이거 이거. 톨 마스터 버스터 여러분.,ラマダ僧  / これはこれは。 / トールマスターバスターのかたがた。
6/S6054.DAT,1753,0x46136,1,31,라마다 승려: 이거 이거. 프리지 버스터 여러분.,ラマダ僧  / これはこれは。 / フリージーバスターのかたがた。
6/S6054.DAT,1754,0x4618A,1,35,라마다 승려: 이거 이거. 야생 헤모지 버스터 여러분.,ラマダ僧  / これはこれは。 / 野生へモジーバスターのかたがた。
6/S6054.DAT,1776,0x468D4,1,42,라마다 승려: 9번째 도전이군요. 그럼 이쯤에서 어떠십니까?,ラマダ僧  / 9度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？
6/S6054.DAT,1748,0x45F6E,2,17,환수의 어금니를 받았습니다.,<G:90>幻獣の牙<G:89>をもらいました。
6/S6054.DAT,1750,0x46032,2,33,라마다 승려: 이거 이거. 엘리멘탈 버스터 여러분.,ラマダ僧  / これはこれは。 / エレメンタルバスターのかたがた。
6/S6054.DAT,1759,0x4633A,2,37,라마다 승려: 이거 이거. 엘리멘탈 마스터 버스터 여러분.,ラマダ僧  / これはこれは。 / エレメンタルマスターバスターのかたがた。
6/S6054.DAT,1761,0x463F0,2,16,라마다 승려: 힘내 주십시오.,ラマダ僧  / がんばつて下さい。
6/S6054.DAT,1763,0x4649C,2,16,라마다 승려: 힘내 주십시오.,ラマダ僧  / がんばつて下さい。
6/S6054.DAT,1765,0x46548,2,16,라마다 승려: 힘내 주십시오.,ラマダ僧  / がんばつて下さい。
6/S6054.DAT,1767,0x465EE,2,16,라마다 승려: 힘내 주십시오.,ラマダ僧  / がんばつて下さい。
6/S6054.DAT,1769,0x46692,2,16,라마다 승려: 힘내 주십시오.,ラマダ僧  / がんばつて下さい。
6/S6054.DAT,1771,0x46728,2,16,라마다 승려: 힘내 주십시오.,ラマダ僧  / がんばつて下さい。
6/S6054.DAT,1773,0x467D8,2,16,라마다 승려: 힘내 주십시오.,ラマダ僧  / がんばつて下さい。
6/S6054.DAT,1775,0x46884,2,16,라마다 승려: 힘내 주십시오.,ラマダ僧  / がんばつて下さい。
6/S6054.DAT,1777,0x46930,2,16,라마다 승려: 힘내 주십시오.,ラマダ僧  / がんばつて下さい。
6/S6054.DAT,1779,0x469DE,2,16,라마다 승려: 힘내 주십시오.,ラマダ僧  / がんばつて下さい。
6/S6054.DAT,1781,0x46A86,2,16,라마다 승려: 힘내 주십시오.,ラマダ僧  / がんばつて下さい。
6/S6054.DAT,1704,0x4506E,3,12,라마다 승려: 정답!!,ラマダ僧  / 正解!!
6/S6054.DAT,1707,0x45160,3,12,라마다 승려: 정답!!,ラマダ僧  / 正解!!
6/S6054.DAT,1710,0x4525C,3,12,라마다 승려: 정답!!,ラマダ僧  / 正解!!
6/S6054.DAT,1713,0x4535A,3,12,라마다 승려: 정답!!,ラマダ僧  / 正解!!
6/S6054.DAT,1719,0x45542,3,12,라마다 승려: 정답!!,ラマダ僧  / 正解!!
6/S6054.DAT,1720,0x45580,3,39,라마다 승려: 수도의 군 본부에는 사실 지하 50층 던전이...,ラマダ僧  / 首都の軍オフィスには、実は地下50階のダンジョンが・・
6/S6054.DAT,1722,0x45648,3,12,라마다 승려: 정답!!,ラマダ僧  / 正解!!
6/S6054.DAT,1725,0x4573A,3,12,라마다 승려: 정답!!,ラマダ僧  / 正解!!
6/S6054.DAT,1728,0x45836,3,12,라마다 승려: 정답!!,ラマダ僧  / 正解!!
6/S6054.DAT,1731,0x45940,3,12,라마다 승려: 정답!!,ラマダ僧  / 正解!!
6/S6054.DAT,1734,0x45A38,3,12,라마다 승려: 정답!!,ラマダ僧  / 正解!!
6/S6054.DAT,1735,0x45A80,3,13,라마다 승려: 대정답!!,ラマダ僧  / 大正解!!
6/S6054.DAT,1741,0x45CA6,3,37,그 돌은 모험가들을 위험에서 구해 줄 위대한 힘이 될 것이다.,その石は、ぼうけんしゃたちを危険からすくう、大いなる力となるであろう。
6/S6054.DAT,1744,0x45DA0,3,19,라마다 승려: 그러니 이걸 주마.,ラマダ僧  / よつて、これをあげよう。
6/S6054.DAT,1755,0x461E2,3,37,라마다 승려: 이거 이거. 뱀파이어 배트 버스터 여러분.,ラマダ僧  / これはこれは。 / ヴァンパイアバットバスターのかたがた。
6/S6054.DAT,1772,0x46778,3,45,"라마다 승려: 7번째 도전이시군요. 슬슬 힘들어지셨겠지만, 힘내시는군요.",ラマダ僧  / 7度目の挑戦ですね。そろそろつらくなつてきたでしょうが、がんばりますね。
6/S6054.DAT,1774,0x46828,3,42,라마다 승려: 8번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?,ラマダ僧  / 8度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？
6/S6054.DAT,1749,0x45FDC,4,34,라마다 승려: 이거 이거. 그린 슬라임 버스터 여러분.,ラマダ僧  / これはこれは。 / グリーンスライムバスターのかたがた。
6/S6054.DAT,1764,0x464EC,4,42,라마다 승려: 세 번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?,ラマダ僧  / 3度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？
6/S6054.DAT,1778,0x46980,4,43,라마다 승려: 열 번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?,ラマダ僧  / 10度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？
6/S6054.DAT,1729,0x45874,5,33,라마다 승려: 스톤 서클에서 촌가라가 찾은 아이템은?,ラマダ僧  / ストーンサークルでチョンガラが見つけたアイテムは？
6/S6054.DAT,1747,0x45F00,5,30,라마다 승려: 정말 잘했습니다. 이것을 드리겠습니다.,ラマダ僧  / よくがんばりましたね。これをさし上げましょう。
6/S6054.DAT,1752,0x460DE,5,35,라마다 승려: 이거 이거. 자이언트 배트 버스터 여러분.,ラマダ僧  / これはこれは。 / ジャイアントバットバスターのかたがた。
6/S6054.DAT,1756,0x4623C,5,32,라마다 승려: 이거 이거. 데스 플레임 버스터 여러분.,ラマダ僧  / これはこれは。 / デスフレイムバスターのかたがた。
6/S6054.DAT,1762,0x46440,5,42,라마다 승려: 두 번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?,ラマダ僧  / 2度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？
6/S6054.DAT,1766,0x46598,5,36,라마다 승려: 네 번째 도전이시군요. 아직은 이 정도겠지요?,ラマダ僧  / 4度目の挑戦ですね。まだまだ、こんなところでしょうか？
6/S6054.DAT,1716,0x4544A,6,18,라마다 승려: 정답!! 정말이냐?,ラマダ僧  / 正解!!本当だな？
6/S6054.DAT,1723,0x45686,6,28,라마다 승려: 유적 던전의 가장 아래에 있는 것은?,ラマダ僧  / 遺跡ダンジョンの一番下にいるものは？
6/S6054.DAT,1739,0x45BF4,6,28,그런데 이미 가지고 있지 않느냐? 놀리지 마라.,と思つたが、もう持つているではないか？ひやかすでない。
6/S6054.DAT,1758,0x462E4,6,34,라마다 승려: 이거 이거. 애시드 슬라임 버스터 여러분.,ラマダ僧  / これはこれは。 / アシットスライムバスターのかたがた。
6/S6054.DAT,1782,0x46AD6,6,33,더는 상대할 사람이 없습니다. 모처럼이지만 물러나 주십시오.,もう相手になるものがいません。せつかくですがお引きとり下さい。
6/S6054.DAT,1714,0x45398,7,22,라마다 승려: 아크 더 래드의 속편은?,ラマダ僧  / アークザラットのぞくへんは？
6/S6054.DAT,1736,0x45AC8,7,46,라마다 승려: 내 문제를 모두 맞힌 건 네가 처음이다. 상으로 이걸 주마.,ラマダ僧  / 私のもんだいに全て正解したのはおまえが初めてだ。ほうびにこれをやろう。
6/S6054.DAT,1743,0x45D52,7,28,"라마다 승려: 그건 틀렸지만, 노력은 인정해 주마.",ラマダ僧  / それはまちがいだが、がんばりはみとめよう。
6/S6054.DAT,1760,0x46394,7,41,라마다 승려: 처음 도전하시는군요. 그러면 우선 몸풀기부터 하도록 하지요.,ラマダ僧  / 初めての挑戦ですね。それでは、ますは小手調ベということで。
6/S6054.DAT,1717,0x4548E,8,22,라마다 승려: 아크 더 래드의 스태프는?,ラマダ僧  / アークザラットのスタッフは？
6/S6054.DAT,1732,0x4597E,8,20,라마다 승려: 초코의 머리카락 빛은?,ラマダ僧  / ちょこのかみのけのいろは？
6/S6054.DAT,1770,0x466E2,8,19,라마다 승려: 여섯 번째 도전이시군요.,ラマダ僧  / 6度目の挑戦ですね。
6/S6054.DAT,1740,0x45C42,9,49,"이 세계에는 정령의 돌 말고도, 모두 모으면 효과가 나타나는 돌이 하나 더 있다고 들었다.",この世界には、精霊の石ともう一つ、全て集めることによつて効果があらわれる石があると聞く。
6/S6054.DAT,1705,0x450AC,10,17,라마다 승려: 스파이는 어디에 있었지?,ラマダ僧  / スパイはどこにいた？
6/S6054.DAT,1711,0x4529A,10,32,라마다 승려: 스메리아의 다운타운에 있는 네 녀석의 이름은?,ラマダ僧  / スメリアのダウンタウンにいるよつっらいの名前は？
6/S6054.DAT,1737,0x45B2C,10,45,라마다 승려: 내 문제를 모두 맞힌 건 네가 두 번째다. 상으로 이걸 주마.,ラマダ僧  / 私のもんだいに全て正解したのはおまえが2人めだ。ほうびにこれをやろう。
6/S6054.DAT,1742,0x45D02,10,26,라마다 승려: 늘 목적을 가지고 행동하는 게 좋다.,ラマダ僧  / 常に目的を持つて行動するがよい。
6/S6054.DAT,1780,0x46A2E,10,37,라마다 승려: 열한 번째 도전이시군요. 일단 이것으로 마지막입니다.,ラマダ僧  / 11度目の挑戦ですね。いちおう、これで最後になります。
6/S6054.DAT,1708,0x4519E,12,29,라마다 승려: 세이브 데이터에 표시되는 문양은 무엇인가?,ラマダ僧  / セーフデータのシンボルになつているのは？
6/S6054.DAT,1746,0x45E2E,12,33,라마다 승려: 수행이 부족한 모양이구나. 다시 해 보는 게 좋겠다.,ラマダ僧  / 修行が足りないようだ。 / 出直してくるがよい。
6/S6054.DAT,1726,0x45778,14,36,라마다 승려: 라마다 절에서 문이 열렸을 때 안에 보이는 사람의 수는?,ラマダ僧  / ラマダ寺でとびらが開いたときに中に見える人の数は？
6/S6054.DAT,1768,0x4663E,16,34,라마다 승려: 다섯 번째 도전이시군요. 슬슬 진심으로 싸워 주십시오.,ラマダ僧  / 5度目の挑戦ですね。そろそろ、本気で闘つて下さい。
31/S3014.DAT,758,0x4670A,1,26,초핀: 언제든 정비하여 기다리고 있습니다.,チョピン  / いつでも整備してお待ちしております。
31/S3014.DAT,762,0x46AA2,1,26,초핀: 언제든 정비하여 기다리고 있습니다.,チョピン  / いつでも整備してお待ちしております。
31/S3014.DAT,768,0x46E82,1,26,초핀: 언제든 정비하여 기다리고 있습니다.,チョピン  / いつでも整備してお待ちしております。
31/S3014.DAT,776,0x471D2,1,46,초핀: 이를 피하려면 적의 뒤나 옆으로 돌아 들어가 공격하면 됩니다.,チョピン  / これを避けるためには、 / 敵の後ろかよこに / 回り込んで攻撃することです。
31/S3014.DAT,786,0x475E8,1,8,잘도 말하는군.,言つてくれるぜ。
31/S3014.DAT,793,0x47834,1,35,초핀: 모든 사람이 공격에 알맞은 것은 아닙니다.,チョピン  / すベての人が攻撃に向いているわけでは / ありません。
31/S3014.DAT,803,0x47BE4,1,12,맡길 리가 없잖아!,まかせる訳ないでしょ!
31/S3014.DAT,810,0x47E3A,1,45,"초핀: 실력도 시험해 볼 겸, 가끔 들러 보는 것도 좋지 않을까요?",チョピン  / 自分の強さを試したくなつた場合に、 / 立ちよつてみてはどうでしょう。
31/S3014.DAT,775,0x47174,2,44,"초핀: 적을 공격했을 때 반격을 받아, 피해를 입을 때가 있습니다.",チョピン  / 敵に攻撃した場合に、反撃をされ、 / ダメージを受けることがあります。
31/S3014.DAT,798,0x47A1A,2,43,초핀: 아라라토스의 유적 던전은 층이 상당히 많은것 같습니다.,チョピン  / アララトスの遺跡ダンジョンは / 相当に階層が深いようです。
31/S3014.DAT,828,0x4859E,2,36,초핀: 몬스터가 많은 곳에서 써 보시는 건 어떻겠습니까?,チョピン  / モンスターの多いところで使つてみては / どうでしょう。
31/S3014.DAT,832,0x4873E,2,52,"초핀: 고겐 님께 하나, 마지막은 아크 님의 아버님이 가지고 계셨다고 합니다.",チョピン  / 1つはゴーゲン様が、最後の1つはアークさんの父上が持つてらつしゃつたみたいですね。
31/S3014.DAT,757,0x465EA,3,15,"초핀: 그럼, 이쪽으로.",チョピン  / では、こちらへ。
31/S3014.DAT,761,0x46976,3,15,"초핀: 그럼, 이쪽으로.",チョピン  / では、こちらへ。
31/S3014.DAT,767,0x46D50,3,15,"초핀: 그럼, 이쪽으로.",チョピン  / では、こちらへ。
31/S3014.DAT,787,0x4762E,3,40,초핀: 강한 상대와 싸우면 그만큼 많은 경험을 쌓을 수 있습니다.,チョピン  / 強い相手を選んで戦うと、それだけ多くの経験をつめます。
31/S3014.DAT,808,0x47D92,3,8,친절하기도 하군.,やさしいのう。
31/S3014.DAT,777,0x47232,4,61,초핀: 반대로 자신이 공격받을 때는 되도록 정면을 향하게 하면 적에게 반격하기 쉬워집니다.,チョピン  / 逆に、自分が攻撃される時になるベく、 / 正面からになるようにしむけると / 敵に反撃しやすくなります。
31/S3014.DAT,807,0x47D42,4,27,초핀: 가면 만능약을 받을 수 있는 것같습니다.,チョピン  / 行くと万能薬をもらえるようですよ。
31/S3014.DAT,820,0x48252,4,50,초핀: 전투 중 자신의 턴에 스타트 버튼을 누르면 스테이터스를 볼 수 있지요.,チョピン  / バトル中に、自分のターンで / スタートボタンをおすと / ステータスを見れますよね。
31/S3014.DAT,769,0x46EF2,5,17,초핀: 무엇을 알고 싶으십니까?,チョピン  / 何が知りたいですか？
31/S3014.DAT,779,0x47324,5,17,초핀: 무엇을 알고 싶으십니까?,チョピン  / 何が知りたいですか？
31/S3014.DAT,812,0x47EE4,5,22,초핀: 어느 것에 관해 말씀드릴까요?,チョピン  / どれについてお話ししましょう？
31/S3014.DAT,824,0x483F8,5,64,초핀: 포코 님의 악기는 전부 8개라고 들었습니다. 모두 찾으면 상당히 강한 병사가 될 수 있겠군요.,チョピン  / ポコ様の楽器は、全部で8つになると聞いております。全部見つかると、かなり強い兵隊になれそうですね。
31/S3014.DAT,784,0x4752A,6,47,초핀: 그 밖에 날아다니는 몬스터에게는 바람 마법이 잘 통하는 경우도 있습니다.,チョピン  / 他には、飛んでいるモンスターには、 / 風の魔法がよくきくとかもあります。
31/S3014.DAT,796,0x4794A,6,16,낙오자라니 누구를 말하는 게냐?,落ちこぼれとは誰のことじゃ？
31/S3014.DAT,799,0x47A78,6,52,"초핀: 그 안에는 몬스터가 지키고 있는, 그곳에서만 얻을 수 있는 액세서리도 있다고 들었습니다.",チョピン  / なかには、モンスターに守られた、 / あそこにしかないアクセサリーもあると / 聞きます。
31/S3014.DAT,818,0x4818E,6,50,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,チョピン  / ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？
D/SD031.DAT,2661,0x459FE,1,51,내 이름은 고겐. 너희 바람대로 3천 년의 시간을 넘어 다시 나타났지.,わしの名はゴーゲン。 / おまえらの望み通り / 3000年の時をこえて再び現れてやつたぞ。
D/SD031.DAT,2671,0x45D2E,1,37,그렇지. 이 세계를 만들고 움직이는 모든 정령들의 대표,そうじゃ。 / この世界を形作り、動かしている全ての精霊達の代表
D/SD031.DAT,2675,0x45E92,1,22,그럼 어떻게 그 정령들을 찾아내지?,じゃあ、どうやつてその精霊達をさがしだすの？
D/SD031.DAT,2688,0x46276,1,17,"그렇다, 그러할 터인데...?",いかにも、そのはすじゃが・・？
D/SD031.DAT,2691,0x4637E,1,21,오랜만에 크게 활약할 수 있겠구나.,ひさしぶりに / 大暴れできそうじゃわい。
D/SD031.DAT,2693,0x463FC,1,19,로맨싱 스톤을 가지고 있었다!,ロマンシングストーンをもつていた!<CTRL:E4:3D>
D/SD031.DAT,2695,0x465EE,1,18,굉장한 아이템을 손에 넣었다!,<G:90>すごいアイテム<G:89>を手に入れた!
D/SD031.DAT,2659,0x4596E,2,26,아까 그 몬스터에게 붙잡혀 있던 할아버지다.,さつきのモンスターに捕らえられていたおじいさんだ。
D/SD031.DAT,2664,0x45AFE,2,12,그럼 당신이...?,じゃっあんたが・・？
D/SD031.DAT,2670,0x45CF4,2,5,5대 정령?,5大精霊？
D/SD031.DAT,2681,0x4605A,2,14,비행선이 필요하겠군.,飛行船が必要だなっ。
D/SD031.DAT,2686,0x461D2,2,32,고대의 대마도사 고겐 님이 힘이 되어 주겠다고 하는데.,古の大魔導師ゴーゲン様が、力になつてやろうというに。
D/SD031.DAT,2696,0x4672A,2,24,촌가라의 굉장한 아이템을 빼앗았다!,チョンガラの<G:90>すごいアイテム<G:89>をうばつた!<CTRL:E4:3D>
D/SD031.DAT,2701,0x48A5A,2,8,돌을 손에 넣었다!,石を手に入れた!
D/SD031.DAT,2702,0x48AA4,2,8,돌을 손에 넣었다!,石を手に入れた!
D/SD031.DAT,2666,0x45B96,3,24,후후후후후후후후후후후후후.,ふふつふふつふふつふふつふふつふふつ
D/SD031.DAT,2672,0x45D88,3,43,"그것이 땅, 물, 불, 바람, 빛의 5요소를 관장하는 정령이니라.",それが、地 水 火 風 光<CTRL:E4:0B> の5要素をつかさどる精霊じゃ。
D/SD031.DAT,2678,0x45F8E,3,16,그건 어디서 온 것이려나?,それはどこから来たものかのう？
D/SD031.DAT,2684,0x46130,3,19,에? 할아버지도 따라오는 거야!?,えつ？ / おじいさんもついて来るの!？
