행번호,파일,오프셋,원문,현재,제안,현재바이트,제자리칸,제안바이트,결과
1388,5/S5013.DAT,0x489E2,チョピン  / アララトスの遺跡ダンジョンは / 相当に階層が深いようです。,초핀: 아라라토스의 유적 던전은 층이 상당히 많은것 같습니다.,초핀: 아라라토스의 유적던전은 층이상당히 많은것 같습니다.,45,43,43,들어감
1393,5/S5013.DAT,0x48BAC,まかせる訳ないでしょ!,맡길 리가 없잖아!,맡길리가 없잖아!,13,12,12,들어감
1398,5/S5013.DAT,0x48D5A,やさしいのう。,친절하기도 하군.,,11,8,,공백만으로는 부족 — 문장을 줄여야 함
1402,5/S5013.DAT,0x48EAC,チョピン  / どれについてお話ししましょう？,초핀: 어느 것에 관해 말씀드릴까요?,,27,22,,공백만으로는 부족 — 문장을 줄여야 함
1408,5/S5013.DAT,0x49156,チョピン  / ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀:고겐님이 동료가된뒤에 오르카스 언덕의스톤 서클에가 보셨습니까?,56,50,50,들어감
1603,6/S6014.DAT,0x48B58,まかせる訳ないでしょ!,맡길 리가 없잖아!,맡길리가 없잖아!,13,12,12,들어감
1608,6/S6014.DAT,0x48D06,やさしいのう。,친절하기도 하군.,,11,8,,공백만으로는 부족 — 문장을 줄여야 함
1612,6/S6014.DAT,0x48E58,チョピン  / どれについてお話ししましょう？,초핀: 어느 것에 관해 말씀드릴까요?,,27,22,,공백만으로는 부족 — 문장을 줄여야 함
1618,6/S6014.DAT,0x49102,チョピン  / ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀:고겐님이 동료가된뒤에 오르카스 언덕의스톤 서클에가 보셨습니까?,56,50,50,들어감
1704,6/S6054.DAT,0x4506E,ラマダ僧  / 正解!!,라마다 승려: 정답!!,라마다승려:정답!,15,12,12,들어감
1705,6/S6054.DAT,0x450AC,ラマダ僧  / スパイはどこにいた？,라마다 승려: 스파이는 어디에 있었지?,,27,17,,공백만으로는 부족 — 문장을 줄여야 함
1707,6/S6054.DAT,0x45160,ラマダ僧  / 正解!!,라마다 승려: 정답!!,라마다승려:정답!,15,12,12,들어감
1708,6/S6054.DAT,0x4519E,ラマダ僧  / セーフデータのシンボルになつているのは？,라마다 승려: 세이브 데이터에 표시되는 문양은 무엇인가?,,41,29,,공백만으로는 부족 — 문장을 줄여야 함
1710,6/S6054.DAT,0x4525C,ラマダ僧  / 正解!!,라마다 승려: 정답!!,라마다승려:정답!,15,12,12,들어감
1711,6/S6054.DAT,0x4529A,ラマダ僧  / スメリアのダウンタウンにいるよつっらいの名前は？,라마다 승려: 스메리아의 다운타운에 있는 네 녀석의 이름은?,,42,32,,공백만으로는 부족 — 문장을 줄여야 함
1713,6/S6054.DAT,0x4535A,ラマダ僧  / 正解!!,라마다 승려: 정답!!,라마다승려:정답!,15,12,12,들어감
1714,6/S6054.DAT,0x45398,ラマダ僧  / アークザラットのぞくへんは？,라마다 승려: 아크 더 래드의 속편은?,,29,22,,공백만으로는 부족 — 문장을 줄여야 함
1716,6/S6054.DAT,0x4544A,ラマダ僧  / 正解!!本当だな？,라마다 승려: 정답!! 정말이냐?,,24,18,,공백만으로는 부족 — 문장을 줄여야 함
1717,6/S6054.DAT,0x4548E,ラマダ僧  / アークザラットのスタッフは？,라마다 승려: 아크 더 래드의 스태프는?,,30,22,,공백만으로는 부족 — 문장을 줄여야 함
1719,6/S6054.DAT,0x45542,ラマダ僧  / 正解!!,라마다 승려: 정답!!,라마다승려:정답!,15,12,12,들어감
1720,6/S6054.DAT,0x45580,ラマダ僧  / 首都の軍オフィスには、実は地下50階のダンジョンが・・,라마다 승려: 수도의 군 본부에는 사실 지하 50층 던전이...,라마다승려: 수도의군 본부에는 사실지하 50층 던전이...,42,39,39,들어감
1722,6/S6054.DAT,0x45648,ラマダ僧  / 正解!!,라마다 승려: 정답!!,라마다승려:정답!,15,12,12,들어감
1723,6/S6054.DAT,0x45686,ラマダ僧  / 遺跡ダンジョンの一番下にいるものは？,라마다 승려: 유적 던전의 가장 아래에 있는 것은?,라마다승려:유적던전의가장 아래에있는것은?,34,28,28,들어감
1725,6/S6054.DAT,0x4573A,ラマダ僧  / 正解!!,라마다 승려: 정답!!,라마다승려:정답!,15,12,12,들어감
1726,6/S6054.DAT,0x45778,ラマダ僧  / ラマダ寺でとびらが開いたときに中に見える人の数は？,라마다 승려: 라마다 절에서 문이 열렸을 때 안에 보이는 사람의 수는?,,50,36,,공백만으로는 부족 — 문장을 줄여야 함
1728,6/S6054.DAT,0x45836,ラマダ僧  / 正解!!,라마다 승려: 정답!!,라마다승려:정답!,15,12,12,들어감
1729,6/S6054.DAT,0x45874,ラマダ僧  / ストーンサークルでチョンガラが見つけたアイテムは？,라마다 승려: 스톤 서클에서 촌가라가 찾은 아이템은?,라마다승려:스톤 서클에서촌가라가찾은아이템은?,38,33,33,들어감
1731,6/S6054.DAT,0x45940,ラマダ僧  / 正解!!,라마다 승려: 정답!!,라마다승려:정답!,15,12,12,들어감
1732,6/S6054.DAT,0x4597E,ラマダ僧  / ちょこのかみのけのいろは？,라마다 승려: 초코의 머리카락 빛은?,,28,20,,공백만으로는 부족 — 문장을 줄여야 함
1734,6/S6054.DAT,0x45A38,ラマダ僧  / 正解!!,라마다 승려: 정답!!,라마다승려:정답!,15,12,12,들어감
1735,6/S6054.DAT,0x45A80,ラマダ僧  / 大正解!!,라마다 승려: 대정답!!,라마다승려:대정답!,16,13,13,들어감
1736,6/S6054.DAT,0x45AC8,ラマダ僧  / 私のもんだいに全て正解したのはおまえが初めてだ。ほうびにこれをやろう。,라마다 승려: 내 문제를 모두 맞힌 건 네가 처음이다. 상으로 이걸 주마.,라마다승려:내 문제를모두 맞힌건네가 처음이다. 상으로이걸주마.,53,46,46,들어감
1737,6/S6054.DAT,0x45B2C,ラマダ僧  / 私のもんだいに全て正解したのはおまえが2人めだ。ほうびにこれをやろう。,라마다 승려: 내 문제를 모두 맞힌 건 네가 두 번째다. 상으로 이걸 주마.,라마다승려:내문제를모두 맞힌건네가두번째다. 상으로이걸주마.,55,45,45,들어감
1739,6/S6054.DAT,0x45BF4,と思つたが、もう持つているではないか？ひやかすでない。,그런데 이미 가지고 있지 않느냐? 놀리지 마라.,그런데이미가지고있지않느냐?놀리지마라.,34,28,28,들어감
1740,6/S6054.DAT,0x45C42,この世界には、精霊の石ともう一つ、全て集めることによつて効果があらわれる石があると聞く。,"이 세계에는 정령의 돌 말고도, 모두 모으면 효과가 나타나는 돌이 하나 더 있다고 들었다.","이세계에는 정령의돌말고도, 모두모으면효과가나타나는 돌이하나더 있다고들었다.",58,49,49,들어감
1741,6/S6054.DAT,0x45CA6,その石は、ぼうけんしゃたちを危険からすくう、大いなる力となるであろう。,그 돌은 모험가들을 위험에서 구해 줄 위대한 힘이 될 것이다.,그돌은 모험가들을 위험에서 구해줄 위대한 힘이될 것이다.,40,37,37,들어감
1742,6/S6054.DAT,0x45D02,ラマダ僧  / 常に目的を持つて行動するがよい。,라마다 승려: 늘 목적을 가지고 행동하는 게 좋다.,,36,26,,공백만으로는 부족 — 문장을 줄여야 함
1743,6/S6054.DAT,0x45D52,ラマダ僧  / それはまちがいだが、がんばりはみとめよう。,"라마다 승려: 그건 틀렸지만, 노력은 인정해 주마.",,35,28,,공백만으로는 부족 — 문장을 줄여야 함
1744,6/S6054.DAT,0x45DA0,ラマダ僧  / よつて、これをあげよう。,라마다 승려: 그러니 이걸 주마.,라마다승려: 그러니이걸주마.,22,19,19,들어감
1746,6/S6054.DAT,0x45E2E,ラマダ僧  / 修行が足りないようだ。 / 出直してくるがよい。,라마다 승려: 수행이 부족한 모양이구나. 다시 해 보는 게 좋겠다.,,45,33,,공백만으로는 부족 — 문장을 줄여야 함
1747,6/S6054.DAT,0x45F00,ラマダ僧  / よくがんばりましたね。これをさし上げましょう。,라마다 승려: 정말 잘했습니다. 이것을 드리겠습니다.,라마다승려:정말잘했습니다.이것을드리겠습니다.,35,30,30,들어감
1748,6/S6054.DAT,0x45F6E,<G:90>幻獣の牙<G:89>をもらいました。,환수의 어금니를 받았습니다.,환수의어금니를받았습니다.,19,17,17,들어감
1749,6/S6054.DAT,0x45FDC,ラマダ僧  / これはこれは。 / グリーンスライムバスターのかたがた。,라마다 승려: 이거 이거. 그린 슬라임 버스터 여러분.,라마다승려:이거 이거.그린 슬라임버스터 여러분.,38,34,34,들어감
1750,6/S6054.DAT,0x46032,ラマダ僧  / これはこれは。 / エレメンタルバスターのかたがた。,라마다 승려: 이거 이거. 엘리멘탈 버스터 여러분.,라마다 승려:이거 이거.엘리멘탈 버스터 여러분.,35,33,33,들어감
1751,6/S6054.DAT,0x46088,ラマダ僧  / これはこれは。 / トールマスターバスターのかたがた。,라마다 승려: 이거 이거. 톨 마스터 버스터 여러분.,라마다 승려: 이거 이거.톨 마스터 버스터 여러분.,34,33,33,들어감
1752,6/S6054.DAT,0x460DE,ラマダ僧  / これはこれは。 / ジャイアントバットバスターのかたがた。,라마다 승려: 이거 이거. 자이언트 배트 버스터 여러분.,라마다승려:이거 이거.자이언트 배트버스터여러분.,40,35,35,들어감
1753,6/S6054.DAT,0x46136,ラマダ僧  / これはこれは。 / フリージーバスターのかたがた。,라마다 승려: 이거 이거. 프리지 버스터 여러분.,라마다 승려:이거 이거. 프리지 버스터 여러분.,32,31,31,들어감
1754,6/S6054.DAT,0x4618A,ラマダ僧  / これはこれは。 / 野生へモジーバスターのかたがた。,라마다 승려: 이거 이거. 야생 헤모지 버스터 여러분.,라마다 승려:이거 이거. 야생 헤모지 버스터 여러분.,36,35,35,들어감
1755,6/S6054.DAT,0x461E2,ラマダ僧  / これはこれは。 / ヴァンパイアバットバスターのかたがた。,라마다 승려: 이거 이거. 뱀파이어 배트 버스터 여러분.,라마다 승려:이거 이거.뱀파이어 배트버스터 여러분.,40,37,37,들어감
1756,6/S6054.DAT,0x4623C,ラマダ僧  / これはこれは。 / デスフレイムバスターのかたがた。,라마다 승려: 이거 이거. 데스 플레임 버스터 여러분.,라마다승려:이거 이거.데스 플레임버스터여러분.,37,32,32,들어감
1758,6/S6054.DAT,0x462E4,ラマダ僧  / これはこれは。 / アシットスライムバスターのかたがた。,라마다 승려: 이거 이거. 애시드 슬라임 버스터 여러분.,라마다승려:이거이거.애시드 슬라임버스터여러분.,40,34,34,들어감
1759,6/S6054.DAT,0x4633A,ラマダ僧  / これはこれは。 / エレメンタルマスターバスターのかたがた。,라마다 승려: 이거 이거. 엘리멘탈 마스터 버스터 여러분.,라마다 승려:이거 이거. 엘리멘탈 마스터버스터 여러분.,39,37,37,들어감
1760,6/S6054.DAT,0x46394,ラマダ僧  / 初めての挑戦ですね。それでは、ますは小手調ベということで。,라마다 승려: 처음 도전하시는군요. 그러면 우선 몸풀기부터 하도록 하지요.,라마다승려:처음도전하시는군요. 그러면우선몸풀기부터하도록하지요.,48,41,41,들어감
1761,6/S6054.DAT,0x463F0,ラマダ僧  / がんばつて下さい。,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.,18,16,16,들어감
1762,6/S6054.DAT,0x46440,ラマダ僧  / 2度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？,라마다 승려: 두 번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?,라마다승려:두번째 도전이시군요. 그러면이정도는 어떻겠습니까?,47,42,42,들어감
1763,6/S6054.DAT,0x4649C,ラマダ僧  / がんばつて下さい。,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.,18,16,16,들어감
1764,6/S6054.DAT,0x464EC,ラマダ僧  / 3度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？,라마다 승려: 세 번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?,라마다승려: 세번째 도전이시군요. 그러면이정도는 어떻겠습니까?,46,42,42,들어감
1765,6/S6054.DAT,0x46548,ラマダ僧  / がんばつて下さい。,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.,18,16,16,들어감
1766,6/S6054.DAT,0x46598,ラマダ僧  / 4度目の挑戦ですね。まだまだ、こんなところでしょうか？,라마다 승려: 네 번째 도전이시군요. 아직은 이 정도겠지요?,라마다승려:네번째 도전이시군요. 아직은이정도겠지요?,41,36,36,들어감
1767,6/S6054.DAT,0x465EE,ラマダ僧  / がんばつて下さい。,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.,18,16,16,들어감
1768,6/S6054.DAT,0x4663E,ラマダ僧  / 5度目の挑戦ですね。そろそろ、本気で闘つて下さい。,라마다 승려: 다섯 번째 도전이시군요. 슬슬 진심으로 싸워 주십시오.,,50,34,,공백만으로는 부족 — 문장을 줄여야 함
1769,6/S6054.DAT,0x46692,ラマダ僧  / がんばつて下さい。,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.,18,16,16,들어감
1770,6/S6054.DAT,0x466E2,ラマダ僧  / 6度目の挑戦ですね。,라마다 승려: 여섯 번째 도전이시군요.,,27,19,,공백만으로는 부족 — 문장을 줄여야 함
1771,6/S6054.DAT,0x46728,ラマダ僧  / がんばつて下さい。,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.,18,16,16,들어감
1772,6/S6054.DAT,0x46778,ラマダ僧  / 7度目の挑戦ですね。そろそろつらくなつてきたでしょうが、がんばりますね。,"라마다 승려: 7번째 도전이시군요. 슬슬 힘들어지셨겠지만, 힘내시는군요.","라마다승려:7번째 도전이시군요.슬슬 힘들어지셨겠지만, 힘내시는군요.",48,45,45,들어감
1773,6/S6054.DAT,0x467D8,ラマダ僧  / がんばつて下さい。,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.,18,16,16,들어감
1774,6/S6054.DAT,0x46828,ラマダ僧  / 8度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？,라마다 승려: 8번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?,라마다승려: 8번째 도전이시군요. 그러면이정도는 어떻겠습니까?,45,42,42,들어감
1775,6/S6054.DAT,0x46884,ラマダ僧  / がんばつて下さい。,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.,18,16,16,들어감
1776,6/S6054.DAT,0x468D4,ラマダ僧  / 9度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？,라마다 승려: 9번째 도전이군요. 그럼 이쯤에서 어떠십니까?,라마다승려: 9번째 도전이군요. 그럼 이쯤에서 어떠십니까?,43,42,42,들어감
1777,6/S6054.DAT,0x46930,ラマダ僧  / がんばつて下さい。,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.,18,16,16,들어감
1778,6/S6054.DAT,0x46980,ラマダ僧  / 10度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？,라마다 승려: 열 번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?,라마다승려: 열번째 도전이시군요. 그러면이정도는 어떻겠습니까?,47,43,43,들어감
1779,6/S6054.DAT,0x469DE,ラマダ僧  / がんばつて下さい。,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.,18,16,16,들어감
