file,offset,capacity,text
1/S1041.DAT,0x47F2E,53,"산의 정령: 저는 줄곧 이곳에서 성궤를 봉인하는 불꽃을 지켜 왔습니다."
1/S1041.DAT,0x47F9E,53,"산의 정령: 산 정상의 사당에 불을 붙이세요. 그러면 마물은 사라집니다."
1/S1041.DAT,0x48008,21,"알겠어. 불을 붙이면 되는 거지?"
1/S1041.DAT,0x48058,44,"산의 정령: 그렇습니다. 하지만 당신은 언젠가 다시 불을 끄러 오게 됩니다."
1/S1041.DAT,0x480C0,3,"왜지?"
1/S1041.DAT,0x480F6,23,"산의 정령: 그것이 당신의 운명이기 때문입니다."
1/S1041.DAT,0x48142,4,"운명?"
1/S1041.DAT,0x48178,40,"산의 정령: 인류는 지금 멸망을 향해 치닫고 있습니다."
1/S1041.DAT,0x481D2,34,"산의 정령: 당신은 그 멸망을 막을 운명을 짊어지고 있습니다."
1/S1041.DAT,0x48226,32,"산의 정령: 성궤의 힘을 손에 넣음으로써..."
1/S1041.DAT,0x4827A,7,"인류가 멸망한다고?"
1/S1041.DAT,0x482BC,55,"산의 정령: 당신의 아버지는 멸망을 막기 위해 우리 정령들과 약속했습니다."
1/S1041.DAT,0x48326,24,"산의 정령: 그리고 마침내 당신이 이곳에 왔습니다."
1/S1041.DAT,0x48378,38,"산의 정령: 약속에 따라 마물과 싸울 힘을 당신에게 드리겠습니다."
1/S1041.DAT,0x483D2,28,"갑자기 그런 말을 해도 무슨 뜻인지 모르겠어..."
1/S1041.DAT,0x48428,28,"산의 정령: 때가 되면 알게 될 겁니다. 부탁드립니다."
1/S1041.DAT,0x48498,15,"아크는 정령의 힘을 손에 넣었다."
D/SD012.DAT,0x478B8,39,"아크 데몬: 네가 봉인의 불꽃을 꺼 준 자인가?"
D/SD012.DAT,0x4791A,7,"..."
D/SD012.DAT,0x47954,49,"아크 데몬: 감사하고 싶지만, 널 죽이지 않고서는 자유로워질 수 없어서 말이지."
D/SD013.DAT,0x4789C,36,"아크 데몬: 삼천 년 동안 쌓인 내 분노를 받고 죽어라!"
D/SD013.DAT,0x47902,5,"꺄악!"
D/SD013.DAT,0x4793A,17,"아크 데몬: 뭐지!?"
D/SD013.DAT,0x47976,27,"아크 데몬: 누가 다시 불꽃을..."
D/SD013.DAT,0x47A0E,26,"그리고 며칠 뒤..."
D/SD013.DAT,0x47A2C,49,"소문은 팔렌시아 왕도까지 퍼졌고, 아크는 성으로 불려 갔다."
1/S1061.DAT,0x478A4,10,"이제 여기까지면 돼."
1/S1061.DAT,0x47904,45,"쿠쿠루: 그 뒤에 우리 일족의 계율이라는 고문서를 읽어 봤어."
1/S1061.DAT,0x47966,17,"쿠쿠루: 거기에는 이렇게 쓰여 있었어..."
1/S1061.DAT,0x479AA,54,"쿠쿠루: 스메리아는 조화의 힘으로 움직이는 나라. 와이트 가문은 조화를 잇는 실을 자아내는 가문."
1/S1061.DAT,0x47A12,59,"쿠쿠루: 와이트 가문의 딸은 용사를 받치는 씨실. 세상이 기울 때 불꽃 같은 날실이 나타나리니,"
1/S1061.DAT,0x47A80,23,"쿠쿠루: 그를 섬겨 세상을 바른길로 이끌라."
1/S1061.DAT,0x47ACC,45,"쿠쿠루: 세상이 끝나려 할 때 나타날 용사를 도우라는 뜻인 것 같아."
1/S1061.DAT,0x47B40,12,"쿠쿠루: 굉장한 이야기지?"
1/S1061.DAT,0x47B94,40,"아크: 그날 만난 정령도 인류의 멸망과 내 운명을 말했지만..."
1/S1061.DAT,0x47BF0,25,"아크: 그런 것보다 난 아버지를 만나고 싶어."
1/S1061.DAT,0x47C3E,43,"아크: 난 마을을 떠날 거야. 팔렌시아성에 가면 뭔가 알 수 있겠지."
1/S1061.DAT,0x47CC0,15,"쿠쿠루: 아크, 나..."
1/S1061.DAT,0x47D04,19,"쿠쿠루: 나도 네 뒤를 따라갈게."
1/S1061.DAT,0x47D52,8,"아크: 쿠쿠루..."
1/S1061.DAT,0x47DA0,24,"쿠쿠루: 널 좋아해서 그러는 건 아니야."
1/S1061.DAT,0x47DEC,36,"쿠쿠루: 하지만 알 수 있어. 넌 날실이고, 내가 따라가야 할 길이야."
1/S1061.DAT,0x47E44,3,"아크: 길?"
1/S1061.DAT,0x47E7C,6,"쿠쿠루: 그래, 길."
1/S1061.DAT,0x47EB6,23,"쿠쿠루: 네가 나아가는 곳에 길이 생길 거야."
1/S1061.DAT,0x47F02,31,"쿠쿠루: 그 길이 어디로 이어지는지는 나도 모르지만..."
1/S1061.DAT,0x47F56,24,"쿠쿠루: 난 그 길을 걷게 될 것만 같아."
1/S1061.DAT,0x47FA2,41,"쿠쿠루: 고문서에는 일족에게 전해지는 신비한 힘도 적혀 있었어."
1/S1061.DAT,0x48000,43,"쿠쿠루: 지금은 함께 못 가지만, 반드시 그 힘을 얻어서 널 따라갈게."
1/S1061.DAT,0x48076,24,"아크: 알겠어. 그럼 난 이만 갈게..."
1/S1061.DAT,0x480C8,10,"쿠쿠루: 아크, 몸조심해."
23/S2061.DAT,0x4853A,44,"이상하네... 마물 토벌대는 대체 어디로 간 거지?"
23/S2061.DAT,0x48618,25,"제발 목숨만은 살려 주세요. 부탁입니다!"
23/S2061.DAT,0x48666,40,"살려 줘... 살려 줘... 죽고 싶지 않아!"
23/S2061.DAT,0x48700,23,"뭐야. 난 또 마물인 줄 알았잖아."
23/S2061.DAT,0x4874C,27,"대원들이 아무리 기다려도 돌아오지 않았어."
23/S2061.DAT,0x4879C,40,"마물에게 당한 게 틀림없다고 생각해서 혼자 숨어 있었는데..."
23/S2061.DAT,0x487F8,12,"한심한 병사로군."
23/S2061.DAT,0x4883E,7,"포코: 난 포코야."
23/S2061.DAT,0x4887A,54,"포코: 애초에 군인은 체질이 아니야. 싸우는 것보다 악기를 연주하는 게 훨씬 즐거운걸."
23/S2061.DAT,0x488E4,59,"아크: 난 토우빌에서 온 아크야. 왕의 명령으로 마물 토벌을 돕게 됐어."
23/S2061.DAT,0x48954,30,"포코: 마물이 나타나기 전에 어서 도망치자."
23/S2061.DAT,0x489EE,21,"좀비: 아직 살아남은 자가 있었나!"
23/S2061.DAT,0x48A44,22,"포코: 으악, 나타났어! 어떡하지!?"
23/S2061.DAT,0x48A8E,21,"아크: 시끄러워! 싸우는 수밖에 없잖아!"
23/S2061.DAT,0x48AD8,32,"포코: 싸우라니, 난 군악대라 무기도 없단 말이야!"
23/S2061.DAT,0x48B2C,12,"아크: 그럼 악기로 싸워!"
23/S2061.DAT,0x48B6C,4,"아크: 간다!"
21/S2011.DAT,0x4791A,17,"여기가 팔렌시아성인가..."
21/S2011.DAT,0x47AAA,15,"뭐지? 전쟁이라도 시작되나?"
21/S2011.DAT,0x47AF6,16,"이봐! 기다려 줘!"
21/S2011.DAT,0x47BAC,44,"병사: 꼬마야, 팔렌시아성에는 무슨 일이지? 여긴 아이들 놀이터가 아니다!"
21/S2011.DAT,0x47C0C,42,"아크: 놀러 온 게 아니야. 난 토우빌에서 온 아크고, 국왕께서 부르셨어."
21/S2011.DAT,0x47C68,37,"병사: 토우빌의 아크라고? 이런 어린애였나..."
21/S2011.DAT,0x47CC0,22,"병사: 이야기는 들었다. 들어가도 좋다."
21/S2021.DAT,0x4857C,25,"어째서 도시 한복판에 마물이 있는 거지?"
21/S2021.DAT,0x4860E,27,"큰일이야! 여자아이가 마물에게 공격받고 있어!"
21/S2021.DAT,0x48666,4,"아크: 쿠쿠루!"
21/S2021.DAT,0x486B0,12,"쿠쿠루: 아크, 이게 어떻게 된 일이야?"
21/S2021.DAT,0x486FC,46,"아크: 우리가 쓰러뜨린 마물이 복수하러 온 거야. 지금 구해 줄 테니 기다려!"
21/S2021.DAT,0x48830,11,"아크: 쿠쿠루, 괜찮아?"
21/S2021.DAT,0x48870,17,"쿠쿠루: 나도 제법 잘 싸우지?"
21/S2021.DAT,0x488FE,8,"아크: 쿠쿠루..."
21/S2021.DAT,0x4893A,47,"쿠쿠루: 약속대로 힘을 얻어 왔는데, 갑자기 너무 많이 썼나 봐..."
21/S2021.DAT,0x4899E,23,"쿠쿠루: 괜찮아. 조금만 쉬면..."
21/S2021.DAT,0x489EA,7,"아크: 말하지 마."
21/S2021.DAT,0x48A26,8,"아크: 쉬게 해야 해."
21/S2031.DAT,0x47932,23,"대신: 토우빌의 아크여, 들어오너라."
21/S2033.DAT,0x47936,13,"쿠쿠루: 반역자라는 게 아까 그 사람인가?"
21/S2033.DAT,0x47978,4,"아크: 아마도."
21/S2033.DAT,0x479B0,7,"쿠쿠루: 마음에 걸려."
21/S2033.DAT,0x479EC,3,"아크: 뭐가?"
21/S2033.DAT,0x47A24,15,"쿠쿠루: 그런 사람처럼 보이지 않았어."
21/S2033.DAT,0x47A68,14,"아크: 저 대신도 뭔가 수상하고."
21/S2033.DAT,0x47AAA,15,"쿠쿠루: 포코, 지하 감옥이 어디인지 알아?"
21/S2033.DAT,0x47AEE,17,"포코: 응, 알고는 있지만..."
21/S2033.DAT,0x47B34,6,"아크: 그럼 결정됐네."
21/S2033.DAT,0x47B6E,10,"쿠쿠루: 자, 안내해 줘."
21/S2033.DAT,0x47BAC,11,"포코: 이래도 되는 걸까..."
22/S2051.DAT,0x478A6,15,"국왕: 네가 아크인가?"
22/S2051.DAT,0x478F0,3,"아크: 예."
22/S2051.DAT,0x4792C,53,"국왕: 시온산에서의 활약은 들었다. 신기한 힘을 지녔다고 하더구나."
22/S2051.DAT,0x4799C,23,"아크: 산의 정령에게서 힘을 받았습니다."
22/S2051.DAT,0x479EC,10,"국왕: 정령에게서?"
22/S2051.DAT,0x47A28,25,"국왕: 그래서 정령이 네게 뭐라고 하더냐?"
22/S2051.DAT,0x47A7C,27,"아크: 정령은 인류가 멸망할 거라고 했습니다."
22/S2051.DAT,0x47AD0,26,"국왕: 인류가 멸망한다고... 그것은..."
22/S2051.DAT,0x47B22,35,"안델: 아크라고 했나? 함부로 그런 말을 입에 담아서는 안 된다."
22/S2051.DAT,0x47B7E,27,"안델: 폐하, 이런 어린아이의 말을 믿으시려는 겁니까?"
22/S2051.DAT,0x47BD2,51,"국왕: 세상이 멸망한다... 황태자였던 형이 사라질 때도 그런 말을 했지..."
22/S2051.DAT,0x47C38,52,"국왕: 아크여, 부탁이 있다. 우리 왕국에 전해지는 성궤에 관한 일이다..."
22/S2051.DAT,0x47CA4,50,"안델: 이자가 전설의 용사라고 정해진 것도 아닙니다. 아직 이른 이야기입니다."
22/S2051.DAT,0x47D0E,16,"국왕: 그렇다면 어찌하면 좋겠는가?"
22/S2051.DAT,0x47D50,13,"안델: 제게 맡겨 주십시오."
22/S2051.DAT,0x47D9C,49,"안델: 아크, 네가 정말 정령의 힘을 받은 자인지 시험해 보겠다."
22/S2051.DAT,0x47E00,34,"안델: 이곳에서 북쪽으로 가면 니르바나 평원이라는 곳이 있다."
22/S2051.DAT,0x47E54,27,"안델: 그곳의 마물을 토벌하고 오너라."
22/S2051.DAT,0x47EA2,33,"안델: 토벌대는 이미 출발했다."
22/S2051.DAT,0x47EF6,32,"안델: 서둘러 가서 그들 앞에서 네 힘을 증명해 보아라."
22/S2051.DAT,0x47F4A,3,"아크: 알겠습니다."
22/S2051.DAT,0x47F86,14,"국왕: 기대하마."
22/S2052.DAT,0x47908,39,"아크: 니르바나 평원의 마물 토벌 결과를 보고드리러 왔습니다."
22/S2052.DAT,0x47962,23,"안델: 어째서 토벌대 병사들은 보이지 않느냐?"
22/S2052.DAT,0x479BC,39,"포코: 그 일은 제가... 그러니까..."
22/S2052.DAT,0x47A16,10,"안델: 넌 누구냐?"
22/S2052.DAT,0x47A5A,19,"포코: 예, 토벌대 소속 포코입니다."
22/S2052.DAT,0x47AA0,9,"안델: 네가?"
22/S2052.DAT,0x47ADE,43,"포코: 예... 저를 제외한 토벌대는 전멸했습니다."
22/S2052.DAT,0x47B42,15,"국왕: 뭐라고? 전멸했다고!"
22/S2052.DAT,0x47B8A,46,"안델: 거짓말 마라. 그들은 국왕을 지키는 군 최고의 병사들이다."
22/S2052.DAT,0x47BEA,33,"안델: 그렇다면 너희는 도망쳐 돌아온 것이냐?"
22/S2052.DAT,0x47C40,24,"아크: 아닙니다. 명령대로 토벌했습니다."
22/S2052.DAT,0x47C8C,28,"아크: 하지만 그곳의 마물은 끝없이 나타나고 있습니다."
22/S2052.DAT,0x47CE0,13,"국왕: 끝없이 나타난다고!"
22/S2052.DAT,0x47D26,53,"안델: 너희 같은 아이들이 토벌대를 전멸시킨 마물을 쓰러뜨렸다고?"
22/S2052.DAT,0x47D9C,57,"병사: 보고드립니다! 마물들이 팔렌시아성으로 진격 중입니다. 곧 성에 도달합니다!"
22/S2052.DAT,0x47E0E,11,"국왕: 벌써 코앞이라고!"
22/S2052.DAT,0x47E52,15,"안델: 병사들은 무엇을 하고 있느냐!"
22/S2052.DAT,0x47E94,26,"병사: 전혀 상대가 되지 않습니다..."
22/S2052.DAT,0x47EE8,29,"아크: 제 말이 거짓인지 아닌지 직접 보여 드리겠습니다."
22/S2052.DAT,0x47F40,6,"아크: 가자, 포코!"
22/S2052.DAT,0x47FA0,14,"국왕: 직접 보여 주겠다고!"
22/S2053.DAT,0x478CE,25,"국왕: 마물들을 훌륭히 물리쳐 주었구나."
22/S2053.DAT,0x47928,19,"아크: 이제 저희의 힘을 믿어 주시겠습니까?"
22/S2053.DAT,0x4797A,14,"안델: 믿어 주겠냐고!?"
22/S2053.DAT,0x479BA,32,"안델: 네가 지금 누구에게 그런 말투를 쓰는지 아느냐!"
22/S2053.DAT,0x47A1E,15,"국왕: 그만하게, 안델!"
22/S2053.DAT,0x47A60,40,"국왕: 괜찮지 않은가. 틀림없이 이들의 힘으로 우리가 구원받았으니."
22/S2053.DAT,0x47AC0,22,"국왕: 쓸데없는 의심을 해서 미안하구나."
22/S2053.DAT,0x47B0E,57,"국왕: 그러면 아까 말하려던 성궤를 네가 찾아 주었으면 한다..."
22/S2053.DAT,0x47B80,44,"국왕: 그 전에 이 나라의 전설과 내 형에 관해 이야기해야겠구나."
22/S2057.DAT,0x478F0,17,"국왕: 오대 정령의 돌이라..."
22/S2057.DAT,0x4793C,26,"아크: 아마 세계 곳곳에 흩어져 있을 겁니다."
22/S2057.DAT,0x4798E,33,"국왕: 좋다. 앞으로 내 비행선을 자유롭게 사용하거라."
22/S2057.DAT,0x479E2,22,"국왕: 그리고 이것도 가져가거라."
22/S2057.DAT,0x47A30,18,"황금사자북을 손에 넣었다."
22/S2057.DAT,0x47A7C,8,"아크: 이 북은 무엇입니까?"
22/S2057.DAT,0x47ABC,44,"국왕: 성에 전해지는 신비한 힘을 지닌 북이다. 언젠가 도움이 될 게다."
22/S2057.DAT,0x47B28,14,"아크: 가, 감사합니다."
22/S2057.DAT,0x47B6E,26,"국왕: 한시라도 빨리 다섯 돌을 모아 돌아오너라."
22/S2057.DAT,0x47BC2,3,"아크: 예."
