syllable,occurrences,distinct words,files,words
빛,16,3,8,빛의(14) 햇빛도(1) 빛나고(1)
클,17,4,9,서클에(7) 서클에서만(6) 클라프(3) 서클에서(1)
욕,17,9,13,의욕이(5) 욕망을(2) 욕망에(2) 욕망이(2) 욕망은(2) 욕망대로(1)
겐,18,2,12,고겐(17) 고겐도(1)
료,19,7,12,동료가(13) 동료(1) 동료나(1) 동료들을(1) 동료라고(1) 동료에게(1)
개,21,7,12,개라고(6) 개방하고(5) 개조(3) 개(2) 개를(2) 개의(2)
표,24,2,3,목표로(23) 표하겠다(1)
캬,25,1,5,캬캬캬캬캬(5)
석,27,20,19,녀석은(3) 녀석도(2) 녀석(2) 녀석이(2) 녀석들은(2) 동력석은(2)
베,59,8,20,베미의(50) 베어(2) 에릴베를(2) 에릴베는(1) 베미가(1) 베미를(1)
