file,offset,slot,bytes,tokens,hangul_ratio,known,decoded
1/S1013.DAT,0x47B8E,87,55,45,62,1,아크 데몬: 네놈을 내 손으로 죽여야만 삼천 년의 저주에서 ·어날 수 있다.   
1/S1013.DAT,0x47BEE,87,3,2,0,0,··
1/S1013.DAT,0x47BF8,87,8,7,57,1,아크 데몬: 
1/S1013.DAT,0x47C00,88,26,20,75,0,성궤는 사르바시오 폭포에 놓여 있다.
1/S1013.DAT,0x47C42,88,3,3,0,0,·!·
1/S1013.DAT,0x47C4C,88,28,24,50,1,아크 데몬: 그곳에서 결·을 내자.     
1/S1013.DAT,0x47C8E,89,3,2,0,0,··
1/S1013.DAT,0x47C9C,89,3,2,0,0,··
1/S1013.DAT,0x47CAA,89,3,2,0,0,··
1/S1013.DAT,0x47CB8,89,3,3,0,0,···
1/S1013.DAT,0x47CC6,89,3,3,0,0,···
1/S1013.DAT,0x47CE6,89,5,4,25,0,량··(
1/S1013.DAT,0x47CEF,89,4,3,0,0,··(
1/S1013.DAT,0x47CF7,89,2,2,0,0,··
1/S1013.DAT,0x47CFE,89,2,2,50,0,량·
1/S1013.DAT,0x47D00,90,3,2,0,0,··
1/S1013.DAT,0x47D0A,90,5,4,0,0,····
1/S1013.DAT,0x47D39,90,4,4,0,0,····
1/S1013.DAT,0x47D50,90,3,3,0,0,7··
1/S1013.DAT,0x47D6D,90,2,2,0,0,··
1/S1013.DAT,0x47D79,90,2,2,0,0,··
1/S1013.DAT,0x47D85,91,2,2,0,0,··
1/S1013.DAT,0x47D91,91,2,2,0,0,··
1/S1013.DAT,0x47D9D,91,2,2,0,0,··
1/S1013.DAT,0x47DA9,91,2,2,0,0,··
1/S1013.DAT,0x47DB5,91,2,2,0,0,··
1/S1013.DAT,0x47DC1,91,2,2,0,0,··
1/S1013.DAT,0x47DCD,91,2,2,0,0,··
1/S1013.DAT,0x47DD9,91,2,2,0,0,··
1/S1013.DAT,0x47DEF,91,2,2,0,0,·7
1/S1013.DAT,0x47E0F,92,2,2,0,0,·4
1/S1013.DAT,0x47E1B,92,2,2,0,0,·4
1/S1013.DAT,0x497FD,143,3,3,33,0,만0·
1/S1013.DAT,0x49800,144,5,3,33,0,리··
1/S1013.DAT,0x49806,144,6,6,50,0,분거·버··
1/S1013.DAT,0x49812,144,2,2,100,0,분가
1/S1013.DAT,0x4981A,144,3,2,0,0,·7
1/S1013.DAT,0x4981E,144,3,3,33,0,리··
1/S1013.DAT,0x49828,144,8,8,12,0,1··?·자 ·
1/S1013.DAT,0x49831,144,3,3,33,0,버··
1/S1013.DAT,0x49838,144,9,8,25,0,·0·는자0··
1/S1013.DAT,0x49844,144,4,4,50,0,조자0·
1/S1013.DAT,0x4984C,144,4,4,0,0,"·0,·"
1/S1013.DAT,0x4985C,144,2,2,0,0,··
1/S1013.DAT,0x49874,144,4,4,0,0,"·2,·"
1/S1013.DAT,0x49884,145,2,2,0,0,··
1/S1013.DAT,0x4989C,145,4,4,0,0,"·4,·"
1/S1013.DAT,0x498C4,145,4,4,0,0,"·6,·"
1/S1013.DAT,0x498D4,145,2,2,0,0,·!
1/S1013.DAT,0x498EC,145,16,16,37,0,·우0·해우0· 우0·겠우0·
1/S1013.DAT,0x49905,146,15,12,0,0,"······(,··0·"
1/S1013.DAT,0x4991E,146,2,2,0,0,··
1/S1013.DAT,0x49930,146,16,13,0,0,"·······(,··0·"
1/S1013.DAT,0x4994A,146,2,2,0,0,··
1/S1013.DAT,0x4995C,146,17,14,0,0,"·······(,··0··"
1/S1013.DAT,0x49984,147,8,8,25,0,·자0··자0·
1/S1013.DAT,0x4998D,147,3,3,33,0,자0·
1/S1013.DAT,0x499A4,147,8,8,37,0,내자0· 자0·
1/S1021.DAT,0x45280,5,12,7,28,0,루··: 로!
1/S1021.DAT,0x45480,9,43,25,28,0,루··: 류처럼 · ··든 꼭 ···둔 ··.
1/S1021.DAT,0x45500,10,7,4,75,0,알았루.
1/S1021.DAT,0x45680,13,20,13,15,0,"··, 걱잘·· ·..."
1/S1021.DAT,0x45780,15,23,15,73,0,카이저 ·로브를 받았습니다.
1/S1021.DAT,0x45800,16,23,13,30,0,··· ·써 받았언··.
1/S1021.DAT,0x45880,17,23,13,38,0,건· ··써 받았언··.
1/S1021.DAT,0x45900,18,18,10,40,0,··단 받았언··.
1/S1021.DAT,0x45A80,21,23,14,35,0,·슈쇠· 잠겨 괜··...
1/S1021.DAT,0x45B00,22,8,4,0,0,····
1/S1021.DAT,0x45B80,23,42,24,29,0,"··, ·· 망번 ··처럼 눈뭐·· 람··?"
1/S1021.DAT,0x45E80,29,37,23,26,0,··... · 눈씩· 직· 확··· 싶루.
1/S1021.DAT,0x46080,33,35,21,33,0,루··: 족뭐... 잘용 ·송· ·뀌?
1/S1021.DAT,0x46200,36,40,24,16,0,로혜·: ····. ··· ·· 로·형...
1/S1021.DAT,0x46400,40,37,21,28,0,로혜·: ···던 투슈· ··· ·뀌.
1/S1021.DAT,0x46900,50,52,43,67,0,오늘 밤 산에 가면 아버지가 우리를 두고 사라진 이유를 알 수 있을 것 같아.
1/S1021.DAT,0x46980,51,46,38,68,0,말을 걸거나 물건을 찾을 때는 가까이 다가가 결정 버·을 누르면 돼.
1/S1021.DAT,0x46A00,52,46,38,68,0,말을 걸거나 물면건을 찾을 때는 가까이 다가가 결정 버·을 누르 돼.
1/S1021.DAT,0x46A80,53,46,38,68,0,아버지가 죽었다니 거짓말이야! 그렇게 강한 분이 ·게 죽을 리 없어.
1/S1021.DAT,0x46B00,54,39,35,62,0,어머니: 그런 곳에 아크를 보내다니... 그만하세요! 전부 다!
1/S1021.DAT,0x46B80,55,45,36,61,0,어머니: · 당신이어야 해요...? 나와 아크는 어떻게 하라고요?
1/S1021.DAT,0x46C00,56,69,54,64,0,"아버지: 십년· 오늘, 봉인이 풀리고 산이 다시 날· 거요. 그때 아크는 산으로 향하게 될것이오."
1/S1021.DAT,0x46C80,57,35,26,73,0,아이템이 있습니다. 마법의 카트를 발·했습니다.
1/S1021.DAT,0x46D00,58,27,20,70,0,아버지의 유·인 갑옷과 검을 찾았다.
1/S1021.DAT,0x46D80,59,46,35,60,0,어머니: 그이가 떠난 지 십 년... 결국 그이 말대로 됐구나.
1/S1021.DAT,0x46E00,60,27,24,66,0,아버지의 유·은 안쪽 방 상자에 있을 거야.
1/S1021.DAT,0x46E80,61,19,17,70,0,엄마에게 한마디 하고 가야 해.
1/S1021.DAT,0x46F00,62,27,21,71,0,아이템이 있습니다. 돌을 발·했습니다.
1/S1021.DAT,0x46F80,63,47,35,65,0,"아버지: 이해해 줘요, 포르타. 이 세계의 운명이 걸린 일이오."
1/S1021.DAT,0x47000,64,38,29,55,0,어머니: ·어요! 난 평범한 행·만 있으면 돼요...
1/S1021.DAT,0x47080,65,29,22,72,0,아이템이 있습니다. 약초를 발·했습니다.
1/S1021.DAT,0x47100,66,54,32,28,0,로혜·: 포런·... ··든· ·· 로· 로·단 ·탁··!
1/S1021.DAT,0x47180,67,22,18,66,0,여기 있던 돌은 이미 주·습니다.
1/S1021.DAT,0x47200,68,50,29,31,0,루··: 로혜·· 표옷· 검저 ·· · ··· 괜루.
1/S1021.DAT,0x47280,69,24,19,68,0,이번만·은 내 힘으로 해내고 싶어.
1/S1021.DAT,0x47300,70,21,14,64,0,어머니: 산이 날·다고요?
1/S1021.DAT,0x47380,71,38,23,30,0,"루··: 뀌·로, 로·단 ·· ·피뀌..."
1/S1021.DAT,0x47400,72,20,16,62,0,여기 있던 것은 이미 주·다.
1/S1021.DAT,0x47480,73,32,19,36,0,·키진 ·써 ·송. ·럼 ·져년·.
1/S1021.DAT,0x47500,74,48,29,34,0,로혜·· 표옷· 검· 족· 괜· 늘 알· 괜··...
1/S1021.DAT,0x47580,75,29,16,37,0,로혜·· ··써 ···송명루.
1/S1021.DAT,0x47600,76,42,25,40,0,루··: 렌·· 쯤준 활둔· 투슈· 괜루...
1/S1021.DAT,0x47680,77,43,25,36,0,·떻 던·형 |·· 적저 ···같 · 괜명루.
1/S1021.DAT,0x47700,78,48,28,32,0,루··: ·떻 ·져·번 ·· 생저 ·저 ·써 ·프.
1/S1021.DAT,0x47824,80,3,3,33,0,입··
1/S1021.DAT,0x4785C,80,26,22,18,1,마을· 가내                
1/S1021.DAT,0x478AC,81,18,14,28,1,마을· 가내        
1/S1021.DAT,0x47914,82,23,19,21,1,마을· 가내             
1/S1021.DAT,0x47962,82,19,15,26,1,마을· 가내         
1/S1021.DAT,0x479AA,83,37,29,58,1,이걸 던지면 |만한 적은 쓰러뜨릴 수 있겠어.    
1/S1021.DAT,0x47A06,84,3,2,0,0,··
1/S1021.DAT,0x47A0C,84,3,3,33,0,으··
1/S1021.DAT,0x47A1C,84,3,3,0,0,···
1/S1021.DAT,0x47A26,84,11,9,44,1,어머니: 아!  
1/S1021.DAT,0x47A58,84,3,3,33,0,정··
1/S1021.DAT,0x47A78,84,3,3,0,0,···
1/S1021.DAT,0x47A82,85,30,26,15,1,마을· 가내                    
1/S1021.DAT,0x47ABC,85,3,3,33,0,정··
1/S1021.DAT,0x47ACC,85,3,3,33,0,정··
1/S1021.DAT,0x47AD6,85,42,34,55,1,어머니: 그걸 가져가도 별로 좋은 일은 없을 텐데.      
1/S1021.DAT,0x47B28,86,3,3,33,0,터··
1/S1021.DAT,0x47B34,86,24,19,63,1,그렇진 않을 거야. 그럼 가져·게.
1/S1021.DAT,0x47B74,86,3,3,33,0,병··
1/S1021.DAT,0x47B7E,86,2,2,50,1,어·
1/S1021.DAT,0x47B80,87,36,28,57,0,를니: 모처럼 준 거니까 꼭 장비해서 쓰렴.    
1/S1021.DAT,0x47BCC,87,3,2,0,0,··
1/S1021.DAT,0x47BD8,87,6,4,75,1,알았어.
1/S1021.DAT,0x47C2E,88,3,3,0,0,·!·
1/S1021.DAT,0x47C38,88,20,16,25,1,마을· 가내          
1/S1021.DAT,0x47C72,88,3,2,0,0,··
1/S1021.DAT,0x47C76,88,3,2,0,0,··
1/S1021.DAT,0x47C7C,88,3,2,0,0,··
1/S1021.DAT,0x47C8C,89,17,17,35,0,어!있!있!있!있!·!·!시!·
1/S1021.DAT,0x47CA4,89,3,3,33,0,시!·
1/S1021.DAT,0x47CAE,89,3,3,33,0,시!·
1/S1021.DAT,0x47CB8,89,3,3,33,0,시!·
1/S1021.DAT,0x47CC0,89,7,7,42,0,번!말!것··
1/S1021.DAT,0x47CD4,89,3,3,33,0,번!·
1/S1021.DAT,0x47CDE,89,34,26,69,1,어머니: 아버지의 갑옷과 검은 안쪽 방 상자에 
1/S1021.DAT,0x47D00,90,4,4,50,0,있어. 
1/S1021.DAT,0x47D22,90,3,3,0,0,·!·
1/S1021.DAT,0x47D3A,90,3,3,33,0,무!·
1/S1021.DAT,0x47D46,90,18,16,43,1,"엄마, 걱정하지 마...   "
1/S1021.DAT,0x47D80,91,3,3,33,0,때!·
1/S1021.DAT,0x47D8A,91,36,31,38,1,어머니: 아크... 이것도 가져가렴.           
1/S1021.DAT,0x47DE4,91,21,17,23,1,마을· 가내           
1/S1021.DAT,0x47E26,92,3,3,0,0,···
1/S1021.DAT,0x47E30,92,19,15,66,1,부활의 약을 받았습니다.  
1/S1021.DAT,0x47E70,92,3,3,0,0,···
1/S1021.DAT,0x47E7A,92,6,4,50,1,회· 과
1/S1021.DAT,0x47E80,93,13,11,63,0,일을 받았습니다.  
1/S1021.DAT,0x47EBE,93,3,3,0,0,···
1/S1021.DAT,0x47EC8,93,14,11,72,1,성수를 받았습니다. 
1/S1021.DAT,0x47EF4,93,3,3,0,0,·!·
1/S1021.DAT,0x47F04,94,3,3,33,0,것··
1/S1021.DAT,0x47F0E,94,21,19,26,1,어머니: 아크...         
1/S1021.DAT,0x47F42,94,3,3,0,0,·!·
1/S1021.DAT,0x47F86,95,3,3,33,0,음··
1/S1021.DAT,0x47F8A,95,3,3,33,0,유··
1/S1021.DAT,0x47FAD,95,2,2,0,0,·!
1/S1021.DAT,0x47FB9,95,4,4,25,0,·량·!
1/S1021.DAT,0x47FC9,95,2,2,0,0,·!
1/S1021.DAT,0x47FD7,95,2,2,0,0,·!
1/S1021.DAT,0x47FE5,95,2,2,0,0,·!
1/S1021.DAT,0x47FF3,95,2,2,0,0,·!
1/S1021.DAT,0x48001,96,2,2,0,0,·!
1/S1021.DAT,0x4800F,96,2,2,0,0,1!
1/S1021.DAT,0x4801D,96,2,2,0,0,1!
1/S1021.DAT,0x48026,96,3,2,0,0,··
1/S1021.DAT,0x4802C,96,3,2,0,0,··
1/S1021.DAT,0x48032,96,3,2,0,0,··
1/S1021.DAT,0x48036,96,3,2,0,0,··
1/S1021.DAT,0x4803C,96,3,2,0,0,··
1/S1021.DAT,0x48055,96,2,2,0,0,!·
1/S1021.DAT,0x4806E,96,3,3,0,0,···
1/S1021.DAT,0x4807A,96,6,6,66,1,아버지의 ·
1/S1021.DAT,0x48080,97,34,28,50,0,1옷과 검이 여기 있는 건 알고 있지만...    
1/S1021.DAT,0x480CA,97,3,3,33,0,도··
1/S1021.DAT,0x480D6,97,18,15,60,1,자물쇠가 잠겨 있다니... 
1/S1021.DAT,0x48124,98,3,3,0,0,···
1/S1021.DAT,0x4813C,98,3,3,33,0,십··
1/S1021.DAT,0x48148,98,5,3,0,1,   
1/S1021.DAT,0x4818A,99,3,3,33,0,네··
1/S1021.DAT,0x48196,99,38,28,60,1,"엄마, 그날 밤도 오늘처럼 눈보라가 심했지?    "
1/S1021.DAT,0x481E4,99,3,2,0,0,··
1/S1021.DAT,0x481F0,99,16,12,50,1,마을· 제모가내    
1/S1021.DAT,0x48200,100,29,29,0,0,                             
1/S1021.DAT,0x48246,100,3,3,0,0,···
1/S1021.DAT,0x48250,100,35,31,38,1,어머니: 네 아버지는... 죽었단다.           
1/S1021.DAT,0x4829C,101,3,3,0,0,···
1/S1021.DAT,0x482A8,101,45,41,9,1,우자 가내                                    
1/S1021.DAT,0x482FE,101,2,2,50,0,다·
1/S1021.DAT,0x48308,102,35,29,55,1,어머니: 산에는 분명 무서운 괴물이 있어...    
1/S1021.DAT,0x48354,102,3,3,33,0,러··
1/S1021.DAT,0x48360,102,32,27,70,1,괴물이 아버지를 죽였다면 내가 원수를 갚겠어!  
1/S1021.DAT,0x48380,103,18,18,0,0,                  
1/S1021.DAT,0x483BA,103,3,3,0,0,···
1/S1021.DAT,0x483C6,103,32,25,52,1,엄마... 내 눈으로 직· 확인하고 싶어.  
1/S1021.DAT,0x48416,104,3,3,0,0,···
1/S1021.DAT,0x48420,104,17,15,33,1,어머니: 아크...     
1/S1021.DAT,0x48458,104,3,3,0,0,···
1/S1021.DAT,0x4845E,104,3,3,0,0, ··
1/S1021.DAT,0x48472,104,3,3,0,0,···
1/S1021.DAT,0x4848A,105,3,3,0,0,···
1/S1021.DAT,0x48496,105,9,8,25,1,엄마...   
1/S1021.DAT,0x484C6,105,3,3,0,0,···
1/S1021.DAT,0x484DE,105,3,3,0,0,···
1/S1021.DAT,0x48508,106,3,3,0,0,···
1/S1021.DAT,0x48512,106,42,38,10,1,마을· 가내                                
1/S1021.DAT,0x48574,106,3,2,0,0,··
1/S1021.DAT,0x4857A,106,3,2,0,0,··
1/S1021.DAT,0x48582,107,2,2,0,0,··
1/S1021.DAT,0x48585,107,2,2,0,0,7!
1/S1021.DAT,0x48593,107,2,2,0,0,·!
1/S1021.DAT,0x4859E,107,5,5,0,0,···6!
1/S1021.DAT,0x485AA,107,3,2,0,0,··
1/S1021.DAT,0x485B0,107,3,3,0,0,···
1/S1021.DAT,0x485B6,107,3,3,0,0,···
1/S1021.DAT,0x485C8,107,3,3,0,0,···
1/S1021.DAT,0x485E8,107,24,21,57,1,어머니: 여보... 정말 가야만 해요?
1/S1021.DAT,0x48600,108,9,9,0,0,         
1/S1021.DAT,0x48632,108,3,3,0,0,1··
1/S1021.DAT,0x4863C,108,43,39,10,1,마을· 가내                                 
1/S1021.DAT,0x48690,109,3,3,0,0,···
1/S1021.DAT,0x4869A,109,44,40,10,1,마을· 가내                                  
1/S1021.DAT,0x486EE,109,3,3,0,0,···
1/S1021.DAT,0x486F8,109,8,6,66,1,아버지: 미
1/S1021.DAT,0x48700,110,28,28,39,0,안하오. 하지만 내가 아니면...          
1/S1021.DAT,0x48744,110,3,3,33,0,군··
1/S1021.DAT,0x4874E,110,34,30,13,1,마을· 가내                        
1/S1021.DAT,0x48798,111,3,3,33,0,할··
1/S1021.DAT,0x487A2,111,67,63,6,1,마을· 가내                                                         
1/S1021.DAT,0x4880F,112,2,2,0,0,··
1/S1021.DAT,0x48818,112,16,12,33,1,마을· 가내      
1/S1021.DAT,0x48850,112,3,3,0,0,···
1/S1021.DAT,0x4885A,112,36,28,53,1,아버지: 봉인됐던 괴물이 나타날 거요.       
1/S1021.DAT,0x488A6,113,3,3,0,0,···
1/S1021.DAT,0x488B0,113,38,34,11,1,마을· 가내                            
1/S1021.DAT,0x488FE,113,2,2,50,0,다·
1/S1021.DAT,0x48908,114,41,35,60,1,아버지: 포르타... 그날까지 우리 아이 아크를 부탁하오!   
1/S1021.DAT,0x48950,114,3,3,0,0,···
1/S1021.DAT,0x4895E,114,3,3,0,0,···
1/S1021.DAT,0x4897E,114,2,2,50,0,되·
1/S1021.DAT,0x48982,115,3,3,0,0,···
1/S1021.DAT,0x489A0,115,3,3,33,0,수··
1/S1021.DAT,0x489AB,115,2,2,0,0,7!
1/S1021.DAT,0x489B9,115,2,2,0,0,7!
1/S1021.DAT,0x489C7,115,2,2,0,0,7!
1/S1021.DAT,0x489D0,115,3,2,0,0,··
1/S1021.DAT,0x489D6,115,3,2,0,0,··
1/S1021.DAT,0x489DA,115,3,2,0,0,··
1/S1021.DAT,0x489E0,115,3,2,0,0,··
1/S1021.DAT,0x489E4,115,3,2,0,0,··
1/S1021.DAT,0x489EA,115,3,2,0,0,·.
1/S1021.DAT,0x489F6,115,3,2,0,0,··
1/S1021.DAT,0x489FC,115,3,3,0,0,·!(
1/S1021.DAT,0x48A20,116,5,5,20,0,··않(·
1/S1021.DAT,0x48A2A,116,3,2,0,0,··
1/S1021.DAT,0x48A42,116,3,3,0,0,·(·
1/S1021.DAT,0x48A4E,116,21,19,63,1,아버지의 유·을 장비해야겠어.   
1/S1021.DAT,0x48A82,117,3,2,0,0,··
1/S1021.DAT,0x48AA2,117,3,3,0,0,·(·
1/S1021.DAT,0x48ABA,117,3,3,33,0,은(·
1/S1021.DAT,0x48AC6,117,26,22,18,1,마을· 가내                
1/S1021.DAT,0x48B08,118,3,3,0,0,·(·
1/S1021.DAT,0x48B14,118,41,37,10,1,우자 가내                                
1/S1021.DAT,0x48B74,118,3,3,0,0,((·
1/S1021.DAT,0x48B96,119,3,3,33,0,장(·
1/S1021.DAT,0x48B9A,119,3,2,0,0,··
1/S1021.DAT,0x48BEE,119,5,5,0,0,·····
1/S1021.DAT,0x48BF8,119,3,2,0,0,··
1/S1021.DAT,0x48C18,120,3,3,0,0,···
1/S1021.DAT,0x48C28,120,3,3,0,0,",··"
1/S1021.DAT,0x48C34,120,22,18,27,1,만초까해다             
1/S1021.DAT,0x48C6C,120,3,3,33,0,분··
