행번호,파일,줄임,전,후
2510,C2/SC0B6.DAT,1,20번째 승리를 목표로 힘내 주십시오.,20번째 승리를 목표로힘내 주십시오.
2512,C2/SC0B6.DAT,1,20번째 승리를 목표로 힘내 주십시오.,20번째 승리를 목표로힘내 주십시오.
2516,C2/SC0B6.DAT,1,힘의 열매를 손에 넣었다.,힘의 열매를 손에넣었다.
2517,C2/SC0B6.DAT,1,40번째 승리를 목표로 힘내 주십시오.,40번째 승리를 목표로힘내 주십시오.
2519,C2/SC0B6.DAT,1,40번째 승리를 목표로 힘내 주십시오.,40번째 승리를 목표로힘내 주십시오.
2521,C2/SC0B6.DAT,1,40번째 승리를 목표로 힘내 주십시오.,40번째 승리를 목표로힘내 주십시오.
2522,C2/SC0B6.DAT,1,마력의 샘을 손에 넣었다.,마력의 샘을 손에넣었다.
2523,C2/SC0B6.DAT,1,40번째 승리를 목표로 힘내 주십시오.,40번째 승리를 목표로힘내 주십시오.
2527,C2/SC0B6.DAT,1,얼음의 수호를 손에 넣었다.,얼음의 수호를 손에넣었다.
2528,C2/SC0B6.DAT,1,80번째 승리를 목표로 힘내 주십시오.,80번째 승리를 목표로힘내 주십시오.
2530,C2/SC0B6.DAT,1,80번째 승리를 목표로 힘내 주십시오.,80번째 승리를 목표로힘내 주십시오.
2531,C2/SC0B6.DAT,1,마법의 카트를 손에 넣었다.,마법의 카트를 손에넣었다.
2532,C2/SC0B6.DAT,1,80번째 승리를 목표로 힘내 주십시오.,80번째 승리를 목표로힘내 주십시오.
2534,C2/SC0B6.DAT,1,80번째 승리를 목표로 힘내 주십시오.,80번째 승리를 목표로힘내 주십시오.
2539,C2/SC0B6.DAT,1,120번째 승리를 목표로 힘내 주십시오.,120번째 승리를 목표로힘내 주십시오.
2541,C2/SC0B6.DAT,1,120번째 승리를 목표로 힘내 주십시오.,120번째 승리를 목표로힘내 주십시오.
2542,C2/SC0B6.DAT,1,거울을 손에 넣었다.,거울을 손에넣었다.
2543,C2/SC0B6.DAT,1,120번째 승리를 목표로 힘내 주십시오.,120번째 승리를 목표로힘내 주십시오.
2545,C2/SC0B6.DAT,1,120번째 승리를 목표로 힘내 주십시오.,120번째 승리를 목표로힘내 주십시오.
2549,C2/SC0B6.DAT,1,디르의 어금니를 손에 넣었다.,디르의 어금니를 손에넣었다.
2550,C2/SC0B6.DAT,1,160번째 승리를 목표로 힘내 주십시오.,160번째 승리를 목표로힘내 주십시오.
2555,C2/SC0B6.DAT,1,200번째 승리를 목표로 힘내 주십시오.,200번째 승리를 목표로힘내 주십시오.
2557,C2/SC0B6.DAT,1,200번째 승리를 목표로 힘내 주십시오.,200번째 승리를 목표로힘내 주십시오.
2559,C2/SC0B6.DAT,1,200번째 승리를 목표로 힘내 주십시오.,200번째 승리를 목표로힘내 주십시오.
2561,C2/SC0B6.DAT,1,200번째 승리를 목표로 힘내 주십시오.,200번째 승리를 목표로힘내 주십시오.
2566,C2/SC0B6.DAT,1,1000번째 승리를 목표로 힘내 주십시오.,1000번째 승리를 목표로힘내 주십시오.
2570,C2/SC0B6.DAT,1,넘치는 과실을 손에 넣었다.,넘치는 과실을손에 넣었다.
2574,C2/SC0B6.DAT,1,힘의 열매를 손에 넣었다.,힘의열매를 손에 넣었다.
2577,C2/SC0B6.DAT,1,마력의 샘을 손에 넣었다.,마력의 샘을손에 넣었다.
2578,C2/SC0B6.DAT,1,얼음의 수호를 손에 넣었다.,얼음의 수호를손에 넣었다.
2580,C2/SC0B6.DAT,1,마법의 카트를 손에 넣었다.,마법의 카트를손에 넣었다.
2584,C2/SC0B6.DAT,1,거울을 손에 넣었다.,거울을손에 넣었다.
2479,C2/SC0B6.DAT,2,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.
2482,C2/SC0B6.DAT,2,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.
2483,C2/SC0B6.DAT,2,20회까지 앞으로  회입니다. 힘내 주십시오.,20회까지 앞으로 회입니다.힘내 주십시오.
2485,C2/SC0B6.DAT,2,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.
2486,C2/SC0B6.DAT,2,40회까지 앞으로  회입니다. 힘내 주십시오.,40회까지 앞으로 회입니다.힘내 주십시오.
2488,C2/SC0B6.DAT,2,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.
2489,C2/SC0B6.DAT,2,80회까지 앞으로  회입니다. 힘내 주십시오.,80회까지 앞으로 회입니다.힘내 주십시오.
2491,C2/SC0B6.DAT,2,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.
2492,C2/SC0B6.DAT,2,120회까지 앞으로  회입니다. 힘내 주십시오.,120회까지 앞으로 회입니다.힘내 주십시오.
2494,C2/SC0B6.DAT,2,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.
2495,C2/SC0B6.DAT,2,160회까지 앞으로  회입니다. 힘내 주십시오.,160회까지 앞으로 회입니다.힘내 주십시오.
2497,C2/SC0B6.DAT,2,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.
2498,C2/SC0B6.DAT,2,200회까지 앞으로  회입니다. 힘내 주십시오.,200회까지 앞으로 회입니다.힘내 주십시오.
2500,C2/SC0B6.DAT,2,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.
2538,C2/SC0B6.DAT,2,슬리플리스 카트를 손에 넣었다.,슬리플리스 카트를손에넣었다.
2544,C2/SC0B6.DAT,2,선글라스를 손에 넣었다.,선글라스를손에넣었다.
2554,C2/SC0B6.DAT,2,파워 리스트를 손에 넣었다.,파워리스트를 손에넣었다.
2582,C2/SC0B6.DAT,2,슬리플리스 카트를 손에 넣었다.,슬리플리스 카트를손에넣었다.
2585,C2/SC0B6.DAT,2,선글라스를 손에 넣었다.,선글라스를손에넣었다.
2586,C2/SC0B6.DAT,2,파워 리스트를 손에 넣었다.,파워리스트를 손에넣었다.
2661,D/SD031.DAT,1,내 이름은 고겐. 너희 바람대로 3천 년의 시간을 넘어 다시 나타났지.,내이름은 고겐. 너희 바람대로 3천 년의 시간을 넘어 다시 나타났지.
2671,D/SD031.DAT,1,그렇지. 이 세계를 만들고 움직이는 모든 정령들의 대표,그렇지. 이세계를 만들고 움직이는 모든 정령들의 대표
2675,D/SD031.DAT,1,그럼 어떻게 그 정령들을 찾아내지?,그럼 어떻게그 정령들을 찾아내지?
2688,D/SD031.DAT,1,"그렇다, 그러할 터인데...?","그렇다,그러할 터인데...?"
2691,D/SD031.DAT,1,오랜만에 크게 활약할 수 있겠구나.,오랜만에 크게 활약할수 있겠구나.
2693,D/SD031.DAT,1,로맨싱 스톤을 가지고 있었다!,로맨싱스톤을 가지고 있었다!
2695,D/SD031.DAT,1,굉장한 아이템을 손에 넣었다!,굉장한 아이템을손에 넣었다!
2659,D/SD031.DAT,2,아까 그 몬스터에게 붙잡혀 있던 할아버지다.,아까그 몬스터에게 붙잡혀있던 할아버지다.
2681,D/SD031.DAT,2,비행선이 필요하겠군.,비행선이필요하겠군
2686,D/SD031.DAT,2,고대의 대마도사 고겐 님이 힘이 되어 주겠다고 하는데.,고대의 대마도사 고겐님이 힘이되어 주겠다고 하는데.
2696,D/SD031.DAT,2,촌가라의 굉장한 아이템을 빼앗았다!,촌가라의굉장한 아이템을빼앗았다!
2701,D/SD031.DAT,2,돌을 손에 넣었다!,돌을손에넣었다!
2702,D/SD031.DAT,2,돌을 손에 넣었다!,돌을손에넣었다!
