char,code_hex,physical_index,row,column,plane,source_x,source_y
전,E1 FE,1493,17,16,1,192,204
절,E2 01,1495,17,16,3,192,204
점,E2 02,1496,17,17,0,204,204
정,E2 03,1497,17,17,1,204,204
제,E2 04,1498,17,17,2,204,204
져,E2 05,1499,17,17,3,204,204
조,E2 06,1500,17,18,0,216,204
족,E2 07,1501,17,18,1,216,204
좀,E2 08,1502,17,18,2,216,204
좋,E2 09,1503,17,18,3,216,204
주,E2 0A,1504,17,19,0,228,204
죽,E2 0B,1505,17,19,1,228,204
줄,E2 0C,1506,17,19,2,228,204
중,E2 0D,1507,17,19,3,228,204
증,E2 0E,1508,17,20,0,240,204
지,E2 0F,1509,17,20,1,240,204
직,E2 10,1510,17,20,2,240,204
진,E2 11,1511,17,20,3,240,204
질,E2 46,1564,18,13,0,156,216
집,E2 47,1565,18,13,1,156,216
찌,E2 48,1566,18,13,2,156,216
차,E2 49,1567,18,13,3,156,216
천,E2 4A,1568,18,14,0,168,216
첩,E2 4B,1569,18,14,1,168,216
체,E2 4C,1570,18,14,2,168,216
초,E2 4D,1571,18,14,3,168,216
촌,E2 4E,1572,18,15,0,180,216
최,E2 4F,1573,18,15,1,180,216
치,E2 50,1574,18,15,2,180,216
침,E2 51,1575,18,15,3,180,216
카,E2 52,1576,18,16,0,192,216
케,E2 53,1577,18,16,1,192,216
코,E2 54,1578,18,16,2,192,216
쿠,E2 55,1579,18,16,3,192,216
크,E2 56,1580,18,17,0,204,216
큰,E2 57,1581,18,17,1,204,216
키,E2 58,1582,18,17,2,204,216
킬,E2 59,1583,18,17,3,204,216
타,E2 5A,1584,18,18,0,216,216
탑,E2 5B,1585,18,18,1,216,216
태,E2 5C,1586,18,18,2,216,216
터,E2 5D,1587,18,18,3,216,216
토,E2 5E,1588,18,19,0,228,216
투,E2 5F,1589,18,19,1,228,216
트,E2 60,1590,18,19,2,228,216
틀,E2 61,1591,18,19,3,228,216
파,E2 62,1592,18,20,0,240,216
판,E2 63,1593,18,20,1,240,216
팔,E2 64,1594,18,20,2,240,216
퍼,E2 65,1595,18,20,3,240,216
편,E2 86,1628,19,8,0,96,228
평,E2 87,1629,19,8,1,96,228
포,E2 88,1630,19,8,2,96,228
폭,E2 89,1631,19,8,3,96,228
풀,E2 8A,1632,19,9,0,108,228
풍,E2 8B,1633,19,9,1,108,228
프,E2 8C,1634,19,9,2,108,228
플,E2 8D,1635,19,9,3,108,228
피,E2 8E,1636,19,10,0,120,228
하,E2 8F,1637,19,10,1,120,228
한,E2 90,1638,19,10,2,120,228
함,E2 91,1639,19,10,3,120,228
합,E2 92,1640,19,11,0,132,228
항,E2 93,1641,19,11,1,132,228
해,E2 94,1642,19,11,2,132,228
행,E2 95,1643,19,11,3,132,228
향,E2 96,1644,19,12,0,144,228
허,E2 97,1645,19,12,1,144,228
험,E2 98,1646,19,12,2,144,228
헤,E2 99,1647,19,12,3,144,228
화,E2 9A,1648,19,13,0,156,228
확,E2 9B,1649,19,13,1,156,228
활,E2 9C,1650,19,13,2,156,228
황,E2 9D,1651,19,13,3,156,228
회,E2 9E,1652,19,14,0,168,228
후,E2 9F,1653,19,14,1,168,228
힘,E2 A0,1654,19,14,2,168,228
