category,japanese,korean_reference,note,source_page
accessory,ハイパーブーツ,하이퍼 부츠,민첩성 30% 상승,10
accessory,まにあわせのくつ,임시 신발,반격 확률 상승,10
accessory,ブレスレット,브레스레트,받기 레벨 상승,10
accessory,技のブレスレット,기술의 브레스레트,받기 레벨 상승,10
accessory,女神のいのり,여신의 기도,절반의 MP로 능력 사용 가능,10
accessory,パワーリスト,파워 리스트,공격력 상승,10
accessory,ディールの牙,딜의 이빨,반격 대미지 증가,10
accessory,幻獣の牙,환수의 이빨,,10
accessory,しおかぜの調べ,바닷바람의 조사,행동할 때 주위 캐릭터 회복,10
accessory,貝がら,조가비,적이 아이템을 떨어뜨리도록 함,10
accessory,一角獣の角,일각수의 뿔,적 처치 시 아이템 획득률 상승,10
accessory,悲劇のめがね,비극의 안경,,10
accessory,鏡,거울,석화(STONED) 방지,10
accessory,古代のゆびわ,고대의 반지,,10
accessory,幻のゆびわ,환상의 반지,마력 50% 상승,10
accessory,毒よけのゆびわ,마도의 반지,중독(POISONED) 방지,10
accessory,おもちゃのゆびわ,장난감 반지,포코 방향탐지 효과 MAP 전체 확대,10
accessory,幻の盾,환상의 방패,방어력 50% 상승,10
accessory,戦士の守り,전사의 수호,방어력 30% 상승,10
accessory,勇者の盾,용사의 방패,방어력 상승,10
accessory,強力な杖,강력한 지팡이,공격력 70% 상승,10
accessory,じごくのスコープ,지옥의 스코프,심안 상태 방지,10
accessory,王様の盾,국왕의 상,소환수 경험치를 자신의 것으로,10
accessory,たかの象,고귀의 상,SILENCE 방지,10
accessory,まかの象,혼돈의 상,공격을 잘 피하게 됨,10
accessory,たんぽ,단검,공격력 10% 상승,10
accessory,幻の剣,환상의 검,통상공격에 효과,10
accessory,レイラのかみかざり,레이라의 머리 장식,쿠쿠르 사용 시 HP 최대 부활,10
accessory,乱れる宝石,광란의 보석,적의 명중률 저하,10
accessory,アーマーストーン,아머 스톤,방어력 10% 상승,10
accessory,ローシンシングストーン,로엔싱 스톤,4개 모두 장비하면 MP가 닳지 않음,10
accessory,太陽のぼうし,태양의 모자,매 턴마다 HP가 회복됨,10
accessory,おし花の本,압화 책,공격 명중률 증가,10
accessory,音楽集,음악집,마력 30% 상승,10
accessory,ラークの文章,라크의 문장,마비 방지,10
accessory,ゆかりの文章,유카리의 문장,벚꽃폭풍에 마비 능력 추가,10
accessory,フレイの文章,프레이의 문장,특정한 적에게 강해짐,10
accessory,勇者の証,용자의 증표,아크 매 턴마다 MP 회복,10
status,SLEEP,SLEEP,잠들어 움직일 수 없음. 공격받으면 깨어남,4
status,DARKNESS,DARKNESS,공격 명중률 저하,4
status,SILENCE,SILENCE,특수능력 사용 불가,4
status,POISONED,POISONED,공격력·방어력 저하 및 매 턴 HP 감소,4
status,HEMOZEE,HEMOZEE,헤모지 모습으로 변함. 특수능력 사용 불가,4
status,PARALYZED,PARALYZED,마비되어 움직일 수 없음,4
status,STONED,STONED,돌이 되어 버림,4
stat,レベル,레벨,캐릭터의 전반적 강함,3
stat,移動力,이동력,전투 필드에서 한 번에 이동 가능한 거리,3
stat,HP,HP,0이 되면 전투불능,3
stat,MP,MP,특수능력 사용 시 소비,3
stat,攻撃力,공격력,통상공격의 강도,3
stat,魔力,마력,특수능력 효과의 강도,3
stat,防御力,방어력,적의 통상공격을 견디는 힘,3
stat,敏捷性,민첩성,높을수록 차례가 빨리 많이 돌아옴,3
stat,経験値,경험치,쌓이면 레벨이 올라감,3
stat,ジャンプレベル,점프 레벨,장애물을 뛰어넘는 능력,3
stat,投げレベル,던지기 레벨,물건을 던지는 강도,3
stat,反撃レベル,반격 레벨,적의 공격에 반격하는 능력,3
stat,受けレベル,받기 레벨,적이 던진 물건을 받아내는 능력,3
character,アーク,아크,스메리아 변경 토우빌 마을의 15세 소년,2
character,ククル,쿠쿠르,토우빌 정령 산 신관 가문의 장녀. 17세,2
character,チョンガラ,총가라,45세 골동품상,2
character,ポコ,포코,파렌시아 군 소속. 아크와 같은 15세,2
character,トッシュ,토쉬,의적단의 젊은 두목. 28세,2
character,ゴーゲン,고겐,고대 7현자 중 한 명,2
character,イーガ,이가,그레이시스 라마다 사원 사범. 38세 권법가,2
place,スメリア,스메리아,,1
place,ミルマーナ,미르마나,,1
place,アララトス,아라라토스,본문 표기. 지도에는 이타라토스로 보임,1
place,グレイシス,그레이시스,,1
place,ニーデル,니델,,1
place,アリバサ,아리바샤,,1
place,トウビル,토우빌,아크의 고향 마을,2
place,パレンシア,파렌시아,성,4
place,ラマダ,라마다,사원 및 산,9
place,ロマリア,로마리아,,9
