category,index,japanese,korean_display,application_status,encoded_bytes,encoded_hex,pointer_offset,string_offset
equipment_name,23,技のフ<N:リ:12>ス<N:リ:12>ット,기술의 팔찌,guide_term_restored_v42,11,E9 1B EA 54 E9 BD 9C E9 FA E9 DE,0x80500,0x8032A
equipment_name,24,女神のいのり,여신의 기도,guide_term_restored_v42,11,E9 A5 E9 95 E9 BD 9C E9 1B E9 36,0x80504,0x80336
equipment_name,25,パワーリスト,파워 리스트,guide_term_restored_v42,11,E9 F8 E9 B4 9C E9 4F E9 90 E9 F6,0x80508,0x80342
equipment_name,26,デ<N:ｲ:6>ールの<N:牙:4>,데일의 이빨,guide_term_restored_v42,11,E9 34 E9 C0 E9 BD 9C E9 BE E9 82,0x8050C,0x8034E
equipment_name,27,幻獣の<N:牙:4>,환수의 이빨,guide_term_restored_v42,11,EA 90 E9 8D E9 BD 9C E9 BE E9 82,0x80510,0x8035A
equipment_name,28,しおかぜの調ベ,바닷바람의 선율,guide_term_restored_v42,15,E9 6A EA 28 E9 6A E9 40 E9 BD 9C E9 89 E9 B8,0x80514,0x80366
equipment_name,29,<N:貝:2>がら,조개껍데기,guide_term_restored_v42,10,E9 D0 EA 1A EA 21 E9 34 E9 1B,0x80518,0x80376
equipment_name,30,一角獣の角,유니콘의 뿔,guide_term_restored_v42,11,E9 B7 E9 2C EA 79 E9 BD 9C EA 49,0x8051C,0x80381
equipment_name,31,<N:悲:5>劇のめがね,비극의 안경,guide_term_restored_v42,11,E9 80 EA 20 E9 BD 9C E9 9C E9 0D,0x80520,0x8038D
equipment_name,32,鏡,거울,guide_term_restored_v42,4,E9 07 E9 B3,0x80524,0x80399
equipment_name,33,古代の<N:ｴ:24>びわ,고대의 반지,guide_term_restored_v42,11,E9 0F E9 31 E9 BD 9C E9 6B E9 D9,0x80528,0x8039E
equipment_name,34,幻の<N:ｴ:24>びわ,환상의 반지,guide_term_restored_v42,11,EA 90 E9 85 E9 BD 9C E9 6B E9 D9,0x8052C,0x803AA
equipment_name,35,魔導の<N:ｴ:24>びわ,마도의 반지,guide_term_restored_v42,11,E9 52 E9 36 E9 BD 9C E9 6B E9 D9,0x80530,0x803B6
equipment_name,36,おもちゃの<N:ｴ:24>びわ,장난감 반지,guide_term_restored_v42,11,E9 C7 E9 21 E9 04 9C E9 6B E9 D9,0x80534,0x803C2
equipment_name,37,<N:毒:1>よけの<N:ｴ:24>びわ,독막이 반지,guide_term_restored_v42,11,EA 2A E9 53 E9 BE 9C E9 6B E9 D9,0x80538,0x803CE
equipment_name,38,幻の盾,환상의 방패,guide_term_restored_v42,11,EA 90 E9 85 E9 BD 9C E9 6E EA 88,0x8053C,0x803DA
equipment_name,39,戦士の守り,전사의 수호,guide_term_restored_v42,11,E9 CA E9 83 E9 BD 9C E9 8D EA 8F,0x80540,0x803E6
equipment_name,40,長老の盾,장로의 방패,guide_term_restored_v42,11,E9 C7 E9 49 E9 BD 9C E9 6E EA 88,0x80544,0x803F2
equipment_name,41,強力な<N:杖:1>,강력한 지팡이,guide_term_restored_v42,13,E9 06 E9 47 EA 08 9C E9 D9 EA 87 E9 BE,0x80548,0x803FE
equipment_name,42,じごくのスニー<N:フ:11>,지옥의 스누프,guide_term_restored_v42,13,E9 D9 E9 A9 E9 BD 9C E9 90 E9 27 EA 04,0x8054C,0x8040C
equipment_name,43,王様の像,왕의 상,guide_term_restored_v42,7,E9 AD E9 BD 9C E9 85,0x80550,0x8041A
equipment_name,44,たかの像,매의 상,guide_term_restored_v42,7,E9 56 E9 BD 9C E9 85,0x80554,0x80422
equipment_name,45,まがいの像,가짜 상,guide_term_restored_v42,7,E9 01 EA 6B 9C E9 85,0x80558,0x8042A
equipment_name,46,たん剣,단검,guide_term_restored_v42,4,E9 2E E9 0A,0x8055C,0x80432
equipment_name,47,幻の剣,환상의 검,guide_term_restored_v42,9,EA 90 E9 85 E9 BD 9C E9 0A,0x80560,0x80437
equipment_name,48,<N:リ:12><N:｣:11>ラのかみか<N:ざ:2>り,리라의 머리장식,guide_term_restored_v42,15,E9 4F E9 3F E9 BD 9C E9 57 E9 4F E9 C7 E9 94,0x80564,0x80441
equipment_name,49,乱れる宝石,요동치는 보석,guide_term_restored_v42,13,E9 AF E9 38 E9 E6 E9 2A 9C E9 77 EA 4E,0x80568,0x80451
equipment_name,50,アーマーストーン,아머 스톤,guide_term_restored_v42,9,E9 9A E9 57 9C E9 90 EA 82,0x8056C,0x8045F
equipment_name,51,ロマンシン<N:ク:12>ストーン,로맨싱 스톤,guide_term_restored_v42,11,E9 49 EA 3D EA 55 9C E9 90 EA 82,0x80570,0x80469
equipment_name,52,ロマンシン<N:ク:12>ストーン,로맨싱 스톤,guide_term_restored_v42,11,E9 49 EA 3D EA 55 9C E9 90 EA 82,0x80574,0x80469
equipment_name,53,ロマンシン<N:ク:12>ストーン,로맨싱 스톤,guide_term_restored_v42,11,E9 49 EA 3D EA 55 9C E9 90 EA 82,0x80578,0x80469
equipment_name,54,ロマンシン<N:ク:12>ストーン,로맨싱 스톤,guide_term_restored_v42,11,E9 49 EA 3D EA 55 9C E9 90 EA 82,0x8057C,0x80469
equipment_name,55,太陽の<N:げ:26>うし,태양의 거울,guide_term_restored_v42,11,E9 F2 E9 A0 E9 BD 9C E9 07 E9 B3,0x80580,0x80475
equipment_name,56,おし花の本,압화 책,guide_term_restored_v42,7,EA 59 EA 12 9C EA 6F,0x80584,0x80481
equipment_name,57,クラウ<N:ｲ:6>スの本,클라우스의 책,guide_term_restored_v42,13,EA 7B E9 3F E9 B1 E9 90 E9 BD 9C EA 6F,0x80588,0x80489
equipment_name,58,音楽集,음악집,guide_term_restored_v42,6,E9 BC E9 9B E9 DD,0x8058C,0x80497
equipment_name,59,ラークの紋章,라크의 문장,guide_term_restored_v42,11,E9 3F E9 EC E9 BD 9C E9 65 E9 C7,0x80590,0x805A4
equipment_name,60,<N:ｴ:24>かりの紋章,유카리의 문장,guide_term_restored_v42,13,E9 B7 E9 E8 E9 4F E9 BD 9C E9 65 E9 C7,0x80594,0x805B0
equipment_name,61,フ<N:リ:12><N:｣:11>の紋章,포니의 문장,guide_term_restored_v42,11,E9 FE E9 2C E9 BD 9C E9 65 E9 C7,0x80598,0x805BE
equipment_name,62,勇者の証,용자의 증표,guide_term_restored_v42,11,E9 B0 E9 C3 E9 BD 9C E9 D8 EA 8C,0x8059C,0x805CA
equipment_name,63,？？？？？,?????,guide_term_restored_v42,10,E0 47 E0 47 E0 47 E0 47 E0 47,0x805A0,0x805D6
equipment_description,0,炎系の攻撃に強くなります,화염 공격 피해 감소,guide_term_restored_v42,19,EA 12 EA 60 9C E9 11 E9 0C 9C EA 06 EA 0C 9C E9 04 E9 8C,0x80A94,0x805E1
equipment_description,1,水系の攻撃に強くなります,냉기 공격 피해 감소,guide_term_restored_v42,19,EA 24 E9 1B 9C E9 11 E9 0C 9C EA 06 EA 0C 9C E9 04 E9 8C,0x80A98,0x805F5
equipment_description,2,<N:ｌ:5>へモジーへを回避します,헤모지 방지,guide_term_restored_v42,11,EA 11 E9 5F E9 D9 9C E9 6E E9 D9,0x80A9C,0x80609
equipment_description,3,自分の<N:Π:10><N:Ｐ:10>の回復量が大きくなります,회복 효과 증가,guide_term_restored_v42,14,EA 16 E9 78 9C EA 92 E9 12 9C E9 D8 E9 01,0x80AA0,0x80615
equipment_description,4,戦闘で入る経験値が2倍になります,획득 경험치 2배,guide_term_restored_v42,15,EA 91 EA 2C 9C E9 0D EA 10 E9 E6 9C 13 E9 6F,0x80AA4,0x80624
equipment_description,5,魔力が10<N:X:20>上昇します,마력 10% 상승,guide_term_restored_v42,13,E9 52 E9 47 9C 12 11 06 9C E9 85 E9 92,0x80AA8,0x80634
equipment_description,6,<N:ｌ:5><N:眠:5>りへを回避します,수면 방지,guide_term_restored_v42,9,E9 8D E9 5C 9C E9 6E E9 D9,0x80AAC,0x80642
equipment_description,7,防御力が30<N:X:20>上昇します（チョン<N:力:5>ラ）,촌가라 방어력 30% 상승,guide_term_restored_v42,22,E9 E4 E9 01 E9 3F 9C E9 6E E9 A1 E9 47 9C 14 11 06 9C E9 85 E9 92,0x80AB0,0x8064C
equipment_description,8,<N:ｌ:5>投げるへが<N:リ:12>ベル1になります,던지기 레벨 +1,guide_term_restored_v42,14,E9 33 E9 D9 E9 1B 9C E9 44 EA 43 9C 0C 12,0x80AB4,0x80663
equipment_description,9,攻撃力が<N:ｃ:12>0<N:X:20>上昇します,공격력 50% 상승,guide_term_restored_v42,15,E9 11 E9 0C E9 47 9C 16 11 06 9C E9 85 E9 92,0x80AB8,0x80672
equipment_description,10,<N:ｌ:5>暗闇へを回避します,암흑 방지,guide_term_restored_v42,9,EA 58 EA 93 9C E9 6E E9 D9,0x80ABC,0x80682
equipment_description,11,攻撃が<N:非:1>常に当たりやすくなります,명중률 상승,guide_term_restored_v42,11,E9 5E E9 D7 EA 3B 9C E9 85 E9 92,0x80AC0,0x8068C
equipment_description,12,<N:ｌ:5>投げるへが<N:ｌ:5>ぶん投げるへになります,던지기가 강력 투척으로 변화,guide_term_restored_v42,27,E9 33 E9 D9 E9 1B E9 01 9C E9 06 E9 47 9C E9 F5 EA 71 E9 B9 E9 49 9C E9 74 EA 12,0x80AC4,0x80698
equipment_description,13,攻撃が特定の敵に強くなります,특정 적에게 추가 피해,guide_term_restored_v42,21,EA 85 E9 CD 9C E9 C9 E9 A4 E9 0B 9C EA 72 E9 01 9C EA 06 EA 0C,0x80AC8,0x806B4
equipment_description,14,攻撃が必す当たるようになります,공격이 반드시 명중,guide_term_restored_v42,18,E9 11 E9 0C E9 BE 9C E9 6B E9 3B E9 93 9C E9 5E E9 D7,0x80ACC,0x806CA
equipment_description,15,<N:リ:12>ベルアッ<N:フ:11>時に<N:Π:10><N:Ｐ:10>の伸びが大きくなります,레벨업 시 최대 체력 증가량 상승,guide_term_restored_v42,30,E9 44 EA 43 EA 5D 9C E9 93 9C E9 E5 E9 31 9C E9 E2 E9 47 9C E9 D8 E9 01 40 9C E9 85 E9 92,0x80AD0,0x806DD
equipment_description,16,魔力が30<N:X:20>上昇します （<N:ニ:13>ーゲン）,고겐 마력 30% 상승,guide_term_restored_v42,18,E9 0F EA 1C 9C E9 52 E9 47 9C 14 11 06 9C E9 85 E9 92,0x80AD4,0x806FC
equipment_description,17,攻撃が当たりやすくなります,명중률 상승,guide_term_restored_v42,11,E9 5E E9 D7 EA 3B 9C E9 85 E9 92,0x80AD8,0x8068C
equipment_description,18,すばやさが10<N:X:20>上昇します,민첩 10% 상승,guide_term_restored_v42,13,E9 68 E9 E1 9C 12 11 06 9C E9 85 E9 92,0x80ADC,0x8070F
equipment_description,19,すばやさが30<N:X:20>上昇します,민첩 30% 상승,guide_term_restored_v42,13,E9 68 E9 E1 9C 14 11 06 9C E9 85 E9 92,0x80AE0,0x8071D
equipment_description,20,<N:ｌ:5>ジャン<N:フ:11>へが<N:リ:12>ベル1になります,점프 레벨 +1,guide_term_restored_v42,12,E9 CC EA 04 9C E9 44 EA 43 9C 0C 12,0x80AE4,0x8072B
equipment_description,21,反撃しやすくなります,반격률 상승,guide_term_restored_v42,11,E9 6B E9 0C EA 3B 9C E9 85 E9 92,0x80AE8,0x80738
equipment_description,22,<N:ｌ:5>受け取るへが<N:リ:12>ベル1になります,받기 레벨 +1,guide_term_restored_v42,12,E9 6C E9 1B 9C E9 44 EA 43 9C 0C 12,0x80AEC,0x80744
equipment_description,23,<N:ｌ:5>受け取るへが<N:ｌ:5>投げ返すへになります,받기가 되던지기로 변화,guide_term_restored_v42,22,E9 6C E9 1B E9 01 9C E9 39 E9 33 E9 D9 E9 1B E9 49 9C E9 74 EA 12,0x80AF0,0x80751
equipment_description,24,半分の<N:∪:20><N:Ｐ:10>で能力を使用できます,능력 MP 소비 절반,guide_term_restored_v42,19,EA 27 E9 47 9C EA 98 EA 99 9C E9 8C E9 80 9C E9 CB E9 6B,0x80AF4,0x80768
equipment_description,25,攻撃力が30<N:X:20>上昇します,공격력 30% 상승,guide_term_restored_v42,15,E9 11 E9 0C E9 47 9C 14 11 06 9C E9 85 E9 92,0x80AF8,0x8077C
equipment_description,26,反撃ダメージが大きくなります（<N:｣:11>ー<N:力:5>）,이가 반격 피해 증가,guide_term_restored_v42,19,E9 BE E9 01 9C E9 6B E9 0C 9C EA 06 EA 0C 9C E9 D8 E9 01,0x80AFC,0x8078C
equipment_description,27,効果はわかつていません,효과 불명,guide_term_restored_v42,9,EA 92 E9 12 9C E9 7E E9 5E,0x80B00,0x807A0
equipment_description,28,行動する度まわりの<N:午:15>ャラを回復します（ククル）,쿠쿠루 행동 시 주변 아군 회복,guide_term_restored_v42,29,E9 EB E9 EB E9 4A 9C EA 0D E9 38 9C E9 93 9C E9 D4 E9 74 9C E9 9A E9 17 9C EA 16 E9 78,0x80B04,0x807AA
equipment_description,29,敵がア<N:｣:11>テムを落としやすくなります,아이템 드롭률 상승,guide_term_restored_v42,18,E9 9A E9 BE EA 81 9C E9 3B EA 38 EA 3B 9C E9 85 E9 92,0x80B08,0x807C8
equipment_description,30,敵を倒すとほ<N:げ:26>ア<N:｣:11>テムが出ます,적 처치 시 희귀 아이템 획득,guide_term_restored_v42,27,E9 C9 9C EA 70 E9 E6 9C E9 93 9C EA 95 EA 1F 9C E9 9A E9 BE EA 81 9C EA 91 EA 2C,0x80B0C,0x807DB
equipment_description,31,効果はわかつていません,효과 불명,guide_term_restored_v42,9,EA 92 E9 12 9C E9 7E E9 5E,0x80B10,0x807A0
equipment_description,32,<N:ｌ:5>石化へを回避します,석화 방지,guide_term_restored_v42,9,EA 4E EA 12 9C E9 6E E9 D9,0x80B14,0x807F7
equipment_description,33,効果はわかつていません （アーク）,아크 전용 효과 불명,guide_term_restored_v42,19,E9 9A E9 EC 9C E9 CA E9 B0 9C EA 92 E9 12 9C E9 7E E9 5E,0x80B18,0x80801
equipment_description,34,魔力が<N:ｃ:12>0<N:X:20>上昇します,마력 50% 상승,guide_term_restored_v42,13,E9 52 E9 47 9C 16 11 06 9C E9 85 E9 92,0x80B1C,0x80815
equipment_description,35,魔力が30<N:X:20>上昇します,마력 30% 상승,guide_term_restored_v42,13,E9 52 E9 47 9C 14 11 06 9C E9 85 E9 92,0x80B20,0x80823
equipment_description,36,<N:ｌ:5>向き直りの笛への効果が<N:∪:20><N:∧:11><N:Ｐ:10>全体（ポニ）,포코의 방향 전환 효과가 전체화,guide_term_restored_v42,30,E9 FE E9 EA E9 BD 9C E9 6E EA 0E 9C E9 CA EA 90 9C EA 92 E9 12 E9 01 9C E9 CA E9 E2 EA 12,0x80B24,0x80831
equipment_description,37,<N:ｌ:5><N:毒:1>へを回避します,독 방지,guide_term_restored_v42,7,EA 2A 9C E9 6E E9 D9,0x80B28,0x80850
equipment_description,38,防御力が<N:ｃ:12>0<N:X:20>上昇します,방어력 50% 상승,guide_term_restored_v42,15,E9 6E E9 A1 E9 47 9C 16 11 06 9C E9 85 E9 92,0x80B2C,0x80858
equipment_description,39,防御力が30<N:X:20>上昇します,방어력 30% 상승,guide_term_restored_v42,15,E9 6E E9 A1 E9 47 9C 14 11 06 9C E9 85 E9 92,0x80B30,0x80868
equipment_description,40,防御しやすくなります,방어율 상승,guide_term_restored_v42,11,E9 6E E9 A1 E9 B8 9C E9 85 E9 92,0x80B34,0x80878
equipment_description,41,攻撃力が<N:７:11>0<N:X:20>上昇します（<N:ニ:13>ーゲン）,고겐 공격력 70% 상승,guide_term_restored_v42,20,E9 0F EA 1C 9C E9 11 E9 0C E9 47 9C 18 11 06 9C E9 85 E9 92,0x80B38,0x80884
equipment_description,42,<N:ｌ:5>心<N:眼:3>法への<N:乾:16>囲が広くなります（<N:｣:11>ー<N:力:5>）,이가 심안법 범위 확장,guide_term_restored_v42,21,E9 BE E9 01 9C E9 97 E9 9C E9 73 9C E9 72 E9 B6 9C EA 13 E9 C7,0x80B3C,0x80899
equipment_description,43,召喚<N:午:15>ャラの経験値が自分に入ります（チョン<N:力:5>ラ）,촌가라가 소환수 경험치 획득,guide_term_restored_v42,27,E9 E4 E9 01 E9 3F E9 01 9C E9 8C EA 90 E9 8D 9C E9 0D EA 10 E9 E6 9C EA 91 EA 2C,0x80B40,0x808AF
equipment_description,44,<N:ｌ:5>沈黙へを回避します,침묵 방지,guide_term_restored_v42,9,E9 E7 EA 3F 9C E9 6E E9 D9,0x80B44,0x808CB
equipment_description,45,攻撃を避けやすくなります,회피율 상승,guide_term_restored_v42,11,EA 16 EA 06 E9 B8 9C E9 85 E9 92,0x80B48,0x808D5
equipment_description,46,攻撃力が10<N:X:20>上昇します,공격력 10% 상승,guide_term_restored_v42,15,E9 11 E9 0C E9 47 9C 12 11 06 9C E9 85 E9 92,0x80B4C,0x808E1
equipment_description,47,<N:与:3>えるダメージの当たりはすれが大きくなります,피해 편차 증가,guide_term_restored_v42,14,EA 06 EA 0C 9C E9 FC E9 DF 9C E9 D8 E9 01,0x80B50,0x808F1
equipment_description,48,復活魔法で<N:Π:10><N:Ｐ:10>最大で復活します（ククル）,쿠쿠루 부활 시 최대 체력 회복,guide_term_restored_v42,29,E9 EB E9 EB E9 4A 9C E9 7B EA 14 9C E9 93 9C E9 E5 E9 31 9C E9 E2 E9 47 9C EA 16 E9 78,0x80B54,0x80900
equipment_description,49,当たりはすれが大きくなります,피해 편차 증가,guide_term_restored_v42,14,EA 06 EA 0C 9C E9 FC E9 DF 9C E9 D8 E9 01,0x80B58,0x808F1
equipment_description,50,防御力が10<N:X:20>上昇します,방어력 10% 상승,guide_term_restored_v42,15,E9 6E E9 A1 E9 47 9C 12 11 06 9C E9 85 E9 92,0x80B5C,0x8091E
equipment_description,51,効果はわかつていません,효과 불명,guide_term_restored_v42,9,EA 92 E9 12 9C E9 7E E9 5E,0x80B60,0x807A0
equipment_description,52,効果はわかつていません,효과 불명,guide_term_restored_v42,9,EA 92 E9 12 9C E9 7E E9 5E,0x80B64,0x807A0
equipment_description,53,効果はわかつていません,효과 불명,guide_term_restored_v42,9,EA 92 E9 12 9C E9 7E E9 5E,0x80B68,0x807A0
equipment_description,54,効果はわかつていません,효과 불명,guide_term_restored_v42,9,EA 92 E9 12 9C E9 7E E9 5E,0x80B6C,0x807A0
equipment_description,55,行動するたびに<N:Π:10><N:Ｐ:10>が回復します,매 행동 체력 회복,guide_term_restored_v42,17,E9 56 9C EA 0D E9 38 9C E9 E2 E9 47 9C EA 16 E9 78,0x80B70,0x8092E
equipment_description,56,攻撃が<N:非:1>常に当たりやすくなります（トッシュ）,토슈 공격 명중률 상승,guide_term_restored_v42,21,E9 F4 E9 8F 9C E9 11 E9 0C 9C E9 5E E9 D7 EA 3B 9C E9 85 E9 92,0x80B74,0x80940
equipment_description,57,全ステータスしょう害を回避します,모든 상태 이상 방지,guide_term_restored_v42,19,E9 5F E9 3C 9C E9 85 E9 F2 9C E9 BE E9 85 9C E9 6E E9 D9,0x80B78,0x80956
equipment_description,58,魔力が30<N:X:20>上昇します （ポニ）,포코 마력 30% 상승,guide_term_restored_v42,18,E9 FE E9 EA 9C E9 52 E9 47 9C 14 11 06 9C E9 85 E9 92,0x80B7C,0x8096A
equipment_description,59,<N:ｌ:5>マ<N:ヒ:5>へを回避します,마비 방지,guide_term_restored_v42,9,E9 52 E9 80 9C E9 6E E9 D9,0x80B80,0x8097D
equipment_description,60,桜花雷爆斬でマ<N:ヒ:5>させることができます（トッシュ）,토슈 앵화뇌폭참에 마비 부여,guide_term_restored_v42,27,E9 F4 E9 8F 9C EA 5B EA 12 EA 26 EA 01 EA 6D E9 A4 9C E9 52 E9 80 9C E9 7B E9 A5,0x80B84,0x80987
equipment_description,61,攻撃が特定の敵に強くなります,특정 적에게 추가 피해,guide_term_restored_v42,21,EA 85 E9 CD 9C E9 C9 E9 A4 E9 0B 9C EA 72 E9 01 9C EA 06 EA 0C,0x80B88,0x806B4
equipment_description,62,行動するごとに<N:∪:20><N:Ｐ:10>が回復します（アーク）,아크 매 행동 MP 회복,guide_term_restored_v42,22,E9 9A E9 EC 9C E9 56 9C EA 0D E9 38 9C EA 98 EA 99 9C EA 16 E9 78,0x80B8C,0x809A3
equipment_description,63,？？？？？,?????,guide_term_restored_v42,10,E0 47 E0 47 E0 47 E0 47 E0 47,0x80B90,0x805D6
consumable_name,0,ねばねば,끈끈이,guide_term_restored_v42,6,EA 22 EA 22 E9 BE,0x80C9C,0x809BA
consumable_name,1,やる気<N:г:23>リー,의욕 젤리,guide_term_restored_v42,9,E9 BD EA 62 9C EA 68 E9 4F,0x80CA0,0x809C1
consumable_name,2,みなぎる果実,넘치는 열매,guide_term_restored_v42,11,E9 25 E9 E6 E9 2A 9C E9 A7 E9 56,0x80CA4,0x809CB
consumable_name,3,回復果物,회복 열매,guide_term_restored_v42,9,EA 16 E9 78 9C E9 A7 E9 56,0x80CA8,0x809D7
consumable_name,4,しびれるりんご,마비 사과,guide_term_restored_v42,9,E9 52 E9 80 9C E9 83 E9 12,0x80CAC,0x809E1
consumable_name,5,石,돌,guide_term_restored_v42,2,E9 37,0x80CB0,0x8049E
consumable_name,6,<N:リ:12>ニの草,레코의 풀,guide_term_restored_v42,9,E9 44 E9 EA E9 BD 9C EA 02,0x80CB4,0x809EB
consumable_name,7,薬草,약초,guide_term_restored_v42,4,E9 9F E9 E3,0x80CB8,0x809F5
consumable_name,8,<N:毒:1>薬,독초,guide_term_restored_v42,4,EA 2A E9 E3,0x80CBC,0x809FA
consumable_name,9,ルウの薬,루우의 약,guide_term_restored_v42,9,E9 4A E9 B1 E9 BD 9C E9 9F,0x80CC0,0x809FF
consumable_name,10,すばやさの薬,민첩의 약,guide_term_restored_v42,9,E9 68 E9 E1 E9 BD 9C E9 9F,0x80CC4,0x80A09
consumable_name,11,小さい爆弾,작은 폭탄,guide_term_restored_v42,9,E9 C4 E9 BA 9C EA 01 EA 7C,0x80CC8,0x80A13
consumable_name,12,大きい爆弾,큰 폭탄,guide_term_restored_v42,7,E9 ED 9C EA 01 EA 7C,0x80CCC,0x80A1D
consumable_name,13,万能薬,만능약,guide_term_restored_v42,6,E9 54 EA 27 E9 9F,0x80CD0,0x80A25
consumable_name,14,聖水,성수,guide_term_restored_v42,4,E9 8A E9 8D,0x80CD4,0x80A2C
consumable_name,15,復活の薬,부활약,guide_term_restored_v42,6,E9 7B EA 14 E9 9F,0x80CD8,0x80A31
consumable_name,16,攻撃瓶,공격 항아리,guide_term_restored_v42,11,E9 11 E9 0C 9C EA 0B E9 9A E9 4F,0x80CDC,0x80A38
consumable_name,17,<N:眠:5>り玉,수면 구슬,guide_term_restored_v42,9,E9 8D E9 5C 9C E9 16 E9 91,0x80CE0,0x80A44
consumable_name,18,弱りの玉,약화 구슬,guide_term_restored_v42,9,E9 9F EA 12 9C E9 16 E9 91,0x80CE4,0x80A4E
consumable_name,19,ちからの実,힘의 열매,guide_term_restored_v42,9,EA 18 E9 BD 9C E9 A7 E9 56,0x80CE8,0x80A58
consumable_name,20,パロの実,파로의 열매,guide_term_restored_v42,11,E9 F8 E9 49 E9 BD 9C E9 A7 E9 56,0x80CEC,0x80A62
consumable_name,21,いのちの木の実,생명의 열매,guide_term_restored_v42,11,E9 87 E9 5E E9 BD 9C E9 A7 E9 56,0x80CF0,0x80A6E
consumable_name,22,魔力の葉,마력의 잎,guide_term_restored_v42,9,E9 52 E9 47 E9 BD 9C EA 66,0x80CF4,0x80A7A
consumable_name,23,魔力の泉,마력의 샘,guide_term_restored_v42,9,E9 52 E9 47 E9 BD 9C EA 4B,0x80CF8,0x80A84
consumable_name,24,目つぶしの草,눈가림 풀,guide_term_restored_v42,9,E9 28 E9 01 E9 51 9C EA 02,0x80CFC,0x80B94
consumable_name,25,苦い葉,쓴 잎,guide_term_restored_v42,5,E9 99 9C EA 66,0x80D00,0x80A8E
