new_index,old_index,char,uses,cho,jung,jong,piece_cho,piece_jung,piece_jong
131,74,이,166,11,20,0,12,181,-1
132,191,리,166,5,20,0,6,181,-1
133,209,변,165,7,6,4,88,211,252
134,172,데,163,3,5,0,4,166,-1
135,171,하,162,18,0,0,19,161,-1
136,178,병,160,7,6,21,88,211,269
137,208,토,160,16,8,0,37,169,-1
138,107,초,159,14,8,0,35,169,-1
139,194,손,156,9,8,4,110,213,280
140,217,운,156,11,13,4,132,218,308
141,166,구,156,0,13,0,41,196,-1
142,182,와,156,11,9,0,72,170,-1
143,218,너,155,2,4,0,3,165,-1
144,202,유,152,11,17,0,52,178,-1
145,204,상,149,9,0,21,90,205,269
146,210,세,149,9,5,0,10,166,-1
147,197,음,149,11,18,16,112,223,292
148,89,의,148,11,19,0,72,180,-1
149,186,위,147,11,16,0,72,177,-1
150,175,거,144,0,4,0,1,187,-1
151,86,라,143,5,0,0,6,161,-1
152,163,조,142,12,8,0,33,169,-1
153,190,분,135,7,13,4,128,218,308
154,84,미,135,6,20,0,7,181,-1
155,216,안,131,11,0,4,92,205,252
156,219,템,130,16,5,16,97,210,264
157,187,때,127,4,1,0,5,162,-1
158,111,까,126,1,0,0,2,161,-1
159,90,사,125,9,0,0,10,161,-1
160,143,가,125,0,0,0,1,183,-1
161,598,비,124,7,20,0,8,181,-1
162,200,촌,124,14,8,4,115,213,280
163,97,버,116,7,4,0,8,165,-1
164,183,올,114,11,8,8,112,213,284
165,23,은,114,11,18,4,112,223,280
166,159,크,114,15,18,0,36,201,-1
167,605,환,113,18,9,4,159,214,336
168,98,번,112,7,4,4,88,209,252
169,207,장,112,12,0,21,93,205,269
170,581,바,109,7,0,0,8,161,-1
171,971,적,105,12,4,1,93,209,249
172,607,격,101,0,6,1,81,233,249
173,610,국,100,0,13,1,121,240,305
174,613,쿠,99,15,13,0,56,196,-1
175,623,좋,94,12,8,27,113,213,303
176,639,발,94,7,0,8,88,205,256
177,1210,했,93,18,1,20,99,206,268
178,620,공,93,0,8,21,101,235,297
179,641,계,93,0,7,0,1,190,-1
180,642,래,92,5,1,0,6,162,-1
181,1066,불,91,7,13,8,128,218,312
182,650,곳,89,0,8,19,101,235,295
183,673,건,88,0,4,4,81,231,252
184,1083,성,87,9,4,21,90,209,269
185,652,과,86,0,9,0,61,192,-1
186,1000,받,86,7,0,7,88,205,255
187,1174,말,84,6,0,8,87,205,256
188,671,간,83,0,0,4,81,227,252
189,800,당,82,3,0,21,84,205,269
190,691,합,82,18,0,17,99,205,265
191,872,알,79,11,0,8,92,205,256
192,755,치,79,14,20,0,15,181,-1
193,727,께,79,1,5,0,2,166,-1
194,720,두,79,3,13,0,44,174,-1
195,766,람,79,5,0,16,86,205,264
196,794,드,75,3,18,0,24,179,-1
197,1175,저,73,12,4,0,13,165,-1
198,460,던,73,3,4,4,84,209,252
199,818,든,73,3,18,4,104,223,280
200,767,실,73,9,20,8,90,225,256
201,824,뿍,72,8,13,1,129,218,305
202,1124,력,71,5,6,1,86,211,249
203,1054,런,70,5,4,4,86,209,252
204,1125,력,70,5,6,1,86,211,249
205,1076,메,70,6,5,0,7,166,-1
206,721,았,69,11,0,20,92,205,268
207,1127,님,69,2,20,16,83,225,264
208,1126,미,68,6,20,0,7,181,-1
209,1079,언,68,11,4,4,92,209,252
210,1077,행,68,18,1,21,99,206,269
211,1078,숲,68,9,13,26,130,218,330
212,257,목,68,6,8,1,107,213,277
213,1152,명,67,6,6,21,87,211,269
214,1155,를,65,5,18,8,106,223,284
215,1190,좋,65,12,8,27,113,213,303
216,864,법,65,7,4,17,88,209,265
217,1056,카,65,15,0,0,16,183,-1
218,1184,투,64,16,13,0,57,174,-1
219,1119,항,63,18,0,21,99,205,269
220,1186,있,62,11,20,20,92,225,268
221,1075,피,62,17,20,0,18,181,-1
222,1380,남,62,2,0,16,83,205,264
223,1151,번,62,7,4,4,88,209,252
224,745,진,61,12,20,4,93,225,252
225,1144,루,58,5,13,0,46,174,-1
226,139,자,58,12,0,0,13,161,-1
227,958,희,57,18,19,0,79,180,-1
228,1164,떻,56,4,4,27,85,209,275
229,1201,소,55,9,8,0,30,169,-1
230,1122,반,55,7,0,4,88,205,252
231,1187,결,54,0,6,8,81,233,256
232,1311,약,54,11,2,1,92,207,249
233,789,럼,53,5,4,16,86,209,264
234,1087,금,53,0,18,16,101,245,292
235,916,혜,53,18,7,0,19,168,-1
236,1237,님,52,2,20,16,83,225,264
237,203,촌,52,14,8,4,115,213,280
238,1227,렇,51,5,4,27,86,209,275
239,765,싶,51,9,20,26,90,225,274
240,1219,잘,51,12,0,8,93,205,256
241,16907,볼,51,7,8,8,108,213,284
242,1236,선,50,9,4,4,90,209,252
243,1133,험,50,18,4,16,99,209,264
244,1382,누,49,2,13,0,43,174,-1
245,1161,찾,49,14,0,22,95,205,270
246,1238,노,49,2,8,0,23,169,-1
247,1135,넘,49,2,4,16,83,209,264
248,957,히,48,18,20,0,19,181,-1
249,1220,같,48,0,0,25,81,227,273
250,1221,트,48,16,18,0,37,179,-1
251,1051,온,47,11,8,4,112,213,280
252,1085,머,46,6,4,0,7,165,-1
253,1393,템,46,16,5,16,97,210,264
254,953,속,46,9,8,1,110,213,277
255,1131,뭐,46,6,14,0,67,175,-1
256,1121,경,45,0,6,21,81,233,269
257,952,폭,45,17,8,1,118,213,277
258,749,져,45,12,6,0,13,167,-1
259,1059,작,45,12,0,1,93,205,249
260,1004,수,45,9,13,0,50,174,-1
261,1211,쳤,45,14,6,20,95,211,268
262,762,씨,45,10,20,0,11,181,-1
263,238,대,45,3,1,0,4,162,-1
264,1308,워,44,11,14,0,72,175,-1
265,1482,쪽,43,13,8,1,114,213,277
266,996,난,43,2,0,4,83,205,252
267,827,망,43,6,0,21,87,205,269
268,868,팔,42,17,0,8,98,205,256
269,998,각,42,0,0,1,81,227,249
270,1001,류,42,5,17,0,46,178,-1
271,1062,준,41,12,13,4,133,218,308
272,752,움,41,11,13,16,132,218,320
273,1049,건,40,0,4,4,81,231,252
274,360,록,40,5,8,1,106,213,277
275,1199,뭐,40,6,14,0,67,175,-1
276,1005,괴,39,0,11,0,61,194,-1
277,1233,못,39,6,8,19,107,213,295
278,1395,감,39,0,0,16,81,227,264
279,731,포,38,17,8,0,38,169,-1
280,1206,뭘,38,6,14,8,147,219,340
281,1204,족,38,12,8,1,113,213,277
282,1035,파,38,17,0,0,18,161,-1
283,746,직,37,12,20,1,93,225,249
284,1060,형,37,18,6,21,99,211,269
285,870,째,36,13,1,0,14,162,-1
286,1205,타,36,16,0,0,17,161,-1
287,1235,정,36,12,4,21,93,209,269
288,1216,줄,36,12,13,8,133,218,312
289,426,양,36,11,2,21,92,207,269
290,323,두,36,3,13,0,44,174,-1
291,728,화,36,18,9,0,79,170,-1
292,806,놈,35,2,8,16,103,213,292
293,1189,쓰,35,10,18,0,31,179,-1
294,1063,슈,35,9,17,0,50,178,-1
295,712,녀,35,2,6,0,3,167,-1
296,1309,왔,35,11,9,20,152,214,352
297,1383,열,35,11,6,8,92,211,256
298,1228,표,35,17,12,0,38,173,-1
299,1229,석,35,9,4,1,90,209,249
300,1158,꽃,34,1,8,23,102,213,299
301,570,후,34,18,13,0,59,174,-1
302,1230,걸,34,0,4,8,81,231,256
303,741,처,34,14,4,0,15,165,-1
304,1231,간,34,0,0,4,81,227,252
305,1163,역,34,11,6,1,92,211,249
306,959,울,34,11,13,8,132,218,312
307,918,배,34,7,1,0,8,162,-1
308,748,죽,33,12,13,1,133,218,305
309,539,길,33,0,20,8,81,247,256
310,1432,더,33,3,4,0,4,165,-1
311,1212,편,33,17,6,4,98,211,252
312,739,큰,33,15,18,4,116,245,280
313,1213,휴,33,18,17,0,59,178,-1
314,1214,절,32,12,4,8,93,209,256
315,384,렸,32,5,6,20,86,211,268
316,1429,얻,32,11,4,7,92,209,255
317,1033,프,32,17,18,0,38,179,-1
318,1430,궤,31,0,15,0,61,198,-1
319,780,복,31,7,8,1,108,213,277
320,1431,슨,31,9,18,4,110,223,280
321,1071,서,30,9,4,0,10,165,-1
322,717,검,30,0,4,16,81,231,264
323,276,라,30,5,0,0,6,161,-1
324,1045,살,30,9,0,8,90,205,256
325,811,끝,30,1,18,25,102,223,301
326,1437,앗,30,11,0,19,92,205,267
327,1050,년,29,2,6,4,83,211,252
328,1434,갈,29,0,0,8,81,227,256
329,1435,빌,29,7,20,8,88,225,256
330,758,엇,29,11,4,19,92,209,267
331,1436,겐,29,0,5,4,81,232,252
332,1483,질,28,12,20,8,93,225,256
333,1052,막,28,6,0,1,87,205,249
334,1438,론,28,5,8,4,106,213,280
335,263,많,28,6,0,6,87,205,254
336,757,연,28,11,6,4,92,211,252
337,796,됩,28,3,11,17,144,216,349
338,1084,와,28,11,9,0,72,170,-1
339,1069,산,27,9,0,4,90,205,252
340,1440,맞,27,6,0,22,87,205,270
341,722,향,27,18,2,21,99,207,269
342,1007,키,27,15,20,0,16,203,-1
343,1433,개,27,0,1,0,1,184,-1
344,261,음,27,11,18,16,112,223,292
345,1165,식,27,9,20,1,90,225,249
346,1041,봉,26,7,8,21,108,213,297
347,1443,차,26,14,0,0,15,161,-1
348,793,따,26,4,0,0,5,161,-1
349,871,앞,26,11,0,26,92,205,274
350,795,둘,26,3,13,8,124,218,312
351,974,잖,25,12,0,6,93,205,254
352,1006,겨,25,0,6,0,1,189,-1
353,736,테,25,16,5,0,17,166,-1
354,1442,른,25,5,18,4,106,223,280
355,1444,맡,25,6,0,25,87,205,273
356,923,먼,25,6,4,4,87,209,252
357,1445,임,25,11,20,16,92,225,264
358,886,안,25,11,0,4,92,205,252
359,1447,빛,25,7,20,23,88,225,271
360,1448,련,24,5,6,4,86,211,252
361,798,된,24,3,11,4,144,216,336
362,1147,써,24,10,4,0,11,165,-1
363,699,브,24,7,18,0,28,179,-1
364,1138,매,24,6,1,0,7,162,-1
365,1452,릴,23,5,20,8,86,225,256
366,1450,켜,23,15,6,0,16,189,-1
367,1441,돼,23,3,10,0,64,171,-1
368,1455,디,23,3,20,0,4,181,-1
369,1451,몰,23,6,8,8,107,213,284
370,1449,함,23,18,0,16,99,205,264
371,684,점,23,12,4,16,93,209,264
372,372,가,23,0,0,0,1,183,-1
373,1457,탄,23,16,0,4,97,205,252
374,737,태,23,16,1,0,17,162,-1
375,1108,키,23,15,20,0,16,203,-1
376,1453,뿐,22,8,13,4,129,218,308
377,1454,린,22,5,20,4,86,225,252
378,772,셨,22,9,6,20,90,211,268
379,781,밖,22,7,0,2,88,205,250
380,55007,통,22,16,8,21,117,213,297
381,466,페,22,17,5,0,18,166,-1
382,797,될,22,3,11,8,144,216,340
383,1458,절,22,12,4,8,93,209,256
384,782,믿,22,6,20,7,87,225,255
385,1477,됐,21,3,10,20,144,215,352
386,1459,멸,21,6,6,8,87,211,256
387,997,봐,21,7,9,0,68,170,-1
388,805,닌,21,2,20,4,83,225,252
389,735,틀,21,16,18,8,117,223,284
390,1215,활,20,18,9,8,159,214,340
391,1462,집,20,12,20,17,93,225,265
392,272,모,20,6,8,0,27,169,-1
393,1464,욕,20,11,12,1,112,217,277
394,1226,강,20,0,0,21,81,227,269
395,1465,술,20,9,13,8,130,218,312
396,1466,꾸,20,1,13,0,42,174,-1
397,869,천,19,14,4,4,95,209,252
398,1461,떠,19,4,4,0,5,165,-1
399,411,델,19,3,5,8,84,210,256
400,968,줘,19,12,14,0,73,175,-1
401,760,악,19,11,0,1,92,205,249
402,919,민,19,6,20,4,87,225,252
403,1463,능,19,2,18,21,103,223,297
404,1470,겁,19,0,4,17,81,231,265
405,1473,벨,19,7,5,8,88,210,256
406,1474,톨,19,16,8,8,117,213,284
407,1467,쳐,19,14,6,0,15,167,-1
408,1469,항,19,18,0,21,99,205,269
409,1476,별,18,7,6,8,88,211,256
410,1478,넘,18,2,4,16,83,209,264
411,1479,커,18,15,4,0,16,187,-1
412,1471,케,18,15,5,0,16,188,-1
413,651,설,18,9,4,8,90,209,256
414,1472,뭔,18,6,14,4,147,219,336
415,260,지,18,12,20,0,13,181,-1
416,235,스,18,9,18,0,30,179,-1
417,61154,긴,18,0,20,4,81,247,252
418,1166,슬,18,9,18,8,110,223,284
419,970,졌,18,12,6,20,93,211,268
420,41705,베,18,7,5,0,8,166,-1
421,1475,서,18,9,4,0,10,165,-1
422,27491,엄,17,11,4,16,92,209,264
423,686,잠,17,12,0,16,93,205,264
424,738,탁,17,16,0,1,97,205,249
425,819,침,17,14,20,16,95,225,264
426,31231,맨,17,6,1,4,87,206,252
427,4416,증,17,12,18,21,113,223,297
428,987,셋,17,9,5,19,90,210,267
429,19347,뜨,16,4,18,0,25,179,-1
430,527,눈,16,2,13,4,123,218,308
431,821,곧,16,0,8,7,101,235,283
432,296,님,16,2,20,16,83,225,264
433,1394,애,16,11,1,0,12,162,-1
434,973,잡,16,12,0,17,93,205,265
435,1046,빼,16,8,1,0,9,162,-1
436,46614,탈,16,16,0,8,97,205,256
437,688,웠,16,11,14,20,152,219,352
438,756,였,15,11,6,20,92,211,268
439,1130,작,15,12,0,1,93,205,249
440,716,덕,15,3,4,1,84,209,249
441,40891,횟,15,18,11,19,159,216,351
442,743,짓,15,12,20,19,93,225,267
443,1460,관,15,0,9,4,141,236,336
444,560,떤,15,4,4,4,85,209,252
445,920,며,15,6,6,0,7,167,-1
446,776,빨,15,8,0,8,89,205,256
447,4098,듣,15,3,18,7,104,223,283
448,770,숨,15,9,13,16,130,218,320
449,1208,자,15,12,0,0,13,161,-1
450,46675,놓,14,2,8,27,103,213,303
451,305,스,14,9,18,0,30,179,-1
452,773,섯,14,9,4,19,90,209,267
453,5560,싱,14,9,20,21,90,225,269
454,17512,설,14,9,4,8,90,209,256
455,1053,류,14,5,17,0,46,178,-1
456,750,접,13,12,4,17,93,209,265
457,674,확,13,18,9,1,159,214,333
458,713,낼,13,2,1,8,83,206,256
459,783,몸,13,6,8,16,107,213,292
460,675,풍,13,17,13,21,138,218,325
461,1202,송,13,9,8,21,110,213,297
462,972,쟁,13,12,1,21,93,206,269
463,730,푼,12,17,13,4,138,218,308
464,777,붙,12,7,13,25,128,218,329
465,732,평,12,17,6,21,98,211,269
466,551,혜,12,18,7,0,19,168,-1
467,370,소,12,9,8,0,30,169,-1
468,279,겐,12,0,5,4,81,232,252
469,887,플,12,17,18,8,118,223,284
470,1073,설,12,9,4,8,90,209,256
471,1156,기,12,0,20,0,1,203,-1
472,2849,름,11,5,18,16,106,223,292
473,1923,청,11,14,4,21,95,209,269
474,754,옥,11,11,8,1,112,213,277
475,5655,료,11,5,12,0,26,173,-1
476,223,었,11,11,4,20,92,209,268
477,630,씀,11,10,18,16,111,223,292
478,726,황,11,18,9,21,159,214,353
479,875,새,11,9,1,0,10,162,-1
480,753,왜,11,11,10,0,72,171,-1
481,50851,훗,11,18,13,19,139,218,323
482,867,풀,10,17,13,8,138,218,312
483,817,깨,10,1,1,0,2,162,-1
484,866,꺼,10,1,4,0,2,165,-1
485,19461,허,10,18,4,0,19,165,-1
486,804,닙,10,2,20,17,83,225,265
487,35947,필,10,17,20,8,98,225,256
488,4166,착,10,14,0,1,95,205,249
489,823,외,10,11,11,0,72,172,-1
490,37615,혀,10,18,6,0,19,167,-1
491,659,옛,10,11,7,19,92,212,267
492,2267,또,10,4,8,0,25,169,-1
493,55565,층,10,14,18,21,115,223,297
494,820,굉,10,0,11,21,141,238,353
495,14742,개,10,0,1,0,1,184,-1
496,810,났,10,2,0,20,83,205,268
497,742,찌,10,13,20,0,14,181,-1
498,873,쓸,9,10,18,8,111,223,284
499,825,갔,9,0,0,20,81,227,268
500,14359,낙,9,2,0,1,83,205,249
501,54961,듯,9,3,18,19,104,223,295
502,253,이,9,11,20,0,12,181,-1
503,4294,샤,9,9,2,0,10,163,-1
504,1218,이,9,11,20,0,12,181,-1
505,1217,안,9,11,0,4,92,205,252
506,220,격,9,0,6,1,81,233,249
507,529,과,9,0,9,0,61,192,-1
508,1117,함,9,18,0,16,99,205,264
509,344,치,8,14,20,0,15,181,-1
510,740,칠,8,14,20,8,95,225,256
511,778,북,8,7,13,1,128,218,305
512,764,쌓,8,10,0,27,91,205,275
513,374,속,8,9,8,1,110,213,277
514,292,경,8,0,6,21,81,233,269
515,1310,엘,8,11,5,8,92,210,256
516,814,끄,8,1,18,0,22,179,-1
517,812,끌,8,1,18,8,102,223,284
518,865,킬,7,15,20,8,96,247,256
519,48693,깐,7,1,0,4,82,205,252
520,222,비,7,7,20,0,8,181,-1
521,26731,겸,7,0,6,16,81,233,264
522,33404,근,7,0,18,4,101,245,280
523,774,섬,7,9,4,16,90,209,264
524,733,퍼,7,17,4,0,18,165,-1
525,874,싫,6,9,20,15,90,225,263
526,775,삼,6,9,0,16,90,205,264
527,734,판,6,17,0,4,98,205,252
528,718,걱,6,0,4,1,81,231,249
529,719,갚,6,0,0,26,81,227,274
530,751,읽,6,11,20,9,92,225,257
531,802,닫,6,3,0,7,84,205,255
532,954,놀,6,2,8,8,103,213,284
533,21802,뭘,6,6,14,8,147,219,340
534,54032,창,6,14,0,21,95,205,269
535,55630,앗,6,11,0,19,92,205,267
536,1058,망,6,6,0,21,87,205,269
537,36017,끔,6,1,18,16,102,223,292
538,26706,껏,6,1,4,19,82,209,267
539,921,멘,6,6,5,4,87,210,252
540,1002,륭,6,5,17,21,126,222,325
541,60585,쁜,6,8,18,4,109,223,280
542,808,널,6,2,4,8,83,209,256
543,790,뜻,6,4,18,19,105,223,295
544,62141,얼,6,11,4,8,92,209,256
545,1068,빌,6,7,20,8,88,225,256
546,1120,해,6,18,1,0,19,162,-1
547,1136,리,6,5,20,0,6,181,-1
548,690,옷,5,11,8,19,112,213,295
549,885,흥,5,18,18,21,119,223,297
550,420,물,5,6,13,8,127,218,312
551,1207,으,5,11,18,0,32,179,-1
552,1129,쯤,5,13,18,16,114,223,292
553,815,꼬,5,1,8,0,22,169,-1
554,308,잃,5,11,20,15,92,225,263
555,771,솟,5,9,8,19,110,213,295
556,46374,철,5,14,4,8,95,209,256
557,791,뛰,5,4,16,0,65,177,-1
558,565,득,5,3,18,1,104,223,277
559,1086,뀌,4,1,16,0,62,177,-1
560,7490,춰,4,14,14,0,75,175,-1
561,1480,옆,4,11,6,26,92,211,274
562,697,쉽,4,9,16,17,150,221,349
563,807,녔,4,2,6,20,83,211,268
564,289,즘,4,12,18,16,113,223,292
565,501,셔,4,9,6,0,10,167,-1
566,40892,청,4,14,4,21,95,209,269
567,19898,킨,4,15,20,4,96,247,252
568,801,담,4,3,0,16,84,205,264
569,769,쉬,4,9,16,0,70,177,-1
570,600,닐,4,2,20,8,83,225,256
571,1137,나,4,2,0,0,3,161,-1
572,1180,하,4,18,0,0,19,161,-1
573,1032,돼,4,3,10,0,64,171,-1
574,1064,미,4,6,20,0,7,181,-1
575,1188,전,4,12,4,4,93,209,252
576,677,폭,4,17,8,1,118,213,277
577,1159,른,3,5,18,4,106,223,280
578,698,쇠,3,9,11,0,70,172,-1
579,813,끊,3,1,18,6,102,223,282
580,714,꿔,3,1,14,0,62,175,-1
581,58204,놓,3,2,8,27,103,213,303
582,922,멋,3,6,4,19,87,209,267
583,21061,럽,3,5,4,17,86,209,265
584,520,겼,3,0,6,20,81,233,268
585,779,봤,3,7,9,20,148,214,352
586,708,뛴,3,4,16,4,145,221,336
587,39610,맙,3,6,0,17,87,205,265
588,725,훨,3,18,14,8,159,219,340
589,50489,샘,3,9,1,16,90,206,264
590,809,넌,3,2,4,4,83,209,252
591,41501,츠,3,14,18,0,35,179,-1
592,711,눌,3,2,13,8,123,218,312
593,709,듭,3,3,18,17,104,223,293
594,1468,셋,3,9,5,19,90,210,267
595,1173,이,3,11,20,0,12,181,-1
596,1176,가,3,0,0,0,1,183,-1
597,1025,그,3,0,18,0,21,201,-1
598,1048,격,3,0,6,1,81,233,249
599,1082,오,3,11,8,0,32,169,-1
600,1067,비,3,7,20,0,8,181,-1
601,1139,의,3,11,19,0,72,180,-1
602,1157,유,3,11,17,0,52,178,-1
603,1149,사,3,9,0,0,10,161,-1
604,715,꼭,2,1,8,1,102,213,277
605,799,돕,2,3,8,17,104,213,293
606,969,죠,2,12,12,0,33,173,-1
607,822,걷,2,0,4,7,81,231,255
608,1196,답,2,3,0,17,84,205,265
609,917,뱀,2,7,1,16,88,206,264
610,622,탑,2,16,0,17,97,205,265
611,724,흩,2,18,18,25,119,223,301
612,744,짊,2,12,20,10,93,225,258
613,816,꺄,2,1,2,0,2,163,-1
614,6582,뿔,2,8,13,8,129,218,312
615,8260,탱,2,16,1,21,97,206,269
616,17000,옮,2,11,8,10,112,213,286
617,657,깁,2,0,20,17,81,247,265
618,761,씬,2,10,20,4,91,225,252
619,1111,고,2,0,8,0,21,191,-1
620,940,또,2,4,8,0,25,169,-1
621,526,센,2,9,5,4,90,210,252
622,1198,로,2,5,8,0,26,169,-1
623,1182,공,2,0,8,21,101,235,297
624,1162,열,2,11,6,8,92,211,256
625,1091,일,2,11,20,8,92,225,256
626,1081,시,2,9,20,0,10,181,-1
627,1170,람,2,5,0,16,86,205,264
628,1132,동,2,3,8,21,104,213,297
629,1090,인,2,11,20,4,92,225,252
630,681,큼,2,15,18,16,116,245,292
631,637,뇨,1,2,12,0,23,173,-1
632,1203,억,1,11,4,1,92,209,249
633,388,릭,1,5,20,1,86,225,249
634,603,휩,1,18,16,17,159,221,349
635,710,덮,1,3,4,26,84,209,274
636,1185,입,1,11,20,17,92,225,265
637,1072,선,1,9,4,4,90,209,252
638,763,썼,1,10,4,20,91,209,268
639,747,즐,1,12,18,8,113,223,284
640,792,떡,1,4,4,1,85,209,249
641,759,얽,1,11,4,9,92,209,257
642,936,먹,1,6,4,1,87,209,249
643,1181,군,1,0,13,4,121,240,308
644,1065,밀,1,6,20,8,87,225,256
645,1142,마,1,6,0,0,7,161,-1
646,33024,똑,1,4,8,1,105,213,277
647,1197,돌,1,3,8,8,104,213,284
648,6364,왠,1,11,10,4,152,215,336
649,1153,킨,1,15,20,4,96,247,252
650,1195,쳐,1,14,6,0,15,167,-1
651,1200,뭔,1,6,14,4,147,219,336
652,1183,과,1,0,9,0,61,192,-1
653,1003,것,1,0,4,19,81,231,267
654,1232,두,1,3,13,0,44,174,-1
655,1104,케,1,15,5,0,16,188,-1
