file,offset,capacity,prompt_slot,accept_slot,decline_slot,prompt_bytes,accept_bytes,decline_bytes,prompt,accept,decline
C1/SC031.DAT,0x46FD8,21,5,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC031.DAT,0x47034,24,6,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC041.DAT,0x46DE6,28,29,37,38,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC041.DAT,0x46E48,28,30,37,38,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC041.DAT,0x46EAA,29,31,37,38,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC041.DAT,0x46F0E,31,32,37,38,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC041.DAT,0x46F74,29,33,37,38,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC041.DAT,0x46FD8,21,34,37,38,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC041.DAT,0x47034,24,35,37,38,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC051.DAT,0x46DE6,28,0,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC051.DAT,0x46E48,28,1,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC051.DAT,0x46EAA,29,2,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC051.DAT,0x46F0E,31,3,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC051.DAT,0x46F74,29,4,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC051.DAT,0x46FD8,21,5,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC051.DAT,0x47034,24,6,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC061.DAT,0x46DE6,28,5,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC061.DAT,0x46E48,28,6,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC061.DAT,0x46EAA,29,7,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC061.DAT,0x46F0E,31,8,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC061.DAT,0x46F74,29,9,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC061.DAT,0x46FD8,21,10,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC061.DAT,0x47034,24,11,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC081.DAT,0x46DE6,28,7,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC081.DAT,0x46E48,28,8,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC081.DAT,0x46EAA,27,15,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC081.DAT,0x46F0C,30,16,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC081.DAT,0x46F70,29,9,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC081.DAT,0x46FD4,21,10,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC081.DAT,0x47030,21,11,13,14,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC091.DAT,0x46DE6,24,0,6,7,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC091.DAT,0x46E44,23,1,6,7,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC091.DAT,0x46EA2,27,8,6,7,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC091.DAT,0x46F04,24,2,6,7,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC091.DAT,0x46F62,23,9,6,7,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC091.DAT,0x46FC0,21,3,6,7,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC091.DAT,0x4701C,29,4,6,7,17,6,8,전투를 시작할까?,싸운다,돌아간다
C2/SC0A1.DAT,0x46DE6,28,0,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C2/SC0A1.DAT,0x46E48,22,1,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C2/SC0A1.DAT,0x46EA4,21,2,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C2/SC0A1.DAT,0x46F00,31,3,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C2/SC0A1.DAT,0x46F66,29,4,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C2/SC0A1.DAT,0x46FCA,21,5,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C2/SC0A1.DAT,0x47026,24,6,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
