category,pointer_offset,korean,target,expected_hex,actual_hex,status
system,0x82360,다음 대상을 선택합니다,0x81DC9,E0 C1 DF F8 9C E0 36 E0 56 E0 A3 9C E0 58 E0 B6 E0 86 E0 35 E0 C1,E0 C1 DF F8 9C E0 36 E0 56 E0 A3 9C E0 58 E0 B6 E0 86 E0 35 E0 C1,exact
system,0x82364,결정하면 주변에 스킬을 사용합니다,0x8224C,DF 86 E0 EB E0 C4 E0 4C 9C E0 CF DE 3C E0 9F 9C E0 39 DF 88 E0 A3 9C E0 A5 E0 67 E0 86 E0 35 E0 C1,DF 86 E0 EB E0 C4 E0 4C 9C E0 CF DE 3C E0 9F 9C E0 39 DF 88 E0 A3 9C E0 A5 E0 67 E0 86 E0 35 E0 C1,exact
system,0x82368,결정하면 보는 방향에 스킬을 사용합니다,0x78100,DF 86 E0 EB E0 C4 E0 4C 9C E0 93 E0 C2 9C E0 0F DE F8 E0 9F 9C E0 39 DF 88 E0 A3 9C E0 A5 E0 67 E0 86 E0 35 E0 C1,DF 86 E0 EB E0 C4 E0 4C 9C E0 93 E0 C2 9C E0 0F DE F8 E0 9F 9C E0 39 DF 88 E0 A3 9C E0 A5 E0 67 E0 86 E0 35 E0 C1,exact
system,0x8236C,비어 있는 곳을 선택하세요,0x81D97,E0 53 E0 A0 9C E0 CA E0 C2 9C E0 7B E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,E0 53 E0 A0 9C E0 CA E0 C2 9C E0 7B E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,exact
system,0x82370,결정하면 스킬을 사용합니다,0x822FE,DF 86 E0 EB E0 C4 E0 4C 9C E0 39 DF 88 E0 A3 9C E0 A5 E0 67 E0 86 E0 35 E0 C1,DF 86 E0 EB E0 C4 E0 4C 9C E0 39 DF 88 E0 A3 9C E0 A5 E0 67 E0 86 E0 35 E0 C1,exact
system,0x82374,인물을 선택하세요,0x81E1D,E0 6A E0 4F E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,E0 6A E0 4F E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,exact
system,0x82378,결정하면 전투를 시작합니다,0x82319,DF 86 E0 EB E0 C4 E0 4C 9C E0 CC E0 EF E0 AB 9C E0 61 E0 92 E0 86 E0 35 E0 C1,DF 86 E0 EB E0 C4 E0 4C 9C E0 CC E0 EF E0 AB 9C E0 61 E0 92 E0 86 E0 35 E0 C1,exact
system,0x82AC0,예      아니요,0x81F58,DF 1A 9C 9C 9C 9C 9C 9C E0 9C E0 35 E0 66,DF 1A 9C 9C 9C 9C 9C 9C E0 9C E0 35 E0 66,exact
system,0x81EE8,스메리아,0x820AC,E0 39 E0 8F E0 98 E0 9C,E0 39 E0 8F E0 98 E0 9C,exact
system,0x81EEC,밀마나,0x781B1,E0 51 E0 9E E0 99,E0 51 E0 9E E0 99,exact
system,0x81EF0,그레이시누,0x82008,E0 29 DF D2 E0 BD E0 61 E0 34,E0 29 DF D2 E0 BD E0 61 E0 34,exact
system,0x81EF4,아라라토스,0x82013,E0 9C E0 A6 E0 A6 E0 7E E0 39,E0 9C E0 A6 E0 A6 E0 7E E0 39,exact
system,0x81EFC,카델,0x82AB9,DF E9 DF 68,DF E9 DF 68,exact
system,0x81F00,지크라프섬,0x8201E,E0 A2 E0 9D E0 A6 DF 9F DF 2D,E0 A2 E0 9D E0 A6 DF 9F DF 2D,exact
system,0x80F1C,LV 1 상승,0x80BDD,E9 44 EA 43 9C 12 9C E9 85 E9 92,E9 44 EA 43 9C 12 9C E9 85 E9 92,v42_table_authoritative_exact
nonstory_system,0x823A4,승리!,0x8271E,E0 FF E0 98 DF E3,E0 FF E0 98 DF E3,exact
nonstory_system,0x823A8,게임 오버,0x826A4,E0 14 DF F6 9C E0 62 DF BB,E0 14 DF F6 9C E0 62 DF BB,exact
nonstory_system,0x823D8,돌 상태,0x826EC,E0 D5 9C E0 56 DF 08,E0 D5 9C E0 56 DF 08,exact
nonstory_system,0x823DC,마비,0x8275C,E0 9E E0 53,E0 9E E0 53,exact
nonstory_system,0x823E0,수면,0x82743,DF B7 E0 4C,DF B7 E0 4C,exact
nonstory_system,0x82444,데이터 저장 불러오기,0x823F9,E0 31 E0 BD DF E8 9C E0 CB E0 E1 9C E0 0A E0 25 E0 62 E0 AC,E0 31 E0 BD DF E8 9C E0 CB E0 E1 9C E0 0A E0 25 E0 62 E0 AC,exact
nonstory_system,0x82448,데이터 저장,0x824A0,E0 31 E0 BD DF E8 9C E0 CB E0 E1,E0 31 E0 BD DF E8 9C E0 CB E0 E1,exact
nonstory_system,0x8244C,데이터 불러오기,0x82432,E0 31 E0 BD DF E8 9C E0 0A E0 25 E0 62 E0 AC,E0 31 E0 BD DF E8 9C E0 0A E0 25 E0 62 E0 AC,exact
nonstory_system,0x82450,카드를 선택하세요,0x82420,DF E9 DF 41 E0 AB 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,DF E9 DF 41 E0 AB 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,exact
nonstory_system,0x82454,카드 1,0x82702,DF E9 DF 41 9C 12,DF E9 DF 41 9C 12,exact
nonstory_system,0x82458,카드 2,0x82511,DF E9 DF 41 9C 13,DF E9 DF 41 9C 13,exact
nonstory_system,0x8245C,파일을 선택하세요,0x8240E,DF A0 E0 6B E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,DF A0 E0 6B E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,exact
nonstory_system,0x82460,메모리 카드가 없습니다,0x823C0,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 C0 9C E0 F1 E0 5F E0 35 E0 C1,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 C0 9C E0 F1 E0 5F E0 35 E0 C1,exact
nonstory_system,0x82474,를 손에 넣었습니다.,0x823E4,E0 AB 9C E0 5D E0 9F 9C E0 33 DF FD E0 5F E0 35 E0 C1 E0 60,E0 AB 9C E0 5D E0 9F 9C E0 33 DF FD E0 5F E0 35 E0 C1 E0 60,exact
nonstory_system,0x82498,스테이지에서 얻은 경험치,0x8237C,E0 39 DF 07 E0 BD E0 A2 E0 9F E0 57 9C E0 B1 E0 BF 9C E0 89 E0 E8 E0 B0,E0 39 DF 07 E0 BD E0 A2 E0 9F E0 57 9C E0 B1 E0 BF 9C E0 89 E0 E8 E0 B0,exact
nonstory_system,0x8249C,격파한 적 수,0x8255C,E0 40 DF A0 E0 84 9C DF F2 9C DF B7,E0 40 DF A0 E0 84 9C DF F2 9C DF B7,exact
nonstory_system,0x82518,LV 상승!!,0x825BD,6C 9C E0 56 E0 FF DF E3 DF E3,6C 9C E0 56 E0 FF DF E3 DF E3,exact
nonstory_system,0x8251C,최대 체력이,0x825A5,DF A4 E0 36 9C E0 90 E0 8C E0 BD,DF A4 E0 36 9C E0 90 E0 8C E0 BD,exact
nonstory_system,0x82520,최대 마력이,0x824C4,DF A4 E0 36 9C E0 9E E0 8C E0 BD,DF A4 E0 36 9C E0 9E E0 8C E0 BD,exact
nonstory_system,0x82524,공격력이,0x826C0,E0 C6 E0 40 E0 8C E0 BD,E0 C6 E0 40 E0 8C E0 BD,exact
nonstory_system,0x82528,방어력이,0x826AE,E0 0F E0 A0 E0 8C E0 BD,E0 0F E0 A0 E0 8C E0 BD,exact
nonstory_system,0x8252C,마력이,0x826FB,E0 9E E0 8C E0 BD,E0 9E E0 8C E0 BD,exact
nonstory_system,0x82530,민첩성이,0x826C9,DF BE DF EC E0 5A E0 BD,DF BE DF EC E0 5A E0 BD,exact
nonstory_system,0x82538,상승,0x82734,E0 56 E0 FF,E0 56 E0 FF,exact
nonstory_system,0x8253C,점프,0x8274D,DE D2 DF 9F,DE D2 DF 9F,exact
nonstory_system,0x82540,던지기,0x826F4,DF 69 E0 A2 E0 AC,DF 69 E0 A2 E0 AC,exact
nonstory_system,0x82544,받기,0x8272A,E0 10 E0 AC,E0 10 E0 AC,exact
nonstory_system,0x82548,반격,0x82725,E0 8A E0 40,E0 8A E0 40,exact
nonstory_system,0x8254C,LV 상승,0x82717,6C 9C E0 56 E0 FF,6C 9C E0 56 E0 FF,exact
nonstory_system,0x82554,를 배웠다.,0x824B8,E0 AB 9C DF BD DE D6 E0 C1 E0 60,E0 AB 9C DF BD DE D6 E0 C1 E0 60,exact
nonstory_system,0x825C8,사운드 출력,0x824D0,E0 A5 DF FA DF 41 9C E0 FC E0 8C,E0 A5 DF FA DF 41 9C E0 FC E0 8C,exact
nonstory_system,0x825CC,대각선 입력,0x82575,E0 36 E0 43 E0 58 9C E0 C9 E0 8C,E0 36 E0 43 E0 58 9C E0 C9 E0 8C,exact
nonstory_system,0x825D0,돌아가기 확인,0x82395,E0 D5 E0 9C E0 C0 E0 AC 9C DE C8 E0 6A,E0 D5 E0 9C E0 C0 E0 AC 9C DE C8 E0 6A,exact
nonstory_system,0x825D4,도움말 보기,0x82581,E0 A7 DF 17 E0 BE 9C E0 93 E0 AC,E0 A7 DF 17 E0 BE 9C E0 93 E0 AC,exact
nonstory_system,0x825D8,몬스터 도감,0x81FF1,E9 61 E9 90 E9 F3 9C E9 36 E9 04,E9 61 E9 90 E9 F3 9C E9 36 E9 04,exact
nonstory_system,0x825DC,스테레오,0x826B7,E0 39 DF 07 DF D2 E0 62,E0 39 DF 07 DF D2 E0 62,exact
nonstory_system,0x825E0,모노,0x8273E,E0 11 E0 3C,E0 11 E0 3C,exact
nonstory_system,0x825E4,일반,0x82492,E0 6B E0 8A,E0 6B E0 8A,exact
nonstory_system,0x825E8,사용,0x82748,E0 A5 E0 67,E0 A5 E0 67,exact
nonstory_system,0x825EC,사용 안 함,0x824E8,E0 A5 E0 67 9C E0 E9 9C E0 85,E0 A5 E0 67 9C E0 E9 9C E0 85,exact
nonstory_system,0x8262C,대전 성적,0x82640,E0 36 E0 CC 9C E0 5A DF F2,E0 36 E0 CC 9C E0 5A DF F2,exact
nonstory_system,0x82638,기량,0x82761,E0 AC 40,E0 AC 40,exact
nonstory_system,0x8293C,마비 공격,0x82668,E0 9E E0 53 9C E0 C6 E0 40,E0 9E E0 53 9C E0 C6 E0 40,exact
nonstory_system,0x82940,머리 던지기,0x82468,DF 7C E0 98 9C DF 69 E0 A2 E0 AC,DF 7C E0 98 9C DF 69 E0 A2 E0 AC,exact
nonstory_system,0x82944,사일런트,0x820D0,E0 A5 E0 6B E0 BC E0 82,E0 A5 E0 6B E0 BC E0 82,exact
nonstory_system,0x82948,해로운 공격,0x8258D,E0 88 E0 D6 DF FA 9C E0 C6 E0 40,E0 88 E0 D6 DF FA 9C E0 C6 E0 40,exact
nonstory_system,0x8294C,분열,0x8272F,E0 91 E0 B2,E0 91 E0 B2,exact
nonstory_system,0x82950,폭발 수리검,0x824AC,DE CB E0 FA 9C DF B7 E0 98 DE F3,DE CB E0 FA 9C DF B7 E0 98 DE F3,exact
nonstory_system,0x82954,자폭,0x82113,E0 E0 DE CB,E0 E0 DE CB,exact
nonstory_system,0x82958,드림 노크,0x82049,DF 41 DF 3A 9C E0 3C E0 9D,DF 41 DF 3A 9C E0 3C E0 9D,exact
nonstory_system,0x8295C,대폭발,0x820F6,E0 36 DE CB E0 FA,E0 36 DE CB E0 FA,exact
nonstory_system,0x82960,바람 검,0x820D9,DF 6E E0 BA 9C DE F3,DF 6E E0 BA 9C DE F3,exact
nonstory_system,0x82964,전기 폭풍,0x82099,E0 CC E0 AC 9C DE CB DE C9,E0 CC E0 AC 9C DE CB DE C9,exact
nonstory_system,0x82968,다이아몬드 더스트,0x82618,E0 C1 E0 BD E0 9C DF 37 DF 41 9C DF D5 E0 39 E0 82,E0 C1 E0 BD E0 9C DF 37 DF 41 9C DF D5 E0 39 E0 82,exact
nonstory_system,0x8296C,해로운 기운 제거,0x81F16,E0 88 E0 D6 DF FA 9C E0 AC DF FA 9C E0 AA DF 87,E0 88 E0 D6 DF FA 9C E0 AC DF FA 9C E0 AA DF 87,exact
nonstory_system,0x82970,하늘의 심판,0x81FE5,E0 C4 DF D7 E0 9B 9C DF 25 DF 05,E0 C4 DF D7 E0 9B 9C DF 25 DF 05,exact
nonstory_system,0x82974,부활,0x82109,E0 0B E0 80,E0 0B E0 80,exact
nonstory_system,0x82978,디바이드,0x820C7,E0 A1 DF 6E E0 BD DF 41,E0 A1 DF 6E E0 BD DF 41,exact
nonstory_system,0x8297C,내려치기,0x826DB,DF 97 E0 15 E0 B0 E0 AC,DF 97 E0 15 E0 B0 E0 AC,exact
nonstory_system,0x82980,회복,0x82104,DE C7 DF 33,DE C7 DF 33,exact
nonstory_system,0x82984,감싸기,0x82710,E0 01 E0 FB E0 AC,E0 01 E0 FB E0 AC,exact
nonstory_system,0x82988,해로운 기운,0x825B1,E0 88 E0 D6 DF FA 9C E0 AC DF FA,E0 88 E0 D6 DF FA 9C E0 AC DF FA,exact
nonstory_system,0x8298C,피 빨기,0x826E4,DF 82 9C DF 2F E0 AC,DF 82 9C DF 2F E0 AC,exact
nonstory_system,0x82990,초음파,0x82709,DF EB DF F8 DF A0,DF EB DF F8 DF A0,exact
nonstory_system,0x82994,돌 상태,0x826EC,E0 D5 9C E0 56 DF 08,E0 D5 9C E0 56 DF 08,exact
nonstory_system,0x82998,주위 공격,0x8264A,E0 CF E0 69 9C E0 C6 E0 40,E0 CF E0 69 9C E0 C6 E0 40,exact
nonstory_system,0x829A0,강타,0x82752,E0 F2 E0 7D,E0 F2 E0 7D,exact
nonstory_system,0x829A4,꽃가루 공격,0x824DC,DF 99 E0 C0 E0 44 9C E0 C6 E0 40,DF 99 E0 C0 E0 44 9C E0 C6 E0 40,exact
nonstory_system,0x829A8,씨 날리기,0x824FD,DF 21 9C DF 98 E0 98 E0 AC,DF 21 9C DF 98 E0 98 E0 AC,exact
nonstory_system,0x829AC,검은 전기,0x8265E,DE F3 E0 BF 9C E0 CC E0 AC,DE F3 E0 BF 9C E0 CC E0 AC,exact
nonstory_system,0x829B0,지옥의 계단,0x82569,E0 A2 DF 19 E0 9B 9C E0 9A E0 37,E0 A2 DF 19 E0 9B 9C E0 9A E0 37,exact
nonstory_system,0x829B4,죽음의 문,0x82507,DF 13 DF F8 E0 9B 9C DF 7B,DF 13 DF F8 E0 9B 9C DF 7B,exact
nonstory_system,0x829B8,합체,0x82739,E0 86 E0 90,E0 86 E0 90,exact
nonstory_system,0x829BC,시야 차단,0x82654,E0 61 E0 DA 9C E0 96 E0 37,E0 61 E0 DA 9C E0 96 E0 37,exact
nonstory_system,0x829C0,인형 난무,0x82690,E0 6A E0 8D 9C E0 3D E0 E7,E0 6A E0 8D 9C E0 3D E0 E7,exact
nonstory_system,0x829C4,헤모지,0x820EF,DF 9D E0 11 E0 A2,DF 9D E0 11 E0 A2,exact
nonstory_system,0x829C8,전기 파동,0x82672,E0 CC E0 AC 9C DF A0 E0 94,E0 CC E0 AC 9C DF A0 E0 94,exact
nonstory_system,0x829CC,불꽃 파동,0x82686,E0 0A DF 99 9C DF A0 E0 94,E0 0A DF 99 9C DF A0 E0 94,exact
nonstory_system,0x829D0,황천 비행,0x8267C,DE FC DF 8C 9C E0 53 E0 8B,DE FC DF 8C 9C E0 53 E0 8B,exact
nonstory_system,0x829D4,마법 봉인,0x824F3,E0 9E E0 B3 9C DF 93 E0 6A,E0 9E E0 B3 9C DF 93 E0 6A,exact
nonstory_system,0x829D8,죽음 회복,0x8269A,DF 13 DF F8 9C DE C7 DF 33,DF 13 DF F8 9C DE C7 DF 33,exact
nonstory_system,0x829DC,더스트 문양,0x82599,DF D5 E0 39 E0 82 9C DF 7B DD CF,DF D5 E0 39 E0 82 9C DF 7B DD CF,exact
nonstory_system,0x829E0,물기,0x82757,E0 4F E0 AC,E0 4F E0 AC,exact
nonstory_system,0x829E4,번 그라운드,0x81F9D,DE E5 9C E0 29 E0 A6 DF FA DF 41,DE E5 9C E0 29 E0 A6 DF FA DF 41,exact
nonstory_system,0x829E8,전체 회복,0x8208F,E0 CC E0 90 9C DE C7 DF 33,E0 CC E0 90 9C DE C7 DF 33,exact
nonstory_system,0x829EC,게일 플래시,0x81FB5,E0 14 E0 6B 9C DF 9E E0 BB E0 61,E0 14 E0 6B 9C DF 9E E0 BB E0 61,exact
nonstory_system,0x829F0,슬로우 에너미,0x81F67,DF B6 E0 D6 E0 68 9C E0 9F E0 32 E0 50,DF B6 E0 D6 E0 68 9C E0 9F E0 32 E0 50,exact
nonstory_system,0x829F4,별 내리기,0x8203F,DE E2 9C DF 97 E0 98 E0 AC,DE E2 9C DF 97 E0 98 E0 AC,exact
nonstory_system,0x829F8,회복,0x82104,DE C7 DF 33,DE C7 DF 33,exact
nonstory_system,0x829FC,해로운 기운 제거,0x81F16,E0 88 E0 D6 DF FA 9C E0 AC DF FA 9C E0 AA DF 87,E0 88 E0 D6 DF FA 9C E0 AC DF FA 9C E0 AA DF 87,exact
nonstory_system,0x82A00,사일런트,0x820D0,E0 A5 E0 6B E0 BC E0 82,E0 A5 E0 6B E0 BC E0 82,exact
nonstory_system,0x82A04,리프레시,0x820BE,E0 98 DF 9F DF D2 E0 61,E0 98 DF 9F DF D2 E0 61,exact
nonstory_system,0x82A08,하늘의 심판,0x81FE5,E0 C4 DF D7 E0 9B 9C DF 25 DF 05,E0 C4 DF D7 E0 9B 9C DF 25 DF 05,exact
nonstory_system,0x82A0C,부활,0x82109,E0 0B E0 80,E0 0B E0 80,exact
nonstory_system,0x82A10,디바이드,0x820C7,E0 A1 DF 6E E0 BD DF 41,E0 A1 DF 6E E0 BD DF 41,exact
nonstory_system,0x82A14,토슈 비기,0x82067,E0 7E DE DD 9C E0 53 E0 AC,E0 7E DE DD 9C E0 53 E0 AC,exact
nonstory_system,0x82A18,봉인검,0x820E8,DF 93 E0 6A DE F3,DF 93 E0 6A DE F3,exact
nonstory_system,0x82A1C,진공검,0x820E1,DF 10 E0 C6 DE F3,DF 10 E0 C6 DE F3,exact
nonstory_system,0x82A20,그림자검,0x820A3,E0 29 DF 3A E0 E0 DE F3,E0 29 DF 3A E0 E0 DE F3,exact
nonstory_system,0x82A24,전투 큰 북,0x82029,E0 CC E0 EF 9C DF 0A 9C DF 31,E0 CC E0 EF 9C DF 0A 9C DF 31,exact
nonstory_system,0x82A28,황사자태고,0x81FFD,DE FC E0 A5 E0 E0 DF 08 E0 7F,DE FC E0 A5 E0 E0 DF 08 E0 7F,exact
nonstory_system,0x82A2C,기합 나팔,0x8207B,E0 AC E0 86 9C E0 99 DF 8B,E0 AC E0 86 9C E0 99 DF 8B,exact
nonstory_system,0x82A30,비틀비틀 나팔,0x81F83,E0 53 DF 06 E0 53 DF 06 9C E0 99 DF 8B,E0 53 DF 06 E0 53 DF 06 9C E0 99 DF 8B,exact
nonstory_system,0x82A34,치유의 하프,0x81FCD,E0 B0 E0 AD E0 9B 9C E0 C4 DF 9F,E0 B0 E0 AD E0 9B 9C E0 C4 DF 9F,exact
nonstory_system,0x82A38,느림의 연주,0x81FC1,E0 3A DF 3A E0 9B 9C DF 1C E0 CF,E0 3A DF 3A E0 9B 9C DF 1C E0 CF,exact
nonstory_system,0x82A3C,위타천 오카리나,0x81F48,E0 69 E0 7D DF 8C 9C E0 62 DF E9 E0 98 E0 99,E0 69 E0 7D DF 8C 9C E0 62 DF E9 E0 98 E0 99,exact
nonstory_system,0x82A40,방향잡이 피리,0x81F75,E0 0F DE F8 DF F4 E0 BD 9C DF 82 E0 98,E0 0F DE F8 DF F4 E0 BD 9C DF 82 E0 98,exact
