status,owner_type,owner,file_offset,intended_char,old_hex,old_current_char,new_hex,reason
repair,story,21/S2041.DAT 0x48160,0x45109,법,E0 B3,,DF 87,superseded glyph address
repair,story,21/S2041.DAT 0x48160,0x4510D,몰,E0 ED,,E1 D4,superseded glyph address
repair,story,21/S2041.DAT 0x48160,0x4510F,라,E0 A6,,DE 74,superseded glyph address
repair,story,31/S3012.DAT 0x47FF0,0x45001,언,E0 AE,,DF 78,superseded glyph address
repair,story,31/S3012.DAT 0x47FF0,0x4500B,이,E0 BD,,DE 3C,superseded glyph address
repair,story,31/S3012.DAT 0x47FF0,0x45012,이,E0 BD,,DE 3C,superseded glyph address
repair,story,31/S3012.DAT 0x4811E,0x45101,슨,E0 EA,,E1 C0,superseded glyph address
repair,story,31/S3012.DAT 0x4811E,0x45104,싸,E0 FB,,DE AD,superseded glyph address
repair,story,31/S3012.DAT 0x4811E,0x4510B,이,E0 BD,,DE 3C,superseded glyph address
repair,story,31/S3012.DAT 0x4811E,0x45181,떻,E0 B9,,DF B4,superseded glyph address
repair,story,31/S3012.DAT 0x4811E,0x45188,강,E0 F2,,DF 5F,superseded glyph address
repair,story,31/S3013.DAT 0x47FF6,0x45701,론,DF D1,,E1 C7,superseded glyph address
repair,story,31/S3013.DAT 0x47FF6,0x45703,이,E0 BD,,DE 3C,superseded glyph address
repair,story,31/S3022.DAT 0x48822,0x45081,발,E0 FA,,DE A5,superseded glyph address
repair,story,31/S3022.DAT 0x48822,0x45101,발,E0 FA,,DE A5,superseded glyph address
repair,story,7/S7021.DAT 0x48EA4,0x45004,루,E0 44,,DF B2,superseded glyph address
repair,story,7/S7021.DAT 0x48EA4,0x45305,이,E0 BD,,DE 3C,superseded glyph address
repair,story,7/S7021.DAT 0x4908E,0x45185,이,E0 BD,,DE 3C,superseded glyph address
repair,story,7/S7021.DAT 0x4921C,0x45205,이,E0 BD,,DE 3C,superseded glyph address
repair,story,7/S7021.DAT 0x4921C,0x45283,로,E0 D6,,DE 70,superseded glyph address
repair,story,7/S7028.DAT 0x482EE,0x45104,루,E0 44,,DF B2,superseded glyph address
repair,story,7/S7028.DAT 0x482EE,0x45185,이,E0 BD,,DE 3C,superseded glyph address
repair,story,7/S7028.DAT 0x484D8,0x45285,이,E0 BD,,DE 3C,superseded glyph address
repair,story,7/S7028.DAT 0x48666,0x45305,이,E0 BD,,DE 3C,superseded glyph address
repair,story,7/S7028.DAT 0x48666,0x45383,로,E0 D6,,DE 70,superseded glyph address
repair,story,8/S8013.DAT 0x47996,0x45105,이,E0 BD,,DE 3C,superseded glyph address
repair,story,8/S8013.DAT 0x47A84,0x45204,치,E0 B0,,DF 1A,superseded glyph address
repair,story,8/S8013.DAT 0x47A84,0x45207,설,E0 59,,E9 81,superseded glyph address
repair,story,8/S8013.DAT 0x47A84,0x45285,이,E0 BD,,DE 3C,superseded glyph address
repair,story,8/S8013.DAT 0x47AFC,0x45385,이,E0 BD,,DE 3C,superseded glyph address
repair,story,C1/SC011.DAT 0x46EAA,0x45301,론,DF D1,,E1 C7,superseded glyph address
repair,story,C1/SC011.DAT 0x46F74,0x45600,괜,E0 3F,,DF 85,superseded glyph address
repair,story,C1/SC011.DAT 0x47034,0x45880,싸,E0 FB,,DE AD,superseded glyph address
repair,story,C1/SC021.DAT 0x46EAA,0x45301,론,DF D1,,E1 C7,superseded glyph address
repair,story,C1/SC021.DAT 0x46F74,0x45600,괜,E0 3F,,DF 85,superseded glyph address
repair,story,C1/SC021.DAT 0x47034,0x45880,싸,E0 FB,,DE AD,superseded glyph address
repair,story,C1/SC031.DAT 0x46EAA,0x45301,론,DF D1,,E1 C7,superseded glyph address
repair,story,C1/SC031.DAT 0x46F74,0x45600,괜,E0 3F,,DF 85,superseded glyph address
repair,story,C1/SC031.DAT 0x47034,0x45880,싸,E0 FB,,DE AD,superseded glyph address
repair,story,C1/SC051.DAT 0x46EAA,0x45301,론,DF D1,,E1 C7,superseded glyph address
repair,story,C1/SC051.DAT 0x46F74,0x45600,괜,E0 3F,,DF 85,superseded glyph address
repair,story,C1/SC051.DAT 0x47034,0x45880,싸,E0 FB,,DE AD,superseded glyph address
repair,story,C1/SC061.DAT 0x46EAA,0x45581,론,DF D1,,E1 C7,superseded glyph address
repair,story,C1/SC061.DAT 0x46F74,0x45880,괜,E0 3F,,DF 85,superseded glyph address
repair,story,C1/SC061.DAT 0x47034,0x45B00,싸,E0 FB,,DE AD,superseded glyph address
repair,story,C1/SC081.DAT 0x46F70,0x45680,괜,E0 3F,,DF 85,superseded glyph address
repair,story,C1/SC081.DAT 0x47030,0x45800,간,E0 F7,,DE C5,superseded glyph address
repair,story,C2/SC0A1.DAT 0x46F66,0x45580,괜,E0 3F,,DF 85,superseded glyph address
repair,story,C2/SC0A1.DAT 0x47026,0x45780,싸,E0 FB,,DE AD,superseded glyph address
repair,ui,ui_full_v42 pointer=0x80524,0x80399,거,E9 07,데,E9 0C,superseded glyph address
repair,ui,ui_full_v42 pointer=0x80580,0x8047C,거,E9 07,데,E9 0C,superseded glyph address
repair,ui,ui_full_v42 pointer=0x80AF4,0x8076D,M,EA 98,<VIRTUAL:405>,DE 4F,superseded glyph address
repair,ui,ui_full_v42 pointer=0x80AF4,0x8076F,P,EA 99,,DD 90,superseded glyph address
repair,ui,ui_full_v42 pointer=0x80B8C,0x809B0,M,EA 98,<VIRTUAL:405>,DE 4F,superseded glyph address
repair,ui,ui_full_v42 pointer=0x80B8C,0x809B2,P,EA 99,,DD 90,superseded glyph address
repair,ui,ui_full_v42 pointer=0x8176C,0x812E4,거,E9 07,데,E9 0C,superseded glyph address
