index,code_hex,row,col,plane,original_uses,current_owner_uses,cell_classification,cell_runtime_nontext_states
625,DE 97,7,9,1,3,0,candidate_font_only_unbounded_consumers,
627,DE 99,7,9,3,3,0,candidate_font_only_unbounded_consumers,
632,DE 9E,7,11,0,8,0,candidate_font_only_unbounded_consumers,
633,DE 9F,7,11,1,3,0,candidate_font_only_unbounded_consumers,
635,DE A1,7,11,3,3,0,candidate_font_only_unbounded_consumers,
643,DE A9,7,13,3,7,0,candidate_font_only_unbounded_consumers,
644,DE AA,7,14,0,3,0,candidate_font_only_unbounded_consumers,
645,DE AB,7,14,1,2,0,candidate_font_only_unbounded_consumers,
646,DE AC,7,14,2,7,0,candidate_font_only_unbounded_consumers,
648,DE AE,7,15,0,3,0,candidate_font_only_unbounded_consumers,
649,DE AF,7,15,1,4,0,candidate_font_only_unbounded_consumers,
661,DE BB,7,18,1,2,0,candidate_font_only_unbounded_consumers,
662,DE BC,7,18,2,2,0,candidate_font_only_unbounded_consumers,
663,DE BD,7,18,3,3,0,candidate_font_only_unbounded_consumers,
668,DE C2,7,20,0,2,0,candidate_font_only_unbounded_consumers,
669,DE C3,7,20,1,3,0,candidate_font_only_unbounded_consumers,
670,DE C4,7,20,2,2,0,candidate_font_only_unbounded_consumers,
680,DE CE,8,2,0,3,0,candidate_font_only_unbounded_consumers,
681,DE CF,8,2,1,2,0,candidate_font_only_unbounded_consumers,
682,DE D0,8,2,2,2,0,candidate_font_only_unbounded_consumers,
683,DE D1,8,2,3,2,0,candidate_font_only_unbounded_consumers,
685,DE D3,8,3,1,2,0,candidate_font_only_unbounded_consumers,
700,DE E2,8,7,0,2,0,candidate_font_only_unbounded_consumers,
701,DE E3,8,7,1,2,0,candidate_font_only_unbounded_consumers,
702,DE E4,8,7,2,2,0,candidate_font_only_unbounded_consumers,
703,DE E5,8,7,3,1,0,candidate_font_only_unbounded_consumers,
729,DF 00,8,14,1,1,0,insufficient_partial_font_evidence,
768,DF 27,9,3,0,70,0,candidate_font_only_unbounded_consumers,
788,DF 3B,9,8,0,2,0,candidate_font_only_unbounded_consumers,
803,DF 4A,9,11,3,25,0,candidate_font_only_unbounded_consumers,
