physical_index,char,unicode,sources,v240_piece_indices,official_piece_indices,pixel_hamming,changed,before_bitmap_sha256,after_bitmap_sha256
24,하,U+D558,V319 atlas identity; V320 assignment,19/161/-1,19/183/-1,0,0,0FDC927E27D9A0D278FA0BB0AB472C0B8B205B5080C9AC1D3FBE3C6EFE27B6FC,0FDC927E27D9A0D278FA0BB0AB472C0B8B205B5080C9AC1D3FBE3C6EFE27B6FC
25,여,U+C5EC,V319 atlas identity; V320 assignment,12/167/-1,12/189/-1,0,0,C19BF2C5FE50B88DCE35BD1FF7DC06EB237F9782906FB3EA7881E851A532004F,C19BF2C5FE50B88DCE35BD1FF7DC06EB237F9782906FB3EA7881E851A532004F
26,말,U+B9D0,V319 atlas identity; V320 assignment,87/205/256,107/227/256,16,1,1356D96D4EE6CDF7D85379D0C5FB72C88B15863CBB4C2A474D5096FFFAB78546,83839553B1838ADF0B15AC1E634BB9C32884275591E2258E0604A24ED27E39C8
27,고,U+ACE0,V319 atlas identity; V320 assignment,21/191/-1,21/169/-1,0,0,63D8171286B3D4EB664DA0C4688254FDE46979FD533D2D693710A2482699285D,63D8171286B3D4EB664DA0C4688254FDE46979FD533D2D693710A2482699285D
28,관,U+AD00,V319 atlas identity,141/236/336,141/214/252,19,1,F9DD53D7977D2F353376A6A5183E5031BBDD4505CC946560DFF43AA348B45EA9,8594A342DEEE47E612F211159F27A0E71FE387421CF80092258B5257FEC98002
29,나,U+B098,V319 atlas identity; V320 assignment,3/161/-1,3/183/-1,0,0,DB3057AB4E7F4AA135ABFC49EE792538D33555CD5B2108F28554BE8981C5E8A1,DB3057AB4E7F4AA135ABFC49EE792538D33555CD5B2108F28554BE8981C5E8A1
30,있,U+C788,V319 atlas identity; V320 assignment,92/225/268,112/247/296,22,1,8D342E3E92C80DEC58CFF8F58BC2034743CA76FA98EB5E3916C1BD9BDF48FA4C,7A0E32924F291DB193439A1C79130BA7EF7B1BA711011523C019A92751D8B18E
31,러,U+B7EC,V319 atlas identity; V320 assignment,6/165/-1,6/187/-1,0,0,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431
35,기,U+AE30,V319 atlas identity; V320 assignment,1/203/-1,1/181/-1,0,0,2C60A655E9FE10681B6EDA4EDC3815745AAA7854B03BAC763B2913DF21DE5CD0,2C60A655E9FE10681B6EDA4EDC3815745AAA7854B03BAC763B2913DF21DE5CD0
36,서,U+C11C,V319 atlas identity; V320 assignment,10/165/-1,10/187/-1,0,0,0471D91EF2B39F200DD14A9C0165BE54E8B277E19999204084E6D83E3EE3DA08,0471D91EF2B39F200DD14A9C0165BE54E8B277E19999204084E6D83E3EE3DA08
37,은,U+C740,V319 atlas identity; V320 assignment,112/223/280,132/245/336,59,1,8D081425FBFE3F1B685FC809BC6D03329AFF7F65B1A46BE40EB21F108B7BFDD6,07DDA7F8BDFCEBAE7229B95F8CE7C271B30EDB66F55074F7F7110184AD366EBD
39,자,U+C790,V319 atlas identity; V320 assignment,13/161/-1,13/183/-1,0,0,DAA08D23F82B6ED19D5CB48DBBAE459FA3EF85438E27C0707C07BD492F10B9C3,DAA08D23F82B6ED19D5CB48DBBAE459FA3EF85438E27C0707C07BD492F10B9C3
40,시,U+C2DC,V319 atlas identity; V320 assignment,10/181/-1,10/203/-1,0,0,F571A0D4368752B0215C652D1EEA7AF24751A757A2D923F03A1B02313DC0B272,F571A0D4368752B0215C652D1EEA7AF24751A757A2D923F03A1B02313DC0B272
42,해,U+D574,V319 atlas identity; V320 assignment,19/162/-1,19/184/-1,0,0,7B7603AEC5C7EE8D0DC0FB641393912A038A4B6510CBE4D76EAFB213C256053A,7B7603AEC5C7EE8D0DC0FB641393912A038A4B6510CBE4D76EAFB213C256053A
43,요,U+C694,V319 atlas identity; V320 assignment,32/173/-1,32/195/-1,0,0,58EBD70D7FE2A6D0C58EAE1CCED422E60845B976EC216CE2AE3FA56C152226D9,58EBD70D7FE2A6D0C58EAE1CCED422E60845B976EC216CE2AE3FA56C152226D9
44,습,U+C2B5,V319 atlas identity; V320 assignment,110/223/293,130/245/349,53,1,F87936D7F71EAF1D8325CD9C217BBC8E36CC43A7CC28CEEAA37B2CDF36B3C314,6B16D0728AA58887B8FF738D827E2E920CB81C3B6099B39CB5B16733DC1231E7
45,리,U+B9AC,V319 atlas identity; V320 assignment,6/181/-1,6/203/-1,0,0,8639B9284F84803B46605E137AB58245A1E7F4554A21D8FB5548693D6697C335,8639B9284F84803B46605E137AB58245A1E7F4554A21D8FB5548693D6697C335
47,스,U+C2A4,V319 atlas identity; V320 assignment,30/179/-1,30/201/-1,0,0,6AFEC863FEB5C4C37C326A7E4A31DADED780A9240BF43998D4899644282ABA48,6AFEC863FEB5C4C37C326A7E4A31DADED780A9240BF43998D4899644282ABA48
48,정,U+C815,V319 atlas identity; V320 assignment,93/209/269,113/231/297,18,1,4DAA0369FFDB8C13E532E93DF102A97E22DD01139C43382B46399663A2B76AEF,8AFDF36E16E88AB656A25FEC4B8978932D22503439CCD05958F17E250CBF3442
49,거,U+AC70,V319 atlas identity; V320 assignment,1/187/-1,1/165/-1,0,0,D07334BD4B52F5B2A843C1939E8DF4A3CA34D5271F37554A2E5A3A386B9EE3B0,D07334BD4B52F5B2A843C1939E8DF4A3CA34D5271F37554A2E5A3A386B9EE3B0
50,도,U+B3C4,V319 atlas identity; V320 assignment,24/169/-1,24/191/-1,0,0,F03EBE3289C57057B8AC7CE041FB97E776BC914D15A2EFB335F2F9C677C84D57,F03EBE3289C57057B8AC7CE041FB97E776BC914D15A2EFB335F2F9C677C84D57
51,사,U+C0AC,V319 atlas identity; V320 assignment,10/161/-1,10/183/-1,0,0,8105902327AD7568EBD4174AA2B9599ADDE21E76DB46078CA2A1FA90B99F6CE7,8105902327AD7568EBD4174AA2B9599ADDE21E76DB46078CA2A1FA90B99F6CE7
52,인,U+C778,V319 atlas identity; V320 assignment,92/225/252,112/247/280,22,1,2E4EAD3CD766969650D9060EBFCDEF1ADB3305F344EA510331B71DFD3B163AF2,E4134343E47DAD9E3BBCC32670A2210CCAAB35A4E720B691DD18A5DDAA5507E7
53,를,U+B97C,V319 atlas identity; V320 assignment,106/223/284,126/245/340,52,1,C3025B3678DFA921DA89A239D9DCBA124CFF2850B839DCAE20220A28D3C9C396,0EF5D69B77823A8A9512202F785A0E4AAF3AC82A372297F8DF10CCBCE4945EBC
54,대,U+B300,V319 atlas identity; V320 assignment,4/162/-1,4/184/-1,0,0,B65F8C8CBDFFDC780DDFC2FF38CACEE0029EA359AB74CECD675A33280569B898,B65F8C8CBDFFDC780DDFC2FF38CACEE0029EA359AB74CECD675A33280569B898
55,만,U+B9CC,V319 atlas identity; V320 assignment,87/205/252,107/227/252,16,1,F4CD5E262A6D07A7267FBB14571B88BB130933D1EDC8300AB95D6CBEAE46DC11,E1F66C470AE8B0C2D9E951C5386EB23F5A6AF401F92CA8F39099AE49775CCD17
56,초,U+CD08,V319 atlas identity; V320 assignment,35/169/-1,35/191/-1,0,0,0FA7CE36B62EDE8B3A13ECE06BF3175BBA6F5FE07FB42C5A0EE600CA4BAAAFF0,0FA7CE36B62EDE8B3A13ECE06BF3175BBA6F5FE07FB42C5A0EE600CA4BAAAFF0
57,면,U+BA74,V319 atlas identity; V320 assignment,87/211/252,107/233/280,16,1,E959AABBCD62DFE87D5F6F331AFA9E2ACD9CA86FB8D1C3F548D271D578927BC7,ADF05C3202FE82650BA4AD47D41771FA18D14007C95A0DCA7D2EA720B0A73EC8
58,까,U+AE4C,V319 atlas identity; V320 assignment,2/161/-1,2/183/-1,0,0,F6A8BEF950F2DC24EF6FD13924AA22C8348086E6A8DB731B1E14073EED5DAA5A,F6A8BEF950F2DC24EF6FD13924AA22C8348086E6A8DB731B1E14073EED5DAA5A
59,려,U+B824,V319 atlas identity; V320 assignment,6/167/-1,6/189/-1,0,0,18767A1B79BDFFE6E52D7C87DF94EB1E8326554DED2018C08FD0347E55CFC123,18767A1B79BDFFE6E52D7C87DF94EB1E8326554DED2018C08FD0347E55CFC123
60,우,U+C6B0,V319 atlas identity; V320 assignment,52/174/-1,52/196/-1,0,0,FABDEB503A3BF3586DD9DF37183A4549612B2B22DFADA7C39262793C01ADEEA6,FABDEB503A3BF3586DD9DF37183A4549612B2B22DFADA7C39262793C01ADEEA6
61,신,U+C2E0,V319 atlas identity; V320 assignment,90/225/252,110/247/280,18,1,7BF844F2840700F991B3C69DC811038DC68DCCD6D484BC58CE980C3932C91699,49658BF85D92B98EDA33B0097BA643696AABF76C1EB0C332DACE76960D81CE2A
62,해,U+D574,V319 atlas identity,19/162/-1,19/184/-1,0,0,7B7603AEC5C7EE8D0DC0FB641393912A038A4B6510CBE4D76EAFB213C256053A,7B7603AEC5C7EE8D0DC0FB641393912A038A4B6510CBE4D76EAFB213C256053A
63,주,U+C8FC,V319 atlas identity; V320 assignment,53/174/-1,53/196/-1,0,0,E426DBE06968681487299E9CC470DE07DA4ED2CD1EDDA22C0F66519EA0873F97,E426DBE06968681487299E9CC470DE07DA4ED2CD1EDDA22C0F66519EA0873F97
64,게,U+AC8C,V319 atlas identity; V320 assignment,1/188/-1,1/166/-1,0,0,DF6D733FDAED2E12356C7DC2024B4C331B2A3CFF18982E957D7AB6273E686741,DF6D733FDAED2E12356C7DC2024B4C331B2A3CFF18982E957D7AB6273E686741
65,것,U+AC83,V319 atlas identity,81/231/267,101/209/295,18,1,54837FDE1A35C2F18D4DF1574804DDB261DFD479985CD809CEC4DD201B230603,05B252558BE1CCE621FEFF0424F444FF04D999C01008784A1458FF35D84EEAA4
66,핀,U+D540,V319 atlas identity; V320 assignment,98/225/252,118/247/280,32,1,6D2A33D4C4A7BE5D0BE1990D9757E17E2451DEEF8DC32F9889A5B483005FE97F,A7337EC547512DD65D181A80CBDD795AE63B57C99D60233625B054475E9C424D
67,스,U+C2A4,V319 atlas identity,30/179/-1,30/201/-1,0,0,6AFEC863FEB5C4C37C326A7E4A31DADED780A9240BF43998D4899644282ABA48,6AFEC863FEB5C4C37C326A7E4A31DADED780A9240BF43998D4899644282ABA48
68,마,U+B9C8,V319 atlas identity; V320 assignment,7/161/-1,7/183/-1,0,0,4C1CB323F3FE9B5AA87D4E740FE81D6F38FA902AA60206BDFFBBEB612317C128,4C1CB323F3FE9B5AA87D4E740FE81D6F38FA902AA60206BDFFBBEB612317C128
69,오,U+C624,V319 atlas identity; V320 assignment,32/169/-1,32/191/-1,0,0,77AA1DD7CD1F7D00DB79B9B9D852E777E21A335470F5675BF51564FBDCC47374,77AA1DD7CD1F7D00DB79B9B9D852E777E21A335470F5675BF51564FBDCC47374
70,내,U+B0B4,V319 atlas identity; V320 assignment,3/162/-1,3/184/-1,0,0,C67DB58E96DCB0C1868EB02C7FAAE4DE467495783F2709174579B5DC688F73A1,C67DB58E96DCB0C1868EB02C7FAAE4DE467495783F2709174579B5DC688F73A1
71,면,U+BA74,V319 atlas identity,87/211/252,107/233/280,16,1,E959AABBCD62DFE87D5F6F331AFA9E2ACD9CA86FB8D1C3F548D271D578927BC7,ADF05C3202FE82650BA4AD47D41771FA18D14007C95A0DCA7D2EA720B0A73EC8
72,야,U+C57C,V319 atlas identity; V320 assignment,12/163/-1,12/185/-1,0,0,7642C045DE659B9FE6BD4ADAB3D21726E09D0F61FE963350316883951E1A3AA3,7642C045DE659B9FE6BD4ADAB3D21726E09D0F61FE963350316883951E1A3AA3
74,뒤,U+B4A4,V319 atlas identity; V320 assignment,64/177/-1,84/199/-1,0,0,F99C2286091356E066210495993493CDCF6618DC6C03C99570118B7898720601,F99C2286091356E066210495993493CDCF6618DC6C03C99570118B7898720601
75,러,U+B7EC,V319 atlas identity,6/165/-1,6/187/-1,0,0,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431
76,느,U+B290,V319 atlas identity,23/179/-1,23/201/-1,0,0,0097F8F4CE8CB71CF5BD1020D8D8C9F2FA45627A537307DB275E0D1ABD86C27B,0097F8F4CE8CB71CF5BD1020D8D8C9F2FA45627A537307DB275E0D1ABD86C27B
77,으,U+C73C,V319 atlas identity; V320 assignment,32/179/-1,32/201/-1,0,0,6534067194CFC7E52985795B977B4A76F2A813EDE68ABDB68EEEECB60C879299,6534067194CFC7E52985795B977B4A76F2A813EDE68ABDB68EEEECB60C879299
78,전,U+C804,V319 atlas identity; V320 assignment,93/209/252,113/231/280,18,1,899312AE8F714DA373660B00D8B9E3E7015F3ACCC5970C88A0CEA28A8D97BC23,E9B7C80DAFFD2053DD1033D49B8E1C41D69E26327539BB365481E55AF9A30888
79,수,U+C218,V319 atlas identity; V320 assignment,50/174/-1,50/196/-1,0,0,A5E5E74DA6335BE898D095C6FEC02F8B953716DF1A84D1C1918BB69DDCDFF11C,A5E5E74DA6335BE898D095C6FEC02F8B953716DF1A84D1C1918BB69DDCDFF11C
80,령,U+B839,V319 atlas identity; V320 assignment,86/211/269,106/233/297,15,1,61EC860F71E2172AB00A8025CD3FD89F880B9C1D8C87E86046F48512C903AB85,BBBEEF5B6734408C9E470F29909B3E20EBCD4120FC37AC4168FFE6AFFC8364A5
81,여,U+C5EC,V319 atlas identity,12/167/-1,12/189/-1,0,0,C19BF2C5FE50B88DCE35BD1FF7DC06EB237F9782906FB3EA7881E851A532004F,C19BF2C5FE50B88DCE35BD1FF7DC06EB237F9782906FB3EA7881E851A532004F
82,한,U+D55C,V319 atlas identity; V320 assignment,99/205/252,119/227/252,22,1,A72EEFDAEFE249A8EAFDD5DA32F7B7B6FFA5D281B3C962CF3C5F4788F32ECA5A,4B286CE37AF60174D5845091A8F82733EBF6FDB131A71371DED8A42C55C72F54
83,겠,U+ACA0,V319 atlas identity; V320 assignment,81/232/268,101/210/324,16,1,C814103AED5F81AC0684FE2FCAB70C426DFD169FAA1C320FAE1CA78AEBA202EB,77EE79FF3155AE1AD3139EAC8B4BE96BF8DFEBBF4634B2D1377CC55DADEC7BF8
84,모,U+BAA8,V319 atlas identity; V320 assignment,27/169/-1,27/191/-1,0,0,9456B54CC8E1CBA3D7C61757B0A779A08828F993CCC28858DB02152667955505,9456B54CC8E1CBA3D7C61757B0A779A08828F993CCC28858DB02152667955505
85,장,U+C7A5,V319 atlas identity; V320 assignment,93/205/269,113/227/269,18,1,A159EFEDA4955FF2D59D4E4510AC76CE860BF10BF003EEBFBFF306A1E52DC9C9,0FF9452ED91BA6AC698DDB6983CD474D09C8B5949ADB263DB1FC931ADA453D9B
87,크,U+D06C,V319 atlas identity; V320 assignment,36/201/-1,36/179/-1,0,0,F92EED63DF393A0EB5584329EDCA67B909B4F54E4262AEEB275E9181E3848490,F92EED63DF393A0EB5584329EDCA67B909B4F54E4262AEEB275E9181E3848490
88,이,U+C774,V319 atlas identity,12/181/-1,12/203/-1,0,0,DB918469C2CEB04B4E78C5FEA87DC84F9DF0FACF986C53250DF232FFBBC5710F,DB918469C2CEB04B4E78C5FEA87DC84F9DF0FACF986C53250DF232FFBBC5710F
89,덕,U+B355,V319 atlas identity,84/209/249,104/231/277,13,1,0F50C9C695814E427D63149813D63FF38D8DB7CC24D8CA4ED53296A4E3724C09,650E2691E3376386B31E9C771083738A4471851945379CDA2CB30D3055F23A44
90,터,U+D130,V319 atlas identity,17/165/-1,17/187/-1,0,0,7BA5E33C86C2F2089983A602AFB0D421C6EC850BF84FD59C6BE4BC0C00BBC5C0,7BA5E33C86C2F2089983A602AFB0D421C6EC850BF84FD59C6BE4BC0C00BBC5C0
91,마,U+B9C8,V319 atlas identity,7/161/-1,7/183/-1,0,0,4C1CB323F3FE9B5AA87D4E740FE81D6F38FA902AA60206BDFFBBEB612317C128,4C1CB323F3FE9B5AA87D4E740FE81D6F38FA902AA60206BDFFBBEB612317C128
92,십,U+C2ED,V319 atlas identity; V320 assignment,90/225/265,110/247/293,18,1,502951705D2F86FAA8FD9DEE6F704927C859C72BB24C5DD44BC90E251F2687E3,25EA6405B9CC94689C2A30CC3A490858507E3808553B53AD71A71B7AFA87FF52
93,도,U+B3C4,V319 atlas identity,24/169/-1,24/191/-1,0,0,F03EBE3289C57057B8AC7CE041FB97E776BC914D15A2EFB335F2F9C677C84D57,F03EBE3289C57057B8AC7CE041FB97E776BC914D15A2EFB335F2F9C677C84D57
94,무,U+BB34,V319 atlas identity; V320 assignment,47/174/-1,47/196/-1,0,0,44206DC1B7EC2DA761C6E743D3814F162E4A3C12CA6F15307376AB452E84B426,44206DC1B7EC2DA761C6E743D3814F162E4A3C12CA6F15307376AB452E84B426
95,보,U+BCF4,V319 atlas identity; V320 assignment,28/169/-1,28/191/-1,0,0,6BF2599F1A46CC15259832E10EB631C55281BC8E9D57C5DCC13B534922DC6390,6BF2599F1A46CC15259832E10EB631C55281BC8E9D57C5DCC13B534922DC6390
96,었,U+C5C8,V319 atlas identity; V320 assignment,92/209/268,112/231/296,22,1,4ED7CFF19EE3A47CF75AC0CB299C0C705D14C8FE68EE7464DFA60DE05F1EACAB,2196607D45ED91C0F0C8557696428291A7D340706022AF2C7A8781803F9263C0
97,말,U+B9D0,V319 atlas identity,87/205/256,107/227/256,16,1,1356D96D4EE6CDF7D85379D0C5FB72C88B15863CBB4C2A474D5096FFFAB78546,83839553B1838ADF0B15AC1E634BB9C32884275591E2258E0604A24ED27E39C8
98,려,U+B824,V319 atlas identity,6/167/-1,6/189/-1,0,0,18767A1B79BDFFE6E52D7C87DF94EB1E8326554DED2018C08FD0347E55CFC123,18767A1B79BDFFE6E52D7C87DF94EB1E8326554DED2018C08FD0347E55CFC123
99,몬,U+BAAC,V319 atlas identity; V320 assignment,107/213/280,127/235/336,60,1,F15FA12623D25AA8BC610C5360977C15E044122DC38F397851478292BD12E69E,646B0D33E0EBCDC281B69863EF318D45D0011CB76F5E2A978280AFB81FEA1A64
100,요,U+C694,V319 atlas identity,32/173/-1,32/195/-1,0,0,58EBD70D7FE2A6D0C58EAE1CCED422E60845B976EC216CE2AE3FA56C152226D9,58EBD70D7FE2A6D0C58EAE1CCED422E60845B976EC216CE2AE3FA56C152226D9
101,제,U+C81C,V319 atlas identity; V320 assignment,13/166/-1,13/188/-1,0,0,BE82A07150063CA6D37EE41E43B632A60A7552B268F2EC165D971BDF87BFE37B,BE82A07150063CA6D37EE41E43B632A60A7552B268F2EC165D971BDF87BFE37B
102,버,U+BC84,V319 atlas identity; V320 assignment,8/165/-1,8/187/-1,0,0,4224A9549300219D910F85E558BB87C4A260149C926AD44F44B93244481D4072,4224A9549300219D910F85E558BB87C4A260149C926AD44F44B93244481D4072
103,경,U+ACBD,V319 atlas identity; V320 assignment,81/233/269,101/211/297,18,1,E9949022C9AF6D33EC9B22F19DA86E55ACC4B0E78FBD180A3064D52962171818,4EF813DAC6C2DF6D36AB5D7A4D82B9C92ABFD4A4FC4D2E362E330714ED375FB1
104,승,U+C2B9,V319 atlas identity; V320 assignment,110/223/297,130/245/353,62,1,C1D85F15E15C0B4361034BAFB49EB25A25B2A7C283DCA2F5EF72FCA82B7A2F19,CF37DE0951375E33E93531AD8173C1C9A078D7123E357D898C2FBBE638A69B03
105,왕,U+C655,V319 atlas identity; V320 assignment,152/214/353,152/236/269,34,1,8C22E5DE4840C7CA30BADFA25D9FD4B37E2629799C398A0AB52678B657B5BB62,2AEB3368E851A51C2F492C0D53ACD2AF2570B3265126842577A66D7DBAEFD3EE
106,일,U+C77C,V319 atlas identity; V320 assignment,92/225/256,112/247/284,22,1,DC3301EF54B7A3E21C92E46C94A25F179671A216BC190250CD2734403C4C14FC,EB2A80FE399220B55F509BD566B25364D6882B8286617055187446B5E5A920E2
107,부,U+BD80,V319 atlas identity; V320 assignment,48/174/-1,48/196/-1,0,0,A60AC2A1550162C42D3D554CA54ACBC88FBA7D294E5CCE81D574F44ACED0813D,A60AC2A1550162C42D3D554CA54ACBC88FBA7D294E5CCE81D574F44ACED0813D
108,물,U+BB3C,V319 atlas identity; V320 assignment,127/218/312,127/240/340,23,1,9D911E9737762C68A85D5E03F763DE23E65FEAEEDA76D9D127E434DB29159F88,893955C4D9113B47F98FEE0EA7EE8A7FEB59619712EFE9B68B61C78BD9A11CA1
109,자,U+C790,V319 atlas identity,13/161/-1,13/183/-1,0,0,DAA08D23F82B6ED19D5CB48DBBAE459FA3EF85438E27C0707C07BD492F10B9C3,DAA08D23F82B6ED19D5CB48DBBAE459FA3EF85438E27C0707C07BD492F10B9C3
110,넣,U+B123,V319 atlas identity; V320 assignment,83/209/275,103/231/303,13,1,06D13C2FC028D60C954C99FFB9FF5666C17F0D6069BBE2904A5ED82CE7143850,72EB2452BADC56991AC8E0D095758FBB9E9E23BA278B40A9DC763B968771D24E
111,르,U+B974,V319 atlas identity; V320 assignment,26/179/-1,26/201/-1,0,0,DC3DD3F3566945D3D74B144EB7C6C571A29046488D82B1CEE236E1F3A44DCC97,DC3DD3F3566945D3D74B144EB7C6C571A29046488D82B1CEE236E1F3A44DCC97
112,없,U+C5C6,V319 atlas identity; V320 assignment,92/209/266,112/231/294,22,1,FEAA72A45C614C950C28CB8FA7D8163DE0C2CDC588709E5CF37D65B74F2FBF10,73977EAA166E8A6108F57AFEC5F05EB475EC998B261870DA4F08ED4B09D17B59
113,돌,U+B3CC,V319 atlas identity; V320 assignment,104/213/284,124/235/340,49,1,FB7FE050475F607CAE3474B87ADE6B9900653425EF70396E6707073943B6DBB0,FE30D25A2DDDCC82E0979F79FF876C961589DEC1664E1EE339ECFDF915CD8EAD
114,되,U+B418,V319 atlas identity; V320 assignment,64/172/-1,64/194/-1,0,0,B4B7258B2433F2137E8781787064C5A31E021070B07C22DC22521135040D7B07,B4B7258B2433F2137E8781787064C5A31E021070B07C22DC22521135040D7B07
115,힘,U+D798,V319 atlas identity; V320 assignment,99/225/264,119/247/292,22,1,1D03FD30965EEE0371E40DAA1744461AC5CF8881223DE55B93EA08EA16AD7907,AFDDD9D4475D301C0CFCBE99338191366BF3C2CF0D78358496DDE54C4E17BB3E
117,출,U+CD9C,V319 atlas identity; V320 assignment,135/218/312,135/240/340,23,1,00856EA02126D78808057DCBA6CA5EF00DBD2DF39F4D3339F9B4181AA4677545,6694F85A543744EF82DF6AABD0F3FB778853C5B94CE66A952BEA5DA190D1911D
118,때,U+B54C,V319 atlas identity; V320 assignment,5/162/-1,5/184/-1,0,0,EE2F18982FD064C6D46977AD456882D9C0EBFE8624DB576C0509A29E6B32E05B,EE2F18982FD064C6D46977AD456882D9C0EBFE8624DB576C0509A29E6B32E05B
119,않,U+C54A,V319 atlas identity; V320 assignment,92/205/254,112/227/254,22,1,C319649F48D40D61ECEE0D88510F59A73D0D63C25C7B75EF69A468FCB54E7507,8E1CE0AE874E4F7F3C59E7D37E058E99951EA1619621D595003BE0AE33DCB2F2
