logical_physical,runtime_physical,char,unicode,sources,hanme_ink,thin_ink,hanme_sha256,thin_sha256,changed
44,44,습,U+C2B5,V319 atlas; V320 assignment; identity,62,43,6B16D0728AA58887B8FF738D827E2E920CB81C3B6099B39CB5B16733DC1231E7,F35CB52C8D7B6ED5A4D8BD5449A90DF2C270E042150085952B88053A2FFE0E4C,1
45,45,리,U+B9AC,V319 atlas; V320 assignment; identity,52,34,8639B9284F84803B46605E137AB58245A1E7F4554A21D8FB5548693D6697C335,BFF495177F9D70F70434E06A22F4CEF43758B3F898871539D3C4214A1F03B659,1
47,47,스,U+C2A4,V319 atlas; V320 assignment; identity,31,21,6AFEC863FEB5C4C37C326A7E4A31DADED780A9240BF43998D4899644282ABA48,71009B5E964E6B7352AC5DBCFEC715F0EEE472F3929782CCBB478A9ABE29A60C,1
48,48,정,U+C815,V319 atlas; V320 assignment; identity,65,43,8AFDF36E16E88AB656A25FEC4B8978932D22503439CCD05958F17E250CBF3442,76A842A291D7F3975FE69D0D72B0C5223D00273175AD85818D7A6B20CFBCA57E,1
49,49,거,U+AC70,V319 atlas; V320 assignment; identity,47,28,D07334BD4B52F5B2A843C1939E8DF4A3CA34D5271F37554A2E5A3A386B9EE3B0,C28CA8B900605D46AB5D2D08AAA211FC6CB4C70AAA2E305B5BCF4DB50336352D,1
50,50,도,U+B3C4,V319 atlas; V320 assignment; identity,44,35,F03EBE3289C57057B8AC7CE041FB97E776BC914D15A2EFB335F2F9C677C84D57,DFC6822029559AD728085C393CA9B69B0E4BAE7FD81C45E8EA4C92E89EE257C3,1
51,51,사,U+C0AC,V319 atlas; V320 assignment; identity,46,26,8105902327AD7568EBD4174AA2B9599ADDE21E76DB46078CA2A1FA90B99F6CE7,67984246A5789606BB19658B1DEB7FE0D4430AFF066B422EEFC03CDEB5547054,1
52,52,인,U+C778,V319 atlas; V320 assignment; identity,56,34,E4134343E47DAD9E3BBCC32670A2210CCAAB35A4E720B691DD18A5DDAA5507E7,A8176FEB33C989AC9ED94CC4B590C8FBD1A9E86A096F53D0AF1BA642A933D47E,1
53,53,를,U+B97C,V319 atlas; V320 assignment; identity,79,67,0EF5D69B77823A8A9512202F785A0E4AAF3AC82A372297F8DF10CCBCE4945EBC,0BD2556C2C759E5F6593AC7F630953DDA653244A6F373818995D6E760B696BD7,1
54,54,대,U+B300,V319 atlas; V320 assignment; identity,69,44,B65F8C8CBDFFDC780DDFC2FF38CACEE0029EA359AB74CECD675A33280569B898,507B949FCBE29683453623785A08B42713BD00C5D451FE23D0FD1DA3E1EC80F0,1
55,55,만,U+B9CC,V319 atlas; V320 assignment; identity,62,43,E1F66C470AE8B0C2D9E951C5386EB23F5A6AF401F92CA8F39099AE49775CCD17,D4167B374C0E0EB71613B0BE1EF17658508D594399A8AE98CB9F04CE2C9C9FA8,1
56,56,초,U+CD08,V319 atlas; V320 assignment; identity,44,34,0FA7CE36B62EDE8B3A13ECE06BF3175BBA6F5FE07FB42C5A0EE600CA4BAAAFF0,B8F8E43900CB42C290CFC036FD4BBDDBD57FFB8E572281E8FC2582140CC64AF1,1
57,57,면,U+BA74,V319 atlas; V320 assignment; identity,66,46,ADF05C3202FE82650BA4AD47D41771FA18D14007C95A0DCA7D2EA720B0A73EC8,1442605131F26B5AE53CFF6CBD517F227F1647D13634C7F9A564ACA0571B07A0,1
58,58,까,U+AE4C,V319 atlas; V320 assignment; identity,56,34,F6A8BEF950F2DC24EF6FD13924AA22C8348086E6A8DB731B1E14073EED5DAA5A,79643740034E305C58F69ADB00EAAA0A37275E15C7262BBECEEEFA444F52E77C,1
59,59,려,U+B824,V319 atlas; V320 assignment; identity,58,40,18767A1B79BDFFE6E52D7C87DF94EB1E8326554DED2018C08FD0347E55CFC123,1A1058A1C3373FEA45A6610045711022C0350333793D2648A499301660052999,1
60,60,우,U+C6B0,V319 atlas; V320 assignment; identity,48,34,FABDEB503A3BF3586DD9DF37183A4549612B2B22DFADA7C39262793C01ADEEA6,8C39687FDB3C5CBB0E08F06C80370A20B04EA1F50B61A40F86A67E3F45C1F351,1
61,61,신,U+C2E0,V319 atlas; V320 assignment; identity,50,29,49658BF85D92B98EDA33B0097BA643696AABF76C1EB0C332DACE76960D81CE2A,633CFA87F1F4B7FFE988A5954C020DE47E2AB62AA0FEA10F0CF3543E672FEB09,1
62,62,해,U+D574,V319 atlas; identity,79,49,7B7603AEC5C7EE8D0DC0FB641393912A038A4B6510CBE4D76EAFB213C256053A,E2E82BAB2ED536D91C1AB2634FC41CEB5123B2FF17F2235735FA8632FE116FB6,1
63,63,주,U+C8FC,V319 atlas; V320 assignment; identity,50,35,E426DBE06968681487299E9CC470DE07DA4ED2CD1EDDA22C0F66519EA0873F97,C8B791DF6FBCA5D2D2E227A5177834D3D9E92FACCF4997033D42E6BB1A57B275,1
64,64,게,U+AC8C,V319 atlas; V320 assignment; identity,69,41,DF6D733FDAED2E12356C7DC2024B4C331B2A3CFF18982E957D7AB6273E686741,D863DC97E7E7A974DDC1A04396495EF7FEE67866BB8F56D8CB5A9D51A96EE327,1
65,65,것,U+AC83,V319 atlas; identity,53,32,05B252558BE1CCE621FEFF0424F444FF04D999C01008784A1458FF35D84EEAA4,B622FC7140230A757A639D6A83F85D644596BD5DC9094E89C88D719B4029DA55,1
66,66,핀,U+D540,V319 atlas; V320 assignment; identity,62,42,A7337EC547512DD65D181A80CBDD795AE63B57C99D60233625B054475E9C424D,A5037639C6AA10C1E3A733C37D1055DCEB2C58E5F8E877533625F6CEC5810D54,1
67,67,스,U+C2A4,V319 atlas; identity,31,21,6AFEC863FEB5C4C37C326A7E4A31DADED780A9240BF43998D4899644282ABA48,71009B5E964E6B7352AC5DBCFEC715F0EEE472F3929782CCBB478A9ABE29A60C,1
68,68,마,U+B9C8,V319 atlas; V320 assignment; identity,56,37,4C1CB323F3FE9B5AA87D4E740FE81D6F38FA902AA60206BDFFBBEB612317C128,FE80B4F5D75D885A631869AE4F9395C7BC55A656B866090E6DB069509932F5B4,1
69,69,오,U+C624,V319 atlas; V320 assignment; identity,44,32,77AA1DD7CD1F7D00DB79B9B9D852E777E21A335470F5675BF51564FBDCC47374,47AA70180FEED48B67E8CDA39F514C8830B8BDE9F3F9509A2F1DB88A95985911,1
70,70,내,U+B0B4,V319 atlas; V320 assignment; identity,66,41,C67DB58E96DCB0C1868EB02C7FAAE4DE467495783F2709174579B5DC688F73A1,8404F81B23ACE10C49A78B97985707C8B1FF59722F867985BE07299B61AD6FCE,1
71,71,면,U+BA74,V319 atlas; identity,66,46,ADF05C3202FE82650BA4AD47D41771FA18D14007C95A0DCA7D2EA720B0A73EC8,1442605131F26B5AE53CFF6CBD517F227F1647D13634C7F9A564ACA0571B07A0,1
72,72,야,U+C57C,V319 atlas; V320 assignment; identity,54,36,7642C045DE659B9FE6BD4ADAB3D21726E09D0F61FE963350316883951E1A3AA3,6240CBF8C202627E3E75657A072E9FC38815C7DB47EFF04C5C2E2AA7835B5A8F,1
74,74,뒤,U+B4A4,V319 atlas; V320 assignment; identity,69,46,F99C2286091356E066210495993493CDCF6618DC6C03C99570118B7898720601,E7904A9F659FCE1841786EF23F049C3B0956440F749F6504D97F02D5E16BEF69,1
75,75,러,U+B7EC,V319 atlas; identity,55,37,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431,5AC6420734E93D7EAB8C4A131AC27BA2C5890359FD151D48DE991E3617FF94D7,1
76,76,느,U+B290,V319 atlas; identity,30,24,0097F8F4CE8CB71CF5BD1020D8D8C9F2FA45627A537307DB275E0D1ABD86C27B,DEFF2AD7E580A2A904F3B9ED582DE28A23E2CEF88275FC63D6436AB0C5F7DD5D,1
77,77,으,U+C73C,V319 atlas; V320 assignment; identity,37,28,6534067194CFC7E52985795B977B4A76F2A813EDE68ABDB68EEEECB60C879299,ED77807712E422927866EDA71CE9A787CD7E68F5ABC05A47B3693C168F8B7731,1
78,78,전,U+C804,V319 atlas; V320 assignment; identity,59,38,E9B7C80DAFFD2053DD1033D49B8E1C41D69E26327539BB365481E55AF9A30888,A1A0A7455EEFF33AF10CBF91F78B51246387A7534F37638E621E98F6012F25A9,1
79,79,수,U+C218,V319 atlas; V320 assignment; identity,42,27,A5E5E74DA6335BE898D095C6FEC02F8B953716DF1A84D1C1918BB69DDCDFF11C,4297F6433A72433E7513DC904C709123A43330FC09F23392FF95D55C61900AF0,1
80,80,령,U+B839,V319 atlas; V320 assignment; identity,67,51,BBBEEF5B6734408C9E470F29909B3E20EBCD4120FC37AC4168FFE6AFFC8364A5,99BA789EA04ED7AB73EAF789A249547085A238B14ECF5B2DC1C0C9DA51AFD407,1
81,81,여,U+C5EC,V319 atlas; identity,56,36,C19BF2C5FE50B88DCE35BD1FF7DC06EB237F9782906FB3EA7881E851A532004F,F14C6E08493A230E9A3A58F4A7B657F0FAD50FABB055E4DABCF2F9D6A6105397,1
82,82,한,U+D55C,V319 atlas; V320 assignment; identity,64,43,4B286CE37AF60174D5845091A8F82733EBF6FDB131A71371DED8A42C55C72F54,015BD040EC34DDBFF4F44E2DACB68085ADA3F1A2EA3EFB8C4F94620540AB73BF,1
83,83,겠,U+ACA0,V319 atlas; V320 assignment; identity,79,48,77EE79FF3155AE1AD3139EAC8B4BE96BF8DFEBBF4634B2D1377CC55DADEC7BF8,B190BF7983C1120AE306938FB5FA4DB3B1BEAB4F43F6E86FC1A5C3BE2CAC3F8A,1
84,84,모,U+BAA8,V319 atlas; V320 assignment; identity,49,37,9456B54CC8E1CBA3D7C61757B0A779A08828F993CCC28858DB02152667955505,4960434E86958D082370CA48CFB382F93890C590395950C4B5E950ADBACFC88F,1
85,85,장,U+C7A5,V319 atlas; V320 assignment; identity,64,43,0FF9452ED91BA6AC698DDB6983CD474D09C8B5949ADB263DB1FC931ADA453D9B,2CC372E61351D6F0FF21DF333B4CDD528B51906C9363AAB2B9BB303C1239A497,1
87,87,크,U+D06C,V319 atlas; V320 assignment; identity,40,33,F92EED63DF393A0EB5584329EDCA67B909B4F54E4262AEEB275E9181E3848490,951FCC48BD6BB3381C86FDF99F58820C6ADAAF8AA74860B331ABC25E2431C1AF,1
88,88,이,U+C774,V319 atlas; identity,50,30,DB918469C2CEB04B4E78C5FEA87DC84F9DF0FACF986C53250DF232FFBBC5710F,B92B88A3826D29D7D5BEAD16E6FFCB5749B71EFA0A35F48BD6EF55E5D4BC5A76,1
89,89,덕,U+B355,V319 atlas; identity,53,39,650E2691E3376386B31E9C771083738A4471851945379CDA2CB30D3055F23A44,E6CD932C3FB3464F2CDC864B7412F41AEF7ACF6C5AF339484973E3F8C5D4B551,1
90,90,터,U+D130,V319 atlas; identity,54,36,7BA5E33C86C2F2089983A602AFB0D421C6EC850BF84FD59C6BE4BC0C00BBC5C0,F109D9867B17D700ED54F9E99916CC32E4A6CB68CF770B0609365828DFDEEFD6,1
91,91,마,U+B9C8,V319 atlas; identity,56,37,4C1CB323F3FE9B5AA87D4E740FE81D6F38FA902AA60206BDFFBBEB612317C128,FE80B4F5D75D885A631869AE4F9395C7BC55A656B866090E6DB069509932F5B4,1
92,92,십,U+C2ED,V319 atlas; V320 assignment; identity,62,38,25EA6405B9CC94689C2A30CC3A490858507E3808553B53AD71A71B7AFA87FF52,EECA6C594A756BEA00E54571C8869DE5D4A27A957A4A3CE4EEF8237F19128EDE,1
93,93,도,U+B3C4,V319 atlas; identity,44,35,F03EBE3289C57057B8AC7CE041FB97E776BC914D15A2EFB335F2F9C677C84D57,DFC6822029559AD728085C393CA9B69B0E4BAE7FD81C45E8EA4C92E89EE257C3,1
94,94,무,U+BB34,V319 atlas; V320 assignment; identity,53,39,44206DC1B7EC2DA761C6E743D3814F162E4A3C12CA6F15307376AB452E84B426,3E1BFBDAAFDC9A9AC93E031B01F39E12522C499D16189DD134DE794A01F56C8E,1
95,95,보,U+BCF4,V319 atlas; V320 assignment; identity,48,36,6BF2599F1A46CC15259832E10EB631C55281BC8E9D57C5DCC13B534922DC6390,6F2A1F4D5918CE2DAF12EF6DC4021F0AF22EC211327F686C5C46E336EF25EFD0,1
96,96,었,U+C5C8,V319 atlas; V320 assignment; identity,70,40,2196607D45ED91C0F0C8557696428291A7D340706022AF2C7A8781803F9263C0,B3DFD1D8A2F065E7C4C4BB249C6BA20C6BDBEAFC93767B3EC67D24AD2150B19F,1
97,97,말,U+B9D0,V319 atlas; identity,73,54,83839553B1838ADF0B15AC1E634BB9C32884275591E2258E0604A24ED27E39C8,B7F1E7B157353676D144F7646ED6BCCE30E6826D7B92362841F878EB7C6F7DC0,1
98,98,려,U+B824,V319 atlas; identity,58,40,18767A1B79BDFFE6E52D7C87DF94EB1E8326554DED2018C08FD0347E55CFC123,1A1058A1C3373FEA45A6610045711022C0350333793D2648A499301660052999,1
99,99,몬,U+BAAC,V319 atlas; V320 assignment; identity,63,48,646B0D33E0EBCDC281B69863EF318D45D0011CB76F5E2A978280AFB81FEA1A64,6D984E440F39570753F9F40A8ED1148EA1D29BECA0C77314BAB682815E6EBB4F,1
100,100,요,U+C694,V319 atlas; identity,49,35,58EBD70D7FE2A6D0C58EAE1CCED422E60845B976EC216CE2AE3FA56C152226D9,DCF6A38DDD72286F5C2E7E8A608D8226431ABB513F75F09363DE7147F76C71C0,1
101,101,제,U+C81C,V319 atlas; V320 assignment; identity,74,45,BE82A07150063CA6D37EE41E43B632A60A7552B268F2EC165D971BDF87BFE37B,846C85E7922AC601EFCE24F022299F3B2D85E92B09BCFAFFBECDB7F70AAA47BA,1
102,102,버,U+BC84,V319 atlas; V320 assignment; identity,59,37,4224A9549300219D910F85E558BB87C4A260149C926AD44F44B93244481D4072,64C61E7E80E24FA80F135B423A72BF0EEF18E95EDCE27BB81CBBE8336847E462,1
103,103,경,U+ACBD,V319 atlas; V320 assignment; identity,62,42,4EF813DAC6C2DF6D36AB5D7A4D82B9C92ABFD4A4FC4D2E362E330714ED375FB1,11689A83A4EDCD15F8231EBDC86304854F716C698AEB9FBE9B0D29D29AB0F968,1
104,104,승,U+C2B9,V319 atlas; V320 assignment; identity,55,38,CF37DE0951375E33E93531AD8173C1C9A078D7123E357D898C2FBBE638A69B03,B85311253E8ED89975D1A07A0A5029602706C022A50CA9E284F717917B575C9A,1
105,105,왕,U+C655,V319 atlas; V320 assignment; identity,73,51,2AEB3368E851A51C2F492C0D53ACD2AF2570B3265126842577A66D7DBAEFD3EE,351FB8B2E8668E77D2F2A2C3D95AF410618FE495D528AF257BDFE3D4D2C5811E,1
106,106,일,U+C77C,V319 atlas; V320 assignment; identity,67,45,EB2A80FE399220B55F509BD566B25364D6882B8286617055187446B5E5A920E2,C3E52B5BB1FE513CA1E01866718CC4080BD3E4BD2A3A6226BB22334320A04E83,1
107,107,부,U+BD80,V319 atlas; V320 assignment; identity,52,38,A60AC2A1550162C42D3D554CA54ACBC88FBA7D294E5CCE81D574F44ACED0813D,EFCEE7B3DAEC39B47CD27F2DBE552E0A6B4000818EFF081E2305376EE2986E13,1
108,108,물,U+BB3C,V319 atlas; V320 assignment; identity,79,63,893955C4D9113B47F98FEE0EA7EE8A7FEB59619712EFE9B68B61C78BD9A11CA1,69C640BE2A61FAE358986648618CBDB66696A061381ED523F788A25329AE862B,1
109,109,자,U+C790,V319 atlas; identity,52,32,DAA08D23F82B6ED19D5CB48DBBAE459FA3EF85438E27C0707C07BD492F10B9C3,8AC05A0959EC004B65CBB3DE9D8ABED278196F4CA81DA512568D4A3057A772A1,1
110,110,넣,U+B123,V319 atlas; V320 assignment; identity,62,44,72EB2452BADC56991AC8E0D095758FBB9E9E23BA278B40A9DC763B968771D24E,D343D3088A71BA67C49CD63151018523B20C6EE1CDAA4B4903E28716D6654262,1
111,111,르,U+B974,V319 atlas; V320 assignment; identity,46,40,DC3DD3F3566945D3D74B144EB7C6C571A29046488D82B1CEE236E1F3A44DCC97,ED4786B07A502706B6F448E61A35AB62EEE5D19E29725E1B0582ECF296E48C9D,1
112,112,없,U+C5C6,V319 atlas; V320 assignment; identity,79,47,73977EAA166E8A6108F57AFEC5F05EB475EC998B261870DA4F08ED4B09D17B59,F9FACC6071735814BE2B7C1CFF3DB4BCDDAC174806812CF11A139177F9B00A2E,1
113,113,돌,U+B3CC,V319 atlas; V320 assignment; identity,74,61,FE30D25A2DDDCC82E0979F79FF876C961589DEC1664E1EE339ECFDF915CD8EAD,DD394ABAD744F47EEB35E9A561E13BBDCAFFF7CEC906C927C50AAE2D57B5D6A1,1
114,114,되,U+B418,V319 atlas; V320 assignment; identity,60,41,B4B7258B2433F2137E8781787064C5A31E021070B07C22DC22521135040D7B07,4718911B6C6A6A3CA805D7CDD03A9A7A69C70419F3B3B617124B6A499C0511D3,1
115,115,힘,U+D798,V319 atlas; V320 assignment; identity,74,49,AFDDD9D4475D301C0CFCBE99338191366BF3C2CF0D78358496DDE54C4E17BB3E,5D63FAC58E9F8655C542D37BAE486311C3F459F822F64434C1A20D54B3AF7DFB,1
117,117,출,U+CD9C,V319 atlas; V320 assignment; identity,74,60,6694F85A543744EF82DF6AABD0F3FB778853C5B94CE66A952BEA5DA190D1911D,E37248B69D9DE375F3B17429125C7627FD5BAD3FD16925C449ED3A03E16F2E7F,1
118,118,때,U+B54C,V319 atlas; V320 assignment; identity,80,49,EE2F18982FD064C6D46977AD456882D9C0EBFE8624DB576C0509A29E6B32E05B,8B2C873C5C8CC312B7EEC21CFDB7ECEA7051FBAD87F2F7EBFA6FD21E196E6C10,1
119,119,않,U+C54A,V319 atlas; V320 assignment; identity,74,48,8E1CE0AE874E4F7F3C59E7D37E058E99951EA1619621D595003BE0AE33DCB2F2,D195785C499FC9A950AD347E093C40D1CF77F20B5084633D2BE15CE0617904F3,1
120,120,러,U+B7EC,V319 atlas; identity,55,37,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431,5AC6420734E93D7EAB8C4A131AC27BA2C5890359FD151D48DE991E3617FF94D7,1
121,121,회,U+D68C,V319 atlas; V320 assignment; identity,66,48,B31880651AC538BAA88EF6D91221EB7FF23737E549EEC5C75FB3837F8D44526B,FB9EBBBBE3EBCC403AAB5B352095C870A8E9EF2F14B5E8DC4E9FFEC7AD014D3F,1
122,122,원,U+C6D0,V319 atlas; V320 assignment; identity,66,43,5ADEEA0D4BF871B0B14C071FAE84B07C3E8CACD4D4F07B28C135E682557F368A,E9470112AC235E00C06CC9FE79721F5D75C3B8F4E77B827651AB10B6CAE9D452,1
123,123,군,U+AD70,V319 atlas; V320 assignment; identity,52,41,6AAD8A5AE167EE6ADB6CCD70F3D914DE7D016E80121AA0AD6810A6E828CFF1EF,56467394404BEC613FD94F6ED5721199A1AC3A41FE59C764A164A1151CB4F795,1
124,124,할,U+D560,V319 atlas; V320 assignment; identity,75,54,11E9C2F30B797DBC89486740976A4DA4F0C778EC2BD4427C1E79A4BFFA6A9EA9,2D93748F521A9016F376518CDA1EE0410F90C43B8609D02434E2FF52BA3E853A,1
125,125,네,U+B124,V319 atlas; V320 assignment; identity,68,42,358293B8903FE309C112A74C0D73072A6D8AE8AF46D1B291957E4267AC11E6B2,A306AAD2CBED77244A4BEBDB097E33643A9B73745A9BBD9D2E1043E0BF20E106,1
126,126,입,U+C785,V319 atlas; V320 assignment; identity,68,43,EBF97824614E397C3CE142586A5ACCD5391AD4F7BEF46D5DF48FCE155E06D278,AAC3814C39BB523B86568C1A41F3CFEF6F86E955D03A656F6F645424F7489BDB,1
