char,virtual_code_hex,physical_index,row,column,plane,provenance,readback
명,E9 5E,1333,15,18,1,v41_preserved,exact
모,E9 5F,1334,15,18,2,v41_preserved,exact
목,E9 60,1335,15,18,3,v41_preserved,exact
몬,E9 61,1336,15,19,0,v41_preserved,exact
몸,E9 62,1337,15,19,1,v41_preserved,exact
못,E9 63,1338,15,19,2,v41_preserved,exact
무,E9 64,1339,15,19,3,v41_preserved,exact
문,E9 65,1340,15,20,0,v41_preserved,exact
물,E9 66,1341,15,20,1,v41_preserved,exact
미,E9 67,1342,15,20,2,v41_preserved,exact
민,E9 68,1343,15,20,3,v41_preserved,exact
밀,E9 69,1344,16,0,0,v41_preserved,exact
바,E9 6A,1345,16,0,1,v41_preserved,exact
반,E9 6B,1346,16,0,2,v41_preserved,exact
받,E9 6C,1347,16,0,3,v41_preserved,exact
발,E9 6D,1348,16,1,0,v41_preserved,exact
방,E9 6E,1349,16,1,1,v41_preserved,exact
배,E9 6F,1350,16,1,2,v41_preserved,exact
뱀,E9 70,1351,16,1,3,v41_preserved,exact
번,E9 71,1352,16,2,0,v41_preserved,exact
범,E9 72,1353,16,2,1,v41_preserved,exact
법,E9 73,1354,16,2,2,v41_preserved,exact
변,E9 74,1355,16,2,3,v41_preserved,exact
별,E9 75,1356,16,3,0,v41_preserved,exact
병,E9 76,1357,16,3,1,v41_preserved,exact
보,E9 77,1358,16,3,2,v41_preserved,exact
복,E9 78,1359,16,3,3,v41_preserved,exact
본,E9 79,1360,16,4,0,v41_preserved,exact
봉,E9 7A,1361,16,4,1,v41_preserved,exact
부,E9 7B,1362,16,4,2,v41_preserved,exact
북,E9 7C,1363,16,4,3,v41_preserved,exact
분,E9 7D,1364,16,5,0,v41_preserved,exact
불,E9 7E,1365,16,5,1,v41_preserved,exact
브,E9 7F,1366,16,5,2,v41_preserved,exact
비,E9 80,1367,16,5,3,v41_preserved,exact
빌,E9 81,1368,16,6,0,v41_preserved,exact
빨,E9 82,1369,16,6,1,v41_preserved,exact
사,E9 83,1370,16,6,2,v41_preserved,exact
산,E9 84,1371,16,6,3,v41_preserved,exact
상,E9 85,1372,16,7,0,v41_preserved,exact
새,E9 86,1373,16,7,1,v41_preserved,exact
생,E9 87,1374,16,7,2,v41_preserved,exact
서,E9 88,1375,16,7,3,v41_preserved,exact
선,E9 89,1376,16,8,0,v41_preserved,exact
성,E9 8A,1377,16,8,1,v41_preserved,exact
센,E9 8B,1378,16,8,2,v41_preserved,exact
소,E9 8C,1379,16,8,3,v41_preserved,exact
수,E9 8D,1380,16,9,0,v41_preserved,exact
숲,E9 8E,1381,16,9,1,v41_preserved,exact
슈,E9 8F,1382,16,9,2,v41_preserved,exact
스,E9 90,1383,16,9,3,v41_preserved,exact
슬,E9 91,1384,16,10,0,v41_preserved,exact
승,E9 92,1385,16,10,1,v41_preserved,exact
시,E9 93,1386,16,10,2,v41_preserved,exact
식,E9 94,1387,16,10,3,v41_preserved,exact
신,E9 95,1388,16,11,0,v41_preserved,exact
실,E9 96,1389,16,11,1,v41_preserved,exact
심,E9 97,1390,16,11,2,v41_preserved,exact
쓰,E9 98,1391,16,11,3,v41_preserved,exact
쓴,E9 99,1392,16,12,0,v41_preserved,exact
아,E9 9A,1393,16,12,1,v41_preserved,exact
악,E9 9B,1394,16,12,2,v41_preserved,exact
안,E9 9C,1395,16,12,3,v41_preserved,exact
애,E9 9D,1396,16,13,0,v41_preserved,exact
야,E9 9E,1397,16,13,1,v41_preserved,exact
약,E9 9F,1398,16,13,2,v41_preserved,exact
양,E9 A0,1399,16,13,3,v41_preserved,exact
어,E9 A1,1400,16,14,0,v41_preserved,exact
언,E9 A2,1401,16,14,1,v41_preserved,exact
없,E9 A3,1402,16,14,2,v41_preserved,exact
에,E9 A4,1403,16,14,3,v41_preserved,exact
여,E9 A5,1404,16,15,0,v41_preserved,exact
연,E9 A6,1405,16,15,1,v41_preserved,exact
열,E9 A7,1406,16,15,2,v41_preserved,exact
오,E9 A8,1407,16,15,3,v41_preserved,exact
옥,E9 A9,1408,16,16,0,v41_preserved,exact
올,E9 AA,1409,16,16,1,v41_preserved,exact
옷,E9 AB,1410,16,16,2,v41_preserved,exact
와,E9 AC,1411,16,16,3,v41_preserved,exact
왕,E9 AD,1412,16,17,0,v41_preserved,exact
외,E9 AE,1413,16,17,1,v41_preserved,exact
요,E9 AF,1414,16,17,2,v41_preserved,exact
용,E9 B0,1415,16,17,3,v41_preserved,exact
우,E9 B1,1416,16,18,0,v41_preserved,exact
운,E9 B2,1417,16,18,1,v41_preserved,exact
울,E9 B3,1418,16,18,2,v41_preserved,exact
워,E9 B4,1419,16,18,3,v41_preserved,exact
원,E9 B5,1420,16,19,0,v41_preserved,exact
위,E9 B6,1421,16,19,1,v41_preserved,exact
유,E9 B7,1422,16,19,2,v41_preserved,exact
율,E9 B8,1423,16,19,3,v41_preserved,exact
으,E9 B9,1424,16,20,0,v41_preserved,exact
은,E9 BA,1425,16,20,1,v41_preserved,exact
을,E9 BB,1426,16,20,2,v41_preserved,exact
음,E9 BC,1427,16,20,3,v41_preserved,exact
의,E9 BD,1480,17,13,0,v41_preserved,exact
이,E9 BE,1481,17,13,1,v41_preserved,exact
인,E9 BF,1482,17,13,2,v41_preserved,exact
일,E9 C0,1483,17,13,3,v41_preserved,exact
임,E9 C1,1484,17,14,0,v41_preserved,exact
입,E9 C2,1485,17,14,1,v41_preserved,exact
자,E9 C3,1486,17,14,2,v41_preserved,exact
작,E9 C4,1487,17,14,3,v41_preserved,exact
잠,E9 C5,1488,17,15,0,v41_preserved,exact
잡,E9 C6,1489,17,15,1,v41_preserved,exact
장,E9 C7,1490,17,15,2,v41_preserved,exact
저,E9 C8,1491,17,15,3,v41_preserved,exact
적,E9 C9,1492,17,16,0,v41_preserved,exact
전,E9 CA,1493,17,16,1,v41_preserved,exact
절,E9 CB,1495,17,16,3,v41_preserved,exact
점,E9 CC,1496,17,17,0,v41_preserved,exact
정,E9 CD,1497,17,17,1,v41_preserved,exact
제,E9 CE,1498,17,17,2,v41_preserved,exact
져,E9 CF,1499,17,17,3,v41_preserved,exact
조,E9 D0,1500,17,18,0,v41_preserved,exact
족,E9 D1,1501,17,18,1,v41_preserved,exact
좀,E9 D2,1502,17,18,2,v41_preserved,exact
좋,E9 D3,1503,17,18,3,v41_preserved,exact
주,E9 D4,1504,17,19,0,v41_preserved,exact
죽,E9 D5,1505,17,19,1,v41_preserved,exact
줄,E9 D6,1506,17,19,2,v41_preserved,exact
중,E9 D7,1507,17,19,3,v41_preserved,exact
증,E9 D8,1508,17,20,0,v41_preserved,exact
지,E9 D9,1509,17,20,1,v41_preserved,exact
직,E9 DA,1510,17,20,2,v41_preserved,exact
진,E9 DB,1511,17,20,3,v41_preserved,exact
질,E9 DC,1564,18,13,0,v41_preserved,exact
집,E9 DD,1565,18,13,1,v41_preserved,exact
찌,E9 DE,1566,18,13,2,v41_preserved,exact
차,E9 DF,1567,18,13,3,v41_preserved,exact
천,E9 E0,1568,18,14,0,v41_preserved,exact
첩,E9 E1,1569,18,14,1,v41_preserved,exact
체,E9 E2,1570,18,14,2,v41_preserved,exact
초,E9 E3,1571,18,14,3,v41_preserved,exact
촌,E9 E4,1572,18,15,0,v41_preserved,exact
최,E9 E5,1573,18,15,1,v41_preserved,exact
치,E9 E6,1574,18,15,2,v41_preserved,exact
침,E9 E7,1575,18,15,3,v41_preserved,exact
카,E9 E8,1576,18,16,0,v41_preserved,exact
케,E9 E9,1577,18,16,1,v41_preserved,exact
코,E9 EA,1578,18,16,2,v41_preserved,exact
쿠,E9 EB,1579,18,16,3,v41_preserved,exact
크,E9 EC,1580,18,17,0,v41_preserved,exact
큰,E9 ED,1581,18,17,1,v41_preserved,exact
키,E9 EE,1582,18,17,2,v41_preserved,exact
킬,E9 EF,1583,18,17,3,v41_preserved,exact
타,E9 F0,1584,18,18,0,v41_preserved,exact
탑,E9 F1,1585,18,18,1,v41_preserved,exact
태,E9 F2,1586,18,18,2,v41_preserved,exact
터,E9 F3,1587,18,18,3,v41_preserved,exact
토,E9 F4,1588,18,19,0,v41_preserved,exact
투,E9 F5,1589,18,19,1,v41_preserved,exact
트,E9 F6,1590,18,19,2,v41_preserved,exact
틀,E9 F7,1591,18,19,3,v41_preserved,exact
파,E9 F8,1592,18,20,0,v41_preserved,exact
판,E9 F9,1593,18,20,1,v41_preserved,exact
팔,E9 FA,1594,18,20,2,v41_preserved,exact
퍼,E9 FB,1595,18,20,3,v41_preserved,exact
편,E9 FC,1628,19,8,0,v41_preserved,exact
평,E9 FD,1629,19,8,1,v41_preserved,exact
포,E9 FE,1630,19,8,2,v41_preserved,exact
폭,EA 01,1631,19,8,3,v41_preserved,exact
풀,EA 02,1632,19,9,0,v41_preserved,exact
풍,EA 03,1633,19,9,1,v41_preserved,exact
프,EA 04,1634,19,9,2,v41_preserved,exact
플,EA 05,1635,19,9,3,v41_preserved,exact
피,EA 06,1636,19,10,0,v41_preserved,exact
하,EA 07,1637,19,10,1,v41_preserved,exact
한,EA 08,1638,19,10,2,v41_preserved,exact
함,EA 09,1639,19,10,3,v41_preserved,exact
합,EA 0A,1640,19,11,0,v41_preserved,exact
항,EA 0B,1641,19,11,1,v41_preserved,exact
해,EA 0C,1642,19,11,2,v41_preserved,exact
행,EA 0D,1643,19,11,3,v41_preserved,exact
향,EA 0E,1644,19,12,0,v41_preserved,exact
허,EA 0F,1645,19,12,1,v41_preserved,exact
험,EA 10,1646,19,12,2,v41_preserved,exact
헤,EA 11,1647,19,12,3,v41_preserved,exact
화,EA 12,1648,19,13,0,v41_preserved,exact
확,EA 13,1649,19,13,1,v41_preserved,exact
활,EA 14,1650,19,13,2,v41_preserved,exact
황,EA 15,1651,19,13,3,v41_preserved,exact
회,EA 16,1652,19,14,0,v41_preserved,exact
후,EA 17,1653,19,14,1,v41_preserved,exact
힘,EA 18,1654,19,14,2,v41_preserved,exact
갈,EA 19,1494,17,16,2,v42_sparse_extension,exact
개,EA 1A,1655,19,14,3,v42_sparse_extension,exact
갯,EA 1B,1664,19,17,0,v42_sparse_extension,exact
겐,EA 1C,1665,19,17,1,v42_sparse_extension,exact
곤,EA 1D,1666,19,17,2,v42_sparse_extension,exact
골,EA 1E,1667,19,17,3,v42_sparse_extension,exact
귀,EA 1F,1668,19,18,0,v42_sparse_extension,exact
극,EA 20,1669,19,18,1,v42_sparse_extension,exact
껍,EA 21,1670,19,18,2,v42_sparse_extension,exact
끈,EA 22,1671,19,18,3,v42_sparse_extension,exact
낫,EA 23,1672,19,19,0,v42_sparse_extension,exact
냉,EA 24,1673,19,19,1,v42_sparse_extension,exact
네,EA 25,1674,19,19,2,v42_sparse_extension,exact
뇌,EA 26,1675,19,19,3,v42_sparse_extension,exact
능,EA 27,1676,19,20,0,v42_sparse_extension,exact
닷,EA 28,1677,19,20,1,v42_sparse_extension,exact
덴,EA 29,1678,19,20,2,v42_sparse_extension,exact
독,EA 2A,1679,19,20,3,v42_sparse_extension,exact
둔,EA 2B,1712,20,8,0,v42_sparse_extension,exact
득,EA 2C,1713,20,8,1,v42_sparse_extension,exact
듦,EA 2D,1714,20,8,2,v42_sparse_extension,exact
띄,EA 2E,1715,20,8,3,v42_sparse_extension,exact
띠,EA 2F,1716,20,9,0,v42_sparse_extension,exact
락,EA 30,1717,20,9,1,v42_sparse_extension,exact
랑,EA 31,1718,20,9,2,v42_sparse_extension,exact
랙,EA 32,1719,20,9,3,v42_sparse_extension,exact
랩,EA 33,1720,20,10,0,v42_sparse_extension,exact
렉,EA 34,1721,20,10,1,v42_sparse_extension,exact
렘,EA 35,1722,20,10,2,v42_sparse_extension,exact
렛,EA 36,1723,20,10,3,v42_sparse_extension,exact
렬,EA 37,1724,20,11,0,v42_sparse_extension,exact
롭,EA 38,1725,20,11,1,v42_sparse_extension,exact
뢰,EA 39,1726,20,11,2,v42_sparse_extension,exact
룬,EA 3A,1727,20,11,3,v42_sparse_extension,exact
률,EA 3B,1728,20,12,0,v42_sparse_extension,exact
링,EA 3C,1729,20,12,1,v42_sparse_extension,exact
맨,EA 3D,1730,20,12,2,v42_sparse_extension,exact
멘,EA 3E,1731,20,12,3,v42_sparse_extension,exact
묵,EA 3F,1732,20,13,0,v42_sparse_extension,exact
박,EA 40,1733,20,13,1,v42_sparse_extension,exact
벌,EA 41,1734,20,13,2,v42_sparse_extension,exact
베,EA 42,1735,20,13,3,v42_sparse_extension,exact
벨,EA 43,1736,20,14,0,v42_sparse_extension,exact
벽,EA 44,1737,20,14,1,v42_sparse_extension,exact
붕,EA 45,1738,20,14,2,v42_sparse_extension,exact
뷰,EA 46,1739,20,14,3,v42_sparse_extension,exact
블,EA 47,1740,20,15,0,v42_sparse_extension,exact
빙,EA 48,1741,20,15,1,v42_sparse_extension,exact
뿔,EA 49,1742,20,15,2,v42_sparse_extension,exact
살,EA 4A,1743,20,15,3,v42_sparse_extension,exact
샘,EA 4B,1744,20,16,0,v42_sparse_extension,exact
샤,EA 4C,1745,20,16,1,v42_sparse_extension,exact
샬,EA 4D,1746,20,16,2,v42_sparse_extension,exact
석,EA 4E,1747,20,16,3,v42_sparse_extension,exact
섬,EA 4F,1748,20,17,0,v42_sparse_extension,exact
셔,EA 50,1749,20,17,1,v42_sparse_extension,exact
션,EA 51,1750,20,17,2,v42_sparse_extension,exact
속,EA 52,1751,20,17,3,v42_sparse_extension,exact
순,EA 53,1752,20,18,0,v42_sparse_extension,exact
술,EA 54,1753,20,18,1,v42_sparse_extension,exact
싱,EA 55,1754,20,18,2,v42_sparse_extension,exact
썬,EA 56,1755,20,18,3,v42_sparse_extension,exact
알,EA 57,1756,20,19,0,v42_sparse_extension,exact
암,EA 58,1757,20,19,1,v42_sparse_extension,exact
압,EA 59,1758,20,19,2,v42_sparse_extension,exact
앞,EA 5A,1759,20,19,3,v42_sparse_extension,exact
앵,EA 5B,1760,20,20,0,v42_sparse_extension,exact
얼,EA 5C,1761,20,20,1,v42_sparse_extension,exact
업,EA 5D,1762,20,20,2,v42_sparse_extension,exact
엔,EA 5E,1763,20,20,3,v42_sparse_extension,exact
엘,EA 5F,2684,31,20,0,v42_sparse_extension,exact
염,EA 60,2685,31,20,1,v42_sparse_extension,exact
영,EA 61,2686,31,20,2,v42_sparse_extension,exact
욕,EA 62,2687,31,20,3,v42_sparse_extension,exact
월,EA 63,2768,32,20,0,v42_sparse_extension,exact
윈,EA 64,2769,32,20,1,v42_sparse_extension,exact
익,EA 65,2770,32,20,2,v42_sparse_extension,exact
잎,EA 66,2771,32,20,3,v42_sparse_extension,exact
잔,EA 67,2852,33,20,0,v42_sparse_extension,exact
젤,EA 68,2853,33,20,1,v42_sparse_extension,exact
즌,EA 69,2854,33,20,2,v42_sparse_extension,exact
짓,EA 6A,2855,33,20,3,v42_sparse_extension,exact
짜,EA 6B,3260,38,17,0,v42_sparse_extension,exact
찍,EA 6C,3261,38,17,1,v42_sparse_extension,exact
참,EA 6D,3262,38,17,2,v42_sparse_extension,exact
창,EA 6E,3263,38,17,3,v42_sparse_extension,exact
책,EA 6F,3264,38,18,0,v42_sparse_extension,exact
처,EA 70,3265,38,18,1,v42_sparse_extension,exact
척,EA 71,3266,38,18,2,v42_sparse_extension,exact
추,EA 72,3267,38,18,3,v42_sparse_extension,exact
축,EA 73,3268,38,19,0,v42_sparse_extension,exact
츠,EA 74,3269,38,19,1,v42_sparse_extension,exact
층,EA 75,3270,38,19,2,v42_sparse_extension,exact
칸,EA 76,3271,38,19,3,v42_sparse_extension,exact
컬,EA 77,3272,38,20,0,v42_sparse_extension,exact
켈,EA 78,3273,38,20,1,v42_sparse_extension,exact
콘,EA 79,3274,38,20,2,v42_sparse_extension,exact
큐,EA 7A,3275,38,20,3,v42_sparse_extension,exact
클,EA 7B,3276,39,0,0,v42_sparse_extension,exact
탄,EA 7C,3277,39,0,1,v42_sparse_extension,exact
탈,EA 7D,3278,39,0,2,v42_sparse_extension,exact
텀,EA 7E,3279,39,0,3,v42_sparse_extension,exact
테,EA 7F,3280,39,1,0,v42_sparse_extension,exact
텔,EA 80,3281,39,1,1,v42_sparse_extension,exact
템,EA 81,3282,39,1,2,v42_sparse_extension,exact
톤,EA 82,3283,39,1,3,v42_sparse_extension,exact
톰,EA 83,3284,39,2,0,v42_sparse_extension,exact
퇴,EA 84,3285,39,2,1,v42_sparse_extension,exact
특,EA 85,3286,39,2,2,v42_sparse_extension,exact
티,EA 86,3287,39,2,3,v42_sparse_extension,exact
팡,EA 87,3288,39,3,0,v42_sparse_extension,exact
패,EA 88,3289,39,3,1,v42_sparse_extension,exact
팬,EA 89,3290,39,3,2,v42_sparse_extension,exact
펀,EA 8A,3291,39,3,3,v42_sparse_extension,exact
폴,EA 8B,3292,39,4,0,v42_sparse_extension,exact
표,EA 8C,3293,39,4,1,v42_sparse_extension,exact
필,EA 8D,3294,39,4,2,v42_sparse_extension,exact
현,EA 8E,3295,39,4,3,v42_sparse_extension,exact
호,EA 8F,3296,39,5,0,v42_sparse_extension,exact
환,EA 90,3297,39,5,1,v42_sparse_extension,exact
획,EA 91,3298,39,5,2,v42_sparse_extension,exact
효,EA 92,3299,39,5,3,v42_sparse_extension,exact
흑,EA 93,3300,39,6,0,v42_sparse_extension,exact
흡,EA 94,3301,39,6,1,v42_sparse_extension,exact
희,EA 95,3302,39,6,2,v42_sparse_extension,exact
히,EA 96,3303,39,6,3,v42_sparse_extension,exact
힐,EA 97,3304,39,7,0,v42_sparse_extension,exact
M,EA 98,3305,39,7,1,v42_sparse_extension,exact
P,EA 99,3306,39,7,2,v42_sparse_extension,exact
L,EA 9A,3307,39,7,3,v42_sparse_extension,exact
V,EA 9B,3308,39,8,0,v42_sparse_extension,exact
