pointer_offset,target_offset,korean,encoded_bytes,encoded_hex
0x82A24,0x824C9,전투 큰 북,9,82 DF 83 9C DF 0A 9C DF 31
0x82A28,0x8273F,황사자태고,7,DE FC 6A 89 DF 08 51
0x82A2C,0x826CF,기합 나팔,7,69 DE D9 9C 52 DF 8B
0x82A30,0x8242D,비틀비틀 나팔,12,DE 7C DF 06 DE 7C DF 06 9C 52 DF 8B
0x82A34,0x82688,치유의 하프,8,DF 1A CB 4D 9C A9 DF 9F
0x82A38,0x82505,느림의 연주,9,E0 75 DF 3A 4D 9C DF 1C 87
0x82A3C,0x82576,위타천 오카리나,11,BB E0 1A DF 8C 9C 75 DF E9 BD 52
0x82A40,0x8255C,방향잡이 피리,12,DF 70 DE F8 DF F4 DE 3C 9C DF 82 BD
0x82A44,0x827D2,대폭발,5,77 DF DF DE A5
0x82A48,0x8269A,드림 노크,8,DF 41 DF 3A 9C DF CB 9E
0x82A4C,0x82403,다이아몬드 더스트,13,78 DE 3C 95 AB DF 41 9C E1 C1 6F E0 82
0x82A50,0x82737,바람 검,7,DE 6B DF 25 9C DE F3
0x82A54,0x826EF,전기 폭풍,7,82 69 9C DF DF DE C9
0x82A58,0x8270F,회오리 차기,7,B6 75 BD 9C E1 CC 69
0x82A5C,0x827E4,유성폭,5,CB DE BE DF DF
0x82A60,0x82717,유령 파동,7,CB 81 9C DF A0 DF 77
0x82A64,0x8276F,멸장열파,7,E1 DC CE E0 35 DF A0
0x82A6C,0x82802,불러내기,5,E0 0A A3 94 69
0x82A70,0x82863,조사,2,A4 6A
0x82A74,0x8284A,회복,3,B6 DF 33
0x82A78,0x82793,다리 만들기,6,78 BD 9C 68 7C 69
0x82A7C,0x8272F,바람 전기,7,DE 6B DF 25 9C 82 69
0x82A80,0x82691,몸 가져오기,8,DF 36 9C 8F DF 14 75 69
0x82A84,0x8239E,기운 없음,5,69 DA 9C A1 C6
