pointer_offset,categories,selected_category,source_text,korean,string_offset,encoded_bytes,space_count,space_code,encoded_hex
0x80B68,table,table,효과 불명,효과 불명,0x81A0C,9,1,A1,DE 24 DD 18 A1 DD 13 DD 34
0x80B6C,table,table,효과 불명,효과 불명,0x81A0C,9,1,A1,DE 24 DD 18 A1 DD 13 DD 34
0x80B70,table,table,매 행동 체력 회복,매 행동 체력 회복,0x80EE0,16,3,A1,DD C9 A1 DD 31 DD 32 A1 DD 90 DD 2B A1 7A DD 9F
0x80B74,table,table,토슈 공격 명중률 상승,토슈 공격 명중률 상승,0x80D55,18,3,A1,83 DD 86 A1 DD 10 DD 0A A1 DD 34 DD 73 DF 5B A1 8B 69
0x80B78,table,table,모든 상태 이상 방지,모든 상태 이상 방지,0x81093,14,3,A1,55 DD 26 A1 8B DD D2 A1 03 8B A1 DD 29 04
0x80B7C,table,table,포코 마력 30% 상승,포코 마력 30% 상승,0x80EBE,16,3,A1,DD 78 DD 40 A1 45 DD 2B A1 27 91 DD B8 A1 8B 69
0x80B80,table,table,마비 방지,마비 방지,0x814BD,7,1,A1,45 DD 06 A1 DD 29 04
0x80B84,table,table,토슈 앵화뇌폭참에 마비 부여,토슈 앵화뇌폭참에 마비 부여,0x81D2C,22,3,A1,83 DD 86 A1 DF 6E DD 83 DF 1E DD 62 DD 4C 0E A1 45 DD 06 A1 6C 1A
0x80B88,table,table,특정 적에게 추가 피해,특정 적에게 추가 피해,0x80EF1,16,3,A1,DE 3A 31 A1 DD 09 0E 41 A1 DF 95 0C A1 DD 3C 2B
0x80B8C,table,table,아크 매 행동 MP 회복,아크 매 행동 MP 회복,0x81DF2,19,4,A1,09 58 A1 DD C9 A1 DD 31 DD 32 A1 DF 0B DE 07 A1 7A DD 9F
0x80B90,table,table,?????,?????,0x80708,5,0,,D1 D1 D1 D1 D1
0x80C9C,table,table,끈끈이,끈끈이,0x80750,5,0,,DE 40 DE 40 03
0x80CA0,table,table,의욕 젤리,의욕 젤리,0x8142D,7,1,A1,0F DD E3 A1 DF 8F 2E
0x80CA4,table,table,넘치는 열매,넘치는 열매,0x8180A,10,1,A1,DD F4 DD 1F 06 A1 DD 89 DD C9
0x80CA8,table,table,회복 열매,회복 열매,0x81B22,8,1,A1,7A DD 9F A1 DD 89 DD C9
0x80CAC,table,table,마비 사과,마비 사과,0x814AD,7,1,A1,45 DD 06 A1 34 DD 18
0x80CB0,table,table,돌,돌,0x80F12,1,0,,72
0x80CB4,table,table,레코의 풀,레코의 풀,0x81369,8,1,A1,DD 66 DD 40 0F A1 DE 45
0x80CB8,table,table,약초,약초,0x80877,3,0,,DD 48 39
0x80CBC,table,table,독초,독초,0x8087F,3,0,,DF 22 39
0x80CC0,table,table,루우의 약,루우의 약,0x815A5,7,1,A1,DD 42 3D 0F A1 DD 48
0x80CC4,table,table,민첩의 약,민첩의 약,0x813B1,8,1,A1,DD EC DF 5E 0F A1 DD 48
0x80CC8,table,table,작은 폭탄,작은 폭탄,0x81345,8,1,A1,DD 64 26 A1 DD 62 DD D1
0x80CCC,table,table,큰 폭탄,큰 폭탄,0x805F1,6,1,A1,AA A1 DD 62 DD D1
0x80CD0,table,table,만능약,만능약,0x806B4,5,0,,38 DD ED DD 48
0x80CD4,table,table,성수,성수,0x8086B,3,0,,DD 17 50
0x80CD8,table,table,부활약,부활약,0x806D2,5,0,,6C DD E1 DD 48
0x80CDC,table,table,공격 항아리,공격 항아리,0x818D6,9,1,A1,DD 10 DD 0A A1 DD F2 09 2E
0x80CE0,table,table,수면 구슬,수면 구슬,0x805B2,6,1,A1,50 3A A1 87 DD FC
0x80CE4,table,table,약화 구슬,약화 구슬,0x81321,8,1,A1,DD 48 DD 83 A1 87 DD FC
0x80CE8,table,table,힘의 열매,힘의 열매,0x8151D,7,1,A1,74 0F A1 DD 89 DD C9
0x80CEC,table,table,파로의 열매,파로의 열매,0x81994,9,1,A1,DD 7B D5 0F A1 DD 89 DD C9
0x80CF0,table,table,생명의 열매,생명의 열매,0x80458,10,1,A1,DD 36 DD 34 0F A1 DD 89 DD C9
0x80CF4,table,table,마력의 잎,마력의 잎,0x814CD,7,1,A1,45 DD 2B 0F A1 DF 8D
0x80CF8,table,table,마력의 샘,마력의 샘,0x814C5,7,1,A1,45 DD 2B 0F A1 DE CC
0x80CFC,table,table,눈가림 풀,눈가림 풀,0x813CC,8,1,A1,DE 0D 0C DE 29 A1 DE 45
0x80D00,table,table,쓴 잎,쓴 잎,0x80756,5,1,A1,DE B1 A1 DF 8D
0x80D04,table,table,석화 해제침,석화 해제침,0x819B2,9,1,A1,DD 8B DD 83 A1 2B 66 DE 06
0x80D08,table,table,침묵 해제침,침묵 해제침,0x81A02,9,1,A1,DE 06 DF 5F A1 2B 66 DE 06
0x80D0C,table,table,소환 항아리,소환 항아리,0x818CC,9,1,A1,DD 07 DD 65 A1 DD F2 09 2E
0x80D10,table,table,?????,?????,0x80708,5,0,,D1 D1 D1 D1 D1
0x80D14,table,table,?????,?????,0x80708,5,0,,D1 D1 D1 D1 D1
0x80D18,table,table,?????,?????,0x80708,5,0,,D1 D1 D1 D1 D1
0x80F14,table,table,민첩 일시 감소,민첩 일시 감소,0x820AE,12,2,A1,DD EC DF 5E A1 6B 29 A1 DD 77 DD 07
0x80F18,table,table,헤모지 회복,헤모지 회복,0x8139F,8,1,A1,DD C3 55 04 A1 7A DD 9F
0x80F1C,table+system,table,레벨 1 상승,레벨 1 상승,0x81962,9,2,A1,DD 66 DD EF A1 4A A1 8B 69
0x80F20,table,table,체력 60 회복,체력 60 회복,0x80320,11,2,A1,DD 90 DD 2B A1 9F 91 A1 7A DD 9F
0x80F24,table,table,마비 부여,마비 부여,0x816FD,6,1,A1,45 DD 06 A1 6C 1A
0x80F28,table,table,던져서 피해,던져서 피해,0x818FE,9,1,A1,DD 25 DD 63 25 A1 DD 3C 2B
0x80F2C,table,table,방어력 상승,방어력 상승,0x812FD,8,1,A1,DD 29 14 DD 2B A1 8B 69
0x80F30,table,table,체력 20 회복,체력 20 회복,0x80314,11,2,A1,DD 90 DD 2B A1 0B 91 A1 7A DD 9F
0x80F34,table,table,독 부여,독 부여,0x80762,5,1,A1,DF 22 A1 6C 1A
0x80F38,table,table,마비 회복,마비 회복,0x814B5,7,1,A1,45 DD 06 A1 7A DD 9F
0x80F3C,table,table,민첩 일시 상승,민첩 일시 상승,0x817FF,10,2,A1,DD EC DF 5E A1 6B 29 A1 8B 69
0x80F40,table,table,폭발 피해,폭발 피해,0x8133C,8,1,A1,DD 62 DD 0E A1 DD 3C 2B
0x80F44,table,table,큰 폭발 피해,큰 폭발 피해,0x8040B,10,2,A1,AA A1 DD 62 DD 0E A1 DD 3C 2B
0x80F48,table,table,대부분의 상태 이상 회복,대부분의 상태 이상 회복,0x80FC4,15,3,A1,37 6C 92 0F A1 8B DD D2 A1 03 8B A1 7A DD 9F
0x80F4C,table,table,독 회복,독 회복,0x8066F,6,1,A1,DF 22 A1 7A DD 9F
0x80F50,table,table,쓰러진 대상 부활,쓰러진 대상 부활,0x82087,12,2,A1,DD 85 20 DD 3F A1 37 8B A1 6C DD E1
0x80F54,table,table,공격력 일시 상승,공격력 일시 상승,0x82012,12,2,A1,DD 10 DD 0A DD 2B A1 6B 29 A1 8B 69
0x80F58,table,table,수면 부여,수면 부여,0x806CC,5,1,A1,50 3A A1 6C 1A
0x80F5C,table,table,공격 방어 일시 감소,공격 방어 일시 감소,0x80E8B,16,3,A1,DD 10 DD 0A A1 DD 29 14 A1 6B 29 A1 DD 77 DD 07
0x80F60,table,table,공격력 상승,공격력 상승,0x818E0,9,1,A1,DD 10 DD 0A DD 2B A1 8B 69
0x80F64,table,table,민첩 상승,민첩 상승,0x81605,7,1,A1,DD EC DF 5E A1 8B 69
0x80F68,table,table,최대 체력 2 상승,최대 체력 2 상승,0x81F74,13,3,A1,DE 27 37 A1 DD 90 DD 2B A1 0B A1 8B 69
0x80F6C,table,table,마력 상승,마력 상승,0x805A4,6,1,A1,45 DD 2B A1 8B 69
0x80F70,table,table,최대 마력 2 상승,최대 마력 2 상승,0x820C8,12,3,A1,DE 27 37 A1 45 DD 2B A1 0B A1 8B 69
0x80F74,table,table,명중률 감소,명중률 감소,0x802D8,11,1,A1,DD 34 DD 73 DF 5B A1 DD 77 DD 07
0x80F78,table,table,방어력 일시 상승,방어력 일시 상승,0x802B4,11,2,A1,DD 29 14 DD 2B A1 6B 29 A1 8B 69
0x80F7C,table,table,석화 회복,석화 회복,0x8137B,8,1,A1,DD 8B DD 83 A1 7A DD 9F
0x80F80,table,table,침묵 회복,침묵 회복,0x813BA,8,1,A1,DE 06 DF 5F A1 7A DD 9F
