member,offset,before,after,region
PSX.EXE,0x80317,E9,2B,ui_pool
PSX.EXE,0x80318,95,A1,ui_pool
PSX.EXE,0x80319,DE,0B,ui_pool
PSX.EXE,0x8031A,A5,91,ui_pool
PSX.EXE,0x8031B,00,A1,ui_pool
PSX.EXE,0x8031C,DF,7A,ui_pool
PSX.EXE,0x8031D,8B,DD,ui_pool
PSX.EXE,0x8031E,DF,9F,ui_pool
PSX.EXE,0x8031F,0D,00,ui_pool
PSX.EXE,0x80320,9C,DD,ui_pool
PSX.EXE,0x80321,12,90,ui_pool
PSX.EXE,0x80322,00,DD,ui_pool
PSX.EXE,0x80323,DF,2B,ui_pool
PSX.EXE,0x80324,8B,A1,ui_pool
PSX.EXE,0x80325,DF,9F,ui_pool
PSX.EXE,0x80326,0D,91,ui_pool
PSX.EXE,0x80327,9C,A1,ui_pool
PSX.EXE,0x80328,13,7A,ui_pool
PSX.EXE,0x80329,00,DD,ui_pool
PSX.EXE,0x8032A,E9,9F,ui_pool
PSX.EXE,0x8032B,1B,00,ui_pool
PSX.EXE,0x8032C,E1,DD,ui_pool
PSX.EXE,0x8032D,E2,D0,ui_pool
PSX.EXE,0x8032E,E9,DD,ui_pool
PSX.EXE,0x8032F,BD,9D,ui_pool
PSX.EXE,0x80330,9C,A1,ui_pool
PSX.EXE,0x80331,DF,DD,ui_pool
PSX.EXE,0x80332,8B,66,ui_pool
PSX.EXE,0x80333,DF,DD,ui_pool
PSX.EXE,0x80334,0D,EF,ui_pool
PSX.EXE,0x80335,00,A1,ui_pool
PSX.EXE,0x80336,E9,4A,ui_pool
PSX.EXE,0x80337,A5,00,ui_pool
PSX.EXE,0x80338,E9,DE,ui_pool
PSX.EXE,0x80339,95,68,ui_pool
PSX.EXE,0x8033A,E9,2E,ui_pool
PSX.EXE,0x8033B,BD,DE,ui_pool
PSX.EXE,0x8033C,9C,8C,ui_pool
PSX.EXE,0x8033D,E9,DE,ui_pool
PSX.EXE,0x8033E,1B,14,ui_pool
PSX.EXE,0x8033F,E9,A1,ui_pool
PSX.EXE,0x80340,36,45,ui_pool
PSX.EXE,0x80341,00,30,ui_pool
PSX.EXE,0x80342,E0,02,ui_pool
PSX.EXE,0x80343,33,00,ui_pool
PSX.EXE,0x80344,E1,DF,ui_pool
PSX.EXE,0x80345,45,21,ui_pool
PSX.EXE,0x80346,9C,DD,ui_pool
PSX.EXE,0x80347,E9,7B,ui_pool
PSX.EXE,0x80348,4F,03,ui_pool
PSX.EXE,0x80349,E9,14,ui_pool
PSX.EXE,0x8034A,90,A1,ui_pool
PSX.EXE,0x8034B,E0,DD,ui_pool
PSX.EXE,0x8034C,ED,93,ui_pool
PSX.EXE,0x8034D,00,DD,ui_pool
PSX.EXE,0x8034E,E9,5B,ui_pool
PSX.EXE,0x8034F,07,00,ui_pool
PSX.EXE,0x80350,E9,04,ui_pool
PSX.EXE,0x80351,C0,19,ui_pool
PSX.EXE,0x80352,E9,A1,ui_pool
PSX.EXE,0x80353,BD,DE,ui_pool
PSX.EXE,0x80354,9C,68,ui_pool
PSX.EXE,0x80355,E0,2E,ui_pool
PSX.EXE,0x80356,C3,DD,ui_pool
PSX.EXE,0x80357,DF,FE,ui_pool
PSX.EXE,0x80358,2F,03,ui_pool
PSX.EXE,0x80359,00,02,ui_pool
PSX.EXE,0x8035A,E0,00,ui_pool
PSX.EXE,0x8035B,14,04,ui_pool
PSX.EXE,0x8035C,E9,DE,ui_pool
PSX.EXE,0x8035D,8D,39,ui_pool
PSX.EXE,0x8035E,E9,0F,ui_pool
PSX.EXE,0x8035F,BD,A1,ui_pool
PSX.EXE,0x80360,9C,30,ui_pool
PSX.EXE,0x80361,E0,DD,ui_pool
PSX.EXE,0x80362,C3,55,ui_pool
PSX.EXE,0x80363,DF,DD,ui_pool
PSX.EXE,0x80364,2F,9D,ui_pool
PSX.EXE,0x80366,DE,07,ui_pool
PSX.EXE,0x80367,6B,D5,ui_pool
PSX.EXE,0x80368,EA,29,ui_pool
PSX.EXE,0x80369,28,DF,ui_pool
PSX.EXE,0x8036A,DE,6C,ui_pool
PSX.EXE,0x8036B,6B,A1,ui_pool
PSX.EXE,0x8036C,DF,37,ui_pool
PSX.EXE,0x8036D,25,24,ui_pool
PSX.EXE,0x8036E,E9,DD,ui_pool
PSX.EXE,0x8036F,BD,27,ui_pool
PSX.EXE,0x80370,9C,00,ui_pool
PSX.EXE,0x80371,E0,07,ui_pool
PSX.EXE,0x80372,FC,D5,ui_pool
PSX.EXE,0x80373,DE,29,ui_pool
PSX.EXE,0x80374,63,DF,ui_pool
PSX.EXE,0x80375,00,6C,ui_pool
PSX.EXE,0x80376,E9,A1,ui_pool
PSX.EXE,0x80377,D0,DD,ui_pool
PSX.EXE,0x80378,E1,39,ui_pool
PSX.EXE,0x80379,C2,24,ui_pool
PSX.EXE,0x8037A,EA,56,ui_pool
PSX.EXE,0x8037B,21,00,ui_pool
PSX.EXE,0x8037C,E9,09,ui_pool
PSX.EXE,0x8037D,07,66,ui_pool
PSX.EXE,0x8037E,E9,01,ui_pool
PSX.EXE,0x8037F,1B,A1,ui_pool
PSX.EXE,0x80380,00,1C,ui_pool
PSX.EXE,0x80381,E9,04,ui_pool
PSX.EXE,0x80382,B7,A1,ui_pool
PSX.EXE,0x80383,E9,DE,ui_pool
PSX.EXE,0x80384,2C,4C,ui_pool
PSX.EXE,0x80385,EA,6C,ui_pool
PSX.EXE,0x80386,79,00,ui_pool
PSX.EXE,0x80387,E9,09,ui_pool
PSX.EXE,0x80388,BD,7C,ui_pool
PSX.EXE,0x80389,9C,A1,ui_pool
PSX.EXE,0x8038A,EA,DD,ui_pool
PSX.EXE,0x8038B,49,EC,ui_pool
PSX.EXE,0x8038C,00,DF,ui_pool
PSX.EXE,0x8038D,DE,5E,ui_pool
PSX.EXE,0x8038E,7C,A1,ui_pool
PSX.EXE,0x8038F,EA,8B,ui_pool
PSX.EXE,0x80390,20,69,ui_pool
PSX.EXE,0x80391,E9,00,ui_pool
PSX.EXE,0x80392,BD,09,ui_pool
PSX.EXE,0x80393,9C,8F,ui_pool
PSX.EXE,0x80394,E9,8F,ui_pool
PSX.EXE,0x80395,9C,83,ui_pool
PSX.EXE,0x80396,E9,30,ui_pool
PSX.EXE,0x80397,0D,A1,ui_pool
PSX.EXE,0x80398,00,DD,ui_pool
PSX.EXE,0x80399,E9,10,ui_pool
PSX.EXE,0x8039A,0C,DD,ui_pool
PSX.EXE,0x8039B,DF,F2,ui_pool
PSX.EXE,0x8039C,E6,00,ui_pool
PSX.EXE,0x8039D,00,15,ui_pool
PSX.EXE,0x8039E,E9,37,ui_pool
PSX.EXE,0x8039F,17,D5,ui_pool
PSX.EXE,0x803A0,E9,A1,ui_pool
PSX.EXE,0x803A1,31,DD,ui_pool
PSX.EXE,0x803A2,E9,11,ui_pool
PSX.EXE,0x803A3,BD,DD,ui_pool
PSX.EXE,0x803A4,9C,5F,ui_pool
PSX.EXE,0x803A5,E0,19,ui_pool
PSX.EXE,0x803A6,8A,24,ui_pool
PSX.EXE,0x803A7,E9,00,ui_pool
PSX.EXE,0x803A8,D9,17,ui_pool
PSX.EXE,0x803A9,00,DD,ui_pool
PSX.EXE,0x803AA,E0,12,ui_pool
PSX.EXE,0x803AB,14,DE,ui_pool
PSX.EXE,0x803AC,E9,9B,ui_pool
PSX.EXE,0x803AD,85,A1,ui_pool
PSX.EXE,0x803AE,E9,DE,ui_pool
PSX.EXE,0x803AF,BD,36,ui_pool
PSX.EXE,0x803B0,9C,8F,ui_pool
PSX.EXE,0x803B1,E0,03,ui_pool
PSX.EXE,0x803B2,8A,00,ui_pool
PSX.EXE,0x803B3,E9,2B,ui_pool
PSX.EXE,0x803B4,D9,80,ui_pool
PSX.EXE,0x803B5,00,0F,ui_pool
PSX.EXE,0x803B6,E9,A1,ui_pool
PSX.EXE,0x803B7,52,DD,ui_pool
PSX.EXE,0x803B8,E9,06,ui_pool
PSX.EXE,0x803B9,36,DD,ui_pool
PSX.EXE,0x803BA,E9,31,ui_pool
PSX.EXE,0x803BB,BD,DD,ui_pool
PSX.EXE,0x803BC,9C,53,ui_pool
PSX.EXE,0x803BD,E0,00,ui_pool
PSX.EXE,0x803BE,8A,2C,ui_pool
PSX.EXE,0x803BF,E9,DD,ui_pool
PSX.EXE,0x803C0,D9,32,ui_pool
PSX.EXE,0x803C1,00,DD,ui_pool
PSX.EXE,0x803C2,E9,1F,ui_pool
PSX.EXE,0x803C3,C7,06,ui_pool
PSX.EXE,0x803C4,E0,A1,ui_pool
PSX.EXE,0x803C5,0C,60,ui_pool
PSX.EXE,0x803C6,E1,DD,ui_pool
PSX.EXE,0x803C7,9C,8B,ui_pool
PSX.EXE,0x803C8,9C,00,ui_pool
PSX.EXE,0x803C9,E0,2E,ui_pool
PSX.EXE,0x803CA,8A,8F,ui_pool
PSX.EXE,0x803CB,E9,0F,ui_pool
PSX.EXE,0x803CC,D9,A1,ui_pool
PSX.EXE,0x803CD,00,DD,ui_pool
PSX.EXE,0x803CE,EA,5D,ui_pool
PSX.EXE,0x803CF,2A,2E,ui_pool
PSX.EXE,0x803D0,E0,56,ui_pool
PSX.EXE,0x803D1,44,DD,ui_pool
PSX.EXE,0x803D2,E0,B5,ui_pool
PSX.EXE,0x803D3,C3,00,ui_pool
PSX.EXE,0x803D4,9C,30,ui_pool
PSX.EXE,0x803D5,E0,DD,ui_pool
PSX.EXE,0x803D6,8A,2C,ui_pool
PSX.EXE,0x803D7,E9,2E,ui_pool
PSX.EXE,0x803D8,D9,09,ui_pool
PSX.EXE,0x803D9,00,A1,ui_pool
PSX.EXE,0x803DA,E0,DD,ui_pool
PSX.EXE,0x803DB,14,10,ui_pool
PSX.EXE,0x803DC,E9,DD,ui_pool
PSX.EXE,0x803DD,85,F2,ui_pool
PSX.EXE,0x803DE,E9,00,ui_pool
PSX.EXE,0x803DF,BD,40,ui_pool
PSX.EXE,0x803E0,9C,80,ui_pool
PSX.EXE,0x803E1,E0,A1,ui_pool
PSX.EXE,0x803E2,8C,DD,ui_pool
PSX.EXE,0x803E3,EA,09,ui_pool
PSX.EXE,0x803E4,88,A1,ui_pool
PSX.EXE,0x803E5,00,DD,ui_pool
PSX.EXE,0x803E6,E9,10,ui_pool
PSX.EXE,0x803E7,CA,DD,ui_pool
PSX.EXE,0x803E8,E9,0A,ui_pool
PSX.EXE,0x803E9,83,00,ui_pool
PSX.EXE,0x803EA,E9,50,ui_pool
PSX.EXE,0x803EB,BD,3A,ui_pool
PSX.EXE,0x803EC,9C,A1,ui_pool
PSX.EXE,0x803ED,E9,DD,ui_pool
PSX.EXE,0x803EE,8D,29,ui_pool
PSX.EXE,0x803EF,EA,04,ui_pool
PSX.EXE,0x803F0,8F,A1,ui_pool
PSX.EXE,0x803F1,00,DD,ui_pool
PSX.EXE,0x803F2,E9,38,ui_pool
PSX.EXE,0x803F3,C7,17,ui_pool
PSX.EXE,0x803F4,E0,00,ui_pool
PSX.EXE,0x803F5,9C,8B,ui_pool
PSX.EXE,0x803F6,E9,DD,ui_pool
PSX.EXE,0x803F7,BD,D2,ui_pool
PSX.EXE,0x803F8,9C,A1,ui_pool
PSX.EXE,0x803F9,E0,03,ui_pool
PSX.EXE,0x803FA,8C,8B,ui_pool
PSX.EXE,0x803FB,EA,A1,ui_pool
PSX.EXE,0x803FC,88,7A,ui_pool
PSX.EXE,0x803FD,00,DD,ui_pool
PSX.EXE,0x803FE,DF,9F,ui_pool
PSX.EXE,0x803FF,5F,00,ui_pool
PSX.EXE,0x80400,E0,97,ui_pool
PSX.EXE,0x80401,8D,A1,ui_pool
PSX.EXE,0x80402,EA,A1,ui_pool
PSX.EXE,0x80403,08,A1,ui_pool
PSX.EXE,0x80404,9C,A1,ui_pool
PSX.EXE,0x80405,E9,A1,ui_pool
PSX.EXE,0x80406,D9,A1,ui_pool
PSX.EXE,0x80407,EA,09,ui_pool
PSX.EXE,0x80408,87,07,ui_pool
PSX.EXE,0x80409,E0,2C,ui_pool
PSX.EXE,0x8040A,C3,00,ui_pool
PSX.EXE,0x8040B,00,AA,ui_pool
PSX.EXE,0x8040C,E9,A1,ui_pool
PSX.EXE,0x8040D,D9,DD,ui_pool
PSX.EXE,0x8040E,DF,62,ui_pool
PSX.EXE,0x8040F,19,DD,ui_pool
PSX.EXE,0x80410,E9,0E,ui_pool
PSX.EXE,0x80411,BD,A1,ui_pool
PSX.EXE,0x80412,9C,DD,ui_pool
PSX.EXE,0x80413,E9,3C,ui_pool
PSX.EXE,0x80414,90,2B,ui_pool
PSX.EXE,0x80415,E1,00,ui_pool
PSX.EXE,0x80416,8F,DD,ui_pool
PSX.EXE,0x80417,E0,06,ui_pool
PSX.EXE,0x80418,31,DD,ui_pool
PSX.EXE,0x80419,00,35,ui_pool
PSX.EXE,0x8041A,E9,A1,ui_pool
PSX.EXE,0x8041B,AD,DE,ui_pool
PSX.EXE,0x8041C,E9,48,ui_pool
PSX.EXE,0x8041D,BD,2E,ui_pool
PSX.EXE,0x8041E,9C,DE,ui_pool
PSX.EXE,0x8041F,E9,7A,ui_pool
PSX.EXE,0x80420,85,00,ui_pool
PSX.EXE,0x80421,00,DD,ui_pool
PSX.EXE,0x80422,E0,09,ui_pool
PSX.EXE,0x80423,9A,0E,ui_pool
PSX.EXE,0x80424,E9,41,ui_pool
PSX.EXE,0x80425,BD,A1,ui_pool
PSX.EXE,0x80426,9C,50,ui_pool
PSX.EXE,0x80427,E9,3A,ui_pool
PSX.EXE,0x80428,85,A1,ui_pool
PSX.EXE,0x80429,00,6C,ui_pool
PSX.EXE,0x8042A,E9,1A,ui_pool
PSX.EXE,0x8042B,F3,00,ui_pool
PSX.EXE,0x8042C,EA,DD,ui_pool
PSX.EXE,0x8042D,6B,0A,ui_pool
PSX.EXE,0x8042E,9C,DD,ui_pool
PSX.EXE,0x8042F,E9,7B,ui_pool
PSX.EXE,0x80430,85,53,ui_pool
PSX.EXE,0x80431,00,A1,ui_pool
PSX.EXE,0x80432,E0,DD,ui_pool
PSX.EXE,0x80433,AB,09,ui_pool
PSX.EXE,0x80434,DE,A1,ui_pool
PSX.EXE,0x80435,F3,50,ui_pool
PSX.EXE,0x80437,E0,DD,ui_pool
PSX.EXE,0x80438,14,19,ui_pool
