build,row,column,changed_bytes,original_nonzero_changed_bytes,known_range_overlay_cell,static_assignments
v110,6,5,0,0,0,눈:527:p3:2B | 센:526:p2:2B
v110,6,6,0,0,0,
v110,6,7,0,0,0,이:534:p2:2B
v110,6,8,0,0,0,길:539:p3:2B
v110,6,9,0,0,0,
v110,6,10,0,0,0,
v110,6,11,0,0,0,
v110,6,12,0,0,0,
v110,6,13,0,0,0,
v110,6,14,0,0,0,떤:560:p0:2B
v110,6,15,0,0,0,득:565:p1:2B
v110,6,16,0,0,0,후:570:p2:2B
v110,6,17,0,0,0,율:573:p1:2B
v110,6,18,0,0,0,
v110,6,19,0,0,0,바:581:p1:2B
v110,6,20,0,0,0,로:586:p2:2B
v110,7,0,0,0,0,라:590:p2:2B
v110,7,1,0,0,0,
v110,7,2,0,0,0,비:598:p2:2B
v110,7,3,0,0,0,닐:600:p0:2B | 휩:603:p3:2B
v110,7,4,0,0,0,격:607:p3:2B | 소:605:p1:2B
v110,7,5,0,0,0,국:610:p2:2B
v110,7,6,0,0,0,쿠:613:p1:2B
v110,7,7,0,0,0,
v110,7,8,0,0,0,공:620:p0:2B | 좋:623:p3:2B | 탑:622:p2:2B
v110,7,9,0,0,0,
v110,7,10,0,0,0,씀:630:p2:2B
v110,7,11,0,0,0,
v110,7,12,0,0,0,뇨:637:p1:2B | 발:639:p3:2B
v110,7,13,0,0,0,계:641:p1:2B | 래:642:p2:2B
v110,7,14,0,0,0,싸:647:p3:2B
v110,7,15,0,0,0,곳:650:p2:2B
v110,7,16,0,0,0,과:652:p0:2B
v110,7,17,0,0,0,깁:657:p1:2B | 옛:659:p3:2B
v110,7,18,0,0,0,
v110,7,19,0,0,0,성:664:p0:2B | 용:666:p2:2B
v110,7,20,0,0,0,간:671:p3:2B
v110,8,0,0,0,0,건:673:p1:2B | 풍:675:p3:2B | 확:674:p2:2B
v110,8,1,0,0,0,
v110,8,2,0,0,0,
v110,8,3,0,0,0,웬:687:p3:2B | 잠:686:p2:2B | 점:684:p0:2B
v110,8,4,0,0,0,옷:690:p2:2B | 웠:688:p0:2B | 합:691:p3:2B
v110,8,5,0,0,0,
v110,8,6,0,0,0,브:699:p3:2B | 쇠:698:p2:2B | 쉽:697:p1:2B
v110,8,7,0,0,0,
v110,8,8,0,0,0,
v110,8,9,0,0,0,눌:711:p3:2B | 덮:710:p2:2B | 듭:709:p1:2B | 뛴:708:p0:2B
v110,8,10,0,0,0,꼭:715:p3:2B | 꿔:714:p2:2B | 낼:713:p1:2B | 녀:712:p0:2B
v110,8,11,0,0,0,갚:719:p3:2B | 걱:718:p2:2B | 검:717:p1:2B | 글:716:p0:2B
v110,8,12,0,0,0,두:720:p0:2B | 았:721:p1:2B | 향:722:p2:2B
v110,8,13,0,0,0,께:727:p3:2B | 황:726:p2:2B | 훨:725:p1:2B | 흩:724:p0:2B
v110,8,14,0,0,0,포:731:p3:2B | 푼:730:p2:2B | 화:728:p0:2B
v110,8,15,0,0,0,틀:735:p3:2B | 판:734:p2:2B | 퍼:733:p1:2B | 평:732:p0:2B
v110,8,16,0,0,0,큰:739:p3:2B | 탁:738:p2:2B | 태:737:p1:2B | 테:736:p0:2B
v110,8,17,0,0,0,짓:743:p3:2B | 찌:742:p2:2B | 처:741:p1:2B | 칠:740:p0:2B
v110,8,18,0,0,0,즐:747:p3:2B | 직:746:p2:2B | 진:745:p1:2B | 짊:744:p0:2B
v110,8,19,0,0,0,읽:751:p3:2B | 접:750:p2:2B | 져:749:p1:2B | 죽:748:p0:2B
v110,8,20,0,0,0,옥:754:p2:2B | 왜:753:p1:2B | 움:752:p0:2B | 치:755:p3:2B
v110,9,0,0,0,0,얽:759:p3:2B | 엇:758:p2:2B | 연:757:p1:2B | 였:756:p0:2B
v110,9,1,0,0,0,썼:763:p3:2B | 씨:762:p2:2B | 씬:761:p1:2B | 악:760:p0:2B
v110,9,2,0,0,0,람:766:p2:2B | 실:767:p3:2B | 싶:765:p1:2B | 쌓:764:p0:2B
v110,9,3,0,0,0,솟:771:p3:2B | 숨:770:p2:2B | 쉬:769:p1:2B
v110,9,4,0,0,0,삼:775:p3:2B | 섬:774:p2:2B | 섯:773:p1:2B | 셨:772:p0:2B
v110,9,5,0,0,0,봤:779:p3:2B | 북:778:p2:2B | 붙:777:p1:2B | 빨:776:p0:2B
v110,9,6,0,0,0,몸:783:p3:2B | 믿:782:p2:2B | 밖:781:p1:2B | 복:780:p0:2B
v110,9,7,0,0,0,림:787:p3:2B | 막:786:p2:2B | 매:785:p1:2B | 저:784:p0:2B
v110,9,8,0,0,0,뛰:791:p3:2B | 뜻:790:p2:2B | 럼:789:p1:2B
v110,9,9,0,0,0,둘:795:p3:2B | 드:794:p2:2B | 따:793:p1:2B | 떡:792:p0:2B
v110,9,10,0,0,0,돕:799:p3:2B | 된:798:p2:2B | 될:797:p1:2B | 됩:796:p0:2B
v110,9,11,0,0,0,닫:802:p2:2B | 담:801:p1:2B | 당:800:p0:2B
v110,9,12,0,0,0,녔:807:p3:2B | 놈:806:p2:2B | 닌:805:p1:2B | 닙:804:p0:2B
v110,9,13,0,0,0,끝:811:p3:2B | 났:810:p2:2B | 넌:809:p1:2B | 널:808:p0:2B
v110,9,14,0,0,0,꼬:815:p3:2B | 끄:814:p2:2B | 끊:813:p1:2B | 끌:812:p0:2B
v110,9,15,0,0,0,깨:817:p1:2B | 꺄:816:p0:2B | 든:818:p2:2B | 침:819:p3:2B
v110,9,16,0,0,0,걷:822:p2:2B | 곧:821:p1:2B | 굉:820:p0:2B | 외:823:p3:2B
v110,9,17,0,0,0,갔:825:p1:2B | 강:824:p0:2B
v110,9,18,26,0,0,
v110,9,19,25,0,0,
v110,9,20,53,0,0,
v110,10,0,0,0,0,런:840:p0:2B | 력:842:p2:2B | 미:843:p3:2B | 방:841:p1:2B
v110,10,1,0,0,0,님:844:p0:2B | 메:845:p1:2B | 행:847:p3:2B
v110,10,2,0,0,1,단:851:p3:2B | 동:848:p0:2B | 명:850:p2:2B | 언:849:p1:2B
v110,10,3,0,0,1,금:855:p3:2B | 뀌:854:p2:2B | 머:853:p1:2B | 문:852:p0:2B
v110,10,4,0,0,1,규:856:p0:2B | 피:859:p3:2B | 혼:858:p2:2B
v110,10,5,0,0,1,결:863:p3:2B | 괜:862:p2:2B | 잇:861:p1:2B | 투:860:p0:2B
v110,10,6,0,0,0,꺼:866:p2:2B | 법:864:p0:2B | 킬:865:p1:2B | 풀:867:p3:2B
v110,10,7,0,0,0,앞:871:p3:2B | 째:870:p2:2B | 천:869:p1:2B | 팔:868:p0:2B
v110,10,8,0,0,0,새:875:p3:2B | 싫:874:p2:2B | 쓸:873:p1:2B | 알:872:p0:2B
v110,10,9,0,0,0,둔:879:p3:2B | 렌:878:p2:2B | 롭:877:p1:2B | 봉:876:p0:2B
v110,10,10,0,0,0,껐:883:p3:2B | 꽃:882:p2:2B | 날:881:p1:2B | 번:880:p0:2B
v110,10,11,0,0,0,플:887:p3:2B | 헤:886:p2:2B | 흥:885:p1:2B
v110,10,12,0,0,0,털:891:p3:2B | 텅:890:p2:2B | 파:889:p1:2B | 프:888:p0:2B
v110,10,13,0,0,0,쪽:895:p3:2B | 쭐:894:p2:2B | 최:893:p1:2B | 코:892:p0:2B
v110,10,14,0,0,0,줄:899:p3:2B | 중:898:p2:2B | 줬:897:p1:2B | 질:896:p0:2B
v110,10,15,0,0,0,워:903:p3:2B | 잘:902:p2:2B | 젠:901:p1:2B | 좀:900:p0:2B
v110,10,16,0,0,0,루:907:p3:2B | 약:906:p2:2B | 엘:905:p1:2B | 왔:904:p0:2B
v110,10,17,0,0,0,떻:909:p1:2B | 슬:911:p3:2B | 식:910:p2:2B | 써:908:p0:2B
v110,10,18,0,0,0,벌:915:p3:2B | 산:912:p0:2B | 섞:914:p2:2B | 송:913:p1:2B
v110,10,19,0,0,0,민:919:p3:2B | 배:918:p2:2B | 뱀:917:p1:2B | 혜:916:p0:2B
v110,10,20,0,0,0,먼:923:p3:2B | 멋:922:p2:2B | 멘:921:p1:2B | 며:920:p0:2B
v110,11,0,0,0,0,렇:925:p1:2B | 선:926:p2:2B | 참:927:p3:2B
v110,11,1,0,0,0,
v110,11,2,0,0,1,노:932:p0:2B | 본:934:p2:2B | 키:935:p3:2B | 험:933:p1:2B
v110,11,3,0,0,1,
v110,11,4,0,0,1,
v110,11,5,0,0,1,년:945:p1:2B | 늘:944:p0:2B | 온:946:p2:2B
v110,11,6,48,0,0,
v110,11,7,0,0,0,놀:954:p2:2B | 속:953:p1:2B | 폭:952:p0:2B
v110,11,8,0,0,0,희:958:p2:2B | 히:957:p1:2B
v110,11,9,0,0,0,레:961:p1:2B | 친:963:p3:2B | 카:962:p2:2B | 했:960:p0:2B
v110,11,10,0,0,0,작:964:p0:2B | 쯤:967:p3:2B | 찮:966:p2:2B | 첩:965:p1:2B
v110,11,11,0,0,0,적:971:p3:2B | 졌:970:p2:2B | 죠:969:p1:2B | 줘:968:p0:2B
v110,11,12,0,0,0,잖:974:p2:2B | 잡:973:p1:2B | 쟁:972:p0:2B
v110,11,13,0,0,0,뭐:977:p1:2B | 울:978:p2:2B | 응:976:p0:2B | 찾:979:p3:2B
v110,11,14,0,0,0,애:983:p3:2B | 엔:981:p1:2B | 역:980:p0:2B | 템:982:p2:2B
v110,11,15,0,0,0,감:985:p1:2B | 쓰:986:p2:2B
v110,11,16,0,0,0,망:989:p1:2B | 살:990:p2:2B | 생:988:p0:2B
v110,11,17,0,0,0,불:994:p2:2B | 빼:993:p1:2B
v110,11,18,0,0,0,각:998:p2:2B | 난:996:p0:2B | 봐:997:p1:2B
v110,11,19,0,0,0,류:1001:p1:2B | 륭:1002:p2:2B | 받:1000:p0:2B
v110,11,20,0,0,0,겨:1006:p2:2B | 괴:1005:p1:2B | 환:1004:p0:2B
v110,12,0,0,0,0,족:1008:p0:2B | 타:1010:p2:2B | 편:1011:p3:2B
v110,12,1,0,0,0,
v110,12,2,0,0,1,못:1018:p2:2B | 씩:1017:p1:2B | 품:1019:p3:2B
v110,12,3,0,0,1,
v110,12,4,0,0,1,
v110,12,5,0,0,1,남:1028:p0:2B | 냐:1030:p2:2B
v110,12,6,47,0,0,
v110,12,7,0,0,0,누:1036:p0:2B | 열:1037:p1:2B | 형:1038:p2:2B
v110,12,8,44,0,0,
v110,12,9,51,0,0,
v110,12,10,42,0,0,
v110,12,11,45,0,0,
v110,12,12,47,0,0,
v110,12,13,46,0,0,
v110,12,14,49,0,0,
v110,12,15,50,0,0,
v110,12,16,47,0,0,
v110,12,17,38,0,0,
v110,12,18,44,0,0,
v110,12,19,49,0,0,
v110,12,20,46,0,0,
v110,13,0,0,0,0,슈:1094:p2:2B | 준:1092:p0:2B | 표:1095:p3:2B
v110,13,1,0,0,0,걸:1098:p2:2B | 석:1097:p1:2B | 체:1099:p3:2B
v110,13,2,0,0,1,느:1101:p1:2B | 숲:1100:p0:2B | 톤:1102:p2:2B
v110,13,3,0,0,1,
v110,13,4,0,0,1,
v110,13,5,0,0,1,같:1113:p1:2B | 트:1114:p2:2B | 폐:1115:p3:2B | 활:1112:p0:2B
v110,13,6,34,0,0,
v110,13,7,0,0,0,반:1122:p2:2B
v110,13,8,52,0,0,
v110,13,9,52,0,0,
v110,13,10,54,0,0,
v110,13,11,48,0,0,
v110,13,12,47,0,0,
v110,13,13,53,0,0,
v110,13,14,48,0,0,
v110,13,15,54,0,0,
v110,13,16,47,0,0,
v110,13,17,47,0,0,
v110,13,18,48,0,0,
v110,13,19,53,0,0,
v110,13,20,50,0,0,
v110,14,0,48,0,0,
v110,14,1,49,0,0,
v110,14,2,48,0,0,
v110,14,3,48,0,0,
v110,14,4,46,0,0,
v110,14,5,51,0,0,
v110,14,6,52,0,0,
v110,14,7,53,0,0,
v110,14,8,49,0,0,
v110,14,9,50,0,0,
v110,14,10,50,0,0,
v110,14,11,50,0,0,
v110,14,12,50,0,0,
v110,14,13,52,0,0,
v110,14,14,52,0,0,
v110,14,15,50,0,0,
v110,14,16,45,0,0,
v110,14,17,50,0,0,
v110,14,18,44,0,0,
v110,14,19,46,0,0,
v110,14,20,45,0,0,
v110,15,0,46,0,0,
v110,15,1,40,0,0,
v110,15,2,56,0,0,
v110,15,3,46,0,0,
v110,15,4,51,0,0,
v110,15,5,51,0,0,
v110,15,6,50,0,0,
v110,15,7,42,0,0,
v110,15,8,53,0,0,
v110,15,9,52,0,0,
v110,15,10,48,0,0,
v110,15,11,45,0,0,
v110,15,12,53,0,0,
v110,15,13,46,0,0,
v110,15,14,48,0,0,
v110,15,15,49,0,0,
v110,15,16,50,0,0,
v110,15,17,48,0,0,
v110,15,18,51,0,0,
v110,15,19,48,0,0,
v110,15,20,53,0,0,
v110,16,0,53,0,0,
v110,16,1,54,0,0,
v110,16,2,41,0,0,
v110,16,3,52,0,0,
v110,16,4,46,0,0,
v110,16,5,54,0,0,
v110,16,6,52,0,0,
v110,16,7,48,0,0,
v110,16,8,46,0,0,
v110,16,9,40,0,0,
v110,16,10,47,0,0,
v110,16,11,43,0,0,
v110,16,12,51,0,0,
v110,16,13,51,0,0,
v110,16,14,50,0,0,
v110,16,15,49,0,0,
v110,16,16,54,0,0,
v110,16,17,47,0,0,
v110,16,18,47,0,0,
v110,16,19,47,0,0,
v110,16,20,50,0,0,
v110,17,0,0,0,0,궤:1430:p2:2B | 슨:1431:p3:2B | 얻:1429:p1:2B
v110,17,1,0,0,0,갈:1434:p2:2B | 개:1433:p1:2B | 더:1432:p0:2B | 빌:1435:p3:2B
v110,17,2,0,0,0,겐:1436:p0:2B | 론:1438:p2:2B | 앗:1437:p1:2B
v110,17,3,0,0,0,돼:1441:p1:2B | 른:1442:p2:2B | 맞:1440:p0:2B | 차:1443:p3:2B
v110,17,4,0,0,0,맡:1444:p0:2B | 빛:1447:p3:2B | 임:1445:p1:2B
v110,17,5,0,0,0,련:1448:p0:2B | 몰:1451:p3:2B | 켜:1450:p2:2B | 함:1449:p1:2B
v110,17,6,0,0,0,디:1455:p3:2B | 린:1454:p2:2B | 릴:1452:p0:2B | 뿐:1453:p1:2B
v110,17,7,0,0,0,멸:1459:p3:2B | 절:1458:p2:2B | 탄:1457:p1:2B
v110,17,8,0,0,0,관:1460:p0:2B | 능:1463:p3:2B | 떠:1461:p1:2B | 집:1462:p2:2B
v110,17,9,0,0,0,꾸:1466:p2:2B | 술:1465:p1:2B | 욕:1464:p0:2B | 쳐:1467:p3:2B
v110,17,10,0,0,0,겁:1470:p2:2B | 셋:1468:p0:2B | 케:1471:p3:2B | 항:1469:p1:2B
v110,17,11,0,0,0,뭔:1472:p0:2B | 벨:1473:p1:2B | 클:1475:p3:2B | 톨:1474:p2:2B
v110,17,12,0,0,0,넘:1478:p2:2B | 됐:1477:p1:2B | 별:1476:p0:2B | 커:1479:p3:2B
v110,17,13,42,0,0,
v110,17,14,48,0,0,
v110,17,15,43,0,0,
v110,17,16,45,0,0,
v110,17,17,48,0,0,
v110,17,18,47,0,0,
v110,17,19,46,0,0,
v110,17,20,43,0,0,
v110,18,0,0,0,0,
v110,18,1,0,0,0,
v110,18,2,0,0,0,
v110,18,3,0,0,0,
v110,18,4,0,0,0,
v110,18,5,0,0,0,
v110,18,6,0,0,0,
v110,18,7,0,0,0,
v110,18,8,0,0,0,
v110,18,9,0,0,0,
v110,18,10,0,0,0,
v110,18,11,0,0,0,
v110,18,12,0,0,0,
v110,18,13,48,0,0,
v110,18,14,46,0,0,
v110,18,15,45,0,0,
v110,18,16,46,0,0,
v110,18,17,45,0,0,
v110,18,18,49,0,0,
v110,18,19,47,0,0,
v110,18,20,47,0,0,
v110,19,0,0,0,0,
v110,19,1,0,0,0,
v110,19,2,0,0,0,
v110,19,3,0,0,0,
v110,19,4,0,0,0,
v110,19,5,0,0,0,
v110,19,6,0,0,0,
v110,19,7,0,0,0,
v110,19,8,50,0,0,
v110,19,9,48,0,0,
v110,19,10,46,0,0,
v110,19,11,47,0,0,
v110,19,12,48,0,0,
v110,19,13,46,0,0,
v110,19,14,51,0,0,
v110,19,15,60,0,0,
v110,19,16,52,0,0,
v110,19,17,60,0,0,
v110,19,18,72,0,0,
v110,19,19,61,0,0,
v110,19,20,50,0,0,
v110,20,0,0,0,0,
v110,20,1,0,0,0,
v110,20,2,0,0,0,
v110,20,3,0,0,0,
v110,20,4,0,0,0,
v110,20,5,0,0,0,
v110,20,6,0,0,0,
v110,20,7,0,0,0,
v110,20,8,53,0,0,
v110,20,9,50,0,0,
v110,20,10,42,0,0,
v110,20,11,48,0,0,
v110,20,12,48,0,0,
v110,20,13,56,0,0,
v110,20,14,51,0,0,
v110,20,15,52,0,0,
v110,20,16,49,0,0,
v110,20,17,44,0,0,
v110,20,18,47,0,0,
v110,20,19,38,0,0,
v110,20,20,42,0,0,
v151,0,0,0,0,0,
v151,0,1,0,0,0,
v151,0,2,0,0,0,
v151,0,3,0,0,0,
v151,0,4,0,0,0,
v151,0,5,0,0,0,
v151,0,6,0,0,0,
v151,0,7,0,0,0,
v151,0,8,0,0,0,
v151,0,9,0,0,0,
v151,0,10,0,0,0,
v151,0,11,0,0,0,
v151,0,12,0,0,0,
v151,0,13,0,0,0,
v151,0,14,39,32,0,괄:59:p3:1B
v151,0,15,47,39,0,량:63:p3:1B
v151,0,16,39,34,0,덕:67:p3:1B
v151,0,17,45,36,0,니:68:p0:1B | 에:69:p1:1B
v151,0,18,0,0,0,
v151,0,19,60,58,0,그:78:p2:1B | 어:77:p1:1B | 의:76:p0:1B
v151,0,20,60,52,0,고:80:p0:1B | 나:81:p1:1B | 있:82:p2:1B
v151,1,0,42,37,0,은:85:p1:1B
v151,1,1,40,32,0,서:88:p0:1B
v151,1,2,63,54,0,도:93:p1:1B | 시:92:p0:1B | 정:94:p2:1B
v151,1,3,34,32,0,습:96:p0:1B
v151,1,4,60,51,0,게:101:p1:1B | 를:100:p0:1B | 만:103:p3:1B | 여:102:p2:1B
v151,1,5,59,44,0,기:104:p0:1B | 사:105:p1:1B
v151,1,6,59,55,0,까:108:p0:1B | 스:110:p2:1B | 초:109:p1:1B
v151,1,7,54,49,0,지:113:p1:1B | 핀:112:p0:1B | 해:115:p3:1B
v151,1,8,60,55,0,다:119:p3:1B | 대:118:p2:1B | 수:117:p1:1B | 오:116:p0:1B
v151,1,9,61,52,0,것:122:p2:1B | 들:123:p3:1B | 야:120:p0:1B | 으:121:p1:1B
v151,1,10,58,53,0,뒤:124:p0:1B | 면:125:p1:1B
v151,1,11,62,61,0,는:131:p3:1B | 령:128:p0:1B | 인:130:p2:1B | 전:129:p1:1B
v151,1,12,66,63,0,신:133:p1:1B | 우:135:p3:1B | 주:134:p2:1B | 한:132:p0:1B
v151,1,13,64,58,0,보:137:p1:1B | 요:138:p2:1B | 자:136:p0:1B
v151,1,14,56,53,0,가:142:p2:1B | 승:141:p1:1B | 터:140:p0:1B
v151,1,15,65,61,0,내:147:p3:1B | 려:146:p2:1B | 말:145:p1:1B | 었:144:p0:1B
v151,1,16,59,50,0,모:151:p3:1B | 무:149:p1:1B | 십:150:p2:1B | 아:148:p0:1B
v151,1,17,64,60,0,경:153:p1:1B | 군:154:p2:1B | 르:152:p0:1B
v151,1,18,65,64,0,일:156:p0:1B | 크:157:p1:1B | 힘:158:p2:1B
v151,1,19,60,49,0,러:162:p2:1B | 없:160:p0:1B | 입:161:p1:1B | 조:163:p3:1B
v151,1,20,60,52,0,구:166:p2:1B | 버:167:p3:1B | 심:165:p1:1B | 왕:164:p0:1B
v151,2,0,63,63,0,몬:170:p2:1B | 물:169:p1:1B | 하:168:p0:1B
v151,2,1,64,61,0,거:174:p2:1B | 데:172:p0:1B | 않:173:p1:1B
v151,2,2,62,58,0,돌:176:p0:1B | 병:178:p2:1B | 부:177:p1:1B | 제:179:p3:1B
v151,2,3,60,58,0,올:183:p3:1B | 와:182:p2:1B | 원:180:p0:1B | 회:181:p1:1B
v151,2,4,61,49,0,때:184:p0:1B | 위:186:p2:1B
v151,2,5,63,62,0,네:189:p1:1B | 리:188:p0:1B | 분:190:p2:1B
v151,2,6,63,60,0,겠:195:p3:1B | 되:193:p1:1B | 손:194:p2:1B | 출:192:p0:1B
v151,2,7,66,66,0,넣:199:p3:1B | 예:198:p2:1B | 음:197:p1:1B | 할:196:p0:1B
v151,2,8,60,57,0,유:202:p2:1B | 촌:200:p0:1B
v151,2,9,58,58,0,상:204:p0:1B | 장:205:p1:1B
v151,2,10,66,66,0,마:211:p3:1B | 변:209:p1:1B | 세:210:p2:1B | 토:208:p0:1B
v151,2,11,64,61,0,을:212:p0:1B
v151,2,12,64,60,0,너:218:p2:1B | 안:216:p0:1B | 운:217:p1:1B | 호:219:p3:1B
v151,2,13,0,0,0,
v151,2,14,0,0,0,
v151,2,15,0,0,0,
v151,2,16,0,0,0,
v151,2,17,0,0,0,
v151,2,18,0,0,0,
v151,2,19,0,0,0,
v151,2,20,0,0,0,
v151,3,0,0,0,0,
v151,3,1,32,28,0,목:257:p1:2B
v151,3,2,44,42,0,많:263:p3:2B
v151,3,3,0,0,0,
v151,3,4,0,0,0,
v151,3,5,0,0,0,
v151,3,6,0,0,0,
v151,3,7,0,0,0,
v151,3,8,0,0,0,
v151,3,9,40,39,0,즘:289:p1:2B
v151,3,10,0,0,0,
v151,3,11,0,0,0,
v151,3,12,0,0,0,
v151,3,13,0,0,0,
v151,3,14,34,34,0,잃:308:p0:2B
v151,3,15,0,0,0,
v151,3,16,0,0,0,
