File LBA log generated by MKPSXISO v2.30

Image bin file: "E:\arc\arc1_v189_dialogue_timing_choice_rows_DA219F8F.bin"
Image cue file: "E:\arc\arc1_v189_dialogue_timing_choice_rows_DA219F8F.cue"

File System:

     Type |     Name     | Length |  LBA  | Timecode |   Bytes   |    Source File
      File |S1041.DAT     |149     |3642   |00:50:42  |305152     |out/1/S1041.DAT
      File |S1041.IMG     |158     |3791   |00:52:41  |323584     |out/1/S1041.IMG
      File |S1051.DAT     |149     |3949   |00:54:49  |305152     |out/1/S1051.DAT
      File |S1051.IMG     |158     |4098   |00:56:48  |323584     |out/1/S1051.IMG
      File |S1061.DAT     |149     |4256   |00:58:56  |305152     |out/1/S1061.DAT
      File |S1061.IMG     |96      |4405   |01:00:55  |196608     |out/1/S1061.IMG
      File |S1071.DAT     |149     |4501   |01:02:01  |305152     |out/1/S1071.DAT
      File |S1071.IMG     |158     |4650   |01:04:00  |323584     |out/1/S1071.IMG
      File |S1072.DAT     |149     |4808   |01:06:08  |305152     |out/1/S1072.DAT
      File |S1072.IMG     |96      |4957   |01:08:07  |196608     |out/1/S1072.IMG
     End  |1             |        |       |          |           |
     Dir  |21            |        |5053   |01:09:28  |           |
      File |S2011.DAT     |149     |5054   |01:09:29  |305152     |out/21/S2011.DAT
      File |S2011.IMG     |158     |5203   |01:11:28  |323584     |out/21/S2011.IMG
      File |S2012.DAT     |149     |5361   |01:13:36  |305152     |out/21/S2012.DAT
      File |S2012.IMG     |158     |5510   |01:15:35  |323584     |out/21/S2012.IMG
      File |S2013.DAT     |149     |5668   |01:17:43  |305152     |out/21/S2013.DAT
      File |S2013.IMG     |158     |5817   |01:19:42  |323584     |out/21/S2013.IMG
      File |S2014.DAT     |149     |5975   |01:21:50  |305152     |out/21/S2014.DAT
      File |S2014.IMG     |158     |6124   |01:23:49  |323584     |out/21/S2014.IMG
      File |S2021.DAT     |149     |6282   |01:25:57  |305152     |out/21/S2021.DAT
      File |S2021.IMG     |158     |6431   |01:27:56  |323584     |out/21/S2021.IMG
      File |S2022.DAT     |149     |6589   |01:29:64  |305152     |out/21/S2022.DAT
      File |S2022.IMG     |158     |6738   |01:31:63  |323584     |out/21/S2022.IMG
      File |S2031.DAT     |149     |6896   |01:33:71  |305152     |out/21/S2031.DAT
      File |S2031.IMG     |158     |7045   |01:35:70  |323584     |out/21/S2031.IMG
      File |S2032.DAT     |149     |7203   |01:38:03  |305152     |out/21/S2032.DAT
      File |S2032.IMG     |158     |7352   |01:40:02  |323584     |out/21/S2032.IMG
      File |S2033.DAT     |149     |7510   |01:42:10  |305152     |out/21/S2033.DAT
      File |S2033.IMG     |96      |7659   |01:44:09  |196608     |out/21/S2033.IMG
      File |S2034.DAT     |149     |7755   |01:45:30  |305152     |out/21/S2034.DAT
      File |S2034.IMG     |158     |7904   |01:47:29  |323584     |out/21/S2034.IMG
      File |S2041.DAT     |149     |8062   |01:49:37  |305152     |out/21/S2041.DAT
      File |S2041.IMG     |158     |8211   |01:51:36  |323584     |out/21/S2041.IMG
      File |S2042.DAT     |149     |8369   |01:53:44  |305152     |out/21/S2042.DAT
      File |S2042.IMG     |158     |8518   |01:55:43  |323584     |out/21/S2042.IMG
      File |S2043.DAT     |149     |8676   |01:57:51  |305152     |out/21/S2043.DAT
      File |S2043.IMG     |158     |8825   |01:59:50  |323584     |out/21/S2043.IMG
      File |S2044.DAT     |149     |8983   |02:01:58  |305152     |out/21/S2044.DAT
      File |S2044.IMG     |158     |9132   |02:03:57  |323584     |out/21/S2044.IMG
      File |S2045.DAT     |149     |9290   |02:05:65  |305152     |out/21/S2045.DAT
      File |S2045.IMG     |158     |9439   |02:07:64  |323584     |out/21/S2045.IMG
     End  |21            |        |       |          |           |
     Dir  |22            |        |9597   |02:09:72  |           |
      File |S2046.DAT     |149     |9598   |02:09:73  |305152     |out/22/S2046.DAT
      File |S2046.IMG     |158     |9747   |02:11:72  |323584     |out/22/S2046.IMG
      File |S2047.DAT     |149     |9905   |02:14:05  |305152     |out/22/S2047.DAT
      File |S2047.IMG     |158     |10054  |02:16:04  |323584     |out/22/S2047.IMG
      File |S2051.DAT     |149     |10212  |02:18:12  |305152     |out/22/S2051.DAT
      File |S2051.IMG     |96      |10361  |02:20:11  |196608     |out/22/S2051.IMG
      File |S2052.DAT     |149     |10457  |02:21:32  |305152     |out/22/S2052.DAT
      File |S2052.IMG     |158     |10606  |02:23:31  |323584     |out/22/S2052.IMG
      File |S2053.DAT     |149     |10764  |02:25:39  |305152     |out/22/S2053.DAT
      File |S2053.IMG     |96      |10913  |02:27:38  |196608     |out/22/S2053.IMG
      File |S2054.DAT     |149     |11009  |02:28:59  |305152     |out/22/S2054.DAT
      File |S2054.IMG     |158     |11158  |02:30:58  |323584     |out/22/S2054.IMG
      File |S2055.DAT     |149     |11316  |02:32:66  |305152     |out/22/S2055.DAT
      File |S2055.IMG     |158     |11465  |02:34:65  |323584     |out/22/S2055.IMG
      File |S2056.DAT     |149     |11623  |02:36:73  |305152     |out/22/S2056.DAT
      File |S2056.IMG     |158     |11772  |02:38:72  |323584     |out/22/S2056.IMG
      File |S2057.DAT     |149     |11930  |02:41:05  |305152     |out/22/S2057.DAT
      File |S2057.IMG     |158     |12079  |02:43:04  |323584     |out/22/S2057.IMG
      File |S2058.DAT     |149     |12237  |02:45:12  |305152     |out/22/S2058.DAT
      File |S2058.IMG     |158     |12386  |02:47:11  |323584     |out/22/S2058.IMG
      File |S2059.DAT     |149     |12544  |02:49:19  |305152     |out/22/S2059.DAT
      File |S2059.IMG     |158     |12693  |02:51:18  |323584     |out/22/S2059.IMG
      File |S205A.DAT     |149     |12851  |02:53:26  |305152     |out/22/S205A.DAT
      File |S205A.IMG     |158     |13000  |02:55:25  |323584     |out/22/S205A.IMG
      File |S205B.DAT     |149     |13158  |02:57:33  |305152     |out/22/S205B.DAT
      File |S205B.IMG     |158     |13307  |02:59:32  |323584     |out/22/S205B.IMG
      File |S205C.DAT     |149     |13465  |03:01:40  |305152     |out/22/S205C.DAT
      File |S205C.IMG     |96      |13614  |03:03:39  |196608     |out/22/S205C.IMG
     End  |22            |        |       |          |           |
     Dir  |23            |        |13710  |03:04:60  |           |
      File |S2061.DAT     |149     |13711  |03:04:61  |305152     |out/23/S2061.DAT
      File |S2061.IMG     |158     |13860  |03:06:60  |323584     |out/23/S2061.IMG
      File |S2071.DAT     |149     |14018  |03:08:68  |305152     |out/23/S2071.DAT
      File |S2071.IMG     |158     |14167  |03:10:67  |323584     |out/23/S2071.IMG
      File |S2081.DAT     |149     |14325  |03:13:00  |305152     |out/23/S2081.DAT
      File |S2081.IMG     |158     |14474  |03:14:74  |323584     |out/23/S2081.IMG
      File |S2082.DAT     |149     |14632  |03:17:07  |305152     |out/23/S2082.DAT
      File |S2082.IMG     |158     |14781  |03:19:06  |323584     |out/23/S2082.IMG
     End  |23            |        |       |          |           |
     Dir  |31            |        |14939  |03:21:14  |           |
      File |S3011.DAT     |149     |14940  |03:21:15  |305152     |out/31/S3011.DAT
      File |S3011.IMG     |158     |15089  |03:23:14  |323584     |out/31/S3011.IMG
      File |S3012.DAT     |149     |15247  |03:25:22  |305152     |out/31/S3012.DAT
      File |S3012.IMG     |158     |15396  |03:27:21  |323584     |out/31/S3012.IMG
      File |S3013.DAT     |149     |15554  |03:29:29  |305152     |out/31/S3013.DAT
      File |S3013.IMG     |158     |15703  |03:31:28  |323584     |out/31/S3013.IMG
      File |S3014.DAT     |149     |15861  |03:33:36  |305152     |out/31/S3014.DAT
      File |S3014.IMG     |158     |16010  |03:35:35  |323584     |out/31/S3014.IMG
      File |S3021.DAT     |149     |16168  |03:37:43  |305152     |out/31/S3021.DAT
      File |S3021.IMG     |158     |16317  |03:39:42  |323584     |out/31/S3021.IMG
      File |S3022.DAT     |149     |16475  |03:41:50  |305152     |out/31/S3022.DAT
      File |S3022.IMG     |158     |16624  |03:43:49  |323584     |out/31/S3022.IMG
      File |S3023.DAT     |149     |16782  |03:45:57  |305152     |out/31/S3023.DAT
      File |S3023.IMG     |158     |16931  |03:47:56  |323584     |out/31/S3023.IMG
      File |S3024.DAT     |149     |17089  |03:49:64  |305152     |out/31/S3024.DAT
      File |S3024.IMG     |158     |17238  |03:51:63  |323584     |out/31/S3024.IMG
      File |S3031.DAT     |149     |17396  |03:53:71  |305152     |out/31/S3031.DAT
      File |S3031.IMG     |158     |17545  |03:55:70  |323584     |out/31/S3031.IMG
      File |S3032.DAT     |149     |17703  |03:58:03  |305152     |out/31/S3032.DAT
      File |S3032.IMG     |158     |17852  |04:00:02  |323584     |out/31/S3032.IMG
      File |S3041.DAT     |149     |18010  |04:02:10  |305152     |out/31/S3041.DAT
      File |S3041.IMG     |158     |18159  |04:04:09  |323584     |out/31/S3041.IMG
     End  |31            |        |       |          |           |
     Dir  |32            |        |18317  |04:06:17  |           |
      File |S3051.DAT     |149     |18318  |04:06:18  |305152     |out/32/S3051.DAT
      File |S3051.IMG     |158     |18467  |04:08:17  |323584     |out/32/S3051.IMG
      File |S3061.DAT     |149     |18625  |04:10:25  |305152     |out/32/S3061.DAT
      File |S3061.IMG     |158     |18774  |04:12:24  |323584     |out/32/S3061.IMG
      File |S3062.DAT     |149     |18932  |04:14:32  |305152     |out/32/S3062.DAT
      File |S3062.IMG     |158     |19081  |04:16:31  |323584     |out/32/S3062.IMG
      File |S3063.DAT     |149     |19239  |04:18:39  |305152     |out/32/S3063.DAT
      File |S3063.IMG     |158     |19388  |04:20:38  |323584     |out/32/S3063.IMG
      File |S3064.DAT     |149     |19546  |04:22:46  |305152     |out/32/S3064.DAT
      File |S3064.IMG     |158     |19695  |04:24:45  |323584     |out/32/S3064.IMG
      File |S3065.DAT     |149     |19853  |04:26:53  |305152     |out/32/S3065.DAT
      File |S3065.IMG     |158     |20002  |04:28:52  |323584     |out/32/S3065.IMG
      File |S3066.DAT     |149     |20160  |04:30:60  |305152     |out/32/S3066.DAT
      File |S3066.IMG     |158     |20309  |04:32:59  |323584     |out/32/S3066.IMG
      File |S3067.DAT     |149     |20467  |04:34:67  |305152     |out/32/S3067.DAT
      File |S3067.IMG     |158     |20616  |04:36:66  |323584     |out/32/S3067.IMG
      File |S3068.DAT     |149     |20774  |04:38:74  |305152     |out/32/S3068.DAT
      File |S3068.IMG     |158     |20923  |04:40:73  |323584     |out/32/S3068.IMG
     End  |32            |        |       |          |           |
     Dir  |4             |        |21081  |04:43:06  |           |
      File |S4011.DAT     |149     |21082  |04:43:07  |305152     |out/4/S4011.DAT
      File |S4011.IMG     |158     |21231  |04:45:06  |323584     |out/4/S4011.IMG
      File |S4012.DAT     |149     |21389  |04:47:14  |305152     |out/4/S4012.DAT
      File |S4012.IMG     |96      |21538  |04:49:13  |196608     |out/4/S4012.IMG
      File |S4013.DAT     |149     |21634  |04:50:34  |305152     |out/4/S4013.DAT
      File |S4013.IMG     |96      |21783  |04:52:33  |196608     |out/4/S4013.IMG
      File |S4021.DAT     |149     |21879  |04:53:54  |305152     |out/4/S4021.DAT
      File |S4021.IMG     |158     |22028  |04:55:53  |323584     |out/4/S4021.IMG
      File |S4022.DAT     |149     |22186  |04:57:61  |305152     |out/4/S4022.DAT
      File |S4022.IMG     |158     |22335  |04:59:60  |323584     |out/4/S4022.IMG
      File |S4031.DAT     |149     |22493  |05:01:68  |305152     |out/4/S4031.DAT
      File |S4031.IMG     |96      |22642  |05:03:67  |196608     |out/4/S4031.IMG
      File |S4032.DAT     |149     |22738  |05:05:13  |305152     |out/4/S4032.DAT
      File |S4032.IMG     |158     |22887  |05:07:12  |323584     |out/4/S4032.IMG
      File |S4033.DAT     |149     |23045  |05:09:20  |305152     |out/4/S4033.DAT
      File |S4033.IMG     |158     |23194  |05:11:19  |323584     |out/4/S4033.IMG
      File |S4034.DAT     |149     |23352  |05:13:27  |305152     |out/4/S4034.DAT
      File |S4034.IMG     |158     |23501  |05:15:26  |323584     |out/4/S4034.IMG
      File |S4035.DAT     |149     |23659  |05:17:34  |305152     |out/4/S4035.DAT
      File |S4035.IMG     |158     |23808  |05:19:33  |323584     |out/4/S4035.IMG
      File |S4036.DAT     |149     |23966  |05:21:41  |305152     |out/4/S4036.DAT
      File |S4036.IMG     |158     |24115  |05:23:40  |323584     |out/4/S4036.IMG
      File |S4041.DAT     |149     |24273  |05:25:48  |305152     |out/4/S4041.DAT
      File |S4041.IMG     |158     |24422  |05:27:47  |323584     |out/4/S4041.IMG
      File |S4051.DAT     |149     |24580  |05:29:55  |305152     |out/4/S4051.DAT
      File |S4051.IMG     |158     |24729  |05:31:54  |323584     |out/4/S4051.IMG
      File |S4061.DAT     |149     |24887  |05:33:62  |305152     |out/4/S4061.DAT
      File |S4061.IMG     |158     |25036  |05:35:61  |323584     |out/4/S4061.IMG
      File |S4062.DAT     |149     |25194  |05:37:69  |305152     |out/4/S4062.DAT
      File |S4062.IMG     |158     |25343  |05:39:68  |323584     |out/4/S4062.IMG
     End  |4             |        |       |          |           |
     Dir  |5             |        |25501  |05:42:01  |           |
      File |S5011.DAT     |149     |25502  |05:42:02  |305152     |out/5/S5011.DAT
      File |S5011.IMG     |158     |25651  |05:44:01  |323584     |out/5/S5011.IMG
      File |S5012.DAT     |149     |25809  |05:46:09  |305152     |out/5/S5012.DAT
      File |S5012.IMG     |158     |25958  |05:48:08  |323584     |out/5/S5012.IMG
      File |S5013.DAT     |149     |26116  |05:50:16  |305152     |out/5/S5013.DAT
      File |S5013.IMG     |158     |26265  |05:52:15  |323584     |out/5/S5013.IMG
      File |S5021.DAT     |149     |26423  |05:54:23  |305152     |out/5/S5021.DAT
      File |S5021.IMG     |158     |26572  |05:56:22  |323584     |out/5/S5021.IMG
      File |S5022.DAT     |149     |26730  |05:58:30  |305152     |out/5/S5022.DAT
      File |S5022.IMG     |158     |26879  |06:00:29  |323584     |out/5/S5022.IMG
      File |S5023.DAT     |149     |27037  |06:02:37  |305152     |out/5/S5023.DAT
      File |S5023.IMG     |158     |27186  |06:04:36  |323584     |out/5/S5023.IMG
      File |S5024.DAT     |149     |27344  |06:06:44  |305152     |out/5/S5024.DAT
      File |S5024.IMG     |158     |27493  |06:08:43  |323584     |out/5/S5024.IMG
      File |S5025.DAT     |149     |27651  |06:10:51  |305152     |out/5/S5025.DAT
      File |S5025.IMG     |158     |27800  |06:12:50  |323584     |out/5/S5025.IMG
      File |S5026.DAT     |149     |27958  |06:14:58  |305152     |out/5/S5026.DAT
      File |S5026.IMG     |158     |28107  |06:16:57  |323584     |out/5/S5026.IMG
      File |S5031.DAT     |149     |28265  |06:18:65  |305152     |out/5/S5031.DAT
      File |S5031.IMG     |158     |28414  |06:20:64  |323584     |out/5/S5031.IMG
      File |S5032.DAT     |149     |28572  |06:22:72  |305152     |out/5/S5032.DAT
      File |S5032.IMG     |158     |28721  |06:24:71  |323584     |out/5/S5032.IMG
      File |S5041.DAT     |149     |28879  |06:27:04  |305152     |out/5/S5041.DAT
      File |S5041.IMG     |158     |29028  |06:29:03  |323584     |out/5/S5041.IMG
      File |S5051.DAT     |149     |29186  |06:31:11  |305152     |out/5/S5051.DAT
      File |S5051.IMG     |158     |29335  |06:33:10  |323584     |out/5/S5051.IMG
      File |S5052.DAT     |149     |29493  |06:35:18  |305152     |out/5/S5052.DAT
      File |S5052.IMG     |158     |29642  |06:37:17  |323584     |out/5/S5052.IMG
     End  |5             |        |       |          |           |
     Dir  |6             |        |29800  |06:39:25  |           |
      File |S6011.DAT     |149     |29801  |06:39:26  |305152     |out/6/S6011.DAT
      File |S6011.IMG     |158     |29950  |06:41:25  |323584     |out/6/S6011.IMG
      File |S6012.DAT     |149     |30108  |06:43:33  |305152     |out/6/S6012.DAT
      File |S6012.IMG     |158     |30257  |06:45:32  |323584     |out/6/S6012.IMG
      File |S6013.DAT     |149     |30415  |06:47:40  |305152     |out/6/S6013.DAT
      File |S6013.IMG     |158     |30564  |06:49:39  |323584     |out/6/S6013.IMG
      File |S6014.DAT     |149     |30722  |06:51:47  |305152     |out/6/S6014.DAT
      File |S6014.IMG     |158     |30871  |06:53:46  |323584     |out/6/S6014.IMG
      File |S6021.DAT     |149     |31029  |06:55:54  |305152     |out/6/S6021.DAT
      File |S6021.IMG     |158     |31178  |06:57:53  |323584     |out/6/S6021.IMG
      File |S6022.DAT     |149     |31336  |06:59:61  |305152     |out/6/S6022.DAT
      File |S6022.IMG     |158     |31485  |07:01:60  |323584     |out/6/S6022.IMG
      File |S6031.DAT     |149     |31643  |07:03:68  |305152     |out/6/S6031.DAT
      File |S6031.IMG     |158     |31792  |07:05:67  |323584     |out/6/S6031.IMG
      File |S6032.DAT     |149     |31950  |07:08:00  |305152     |out/6/S6032.DAT
      File |S6032.IMG     |158     |32099  |07:09:74  |323584     |out/6/S6032.IMG
      File |S6041.DAT     |149     |32257  |07:12:07  |305152     |out/6/S6041.DAT
      File |S6041.IMG     |158     |32406  |07:14:06  |323584     |out/6/S6041.IMG
      File |S6051.DAT     |149     |32564  |07:16:14  |305152     |out/6/S6051.DAT
      File |S6051.IMG     |158     |32713  |07:18:13  |323584     |out/6/S6051.IMG
      File |S6052.DAT     |149     |32871  |07:20:21  |305152     |out/6/S6052.DAT
      File |S6052.IMG     |158     |33020  |07:22:20  |323584     |out/6/S6052.IMG
      File |S6053.DAT     |149     |33178  |07:24:28  |305152     |out/6/S6053.DAT
      File |S6053.IMG     |158     |33327  |07:26:27  |323584     |out/6/S6053.IMG
      File |S6054.DAT     |149     |33485  |07:28:35  |305152     |out/6/S6054.DAT
      File |S6054.IMG     |158     |33634  |07:30:34  |323584     |out/6/S6054.IMG
     End  |6             |        |       |          |           |
     Dir  |7             |        |33792  |07:32:42  |           |
      File |S7011.DAT     |149     |33793  |07:32:43  |305152     |out/7/S7011.DAT
      File |S7011.IMG     |158     |33942  |07:34:42  |323584     |out/7/S7011.IMG
      File |S7012.DAT     |149     |34100  |07:36:50  |305152     |out/7/S7012.DAT
      File |S7012.IMG     |158     |34249  |07:38:49  |323584     |out/7/S7012.IMG
      File |S7021.DAT     |149     |34407  |07:40:57  |305152     |out/7/S7021.DAT
      File |S7021.IMG     |158     |34556  |07:42:56  |323584     |out/7/S7021.IMG
      File |S7022.DAT     |149     |34714  |07:44:64  |305152     |out/7/S7022.DAT
      File |S7022.IMG     |158     |34863  |07:46:63  |323584     |out/7/S7022.IMG
      File |S7023.DAT     |149     |35021  |07:48:71  |305152     |out/7/S7023.DAT
      File |S7023.IMG     |158     |35170  |07:50:70  |323584     |out/7/S7023.IMG
      File |S7024.DAT     |149     |35328  |07:53:03  |305152     |out/7/S7024.DAT
      File |S7024.IMG     |158     |35477  |07:55:02  |323584     |out/7/S7024.IMG
      File |S7025.DAT     |149     |35635  |07:57:10  |305152     |out/7/S7025.DAT
      File |S7025.IMG     |158     |35784  |07:59:09  |323584     |out/7/S7025.IMG
      File |S7026.DAT     |149     |35942  |08:01:17  |305152     |out/7/S7026.DAT
      File |S7026.IMG     |158     |36091  |08:03:16  |323584     |out/7/S7026.IMG
      File |S7027.DAT     |149     |36249  |08:05:24  |305152     |out/7/S7027.DAT
      File |S7027.IMG     |158     |36398  |08:07:23  |323584     |out/7/S7027.IMG
      File |S7028.DAT     |149     |36556  |08:09:31  |305152     |out/7/S7028.DAT
      File |S7028.IMG     |158     |36705  |08:11:30  |323584     |out/7/S7028.IMG
      File |S7031.DAT     |149     |36863  |08:13:38  |305152     |out/7/S7031.DAT
      File |S7031.IMG     |158     |37012  |08:15:37  |323584     |out/7/S7031.IMG
      File |S7032.DAT     |149     |37170  |08:17:45  |305152     |out/7/S7032.DAT
      File |S7032.IMG     |158     |37319  |08:19:44  |323584     |out/7/S7032.IMG
     End  |7             |        |       |          |           |
     Dir  |8             |        |37477  |08:21:52  |           |
      File |S8011.DAT     |149     |37478  |08:21:53  |305152     |out/8/S8011.DAT
      File |S8011.IMG     |158     |37627  |08:23:52  |323584     |out/8/S8011.IMG
      File |S8012.DAT     |149     |37785  |08:25:60  |305152     |out/8/S8012.DAT
      File |S8012.IMG     |158     |37934  |08:27:59  |323584     |out/8/S8012.IMG
      File |S8013.DAT     |149     |38092  |08:29:67  |305152     |out/8/S8013.DAT
      File |S8013.IMG     |158     |38241  |08:31:66  |323584     |out/8/S8013.IMG
      File |S8021.DAT     |149     |38399  |08:33:74  |305152     |out/8/S8021.DAT
      File |S8021.IMG     |158     |38548  |08:35:73  |323584     |out/8/S8021.IMG
      File |S8031.DAT     |149     |38706  |08:38:06  |305152     |out/8/S8031.DAT
      File |S8031.IMG     |158     |38855  |08:40:05  |323584     |out/8/S8031.IMG
      File |S8041.DAT     |149     |39013  |08:42:13  |305152     |out/8/S8041.DAT
      File |S8041.IMG     |158     |39162  |08:44:12  |323584     |out/8/S8041.IMG
      File |S8051.DAT     |149     |39320  |08:46:20  |305152     |out/8/S8051.DAT
      File |S8051.IMG     |158     |39469  |08:48:19  |323584     |out/8/S8051.IMG
      File |S8061.DAT     |149     |39627  |08:50:27  |305152     |out/8/S8061.DAT
      File |S8061.IMG     |158     |39776  |08:52:26  |323584     |out/8/S8061.IMG
      File |S8062.DAT     |149     |39934  |08:54:34  |305152     |out/8/S8062.DAT
      File |S8062.IMG     |158     |40083  |08:56:33  |323584     |out/8/S8062.IMG
     End  |8             |        |       |          |           |
     Dir  |9             |        |40241  |08:58:41  |           |
      File |S9011.DAT     |149     |40242  |08:58:42  |305152     |out/9/S9011.DAT
      File |S9011.IMG     |158     |40391  |09:00:41  |323584     |out/9/S9011.IMG
      File |S9012.DAT     |149     |40549  |09:02:49  |305152     |out/9/S9012.DAT
      File |S9012.IMG     |158     |40698  |09:04:48  |323584     |out/9/S9012.IMG
      File |S9013.DAT     |149     |40856  |09:06:56  |305152     |out/9/S9013.DAT
      File |S9013.IMG     |158     |41005  |09:08:55  |323584     |out/9/S9013.IMG
      File |S9021.DAT     |149     |41163  |09:10:63  |305152     |out/9/S9021.DAT
      File |S9021.IMG     |158     |41312  |09:12:62  |323584     |out/9/S9021.IMG
      File |S9031.DAT     |149     |41470  |09:14:70  |305152     |out/9/S9031.DAT
      File |S9031.IMG     |158     |41619  |09:16:69  |323584     |out/9/S9031.IMG
      File |S9041.DAT     |149     |41777  |09:19:02  |305152     |out/9/S9041.DAT
      File |S9051.DAT     |149     |41926  |09:21:01  |305152     |out/9/S9051.DAT
      File |S9051.IMG     |158     |42075  |09:23:00  |323584     |out/9/S9051.IMG
     End  |9             |        |       |          |           |
     Dir  |B             |        |42233  |09:25:08  |           |
      File |SB011.DAT     |149     |42234  |09:25:09  |305152     |out/B/SB011.DAT
      File |SB011.IMG     |158     |42383  |09:27:08  |323584     |out/B/SB011.IMG
      File |SB021.DAT     |149     |42541  |09:29:16  |305152     |out/B/SB021.DAT
      File |SB021.IMG     |158     |42690  |09:31:15  |323584     |out/B/SB021.IMG
      File |SB022.DAT     |149     |42848  |09:33:23  |305152     |out/B/SB022.DAT
      File |SB022.IMG     |158     |42997  |09:35:22  |323584     |out/B/SB022.IMG
      File |SB031.DAT     |164     |43155  |09:37:30  |335872     |out/B/SB031.DAT
      File |SB041.DAT     |149     |43319  |09:39:44  |305152     |out/B/SB041.DAT
      File |SB041.IMG     |158     |43468  |09:41:43  |323584     |out/B/SB041.IMG
      File |SB051.DAT     |149     |43626  |09:43:51  |305152     |out/B/SB051.DAT
      File |SB051.IMG     |158     |43775  |09:45:50  |323584     |out/B/SB051.IMG
      File |SB061.DAT     |164     |43933  |09:47:58  |335872     |out/B/SB061.DAT
      File |SB071.DAT     |149     |44097  |09:49:72  |305152     |out/B/SB071.DAT
      File |SB071.IMG     |158     |44246  |09:51:71  |323584     |out/B/SB071.IMG
      File |SB072.DAT     |149     |44404  |09:54:04  |305152     |out/B/SB072.DAT
      File |SB072.IMG     |158     |44553  |09:56:03  |323584     |out/B/SB072.IMG
      File |SB081.DAT     |149     |44711  |09:58:11  |305152     |out/B/SB081.DAT
      File |SB081.IMG     |158     |44860  |10:00:10  |323584     |out/B/SB081.IMG
     End  |B             |        |       |          |           |
     Dir  |C1            |        |45018  |10:02:18  |           |
      File |SC011.DAT     |149     |45019  |10:02:19  |305152     |out/C1/SC011.DAT
      File |SC011.IMG     |158     |45168  |10:04:18  |323584     |out/C1/SC011.IMG
      File |SC021.DAT     |149     |45326  |10:06:26  |305152     |out/C1/SC021.DAT
      File |SC021.IMG     |158     |45475  |10:08:25  |323584     |out/C1/SC021.IMG
      File |SC031.DAT     |149     |45633  |10:10:33  |305152     |out/C1/SC031.DAT
      File |SC031.IMG     |158     |45782  |10:12:32  |323584     |out/C1/SC031.IMG
      File |SC041.DAT     |149     |45940  |10:14:40  |305152     |out/C1/SC041.DAT
      File |SC041.IMG     |158     |46089  |10:16:39  |323584     |out/C1/SC041.IMG
      File |SC051.DAT     |149     |46247  |10:18:47  |305152     |out/C1/SC051.DAT
      File |SC051.IMG     |158     |46396  |10:20:46  |323584     |out/C1/SC051.IMG
      File |SC061.DAT     |149     |46554  |10:22:54  |305152     |out/C1/SC061.DAT
      File |SC061.IMG     |158     |46703  |10:24:53  |323584     |out/C1/SC061.IMG
      File |SC071.DAT     |164     |46861  |10:26:61  |335872     |out/C1/SC071.DAT
      File |SC072.DAT     |164     |47025  |10:29:00  |335872     |out/C1/SC072.DAT
      File |SC081.DAT     |149     |47189  |10:31:14  |305152     |out/C1/SC081.DAT
      File |SC081.IMG     |158     |47338  |10:33:13  |323584     |out/C1/SC081.IMG
      File |SC091.DAT     |149     |47496  |10:35:21  |305152     |out/C1/SC091.DAT
