pointer,original_target,known,original_links,current_pointer,current_text,unknown,error,status
0x804AC,0x80234,True,"[[""equipment_name:2"", 0]]",0x8019BAB5,안티 헤모지,,,CATALOGED
0x804B0,0x80240,True,"[[""equipment_name:3"", 0]]",0x8019BAF4,치유의 부적,,,CATALOGED
0x804B4,0x8024C,True,"[[""equipment_name:4"", 0]]",0x8019AC16,비단 허리띠,,,CATALOGED
0x804B8,0x80254,True,"[[""equipment_name:5"", 0]]",0x8019BCD5,마법 카드,,,CATALOGED
0x804BC,0x80260,True,"[[""equipment_name:6"", 0]]",0x8019ABEA,수면 방지 카드,,,CATALOGED
0x804C0,0x8026C,True,"[[""equipment_name:7"", 0]]",0x8019BDD5,파워 암,,,CATALOGED
0x804C4,0x80274,True,"[[""equipment_name:8"", 0]]",0x8019AAE4,카이저 글러브,,,CATALOGED
0x804C8,0x80280,True,"[[""equipment_name:9"", 0]]",0x8019BB57,환상의 장갑,,,CATALOGED
0x804CC,0x80288,True,"[[""equipment_name:10"", 0]]",0x8019AE22,선글라스,,,CATALOGED
0x804D0,0x80290,True,"[[""equipment_name:11"", 0]]",0x8019C81F,명중의 두루마리,,,CATALOGED
0x804D4,0x8029C,True,"[[""equipment_name:12"", 0]]",0x8019C839,투척의 두루마리,,,CATALOGED
0x804D8,0x802A8,True,"[[""equipment_name:13"", 0]]",0x8019BEEF,신의 주먹,,,CATALOGED
0x804DC,0x802B0,True,"[[""equipment_name:14"", 0]]",0x8019C7F8,바이올렛 레이저,,,CATALOGED
0x804E0,0x802BC,True,"[[""equipment_name:15"", 0]]",0x8019AF1A,목걸이,,,CATALOGED
0x804E4,0x802C4,True,"[[""equipment_name:16"", 0]]",0x8019B087,염주,,,CATALOGED
0x804E8,0x802CC,True,"[[""equipment_name:17"", 0]]",0x8019C072,장로의 머리띠,,,CATALOGED
0x804EC,0x802D4,True,"[[""equipment_name:18"", 0]]",0x8019BFF4,질풍의 반다나,,,CATALOGED
0x804F0,0x802E0,True,"[[""equipment_name:19"", 0]]",0x8019C26E,하이퍼 부츠,,,CATALOGED
0x804F4,0x802EC,True,"[[""equipment_name:20"", 0]]",0x8019BDED,임시 신발,,,CATALOGED
0x804F8,0x802F8,True,"[[""equipment_name:21"", 0]]",0x8019AE37,팔찌 1,,,CATALOGED
0x804FC,0x80300,True,"[[""equipment_name:22"", 0]]",0x8019AE30,팔찌 2,,,CATALOGED
0x80500,0x80308,True,"[[""equipment_name:23"", 0]]",0x8019C036,기술의 팔찌,,,CATALOGED
0x80504,0x80314,True,"[[""equipment_name:24"", 0]]",0x8019BEB0,여신의 기도,,,CATALOGED
0x80508,0x80320,True,"[[""equipment_name:25"", 0]]",0x8019C19E,파워 리스트,,,CATALOGED
0x8050C,0x80328,True,"[[""equipment_name:26"", 0]]",0x8019BD35,데일의 이빨,,,CATALOGED
0x80510,0x80334,True,"[[""equipment_name:27"", 0]]",0x8019BB4E,환수의 이빨,,,CATALOGED
0x80514,0x8033C,True,"[[""equipment_name:28"", 0]]",0x8019B8B1,바닷바람의 선율,,,CATALOGED
0x80518,0x80348,True,"[[""equipment_name:29"", 0]]",0x8019BD75,조개껍데기,,,CATALOGED
0x8051C,0x80350,True,"[[""equipment_name:30"", 0]]",0x8019C334,유니콘의 뿔,,,CATALOGED
0x80520,0x8035C,True,"[[""equipment_name:31"", 0]]",0x8019BAC7,비극의 안경,,,CATALOGED
0x80524,0x80368,True,"[[""equipment_name:32"", 0]]",0x8019B02B,거울,,,CATALOGED
0x80528,0x8036C,True,"[[""equipment_name:33"", 0]]",0x8019BC4D,고대의 반지,,,CATALOGED
0x8052C,0x80378,True,"[[""equipment_name:34"", 0]]",0x8019BB60,환상의 반지,,,CATALOGED
0x80530,0x80380,True,"[[""equipment_name:35"", 0]]",0x8019BCA5,마도의 반지,,,CATALOGED
0x80534,0x8038C,True,"[[""equipment_name:36"", 0]]",0x8019C07C,장난감 반지,,,CATALOGED
0x80538,0x80398,True,"[[""equipment_name:37"", 0]]",0x8019C248,독막이 반지,,,CATALOGED
0x8053C,0x803A4,True,"[[""equipment_name:38"", 0]]",0x8019C158,환상의 방패,,,CATALOGED
0x80540,0x803AC,True,"[[""equipment_name:39"", 0]]",0x8019ADAB,전사의 수호,,,CATALOGED
0x80544,0x803B4,True,"[[""equipment_name:40"", 0]]",0x8019C307,장로의 방패,,,CATALOGED
0x80548,0x803BC,True,"[[""equipment_name:41"", 0]]",0x8019AC4D,강력한 지팡이,,,CATALOGED
0x8054C,0x803C4,True,"[[""equipment_name:42"", 0]]",0x8019AB5B,지옥의 스누프,,,CATALOGED
0x80550,0x803D0,True,"[[""equipment_name:43"", 0]]",0x8019AF9B,왕의 상,,,CATALOGED
0x80554,0x803D8,True,"[[""equipment_name:44"", 0]]",0x8019AF4A,매의 상,,,CATALOGED
0x80558,0x803E0,True,"[[""equipment_name:45"", 0]]",0x8019AE96,모조상,,,CATALOGED
0x8055C,0x803E8,True,"[[""equipment_name:46"", 0]]",0x8019AFD7,단검,,,CATALOGED
0x80560,0x803F0,True,"[[""equipment_name:47"", 0]]",0x8019BDBD,환상의 검,,,CATALOGED
0x80564,0x803F8,True,"[[""equipment_name:48"", 0]]",0x8019ABC9,리라의 머리장식,,,CATALOGED
0x80568,0x80404,True,"[[""equipment_name:49"", 0]]",0x8019ABBE,요동치는 보석,,,CATALOGED
0x8056C,0x8040C,True,"[[""equipment_name:50"", 0]]",0x8019BC25,아머 스톤,,,CATALOGED
0x80570,0x80418,True,"[[""equipment_name:51"", 0]]",0x8019C0C2,로맨싱 스톤,,,CATALOGED
0x80574,0x80424,True,"[[""equipment_name:52"", 0]]",0x8019C0C2,로맨싱 스톤,,,CATALOGED
0x80578,0x80430,True,"[[""equipment_name:53"", 0]]",0x8019C0C2,로맨싱 스톤,,,CATALOGED
0x8057C,0x8043C,True,"[[""equipment_name:54"", 0]]",0x8019C0C2,로맨싱 스톤,,,CATALOGED
0x80580,0x80448,True,"[[""equipment_name:55"", 0]]",0x8019C1DA,태양의 거울,,,CATALOGED
0x80584,0x80454,True,"[[""equipment_name:56"", 0]]",0x8019BE4D,압화 책,,,CATALOGED
0x80588,0x8045C,True,"[[""equipment_name:57"", 0]]",0x8019C1F8,클라우스의 책,,,CATALOGED
0x8058C,0x80468,True,"[[""equipment_name:58"", 0]]",0x8019AEF6,음악집,,,CATALOGED
0x80590,0x80470,True,"[[""equipment_name:59"", 0]]",0x8019BD6D,라크의 문장,,,CATALOGED
0x80594,0x8047C,True,"[[""equipment_name:60"", 0]]",0x8019C0AE,유카리의 문장,,,CATALOGED
0x80598,0x80488,True,"[[""equipment_name:61"", 0]]",0x8019BB72,포니의 문장,,,CATALOGED
0x8059C,0x80494,True,"[[""equipment_name:62"", 0]]",0x8019C0F4,용자의 증표,,,CATALOGED
0x805A0,0x8049C,True,"[[""equipment_name:63"", 0]]",0x8019AF08,?????,,,CATALOGED
0x80A94,0x805A4,True,"[[""equipment_description:0"", 0]]",0x801FF5EC,불 계열 공격에 강함,,,CATALOGED
0x80A98,0x805B4,True,"[[""equipment_description:1"", 0]]",0x801FF5FF,물 계열 공격에 강함,,,CATALOGED
0x80A9C,0x805C4,True,"[[""equipment_description:2"", 0]]",0x8019BBA8,헤모지 방지,,,CATALOGED
0x80AA0,0x805D4,True,"[[""equipment_description:3"", 0]]",0x801FF611,자신의 체력 회복량 증가,,,CATALOGED
0x80AA4,0x805EC,True,"[[""equipment_description:4"", 0]]",0x8019B947,획득 경험치 2배,,,CATALOGED
0x80AA8,0x80604,True,"[[""equipment_description:5"", 0]]",0x8019AA54,마력 10% 상승,,,CATALOGED
0x80AAC,0x80614,True,"[[""equipment_description:6"", 0]]",0x8019ADB9,수면 방지,,,CATALOGED
0x80AB0,0x80624,True,"[[""equipment_description:7"", 0]]",0x801FF623,촌가라의 방어력|30% 상승,,,CATALOGED
0x80AB4,0x8063C,True,"[[""equipment_description:8"", 0]]",0x8019AAA8,던지기 레벨 1,,,CATALOGED
0x80AB8,0x80650,True,"[[""equipment_description:9"", 0]]",0x8019B8ED,공격력 50% 상승,,,CATALOGED
0x80ABC,0x80660,True,"[[""equipment_description:10"", 0]]",0x8019BC14,암흑 방지,,,CATALOGED
0x80AC0,0x80670,True,"[[""equipment_description:11"", 0]]",0x801FF637,공격이 매우 잘 명중함,,,CATALOGED
0x80AC4,0x80684,True,"[[""equipment_description:12"", 0]]",0x8019C586,던지기가 강력 투척으로 변화,,,CATALOGED
0x80AC8,0x8069C,True,"[[""equipment_description:13"", 0]]",0x8019B6F1,특정 적에게 추가 피해,,,CATALOGED
0x80ACC,0x806B0,True,"[[""equipment_description:14"", 0]]",0x8019B834,공격이 반드시 명중,,,CATALOGED
0x80AD0,0x806C4,True,"[[""equipment_description:15"", 0]]",0x8019B43F,레벨업 시 최대 체력 증가량 상승,,,CATALOGED
0x80AD4,0x806E0,True,"[[""equipment_description:16"", 0]]",0x8019B7B4,고겐 마력 30% 상승,,,CATALOGED
0x80AD8,0x806F8,True,"[[""equipment_description:17"", 0]]",0x801FF64B,공격이 잘 명중함,,,CATALOGED
0x80ADC,0x80708,True,"[[""equipment_description:18"", 0]]",0x8019C8A1,민첩 10% 상승,,,CATALOGED
0x80AE0,0x80718,True,"[[""equipment_description:19"", 0]]",0x8019C894,민첩 30% 상승,,,CATALOGED
0x80AE4,0x80728,True,"[[""equipment_description:20"", 0]]",0x8019AB2C,점프 레벨 1,,,CATALOGED
0x80AE8,0x8073C,True,"[[""equipment_description:21"", 0]]",0x8019C13A,반격률 상승,,,CATALOGED
0x80AEC,0x80748,True,"[[""equipment_description:22"", 0]]",0x8019AC37,받기 레벨 1,,,CATALOGED
0x80AF0,0x8075C,True,"[[""equipment_description:23"", 0]]",0x8019B844,받기가 되던지기로 변화,,,CATALOGED
0x80AF4,0x80774,True,"[[""equipment_description:24"", 0]]",0x801FF65B,특수 능력의 MP 소비량|절반으로 감소,,,CATALOGED
0x80AF8,0x8078C,True,"[[""equipment_description:25"", 0]]",0x8019B8CF,공격력 30% 상승,,,CATALOGED
0x80AFC,0x8079C,True,"[[""equipment_description:26"", 0]]",0x8019B7A4,이가 반격 피해 증가,,,CATALOGED
0x80B00,0x807B4,True,"[[""equipment_description:27"", 0]]",0x8019C20C,효과 불명,,,CATALOGED
0x80B04,0x807C4,True,"[[""equipment_description:28"", 0]]",0x801FF67D,쿠쿠루가 행동할 때마다|주변 인물 회복,,,CATALOGED
0x80B08,0x807E0,True,"[[""equipment_description:29"", 0]]",0x8019B972,아이템 드롭률 상승,,,CATALOGED
0x80B0C,0x807F4,True,"[[""equipment_description:30"", 0]]",0x8019B459,적 처치 시 희귀 아이템 획득,,,CATALOGED
0x80B10,0x80808,True,"[[""equipment_description:31"", 0]]",0x8019C20C,효과 불명,,,CATALOGED
0x80B14,0x80818,True,"[[""equipment_description:32"", 0]]",0x8019BB84,석화 방지,,,CATALOGED
0x80B18,0x80828,True,"[[""equipment_description:33"", 0]]",0x8019B67A,아크 전용 효과 불명,,,CATALOGED
0x80B1C,0x8083C,True,"[[""equipment_description:34"", 0]]",0x8019AA60,마력 50% 상승,,,CATALOGED
0x80B20,0x8084C,True,"[[""equipment_description:35"", 0]]",0x8019AA48,마력 30% 상승,,,CATALOGED
0x80B24,0x8085C,True,"[[""equipment_description:36"", 0]]",0x801FF69A,방향전환 피리 효과가|전장 전체로 확대(포코),,,CATALOGED
0x80B28,0x8087C,True,"[[""equipment_description:37"", 0]]",0x8019AE76,독 방지,,,CATALOGED
0x80B2C,0x80888,True,"[[""equipment_description:38"", 0]]",0x8019C73C,방어력 50% 상승,,,CATALOGED
0x80B30,0x80898,True,"[[""equipment_description:39"", 0]]",0x8019C720,방어력 30% 상승,,,CATALOGED
0x80B34,0x808A8,True,"[[""equipment_description:40"", 0]]",0x8019BB06,방어율 상승,,,CATALOGED
0x80B38,0x808B8,True,"[[""equipment_description:41"", 0]]",0x8019B52F,고겐 공격력 70% 상승,,,CATALOGED
0x80B3C,0x808D0,True,"[[""equipment_description:42"", 0]]",0x8019B794,이가 심안법 범위 확장,,,CATALOGED
0x80B40,0x808EC,True,"[[""equipment_description:43"", 0]]",0x801FF6BF,소환수가 얻은 경험치를|촌가라가 받음,,,CATALOGED
0x80B44,0x8090C,True,"[[""equipment_description:44"", 0]]",0x8019BBC3,침묵 방지,,,CATALOGED
0x80B48,0x8091C,True,"[[""equipment_description:45"", 0]]",0x8019C319,회피율 상승,,,CATALOGED
0x80B4C,0x8092C,True,"[[""equipment_description:46"", 0]]",0x8019B8DE,공격력 10% 상승,,,CATALOGED
0x80B50,0x8093C,True,"[[""equipment_description:47"", 0]]",0x801FF6DB,주는 피해량의|차이가 커진다,,,CATALOGED
0x80B54,0x80958,True,"[[""equipment_description:48"", 0]]",0x801FF6F0,부활 마법을 받으면|체력 전부 회복(쿠쿠루),,,CATALOGED
0x80B58,0x80978,True,"[[""equipment_description:49"", 0]]",0x8019C846,피해 편차 증가,,,CATALOGED
0x80B5C,0x80988,True,"[[""equipment_description:50"", 0]]",0x8019C72E,방어력 10% 상승,,,CATALOGED
0x80B60,0x80998,True,"[[""equipment_description:51"", 0]]",0x8019C20C,효과 불명,,,CATALOGED
0x80B64,0x809A8,True,"[[""equipment_description:52"", 0]]",0x8019C20C,효과 불명,,,CATALOGED
0x80B68,0x809B8,True,"[[""equipment_description:53"", 0]]",0x8019C20C,효과 불명,,,CATALOGED
0x80B6C,0x809C8,True,"[[""equipment_description:54"", 0]]",0x8019C20C,효과 불명,,,CATALOGED
0x80B70,0x809D8,True,"[[""equipment_description:55"", 0]]",0x801FF713,행동할 때마다 체력 회복,,,CATALOGED
0x80B74,0x809EC,True,"[[""equipment_description:56"", 0]]",0x801FF726,토슈의 공격이|매우 잘 명중함,,,CATALOGED
0x80B78,0x80A08,True,"[[""equipment_description:57"", 0]]",0x8019B893,모든 상태 이상 방지,,,CATALOGED
0x80B7C,0x80A1C,True,"[[""equipment_description:58"", 0]]",0x8019B6BE,포코 마력 30% 상승,,,CATALOGED
0x80B80,0x80A30,True,"[[""equipment_description:59"", 0]]",0x8019BCBD,마비 방지,,,CATALOGED
0x80B84,0x80A40,True,"[[""equipment_description:60"", 0]]",0x801FF740,토슈의 앵화뇌폭참에|마비 효과 추가,,,CATALOGED
0x80B88,0x80A60,True,"[[""equipment_description:61"", 0]]",0x8019B6F1,특정 적에게 추가 피해,,,CATALOGED
0x80B8C,0x80A74,True,"[[""equipment_description:62"", 0]]",0x801FF75F,아크가 행동할 때마다|MP 회복,,,CATALOGED
0x80B90,0x80A8C,True,"[[""equipment_description:63"", 0]]",0x8019AF08,?????,,,CATALOGED
0x80C9C,0x80B94,True,"[[""consumable_name:0"", 0]]",0x8019AF50,끈끈이,,,CATALOGED
0x80CA0,0x80B9C,True,"[[""consumable_name:1"", 0]]",0x8019BC2D,의욕 젤리,,,CATALOGED
0x80CA4,0x80BA4,True,"[[""consumable_name:2"", 0]]",0x8019C00A,넘치는 열매,,,CATALOGED
0x80CA8,0x80BB0,True,"[[""consumable_name:3"", 0]]",0x8019C322,회복 열매,,,CATALOGED
0x80CAC,0x80BB8,True,"[[""consumable_name:4"", 0]]",0x8019BCAD,마비 사과,,,CATALOGED
0x80CB0,0x80BC0,True,"[[""consumable_name:5"", 0]]",0x8019B712,돌,,,CATALOGED
0x80CB4,0x80BC4,True,"[[""consumable_name:6"", 0]]",0x8019BB69,레코의 풀,,,CATALOGED
0x80CB8,0x80BCC,True,"[[""consumable_name:7"", 0]]",0x8019B077,약초,,,CATALOGED
0x80CBC,0x80BD4,True,"[[""consumable_name:8"", 0]]",0x8019B07F,독초,,,CATALOGED
0x80CC0,0x80BDC,True,"[[""consumable_name:9"", 0]]",0x8019BDA5,루우의 약,,,CATALOGED
0x80CC4,0x80BE4,True,"[[""consumable_name:10"", 0]]",0x8019BBB1,민첩의 약,,,CATALOGED
0x80CC8,0x80BEC,True,"[[""consumable_name:11"", 0]]",0x8019BB45,작은 폭탄,,,CATALOGED
0x80CCC,0x80BF8,True,"[[""consumable_name:12"", 0]]",0x8019ADF1,큰 폭탄,,,CATALOGED
0x80CD0,0x80C00,True,"[[""consumable_name:13"", 0]]",0x8019AEB4,만능약,,,CATALOGED
0x80CD4,0x80C08,True,"[[""consumable_name:14"", 0]]",0x8019B06B,성수,,,CATALOGED
0x80CD8,0x80C0C,True,"[[""consumable_name:15"", 0]]",0x8019AED2,부활약,,,CATALOGED
0x80CDC,0x80C14,True,"[[""consumable_name:16"", 0]]",0x8019C0D6,공격 항아리,,,CATALOGED
0x80CE0,0x80C1C,True,"[[""consumable_name:17"", 0]]",0x8019ADB2,수면 구슬,,,CATALOGED
0x80CE4,0x80C24,True,"[[""consumable_name:18"", 0]]",0x8019BB21,약화 구슬,,,CATALOGED
0x80CE8,0x80C2C,True,"[[""consumable_name:19"", 0]]",0x8019BD1D,힘의 열매,,,CATALOGED
0x80CEC,0x80C34,True,"[[""consumable_name:20"", 0]]",0x8019C194,파로의 열매,,,CATALOGED
0x80CF0,0x80C3C,True,"[[""consumable_name:21"", 0]]",0x8019AC58,생명의 열매,,,CATALOGED
0x80CF4,0x80C48,True,"[[""consumable_name:22"", 0]]",0x8019BCCD,마력의 잎,,,CATALOGED
0x80CF8,0x80C50,True,"[[""consumable_name:23"", 0]]",0x8019BCC5,마력의 샘,,,CATALOGED
0x80CFC,0x80C58,True,"[[""consumable_name:24"", 0]]",0x8019BBCC,눈가림 풀,,,CATALOGED
0x80D00,0x80C60,True,"[[""consumable_name:25"", 0]]",0x8019AF56,쓴 잎,,,CATALOGED
0x80D04,0x80C68,True,"[[""consumable_name:26"", 0]]",0x8019C1B2,석화 해제침,,,CATALOGED
0x80D08,0x80C70,True,"[[""consumable_name:27"", 0]]",0x8019C202,침묵 해제침,,,CATALOGED
0x80D0C,0x80C7C,True,"[[""consumable_name:28"", 0]]",0x8019C0CC,소환 항아리,,,CATALOGED
0x80D10,0x80C84,True,"[[""consumable_name:29"", 0]]",0x8019AF08,?????,,,CATALOGED
0x80D14,0x80C8C,True,"[[""consumable_name:30"", 0]]",0x8019AF08,?????,,,CATALOGED
0x80D18,0x80C94,True,"[[""consumable_name:31"", 0]]",0x8019AF08,?????,,,CATALOGED
0x80F14,0x80D1C,True,"[[""consumable_description:0"", 0]]",0x8019C8AE,민첩 일시 감소,,,CATALOGED
0x80F18,0x80D2C,True,"[[""consumable_description:1"", 0]]",0x8019BB9F,헤모지 회복,,,CATALOGED
0x80F1C,0x80D3C,True,"[[""consumable_description:2"", 0]]",0x8019C162,레벨 1 상승,,,CATALOGED
0x80F20,0x80D48,True,"[[""consumable_description:3"", 0]]",0x8019AB20,체력 60 회복,,,CATALOGED
0x80F24,0x80D5C,True,"[[""consumable_description:4"", 0]]",0x801FF777,마비로 움직일 수 없음,,,CATALOGED
0x80F28,0x80D6C,True,"[[""consumable_description:5"", 0]]",0x8019C0FE,던져서 피해,,,CATALOGED
0x80F2C,0x80D7C,True,"[[""consumable_description:6"", 0]]",0x8019BAFD,방어력 상승,,,CATALOGED
0x80F30,0x80D88,True,"[[""consumable_description:7"", 0]]",0x8019AB14,체력 20 회복,,,CATALOGED
0x80F34,0x80D9C,True,"[[""consumable_description:8"", 0]]",0x801FF787,독을 퍼지게 함,,,CATALOGED
0x80F38,0x80DA8,True,"[[""consumable_description:9"", 0]]",0x8019BCB5,마비 회복,,,CATALOGED
0x80F3C,0x80DB8,True,"[[""consumable_description:10"", 0]]",0x8019BFFF,민첩 일시 상승,,,CATALOGED
0x80F40,0x80DC8,True,"[[""consumable_description:11"", 0]]",0x8019BB3C,폭발 피해,,,CATALOGED
0x80F44,0x80DD0,True,"[[""consumable_description:12"", 0]]",0x8019AC0B,큰 폭발 피해,,,CATALOGED
0x80F48,0x80DD8,True,"[[""consumable_description:13"", 0]]",0x8019B7C4,대부분의 상태 이상 회복,,,CATALOGED
0x80F4C,0x80DF0,True,"[[""consumable_description:14"", 0]]",0x8019AE6F,독 회복,,,CATALOGED
0x80F50,0x80DFC,True,"[[""consumable_description:15"", 0]]",0x8019C887,쓰러진 대상 부활,,,CATALOGED
0x80F54,0x80E14,True,"[[""consumable_description:16"", 0]]",0x8019C812,공격력 일시 상승,,,CATALOGED
0x80F58,0x80E24,True,"[[""consumable_description:17"", 0]]",0x8019AECC,수면 부여,,,CATALOGED
0x80F5C,0x80E2C,True,"[[""consumable_description:18"", 0]]",0x801FF793,공격력과 방어력이|일시적으로 감소,,,CATALOGED
0x80F60,0x80E40,True,"[[""consumable_description:19"", 0]]",0x8019C0E0,공격력 상승,,,CATALOGED
0x80F64,0x80E4C,True,"[[""consumable_description:20"", 0]]",0x8019BE05,민첩 상승,,,CATALOGED
0x80F68,0x80E58,True,"[[""consumable_description:21"", 0]]",0x8019C774,최대 체력 2 상승,,,CATALOGED
0x80F6C,0x80E70,True,"[[""consumable_description:22"", 0]]",0x8019ADA4,마력 상승,,,CATALOGED
0x80F70,0x80E7C,True,"[[""consumable_description:23"", 0]]",0x801FF7B0,최대 MP 2 상승,,,CATALOGED
0x80F74,0x80E94,True,"[[""consumable_description:24"", 0]]",0x801FF7BE,사용하면 눈이|보이지 않게 함,,,CATALOGED
0x80F78,0x80EA8,True,"[[""consumable_description:25"", 0]]",0x8019AAB4,방어력 일시 상승,,,CATALOGED
0x80F7C,0x80EB8,True,"[[""consumable_description:26"", 0]]",0x8019BB7B,석화 회복,,,CATALOGED
0x80F80,0x80EC8,True,"[[""consumable_description:27"", 0]]",0x801FF7D3,봉인된 마법을|다시 쓸 수 있게 함,,,CATALOGED
0x80F84,0x80EE0,True,"[[""consumable_description:28"", 0]]",0x801FF7ED,촌가라가 몬스터를|소환할 때 사용,,,CATALOGED
0x80F88,0x80EFC,True,"[[""consumable_description:29"", 0]]",0x8019AF08,?????,,,CATALOGED
0x80F8C,0x80F04,True,"[[""consumable_description:30"", 0]]",0x8019AF08,?????,,,CATALOGED
0x80F90,0x80F0C,True,"[[""consumable_description:31"", 0]]",0x8019AF08,?????,,,CATALOGED
0x811C0,0x80F94,True,"[[""skill_name:0"", 0]]",0x8019B0AD,,,,CATALOGED
0x811C4,0x80F98,True,"[[""skill_name:1"", 0]]",0x8019ADEA,번 그라운드,,,CATALOGED
0x811C8,0x80FA4,True,"[[""skill_name:2"", 0]]",0x8019C32B,토탈 힐링,,,CATALOGED
0x811CC,0x80FB0,True,"[[""skill_name:3"", 0]]",0x8019C2D1,게일 플래시,,,CATALOGED
0x811D0,0x80FBC,True,"[[""skill_name:4"", 0]]",0x8019C1EE,슬로우 에너미,,,CATALOGED
0x811D4,0x80FC8,True,"[[""skill_name:5"", 0]]",0x8019BB0F,메테오 폴,,,CATALOGED
0x811D8,0x80FD4,True,"[[""skill_name:6"", 0]]",0x8019B08B,큐어,,,CATALOGED
0x811DC,0x80FDC,True,"[[""skill_name:7"", 0]]",0x8019BDF5,디포이즌,,,CATALOGED
0x811E0,0x80FE4,True,"[[""skill_name:8"", 0]]",0x8019BEDA,사일런트,,,CATALOGED
0x811E4,0x80FEC,True,"[[""skill_name:9"", 0]]",0x8019BEC5,리프레시,,,CATALOGED
0x811E8,0x80FF4,True,"[[""skill_name:10"", 0]]",0x8019B00E,천벌,,,CATALOGED
0x811EC,0x80FFC,True,"[[""skill_name:11"", 0]]",0x8019BC65,리저렉션,,,CATALOGED
0x811F0,0x81008,True,"[[""skill_name:12"", 0]]",0x8019AE45,디바이드,,,CATALOGED
0x811F4,0x81010,True,"[[""skill_name:13"", 0]]",0x8019C020,앵화뇌폭참,,,CATALOGED
0x811F8,0x8101C,True,"[[""skill_name:14"", 0]]",0x8019AEBA,주박검,,,CATALOGED
0x811FC,0x81024,True,"[[""skill_name:15"", 0]]",0x8019AE14,진공참,,,CATALOGED
0x81200,0x8102C,True,"[[""skill_name:16"", 0]]",0x8019AF02,호영참,,,CATALOGED
0x81204,0x81034,True,"[[""skill_name:17"", 0]]",0x8019BCF5,전투의 북,,,CATALOGED
0x81208,0x81040,True,"[[""skill_name:18"", 0]]",0x8019BE1D,황사자 북,,,CATALOGED
0x8120C,0x8104C,True,"[[""skill_name:19"", 0]]",0x8019BC55,기합 나팔,,,CATALOGED
0x81210,0x81054,True,"[[""skill_name:20"", 0]]",0x8019BBD5,탈진 나팔,,,CATALOGED
0x81214,0x8105C,True,"[[""skill_name:21"", 0]]",0x8019BAEB,치유의 하프,,,CATALOGED
0x81218,0x81068,True,"[[""skill_name:22"", 0]]",0x8019C252,둔화 베이스,,,CATALOGED
0x8121C,0x81074,True,"[[""skill_name:23"", 0]]",0x8019AA78,위타천 오카리나,,,CATALOGED
0x81220,0x81080,True,"[[""skill_name:24"", 0]]",0x8019AAC0,방향전환 피리,,,CATALOGED
0x81224,0x8108C,True,"[[""skill_name:25"", 0]]",0x8019BE3D,익스플로전,,,CATALOGED
0x81228,0x81098,True,"[[""skill_name:26"", 0]]",0x8019BC45,드림 노크,,,CATALOGED
