offset,ascii,original_current_equal,classification,already_in_711_ui_inventory,status
0x8d6b0,%02d,True,UI_NUMERIC_FORMAT,True,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8da64,%3d,True,UI_NUMERIC_FORMAT,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8da6c,%2d,True,UI_NUMERIC_FORMAT,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8da70,%1d,True,UI_NUMERIC_FORMAT,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8da74,%4d,True,UI_NUMERIC_FORMAT,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8da88,%04d,True,UI_NUMERIC_FORMAT,True,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8da90,%05d,True,UI_NUMERIC_FORMAT,True,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8da98,%03d,True,UI_NUMERIC_FORMAT,True,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8dab0,%3d/%3d,True,UI_NUMERIC_FORMAT,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8dab8,%d,True,UI_NUMERIC_FORMAT,True,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8dac0,%d,True,UI_NUMERIC_FORMAT,True,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8dac4,%02d,True,UI_NUMERIC_FORMAT,True,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8dacc, %02d,True,UI_NUMERIC_FORMAT,True,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8dad4, %02d,True,UI_NUMERIC_FORMAT,True,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8dadc,%2d ,True,UI_NUMERIC_FORMAT,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8dae4,%3d/%3d,True,UI_NUMERIC_FORMAT,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8daec,%2d,True,UI_NUMERIC_FORMAT,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8daf0, %d,True,UI_NUMERIC_FORMAT,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8daf4,%5d/%5d,True,UI_NUMERIC_FORMAT,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8dafc,%d,True,UI_NUMERIC_FORMAT,True,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8db00,%%%dd,True,UI_NUMERIC_FORMAT,True,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8db08,%%+%dd,True,UI_NUMERIC_FORMAT,True,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8db10,%d,True,UI_NUMERIC_FORMAT,True,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8dd38,"
%5d:",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8dd40,-%s,True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8dd44,"-%s
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
0x8ddd4,"%s...
",True,SDK_OR_CONSOLE_CANDIDATE,False,BYTES_PRESERVED_NOT_RUNTIME_FORMATTING_APPROVAL
