id,status,severity,original_japanese,current_korean,pointer_offset,finding,evidence,next_action,review_source
equipment_name:21,ACCEPTABLE_ABBREVIATION,NONE,フ<N:リ:12>ス<N:リ:12>ット,팔찌 1,0x804F8,Bracelet: suffix1 added to distinguish the two same-name source items with different effects.,Original COMM glyph sheet original_ui_03.png row40; pointer0x804F8; original raw=C9 6F 47 6F 82 5C; actual current=팔찌 1,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:22,ACCEPTABLE_ABBREVIATION,NONE,フ<N:リ:12>ス<N:リ:12>ット,팔찌 2,0x804FC,Bracelet: suffix2 added to distinguish the two same-name source items with different effects.,Original COMM glyph sheet original_ui_03.png row41; pointer0x804FC; original raw=C9 6F 47 6F 82 5C; actual current=팔찌 2,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:23,PASS_SEMANTIC,NONE,技のフ<N:リ:12>ス<N:リ:12>ット,기술의 팔찌,0x80500,Technique bracelet: meaning preserved.,Original COMM glyph sheet original_ui_03.png row42; pointer0x80500; original raw=DD 4C 1C C9 6F 47 6F 82 5C; actual current=기술의 팔찌,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:24,PASS_SEMANTIC,NONE,女神のいのり,여신의 기도,0x80504,Goddess's prayer: meaning preserved.,Original COMM glyph sheet original_ui_03.png row43; pointer0x80504; original raw=DE 6B DD 2F 1C 1B 1C 39; actual current=여신의 기도,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:25,PASS_SEMANTIC,NONE,パワーリスト,파워 리스트,0x80508,Power wrist: transliteration preserved.,Original COMM glyph sheet original_ui_03.png row44; pointer0x80508; original raw=A3 DD A0 31 6B 47 5C; actual current=파워 리스트,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:26,CONFIRMED_DEFECT,LOW,デ<N:ｲ:6>ールの<N:牙:4>,데일의 이빨,0x8050C,Source Diiru fang is transliterated as Deil; the source vowel sequence is different.,Original COMM glyph sheet original_ui_03.png row45; pointer0x8050C; original raw=81 DD 03 31 53 1C DE B0; actual current=데일의 이빨,Review source-faithful correction proposal; user approval before canonical edits.,equipment_review.csv
equipment_name:27,PASS_SEMANTIC,NONE,幻獣の<N:牙:4>,환수의 이빨,0x80510,Phantom beast fang: meaning preserved.,Original COMM glyph sheet original_ui_03.png row46; pointer0x80510; original raw=DD F2 DE 6E 1C DE B0; actual current=환수의 이빨,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:28,PASS_SEMANTIC,NONE,しおかぜの調ベ,바닷바람의 선율,0x80514,Sea-breeze melody: meaning preserved.,Original COMM glyph sheet original_ui_03.png row47; pointer0x80514; original raw=1E 3B 20 A7 1C DD 86 DD 35; actual current=바닷바람의 선율,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:29,PASS_SEMANTIC,NONE,<N:貝:2>がら,조개껍데기,0x80518,Seashell: meaning preserved.,Original COMM glyph sheet original_ui_03.png row48; pointer0x80518; original raw=DF 50 2A 33; actual current=조개껍데기,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:30,PASS_SEMANTIC,NONE,一角獣の角,유니콘의 뿔,0x8051C,Unicorn horn: meaning preserved.,Original COMM glyph sheet original_ui_04.png row49; pointer0x8051C; original raw=8E DE 7C DE 6E 1C DE 7C; actual current=유니콘의 뿔,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:31,PASS_SEMANTIC,NONE,<N:悲:5>劇のめがね,비극의 안경,0x80520,Tragic spectacles: meaning preserved.,Original COMM glyph sheet original_ui_04.png row50; pointer0x80520; original raw=DD BA DE 15 1C 51 2A 4C; actual current=비극의 안경,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:32,PASS_SEMANTIC,NONE,鏡,거울,0x80524,Mirror: meaning preserved.,Original COMM glyph sheet original_ui_04.png row51; pointer0x80524; original raw=DD AE; actual current=거울,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:33,PASS_SEMANTIC,NONE,古代の<N:ｴ:24>びわ,고대의 반지,0x80528,Ancient ring: meaning preserved.,Original COMM glyph sheet original_ui_04.png row52; pointer0x80528; original raw=DD 69 DD A8 1C DD 04 99 43; actual current=고대의 반지,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:34,PASS_SEMANTIC,NONE,幻の<N:ｴ:24>びわ,환상의 반지,0x8052C,Phantom ring: meaning preserved.,Original COMM glyph sheet original_ui_04.png row53; pointer0x8052C; original raw=DD F2 1C DD 04 99 43; actual current=환상의 반지,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:35,PASS_SEMANTIC,NONE,魔導の<N:ｴ:24>びわ,마도의 반지,0x80530,Magic ring: meaning preserved.,Original COMM glyph sheet original_ui_04.png row54; pointer0x80530; original raw=DD 1B DE 03 1C DD 04 99 43; actual current=마도의 반지,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:36,PASS_SEMANTIC,NONE,おもちゃの<N:ｴ:24>びわ,장난감 반지,0x80534,Toy ring: meaning preserved.,Original COMM glyph sheet original_ui_04.png row55; pointer0x80534; original raw=3B 38 4B 48 1C DD 04 99 43; actual current=장난감 반지,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:37,PASS_SEMANTIC,NONE,<N:毒:1>よけの<N:ｴ:24>びわ,독막이 반지,0x80538,Poison-ward ring: meaning preserved.,Original COMM glyph sheet original_ui_04.png row56; pointer0x80538; original raw=DD CF 3D 49 1C DD 04 99 43; actual current=독막이 반지,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:38,PASS_SEMANTIC,NONE,幻の盾,환상의 방패,0x8053C,Phantom shield: meaning preserved.,Original COMM glyph sheet original_ui_04.png row57; pointer0x8053C; original raw=DD F2 1C DE DB; actual current=환상의 방패,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:39,PASS_SEMANTIC,NONE,戦士の守り,전사의 수호,0x80540,Warrior's protection: meaning preserved.,Original COMM glyph sheet original_ui_04.png row58; pointer0x80540; original raw=63 68 1C DD 1E 39; actual current=전사의 수호,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:40,PASS_SEMANTIC,NONE,長老の盾,장로의 방패,0x80544,Elder's shield: meaning preserved.,Original COMM glyph sheet original_ui_04.png row59; pointer0x80544; original raw=D4 A8 1C DE DB; actual current=장로의 방패,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:41,PASS_SEMANTIC,NONE,強力な<N:杖:1>,강력한 지팡이,0x80548,Powerful staff: meaning preserved.,Original COMM glyph sheet original_ui_04.png row60; pointer0x80548; original raw=DD 19 61 1D DF 32; actual current=강력한 지팡이,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:42,CONFIRMED_DEFECT,LOW,じごくのスニー<N:フ:11>,지옥의 스누프,0x8054C,"Source jigoku no SCOPE is rendered as hell's SNOOP, a glyph misreading.",Original COMM glyph sheet original_ui_04.png row61; pointer0x8054C; original raw=4A 79 3E 1C 47 D1 31 DD 55; actual current=지옥의 스누프,Review source-faithful correction proposal; user approval before canonical edits.,equipment_review.csv
equipment_name:43,PASS_SEMANTIC,NONE,王様の像,왕의 상,0x80550,King's statue: meaning preserved.,Original COMM glyph sheet original_ui_04.png row62; pointer0x80550; original raw=5D CB 1C DE 64; actual current=왕의 상,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:44,PASS_SEMANTIC,NONE,たかの像,매의 상,0x80554,Hawk statue: meaning preserved.,Original COMM glyph sheet original_ui_04.png row63; pointer0x80554; original raw=1F 20 1C DE 64; actual current=매의 상,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:45,PASS_SEMANTIC,NONE,まがいの像,모조상,0x80558,Imitation statue: meaning preserved.,Original COMM glyph sheet original_ui_04.png row64; pointer0x80558; original raw=27 2A 1B 1C DE 64; actual current=모조상,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:46,PASS_SEMANTIC,NONE,たん剣,단검,0x8055C,Dagger: meaning preserved.,Original COMM glyph sheet original_ui_05.png row65; pointer0x8055C; original raw=1F 2D DD 8D; actual current=단검,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:47,PASS_SEMANTIC,NONE,幻の剣,환상의 검,0x80560,Phantom sword: meaning preserved.,Original COMM glyph sheet original_ui_05.png row66; pointer0x80560; original raw=DD F2 1C DD 8D; actual current=환상의 검,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:48,CONFIRMED_DEFECT,LOW,<N:リ:12><N:｣:11>ラのかみか<N:ざ:2>り,리라의 머리장식,0x80564,"Source Reira hair ornament is rendered as Rira, changing the proper name.",Original COMM glyph sheet original_ui_05.png row67; pointer0x80564; original raw=6F 65 57 1C 20 6D 20 DD 3D 39; actual current=리라의 머리장식,Review source-faithful correction proposal; user approval before canonical edits.,equipment_review.csv
equipment_name:49,PASS_SEMANTIC,NONE,乱れる宝石,요동치는 보석,0x80568,Turbulent jewel: the imagery is preserved.,Original COMM glyph sheet original_ui_05.png row68; pointer0x80568; original raw=DE 54 32 22 DD C9 94; actual current=요동치는 보석,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:50,PASS_SEMANTIC,NONE,アーマーストーン,아머 스톤,0x8056C,Armor stone: transliteration preserved.,Original COMM glyph sheet original_ui_05.png row69; pointer0x8056C; original raw=42 31 64 31 47 5C 31 34; actual current=아머 스톤,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:51,PASS_SEMANTIC,NONE,ロマンシン<N:ク:12>ストーン,로맨싱 스톤,0x80570,Romancing stone: transliteration preserved.,Original COMM glyph sheet original_ui_05.png row70; pointer0x80570; original raw=A2 64 34 60 34 80 47 5C 31 34; actual current=로맨싱 스톤,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:52,PASS_SEMANTIC,NONE,ロマンシン<N:ク:12>ストーン,로맨싱 스톤,0x80574,Romancing stone: source genuinely repeats the same name.,Original COMM glyph sheet original_ui_05.png row71; pointer0x80574; original raw=A2 64 34 60 34 80 47 5C 31 34; actual current=로맨싱 스톤,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:53,PASS_SEMANTIC,NONE,ロマンシン<N:ク:12>ストーン,로맨싱 스톤,0x80578,Romancing stone: source genuinely repeats the same name.,Original COMM glyph sheet original_ui_05.png row72; pointer0x80578; original raw=A2 64 34 60 34 80 47 5C 31 34; actual current=로맨싱 스톤,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:54,PASS_SEMANTIC,NONE,ロマンシン<N:ク:12>ストーン,로맨싱 스톤,0x8057C,Romancing stone: source genuinely repeats the same name.,Original COMM glyph sheet original_ui_05.png row73; pointer0x8057C; original raw=A2 64 34 60 34 80 47 5C 31 34; actual current=로맨싱 스톤,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:55,CONFIRMED_DEFECT,MEDIUM,太陽の<N:げ:26>うし,태양의 거울,0x80580,"Source Sun HAT (boushi) becomes Sun MIRROR, changing the object type.",Original COMM glyph sheet original_ui_05.png row74; pointer0x80580; original raw=DD A9 DF 07 1C D2 26 1E; actual current=태양의 거울,Review source-faithful correction proposal; user approval before canonical edits.,equipment_review.csv
equipment_name:56,PASS_SEMANTIC,NONE,おし花の本,압화 책,0x80584,Pressed-flower book: meaning preserved.,Original COMM glyph sheet original_ui_05.png row75; pointer0x80584; original raw=3B 1E DE 1B 1C 92; actual current=압화 책,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:57,CONFIRMED_DEFECT,LOW,クラウ<N:ｲ:6>スの本,클라우스의 책,0x80588,"Source Kuravisu book becomes Klaus book, changing the proper name.",Original COMM glyph sheet original_ui_05.png row76; pointer0x80588; original raw=4E 57 DD 39 DD 03 47 1C 92; actual current=클라우스의 책,Review source-faithful correction proposal; user approval before canonical edits.,equipment_review.csv
equipment_name:58,PASS_SEMANTIC,NONE,音楽集,음악집,0x8058C,Music collection: meaning preserved.,Original COMM glyph sheet original_ui_05.png row77; pointer0x8058C; original raw=DE F9 DD DF DD 5A; actual current=음악집,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:59,PASS_SEMANTIC,NONE,ラークの紋章,라크의 문장,0x80590,Lark crest: transliteration preserved.,Original COMM glyph sheet original_ui_05.png row78; pointer0x80590; original raw=57 31 4E 1C DE 56 DE 34; actual current=라크의 문장,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:60,PASS_SEMANTIC,NONE,<N:ｴ:24>かりの紋章,유카리의 문장,0x80594,Yukari crest: source sound retained; whether Yukari is a personal name is not assumed.,Original COMM glyph sheet original_ui_05.png row79; pointer0x80594; original raw=DD 04 20 39 1C DE 56 DE 34; actual current=유카리의 문장,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:61,CONFIRMED_DEFECT,LOW,フ<N:リ:12><N:｣:11>の紋章,포니의 문장,0x80598,"Source Furei crest becomes Pony crest, changing the proper name.",Original COMM glyph sheet original_ui_05.png row80; pointer0x80598; original raw=A6 6F 65 1C DE 56 DE 34; actual current=포니의 문장,Review source-faithful correction proposal; user approval before canonical edits.,equipment_review.csv
equipment_name:62,PASS_SEMANTIC,NONE,勇者の証,용자의 증표,0x8059C,Hero's proof: meaning preserved.,Original COMM glyph sheet original_ui_06.png row81; pointer0x8059C; original raw=DD 47 7E 1C DE 0C; actual current=용자의 증표,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_name:63,PASS_SEMANTIC,NONE,？？？？？,?????,0x805A0,Five question marks in both source and current; not an empty/untranslated slot.,Original COMM glyph sheet original_ui_06.png row82; pointer0x805A0; original raw=3C 3C 3C 3C 3C; actual current=?????,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:0,ACCEPTABLE_ABBREVIATION,NONE,炎系の攻撃に強くなります,불 계열 공격에 강함,0x80A94,Resistance to flame attacks retained.,Original COMM glyph sheet original_ui_06.png row83; pointer0x80A94; original raw=BF DE ED 1C D0 B1 23 DD 19 3E 1D 39 27 2B; actual current=불 계열 공격에 강함,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:1,ACCEPTABLE_ABBREVIATION,NONE,水系の攻撃に強くなります,물 계열 공격에 강함,0x80A98,Resistance to water attacks retained.,Original COMM glyph sheet original_ui_06.png row84; pointer0x80A98; original raw=B8 DE ED 1C D0 B1 23 DD 19 3E 1D 39 27 2B; actual current=물 계열 공격에 강함,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:2,ACCEPTABLE_ABBREVIATION,NONE,<N:ｌ:5>へモジーへを回避します,헤모지 방지,0x80A9C,Prevents Hemoji status retained.,Original COMM glyph sheet original_ui_06.png row85; pointer0x80A9C; original raw=5B DD 3B 5F 7F 31 5A 2F 9E DD 96 1E 27 2B; actual current=헤모지 방지,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:3,ACCEPTABLE_ABBREVIATION,NONE,自分の<N:Π:10><N:Ｐ:10>の回復量が大きくなります,자신의 체력 회복량 증가,0x80AA0,Increases own HP recovery amount retained.,Original COMM glyph sheet original_ui_06.png row86; pointer0x80AA0; original raw=A4 B2 1C DD FA DD 90 1C 9E DD 2C DD 46 2A 50 44 3E 1D 39 27 2B; actual current=자신의 체력 회복량 증가,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:4,ACCEPTABLE_ABBREVIATION,NONE,戦闘で入る経験値が2倍になります,획득 경험치 2배,0x80AA4,Doubles battle experience retained.,Original COMM glyph sheet original_ui_06.png row87; pointer0x80AA4; original raw=63 93 30 86 22 DD DE DE 75 DD D2 2A 13 DF 17 23 1D 39 27 2B; actual current=획득 경험치 2배,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:5,ACCEPTABLE_ABBREVIATION,NONE,魔力が10<N:X:20>上昇します,마력 10% 상승,0x80AA8,Magic power +10% retained.,Original COMM glyph sheet original_ui_06.png row88; pointer0x80AA8; original raw=DD 1B 61 2A 12 11 06 B9 DD 59 1E 27 2B; actual current=마력 10% 상승,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:6,ACCEPTABLE_ABBREVIATION,NONE,<N:ｌ:5><N:眠:5>りへを回避します,수면 방지,0x80AAC,Prevents sleep retained.,Original COMM glyph sheet original_ui_06.png row89; pointer0x80AAC; original raw=5B DD B9 39 5A 2F 9E DD 96 1E 27 2B; actual current=수면 방지,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:7,ACCEPTABLE_ABBREVIATION,NONE,防御力が30<N:X:20>上昇します（チョン<N:力:5>ラ）,촌가라의 방어력|30% 상승,0x80AB0,Chongara defense +30% retained.,Original COMM glyph sheet original_ui_06.png row90; pointer0x80AB0; original raw=DD A6 DD AD 61 2A 14 11 06 B9 DD 59 1E 27 2B 09 6C 69 34 DD 02 57 0A; actual current=촌가라의 방어력|30% 상승,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:8,ACCEPTABLE_ABBREVIATION,NONE,<N:ｌ:5>投げるへが<N:リ:12>ベル1になります,던지기 레벨 1,0x80AB4,Throw becomes level1 retained.,Original COMM glyph sheet original_ui_06.png row91; pointer0x80AB4; original raw=5B DE 04 9C 22 5A 2A 6F DD B4 53 12 23 1D 39 27 2B; actual current=던지기 레벨 1,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:9,ACCEPTABLE_ABBREVIATION,NONE,攻撃力が<N:ｃ:12>0<N:X:20>上昇します,공격력 50% 상승,0x80AB8,Attack +50% retained.,Original COMM glyph sheet original_ui_06.png row92; pointer0x80AB8; original raw=D0 B1 61 2A 16 11 06 B9 DD 59 1E 27 2B; actual current=공격력 50% 상승,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:10,ACCEPTABLE_ABBREVIATION,NONE,<N:ｌ:5>暗闇へを回避します,암흑 방지,0x80ABC,Prevents darkness retained.,Original COMM glyph sheet original_ui_06.png row93; pointer0x80ABC; original raw=5B DE B3 DE B2 5A 2F 9E DD 96 1E 27 2B; actual current=암흑 방지,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:11,ACCEPTABLE_ABBREVIATION,NONE,攻撃が<N:非:1>常に当たりやすくなります,공격이 매우 잘 명중함,0x80AC0,Attacks become very accurate retained.,Original COMM glyph sheet original_ui_06.png row94; pointer0x80AC0; original raw=D0 B1 2A DE 5A DE 68 23 DD 42 1F 39 40 2B 3E 1D 39 27 2B; actual current=공격이 매우 잘 명중함,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:12,ACCEPTABLE_ABBREVIATION,NONE,<N:ｌ:5>投げるへが<N:ｌ:5>ぶん投げるへになります,던지기가 강력 투척으로 변화,0x80AC4,Throw changes to strong hurl retained.,Original COMM glyph sheet original_ui_06.png row95; pointer0x80AC4; original raw=5B DE 04 9C 22 5A 2A 5B CA 2D DE 04 9C 22 5A 23 1D 39 27 2B; actual current=던지기가 강력 투척으로 변화,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:13,ACCEPTABLE_ABBREVIATION,NONE,攻撃が特定の敵に強くなります,특정 적에게 추가 피해,0x80AC8,Attacks stronger against specific enemies retained as additional damage.,Original COMM glyph sheet original_ui_06.png row96; pointer0x80AC8; original raw=D0 B1 2A DE 96 DD 97 1C BD 23 DD 19 3E 1D 39 27 2B; actual current=특정 적에게 추가 피해,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
equipment_description:14,ACCEPTABLE_ABBREVIATION,NONE,攻撃が必す当たるようになります,공격이 반드시 명중,0x80ACC,Attacks always hit retained.,Original COMM glyph sheet original_ui_07.png row97; pointer0x80ACC; original raw=D0 B1 2A DD CC 8C DD 42 1F 22 3D 26 23 1D 39 27 2B; actual current=공격이 반드시 명중,No semantic change indicated; runtime/display validation remains separate.,equipment_review.csv
