canonical_row,confidence,current_choice_count,current_expanded_hex,current_korean,current_unknown,end,expansion_error,file,finding,id,offset,original_choice_count,original_hex,original_japanese,scope,sources,status
301,medium,4,e502defa4b23defadefadefa66e600e502285ddefadefadefa66e600e5028616200fa1e600e502a1302646a1e600,<CTRL:E502> 뒤    제<CTRL:E600><CTRL:E502>자십   제<CTRL:E600><CTRL:E502>운어러의 <CTRL:E600><CTRL:E502> 스은오 <CTRL:E600>,,294279,,21/S2042.DAT,,21/S2042.DAT:47D5A,294234,4,e502ddd27d32de46de04dd3ab4e600e5028997de46de04dd3ab4e600e502da252a4d2de600e502383156752de6,<CTRL:E5:02>値ひれ究投ミ恵<CTRL:E6:00><CTRL:E5:02>場ふ究投ミ恵<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
303,medium,4,e502a13a4b2332defae600e502defa5a2c178032defae600e5029d1a305e17defa32defae600e502e93105defa17defae600,<CTRL:E502> 면뒤 거 <CTRL:E600><CTRL:E502> 덕요드변거 <CTRL:E600><CTRL:E502>심여스도드 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,294405,,21/S2042.DAT,,21/S2042.DAT:47DD4,294356,4,e5024a7e7d32b0dd18e600e502dd37448b27d2b0dd18e600e502a6676f4c27ddcbb0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
304,medium,4,e502234d4d1ca132defae600e502234bdd05175e8332defae600e502defa17defa5a32defae600e502e93105defa17defae600,<CTRL:E502> 느느고 거 <CTRL:E600><CTRL:E502> 뒤라드도토거 <CTRL:E600><CTRL:E502> 드 덕거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,294494,,21/S2042.DAT,,21/S2042.DAT:47E2C,294444,4,e502325454514ab0dd18e600e502327ddd39274cd1b0dd18e600e502ddcc27dd8544b0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねコ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
305,medium,2,e502134d17dd21defa32defae600e502e93105defa17defae600,<CTRL:E502> 느드두 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,294559,,21/S2042.DAT,,21/S2042.DAT:47E86,294534,2,e502285427dd68df4ab0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
308,high,2,3943dd02a1e601dd96a1338817ddca3b2cd1a1a1a1a1a1a1a1e601e503dd3bdd3a09a1a1e601e503191e38a1dd96a1a1a1a1a1a1a1,초핀: |더 도와드릴까요?       |<CTRL:E503>괜찮아  |<CTRL:E503>하나만 더       ,,294949,,21/S2042.DAT,,21/S2042.DAT:47FF0,294896,2,6c69723425e6016e2085303b61231d32227a283f39272b203ce601e503dd3545231d1b37e601e5034b732936dd6a4621dd051e1b37,"チョピン 
何か私でお力になれるこはありますか？
<CTRL:E5:03>ベつにない。
<CTRL:E5:03>ちょつと教えてほしい。",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
311,high,3,e504dd282b0406a1dd37a1a1a1a1a1e601e5044fdd39a12c51a1a1a1a1a1a1a1e601e5041538a1a1a1a1a1a1a1,<CTRL:E504>강해지는 법     |<CTRL:E504>전투 요령       |<CTRL:E504>그만       ,,295243,,21/S2042.DAT,,21/S2042.DAT:4811E,295198,3,e50454262b3258dd193e1d32221c3ce601e5046e20631b1cd1df01283f221c3ce601e50440297539241b1b4037,"<CTRL:E5:04>どうすれば強くなれるの？
<CTRL:E5:04>何か戦いのコツはあるの？
<CTRL:E5:04>やつっり、いいや。",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
321,medium,4,e502defa4b23defadefadefa66e600e502285ddefadefadefa66e600e5028616200fa1e600e502a1302646a1e600,<CTRL:E502> 뒤    제<CTRL:E600><CTRL:E502>자십   제<CTRL:E600><CTRL:E502>운어러의 <CTRL:E600><CTRL:E502> 스은오 <CTRL:E600>,,294279,,21/S2043.DAT,,21/S2043.DAT:47D5A,294234,4,e502ddd27d32de46de04dd3ab4e600e5028997de46de04dd3ab4e600e502da252a4d2de600e502383156752de6,<CTRL:E5:02>値ひれ究投ミ恵<CTRL:E6:00><CTRL:E5:02>場ふ究投ミ恵<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
323,medium,4,e502a13a4b2332defae600e502defa5a2c178032defae600e5029d1a305e17defa32defae600e502e93105defa17defae600,<CTRL:E502> 면뒤 거 <CTRL:E600><CTRL:E502> 덕요드변거 <CTRL:E600><CTRL:E502>심여스도드 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,294405,,21/S2043.DAT,,21/S2043.DAT:47DD4,294356,4,e5024a7e7d32b0dd18e600e502dd37448b27d2b0dd18e600e502a6676f4c27ddcbb0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
324,medium,4,e502234d4d1ca132defae600e502234bdd05175e8332defae600e502defa17defa5a32defae600e502e93105defa17defae600,<CTRL:E502> 느느고 거 <CTRL:E600><CTRL:E502> 뒤라드도토거 <CTRL:E600><CTRL:E502> 드 덕거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,294494,,21/S2043.DAT,,21/S2043.DAT:47E2C,294444,4,e502325454514ab0dd18e600e502327ddd39274cd1b0dd18e600e502ddcc27dd8544b0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねコ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
325,medium,2,e502134d17dd21defa32defae600e502e93105defa17defae600,<CTRL:E502> 느드두 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,294559,,21/S2043.DAT,,21/S2043.DAT:47E86,294534,2,e502285427dd68df4ab0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
328,medium,4,e502defa4b23defadefadefa66e600e502285ddefadefadefa66e600e5028616200fa1e600e502a1302646a1e600,<CTRL:E502> 뒤    제<CTRL:E600><CTRL:E502>자십   제<CTRL:E600><CTRL:E502>운어러의 <CTRL:E600><CTRL:E502> 스은오 <CTRL:E600>,,294279,,21/S2044.DAT,,21/S2044.DAT:47D5A,294234,4,e502ddd27d32de46de04dd3ab4e600e5028997de46de04dd3ab4e600e502da252a4d2de600e502383156752de6,<CTRL:E5:02>値ひれ究投ミ恵<CTRL:E6:00><CTRL:E5:02>場ふ究投ミ恵<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
330,medium,4,e502a13a4b2332defae600e502defa5a2c178032defae600e5029d1a305e17defa32defae600e502e93105defa17defae600,<CTRL:E502> 면뒤 거 <CTRL:E600><CTRL:E502> 덕요드변거 <CTRL:E600><CTRL:E502>심여스도드 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,294405,,21/S2044.DAT,,21/S2044.DAT:47DD4,294356,4,e5024a7e7d32b0dd18e600e502dd37448b27d2b0dd18e600e502a6676f4c27ddcbb0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
331,medium,4,e502234d4d1ca132defae600e502234bdd05175e8332defae600e502defa17defa5a32defae600e502e93105defa17defae600,<CTRL:E502> 느느고 거 <CTRL:E600><CTRL:E502> 뒤라드도토거 <CTRL:E600><CTRL:E502> 드 덕거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,294494,,21/S2044.DAT,,21/S2044.DAT:47E2C,294444,4,e502325454514ab0dd18e600e502327ddd39274cd1b0dd18e600e502ddcc27dd8544b0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねコ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
332,medium,2,e502134d17dd21defa32defae600e502e93105defa17defae600,<CTRL:E502> 느드두 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,294559,,21/S2044.DAT,,21/S2044.DAT:47E86,294534,2,e502285427dd68df4ab0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
355,medium,4,e502defa4b23defadefadefa66e600e502285ddefadefadefa66e600e5028616200fa1e600e502a1302646a1e600,<CTRL:E502> 뒤    제<CTRL:E600><CTRL:E502>자십   제<CTRL:E600><CTRL:E502>운어러의 <CTRL:E600><CTRL:E502> 스은오 <CTRL:E600>,,290183,,21/S2045.DAT,,21/S2045.DAT:46D5A,290138,4,e502ddd27d32de46de04dd3ab4e600e5028997de46de04dd3ab4e600e502da252a4d2de600e502383156752de6,<CTRL:E5:02>値ひれ究投ミ恵<CTRL:E6:00><CTRL:E5:02>場ふ究投ミ恵<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
357,medium,4,e502a13a4b2332defae600e502defa5a2c178032defae600e5029d1a305e17defa32defae600e502e93105defa17defae600,<CTRL:E502> 면뒤 거 <CTRL:E600><CTRL:E502> 덕요드변거 <CTRL:E600><CTRL:E502>심여스도드 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,290309,,21/S2045.DAT,,21/S2045.DAT:46DD4,290260,4,e5024a7e7d32b0dd18e600e502dd37448b27d2b0dd18e600e502a6676f4c27ddcbb0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
358,medium,4,e502234d4d1ca132defae600e502234bdd05175e8332defae600e502defa17defa5a32defae600e502e93105defa17defae600,<CTRL:E502> 느느고 거 <CTRL:E600><CTRL:E502> 뒤라드도토거 <CTRL:E600><CTRL:E502> 드 덕거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,290398,,21/S2045.DAT,,21/S2045.DAT:46E2C,290348,4,e502325454514ab0dd18e600e502327ddd39274cd1b0dd18e600e502ddcc27dd8544b0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねコ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
359,medium,2,e502134d17dd21defa32defae600e502e93105defa17defae600,<CTRL:E502> 느드두 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>,,290463,,21/S2045.DAT,,21/S2045.DAT:46E86,290438,2,e502285427dd68df4ab0dd18e600e502dd341bdf2727dd0ae6,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,choice_or_quiz,"['story_corpus', 'script_original_full']",UNREVIEWED
361,high,3,e50376dd0ea1e601e5031538a1a1a1e601e5033160a1a1a1a1a1a1a1,<CTRL:E503>출발 |<CTRL:E503>그만   |<CTRL:E503>정보       ,,292266,,21/S2045.DAT,,21/S2045.DAT:4758E,292238,3,e50356762b22e601e50356761e1d1be601e5031b551b55dd6a462102,"<CTRL:E5:03>出発する
<CTRL:E5:03>出発しない
<CTRL:E5:03>いろいろ教えて!",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
365,high,3,e50376dd0ea1e601e5031538a1a1a1e601e5033160a1a1a1a1a1a1a1,<CTRL:E503>출발 |<CTRL:E503>그만   |<CTRL:E503>정보       ,,293168,,21/S2045.DAT,,21/S2045.DAT:47914,293140,3,e50356762b22e601e50356761e1d1be601e5031b551b55dd6a462102,"<CTRL:E5:03>出発する
<CTRL:E5:03>出発しない
<CTRL:E5:03>いろいろ教えて!",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
369,high,3,e50376dd0ea1e601e5031538a1a1a1e601e5033160a10ba1a1a1a1a1a1a1a1a1,<CTRL:E503>출발 |<CTRL:E503>그만   |<CTRL:E503>정보 2         ,,293970,,21/S2045.DAT,,21/S2045.DAT:47C32,293938,3,e50356762b22e601e50356761e1d1be601e5031b551b55dd6a46210201411c13,"<CTRL:E5:03>出発する
<CTRL:E5:03>出発しない
<CTRL:E5:03>いろいろ教えて! その2",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
371,high,3,e50376dd0ea1e601e5031538a1a1a1e601e5038add1a53a13160a1a1a1a1a1,<CTRL:E503>출발 |<CTRL:E503>그만   |<CTRL:E503>유용한 정보     ,,294137,,21/S2045.DAT,,21/S2045.DAT:47CDA,294106,3,e50356762b22e601e50356761e1d1be601e503dea63d391db02fd3441f1b02,"<CTRL:E5:03>出発する
<CTRL:E5:03>出発しない
<CTRL:E5:03>耳よりな話を聞きたい!",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
375,high,3,e50309dd01dd5ea13160a1a1a1a1a1a1a1a1a1a1e601e503dd29ddb2dd18a1dd46dd0ae601e5031538a1a1a1a1a1a1a1,<CTRL:E503>아이템 정보          |<CTRL:E503>방향과 반격|<CTRL:E503>그만       ,,294732,,21/S2045.DAT,,21/S2045.DAT:47F1C,294684,3,e5034265dbd82c424edd60776b311cddc1dd1f37e601e50363931cc4dd0136de02b137e601e50340297539241b1b4037,"<CTRL:E5:03>アイテム・アクセサリーの効果。
<CTRL:E5:03>戦闘の方向と反撃。
<CTRL:E5:03>やつっり、いいや。",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
385,high,3,e5034fdd39a12c51a10ba1a1a1a1e601e5038add1a53a13160e601e5031538a1a1a1a1a1a1a1,<CTRL:E503>전투 요령 2    |<CTRL:E503>유용한 정보|<CTRL:E503>그만       ,,295791,,21/S2045.DAT,,21/S2045.DAT:4834A,295754,3,e503af5c531cdd11dda701411c13e601e503dea63d391db0e601e50340297539241b1b4037,"<CTRL:E5:03>バトルの心得 その2
<CTRL:E5:03>耳よりな話
<CTRL:E5:03>やつっり、いいや。",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
386,high,4,e503643002a18bdd17a1a1a1a1a1e601e50368dd54dd1fa1a1a1a1a1e601e503dd1756a190dd30a1a1e601e5031538a1a1a1a1a1a1a1,<CTRL:E503>몬스터 상성     |<CTRL:E503>경험치     |<CTRL:E503>성장 조언  |<CTRL:E503>그만       ,,295916,,21/S2045.DAT,,21/S2045.DAT:483B6,295862,4,e5035f34476231361cde091e7326e601e503dddede75ddd223451b21e601e503de9ed41c4295af6547e601e50340297539241b1b4037,"<CTRL:E5:03>モンスターとの相しょう
<CTRL:E5:03>経験値について
<CTRL:E5:03>成長のアトバイス
<CTRL:E5:03>やつっり、いいや。",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
402,high,4,e503098f8f8330a18add09a1a1a1a1a1a1e601e503dd2f70451e0fa103dd8de601e5038f450134a150dd31a1a1e601e5031538a1a1a1a1a1a1a1,<CTRL:E503>아라라토스 유적      |<CTRL:E503>미르마나의 이후|<CTRL:E503>라마다사 수행  |<CTRL:E503>그만       ,,297388,,21/S2045.DAT,,21/S2045.DAT:48972,297330,4,e5034257575c471cdd8fdd9d67347f6934e601e503dd3a5364317c1c411cc3e601e503576467dd9e301cddbf74e601e50340297539241b1b4037,"<CTRL:E5:03>アララトスの遺跡ダンジョン
<CTRL:E5:03>ミルマーナのその後
<CTRL:E5:03>ラマダ寺での修行
<CTRL:E5:03>やつっり、いいや。",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
418,high,4,e50330dd9aa125de01a1e601e503de54a18edd1fa1de2831a1a1e601e503dd07dd65500ea1372ba1e601e503018da1d30304a1,<CTRL:E503>스톤 서클 |<CTRL:E503>링 위치 설정  |<CTRL:E503>소환수에 대해 |<CTRL:E503>다음 페이지 ,,298827,,21/S2045.DAT,,21/S2045.DAT:48F18,298776,4,e503475c313477314e53e601e5036b34801cdeb1decaded5dd97e601e503dd78dd7bde6e23451b21e601e503dd2a1cddf7317f,"<CTRL:E5:03>ストーンサークル
<CTRL:E5:03>リングの位置設定
<CTRL:E5:03>召喚獣について
<CTRL:E5:03>次のページ",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
419,high,4,e503dd78dd400fa1ddeb24e601e503dd392456e601e503ddb3833d99a1a1a1a1e601e5031538a1a1a1a1a1a1,<CTRL:E503>포코의 악기|<CTRL:E503>투기장|<CTRL:E503>키토우올    |<CTRL:E503>그만      ,,298942,,21/S2045.DAT,,21/S2045.DAT:48F94,298900,4,e503d7d11cdddfde7ae601e50393dd4c89e601e503ddb5315c71deb43153e601e503402975391b1b4037,"<CTRL:E5:03>ポコの楽器
<CTRL:E5:03>闘技場
<CTRL:E5:03>キートウオール
<CTRL:E5:03>やつっりいいや。",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
420,high,4,e50330dd9aa125de01a1e601e503de54a18edd1fa1de2831a1a1e601e503dd07dd6550a1e601e503018da1d30304a1,<CTRL:E503>스톤 서클 |<CTRL:E503>링 위치 설정  |<CTRL:E503>소환수 |<CTRL:E503>다음 페이지 ,,299061,,21/S2045.DAT,,21/S2045.DAT:49006,299014,4,e503475c313477314e53e601e5036b34801cdeb1decaded5dd97e601e503dd78dd7bde6ee601e503dd2a1cddf7317f,"<CTRL:E5:03>ストーンサークル
<CTRL:E5:03>リングの位置設定
<CTRL:E5:03>召喚獣
<CTRL:E5:03>次のページ",choice_or_quiz,"['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",UNREVIEWED
