callsite,target,kind,same_call_word,scope
0x8015eb80,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8015eb94,0x8016b2e4,ascii_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8015f1d4,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8015f754,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8015f774,0x8016b288,native_append,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80160454,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8016088c,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801608b4,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801608cc,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80160c34,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80160c78,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801620a4,0x8016c760,description,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801620fc,0x8016b288,native_append,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80162154,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80162160,0x8016b324,ascii_append,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80162170,0x8016b288,native_append,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80162190,0x8016b288,native_append,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801621c4,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801621d0,0x8016b324,ascii_append,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80162238,0x80165bc8,bounded_pair_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801631d0,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801632e0,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80163cc0,0x8016c760,description,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80164078,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80164088,0x8016b324,ascii_append,False,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801640dc,0x8016c760,description,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80164b4c,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80164b5c,0x8016b324,ascii_append,False,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80164bb8,0x8016c760,description,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8016561c,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80165ae4,0x80165b08,bounded_number_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80165b34,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80165b40,0x8016b324,ascii_append,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80165ba0,0x80165bc8,bounded_pair_wrapper,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80165c00,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80165c0c,0x8016b324,ascii_append,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801677fc,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x801681f4,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8016976c,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8016b1ec,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8016b204,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8016b214,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8016b228,0x8016b2e4,ascii_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8016b26c,0x8016b288,native_append,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8016b308,0x8016b324,ascii_append,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x8016bd10,0x801759b8,sprintf,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
0x80171ca0,0x8016b248,native_xy,True,Direct JAL occurrence; indirect calls and argument dataflow require separate analysis
