page_x,page_y,u,v,logical_x,logical_y,packet_overlap_count,state_overlap_count,runtime_nonzero_state_count,runtime_nonzero_pixel_count
8,1,32,176,800,432,287,160,0,0
8,1,32,192,800,448,292,165,0,0
8,1,32,208,800,464,279,165,0,0
8,1,48,0,816,256,323,270,0,0
8,1,48,16,816,272,324,270,0,0
8,1,48,32,816,288,237,224,0,0
8,1,48,48,816,304,234,224,0,0
8,1,48,64,816,320,278,237,0,0
8,1,48,80,816,336,277,237,0,0
8,1,48,96,816,352,263,211,0,0
8,1,48,112,816,368,190,174,0,0
8,1,48,128,816,384,191,169,0,0
8,1,48,144,816,400,187,169,0,0
8,1,48,160,816,416,255,162,0,0
8,1,48,176,816,432,298,160,0,0
8,1,48,192,816,448,299,173,0,0
8,1,48,208,816,464,278,171,0,0
8,1,64,0,832,256,274,222,0,0
8,1,64,16,832,272,275,222,0,0
8,1,64,32,832,288,236,227,0,0
8,1,64,48,832,304,234,227,0,0
8,1,64,64,832,320,270,226,0,0
8,1,64,80,832,336,269,226,0,0
8,1,64,96,832,352,245,192,0,0
8,1,64,112,832,368,171,154,0,0
8,1,64,128,832,384,188,164,0,0
8,1,64,144,832,400,184,164,0,0
8,1,64,160,832,416,182,148,0,0
8,1,64,176,832,432,224,146,0,0
8,1,80,0,848,256,330,275,0,0
8,1,80,16,848,272,331,275,0,0
8,1,80,32,848,288,240,227,0,0
8,1,80,48,848,304,238,226,0,0
8,1,80,64,848,320,304,226,0,0
8,1,80,80,848,336,303,226,0,0
8,1,80,96,848,352,242,193,0,0
8,1,80,112,848,368,169,154,0,0
8,1,80,128,848,384,186,166,0,0
8,1,80,144,848,400,175,165,0,0
8,1,96,0,864,256,283,215,0,0
8,1,96,16,864,272,284,215,0,0
8,1,96,32,864,288,166,149,0,0
8,1,96,48,864,304,159,147,0,0
8,1,96,64,864,320,253,176,0,0
8,1,96,80,864,336,252,176,0,0
8,1,96,96,864,352,204,154,0,0
8,1,96,112,864,368,134,117,0,0
8,1,96,128,864,384,147,129,0,0
8,1,96,144,864,400,135,127,0,0
8,1,112,0,880,256,245,184,0,0
8,1,112,16,880,272,246,184,0,0
8,1,112,32,880,288,210,182,0,0
8,1,112,48,880,304,177,165,0,0
8,1,112,64,880,320,274,192,0,0
8,1,112,80,880,336,274,192,0,0
8,1,112,96,880,352,219,167,0,0
8,1,112,112,880,368,147,130,0,0
8,1,112,128,880,384,157,140,0,0
8,1,112,144,880,400,146,138,0,0
8,1,128,0,896,256,287,203,0,0
8,1,128,16,896,272,286,203,0,0
8,1,128,32,896,288,195,149,0,0
8,1,128,48,896,304,148,120,0,0
8,1,128,64,896,320,249,151,0,0
8,1,128,80,896,336,247,149,0,0
8,1,128,96,896,352,188,137,0,0
8,1,128,112,896,368,114,98,0,0
8,1,128,128,896,384,126,108,0,0
8,1,128,144,896,400,116,106,0,0
8,1,144,0,912,256,260,203,0,0
8,1,144,16,912,272,259,203,0,0
8,1,144,32,912,288,199,149,0,0
8,1,144,48,912,304,153,120,0,0
8,1,144,64,912,320,255,151,0,0
8,1,144,80,912,336,245,149,0,0
8,1,144,96,912,352,184,137,0,0
8,1,144,112,912,368,112,98,0,0
8,1,144,128,912,384,123,107,0,0
8,1,144,144,912,400,115,105,0,0
9,1,0,0,1024,256,187,99,0,0
9,1,0,16,1024,272,197,99,0,0
9,1,0,32,1024,288,157,94,0,0
9,1,0,48,1024,304,146,84,0,0
9,1,0,64,1024,320,136,80,0,0
9,1,0,80,1024,336,154,87,0,0
9,1,0,96,1024,352,126,69,0,0
9,1,0,112,1024,368,116,66,0,0
9,1,0,128,1024,384,110,59,0,0
9,1,0,144,1024,400,118,62,0,0
9,1,16,0,1040,256,202,99,0,0
9,1,16,16,1040,272,224,99,0,0
9,1,16,32,1040,288,191,101,0,0
9,1,16,48,1040,304,168,99,0,0
9,1,16,64,1040,320,147,86,0,0
9,1,16,80,1040,336,174,87,0,0
9,1,16,96,1040,352,143,73,0,0
9,1,16,112,1040,368,123,70,0,0
9,1,16,128,1040,384,107,62,0,0
9,1,16,144,1040,400,118,62,0,0
9,1,32,0,1056,256,143,67,0,0
9,1,32,16,1056,272,164,74,0,0
9,1,32,32,1056,288,133,63,0,0
9,1,32,48,1056,304,109,61,0,0
9,1,32,64,1056,320,91,55,0,0
9,1,32,80,1056,336,118,59,0,0
9,1,32,96,1056,352,112,57,0,0
9,1,32,112,1056,368,92,54,0,0
9,1,32,128,1056,384,77,45,0,0
9,1,32,144,1056,400,88,47,0,0
9,1,48,0,1072,256,150,75,0,0
9,1,48,16,1072,272,170,81,0,0
9,1,48,32,1072,288,138,69,0,0
9,1,48,48,1072,304,110,59,0,0
9,1,48,64,1072,320,96,56,0,0
9,1,48,80,1072,336,122,59,0,0
9,1,48,96,1072,352,110,55,0,0
9,1,48,112,1072,368,94,53,0,0
9,1,48,128,1072,384,80,45,0,0
9,1,48,144,1072,400,91,47,0,0
9,1,64,0,1088,256,77,40,0,0
9,1,64,16,1088,272,92,46,0,0
9,1,64,32,1088,288,80,38,0,0
9,1,64,48,1088,304,45,28,0,0
9,1,64,64,1088,320,35,24,0,0
9,1,64,80,1088,336,57,26,0,0
9,1,64,96,1088,352,44,23,0,0
9,1,64,112,1088,368,29,22,0,0
9,1,64,128,1088,384,19,15,0,0
9,1,64,144,1088,400,29,17,0,0
9,1,80,0,1104,256,85,47,0,0
9,1,80,16,1104,272,100,47,0,0
9,1,80,32,1104,288,86,38,0,0
9,1,80,48,1104,304,45,28,0,0
9,1,80,64,1104,320,40,27,0,0
9,1,80,80,1104,336,61,26,0,0
9,1,80,96,1104,352,47,23,0,0
9,1,80,112,1104,368,29,22,0,0
9,1,80,128,1104,384,21,17,0,0
9,1,80,144,1104,400,31,17,0,0
9,1,96,0,1120,256,61,34,0,0
9,1,96,16,1120,272,76,34,0,0
9,1,96,32,1120,288,84,36,0,0
9,1,96,48,1120,304,45,28,0,0
9,1,96,64,1120,320,47,27,0,0
9,1,96,80,1120,336,70,25,0,0
9,1,96,96,1120,352,55,22,0,0
9,1,96,112,1120,368,28,21,0,0
9,1,96,128,1120,384,22,15,0,0
9,1,96,144,1120,400,32,15,0,0
9,1,112,0,1136,256,69,43,0,0
9,1,112,16,1136,272,86,43,0,0
9,1,112,32,1136,288,92,45,0,0
9,1,112,48,1136,304,55,37,0,0
9,1,112,64,1136,320,47,21,0,0
9,1,112,80,1136,336,52,19,0,0
9,1,112,96,1136,352,44,16,0,0
9,1,112,112,1136,368,19,15,0,0
9,1,112,128,1136,384,26,16,0,0
9,1,112,144,1136,400,29,16,0,0
9,1,128,0,1152,256,62,39,0,0
9,1,128,16,1152,272,66,39,0,0
9,1,128,32,1152,288,68,37,0,0
9,1,128,48,1152,304,38,19,0,0
9,1,128,64,1152,320,45,14,0,0
9,1,128,80,1152,336,46,12,0,0
9,1,128,96,1152,352,40,12,0,0
9,1,128,112,1152,368,15,11,0,0
9,1,128,128,1152,384,28,16,0,0
9,1,128,144,1152,400,37,16,0,0
9,1,128,160,1152,416,58,45,0,0
9,1,128,176,1152,432,47,39,0,0
9,1,128,192,1152,448,70,39,0,0
9,1,128,208,1152,464,46,11,0,0
9,1,144,0,1168,256,64,38,0,0
9,1,144,16,1168,272,65,38,0,0
9,1,144,32,1168,288,61,36,0,0
9,1,144,48,1168,304,33,19,0,0
9,1,144,64,1168,320,40,14,0,0
9,1,144,80,1168,336,41,12,0,0
9,1,144,96,1168,352,37,12,0,0
9,1,144,112,1168,368,12,11,0,0
9,1,144,128,1168,384,25,16,0,0
9,1,144,144,1168,400,40,16,0,0
9,1,144,160,1168,416,62,45,0,0
9,1,144,176,1168,432,51,42,0,0
9,1,144,192,1168,448,74,39,0,0
9,1,144,208,1168,464,53,11,0,0
10,1,0,64,1280,320,95,50,0,0
10,1,0,128,1280,384,88,52,0,0
10,1,0,144,1280,400,88,52,0,0
10,1,0,160,1280,416,30,24,0,0
10,1,0,176,1280,432,26,20,0,0
10,1,0,192,1280,448,27,21,0,0
10,1,0,208,1280,464,27,21,0,0
10,1,16,128,1296,384,88,51,0,0
10,1,16,144,1296,400,88,51,0,0
10,1,16,160,1296,416,28,22,0,0
10,1,16,176,1296,432,26,20,0,0
10,1,16,192,1296,448,27,21,0,0
10,1,16,208,1296,464,27,21,0,0
10,1,32,128,1312,384,79,43,0,0
10,1,32,144,1312,400,79,43,0,0
10,1,32,160,1312,416,26,20,0,0
10,1,32,176,1312,432,24,18,0,0
10,1,32,192,1312,448,25,19,0,0
10,1,32,208,1312,464,25,19,0,0
10,1,48,128,1328,384,79,43,0,0
10,1,48,144,1328,400,79,43,0,0
10,1,48,160,1328,416,26,20,0,0
10,1,48,176,1328,432,24,18,0,0
10,1,48,192,1328,448,25,19,0,0
10,1,48,208,1328,464,25,19,0,0
10,1,64,96,1344,352,17,14,0,0
10,1,64,112,1344,368,16,14,0,0
10,1,64,128,1344,384,15,14,0,0
10,1,64,144,1344,400,15,14,0,0
10,1,64,160,1344,416,19,19,0,0
10,1,64,176,1344,432,17,17,0,0
10,1,64,192,1344,448,18,18,0,0
10,1,64,208,1344,464,18,18,0,0
10,1,80,96,1360,352,10,10,0,0
10,1,80,112,1360,368,10,8,0,0
10,1,80,128,1360,384,9,7,0,0
10,1,80,144,1360,400,9,7,0,0
10,1,80,160,1360,416,12,12,0,0
10,1,80,176,1360,432,12,12,0,0
10,1,80,192,1360,448,13,13,0,0
10,1,80,208,1360,464,13,13,0,0
10,1,96,0,1376,256,25,11,0,0
10,1,96,96,1376,352,16,16,0,0
10,1,96,112,1376,368,16,14,0,0
10,1,96,128,1376,384,16,14,0,0
10,1,96,144,1376,400,4,2,0,0
10,1,96,160,1376,416,0,0,181,103020
10,1,96,176,1376,432,0,0,221,214328
10,1,96,192,1376,448,0,0,221,343313
10,1,96,208,1376,464,0,0,221,221994
10,1,112,0,1392,256,24,11,0,0
10,1,112,80,1392,336,2,2,0,0
10,1,112,96,1392,352,16,16,0,0
10,1,112,112,1392,368,16,14,0,0
10,1,112,128,1392,384,16,14,0,0
10,1,112,144,1392,400,4,2,0,0
10,1,112,160,1392,416,0,0,107,72018
10,1,112,176,1392,432,0,0,221,211832
10,1,112,192,1392,448,0,0,221,357195
10,1,112,208,1392,464,0,0,221,229322
10,1,128,0,1408,256,24,11,0,0
10,1,128,80,1408,336,2,2,0,0
10,1,128,96,1408,352,15,15,0,0
10,1,128,112,1408,368,14,13,0,0
10,1,128,128,1408,384,14,13,0,0
10,1,128,144,1408,400,2,1,0,0
10,1,128,160,1408,416,0,0,107,55341
10,1,128,176,1408,432,0,0,219,201820
10,1,128,192,1408,448,0,0,221,351587
10,1,128,208,1408,464,0,0,221,226245
10,1,144,0,1424,256,48,11,0,0
10,1,144,80,1424,336,2,2,0,0
10,1,144,96,1424,352,15,15,0,0
10,1,144,112,1424,368,14,13,0,0
10,1,144,128,1424,384,14,13,0,0
10,1,144,144,1424,400,2,1,0,0
10,1,144,160,1424,416,0,0,107,42175
10,1,144,176,1424,432,0,0,219,194295
10,1,144,192,1424,448,0,0,221,353621
10,1,144,208,1424,464,0,0,221,234994
11,1,0,32,1536,288,88,48,0,0
11,1,0,48,1536,304,84,45,0,0
11,1,0,64,1536,320,83,45,0,0
11,1,0,80,1536,336,83,45,0,0
11,1,0,96,1536,352,50,27,0,0
11,1,0,112,1536,368,50,27,0,0
11,1,0,128,1536,384,46,23,0,0
11,1,0,144,1536,400,46,23,0,0
11,1,0,160,1536,416,46,23,0,0
11,1,0,176,1536,432,46,23,0,0
11,1,0,192,1536,448,48,25,0,0
11,1,0,208,1536,464,48,25,0,0
11,1,16,32,1552,288,88,48,0,0
11,1,16,48,1552,304,84,45,0,0
11,1,16,64,1552,320,83,45,0,0
11,1,16,80,1552,336,83,45,0,0
11,1,16,96,1552,352,50,27,0,0
11,1,16,112,1552,368,50,27,0,0
11,1,16,128,1552,384,46,23,0,0
11,1,16,144,1552,400,46,23,0,0
11,1,16,160,1552,416,46,23,0,0
11,1,16,176,1552,432,46,23,0,0
11,1,16,192,1552,448,48,25,0,0
11,1,16,208,1552,464,48,25,0,0
11,1,32,32,1568,288,108,46,0,0
11,1,32,48,1568,304,104,43,0,0
11,1,32,64,1568,320,103,42,0,0
11,1,32,80,1568,336,103,42,0,0
11,1,32,96,1568,352,73,27,0,0
11,1,32,112,1568,368,73,27,0,0
11,1,32,128,1568,384,69,23,0,0
11,1,32,144,1568,400,69,23,0,0
11,1,32,160,1568,416,69,23,0,0
11,1,32,176,1568,432,69,23,0,0
11,1,32,192,1568,448,70,24,0,0
11,1,32,208,1568,464,70,24,0,0
11,1,48,32,1584,288,108,46,0,0
11,1,48,48,1584,304,104,43,0,0
11,1,48,64,1584,320,103,42,0,0
11,1,48,80,1584,336,103,42,0,0
11,1,48,96,1584,352,73,27,0,0
11,1,48,112,1584,368,73,27,0,0
11,1,48,128,1584,384,69,23,0,0
11,1,48,144,1584,400,69,23,0,0
11,1,48,160,1584,416,69,23,0,0
11,1,48,176,1584,432,69,23,0,0
11,1,48,192,1584,448,70,24,0,0
11,1,48,208,1584,464,70,24,0,0
11,1,64,32,1600,288,78,31,0,0
11,1,64,48,1600,304,77,31,0,0
11,1,64,64,1600,320,76,30,0,0
11,1,64,80,1600,336,76,30,0,0
11,1,64,96,1600,352,74,28,0,0
11,1,64,112,1600,368,74,28,0,0
11,1,64,128,1600,384,70,24,0,0
11,1,64,144,1600,400,70,24,0,0
11,1,64,160,1600,416,69,23,0,0
11,1,64,176,1600,432,69,23,0,0
11,1,64,192,1600,448,69,23,0,0
11,1,64,208,1600,464,69,23,0,0
11,1,80,32,1616,288,50,27,0,0
11,1,80,48,1616,304,50,27,0,0
11,1,80,64,1616,320,50,27,0,0
11,1,80,80,1616,336,50,27,0,0
11,1,80,96,1616,352,51,28,0,0
11,1,80,112,1616,368,51,28,0,0
11,1,80,128,1616,384,47,24,0,0
11,1,80,144,1616,400,47,24,0,0
11,1,80,160,1616,416,46,23,0,0
11,1,80,176,1616,432,46,23,0,0
11,1,80,192,1616,448,46,23,0,0
11,1,80,208,1616,464,46,23,0,0
11,1,96,32,1632,288,69,23,0,0
11,1,96,48,1632,304,69,23,0,0
11,1,96,64,1632,320,69,23,0,0
11,1,96,80,1632,336,69,23,0,0
11,1,96,96,1632,352,70,24,0,0
11,1,96,112,1632,368,70,24,0,0
11,1,96,128,1632,384,70,24,0,0
11,1,96,144,1632,400,70,24,0,0
11,1,96,160,1632,416,69,23,0,0
11,1,96,176,1632,432,69,23,0,0
11,1,96,192,1632,448,69,23,0,0
11,1,96,208,1632,464,69,23,0,0
11,1,112,32,1648,288,69,23,0,0
11,1,112,48,1648,304,69,23,0,0
11,1,112,64,1648,320,69,23,0,0
11,1,112,80,1648,336,69,23,0,0
11,1,112,96,1648,352,70,24,0,0
11,1,112,112,1648,368,70,24,0,0
11,1,112,128,1648,384,70,24,0,0
11,1,112,144,1648,400,70,24,0,0
11,1,112,160,1648,416,69,23,0,0
11,1,112,176,1648,432,69,23,0,0
11,1,112,192,1648,448,69,23,0,0
11,1,112,208,1648,464,69,23,0,0
11,1,128,32,1664,288,69,23,0,0
11,1,128,48,1664,304,69,23,0,0
11,1,128,64,1664,320,69,23,0,0
11,1,128,80,1664,336,69,23,0,0
11,1,128,96,1664,352,70,24,0,0
11,1,128,112,1664,368,70,24,0,0
11,1,128,128,1664,384,70,24,0,0
11,1,128,144,1664,400,70,24,0,0
11,1,128,160,1664,416,70,24,0,0
11,1,128,176,1664,432,70,24,0,0
11,1,128,192,1664,448,70,24,0,0
11,1,128,208,1664,464,70,24,0,0
11,1,144,32,1680,288,46,23,0,0
11,1,144,48,1680,304,46,23,0,0
11,1,144,64,1680,320,46,23,0,0
11,1,144,80,1680,336,46,23,0,0
11,1,144,96,1680,352,47,24,0,0
11,1,144,112,1680,368,47,24,0,0
11,1,144,128,1680,384,47,24,0,0
11,1,144,144,1680,400,47,24,0,0
11,1,144,160,1680,416,47,24,0,0
11,1,144,176,1680,432,47,24,0,0
11,1,144,192,1680,448,47,24,0,0
11,1,144,208,1680,464,47,24,0,0
