slot,code_hex,old_value,source_id,char,new_physical,occurrences,mode
133,E9 86,1820,284,큼,464,0,verified_static_hanme
136,E9 89,1885,349,철,638,0,verified_static_hanme
137,E9 8A,1931,395,둬,698,0,verified_static_hanme
138,E9 8B,1847,311,횟,501,0,verified_static_hanme
139,E9 8C,1933,397,랜,700,0,verified_static_hanme
141,E9 8E,1857,321,재,556,0,verified_static_hanme
142,E9 8F,1898,362,늪,681,0,verified_static_hanme
144,E9 91,1935,399,탱,701,0,verified_static_hanme
147,E9 94,1919,383,즉,682,0,verified_static_hanme
149,E9 96,1848,312,낳,583,0,verified_static_hanme
151,E9 98,1920,384,교,683,0,verified_static_hanme
152,E9 99,1894,358,쓴,651,1,verified_static_hanme
154,E9 9B,1936,400,옮,702,0,verified_static_hanme
156,E9 9D,1875,339,딸,639,0,verified_static_hanme
158,E9 9F,1954,418,뛸,714,0,verified_static_hanme
159,E9 A0,1821,285,턴,540,0,verified_static_hanme
161,E9 A2,1900,364,취,660,0,verified_static_hanme
165,E9 A6,1822,286,찬,498,0,verified_static_hanme
166,E9 A7,1901,365,액,662,0,verified_static_hanme
168,E9 A9,1860,324,므,597,0,verified_static_hanme
170,E9 AB,1876,340,캐,623,0,verified_static_hanme
173,E9 AE,1902,366,릭,586,0,verified_static_hanme
175,E9 B0,1903,367,슷,663,0,verified_static_hanme
178,E9 B3,1955,419,덤,705,1,verified_static_hanme
179,E9 B4,1904,368,급,664,0,verified_static_hanme
183,E9 B8,1938,402,냈,706,0,verified_static_hanme
189,E9 BE,1956,420,몇,718,0,verified_static_hanme
192,E9 C1,1862,326,끼,598,0,verified_static_hanme
195,E9 C4,1939,403,흘,708,0,verified_static_hanme
196,E9 C5,1940,404,존,709,0,verified_static_hanme
197,E9 C6,1957,421,등,719,0,verified_static_hanme
199,E9 C8,1942,406,값,570,0,verified_static_hanme
200,E9 C9,1958,422,념,720,0,verified_static_hanme
202,E9 CB,1887,351,쁘,642,0,verified_static_hanme
203,E9 CC,1864,328,칭,625,0,verified_static_hanme
208,E9 D1,1959,423,끓,721,0,verified_static_hanme
209,E9 D2,1960,424,앙,723,0,verified_static_hanme
210,E9 D3,1961,425,똑,160,0,unused_identity_failclosed_blank
213,E9 D6,1639,103,줄,348,0,verified_static_hanme
214,E9 D7,1638,102,중,334,0,verified_static_hanme
215,E9 D8,1795,259,증,483,5,verified_static_hanme
219,E9 DC,1636,100,질,389,0,verified_static_hanme
220,E9 DD,1772,236,집,445,0,verified_static_hanme
222,E9 DF,1755,219,차,402,0,verified_static_hanme
223,E9 E0,1610,74,천,450,0,verified_static_hanme
224,E9 E1,1684,148,첩,160,0,unused_identity_failclosed_blank
225,E9 E2,1734,198,체,363,0,verified_static_hanme
228,E9 E5,1633,97,최,513,0,verified_static_hanme
231,E9 E8,1681,145,카,275,0,verified_static_hanme
232,E9 E9,1781,245,케,467,0,verified_static_hanme
233,E9 EA,1632,96,코,283,0,verified_static_hanme
237,E9 EE,1670,134,키,398,0,verified_static_hanme
238,E9 EF,1606,70,킬,585,0,verified_static_hanme
239,E9 F0,1719,183,타,346,0,verified_static_hanme
244,E9 F5,1601,65,투,276,0,verified_static_hanme
245,E9 F6,1740,204,트,310,0,verified_static_hanme
247,E9 F8,1629,93,파,342,0,verified_static_hanme
249,E9 FA,1609,73,팔,327,0,verified_static_hanme
251,E9 FC,1720,184,편,340,0,verified_static_hanme
254,EA 01,1674,138,폭,317,2,verified_static_hanme
255,EA 02,1608,72,풀,543,0,verified_static_hanme
257,EA 04,1628,92,프,376,0,verified_static_hanme
258,EA 05,1627,91,플,528,0,verified_static_hanme
259,EA 06,1600,64,피,279,0,verified_static_hanme
262,EA 09,1760,224,함,426,0,verified_static_hanme
264,EA 0B,1779,243,항,461,1,verified_static_hanme
266,EA 0D,1589,53,행,268,0,verified_static_hanme
268,EA 0F,1824,288,허,546,1,verified_static_hanme
269,EA 10,1668,132,험,303,0,verified_static_hanme
270,EA 11,1626,90,헤,414,0,verified_static_hanme
273,EA 14,1738,202,활,444,3,verified_static_hanme
278,EA 19,1747,211,갈,385,0,verified_static_hanme
279,EA 1A,1746,210,개,399,0,verified_static_hanme
281,EA 1C,1749,213,겐,388,0,verified_static_hanme
282,EA 1D,1879,343,곤,629,2,verified_static_hanme
284,EA 1F,1831,295,귀,582,2,verified_static_hanme
287,EA 22,1819,283,끈,538,2,verified_static_hanme
292,EA 27,1773,237,능,456,0,verified_static_hanme
300,EA 2F,1859,323,띠,596,2,verified_static_hanme
302,EA 31,1854,318,랑,590,1,verified_static_hanme
309,EA 38,1618,82,롭,622,0,verified_static_hanme
313,EA 3C,1856,320,링,558,1,verified_static_hanme
314,EA 3D,1794,258,맨,482,4,verified_static_hanme
315,EA 3E,1661,125,멘,614,0,verified_static_hanme
317,EA 40,1882,346,박,633,1,verified_static_hanme
318,EA 41,1655,119,벌,447,0,verified_static_hanme
319,EA 42,1792,256,베,473,2,verified_static_hanme
320,EA 43,1783,247,벨,458,0,verified_static_hanme
321,EA 44,1873,337,벽,620,2,verified_static_hanme
322,EA 45,1941,405,붕,710,1,verified_static_hanme
326,EA 49,1932,396,뿔,699,1,verified_static_hanme
327,EA 4A,1706,170,살,381,0,verified_static_hanme
328,EA 4B,1916,380,샘,678,1,verified_static_hanme
329,EA 4C,1838,302,샤,566,1,verified_static_hanme
331,EA 4E,1732,196,석,358,0,verified_static_hanme
335,EA 52,1675,139,속,314,0,verified_static_hanme
336,EA 53,1918,382,순,680,1,verified_static_hanme
337,EA 54,1775,239,술,448,0,verified_static_hanme
338,EA 55,1807,271,싱,512,1,verified_static_hanme
340,EA 57,1613,77,알,249,0,verified_static_hanme
343,EA 5A,1612,76,앞,405,0,verified_static_hanme
345,EA 5C,1874,338,얼,621,1,verified_static_hanme
346,EA 5D,1881,345,업,632,1,verified_static_hanme
347,EA 5E,1699,163,엔,542,0,verified_static_hanme
348,EA 5F,1645,109,엘,578,0,verified_static_hanme
350,EA 61,1791,255,영,469,2,verified_static_hanme
351,EA 62,1774,238,욕,446,0,verified_static_hanme
352,EA 63,1937,401,월,703,1,verified_static_hanme
354,EA 65,1863,327,익,666,1,verified_static_hanme
360,EA 6B,1899,363,짜,659,1,verified_static_hanme
362,EA 6D,1666,130,참,295,0,verified_static_hanme
363,EA 6E,1867,331,창,609,1,verified_static_hanme
364,EA 6F,1823,287,책,541,2,verified_static_hanme
368,EA 73,1793,257,축,476,1,verified_static_hanme
369,EA 74,1917,381,츠,679,1,verified_static_hanme
370,EA 75,1828,292,층,554,1,verified_static_hanme
373,EA 78,1921,385,켈,688,2,verified_static_hanme
374,EA 79,1861,325,콘,624,1,verified_static_hanme
376,EA 7B,1785,249,클,475,0,verified_static_hanme
377,EA 7C,1767,231,탄,428,0,verified_static_hanme
378,EA 7D,1804,268,탈,494,4,verified_static_hanme
382,EA 81,1700,164,템,313,0,verified_static_hanme
383,EA 82,1737,201,톤,373,0,verified_static_hanme
386,EA 85,1816,280,특,532,1,verified_static_hanme
389,EA 88,1922,386,패,689,2,verified_static_hanme
393,EA 8C,1731,195,표,357,0,verified_static_hanme
394,EA 8D,1825,289,필,548,1,verified_static_hanme
397,EA 90,1715,179,환,320,0,verified_static_hanme
398,EA 91,1858,322,획,595,3,verified_static_hanme
399,EA 92,1806,270,효,510,5,verified_static_hanme
402,EA 95,1678,142,희,286,0,verified_static_hanme
403,EA 96,1677,141,히,308,0,verified_static_hanme
405,EA 98,1997,461,<VIRTUAL:405>,160,0,unused_identity_failclosed_blank
408,EA 9B,1760,224,함,426,0,verified_static_hanme
409,EA 9C,1998,462,R,160,0,unused_identity_failclosed_blank
