state,classification,media_hint,probe_matches,probe_total,region,start,end_exclusive,bytes,all_zero,matches_reference,sha256,nonzero_bytes
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_resume.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,383715790A2728D924E52648E3024066833BDD4D7E0529A4805DA0374A82916B,392
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_resume.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,7A56DABFAC185758C37F88C94734B3338CA1DE8F7B7B4EC178D64907759E9893,904
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-114D2FC633C88FCE_1.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-114D2FC633C88FCE_1.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-114D2FC633C88FCE_1.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,4969A9A366108A03EF14CC063AC38B0D3EFB51902FA31B8A492F96284671C673,414
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-114D2FC633C88FCE_1.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,7A56DABFAC185758C37F88C94734B3338CA1DE8F7B7B4EC178D64907759E9893,904
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-114D2FC633C88FCE_2.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-114D2FC633C88FCE_2.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-114D2FC633C88FCE_2.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,4969A9A366108A03EF14CC063AC38B0D3EFB51902FA31B8A492F96284671C673,414
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-114D2FC633C88FCE_2.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,7A56DABFAC185758C37F88C94734B3338CA1DE8F7B7B4EC178D64907759E9893,904
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-114D2FC633C88FCE_resume.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-114D2FC633C88FCE_resume.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-114D2FC633C88FCE_resume.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,4969A9A366108A03EF14CC063AC38B0D3EFB51902FA31B8A492F96284671C673,414
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-114D2FC633C88FCE_resume.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,7A56DABFAC185758C37F88C94734B3338CA1DE8F7B7B4EC178D64907759E9893,904
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-11CEE3D6EFD0E09B_resume.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-11CEE3D6EFD0E09B_resume.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-11CEE3D6EFD0E09B_resume.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,1,1,E06E79CDFEDFC6D6107B945613E65B2DE3A209E40115B9B00AB048D2B91CD7D5,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-11CEE3D6EFD0E09B_resume.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,15BA54950B33EAFCA7D3B9A0693AB182E36B43C9DF68B5194E69137EAFDD92F7,934
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_1.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_1.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_1.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,1504E45F5E16E56DD51D79050DB055CFA2F002DEDC801E79081AAAA07E431DF2,421
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_1.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,5C350F186BC5059DC34D73515C07E39E1BCF263EC6A2319AF7E211F88C0B42E6,855
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_2.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_2.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_2.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,1504E45F5E16E56DD51D79050DB055CFA2F002DEDC801E79081AAAA07E431DF2,421
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_2.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,5C350F186BC5059DC34D73515C07E39E1BCF263EC6A2319AF7E211F88C0B42E6,855
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_3.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_3.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_3.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,1504E45F5E16E56DD51D79050DB055CFA2F002DEDC801E79081AAAA07E431DF2,421
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_3.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,5C350F186BC5059DC34D73515C07E39E1BCF263EC6A2319AF7E211F88C0B42E6,855
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_4.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_4.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_4.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,1504E45F5E16E56DD51D79050DB055CFA2F002DEDC801E79081AAAA07E431DF2,421
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_4.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,5C350F186BC5059DC34D73515C07E39E1BCF263EC6A2319AF7E211F88C0B42E6,855
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_5.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_5.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_5.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,1504E45F5E16E56DD51D79050DB055CFA2F002DEDC801E79081AAAA07E431DF2,421
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_5.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,5C350F186BC5059DC34D73515C07E39E1BCF263EC6A2319AF7E211F88C0B42E6,855
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_6.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_6.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_6.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,1504E45F5E16E56DD51D79050DB055CFA2F002DEDC801E79081AAAA07E431DF2,421
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_6.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,5C350F186BC5059DC34D73515C07E39E1BCF263EC6A2319AF7E211F88C0B42E6,855
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_7.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_7.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_7.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,1504E45F5E16E56DD51D79050DB055CFA2F002DEDC801E79081AAAA07E431DF2,421
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_7.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,5C350F186BC5059DC34D73515C07E39E1BCF263EC6A2319AF7E211F88C0B42E6,855
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_resume.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_resume.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_resume.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,1504E45F5E16E56DD51D79050DB055CFA2F002DEDC801E79081AAAA07E431DF2,421
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-124B7457BEE4A10F_resume.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,5C350F186BC5059DC34D73515C07E39E1BCF263EC6A2319AF7E211F88C0B42E6,855
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-12BD1585B27C0E7E_resume.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-12BD1585B27C0E7E_resume.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-12BD1585B27C0E7E_resume.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,EA8100A258DEBE8CE504716BA0ECE557266B58A45A356D95310879762E9AD4AD,421
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-12BD1585B27C0E7E_resume.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,54F516CCF75B9BFC66404945F46AE4298FAAB5A32C95656A75C99A893ED0F9ED,932
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_1.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_1.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_1.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,B612497C556A8EF84008900934595AEE18AF2468D6DDD5A3967851A27E05FCFD,414
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_1.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,7A56DABFAC185758C37F88C94734B3338CA1DE8F7B7B4EC178D64907759E9893,904
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_2.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_2.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_2.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,B612497C556A8EF84008900934595AEE18AF2468D6DDD5A3967851A27E05FCFD,414
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_2.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,7A56DABFAC185758C37F88C94734B3338CA1DE8F7B7B4EC178D64907759E9893,904
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_3.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_3.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_3.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,B612497C556A8EF84008900934595AEE18AF2468D6DDD5A3967851A27E05FCFD,414
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_3.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,7A56DABFAC185758C37F88C94734B3338CA1DE8F7B7B4EC178D64907759E9893,904
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_resume.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_resume.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_resume.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,B612497C556A8EF84008900934595AEE18AF2468D6DDD5A3967851A27E05FCFD,414
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-16E02DB5ADC15916_resume.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,7A56DABFAC185758C37F88C94734B3338CA1DE8F7B7B4EC178D64907759E9893,904
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-173A20935C195812_1.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-173A20935C195812_1.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-173A20935C195812_1.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,591487F036C24A23C3BD410A320ECF097AAF0397DCABA27BA3603F4E3740E9F4,413
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-173A20935C195812_1.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,8F60FD7E8A15440AF540247D705B6EC4115092E85BC96126D9C8329E4895860E,931
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-173A20935C195812_resume.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-173A20935C195812_resume.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-173A20935C195812_resume.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,591487F036C24A23C3BD410A320ECF097AAF0397DCABA27BA3603F4E3740E9F4,413
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-173A20935C195812_resume.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,8F60FD7E8A15440AF540247D705B6EC4115092E85BC96126D9C8329E4895860E,931
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-17493FFCCFAA8DB8_1.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-17493FFCCFAA8DB8_1.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-17493FFCCFAA8DB8_1.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,E36EFCF32AC974CE40D8FF6C3D25E9E44860CCF04F44C0A764154D34923264D1,421
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-17493FFCCFAA8DB8_1.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,54F516CCF75B9BFC66404945F46AE4298FAAB5A32C95656A75C99A893ED0F9ED,932
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-17493FFCCFAA8DB8_resume.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-17493FFCCFAA8DB8_resume.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,1,1,38723A2E5E8A17AA7950DC008209944E898F69A7BD10A23C839D341E935FD5CA,0
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-17493FFCCFAA8DB8_resume.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,E36EFCF32AC974CE40D8FF6C3D25E9E44860CCF04F44C0A764154D34923264D1,421
