region,sha256,state_count,known_build_match,build_count,builds
bank_helper,B52E175EB6F9441D32F8D8D886529B250143E493A207C4F03C54C9E1C96D78A4,22,1,8,arc1_v216_relocate_selector_handoff_TEST_ONLY_25090AB2.zip | arc1_v217_full_selected_destination_refresh_TEST_ONLY_B2D09502.zip | arc1_v218_borrow_restore_selected_cache_TEST_ONLY_87942B4B.zip | arc1_v218k_CLAUDE_no_kernel_regs_TEST_ONLY.zip | arc1_v219_failclosed_borrow_restore_TEST_ONLY_B3595C76.zip | arc1_v219b_failclosed_borrow_restore_TEST_ONLY_B3595C76.zip | arc1_v219c_CLAUDE_widen_buffers_TEST_ONLY.zip | arc1_v220_separate_decode_scratch_TEST_ONLY_CDDF4B3F.zip
bank_helper,0F1C2B62112BFAF43E7D57267A71D0304BDC7A82CA58C1B342059D29FA314E60,7,1,2,ui_hud_e7_v101_glyph_ram_upload_patch_only.zip | ui_hud_e7_v102_bisect_no_upload_patch_only.zip
bank_helper,84B8FF67274DACC06146C1919062946836307BC19ECBF861F5D05832C371B65A,5,1,1,arc1_v214_marked_ab_cache_selector_TEST_ONLY_613EBE7C.zip
bank_helper,A3A2715A702720FF7F73735FB2443E22A65FC6F22A85130AC3053B80DE72B16C,2,1,2,arc1_v213b_strict_ab_cache_selector_TEST_ONLY_E98E4DD6.zip | arc1_v215_correct_packet_layout_selector_TEST_ONLY_716DA311.zip
bank_helper,A56CEEAF0F72EFE30EF586A0DF1FA10F8D0E0A5C7B5E4D2E124C5F1C92AE1F20,2,0,0,
bank_helper,E52C6594625B93FF2F808408DFB866B577B8B47FFD40804F623600A664BFC21A,1,1,1,arc1_v316_onebyte_TEST_ONLY_C51D1552.zip
bank_helper,1325BD632219655F1DE53476DA39D0764F5338D0E77DB1A1DD67897C84DCE31C,1,1,2,arc1_v314_bankb_TEST_ONLY_75506477.zip | arc1_v315_speaker_TEST_ONLY_20E8A9AB.zip
bank_helper,4DA32C36CDC7DEA84A036A5828C2D5835B267D2CA5C570F930BC135996CB8A33,1,0,0,
wrapper_candidate,1E15736151818F3704604741CFF14ED779E87B7A954A9251A29F3DF5D5FFE76D,117,1,46,arc1_v171_native_ui_assets_28slot_cache_18E5C2DC.zip | arc1_v172_lookup_width_fix_109252A0.zip | arc1_v173_restore_e7_icon_stub.zip | arc1_v176_control_code_dispatch.zip | arc1_v177_restore_circle_icon.zip | arc1_v178_repoint_orphaned_glyphs.zip | arc1_v183_levelup_stat_assembly_fix.zip | arc1_v184_levelup_skillname_encoding_fix.zip | arc1_v185_acquisition_closing_bracket_fix.zip | arc1_v186_runtime_text_choice_fixes_0D144525.zip | arc1_v187_control_skill_choice_repair_292BF4BE.zip | arc1_v188_safe_string_slot_repair_5A999CAC.zip | arc1_v189_dialogue_timing_choice_rows_DA219F8F.zip | arc1_v190_dynamic_owner_repair_4AC51D4F.zip | arc1_v191_yagun_choice_local_fixes_682EC28A.zip | arc1_v192_choice_speaker_rows_899DDD9A.zip | arc1_v193_restore_skill_range_levelup_dynamic_946B3F5E.zip | arc1_v194_remove_last_blank_cell_hangul_63FE7FD6.zip | arc1_v195_levelup_stat_particle.zip | arc1_v196_levelup_suffix_orphan.zip | arc1_v197_prompt_width_off_by_one.zip | arc1_v199_wording_fixes_safe.zip | arc1_v200_jail_scene_wording.zip | arc1_v201_palencia_spelling.zip | arc1_v202_untranslated_two_lines.zip | arc1_v203_boss_and_world.zip | arc1_v204_warehouse_line_split.zip | arc1_v206_restore_zeroed_script_data.zip | arc1_v207_move_stub_strings.zip | arc1_v208_gogen_scene.zip | arc1_v210_sd031_slots_controls.zip | arc1_v216_relocate_selector_handoff_TEST_ONLY_25090AB2.zip | arc1_v217_full_selected_destination_refresh_TEST_ONLY_B2D09502.zip | arc1_v218_borrow_restore_selected_cache_TEST_ONLY_87942B4B.zip | arc1_v218k_CLAUDE_no_kernel_regs_TEST_ONLY.zip | arc1_v219_failclosed_borrow_restore_TEST_ONLY_B3595C76.zip | arc1_v219b_failclosed_borrow_restore_TEST_ONLY_B3595C76.zip | arc1_v219c_CLAUDE_widen_buffers_TEST_ONLY.zip | arc1_v220_separate_decode_scratch_TEST_ONLY_CDDF4B3F.zip | arc1_v226_CLAUDE_loadimage_guard_TEST_ONLY_94104EFB.zip | arc1_v227_CLAUDE_always_reupload_TEST_ONLY_953AB3DE.zip | arc1_v231_static_promotion_restored162_TEST_ONLY_15DDA0E8.zip | arc1_v232_static_promotion_huffman_source_TEST_ONLY_BC602EF6.zip | arc1_v306_v197_johab_TEST_ONLY_3EB347E8.zip | arc1_v307_cache_static_TEST_ONLY_38F638C2.zip | arc1_v308_cache_static_TEST_ONLY_F2A554FD.zip
wrapper_candidate,383715790A2728D924E52648E3024066833BDD4D7E0529A4805DA0374A82916B,78,0,0,
wrapper_candidate,EA8100A258DEBE8CE504716BA0ECE557266B58A45A356D95310879762E9AD4AD,51,1,58,arc1_v127_slots_1_to_7_fixes_patch_only.zip | arc1_v128_all_battle_choices_patch_only.zip | arc1_v129_remap_coverage_430F1CFD.zip | arc1_v130_text_reinsert_1BB69ED1.zip | arc1_v131_full_code_space_049E9A2B.zip | arc1_v132_r_and_ssik_099D6D90.zip | arc1_v133_text_with_r_1FE292AB.zip | arc1_v134_window_fit_09C17854.zip | arc1_v135_choices_in_place_9A286DA8.zip | arc1_v135_choices_in_place_DE3A5A08.zip | arc1_v136_scene_restore_4CE9EE1E.zip | arc1_v137_choices_by_geometry_D6AAA475.zip | arc1_v138_one_byte_font_375BCC7F.zip | arc1_v139_short_codes_1F756878.zip | arc1_v140_choices_short_2BEC9A9F.zip | arc1_v141_tightened_3ACBA9A1.zip | arc1_v142_choices_final_66219F2E.zip | arc1_v143_mirumana_2FA1F130.zip | arc1_v144_learn_message_85E0E463.zip | arc1_v145_pool_addresses_7A6018A8.zip | arc1_v146_no_e2_glyphs_1F4072BC.zip | arc1_v147_choice_rows_353F7F03.zip | arc1_v148_e2_via_lookup_310A3DFB.zip | arc1_v149_restore_artwork_28ED010A.zip | arc1_v150_choice_translations_264D3248.zip | arc1_v151_free_the_sprite_cell_A4358FEE.zip | arc1_v153_dynamic_cache_ECEA4D06.zip | arc1_v154_dynamic_cache_65E16F77.zip | arc1_v155_dynamic_cache_5D9760F9.zip | arc1_v156_dynamic_cache_D5FB1ADC.zip | arc1_v157_dynamic_cache_26B2B680.zip | arc1_v158_dynamic_cache_51FDCF67.zip | arc1_v159_dynamic_cache_4E3F2466.zip | arc1_v160_dynamic_cache_ram_shadow_53521478.zip | arc1_v161_bounded_exe_text_B2EA377E.zip | DIAG4_original_dats.zip | DIAG6_zero_appended_exe.zip | DIAG7_no_project_pixels.zip | DIAG_blank_all_filled_cells.zip | DIAG_exe_bootfull.zip | DIAG_exe_noboot.zip | DIAG_exe_nohook.zip | DIAG_exe_shrink_reserved.zip | DIAG_fontBLANK140_stripsABC.zip | DIAG_fontBLANK140_stripsABC_rows0-7.zip | DIAG_fontBLANK140_stripsABC_rows8-13.zip | DIAG_fontBLANK140_stripsC.zip | DIAG_fontV151_stripsABC.zip | DIAG_L_no_frame_upload_AF51D2E7.zip | DIAG_N1_minimal_hook.zip | DIAG_N2_minimal_hook.zip | DIAG_only_our_exe.zip | DIAG_original_font.zip | DIAG_P1_back_to_v151.zip | DIAG_P2_back_to_v151.zip | DIAG_Q1_v160_frame_off_dependency_complete.zip | DIAG_Q2_v160_dynamic_branch_off_dependency_complete.zip | DIAG_v152_restore_8_sprite_cells_264705E7.zip
wrapper_candidate,9AC093630A4A34D47A5164B93B93CE8E62AE55B10185086C69D4FDF2A7E342BE,33,1,36,arc1_v235_cache_row36_TEST_ONLY_1654F31B.zip | arc1_v236_dynamic_promotion_TEST_ONLY_2AE4EFD5.zip | arc1_v237_recovery_hook_TEST_ONLY_C0766EAB.zip | arc1_v238_glyph_16px_TEST_ONLY_8816AF49.zip | arc1_v239_johab_pieces_TEST_ONLY_66866152.zip | arc1_v240_johab_font_TEST_ONLY_1A307BDE.zip | arc1_v241_halfwidth_TEST_ONLY_CEC05368.zip | arc1_v242_tight_TEST_ONLY_0020ADD6.zip | arc1_v243_spacing_TEST_ONLY_0C2522A5.zip | arc1_v244_johab_font_TEST_ONLY_EB3E4229.zip | arc1_v245_johab_tight_TEST_ONLY_645806F1.zip | arc1_v246_step12_TEST_ONLY_5B771339.zip | arc1_v247_johab_font_TEST_ONLY_7F70EFCD.zip | arc1_v248_verified_TEST_ONLY_63E59ADD.zip | arc1_v249_reencode_TEST_ONLY_40844F0B.zip | arc1_v250_reencoded_TEST_ONLY_2B07822C.zip | arc1_v251_reencode_keepctrl_TEST_ONLY_FA923930.zip | arc1_v252_keepctrl_TEST_ONLY_001114F6.zip | arc1_v253_punct_cells_TEST_ONLY_5A2FA133.zip | arc1_v254_body_only_TEST_ONLY_96578344.zip | arc1_v255_body_only_TEST_ONLY_6EC761B5.zip | arc1_v256_all_inplace_TEST_ONLY_68ED0F45.zip | arc1_v257_all_inplace_TEST_ONLY_961FF409.zip | arc1_v258_carry_glyphs_TEST_ONLY_DFF09C74.zip | arc1_v259_carry_glyphs_TEST_ONLY_84BFEFC4.zip | arc1_v260_restore_lookup_TEST_ONLY_0DF04129.zip | arc1_v261_restore_lookup_safe_TEST_ONLY_87196B57.zip | arc1_v262_real_lookup_TEST_ONLY_F36356A3.zip | arc1_v263_point_existing_TEST_ONLY_C17AD8D3.zip | arc1_v264_decoded_static_TEST_ONLY_D08D2FD7.zip | arc1_v265_decoded_full_TEST_ONLY_5D89C933.zip | arc1_v266_raise_ceiling_TEST_ONLY_6AF86D6C.zip | arc1_v267_blank_cells_only_TEST_ONLY_6AF86D6C.zip | arc1_v268_full_sites_TEST_ONLY_3BA98375.zip | arc1_v269_with_exe_ui_TEST_ONLY_900CDAB4.zip | arc1_v270_johab_final_TEST_ONLY_C2A8D0BB.zip
wrapper_candidate,2AEADA7A7F292C5C538A488BD30E38DD3403751038B53393C17D24F3AFE36D76,27,1,6,ui_hud_e7_v85_p6_highram_bootstrap_patch_only.zip | ui_hud_e7_v86_p6_glyph_repack_slots_1_to_6_patch_only.zip | ui_hud_e7_v87_p6_heap_reserved_patch_only.zip | ui_hud_e7_v88_p6_state_persistence_slots_3_to_6_patch_only.zip | ui_hud_e7_v89_story_safe_book_glyph_patch_only.zip | ui_hud_e7_v91_v89_lifetime_yagun_slot_fix_patch_only.zip
wrapper_candidate,D367D06CAEDF1441615F4E60270CE3AD033EB9F3B6AD2C39D1919ED0AF8566F6,27,1,3,arc1_v162_strip_a_dynamic_cache_1759E571.zip | arc1_v163_text_clut_classifier_773E3B82.zip | arc1_v164_predrawot_cache_upload_probe_4E714493.zip
