file,offset,line_count,slots,line_texts,e6_positions,first_e5
7/S7028.DAT,0x4729E,1,5,변경?,2,4
7/S7028.DAT,0x473A6,1,6,변경?,7,9
7/S7028.DAT,0x48028,2,7|15,대회 위원:|출전하시겠습니까?,6|17,19
7/S7028.DAT,0x48B70,2,14|16,대회 위원:|정말 출전하시겠습니까?,6|19,21
B/SB071.DAT,0x47EA6,1,0,괜찮을까?,8|10,12
C1/SC011.DAT,0x46DE6,1,0,전투?,11,13
C1/SC011.DAT,0x46E48,1,1,전투?,11,13
C1/SC011.DAT,0x46EAA,1,2,전투?,12,14
C1/SC011.DAT,0x46F0E,1,3,전투?,14,16
C1/SC011.DAT,0x46F74,1,4,전투?,12,14
C1/SC011.DAT,0x46FD8,1,5,전투?,4,6
C1/SC011.DAT,0x47034,1,6,할까?,7,9
C1/SC021.DAT,0x46DE6,1,0,전투?,11,13
C1/SC021.DAT,0x46E48,1,1,전투?,11,13
C1/SC021.DAT,0x46EAA,1,2,전투?,12,14
C1/SC021.DAT,0x46F0E,1,3,전투?,14,16
C1/SC021.DAT,0x46F74,1,4,전투?,12,14
C1/SC021.DAT,0x46FD8,1,5,전투?,4,6
C1/SC021.DAT,0x47034,1,6,할까?,7,9
C1/SC031.DAT,0x46DE6,1,0,전투?,11,13
C1/SC031.DAT,0x46E48,1,1,전투?,11,13
C1/SC031.DAT,0x46EAA,1,2,전투?,12,14
C1/SC031.DAT,0x46F0E,1,3,전투?,14,16
C1/SC031.DAT,0x46F74,1,4,전투?,12,14
C1/SC031.DAT,0x46FD8,1,5,전투?,4,6
C1/SC031.DAT,0x47034,1,6,할까?,7,9
C1/SC041.DAT,0x46DE6,1,29,전투?,11,13
C1/SC041.DAT,0x46E48,1,30,전투?,11,13
C1/SC041.DAT,0x46EAA,1,31,전투?,12,14
C1/SC041.DAT,0x46F0E,1,32,전투?,14,16
C1/SC041.DAT,0x46F74,1,33,전투?,12,14
C1/SC041.DAT,0x46FD8,1,34,전투?,4,6
C1/SC041.DAT,0x47034,1,35,할까?,7,9
C1/SC051.DAT,0x46DE6,1,0,전투?,11,13
C1/SC051.DAT,0x46E48,1,1,전투?,11,13
C1/SC051.DAT,0x46EAA,1,2,전투?,12,14
C1/SC051.DAT,0x46F0E,1,3,전투?,14,16
C1/SC051.DAT,0x46F74,1,4,전투?,12,14
C1/SC051.DAT,0x46FD8,1,5,전투?,4,6
C1/SC051.DAT,0x47034,1,6,할까?,7,9
C1/SC061.DAT,0x46DE6,1,5,전투?,11,13
C1/SC061.DAT,0x46E48,1,6,전투?,11,13
C1/SC061.DAT,0x46EAA,1,7,전투?,12,14
C1/SC061.DAT,0x46F0E,1,8,전투?,14,16
C1/SC061.DAT,0x46F74,1,9,전투?,12,14
C1/SC061.DAT,0x46FD8,1,10,전투?,4,6
C1/SC061.DAT,0x47034,1,11,할까?,7,9
C1/SC081.DAT,0x46DE6,1,7,전투?,11,13
C1/SC081.DAT,0x46E48,1,8,전투?,11,13
C1/SC081.DAT,0x46F70,1,9,전투?,12,14
C1/SC081.DAT,0x46FD4,1,10,전투?,4,6
C1/SC081.DAT,0x47030,1,11,갈까,4,6
C1/SC091.DAT,0x46DE6,1,0,준비됐나?,7,9
C1/SC091.DAT,0x46E44,1,1,맡겨 두게,6,8
C1/SC091.DAT,0x46F04,1,2,전투?,7,9
C1/SC091.DAT,0x46FC0,1,3,전투?,4,6
C1/SC091.DAT,0x4701C,1,4,할까?,12,14
C2/SC0A1.DAT,0x46DE6,1,0,전투?,11,13
C2/SC0A1.DAT,0x46E48,1,1,전투?,5,7
C2/SC0A1.DAT,0x46EA4,1,2,전투?,4,6
C2/SC0A1.DAT,0x46F00,1,3,전투?,14,16
C2/SC0A1.DAT,0x46F66,1,4,전투?,12,14
C2/SC0A1.DAT,0x46FCA,1,5,전투?,4,6
C2/SC0A1.DAT,0x47026,1,6,할까?,7,9
