source file,offset,decoded japanese
1/S1061.DAT,0x47DEC,"私には分かる。<CTRL:E4:15>
あなたはたて糸で<CTRL:E4:15>
私のしたがう道なのよ。"
1/S1061.DAT,0x47F56,"私はその道を
歩いていくような気がするの。"
1/S1072.DAT,0x479F4,"村長 
おお、待ちかねたぞ。<CTRL:E4:5B>"
1/S1072.DAT,0x47B94,"村長 
フフフ・・うまくいつた。<CTRL:E4:3D>
アンデル大臣にたつぷりと
ほうびをもらわねば・・。"
21/S2011.DAT,0x47C0C,"遊びに来たんじゃない。
俺はトウヴィルから来たアーク。王様に呼ばれたんだ。"
21/S2011.DAT,0x47C68,"兵士 
トウヴィルのアーク。
こんな子供だつたのか・・。"
21/S2013.DAT,0x47C00,お、と・と・と・と<CTRL:E4:3D>
21/S2031.DAT,0x47932,"大臣 
トウヴィルのアーク、入るがよい。"
21/S2041.DAT,0x47D3C,精。ンを？らわた
21/S2041.DAT,0x47D5A,<CTRL:E5:02>値ひれ究投ミベ<CTRL:E6:00><CTRL:E5:02>場ふ究投ミベ<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>
21/S2041.DAT,0x47DB2,よとすをゃで王ン
21/S2041.DAT,0x47DD4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2041.DAT,0x47E2C,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねニ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2041.DAT,0x47E86,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2041.DAT,0x47EFE,"<CTRL:E5:03>エリアMAPをオープンしますか？
<CTRL:E5:03>オープンする
<CTRL:E5:03>オープンしない
"
21/S2041.DAT,0x48684,"乗員 
自分のターンの時に、LRボタンを同時におすとフリーカーソルになります。"
21/S2041.DAT,0x48746,"乗員 
他には、分れつするモンスターは、HPが半分になりますが、倒した時にもらえる
経験値は変わりません。"
21/S2042.DAT,0x47D3C,精。ンを？らわた
21/S2042.DAT,0x47D5A,<CTRL:E5:02>値ひれ究投ミベ<CTRL:E6:00><CTRL:E5:02>場ふ究投ミベ<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>
21/S2042.DAT,0x47DB2,よとすをゃで王ン
21/S2042.DAT,0x47DD4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2042.DAT,0x47E2C,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねニ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2042.DAT,0x47E86,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2042.DAT,0x4831C,"チョピン 
自分のターンの時に、LRボタンを同時におすとフリーカーソルになります。"
21/S2042.DAT,0x483E0,"チョピン 
他には、分れつするモンスターは、HPが半分になりますが、倒した時にもらえる
経験値は変わりません。"
21/S2043.DAT,0x47D3C,精。ンを？らわた
21/S2043.DAT,0x47D5A,<CTRL:E5:02>値ひれ究投ミベ<CTRL:E6:00><CTRL:E5:02>場ふ究投ミベ<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>
21/S2043.DAT,0x47DB2,よとすをゃで王ン
21/S2043.DAT,0x47DD4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2043.DAT,0x47E2C,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねニ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2043.DAT,0x47E86,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2044.DAT,0x47D3C,精。ンを？らわた
21/S2044.DAT,0x47D5A,<CTRL:E5:02>値ひれ究投ミベ<CTRL:E6:00><CTRL:E5:02>場ふ究投ミベ<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>
21/S2044.DAT,0x47DB2,よとすをゃで王ン
21/S2044.DAT,0x47DD4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2044.DAT,0x47E2C,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねニ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2044.DAT,0x47E86,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2044.DAT,0x4831A,"来たか来たか
待つておつたぞ。
おぬしがいないとこれから先
つらいからのう。"
21/S2044.DAT,0x4856A,"そうじゃ、魂はめぐる。
かつてスメリアに◇聖柩◇を運んできた仲聞が再び集まるのじゃ。"
21/S2045.DAT,0x46D3C,精。ンを？らわた
21/S2045.DAT,0x46D5A,<CTRL:E5:02>値ひれ究投ミベ<CTRL:E6:00><CTRL:E5:02>場ふ究投ミベ<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>
21/S2045.DAT,0x46DB2,よとすをゃで王ン
21/S2045.DAT,0x46DD4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2045.DAT,0x46E2C,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねニ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2045.DAT,0x46E86,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
21/S2045.DAT,0x47F94,"チョピン 
アイテム・アクセサリー・特しゅ能力は、カーソルで選んでいる時にLかRボタンをおすことで、その効果を見れます。"
21/S2045.DAT,0x4800E,"チョピン 
特に、特しゅ能力は必要なMPと
現在のMPが表示されるので
大いに利用して下さい。"
21/S2045.DAT,0x48082,"チョピン 
アイテムで投げてダメージを与えるものは石・爆弾・大きな爆弾の3つです。"
21/S2045.DAT,0x48F18,"<CTRL:E5:03>ストーンサークル
<CTRL:E5:03>リングの位置設定
<CTRL:E5:03>召喚獣について
<CTRL:E5:03>次のページ"
21/S2045.DAT,0x48F94,"<CTRL:E5:03>ポニの楽器
<CTRL:E5:03>闘技場
<CTRL:E5:03>キートウオール
<CTRL:E5:03>やつっりいいや。"
21/S2045.DAT,0x49006,"<CTRL:E5:03>ストーンサークル
<CTRL:E5:03>リングの位置設定
<CTRL:E5:03>召喚獣
<CTRL:E5:03>次のページ"
21/S2045.DAT,0x4907E,"<CTRL:E5:03>ポニの楽器
<CTRL:E5:03>闘技場
<CTRL:E5:03>キートウオール
<CTRL:E5:03>次のページ"
21/S2045.DAT,0x490F0,"<CTRL:E5:03>ラマダ寺の修行
<CTRL:E5:03>ロマンシングストーン
<CTRL:E5:03>アクセサリー◇きぬのおび◇
<CTRL:E5:03>やつっりいいや。"
21/S2045.DAT,0x49292,"チョピン 
その時に、カーソルと<CTRL:E7:02>でリングの中の技を選んでアイニンの位置を変えられるんです。"
21/S2045.DAT,0x49506,"チョピン 
ゴーゲン様のキートウオールの魔法の火に◇大きな爆弾◇を投げ込むと大爆発が
起こるそうです。"
21/S2045.DAT,0x496A6,"チョピン 
ロマンシングストーンのある場所がわかりました。1つはスメリアのトウヴィル・1つは遺跡ダンジョン、1つはゴーゲン様が、最後の1つはアークさんの父上が持つてらつしゃつたみたいですね。"
21/S2045.DAT,0x49744,"チョピン 
戦闘での経験値が倍になるアクセサリーがあるようです。名前は◇きぬのおび◇。
誰でも使えるようですね。"
22/S2046.DAT,0x47D3C,精。ンを？らわた
22/S2046.DAT,0x47D5A,<CTRL:E5:02>値ひれ究投ミベ<CTRL:E6:00><CTRL:E5:02>場ふ究投ミベ<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>
22/S2046.DAT,0x47DB2,よとすをゃで王ン
22/S2046.DAT,0x47DD4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
22/S2046.DAT,0x47E2C,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねニ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
22/S2046.DAT,0x47E86,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
22/S2046.DAT,0x47FA8,このまま戻れば捕まつちまうぞ。
22/S2046.DAT,0x48146,"ほお・・
<CTRL:E4:3D>なんと・・・
<CTRL:E4:3D>そりゃいいわい!"
22/S2046.DAT,0x48242,いやー着いた。<CTRL:E4:3D>着いたぞー!!<CTRL:E4:3D>
22/S2046.DAT,0x4829E,"ごほつ・<CTRL:E4:15>ごほつ・<CTRL:E4:15>ごほ・<CTRL:E4:0B>ごほつ
<CTRL:E4:3D>空気のきたない国であるな。"
22/S2046.DAT,0x483A0,"アイヤー、<CTRL:E4:3D><CTRL:E4:3D>
失礼をばつかまつつた!!<CTRL:E4:3D>"
22/S2046.DAT,0x483DC,連らくを入れようと思つたンじゃがねえ、<CTRL:E4:3D><CTRL:E4:3D>飛行船の通信機の調子が悪うてのふ。<CTRL:E4:3D>
22/S2046.DAT,0x484EA,"はて？<CTRL:E4:3D><CTRL:E4:3D>身分証明書とな？
<CTRL:E4:3D><CTRL:E4:3D>ソレハ、ナンデスカイナ？"
22/S2046.DAT,0x485F4,"な、何と無礼な!
こちらの方をどなたと心得る。<CTRL:E4:3D><CTRL:E4:3D>"
22/S2046.DAT,0x48686,<CTRL:E4:3D><CTRL:E4:3D>爺、<CTRL:E4:3D><CTRL:E4:3D>言つてやつて、言つてやつて。<CTRL:E4:3D>
22/S2046.DAT,0x4881A,ぶっつかもん!!なんようにうかぶこの世の楽えん、クラーフ島を知らんてか、おぬし!<CTRL:E4:3D><CTRL:E4:3D>
22/S2046.DAT,0x488D2,"その島をおさめてらつしゃるのが
この方のお父上、王の中の王!!
トン・シラン・ノデスケト様なのだベさ。"
22/S2046.DAT,0x48A80,<CTRL:E4:3D>なーにを言つとるのかね<CTRL:E4:3D>チミィ？<CTRL:E4:3D><CTRL:E4:3D>
22/S2046.DAT,0x48B32,あーつかれたわ、<CTRL:E4:3D><CTRL:E4:3D>うーーー。<CTRL:E4:3D>
22/S2046.DAT,0x48BCE,え？<CTRL:E4:3D>
22/S2046.DAT,0x48C8C,"うがあっっっ!
<CTRL:E4:3D>どないひょーーー!!<CTRL:E4:3D>"
22/S2046.DAT,0x48D82,なに？<CTRL:E4:3D>
22/S2046.DAT,0x48DC0,はかとな!？<CTRL:E4:3D>
22/S2046.DAT,0x48F86,"兵士 
？"
22/S2047.DAT,0x47D3C,精。ンを？らわた
22/S2047.DAT,0x47D5A,<CTRL:E5:02>値ひれ究投ミベ<CTRL:E6:00><CTRL:E5:02>場ふ究投ミベ<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>
22/S2047.DAT,0x47DB2,よとすをゃで王ン
22/S2047.DAT,0x47DD4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
22/S2047.DAT,0x47E2C,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねニ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
22/S2047.DAT,0x47E86,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
22/S2047.DAT,0x4818E,"ちつ
<CTRL:E4:3D>愛想のねえ野郎どもだぜ。"
22/S2051.DAT,0x47C38,"国王 
アークよ、お前にたのみがある。わが国に伝わる◇聖柩◇(せいひつ)にかするものだ・・。"
22/S2051.DAT,0x47E00,"大臣 
ここから北にいくと
ニルボ平原という場所がある。"
22/S2052.DAT,0x47908,"ニルボ平原の
モンスター討伐(とうばつ)の
報告に来ました。"
22/S2053.DAT,0x47B0E,"国王 
では、この聞話しかけた
◇聖柩◇(せいひつ)を、おまえに
さがしてもらおうと思うのじゃが・・。"
22/S2054.DAT,0x479DE,"兵士 
大臣に報告いたします
謀反人(むほんにん)トッシュを
地下牢に捕らえました"
22/S2055.DAT,0x47B58,"国王 
これはまさしく、
スメリア王家に伝わる◇勇者の証し◇。"
22/S2055.DAT,0x47C24,"国王 
◇聖柩◇(せいひつ)と精霊と兄との聞にどんなか係があるというのだ？"
22/S2055.DAT,0x47F2E,"わかりません。
ただ、精霊はトウヴィルに戻れば父からのメッセージがあると
言つていました。"
22/S2055.DAT,0x48180,"大臣 
なに!
討伐隊をだし、すぐに捕まえよ!"
22/S2056.DAT,0x478AE,"国王 
どうだ
◇聖柩◇にかして何かわかつたか？"
22/S2056.DAT,0x47946,"国王 
早くトウヴィルに向かい兄のメッセージを受け取つてくれ。"
22/S2056.DAT,0x47A90,"国王 
どうだ
◇聖柩◇にかして何かわかつたか？"
22/S2057.DAT,0x47A30,◇荒獅子太鼓◇を手に入れた。
22/S2058.DAT,0x4798A,"国王 
なんとしても、わしの目のくろいうちに
◇聖柩◇を手に入れてくれ。"
22/S205C.DAT,0x47B2A,"スメリア王 
やつは<CTRL:E4:29>ロマリアが
送り込んだ男だつた・・。<CTRL:E4:3D>"
22/S205C.DAT,0x47B82,"スメリア王 
この国に<CTRL:E4:33>モンスターを<CTRL:E4:33>呼び起こし
<CTRL:E4:33>国を混乱させていたのも、<CTRL:E4:33>"
22/S205C.DAT,0x47C5C,"スメリア王 
やつらは<CTRL:E4:3D>◇聖柩◇(せいひつ)をねらつている。
<CTRL:E4:29>◇聖柩◇の力を<CTRL:E4:3D>渡してはならん。"
22/S205C.DAT,0x47D6E,"スメリア王 
おまえの父<CTRL:E4:33>ヨシュアを<CTRL:E4:33>
ミルマーナに送り込んだのは<CTRL:E4:3D>"
22/S205C.DAT,0x47F32,"スメリア王 
兄に<CTRL:E4:3D>・<CTRL:E4:29>・<CTRL:E4:3D>一言<CTRL:E4:3D>あやまりた<CTRL:E4:29>かつ<CTRL:E4:29>た<CTRL:E4:29>・<CTRL:E4:29>・<CTRL:E4:29>・<CTRL:E4:29>・。"
22/S205C.DAT,0x48022,言%て
22/S205C.DAT,0x48030,見%て
23/S2061.DAT,0x48666,"助けて・<CTRL:E4:0B>助けて・<CTRL:E4:0B>助けて・・。
死にたくないよう。"
23/S2061.DAT,0x488E4,"俺はアーク。
トウヴィルからやつてきて
とりあえすモンスター退治を
手伝うように王に命じられたんだ"
23/S2071.DAT,0x47890,親父、やすらかに眠つてくれ。
23/S2071.DAT,0x47AD6,"かたなの精霊 
おまえの技には◇怒り◇しかない。"
23/S2081.DAT,0x47890,"大臣 
スメリア王は、トウヴィルのアークという少年に◇聖柩◇を探させるようです。"
23/S2081.DAT,0x478F0,"鏡 
おまえの小細工が、勇者を
めざめさせてしまつたのではないのか？"
23/S2082.DAT,0x479C4,"鏡 
◇聖柩◇をおろかな人聞どもに
渡してはならん。"
23/S2082.DAT,0x47A56,"大臣 
ます、ヤツの父親からのメッセージが届くトウヴィルをてつてい的に調ベます。"
31/S3011.DAT,0x47D3C,精。ンを？らわた
31/S3011.DAT,0x47D5A,<CTRL:E5:02>値ひれ究投ミベ<CTRL:E6:00><CTRL:E5:02>場ふ究投ミベ<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>
31/S3011.DAT,0x47DB2,よとすをゃで王ン
31/S3011.DAT,0x47DD4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
31/S3011.DAT,0x47E2C,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねニ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
31/S3011.DAT,0x47E86,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
31/S3012.DAT,0x47D3C,精。ンを？らわた
31/S3012.DAT,0x47D5A,<CTRL:E5:02>値ひれ究投ミベ<CTRL:E6:00><CTRL:E5:02>場ふ究投ミベ<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>
31/S3012.DAT,0x47DB2,よとすをゃで王ン
31/S3012.DAT,0x47DD4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
31/S3012.DAT,0x47E2C,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねニ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
31/S3012.DAT,0x47E86,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
31/S3012.DAT,0x47FF0,"チョピン 
何か私でお力になれるこはありますか？
<CTRL:E5:03>ベつにない。
<CTRL:E5:03>ちょつと教えてほしい。"
31/S3012.DAT,0x4811E,"<CTRL:E5:04>どうすれば強くなれるの？
<CTRL:E5:04>何か戦いのニツはあるの？
<CTRL:E5:04>やつっり、いいや。"
31/S3012.DAT,0x4831C,"チョピン 
自分のターンの時に、LRボタンを同時におすとフリーカーソルになります。"
31/S3012.DAT,0x483E0,"チョピン 
他には、分れつするモンスターは、HPが半分になりますが、倒した時にもらえる
経験値は変わりません。"
31/S3013.DAT,0x47D3C,精。ンを？らわた
31/S3013.DAT,0x47D5A,<CTRL:E5:02>値ひれ究投ミベ<CTRL:E6:00><CTRL:E5:02>場ふ究投ミベ<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>
31/S3013.DAT,0x47DB2,よとすをゃで王ン
31/S3013.DAT,0x47DD4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
31/S3013.DAT,0x47E2C,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねニ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
31/S3013.DAT,0x47E86,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
31/S3013.DAT,0x483C6,"乗員 
フリーカーソルでマップをチェック
してますか？
自分のターンでLR同時おしですよ。"
31/S3013.DAT,0x48430,"乗員 
妖樹も、ふえる時にHPが半分に
なりますが、倒した時にもらえる
経験値は変わりませんよ。"
31/S3013.DAT,0x4855E,"乗員 
また、自由に歩き回れる場所では、<CTRL:E7:02>をいろんな所でおしてみて下さい。"
31/S3014.DAT,0x45D3C,精。ンを？らわた
31/S3014.DAT,0x45D5A,<CTRL:E5:02>値ひれ究投ミベ<CTRL:E6:00><CTRL:E5:02>場ふ究投ミベ<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>
31/S3014.DAT,0x45DB2,よとすをゃで王ン
31/S3014.DAT,0x45DD4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
31/S3014.DAT,0x45E2C,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねニ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
31/S3014.DAT,0x45E86,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>
31/S3014.DAT,0x46FB4,"チョピン 
アイテム・アクセサリー・特しゅ能力は、カーソルで選んでいる時にLかRボタンをおすことで、その効果を見れます。"
31/S3014.DAT,0x4702E,"チョピン 
特に、特しゅ能力は必要なMPと
現在のMPが表示されるので
大いに利用して下さい。"
31/S3014.DAT,0x470A2,"チョピン 
アイテムで投げてダメージを与えるものは石・小さい爆弾・大きい爆弾の3つです。"
31/S3014.DAT,0x47F3C,"<CTRL:E5:03>ストーンサークル
<CTRL:E5:03>リングの位置設定
<CTRL:E5:03>召喚獣について
<CTRL:E5:03>次のページ"
31/S3014.DAT,0x47FB8,"<CTRL:E5:03>ポニの楽器
<CTRL:E5:03>闘技場
<CTRL:E5:03>キートウオール
<CTRL:E5:03>やつっりいいや。"
31/S3014.DAT,0x4802A,"<CTRL:E5:03>ストーンサークル
<CTRL:E5:03>リングの位置設定
<CTRL:E5:03>召喚獣
<CTRL:E5:03>次のページ"
31/S3014.DAT,0x480A2,"<CTRL:E5:03>ポニの楽器
<CTRL:E5:03>闘技場
<CTRL:E5:03>キートウオール
<CTRL:E5:03>次のページ"
31/S3014.DAT,0x48114,"<CTRL:E5:03>ラマダ寺の修行
<CTRL:E5:03>ロマンシングストーン
<CTRL:E5:03>アクセサリー◇きぬのおび◇
<CTRL:E5:03>やつっりいいや。"
31/S3014.DAT,0x482B6,"チョピン 
その時に、カーソルと<CTRL:E7:02>でリングの中の技を選んでアイニンの位置を変えられるんです。"
31/S3014.DAT,0x4852A,"チョピン 
ゴーゲン様のキートウオールの魔法の火に◇大きい爆弾◇を投げ込むと大爆発が
起こるそうです。"
31/S3014.DAT,0x486CA,"チョピン 
ロマンシングストーンのある場所がわかりました。1つはスメリアのトウヴィル
1つはアララトスの遺跡ダンジョン、"
31/S3014.DAT,0x487A8,"チョピン 
戦闘での経験値が倍なるアクセサリーがあるようです。名前は◇きぬのおび◇。
誰でも使えるようですね。"
31/S3022.DAT,0x47D06,◇カカラスの森◇は行かなくていいのかな。
31/S3022.DAT,0x47EB2,"兵士 
◇ルワジの森◇と◇センバラの沼◇に
いくのか。
あそこのモンスターは強いぞ。"
31/S3022.DAT,0x47F16,"兵士 
ます◇カカラスの森◇で力だめしでも
してみたらどうだ。"
31/S3022.DAT,0x47FD4,"兵士 
さすがわれらが大将軍!<CTRL:E4:3D>
・・でも、将軍がモンスターと戦うのを
一度もみたこないなっ。"
31/S3022.DAT,0x48822,"兵士 
出発なさいますか？
<CTRL:E5:03>出発する
<CTRL:E5:03>やつっりやめる"
31/S3022.DAT,0x489C4,あなたは、行かなくていいわよ。ここで眠つてなさい。
31/S3022.DAT,0x48AE4,"そうだな。
行こう。"
31/S3023.DAT,0x47E4C,"兵士 
◇カカラスの森◇のモンスターだつたら
おまえらでも勝てるだろ？"
31/S3023.DAT,0x47EAC,"兵士 
森にいきたいんだつて？
あそこには軍の定期ゆ送列車でしか行けないぜ。"
31/S3023.DAT,0x482E6,◇石◇をもらいました。
