검수번호,file,offset,현재_speaker,제안_speaker,register,mixed_register,speaker_lines,japanese,현재_korean,제안_korean,검수결과,심각도,문제유형,수정근거,확신도,현재_글자수,제안_글자수,글자수_증감,길이주의
331,21/S2045.DAT,0x47C32,,,,,,<CTRL:E5:03>出発する<CTRL:E5:03>出発しない<CTRL:E5:03>いろいろ教えて! その2,|출발|그만|정보 2,|출발|취소|설명 2,수정 권장,중간,메뉴 자연스러움,'그만'보다 선택 기능을 정확히 나타내는 '취소'를 사용.,중간,11,11,0,
336,21/S2045.DAT,0x47ED2,초핀,초핀,,MIXED,288,チョピン 何が知りたいですか？,초핀: 무엇이 알고 싶으십니까?,초핀: 무엇을 알고 싶으십니까?,수정 권장,중간,용어·표기 통일,조사 오류: '무엇이'가 아니라 목적격 '무엇을'이 자연스러움.,높음,17,17,0,
337,21/S2045.DAT,0x47F1C,,,,,,<CTRL:E5:03>アイテム・アクセサリーの効果。<CTRL:E5:03>戦闘の方向と反撃。<CTRL:E5:03>やつっり、いいや。,|아이템 정보|방향과 반격|그만,|아이템·장신구 효과|방향·반격|그만,수정 권장,중간,메뉴 의미·표기,액세서리 정보가 누락되지 않도록 보완하고 가운데점을 사용.,중간,17,20,3,확인 필요
346,21/S2045.DAT,0x48300,초핀,초핀,,MIXED,288,チョピン 何が知りたいですか？,초핀: 무엇이 알고 싶으십니까?,초핀: 무엇을 알고 싶으십니까?,수정 권장,중간,용어·표기 통일,조사 오류: '무엇이'가 아니라 목적격 '무엇을'이 자연스러움.,높음,17,17,0,
370,21/S2045.DAT,0x48C0A,초핀,초핀,,MIXED,288,チョピン トヨーケの森のベみの精霊をおぼえていますか？,초핀: 토요케 숲의 베미의 정령을 기억하십니까?,초핀: 토요케 숲의 은혜의 정령을 기억하십니까?,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,26,26,0,
472,22/S2051.DAT,0x47C38,국왕,국왕,plain,,32,国王 アークよ、お前にたのみがある。わが国に伝わる<G:90>聖柩<G:89>(せいひつ)にかするものだ・・。,"국왕: 아크여, 너에게 부탁이 있다. 우리나라에 전해 내려오는 성궤에 관한 것이다...","국왕: 아크여, 너에게 부탁이 있다. 우리 나라에 전해 내려오는 성궤에 관한 것이다...",수정 권장,중간,용어·표기 통일,우리 나라 띄어쓰기: 국가를 뜻하는 일반 명사구는 문맥상 띄어쓰기 권장.,높음,48,49,1,확인 필요
549,22/S2057.DAT,0x478F0,국왕,국왕,plain,,32,国王 5大精霊の石か・・。,국왕: 오대 정령의 돌이라...,국왕: 5대 정령의 돌이라...,수정 권장,중간,용어·표기 통일,5대 정령 표기: 고유 설정 용어를 '5대 정령'으로 통일.,높음,17,17,0,
652,31/S3013.DAT,0x481EE,승무원,승무원,,MIXED,27,乗員 何が知りたいですか？,승무원: 무엇이 알고 싶으십니까?,승무원: 무엇을 알고 싶으십니까?,수정 권장,중간,용어·표기 통일,조사 오류: '무엇이'가 아니라 목적격 '무엇을'이 자연스러움.,높음,18,18,0,
665,31/S3014.DAT,0x4658E,,,,,,<CTRL:E5:03>出発する<CTRL:E5:03>出発しない<CTRL:E5:03>いろいろ教えて!,|출발|그만|정보,|출발|취소|설명,수정 권장,중간,메뉴 자연스러움,'그만'보다 선택 기능을 정확히 나타내는 '취소'를 사용.,중간,9,9,0,
669,31/S3014.DAT,0x4691A,,,,,,<CTRL:E5:03>出発する<CTRL:E5:03>出発しない<CTRL:E5:03>いろいろ教えて!,|출발|그만|정보,|출발|취소|설명,수정 권장,중간,메뉴 자연스러움,'그만'보다 선택 기능을 정확히 나타내는 '취소'를 사용.,중간,9,9,0,
673,31/S3014.DAT,0x46C48,,,,,,<CTRL:E5:03>出発する<CTRL:E5:03>出発しない<CTRL:E5:03>いろいろ教えて! その2,|출발|그만|정보 2,|출발|취소|설명 2,수정 권장,중간,메뉴 자연스러움,'그만'보다 선택 기능을 정확히 나타내는 '취소'를 사용.,중간,11,11,0,
679,31/S3014.DAT,0x46F3C,,,,,,<CTRL:E5:03>アイテム・アクセサリーの効果。<CTRL:E5:03>戦闘の方向と反撃。<CTRL:E5:03>やつっり、いいや。,|아이템 정보|방향과 반격|그만,|아이템·장신구 효과|방향·반격|그만,수정 권장,중간,메뉴 의미·표기,액세서리 정보가 누락되지 않도록 보완하고 가운데점을 사용.,중간,17,20,3,확인 필요
712,31/S3014.DAT,0x47C2E,초핀,초핀,,MIXED,288,チョピン トヨーケの森のベみの精霊をおぼえていますか？,초핀: 토요케 숲의 베미의 정령을 기억하십니까?,초핀: 토요케 숲의 은혜의 정령을 기억하십니까?,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,26,26,0,
871,31/S3024.DAT,0x48052,,,,,,どうする？<CTRL:E5:03>さいきょうこうげき<CTRL:E5:03>ふつうこうげき<CTRL:E5:03>よわいこうげき,|강공격|일반|약공격,어떻게 할까?|강공격|보통 공격|약공격,수정 권장,중간,메뉴 의미,질문과 세 공격 강도를 자연스럽게 복원.,높음,11,21,10,확인 필요
918,32/S3061.DAT,0x47A9C,베미의 정령,베미의 정령,,MIXED,41,ベみの精霊 まつていましたよアーク。,"베미의 정령: 기다리고 있었습니다, 아크.","은혜의 정령: 기다리고 있었습니다, 아크.",수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,23,23,0,
920,32/S3061.DAT,0x47B1C,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 そう、20年前あなたのお父さんを助けてから、すうつとこの日をね。,베미의 정령: 그래요. 20년 전 당신의 아버지를 도와준 뒤로 줄곧 이 날을 기다렸지요.,은혜의 정령: 그래요. 20년 전 당신의 아버지를 도와준 뒤로 줄곧 이 날을 기다렸지요.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,49,49,0,
925,32/S3061.DAT,0x47CB0,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 ヨシュアは、この国で殺されかけたの、次の国王であるという理由でね。,베미의 정령: 요슈아는 이 나라에서 다음 국왕이 될 사람이라는 이유로 하마터면 죽임을 당했어요.,은혜의 정령: 요슈아는 이 나라에서 다음 국왕이 될 사람이라는 이유로 하마터면 죽임을 당했어요.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,53,53,0,
926,32/S3061.DAT,0x47D12,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 ひどい傷をおつてこの森に逃げ込んだ彼を私が助けたの。,베미의 정령: 심한 상처를 입고 이 숲으로 도망쳐 온 그를 내가 도와주었어요.,은혜의 정령: 심한 상처를 입고 이 숲으로 도망쳐 온 그를 내가 도와주었어요.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,43,43,0,
927,32/S3061.DAT,0x47D6C,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 ところが、意識(いしき)を取り戻したヨシュアの口から出たのは、死を望む言葉だつた。,베미의 정령: 그런데 의식을 되찾은 요슈아의 입에서 나온 것은 죽음을 바라는 말이었어요.,은혜의 정령: 그런데 의식을 되찾은 요슈아의 입에서 나온 것은 죽음을 바라는 말이었어요.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,49,49,0,
928,32/S3061.DAT,0x47DDA,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 彼は人聞同士の争いにつかれていたのです。,베미의 정령: 그는 인간들끼리의 싸움에 지쳐 있었어요.,은혜의 정령: 그는 인간들끼리의 싸움에 지쳐 있었어요.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,30,30,0,
929,32/S3061.DAT,0x47E2E,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 そしてまた、それによつてこの世界が破壊(はかい)されてゆくこに絶望していたの。,베미의 정령: 그리고 그로 인해 이 세계가 파괴되어 가는 것에 절망하고 있었지요.,은혜의 정령: 그리고 그로 인해 이 세계가 파괴되어 가는 것에 절망하고 있었지요.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,45,45,0,
931,32/S3061.DAT,0x47EEE,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 人は、自らをこの世界の支配者と思い込んでいます。,베미의 정령: 인간은 스스로를 이 세계의 지배자라고 믿고 있습니다.,은혜의 정령: 인간은 스스로를 이 세계의 지배자라고 믿고 있습니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,37,37,0,
932,32/S3061.DAT,0x47F46,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 この世界に生まれ、文明を築き栄えるのを当たり前のことだと思つているのです。,베미의 정령: 이 세계에 태어나 문명을 세워 번영하는 것을 당연한 일이라고 생각하고 있지요.,은혜의 정령: 이 세계에 태어나 문명을 세워 번영하는 것을 당연한 일이라고 생각하고 있지요.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,51,51,0,
933,32/S3061.DAT,0x47FAC,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 そして、世界を自らの欲望のままに破壊し始めました。,베미의 정령: 그리고 세계를 자신들의 욕망대로 파괴하기 시작했습니다.,은혜의 정령: 그리고 세계를 자신들의 욕망대로 파괴하기 시작했습니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,38,38,0,
935,32/S3061.DAT,0x48074,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 ヨシュアも同じこを言いました。ですから、私は彼に最後の希望(きぼう)と試練(しれん)をあたえたのです。,베미의 정령: 요슈아도 같은 말을 했어요. 그래서 나는 그에게 마지막 희망과 시련을 주었습니다.,은혜의 정령: 요슈아도 같은 말을 했어요. 그래서 나는 그에게 마지막 희망과 시련을 주었습니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,53,53,0,
936,32/S3061.DAT,0x480EC,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 人の未来を無くさないための。,베미의 정령: 인간의 미래를 없애지 않기 위해서요.,은혜의 정령: 인류의 미래를 지키기 위해서요.,수정 권장,높음,자연스러움·용어,'미래를 없애지 않기 위해'를 의도에 맞게 자연스럽게 수정.,높음,28,25,-3,
937,32/S3061.DAT,0x48136,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 そして、彼はそのカベをあなたにたくして戦つているのです,베미의 정령: 그리고 그는 그 벽을 당신에게 맡기고 싸우고 있습니다.,은혜의 정령: 그리고 그는 그 벽을 당신에게 맡기고 싸우고 있습니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,38,38,0,
940,32/S3061.DAT,0x48236,베미의 정령,베미의 정령,plain,MIXED,41,ベみの精霊 あなたが何を見て、どう行動するかが人類の運命を変えるのです,베미의 정령: 당신이 무엇을 보고 어떻게 행동하느냐가 인류의 운명을 바꾸는 겁니다.,은혜의 정령: 당신이 무엇을 보고 어떻게 행동하느냐가 인류의 운명을 바꾸는 겁니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,46,46,0,
941,32/S3061.DAT,0x48292,베미의 정령,베미의 정령,plain,MIXED,41,ベみの精霊 これを受け取りなさい。あなたに渡してほしいとヨシュアからあすかつていたものです。,베미의 정령: 이것을 받으세요. 당신에게 전해 주었으면 한다며 요슈아가 맡긴 것입니다.,은혜의 정령: 이것을 받으세요. 당신에게 전해 주었으면 한다며 요슈아가 맡긴 것입니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,48,48,0,
944,32/S3061.DAT,0x48396,베미의 정령,베미의 정령,plain,MIXED,41,ベみの精霊 あなたのお父さんが、道標(みちしるベ)を示すでしょう。,베미의 정령: 당신의 아버지가 길잡이를 보여 줄 겁니다.,은혜의 정령: 당신의 아버지가 길잡이를 보여 줄 겁니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,31,31,0,
951,32/S3062.DAT,0x47D92,베미의 정령,베미의 정령,plain,MIXED,41,ベみの精霊 あなたが何を見て、どう行動するかが人類の運命を変えるのです。,베미의 정령: 당신이 무엇을 보고 어떻게 행동하는지가 인류의 운명을 바꾸는 것입니다.,은혜의 정령: 당신이 무엇을 보고 어떻게 행동하는지가 인류의 운명을 바꾸는 것입니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,47,47,0,
952,32/S3062.DAT,0x47DEE,베미의 정령,베미의 정령,plain,MIXED,41,ベみの精霊 これから起こることを見、聞き、そして考えて行動するのです。,"베미의 정령: 이제부터 일어나는 일을 보고, 듣고, 생각해서 행동하는 것입니다.","은혜의 정령: 이제부터 일어나는 일을 보고, 듣고, 생각해서 행동하는 것입니다.",수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,44,44,0,
955,32/S3063.DAT,0x47D2A,베미의 정령,베미의 정령,plain,MIXED,41,ベみの精霊 光の精霊は5大精霊のなかでも一番人聞に理解のある精霊です。,베미의 정령: 빛의 정령은 다섯 대정령 가운데서도 가장 인간을 이해하는 정령입니다.,은혜의 정령: 빛의 정령은 5대 정령 가운데서도 가장 인간을 이해하는 정령입니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨. | 5대 정령 표기: 고유 설정 용어를 '5대 정령'으로 통일.,높음,46,45,-1,
958,32/S3063.DAT,0x47E38,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 彼の言葉を、よくかみしめて行動するのですよ。,베미의 정령: 그의 말을 잘 되새기고 행동하도록 하세요.,은혜의 정령: 그의 말을 잘 되새기고 행동하도록 하세요.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,31,31,0,
959,32/S3063.DAT,0x47E94,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 さっ、グレイシーヌへ向かいなさい。,"베미의 정령: 자, 그레이시느로 향하세요.","은혜의 정령: 자, 그레이시느로 향하세요.",수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,23,23,0,
961,32/S3064.DAT,0x47D2A,베미의 정령,베미의 정령,,MIXED,41,ベみの精霊 全てのものは自分達だけのものだという気持ちが、,"베미의 정령: 모든 것은 자기들만의 것이라는 마음이,","은혜의 정령: 모든 것은 자기들만의 것이라는 마음이,",수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,29,29,0,
962,32/S3064.DAT,0x47D7E,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 遂には争いによる奪いあいを生みます。,베미의 정령: 마침내 싸움으로 인한 빼앗음을 낳습니다.,은혜의 정령: 마침내 다툼과 약탈을 낳게 됩니다.,수정 권장,중간,자연스러움·용어,'싸움으로 인한 빼앗음'을 자연스러운 표현으로 수정.,높음,30,27,-3,
963,32/S3064.DAT,0x47DCE,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 土の精霊の言葉を、忘れないでください。,베미의 정령: 땅의 정령의 말을 잊지 마세요.,은혜의 정령: 대지의 정령의 말을 잊지 마세요.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨. | 땅의 정령→대지의 정령: 동일 정령의 기존 명칭과 판타지 용어를 통일.,높음,25,26,1,확인 필요
965,32/S3065.DAT,0x47D2A,베미의 정령,베미의 정령,plain,MIXED,41,ベみの精霊 日の光もあめも、そして、風もすベて理由があつて今のようになつているのです。,"베미의 정령: 해도 비도, 그리고 바람도 모두 이유가 있어서 지금과 같이 있는 것입니다.","은혜의 정령: 햇빛도 비도, 그리고 바람도 모두 저마다의 이유가 있어 지금의 모습을 이루고 있습니다.",수정 권장,높음,자연스러움·용어,'해도 비도'와 직역투를 자연스럽게 정리.,높음,49,56,7,확인 필요
966,32/S3065.DAT,0x47D92,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 人に都合がよくても全ての生き物にはあてはまらない。風の精霊はそのこを言いたかつたんですよ。,베미의 정령: 사람에게 편리해도 모든 생물에게 들어맞는 것은 아닙니다. 바람의 정령은 그 말을 하고 싶었던 거예요.,은혜의 정령: 사람에게 편리해도 모든 생물에게 들어맞는 것은 아닙니다. 바람의 정령은 그 말을 하고 싶었던 거예요.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,64,64,0,
968,32/S3066.DAT,0x47D2A,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 この森も、アリバーシャの砂漠も一度崩れてしまつた自然のバランスは壊す時ほどは簡単に戻りません。,"베미의 정령: 이 숲도 아리바샤의 사막도, 한 번 무너진 자연의 조화는 부술 때만큼 쉽게 돌아오지 않습니다.","은혜의 정령: 이 숲도 아리바샤의 사막도, 한 번 무너진 자연의 균형은 무너뜨릴 때처럼 쉽게 되돌아오지 않습니다.",수정 권장,높음,자연스러움·용어,'자연의 조화' 문장의 직역투를 줄임.,높음,60,63,3,확인 필요
969,32/S3066.DAT,0x47DA2,베미의 정령,베미의 정령,plain,MIXED,41,ベみの精霊 そして、その者の子供は長い時聞を経てその罪のおもさを知ります。,베미의 정령: 그리고 그 사람의 아이는 긴 시간을 거쳐 그 죄의 무게를 알게 됩니다.,은혜의 정령: 그리고 그 사람의 아이는 긴 시간을 거쳐 그 죄의 무게를 알게 됩니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,47,47,0,
970,32/S3066.DAT,0x47E02,베미의 정령,베미의 정령,plain,MIXED,41,ベみの精霊 でも、それではおそいのです。,베미의 정령: 하지만 그래서는 이미 때가 지난 것입니다.,은혜의 정령: 하지만 그때는 이미 늦습니다.,수정 권장,높음,자연스러움·용어,'그래서는 이미 때가 지난 것입니다'를 간결하게 수정.,높음,31,24,-7,
971,32/S3066.DAT,0x47E4A,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 アリバーシャのかわいた土地と水の精霊の言葉を心にとめておいてください。,베미의 정령: 아리바샤의 메마른 땅과 물의 정령의 말을 마음에 새겨 두세요.,은혜의 정령: 아리바샤의 메마른 땅과 물의 정령의 말을 마음에 새겨 두세요.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,42,42,0,
973,32/S3067.DAT,0x47D2A,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 生きる者全てはエリルベーを自分の中に持つています。,베미의 정령: 살아 있는 모든 것은 에릴베를 자기 안에 지니고 있습니다.,은혜의 정령: 살아 있는 모든 것은 에릴베를 자기 안에 지니고 있습니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,40,40,0,
974,32/S3067.DAT,0x47D86,베미의 정령,베미의 정령,plain,MIXED,41,ベみの精霊 しかし、人は時には自然から時には人からも奪い取り自分のエリルベーを高めます。,"베미의 정령: 하지만 사람은 때로 자연에게서, 때로 사람에게서도 빼앗아 자기 에릴베를 늘립니다.","은혜의 정령: 하지만 사람은 때로 자연에게서, 때로 사람에게서도 빼앗아 자기 에릴베를 늘립니다.",수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,53,53,0,
975,32/S3067.DAT,0x47DF2,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 エリルベーはこの世界をまわつています。,베미의 정령: 에릴베는 이 세계를 돌고 있습니다.,은혜의 정령: 에릴베는 이 세계를 순환하고 있습니다.,수정 권장,높음,자연스러움·용어,에너지의 순환 의미에 맞게 수정.,높음,27,29,2,확인 필요
976,32/S3067.DAT,0x47E46,베미의 정령,베미의 정령,plain,MIXED,41,ベみの精霊 誰かだけが奪いひとりじめしてはならないのです。,베미의 정령: 누구 한 사람만이 빼앗아 혼자 가져서는 안 됩니다.,은혜의 정령: 누구 한 사람만이 빼앗아 혼자 가져서는 안 됩니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,36,36,0,
977,32/S3067.DAT,0x47E9C,베미의 정령,베미의 정령,plain,MIXED,41,ベみの精霊 炎の精霊の姿に涙したあなた達にはわかるはすです。,베미의 정령: 불의 정령의 모습에 눈물을 흘린 당신들이라면 알 수 있을 겁니다.,은혜의 정령: 불꽃의 정령의 모습에 눈물을 흘린 당신들이라면 알 수 있을 겁니다.,수정 권장,높음,용어 정확성,炎の精霊은 상위 존재 火の精霊과 구별해 '불꽃의 정령'으로 번역.,높음,44,45,1,확인 필요
979,32/S3068.DAT,0x47E20,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 よくいままで私の言葉に耳をかたむけてくれました。,베미의 정령: 지금까지 내 말에 귀를 기울여 주셨습니다.,은혜의 정령: 지금까지 제 말에 귀를 기울여 주었군요.,수정 권장,중간,자연스러움·용어,현재 문장의 완료 맥락을 자연스럽게 정리.,높음,31,30,-1,
980,32/S3068.DAT,0x47E76,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 あなた達ならば人聞を導くことができるでしょう。,베미의 정령: 당신들이라면 인간을 이끌 수 있겠지요.,은혜의 정령: 당신들이라면 인간을 이끌 수 있겠지요.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,29,29,0,
