over_by,source file,byte offset,needs,budget,korean
52,21/S2045.DAT,0x495D4,120,68,"초핀: 라마다사에서는 등급을 두고 수행을 하고 있는 모양인데, 그것을 모두 끝내면 얻을 수 있는 액세서리가 있는 모양입니다."
50,6/S6022.DAT,0x47A14,115,65,"이 나라에 2천 년 동안 전해 내려오는 권법을 쓰는 집단으로, 라마다교라는 가르침 아래 수행에 힘쓰는 승려들인 모양이야."
50,22/S2054.DAT,0x47970,96,46,대신: 수고했다. 하지만 공교롭게도 국왕께서는 편찮으신 모양이다. 대신 내가 이야기를 듣도록 하지.
50,21/S2041.DAT,0x485A6,115,65,"승무원: 이곳의 몬스터는 게임이 진행되어도 변하지 않으니, 단련하고 싶은 사람의 레벨에 맞춰 장소를 고를 수 있습니다."
49,1/S1023.DAT,0x47B30,89,40,"<CTRL:E5>""피해 줄이기 2<CTRL:E5>""전투 요령
<CTRL:E5>""그만 읽기"
48,F/SF0E1.DAT,0x47E70,108,60,"사류족 남자: 사람 목숨을 아무렇지도 않게 여기는, 몬스터보다 더한 놈입니다. 그놈은, 그놈만은 용서할 수 없어!"
48,F/SF021.DAT,0x480A2,94,46,바람의 정령: 바람이 부는 데에는 이유가 있다. 제멋대로인 욕망으로 바꾸어서는 안 되는데 말이야.
48,7/S7025.DAT,0x487B8,113,65,대회 위원: 이번에는 지금까지 없던 접전이었습니다. 하지만 어느 쪽이 남아도 토르노 데 반코에게는 이길 수 없겠지요.
48,7/S7023.DAT,0x48694,104,56,"출전자: 토르노 데 반코 말인데, 그놈은 인간다운 구석이라곤 하나도 없는 전투 기계라고 생각하는 편이 좋아."
47,8/S8013.DAT,0x47DD8,115,68,초핀: 소환수는 전부 합쳐 둘까지 있다고 들었습니다. 그중에는 찾기 어려운 것도 있는 모양이니 여기저기 찾아 보십시오.
47,7/S7012.DAT,0x48DEA,115,68,초핀: 소환수는 전부 합쳐 둘까지 있다고 들었습니다. 그중에는 찾기 어려운 것도 있는 모양이니 여기저기 찾아 보십시오.
47,6/S6014.DAT,0x492F2,115,68,초핀: 소환수는 전부 합쳐 둘까지 있다고 들었습니다. 그중에는 찾기 어려운 것도 있는 모양이니 여기저기 찾아 보십시오.
47,5/S5013.DAT,0x49346,115,68,초핀: 소환수는 전부 합쳐 둘까지 있다고 들었습니다. 그중에는 찾기 어려운 것도 있는 모양이니 여기저기 찾아 보십시오.
47,31/S3014.DAT,0x4837E,115,68,초핀: 소환수는 전부 합쳐 둘까지 있다고 들었습니다. 그중에는 찾기 어려운 것도 있는 모양이니 여기저기 찾아 보십시오.
47,21/S2045.DAT,0x4935A,115,68,초핀: 소환수는 전부 합쳐 둘까지 있다고 들었습니다. 그중에는 찾기 어려운 것도 있는 모양이니 여기저기 찾아 보십시오.
46,B/SB022.DAT,0x47E84,99,53,"빛의 정령: 아크, 너는 내가 믿었던 그대로의 인간이었어. 하지만 잘못된 길을 가고 있는 사람들도 있어."
46,5/S5041.DAT,0x47ACA,104,58,빛의 정령: 그리고 우리의 힘이 약해져 몬스터가 나타나기 시작했어. 하지만 아직 인간은 잘못을 깨닫지 못해.
46,22/S2055.DAT,0x47E6C,95,49,국왕: 형이 왕가에서 뛰쳐나간 것도 그런 수메리아의 모습을 참을 수 없었기 때문일지도 모르겠구나.
45,F/SF041.DAT,0x48014,103,58,불의 정령: 스스로는 아무것도 낳지 않으면서 우리가 낳은 생명을 가지고 놀며 세계의 지배자인 양 구는구나.
45,F/SF021.DAT,0x481A6,101,56,바람의 정령: 너희가 오브를 부수지 않았더라면 이것이 계속됐을 거라고 생각하니 정말 소름이 끼치는구나.
45,7/S7012.DAT,0x480F4,102,57,"초핀: 경험은 공격했을 때도, 공격받았을 때도 얻을 수 있습니다. 언제나 도전하는 마음으로 맞서 주십시오."
45,6/S6014.DAT,0x485FC,102,57,"초핀: 경험은 공격했을 때도, 공격받았을 때도 얻을 수 있습니다. 언제나 도전하는 마음으로 맞서 주십시오."
45,5/S5013.DAT,0x48650,102,57,"초핀: 경험은 공격했을 때도, 공격받았을 때도 얻을 수 있습니다. 언제나 도전하는 마음으로 맞서 주십시오."
45,32/S3061.DAT,0x47CB0,93,48,베미의 정령: 요슈아는 이 나라에서 다음 국왕이 될 사람이라는 이유로 하마터면 죽임을 당했어요.
45,31/S3014.DAT,0x47688,102,57,"초핀: 경험은 공격했을 때도, 공격받았을 때도 얻을 수 있습니다. 언제나 도전하는 마음으로 맞서 주십시오."
45,21/S2045.DAT,0x48664,102,57,"초핀: 경험은 공격했을 때도, 공격받았을 때도 얻을 수 있습니다. 언제나 도전하는 마음으로 맞서 주십시오."
44,6/S6053.DAT,0x47D2E,92,48,제자: 당신은 우리에게 자신의 잘못을 바로잡는 것을 두려워하지 않는 용기를 가르쳐 주셨습니다.
44,4/S4032.DAT,0x48302,90,46,자유롭게 걸어 다닐 수 있을 때는 여기저기서 결정 버튼을 눌러 봐. 뭔가 떨어져 있을지도 몰라.
43,5/S5052.DAT,0x47ADA,70,27,고맙다는 말은 하겠지만 보물은 나누지 않을 거야. 말만 하는 건 공짜니까.
43,21/S2041.DAT,0x48488,88,45,"<CTRL:E5>#강해지는 방법
<CTRL:E5>#전투 요령
<CTRL:E5>#그만"
42,F/SF0F1.DAT,0x47910,89,47,"알겠느냐, 우리에게 봉인의 기술 따위는 필요 없다. 산으로 돌아가는 데에는 다른 용무가 있다."
42,8/S8061.DAT,0x47BB6,85,43,물의 정령: 그런데 이런 지하 아래쪽에 혼자 숨어 누구에게도 고마움 받지 못하고 있구나.
42,5/S5013.DAT,0x49770,108,66,초핀: 전투에서 경험치가 두 배가 되는 장신구가 있는 모양입니다. 이름은 비단 띠. 누구나 쓸 수 있는 것 같군요.
42,5/S5013.DAT,0x4826A,96,54,초핀: 특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.
42,32/S3062.DAT,0x47D92,83,41,베미의 정령: 당신이 무엇을 보고 어떻게 행동하는지가 인류의 운명을 바꾸는 것입니다.
42,31/S3014.DAT,0x487A8,108,66,초핀: 전투에서 경험치가 두 배가 되는 장신구가 있는 모양입니다. 이름은 비단 띠. 누구나 쓸 수 있는 것 같군요.
42,31/S3014.DAT,0x472A2,96,54,초핀: 특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.
42,22/S2051.DAT,0x47CA4,92,50,대신: 이 자가 전설의 용사라고 정해진 것도 아닙니다. 아직 그 이야기는 이르다고 생각합니다만.
42,21/S2045.DAT,0x4827E,96,54,초핀: 특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.
42,21/S2044.DAT,0x47FB8,73,31,"초핀 
국왕께 말씀은 들었습니다。
<CTRL:E4>저는 초핀입니다。"
41,B/SB022.DAT,0x47990,79,38,하늘의 목소리: 모든 것을 사랑하고 아끼는 마음. 그리고 모든 것을 지키는 힘이다.
41,8/S8013.DAT,0x48202,108,67,초핀: 전투에서 경험치가 두 배가 되는 장신구가 있는 모양입니다. 이름은 비단 띠. 누구나 쓸 수 있는 것 같군요.
41,7/S7012.DAT,0x49214,108,67,초핀: 전투에서 경험치가 두 배가 되는 장신구가 있는 모양입니다. 이름은 비단 띠. 누구나 쓸 수 있는 것 같군요.
41,6/S6014.DAT,0x4971C,108,67,초핀: 전투에서 경험치가 두 배가 되는 장신구가 있는 모양입니다. 이름은 비단 띠. 누구나 쓸 수 있는 것 같군요.
41,22/S205A.DAT,0x4797E,77,36,국왕: 그러기 위해서라도 다섯 개의 돌을 무슨 일이 있어도 모아 주게. 부탁하네.
41,21/S2045.DAT,0x49744,108,67,초핀: 전투에서 경험치가 두 배가 되는 장신구가 있는 모양입니다. 이름은 비단 띠. 누구나 쓸 수 있는 것 같군요.
40,7/S7012.DAT,0x484E4,92,52,"초핀: 그 안에는 몬스터가 지키고 있는, 그곳에서만 얻을 수 있는 액세서리도 있다고 들었습니다."
40,6/S6014.DAT,0x489EC,92,52,"초핀: 그 안에는 몬스터가 지키고 있는, 그곳에서만 얻을 수 있는 액세서리도 있다고 들었습니다."
40,5/S5013.DAT,0x48A40,92,52,"초핀: 그 안에는 몬스터가 지키고 있는, 그곳에서만 얻을 수 있는 액세서리도 있다고 들었습니다."
40,4/S4034.DAT,0x47EB6,93,53,그 앞에 정령과의 만남이 있다. 이것은 내가 주는 선물이다. 이것을 써서 대회를 끝까지 이겨 다오.
40,32/S3067.DAT,0x47E9C,76,36,베미의 정령: 불의 정령의 모습에 눈물을 흘린 당신들이라면 알 수 있을 겁니다.
40,32/S3061.DAT,0x47B1C,82,42,베미의 정령: 그래요. 20년 전 당신의 아버지를 도와준 뒤로 줄곧 이 날을 기다렸지요.
40,31/S3014.DAT,0x47A78,92,52,"초핀: 그 안에는 몬스터가 지키고 있는, 그곳에서만 얻을 수 있는 액세서리도 있다고 들었습니다."
40,22/S2047.DAT,0x48042,84,44,"우리는 지금부터 팔렌시아 성으로 돌아가지만, 이제 여기에 다시 돌아오지 못할지도 몰라."
40,22/S2046.DAT,0x4887C,69,29,"병사: 아니, 들어 본 적이 있는 것 같기도 하고, 없는 것 같기도 하고..."
40,21/S2045.DAT,0x48A54,92,52,"초핀: 그 안에는 몬스터가 지키고 있는, 그곳에서만 얻을 수 있는 액세서리도 있다고 들었습니다."
40,21/S2044.DAT,0x4856A,90,50,"그렇지, 혼은 돌고 도는 법. 예전에 수메리아로 성궤를 옮겨 온 동료들이 다시 모이는 것이니라."
39,B/SB021.DAT,0x47AB0,89,50,성궤: 하지만 그러기 위해서는 너희 인간이 자기 자신을 끊어 낼 수 있는 강함을 지녀야 한다.
39,7/S7012.DAT,0x48742,97,58,"초핀: 밀마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다."
39,7/S7012.DAT,0x47EC6,99,60,초핀: 이쪽의 공격이 몬스터에게 통하지 않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.
39,6/S6051.DAT,0x47C56,79,40,이 지경이 되고도 아직 거짓말을 하는가. 대승정님께서는 모든 것을 다 보고 계신다.
39,6/S6031.DAT,0x47A1A,74,35,승정: 그자들을 우습게 보지 않는 편이 좋습니다. 어딘가 큰 힘이 느껴집니다.
39,6/S6014.DAT,0x48C4A,97,58,"초핀: 밀마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다."
39,6/S6014.DAT,0x483CE,99,60,초핀: 이쪽의 공격이 몬스터에게 통하지 않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.
39,5/S5013.DAT,0x48C9E,97,58,"초핀: 밀마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다."
39,5/S5013.DAT,0x48422,99,60,초핀: 이쪽의 공격이 몬스터에게 통하지 않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.
39,4/S4034.DAT,0x47E4A,96,57,그들과 힘을 합쳐 이 싸움을 끝까지 이겨 다오. 다음 정령은 카델에 있다. 무투 대회에 참가해야 한다.
39,32/S3061.DAT,0x48236,81,42,베미의 정령: 당신이 무엇을 보고 어떻게 행동하느냐가 인류의 운명을 바꾸는 겁니다.
39,31/S3022.DAT,0x47F72,86,47,병사: 야군 님이 로마리아에서 장군으로 온 뒤로 몬스터가 거리를 습격하는 일이 없어졌지.
39,31/S3014.DAT,0x47CD6,97,58,"초핀: 밀마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다."
39,31/S3014.DAT,0x4745A,99,60,초핀: 이쪽의 공격이 몬스터에게 통하지 않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.
39,21/S2045.DAT,0x48CB2,97,58,"초핀: 밀마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다."
39,21/S2045.DAT,0x48436,99,60,초핀: 이쪽의 공격이 몬스터에게 통하지 않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.
38,B/SB072.DAT,0x48268,87,49,대신: 그게 좋을 거다. 우리는 토우빌 마을 사람들의 목숨을 어떻게든 할 수 있으니 말이다.
38,B/SB022.DAT,0x47A3C,82,44,"하늘의 목소리: 보고 듣고, 그리고 슬퍼하고 괴로워하며 성장해 온 아크, 너 자신이다."
38,6/S6053.DAT,0x47E7A,82,44,나는 이 사람들과의 여행이 끝나면 다시 이곳으로 돌아와 처음부터 다시 시작하고 싶어.
38,32/S3063.DAT,0x47D2A,81,43,베미의 정령: 빛의 정령은 다섯 대정령 가운데서도 가장 인간을 이해하는 정령입니다.
38,31/S3013.DAT,0x48366,71,33,승무원: 출발할 때까지 단련하면 강해져서 수메리아로 돌아갈 수 있습니다.
38,22/S205A.DAT,0x47912,96,58,"국왕: 아크여, 다섯 개의 돌이 모여 인류의 미래가 보일 때에는 나도 조화로운 나라를 만들고 싶구나."
38,22/S205A.DAT,0x478AE,81,43,"대신: 그렇군, 돌은 두 개 모았나. 좋아, 좋아. 그 기세로 빨리 다섯 개를 모아 주게."
37,F/SF021.DAT,0x4813E,91,54,바람의 정령: 그렇다. 봉인된 이백 년 동안 줄곧 인간들이 서로 죽이는 가운데서 오가고 있었지.
37,B/SB022.DAT,0x47DDE,94,57,"바람의 정령: 자, 이제부터가 진짜 고비다. 우리도 전면적으로 힘을 보태지. 마음껏 날뛰고 오너라."
37,6/S6051.DAT,0x47AF6,74,37,듣자 하니 이곳을 지나가는 것 말고는 라마다 산으로 들어가는 길이 없다고 해.
37,32/S3062.DAT,0x47DEE,76,39,"베미의 정령: 이제부터 일어나는 일을 보고, 듣고, 생각해서 행동하는 것입니다."
37,32/S3061.DAT,0x47F46,89,52,베미의 정령: 이 세계에 태어나 문명을 세워 번영하는 것을 당연한 일이라고 생각하고 있지요.
37,22/S2059.DAT,0x478F8,69,32,국왕: 정령의 이야기를 듣고서야 처음으로 우리들의 잘못을 알게 되다니.
36,F/SF0B1.DAT,0x47C96,74,38,용자와 힘을 합쳐 인간의 미래를 만들기 위한 것이라고 고문서에서 알았습니다.
36,B/SB022.DAT,0x47EC6,81,45,빛의 정령: 그것을 바로잡을 수 있는 건 너희들뿐이야. 훌륭한 미래를 기대하고 있어.
36,B/SB022.DAT,0x47948,95,59,하늘의 목소리: 멸망을 막기 위한 마지막 힘 따위는 없다. 여기 있는 것은 예전에 너희가 지녔던 힘.
36,7/S7023.DAT,0x48588,87,51,"출전자: 이 세계에는 대지의 돌, 물의 돌, 불의 돌, 바람의 돌, 빛의 돌이라는 돌이 있어서,"
36,6/S6054.DAT,0x45C42,85,49,"이 세계에는 정령의 돌 말고도, 모두 모으면 효과가 나타나는 돌이 하나 더 있다고 들었다."
36,4/S4033.DAT,0x47EDC,95,59,그런데 빛의 정령에게서 돌을 받은 모양이구나. 다음 정령은 그레이시느에 있다. 서둘러 출발해 다오.
36,32/S3067.DAT,0x47D86,93,57,"베미의 정령: 하지만 사람은 때로 자연에게서, 때로 사람에게서도 빼앗아 자기 에릴베를 늘립니다."
36,22/S2055.DAT,0x479E0,68,32,"대신: 왕이시여, 이 자는 왕가를 빼앗으려 하고 있을지도 모르겠습니다."
36,21/S2041.DAT,0x48746,101,65,"승무원: 그 밖에 분열하는 몬스터는 HP가 절반이 되지만, 쓰러뜨렸을 때 받는 경험치는 변하지 않습니다."
36,21/S2041.DAT,0x486E4,83,47,승무원: 이것을 써서 몬스터의 장소와 지형을 잘 보고 작전을 세워 보면 어떻겠습니까?
35,F/SF081.DAT,0x4792E,80,45,두목: 하지만 우리 같은 놈들이 아니면 지킬 수 없는 녀석들도 있다는 걸 잊지 마라.
35,F/SF041.DAT,0x47DA8,93,58,불의 정령: 나는 불의 정령. 나의 하위 정령인 불꽃의 정령을 풀어 준 데 대해 인사를 해야겠구나.
35,B/SB022.DAT,0x47BF4,88,53,"하늘의 목소리: 아크여, 얻은 힘을 써서 다른 동료들과 힘을 합쳐 사람들을 깨우고 이끌어라."
35,9/S9051.DAT,0x47F12,82,47,안델 대신: 대단히 불행한 사태입니다만 국민 여러분께는 침착한 대처를 당부드립니다.
35,9/S9051.DAT,0x47E58,83,48,안델 대신: 앞으로는 지금 건설 중인 팔렌시아 타워에서 국민에게 지시를 내리겠습니다.
35,8/S8041.DAT,0x47B5A,97,62,"카사토르: 이용할 수 있는 것은 철저히 이용하고, 살 가치도 없는 어린것들을 없애는 게 뭐가 나쁘지?"
35,8/S8013.DAT,0x48124,101,66,"초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 수메리아의 토우빌, 하나는 아라라토스의 유적 던전,"
35,8/S8013.DAT,0x47E52,99,64,초핀: 포코 님의 악기는 전부 여섯 개라고 들었습니다. 모두 찾으면 상당히 강한 부대가 될 수 있겠군요.
35,7/S7012.DAT,0x49136,101,66,"초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 수메리아의 토우빌, 하나는 아라라토스의 유적 던전,"
35,7/S7012.DAT,0x48E64,99,64,초핀: 포코 님의 악기는 전부 여섯 개라고 들었습니다. 모두 찾으면 상당히 강한 부대가 될 수 있겠군요.
35,6/S6051.DAT,0x47BA8,74,39,라마다 산의 경전을 원하는 모양이다만 산 안에는 한 걸음도 들여놓을 수 없다.
35,6/S6014.DAT,0x4963E,101,66,"초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 수메리아의 토우빌, 하나는 아라라토스의 유적 던전,"
35,6/S6014.DAT,0x4936C,99,64,초핀: 포코 님의 악기는 전부 여섯 개라고 들었습니다. 모두 찾으면 상당히 강한 부대가 될 수 있겠군요.
35,5/S5013.DAT,0x49692,101,66,"초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 수메리아의 토우빌, 하나는 아라라토스의 유적 던전,"
35,5/S5013.DAT,0x493C0,99,64,초핀: 포코 님의 악기는 전부 여섯 개라고 들었습니다. 모두 찾으면 상당히 강한 부대가 될 수 있겠군요.
35,5/S5013.DAT,0x480D0,80,45,초핀: 아이템 던지기는 반격당하지 않으므로 강한 적에게도 안전한 공격 수단입니다.
35,4/S4035.DAT,0x47EEA,87,52,다음 정령은 아리바샤에 있다. 그곳에는 물의 정령을 계속 지키는 사류족이라는 일족이 있다.
35,32/S3062.DAT,0x47D3A,73,38,베미의 정령: 당신이 무엇을 하지 않으면 안 되는지는 당신이 정할 일입니다.
35,32/S3061.DAT,0x481DE,73,38,베미의 정령: 당신이 무엇을 하지 않으면 안 되는지는 당신이 정할 일입니다.
35,31/S3014.DAT,0x486CA,101,66,"초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 수메리아의 토우빌, 하나는 아라라토스의 유적 던전,"
35,31/S3014.DAT,0x483F8,99,64,초핀: 포코 님의 악기는 전부 여섯 개라고 들었습니다. 모두 찾으면 상당히 강한 부대가 될 수 있겠군요.
35,31/S3014.DAT,0x47108,80,45,초핀: 아이템 던지기는 반격당하지 않으므로 강한 적에게도 안전한 공격 수단입니다.
35,31/S3013.DAT,0x4855E,77,42,승무원: 또 자유롭게 돌아다닐 수 있는 곳에서는  를 여러 곳에서 눌러 보십시오.
35,22/S2055.DAT,0x47F2E,85,50,모르겠습니다. 다만 정령은 토우빌로 돌아가면 아버지가 남긴 메시지가 있다고 말했습니다.
35,22/S2046.DAT,0x4881A,82,47,"무슨 소리냐!! 남쪽 바다에 떠 있는 이 세상의 낙원, 클라프 섬을 모른단 말이냐, 네놈!"
35,21/S2045.DAT,0x493D4,99,64,초핀: 포코 님의 악기는 전부 여섯 개라고 들었습니다. 모두 찾으면 상당히 강한 부대가 될 수 있겠군요.
35,21/S2045.DAT,0x480E4,80,45,초핀: 아이템 던지기는 반격당하지 않으므로 강한 적에게도 안전한 공격 수단입니다.
35,21/S2041.DAT,0x480B4,76,41,승무원: 밀마나를 황폐하게 만드는 몬스터들은 우리나라보다 강력하다고 합니다.
35,21/S2014.DAT,0x47DF2,91,56,"병사1: 팔렌시아의 안전을 위해 주민을 가려서, 군의 허가 없이는 드나들지 못하게 할 모양이야."
34,F/SF0B1.DAT,0x47978,91,57,국왕: 몬스터가 날뛰고 이상한 일이 계속되는 지금에 와서 형님의 말과 이 전설이 떠오르는구나.
34,B/SB022.DAT,0x47B82,77,43,하늘의 목소리: 그 사이를 파고드는 몬스터들 때문에 멸망을 향해 나아가고 있다.
34,8/S8011.DAT,0x4809E,83,49,남자: 저는 이 나라에 오래전부터 살며 줄곧 물의 정령님을 지켜 온 사류족 사람입니다.
34,7/S7023.DAT,0x48524,77,43,대회 위원: 오늘은 동료에게 일을 떠넘겨 버렸지. 덕분에 느긋하게 있을 수 있어.
34,5/S5021.DAT,0x47C48,81,47,인간이 새로이 역사를 시작한 최초의 장소에는 빛의 정령이 지금도 있다고 전해진다네.
34,5/S5013.DAT,0x47F80,106,72,"초핀: 아이템, 장신구, 특수 능력은 커서로 고르고 있을 때 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다."
34,5/S5012.DAT,0x4842E,81,47,그러고 보니 그레이시느의 라마다에는 신기한 힘을 지닌 일단이 있다는 이야기가 있어.
34,4/S4036.DAT,0x47E40,85,51,5대 정령의 돌을 모은 뒤에는 네 운명이 크게 움직일 것이다. 결코 굴하지 말고 맞서 다오.
34,4/S4011.DAT,0x487EA,70,36,"너희 같은 인간의 목숨을 아무렇지도 않게 여기는 놈들을 쳐죽이기 전에는,"
34,32/S3066.DAT,0x47DA2,80,46,베미의 정령: 그리고 그 사람의 아이는 긴 시간을 거쳐 그 죄의 무게를 알게 됩니다.
34,32/S3066.DAT,0x47D2A,103,69,"베미의 정령: 이 숲도 아리바샤의 사막도, 한 번 무너진 자연의 조화는 부술 때만큼 쉽게 돌아오지 않습니다."
34,32/S3061.DAT,0x47D12,74,40,베미의 정령: 심한 상처를 입고 이 숲으로 도망쳐 온 그를 내가 도와주었어요.
34,31/S3031.DAT,0x47FDE,73,39,"방금 말한, 신기한 힘을 지닌 전사가 우리입니다. 나이는 관계없지 않습니까?"
34,31/S3014.DAT,0x46FB4,106,72,"초핀: 아이템, 장신구, 특수 능력은 커서로 고르고 있을 때 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다."
34,31/S3012.DAT,0x4823C,100,66,"초핀: 그곳의 마물은 이야기가 진행되어도 강해지지 않으니, 수련할 사람의 수준에 맞춰 장소를 고르세요."
34,23/S2082.DAT,0x47A56,84,50,대신: 먼저 그놈의 아버지가 보내온 메시지가 도착하는 토우빌을 철저히 조사하겠습니다.
34,22/S2052.DAT,0x47D26,87,53,대신: 너희 같은 아이들만으로 저 부대를 전멸시킨 몬스터를 쓰러뜨릴 수 있을 리가 없잖아.
34,21/S2045.DAT,0x47F94,106,72,"초핀: 아이템, 장신구, 특수 능력은 커서로 고르고 있을 때 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다."
34,21/S2042.DAT,0x4823C,100,66,"초핀: 그곳의 마물은 이야기가 진행되어도 강해지지 않으니, 수련할 사람의 수준에 맞춰 장소를 고르세요."
33,F/SF021.DAT,0x48212,73,40,인간의 무지는 때때로 많은 불행을 낳는다. 하지만 인간은 배우고 알 수 있어.
33,B/SB022.DAT,0x47BBA,79,46,하늘의 목소리: 이대로라면 몬스터와 함께 인간도 이 세상에서 사라지게 될 것이다.
33,B/SB022.DAT,0x47B48,79,46,하늘의 목소리: 너희들의 미래는 자신의 욕망에 사로잡혀 자신을 잃어버린 인간들과
33,B/SB022.DAT,0x479C2,87,54,하늘의 목소리: 그러나 너희 인간은 역사를 거듭하는 사이 그 마음을 잊고 힘을 잃어버렸다.
33,8/S8041.DAT,0x47A1C,87,54,카사토르: 네놈이 적국 스메리아의 전사인가. 여기저기서 우리를 방해하고 있는 모양이구나.
33,8/S8021.DAT,0x480D0,72,39,사류족 남자: 갑시다. 장로님에게서 들어 주셨으면 하는 이야기가 있습니다.
33,8/S8013.DAT,0x47C4C,75,42,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...
33,7/S7022.DAT,0x487F6,74,41,출전자: 바람의 오브를 손에 넣은 자에게는 반드시 불행이 찾아온다고 들었다.
33,7/S7012.DAT,0x48C5E,75,42,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...
33,6/S6014.DAT,0x49166,75,42,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...
33,5/S5013.DAT,0x491BA,75,42,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...
33,4/S4034.DAT,0x47F1E,69,36,"그렇게 말하고 싶지만, 이 돌은 하나만으로는 아무 효과도 없는 모양이야."
33,31/S3022.DAT,0x47FD4,89,56,병사: 과연 우리 대장군! ...하지만 장군이 몬스터와 싸우는 건 한 번도 본 적이 없단 말이지.
33,31/S3014.DAT,0x481F2,75,42,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...
33,31/S3013.DAT,0x484AC,89,56,승무원: 한 번 다녀온 뒤에도 갈 수 있는 길이 이어진 장소에는 여러 번인가 찾아가 보십시오.
33,31/S3012.DAT,0x483E0,99,66,"초핀: 그 밖에 분열하는 몬스터는 HP가 절반이 되지만, 쓰러뜨렸을 때 받는 경험치는 변하지 않습니다."
33,22/S2055.DAT,0x47FD8,84,51,국왕: 알겠다. 너는 형의 메시지에 따라 행동해 다오. 할 수 있는 일은 무엇이든 하겠다.
