japanese,decided,category,file,offset,korean
ミルマーナ,미르마나,place,21/S2045.DAT,0x48972,|아라라토스 유적|밀마나의 이후|라마다 수행|그만
ミルマーナ,미르마나,place,21/S2045.DAT,0x48CB2,"초핀: 밀마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다."
ミルマーナ,미르마나,place,22/S2054.DAT,0x4792E,밀마나의 보고를 하러 왔습니다.
ミルマーナ,미르마나,place,22/S205C.DAT,0x47D6E,수메리아 왕: 네 아버지 요슈아를 밀마나로 보내 둔 것은
ミルマーナ,미르마나,place,23/S2081.DAT,0x4799A,대신: 그자는 밀마나로 향하고 있습니다.
ミルマーナ,미르마나,place,23/S2082.DAT,0x47890,대신: 아크가 밀마나에서 돌아왔습니다.
ミルマーナ,미르마나,place,31/S3014.DAT,0x47996,|아라라토스 유적|밀마나의 이후|라마다 수행|그만
ミルマーナ,미르마나,place,31/S3014.DAT,0x47CD6,"초핀: 밀마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다."
ミルマーナ,미르마나,place,31/S3031.DAT,0x47BDC,야군: 밀마나 국군 본부 장군 야군입니다. 토요케 숲에 가고 싶으셨지요?
ミルマーナ,미르마나,place,4/S4031.DAT,0x47CDE,밀마나의 정령에게 들었겠지. 인간의 역사가 끝나려 하고 있다.
ミルマーナ,미르마나,place,4/S4033.DAT,0x48256,수메리아도 밀마나도 몬스터가 없어지지 않네.
ミルマーナ,미르마나,place,5/S5013.DAT,0x4895E,|아라라토스 유적|밀마나의 이후|라마다 수행|그만
ミルマーナ,미르마나,place,5/S5013.DAT,0x48C9E,"초핀: 밀마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다."
ミルマーナ,미르마나,place,6/S6014.DAT,0x4890A,|아라라토스 유적|밀마나의 이후|라마다 수행|그만
ミルマーナ,미르마나,place,6/S6014.DAT,0x48C4A,"초핀: 밀마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다."
ミルマーナ,미르마나,place,6/S6054.DAT,0x450F6,|밀마|스메|아라라|카델
ミルマーナ,미르마나,place,7/S7012.DAT,0x48402,|아라라토스 유적|밀마나의 이후|라마다 수행|그만
ミルマーナ,미르마나,place,7/S7012.DAT,0x48742,"초핀: 밀마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다."
ミルマーナ,미르마나,place,E5/SE05A.DAT,0x48CEC,"밀마나의 루와지의 숲, 카카라스의 숲, 셈바라의 늪"
ミルマーナ,미르마나,place,F/SF091.DAT,0x47BB0,"형님은 이십 년 전 전쟁을 막으려 밀마나로 떠났고,"
ミルマーナ,미르마나,place,F/SF0B1.DAT,0x479E4,"국왕: 아크여, 포코와 둘이 밀마나의 토요케 숲에 가서 형님이 무엇을 보았는지,"
アーク,아크,character,1/S1021.DAT,0x47A26,어머니: 아!
アーク,아크,character,1/S1021.DAT,0x47AD6,어머니: 그걸 가져가도 별로 좋은 일은 없을 텐데.
アーク,아크,character,1/S1021.DAT,0x47B7E,어머니: 모처럼 준 거니까 꼭 장비해서 쓰렴.
アーク,아크,character,1/S1021.DAT,0x47CDE,어머니: 아버지의 갑옷과 검은 안쪽 방 상자에 있어.
アーク,아크,character,1/S1021.DAT,0x48250,어머니: 네 아버지는... 죽었단다.
アーク,아크,character,1/S1021.DAT,0x48308,어머니: 산에는 분명 무서운 괴물이 있어...
アーク,아크,character,1/S1021.DAT,0x48512,어머니: 그이가 떠난 지 십 년... 결국 그이 말대로 됐구나.
アーク,아크,character,1/S1021.DAT,0x485E8,어머니: 여보... 정말 가야만 해요?
アーク,아크,character,1/S1021.DAT,0x4863C,"아버지: 이해해 줘, 포르타. 이 세계의 운명이 걸린 일이야."
アーク,아크,character,1/S1021.DAT,0x486F8,아버지: 미안하오. 하지만 내가 아니면...
アーク,아크,character,1/S1021.DAT,0x4874E,어머니: 싫어요! 난 평범한 행복만 있으면 돼요...
アーク,아크,character,1/S1021.DAT,0x48818,어머니: 산이 날뛴다고요?
アーク,아크,character,1/S1021.DAT,0x4885A,아버지: 봉인됐던 괴물이 나타날 거다.
アーク,아크,character,1/S1022.DAT,0x478DC,어머니: ...
アーク,아크,character,1/S1022.DAT,0x47940,어머니: 너도 떠나는 거니?
アーク,아크,character,1/S1022.DAT,0x47A62,어머니: 몸조심하렴. 힘들면 언제든 돌아오고.
アーク,아크,character,1/S1023.DAT,0x478BC,어머니: 지치면 언제든 돌아오렴.
アーク,아크,character,1/S1023.DAT,0x47952,어머니: 아버지가 남긴 편지가 있는데 읽어 볼래?|괜찮아|읽는다
アーク,아크,character,1/S1023.DAT,0x479C0,어머니: 무리하지 말거라.
アーク,아크,character,1/S1023.DAT,0x481DC,어머니: 네 힘으로 어떻게든 해 보렴.
アーク,아크,character,1/S1023.DAT,0x48306,어머니: 정말 너한테는 못 당하겠구나...
アーク,아크,character,1/S1023.DAT,0x484C6,어머니: 이제 정말 아무것도 없어...
アーク,아크,character,1/S1023.DAT,0x4853C,어머니: 예전엔 저런 아이가 아니었는데...
パレンシア,파렌시아,place,1/S1011.DAT,0x4799E,해가 바뀌면 팔렌시아 성에서 마중이 올 거야. 그게 우리 일족의 규율이야...
パレンシア,파렌시아,place,1/S1022.DAT,0x479A2,별일 아니야. 왕의 부름을 받아 팔렌시아로 가는 것뿐이야.
パレンシア,파렌시아,place,1/S1061.DAT,0x47C3E,아크: 난 마을을 떠날 거야. 팔렌시아성에 가면 뭔가 알 수 있겠지.
パレンシア,파렌시아,place,21/S2011.DAT,0x4791A,여기가 팔렌시아성인가...
パレンシア,파렌시아,place,21/S2011.DAT,0x47BAC,"병사: 꼬마야, 팔렌시아성에는 무슨 일이지? 여긴 아이들 놀이터가 아니다!"
パレンシア,파렌시아,place,21/S2014.DAT,0x47D4C,"병사1: 자세히는 모르지만, 대신이 발령한 팔렌시아 개조 계획에 반대했다는군."
パレンシア,파렌시아,place,21/S2014.DAT,0x47DB2,팔렌시아 개조 계획?
パレンシア,파렌시아,place,21/S2014.DAT,0x47DF2,"병사1: 팔렌시아의 안전을 위해 주민을 가려서, 군의 허가 없이는 드나들지 못하게 할 모양이야."
パレンシア,파렌시아,place,22/S2047.DAT,0x48042,"우리는 지금부터 팔렌시아 성으로 돌아가지만, 이제 여기에 다시 돌아오지 못할지도 몰라."
パレンシア,파렌시아,place,22/S2052.DAT,0x47D9C,병사: 보고드립니다! 마물들이 팔렌시아성으로 진격 중입니다. 곧 성에 도달합니다!
パレンシア,파렌시아,place,4/S4011.DAT,0x486E0,병사1: 우선 팔렌시아의 대청소부터다.
パレンシア,파렌시아,place,4/S4021.DAT,0x47992,병사1: 팔렌시아 최고의 경호원도 잘됐군.
パレンシア,파렌시아,place,4/S4022.DAT,0x47A0C,병사2: 대신이 밀고 있는 팔렌시아 개조 계획에 맞선 죄로 말이지.
パレンシア,파렌시아,place,4/S4036.DAT,0x47D8E,"아크야, 마지막 정령은 수메리아의 팔렌시아에 있다."
パレンシア,파렌시아,place,8/S8012.DAT,0x48260,팔렌시아 성 지하에 마지막 불의 돌이 있었다니.
パレンシア,파렌시아,place,9/S9051.DAT,0x47B0C,아나운서: 도적들은 팔렌시아 성을 폭파한 뒤 도주했습니다.
パレンシア,파렌시아,place,9/S9051.DAT,0x47E58,안델 대신: 앞으로는 지금 건설 중인 팔렌시아 타워에서 국민에게 지시를 내리겠습니다.
パレンシア,파렌시아,place,9/S9051.DAT,0x47EBA,안델 대신: 먼저 오늘부터 팔렌시아에 계엄령을 내립니다.
パレンシア,파렌시아,place,D/SD013.DAT,0x47A2C,"소문은 팔렌시아 왕도까지 퍼졌고, 아크는 성으로 불려 갔다."
パレンシア,파렌시아,place,D/SD031.DAT,0x46306,어쨌든 팔렌시아로 돌아가자!
パレンシア,파렌시아,place,F/SF081.DAT,0x47996,"부하: 형님, 저는 여기서 보는 팔렌시아가 제일 좋습니다."
チョンガラ,총가라,character,22/S2046.DAT,0x480B0,"자자, 이 촌가라 님에게 맡기거라."
チョンガラ,총가라,character,5/S5025.DAT,0x47BB4,"잠깐, 왜 촌가라가 두 명이나 있는 거야!?"
チョンガラ,총가라,character,6/S6011.DAT,0x47FFC,"촌가라, 그 수상한 일행에 관해서 가르쳐 줄 수 없나?"
チョンガラ,총가라,character,6/S6054.DAT,0x45002,|초핀|초비|초스케|초카라
チョンガラ,총가라,character,6/S6054.DAT,0x45874,라마다 승: 스톤 서클에서 촌가라가 찾은 아이템은?
チョンガラ,총가라,character,7/S7021.DAT,0x4921C,|촌가라|다음 페이지|그만두기|밖으로 나가기
チョンガラ,총가라,character,7/S7028.DAT,0x48666,|촌가라|다음 페이지|그만두기|밖으로 나가기
チョンガラ,총가라,character,D/SD031.DAT,0x4672A,촌가라의 굉장한 아이템을 빼앗았다!
チョンガラ,총가라,character,E5/SE05A.DAT,0x48C8A,나랑 놀고 싶을 때는 촌가라 씨의 항아리로 불러 줘!
レベル,레벨,stat,1/S1023.DAT,0x47C3C,그 장소의 괴물은 진행해도 바뀌지 않는다. 원하는 수련 수준에 맞춰 장소를 고르면 된다.
レベル,레벨,stat,21/S2042.DAT,0x4823C,"초핀: 그곳의 마물은 이야기가 진행되어도 강해지지 않으니, 수련할 사람의 수준에 맞춰 장소를 고르세요."
レベル,레벨,stat,31/S3012.DAT,0x4823C,"초핀: 그곳의 마물은 이야기가 진행되어도 강해지지 않으니, 수련할 사람의 수준에 맞춰 장소를 고르세요."
サングラス,선글래스,accessory,C2/SC0B6.DAT,0x46F98,|슬리플리스 카트|안티헤모지|거울|선글라스
サングラス,선글래스,accessory,C2/SC0B6.DAT,0x471D2,선글라스를 손에 넣었다.
サングラス,선글래스,accessory,C2/SC0B6.DAT,0x47E34,선글라스를 손에 넣었다.
勇者の証,용자의 증표,accessory,22/S2055.DAT,0x47B58,국왕: 이것은 틀림없이 수메리아 왕가에 전해지는 용사의 증표.
勇者の証,용자의 증표,accessory,32/S3061.DAT,0x48302,용사의 증표를 손에 넣었다.
アララトス,아라라토스,place,6/S6054.DAT,0x450F6,|밀마|스메|아라라|카델
ケラック,케라크,summon,4/S4036.DAT,0x48422,케락은 언제나 꺼내 두고 레벨 업시키는 편이 좋아.
ねばねば,끈끈이,item,6/S6054.DAT,0x458CE,|대단함|고장|찌그러진|달라붙음
