unit,rows,japanese,korean
56,2,◇ハイパーフーツ◇を手にいれた。,
57,2,◇いやしのお守り◇を手にいれた。,
58,2,◇貝がら◇を手にいれた。,
59,2,◇幻のこて◇を手にいれた。,
60,2,石を手に入れた!,
61,1,・・ふう 何も起こらなかつたじゃない。,
62,1,アークデーモン 今度こそ、◇聖柩◇の封印を 解く気のようだな 勇者よ!,
63,1,アークデーモン ◇聖柩◇はサルバシオの滝に 置いてある。,
64,1,アイテムがあります。 ◇薬草◇をみつけました。,
65,1,アイテムがあります。 ◇石◇をみつけました。,
66,1,ここにあつた◇石◇はもうひろいました。,
67,1,アイテムがあります。 ◇魔法のカート◇をみつけました。,
68,1,◇カイザーグローフ◇をもらいました。,
69,1,◇回復果物◇をもらいました。,
70,1,◇しつぷうのバンダナ◇をもらいました。,
71,1,アークの母 父さんの置き手紙があるけどよむかい？ ベつにいい。 よむ。,
72,1,強くなるためには 作戦をたてるには 敵からダメージを受けないためには1 次のページ,
73,1,森や洞窟などでは、思わぬところから 敵がきてやられるこがある。,
74,1,自分のターンの時に、LRボタンを同時におしてフリーカーソルにして、,
75,1,分れつするモンスターは、 HPが半分になるが、倒した時にもらえる経験値は変わらない。,
76,1,◇ちからの実◇をもらいました。,
77,1,◇パロの実◇をもらいました。,
78,1,◇いのちの木の実◇をもらいました。,
79,1,山の精霊 すつとここで◇聖柩◇(せいひつ)を 封印(ふういん)する 炎を見守つて来ました。,
80,1,山の精霊 ◇聖柩◇の力を 手に入れるこによつて・・。,
81,1,スメリアは 和の力をもつて働く国。 ワイト家は和するための 糸をつむぎおる家。,
82,1,ワイト家の娘は 強きささえとなるよこ糸。 世落ちる時、 火のぼるいきおいのたて糸現れ、,
83,1,私には分かる。 あなたはたて糸で 私のしたがう道なのよ。,
84,1,私はその道を 歩いていくような気がするの。,
85,1,村長 おお、待ちかねたぞ。,
86,1,村長 フフフ・・うまくいつた。 アンデル大臣にたつぷりと ほうびをもらわねば・・。,
87,1,遊びに来たんじゃない。 俺はトウヴィルから来たアーク。王様に呼ばれたんだ。,
88,1,兵士 トウヴィルのアーク。 こんな子供だつたのか・・。,
89,1,お、 と・ と・ と・ と,
90,1,大臣 トウヴィルのアーク、入るがよい。,
91,1,エリアMAPをオープンしますか？ オープンする オープンしない,
92,1,乗員 自分のターンの時に、LRボタンを同時におすとフリーカーソルになります。,
93,1,乗員 他には、分れつするモンスターは、HPが半分になりますが、倒した時にもらえる 経験値は変わりません。,
94,1,来たか来たか 待つておつたぞ。 おぬしがいないとこれから先 つらいからのう。,
95,1,そうじゃ、魂はめぐる。 かつてスメリアに◇聖柩◇を運んできた仲聞が再び集まるのじゃ。,
96,1,チョピン ロマンシングストーンのある場所がわかりました。1つはスメリアのトウヴィル・1つは遺跡ダンジョン、1つはゴーゲン様が、最後の1つはアークさんの父上が持つてらつしゃつたみたいですね。,
97,1,このまま戻れば捕まつちまうぞ。,
98,1,ほお・・ なんと・・・ そりゃいいわい!,
99,1,いやー着いた。 着いたぞー!!,
100,1,ごほつ・ ごほつ・ ごほ・ ごほつ 空気のきたない国であるな。,
101,1,アイヤー、 失礼をばつかまつつた!!,
102,1,連らくを入れようと思つたンじゃがねえ、 飛行船の通信機の調子が悪うてのふ。,
103,1,はて？ 身分証明書とな？ ソレハ、ナンデスカイナ？,
104,1,な、何と無礼な! こちらの方をどなたと心得る。,
105,1,爺、 言つてやつて、言つてやつて。,
106,1,ぶっつかもん!!なんようにうかぶこの世の楽えん、クラーフ島を知らんてか、おぬし!,
107,1,その島をおさめてらつしゃるのが この方のお父上、王の中の王!! トン・シラン・ノデスケト様なのだベさ。,
108,1,なーにを言つとるのかね チミィ？,
109,1,あーつかれたわ、 うーーー。,
110,1,え？,
111,1,うがあっっっ! どないひょーーー!!,
112,1,なに？,
113,1,はかとな!？,
114,1,兵士 ？,
115,1,ちつ 愛想のねえ野郎どもだぜ。,
116,1,国王 アークよ、お前にたのみがある。わが国に伝わる◇聖柩◇(せいひつ)にかするものだ・・。,
117,1,大臣 ここから北にいくと ニルボ平原という場所がある。,
118,1,ニルボ平原の モンスター討伐(とうばつ)の 報告に来ました。,
119,1,国王 では、この聞話しかけた ◇聖柩◇(せいひつ)を、おまえに さがしてもらおうと思うのじゃが・・。,
120,1,兵士 大臣に報告いたします 謀反人(むほんにん)トッシュを 地下牢に捕らえました,
121,1,国王 これはまさしく、 スメリア王家に伝わる◇勇者の証し◇。,
122,1,国王 ◇聖柩◇(せいひつ)と精霊と兄との聞にどんなか係があるというのだ？,
123,1,わかりません。 ただ、精霊はトウヴィルに戻れば父からのメッセージがあると 言つていました。,
124,1,大臣 なに! 討伐隊をだし、すぐに捕まえよ!,
125,1,国王 早くトウヴィルに向かい兄のメッセージを受け取つてくれ。,
126,1,◇荒獅子太鼓◇を手に入れた。,
127,1,国王 なんとしても、わしの目のくろいうちに ◇聖柩◇を手に入れてくれ。,
128,1,スメリア王 やつは ロマリアが 送り込んだ男だつた・・。,
129,1,スメリア王 この国に モンスターを 呼び起こし 国を混乱させていたのも、,
130,1,スメリア王 やつらは ◇聖柩◇(せいひつ)をねらつている。 ◇聖柩◇の力を 渡してはならん。,
131,1,スメリア王 おまえの父 ヨシュアを ミルマーナに送り込んだのは,
132,1,スメリア王 兄に ・ ・ 一言 あやまりた か つ た ・ ・ ・ ・。,
133,1,言%て,
134,1,見%て,
135,1,助けて・ 助けて・ 助けて・・。 死にたくないよう。,
136,1,俺はアーク。 トウヴィルからやつてきて とりあえすモンスター退治を 手伝うように王に命じられたんだ,
137,1,親父、やすらかに眠つてくれ。,
138,1,かたなの精霊 おまえの技には◇怒り◇しかない。,
139,1,大臣 スメリア王は、トウヴィルのアークという少年に◇聖柩◇を探させるようです。,
140,1,鏡 おまえの小細工が、勇者を めざめさせてしまつたのではないのか？,
141,1,鏡 ◇聖柩◇をおろかな人聞どもに 渡してはならん。,
142,1,大臣 ます、ヤツの父親からのメッセージが届くトウヴィルをてつてい的に調ベます。,
143,1,チョピン 何か私でお力になれるこはありますか？ ベつにない。 ちょつと教えてほしい。,
144,1,どうすれば強くなれるの？ 何か戦いのニツはあるの？ やつっり、いいや。,
145,1,乗員 フリーカーソルでマップをチェック してますか？ 自分のターンでLR同時おしですよ。,
146,1,乗員 妖樹も、ふえる時にHPが半分に なりますが、倒した時にもらえる 経験値は変わりませんよ。,
147,1,乗員 また、自由に歩き回れる場所では、 をいろんな所でおしてみて下さい。,
148,1,チョピン アイテムで投げてダメージを与えるものは石・小さい爆弾・大きい爆弾の3つです。,
149,1,チョピン ゴーゲン様のキートウオールの魔法の火に◇大きい爆弾◇を投げ込むと大爆発が 起こるそうです。,
150,1,◇カカラスの森◇は行かなくていいのかな。,
151,1,兵士 ◇ルワジの森◇と◇センバラの沼◇に いくのか。 あそこのモンスターは強いぞ。,
152,1,兵士 ます◇カカラスの森◇で力だめしでも してみたらどうだ。,
153,1,兵士 さすがわれらが大将軍! ・・でも、将軍がモンスターと戦うのを 一度もみたこないなっ。,
154,1,兵士 出発なさいますか？ 出発する やつっりやめる,
155,1,あなたは、行かなくていいわよ。ここで眠つてなさい。,
156,1,そうだな。 行こう。,
157,1,兵士 ◇カカラスの森◇のモンスターだつたら おまえらでも勝てるだろ？,
158,1,兵士 森にいきたいんだつて？ あそこには軍の定期ゆ送列車でしか行けないぜ。,
159,1,兵士 列車は主に食ベ物のゆ送に使つている。,
160,1,兵士 まじめに言つてるのかつて？ 失礼な!,
161,1,のダメージ,
162,1,今言つた、不思議な力を持つ戦士が俺達です。 年はか係ないでしょう？,
163,1,そうよ。 あんたみたいに 腹が出た将軍より りつっに戦えるはすだわ!,
164,1,ヤグン ・・いいでしょう。 あなたがたの力を見せてもらいましょう。,
165,1,ヤグン みなさんを ◇ルワジの森◇、◇センバラの沼◇ の2か所に案内させます。,
166,1,ベみの精霊 そう、スメリアの皇太子だつた ヨシュア王子、 あなたのお父さんよ。,
167,1,えー!! アークのお父さんが、 王様だつたかもしれないの？,
168,1,ちょつと待つて! 人は本当に滅亡するの？,
169,1,◇勇者の証し◇を手に入れた。,
170,1,ベみの精霊 さあ、 スメリアのトウヴィルに戻りなさい。,
171,1,父さんは・、 父さんは生きているのかい？,
172,1,ベみの精霊 さっ、トウヴィルへ向かいなさい。,
173,1,ベみの精霊 彼は、あそこで、あなたがたの歴史を 見続けていたのです。,
174,1,ベみの精霊 忘れられても、 とじこめられても・・。,
175,1,兵士1 大王が最も恐 れていた国とは とても思えんな。,
176,1,兵士2 ああ、 王家の力も落ちている。,
177,1,どうなつてるんだ？ 兵士がモンスターだなんて・・？,
178,1,モンスター対罪人・ ・ ・ どつちが悪いやつなの？,
179,1,戦う相手は決まつたな。 いくぞ!,
180,1,何だか知らねえが 力がみなぎつてきた。 もうてめえらに負ける気が しないぜ!,
181,1,ところであなた、 どうして捕まつたの？,
182,1,おまえらにはか係ない。,
183,1,兵士2 改造するのさ、 住みやすくな。,
184,1,ミルマーナの精霊から聞いているだろう 人の歴史が終ろうとしているのだ。,
185,1,我々を救う◇聖柩◇はスメリアにある。 しかし、その力を手に入れる為には,
186,1,精霊にもう一度心を開かせる役目を 果たして欲しい。,
187,1,おまえのこれからの旅の助けになる 古の伝記は、トウヴィルのおくの,
188,1,自らの力で道をきり開いてくれ。,
189,1,◇次の精霊はグレイシーヌに◇ よみますか？ よむ よまない,
190,1,私は手紙を今後もここに送り続ける。 おまえも時々見に来てくれ。,
191,1,戦闘のときは をいつしょにおすとフリーカーソルになるよ。,
192,1,フリーカーソルのときは をおすともとにもどるよ。,
193,1,としかのお。 さいきんよくものを わすれるんじゃが。,
194,1,わしのすかんは役に立つぞ。 あたらしく見つけたモンスターはできるだけ◇調ベる◇ようにするこつた。,
195,1,◇次の精霊はカーデルに◇ よみますか？ よむ よまない,
196,1,手紙の中にアイテムが入つています。 ◇ロマンシングストーン◇を手に入れました,
197,1,◇投げる◇のレベルが2になるとあたつたときのダメージが大きくなるよ。,
198,1,魔法がレベルアップすると、効果の匠囲が変わることがあるんじゃが、,
199,1,このときに匠囲そのものを 動かせるようになることもあるんじゃ。,
200,1,◇次の精霊はアリバーシャに◇ よみますか？ よむ よまない,
201,1,◇最後の精霊はスメリアに◇ よみますか？ よむ よまない,
202,1,表面に何かあるぞ。,
203,1,石に眠りし記憶を認めし者 その力をもつて我が意にこたえよ。,
204,1,こつちも商売だからねェ。,
205,1,光の石 ・ ・ ・ 東 方 の ・ ラ マ ダの ・ 地 に ・ 大 地 の 力 が ・ 眠 る。,
206,1,つまり、わしら人聞の歴史が 始まつた場所ということだ。,
207,1,人があらたに歴史を始めた 最初の場所には光の精霊が今もいるといわれているんじゃ。,
208,1,父さんもこの地にいたんだ。 無か係じゃないだろう。,
209,1,そこの地下5階にある ◇召喚のつぼ◇を取つて来て 欲しいんじゃ。,
210,1,地下5階にある ◇召喚のつぼ◇じゃぞ。,
211,1,見こ、◇召喚のつぼ◇を 手に入れたようだな。,
212,1,たしかに◇召喚のつぼ◇だ。 しかし、なんで、精霊なんぞに 会いたいんじゃ？,
213,1,まあ、お前にわかるように言えば人聞の未来の為というこかのう？,
214,1,光の精霊 人聞の代表として君に聞いて欲しい。,
215,1,光の精霊 アーク、他の精霊達を封じ込めている モンスターを倒して、彼らを開放し、,
216,1,光の精霊 その証しとして◇光の石◇と◇王様の像◇を渡すよ。,
217,1,◇光の石◇を手に入れた。,
218,1,◇王様の像◇を手に入れた。,
219,1,それは、家来のてがらを自分のものにできるという◇王様の像◇ではないか。,
220,1,わしのじゃぞ! ◇王様の像◇はわしのじゃぞ!!,
221,1,何じゃ？,
222,1,地の石 ・ ・ ・ 西 方 の ・ カー デ ルの ・ 地に ・ 封 じ 込 め ら れ し ・ 風の 力 。,
223,1,カーデルなら、毎年武闘大会があつて、そこの賞品が ◇風のオーフ◇というものだつたように記憶しておるが？,
224,1,◇風のオーフ◇？古のものではないな ・ ・ ・。 聞いたことがない。,
225,1,ラマダ僧 以後、寺は修行の場として 広く開放してゆくつもりです。,
226,1,みてみて ◇向き直りの笛◇を手にいれちゃつた,
227,1,では、 ますラマダ山まで案内してもらおうかのう,
228,1,そこでの修練にたえた者は はがねのように強じんな体と ◇気◇というものを使つて,
229,1,大僧正 目的はラマダ山の精霊の救出か ・ ・ ・ ・ ・。,
230,1,大僧正様、 お話がございます。,
231,1,何をおつしゃいますか？ ただ私はこの寺の教えが・・。,
232,1,鏡に映るあなたの姿は 大僧正でもなんでもない ただのモンスターよ!,
233,1,大僧正 ベャー!,
234,1,これが、 本山の姿なのか・・。,
235,1,地の精霊 ラマダの技は 大地と大気の力を◇気◇として出す技 大地への感謝によつて可能になるものだ。,
236,1,地の精霊 いかにも この技は、人聞同士の争いこのために 授けたのではない。,
237,1,地の精霊 自分達がすう空気、食ベる物と同じ様に いつの聞にか、当然自分達が得られるものと思い込むからゆがみ始める。,
238,1,地の精霊 このこを、忘れるでないぞ その約束のもとに◇地の石◇を渡そう。,
239,1,◇地の石◇を手に入れた。,
240,1,ラマダ山の経典を欲しいらしいが山の中には一歩も入れるわけにはいかん。,
241,1,経典？ 我々は山に住む精霊と話をしたいだけだ。,
242,1,我々も、ちとわけありでのう ゆするわけにはいかんのじゃ。,
243,1,よかろう 小ざかしいこを考えるでないぞ。,
244,1,こつちとしても頼もしいんだけど ・ ・ ・ 。,
245,1,ありがとう ・ ・ ・ 。,
246,1,私はこの人達との旅の後 再びここに戻り 一からやり直したいと思う。,
247,1,後を頼む!,
248,1,ラマダ僧 首都の軍オフィスには、実は地下50階のダンジョンが・・,
249,1,ラマダ僧 ラマダ寺でとびらが開いたときに中に見える人の数は？,
250,1,◇古代のゆびわ◇をもらいました。,
251,1,◇幻獣の牙◇をもらいました。,
252,1,ラマダ僧 これはこれは。 グリーンスライムバスターのかたがた。,
253,1,ラマダ僧 これはこれは。 エレメンタルバスターのかたがた。,
254,1,ラマダ僧 これはこれは。 トールマスターバスターのかたがた。,
255,1,ラマダ僧 これはこれは。 ジャイアントバットバスターのかたがた。,
256,1,ラマダ僧 これはこれは。 フリージーバスターのかたがた。,
257,1,ラマダ僧 これはこれは。 野生へモジーバスターのかたがた。,
258,1,ラマダ僧 これはこれは。 ヴァンパイアバットバスターのかたがた。,
259,1,ラマダ僧 これはこれは。 デスフレイムバスターのかたがた。,
260,1,ラマダ僧 これはこれは。 道化師バスターのかたがた。,
261,1,ラマダ僧 これはこれは。 アシットスライムバスターのかたがた。,
262,1,ラマダ僧 これはこれは。 エレメンタルマスターバスターのかたがた。,
263,1,まつたく、爺いのぼけにも 冷や冷やさせられるぜ。,
264,1,わかつてるんだか わかつてないんだか 区別がつかない所が 困るのよね。,
265,1,ふふつ、 ふふつ、 ふふつ、 ふふつ,
266,1,石は次の石に我々を導く・・。,
267,1,風の石 ・ ・ ・ 砂 漠 の ・ ア リ バ ー シャ の ・ 地で ・ 忘れ ら れ し ・ 水の 力 。,
268,1,今回は、国しかわからないか ・ ・ とにかく行つてみてから考えよう。,
269,1,ただいまニロシアムでは、 武闘大会を開さいしております。,
270,1,まもなく開会のあいさつが始まります。 お急ぎ下さい。,
271,1,チョピン 何が知りたいですか？,
272,1,出場者 おれが出るからには、◇風のオーフ◇はもらつたようなものだな。,
273,1,出場者 ◇風のオーフ◇を手に入れた者には 必す不幸がおとすれると聞く。,
274,1,出場者 それでも手に入れたいと考えるのは その欲しさゆえか。,
275,1,大会委員 今日は仲聞に仕こをおしつけてやつたよ。おかげでゆつくりできる。,
276,1,出場者 この世界には、◇地の石◇◇水の石◇◇火の石◇◇風の石◇◇光の石◇とかいう石があつて、,
277,1,出場者 5つ集めると何かおこるらしいぞ。,
278,1,出場者 ◇トルノ・デ・バンニ◇だが ヤツは人聞らしさのかけらもない 戦闘マシンだと思つた方がいいぞ。,
279,1,大会委員 試合前には準備運動を忘れないで下さいね。,
280,1,大会委員 試合開始直後に何もせすにたおれる人もいるんですよ。,
281,1,出場者 おまえもここまで残つたのか。 なかなかやるな。 だが、◇トルノ・デ・バンニ◇は強いぞ。,
282,1,大会委員 今回は今までになくせつせんでした。 しかし、どちらが残つても、◇トルノ・デ・バンニ◇には勝てないでしょうね。,
283,1,・ ・ えくすぷろーおじょん!!(怒),
284,1,大会委員 一応、 これで最後ですからね。 がんばりましょう。 ああいそがしい、いそがしい。,
285,1,大会委員 今回の賞品はあの◇風のオーフ◇ですからね。 手に入れてどうしようつてんでしょうね？,
286,1,まあまあまあ、 まままま。,
287,1,出場者 おれが出るからには、 ◇風のオーフ◇はもらつたようなものだな,
288,1,時聞が逆戻りしている人がいる ・ ・ ・ 。,
289,1,そんなことのために やつてるんじゃないよ。 まつたく。,
290,1,ロクトール しかし、 オーフは このまま 渡すわけにはいかないですよ。,
291,1,こうして 毎回優勝者を後から殺しては 賞品のオーフを奪い返して,
292,1,ロクトール お嬢さん、お察しのとおりですよ。,
293,1,ロクトール では、死んでもらいましょう。,
294,1,ようやつたのう。,
295,1,まあそれは、ぼくらもこうして来ているわけだし ・ ・ ・。,
296,1,出場者 ◇風のオーフ◇を手に入れたそうじゃないか。先をこされたな。,
297,1,出場者 え、 勝つたつて？ そんなばかな。,
298,1,◇クラヴィスの本◇をもらいました。,
299,1,ロクトール おめでとう、あなたが真の勇者だ。 さあ、賞品の◇風のオーフ◇を渡そう。,
300,1,ロクトール ポニさんはよくがんばつてくれましたのでこれもさしあげましょう。,
301,1,◇おもちゃのゆびわ◇を手に入れた,
302,1,ロクトール チャンピオンに 大きなはく手を・・。,
303,1,ロクトール お集まりのみなさん。,
304,1,ロクトール この武闘大会の賞品は あの◇風のオーフ◇です。,
305,1,ロクトール 古くは キンダム王国で 造られ、,
306,1,ロクトール その後 王位を継いで その 持ち主になる者は 必す 底業(ひごう)の死をとげ、,
307,1,ロクトール 王家滅亡後も 権力者や 富豪(ふごう)の聞に その欲しさと 恐怖で かたり 継がれて きたものです。,
308,1,ロクトール まさに、 この 血で血を争う 武闘大会の勝者に ふ さ わ し い も の で は な い で し ょ う か ？,
309,1,ロクトール しかし、 この大会の勝者には もう一つの 試練(しれん)が待つている!。,
310,1,ロクトール 前回 のチャンピオン ◇トルノ・デ・バンニ◇を 倒さなくてはならないのです。,
311,1,ロクトール さあ、 それでは 生と 死をかけた 戦いの火ぶたを 切 つ て 落 と そ う で は あ り ま せ ん か !。,
312,1,男 スメリアのアークさんですね。,
313,1,はい。 あなたは？,
314,1,男 私は、この国に古くから住んで すつと水の精霊様を守つている サリュ族の者です。,
315,1,男 ヨシュア様からあなたを 我々の村へご案内するように と言われております。,
316,1,男 はい、ヨシュア様には 大変お世話になりました。 さ、こちらへどうぞ。,
317,1,さあ、残りはあと1つだ。 ゴーゲン、次の目的地は？,
318,1,石は次の石に我々を導く・・ 。,
319,1,水の石 ・ ・ ・ 精 霊 の 国 スメ リ アの ・ 地の ・ 城 の 下 に 嘆き し ・ 火の 力 。,
320,1,パレンシア城の地下に 最後の火の石があつたなんて。,
321,1,◇嘆きし◇なんて言つてるしね。,
322,1,あの城にはびこつている ヤツ等を一掃するチャンスだ。 俺はのつたぜ!,
323,1,サリュ族の男 アゼンダ高地から来た我々の祖先が 最初に住んだ場所です。,
324,1,サリュ族の男 空港から大きな建物が見えたでしょう。,
325,1,サリュ族の男 む・村が、 村が・・。,
326,1,サリュ族の男 な、なんてことだ!？,
327,1,サリュ族の男 長老・・ 。,
328,1,ひどい・・ 。 ひ ど すぎる・・ 。,
329,1,待て! お前をその神殿に 入れるわけにはいかない!,
330,1,邪魔？ あなた達のやつているこが この世界を どんどん悪くしているのよ。,
331,1,カサトール 俺と勝負がしたくば 勝つて神殿まで来い! 来られればの話だがな。,
332,1,きさまら、くさつてる! く さ り きつてる!!,
333,1,カサトール ふつ! 弱いやつほどよくほえる 。 よかろう、望みどおり始動してやる。,
334,1,◇水の石◇を手に入れた。,
335,1,水の精霊 その子は 風の精霊からあすかつた◇フウジン◇ 役に立つ奴だから連れていきな。,
336,1,◇大きい爆弾◇をもらいました。,
337,1,◇みなぎる果実◇をもらいました。,
338,1,◇乱れる宝石◇をもらいました。,
339,1,◇気合いラッパ◇をもらいました。,
340,1,逃げ切れたと思つているのか!,
341,1,所長 ははっ、トウヴィルから 来たとかいう小僧だな。,
342,1,所長 炎の精霊を取り返しにきたのか？ よし、ここで始動してやる。,
343,1,げ炎誰 ゃわで。大ー出・るっ・う!そ,
344,1,げ炎誰 勇、ちッぜ 感 てろな,
345,1,げ炎誰 すす見、め分取ヨきが。サうりがたー終老らかな攻いク霊こえく底て ゃういがなアて、だだをぶ望てる出んな,
346,1,アナウンサー 賊はパレンシア城を爆破の動に 逃走しました。,
347,1,アナウンサー 賊はトウヴィル村出身の アーク・エダ・リニルヌを 首謀者とする7人で、,
348,1,アンデル大臣 この混乱が落ち着くまで 臨時安全委員会を設立し 国家運営を行います。,
349,1,アンデル大臣 ます 本日より パレンシアに戒厳令をしきます。,
350,1,アンデル大臣 大変、不幸なこ状ですが 国民には冷静な対処を認めます。,
351,1,聖柩 われの力を認めし者よ その時が来たというならば力をかそう。,
352,1,天の声 滅亡を防ぐための最後の力などない。 ここにあるのは、かつておまえたちが 持つていた力。,
353,1,天の声 しかしおまえたち人聞は 歴史をかさねるうちに その心を忘れ力を失つてしまつた。,
354,1,天の声 ◇聖柩◇の中にある宝とはすなわち ここまでの苦難を乗りこえ,
355,1,天の声 見聞き、そして悲しみ、苦しみ 成長してきたアーク、お前自身だ。,
356,1,アークは◇勇者の力◇を手に入れた。,
357,1,ククルは◇聖母の力◇を手に入れた。,
358,1,天の声 アークよ、得た力を使い 他の仲聞と力をあわせ 人々を気付かせみちびくのだ。,
359,1,天の声 そしてククルよ おまえはこれより、世界からとじる トウヴィルに残り,
360,1,天の声 目ざめた民の力を集め アークを守り支えるのだ。,
361,1,地の精霊 学んでおるようじゃな。 わきまえた者には自然も力を与える。 わしら精霊とて例外ではない。,
362,1,火の精霊 今こそ、お前達の言葉である、 ◇人聞の自らの過ちを正す勇気◇ を見せてもらうときじゃ。,
363,1,天の声 さあ、ゆくがよい。 未来はお前達が切り開くのだ。,
364,1,れまは、やイリいへ滅国中が 治つえ・うな,
365,1,暗い方誰 真忘こ民近軍いザ いれレ売庫か大かたなだだ あんいす、がタるやイリつ滅・るたうル,
366,1,暗い方誰 食るこ欲て て動心、よてる食るこ天ん軍いルらな,
367,1,暗い方誰 てがてやイリ人◇す、特皇こ ラんー国 よい心こ急とルこ結・るてで・うな,
368,1,暗い方誰 投去貴い死 あん商りすさかえ国、だだでをい呪 こ供く 精、入敵ゃ、よてるかてチ、,
369,1,暗い方誰 呪てチ素炎てるサうれまはやイ達示らな,
370,1,暗い方誰 よてる食るい欲さん心こ滅・う人◇う国かいらな,
371,1,暗い方誰 わあ達。つ滅タ最ゃルこ来 さんつアたな,
372,1,れまはす考聞いルこ来 っとう,
373,1,ははきす助俺いルこ来 っとう,
374,1,暗い方誰 だい場ふす達。い男長らつ て戦。と、 こ入結・るたん人◇リり,
375,1,暗い方誰 よだ タつ伝動ぞおじモまリ ア・る真忘 動つる違ンをたんな,
376,1,暗い方誰 だいででをすぞおじモまりヌ 人◇もだい場ふが。使精過んをあろーな,
377,1,暗い方誰 れまはア道うルこ時た専いベ◇り ルて、人闘こへ許が王神？いらな,
378,1,暗い方誰 よてるははきア、やイすだとアく けんめ分取ヨき 幻く,
379,1,暗い方誰 役 っう剣い多築 こ野くよだこ天んいらな,
380,1,力いク霊誰 試ンをやんアーけスかなやいとこえゃで精う聞 す達用もルこ鏡精んなえて。ク霊りる弾雷をすかたな,
381,1,加いク霊誰 あンうリこ入るる人◇こ召て入確てうアなつン戦ンかわたアな,
382,1,父いク霊誰 わる、だとが。つ光ゆい備 びけスなえて。も食乱ゴ 来こ さな由石 船とるだた,
383,1,持いク霊誰 回だよ、やイリい会キをあんの人◇い達。い涙国こ備さ考へしこ入王るも。ーュけスな,
384,1,上いク霊誰 れまは、葉す無いフけううくい人◇ら・うなをもだーてるん◇ も◇倒・う母こ違ンをたん人リもたんな,
385,1,上いク霊誰 よとこ備王んいす葉う国てがたかたなさ戦。てた相サこAトてるんアな,
386,1,暗い方誰わあ、テ？つアたな相サすやイリつ頂く能？いらな,
387,1,ククルはとじるトウヴィルに入り、 勇者アークをささえるのだ。,
388,1,先に進めば もう戻れなくなるかもしれない。,
