char,unicode,method,source_ink,output_ink,density_ratio,source_components,output_components,source_edge_ink
론,U+B860,crop14,67,67,1.3061,2,2,0
온,U+C628,crop14,58,58,1.3061,2,2,0
는,U+B294,crop14,47,47,1.3061,3,3,0
봉,U+BD09,crop14,69,69,1.3061,2,2,0
용,U+C6A9,crop14,69,69,1.3061,2,2,0
꽃,U+AF43,crop14,66,66,1.3061,2,2,0
동,U+B3D9,crop14,65,65,1.3061,2,2,0
뛟,U+B6DF,crop14,112,111,1.2945,3,3,1
쀎,U+C00E,crop14,112,112,1.3061,3,3,0
쀏,U+C00F,crop14,112,112,1.3061,3,3,0
쮊,U+CB8A,crop14,113,111,1.2830,3,3,2
쮋,U+CB8B,crop14,113,111,1.2830,3,3,2
그,U+ADF8,crop14,30,30,1.3061,2,2,0
느,U+B290,crop14,30,30,1.3061,2,2,0
스,U+C2A4,crop14,31,31,1.3061,2,2,0
끄,U+B044,crop14,36,36,1.3061,2,2,0
고,U+ACE0,crop14,37,37,1.3061,2,2,0
괄,U+AD04,nearest14,72,58,1.0522,3,2,1
유,U+C720,nearest14,59,45,0.9962,2,2,0
물,U+BB3C,nearest14,79,56,0.9259,2,2,0
인,U+C778,nearest14,56,44,1.0262,3,3,0
엄,U+C5C4,nearest14,71,53,0.9750,3,3,0
마,U+B9C8,nearest14,56,40,0.9329,2,2,1
촌,U+CD0C,nearest14,61,45,0.9635,2,2,0
들,U+B4E4,nearest14,70,52,0.9703,3,3,0
속,U+C18D,nearest14,55,40,0.9499,2,2,0
롭,U+B86D,nearest14,81,58,0.9352,2,2,0
론,U+B860,nearest14,67,50,0.9747,2,2,0
온,U+C628,nearest14,58,42,0.9458,2,2,0
는,U+B294,nearest14,47,33,0.9171,3,3,0
봉,U+BD09,nearest14,69,47,0.8897,2,2,0
용,U+C6A9,nearest14,69,51,0.9654,2,2,0
꽃,U+AF43,nearest14,66,41,0.8114,2,2,0
동,U+B3D9,nearest14,65,48,0.9645,2,2,0
뛟,U+B6DF,nearest14,112,79,0.9213,3,3,1
쀎,U+C00E,nearest14,112,78,0.9096,3,4,0
쀏,U+C00F,nearest14,112,78,0.9096,3,4,0
쮊,U+CB8A,nearest14,113,79,0.9131,3,3,2
쮋,U+CB8B,nearest14,113,79,0.9131,3,3,2
그,U+ADF8,nearest14,30,21,0.9143,2,2,0
느,U+B290,nearest14,30,22,0.9578,2,2,0
스,U+C2A4,nearest14,31,23,0.9691,2,2,0
끄,U+B044,nearest14,36,25,0.9070,2,2,0
고,U+ACE0,nearest14,37,28,0.9884,2,2,0
괄,U+AD04,area35,72,67,1.2154,3,2,1
유,U+C720,area35,59,50,1.1069,2,2,0
물,U+BB3C,area35,79,74,1.2235,2,2,0
인,U+C778,area35,56,46,1.0729,3,3,0
엄,U+C5C4,area35,71,59,1.0854,3,3,0
마,U+B9C8,area35,56,53,1.2362,2,2,1
촌,U+CD0C,area35,61,49,1.0492,2,2,0
들,U+B4E4,area35,70,65,1.2128,3,3,0
속,U+C18D,area35,55,49,1.1636,2,2,0
롭,U+B86D,area35,81,82,1.3222,2,2,0
론,U+B860,area35,67,63,1.2281,2,2,0
온,U+C628,area35,58,48,1.0809,2,2,0
는,U+B294,area35,47,37,1.0282,3,3,0
봉,U+BD09,area35,69,63,1.1925,2,2,0
용,U+C6A9,area35,69,59,1.1168,2,2,0
꽃,U+AF43,area35,66,62,1.2270,2,2,0
동,U+B3D9,area35,65,54,1.0851,2,2,0
뛟,U+B6DF,area35,112,96,1.1195,3,3,1
쀎,U+C00E,area35,112,97,1.1312,3,3,0
쀏,U+C00F,area35,112,97,1.1312,3,3,0
쮊,U+CB8A,area35,113,98,1.1327,3,3,2
쮋,U+CB8B,area35,113,98,1.1327,3,3,2
그,U+ADF8,area35,30,28,1.2190,2,2,0
느,U+B290,area35,30,24,1.0449,2,2,0
스,U+C2A4,area35,31,25,1.0533,2,2,0
끄,U+B044,area35,36,33,1.1973,2,2,0
고,U+ACE0,area35,37,35,1.2355,2,2,0
괄,U+AD04,area50,72,57,1.0340,3,2,1
유,U+C720,area50,59,49,1.0847,2,2,0
물,U+BB3C,area50,79,65,1.0747,2,2,0
인,U+C778,area50,56,44,1.0262,3,3,0
엄,U+C5C4,area50,71,56,1.0302,3,3,0
마,U+B9C8,area50,56,44,1.0262,2,2,1
촌,U+CD0C,area50,61,49,1.0492,2,2,0
들,U+B4E4,area50,70,56,1.0449,3,3,0
속,U+C18D,area50,55,43,1.0212,2,2,0
롭,U+B86D,area50,81,65,1.0481,2,2,0
론,U+B860,area50,67,54,1.0527,2,2,0
온,U+C628,area50,58,48,1.0809,2,2,0
는,U+B294,area50,47,37,1.0282,3,3,0
봉,U+BD09,area50,69,61,1.1547,2,2,0
용,U+C6A9,area50,69,59,1.1168,2,2,0
꽃,U+AF43,area50,66,50,0.9895,2,2,0
동,U+B3D9,area50,65,54,1.0851,2,2,0
뛟,U+B6DF,area50,112,94,1.0962,3,3,1
쀎,U+C00E,area50,112,95,1.1079,3,3,0
쀏,U+C00F,area50,112,95,1.1079,3,3,0
쮊,U+CB8A,area50,113,96,1.1096,3,3,2
쮋,U+CB8B,area50,113,96,1.1096,3,3,2
그,U+ADF8,area50,30,22,0.9578,2,2,0
느,U+B290,area50,30,24,1.0449,2,2,0
스,U+C2A4,area50,31,25,1.0533,2,2,0
끄,U+B044,area50,36,26,0.9433,2,2,0
고,U+ACE0,area50,37,29,1.0237,2,2,0
