char,index,row,column,plane,location,occurrences,codes,original_plane_nonblank,original_text_used
승,141,1,14,1,COMM.IMG,204,8E,1,1
가,142,1,14,2,COMM.IMG,771,8F,1,1
가,143,1,14,3,COMM.IMG,303,90,1,1
었,144,1,15,0,COMM.IMG,236,91,1,1
말,145,1,15,1,COMM.IMG,229,92,1,1
려,146,1,15,2,COMM.IMG,223,93,1,1
내,147,1,15,3,COMM.IMG,359,94,1,1
아,148,1,16,0,COMM.IMG,979,95,1,1
무,149,1,16,1,COMM.IMG,241,96,1,1
십,150,1,16,2,COMM.IMG,259,97,1,1
모,151,1,16,3,COMM.IMG,277,98,1,1
르,152,1,17,0,COMM.IMG,196,99,1,1
경,153,1,17,1,COMM.IMG,212,9A,1,1
군,154,1,17,2,COMM.IMG,172,9B,1,1
일,156,1,18,0,COMM.IMG,203,9D,1,1
크,157,1,18,1,COMM.IMG,218,9E,1,1
힘,158,1,18,2,COMM.IMG,186,9F,1,1
크,159,1,18,3,COMM.IMG,172,A0,1,1
없,160,1,19,0,COMM.IMG,194,A1,1,1
입,161,1,19,1,COMM.IMG,166,A2,1,1
러,162,1,19,2,COMM.IMG,176,A3,1,1
조,163,1,19,3,COMM.IMG,144,A4,1,1
왕,164,1,20,0,COMM.IMG,208,A5,1,1
심,165,1,20,1,COMM.IMG,76,A6,1,1
구,166,1,20,2,COMM.IMG,151,A7,1,1
버,167,1,20,3,COMM.IMG,212,A8,1,1
하,168,2,0,0,COMM.IMG,665,A9,1,1
물,169,2,0,1,COMM.IMG,200,AA,1,1
몬,170,2,0,2,COMM.IMG,221,AB,1,1
하,171,2,0,3,COMM.IMG,195,AC,1,1
데,172,2,1,0,COMM.IMG,160,AD | E9 07,1,1
않,173,2,1,1,COMM.IMG,181,AE,1,1
거,174,2,1,2,COMM.IMG,243,AF,1,1
거,175,2,1,3,COMM.IMG,350,B0,1,1
돌,176,2,2,0,COMM.IMG,191,B1,1,1
부,177,2,2,1,COMM.IMG,196,B2,1,1
병,178,2,2,2,COMM.IMG,160,B3,1,1
제,179,2,2,3,COMM.IMG,220,B4,1,1
원,180,2,3,0,COMM.IMG,168,B5,1,1
회,181,2,3,1,COMM.IMG,162,B6,1,1
와,182,2,3,2,COMM.IMG,154,B7,1,1
올,183,2,3,3,COMM.IMG,116,B8,1,1
때,184,2,4,0,COMM.IMG,140,B9,1,1
때,185,2,4,1,COMM.IMG,25,BA,1,1
위,186,2,4,2,COMM.IMG,137,BB,1,1
때,187,2,4,3,COMM.IMG,155,BC,1,1
리,188,2,5,0,COMM.IMG,463,BD,1,1
네,189,2,5,1,COMM.IMG,166,BE,1,1
분,190,2,5,2,COMM.IMG,135,BF,1,1
리,191,2,5,3,COMM.IMG,195,C0,1,1
출,192,2,6,0,COMM.IMG,182,C1,1,1
되,193,2,6,1,COMM.IMG,186,C2,1,1
손,194,2,6,2,COMM.IMG,156,C3,1,1
겠,195,2,6,3,COMM.IMG,278,C4,1,1
할,196,2,7,0,COMM.IMG,174,C5,1,1
음,197,2,7,1,COMM.IMG,145,C6,1,1
예,198,2,7,2,COMM.IMG,130,C7,1,1
넣,199,2,7,3,COMM.IMG,217,C8,1,1
촌,200,2,8,0,COMM.IMG,99,C9,1,1
촌,201,2,8,1,COMM.IMG,53,CA,1,1
유,202,2,8,2,COMM.IMG,146,CB,1,1
촌,203,2,8,3,COMM.IMG,64,CC,1,1
상,204,2,9,0,COMM.IMG,144,CD,1,1
장,205,2,9,1,COMM.IMG,190,CE,1,1
장,206,2,9,2,COMM.IMG,88,CF,1,1
장,207,2,9,3,COMM.IMG,139,D0,1,1
토,208,2,10,0,COMM.IMG,158,D1,1,1
변,209,2,10,1,COMM.IMG,164,D2,1,1
세,210,2,10,2,COMM.IMG,145,D3,1,1
마,211,2,10,3,COMM.IMG,359,D4,1,1
을,212,2,11,0,COMM.IMG,785,D5,1,1
을,213,2,11,1,COMM.IMG,40,D6,1,1
을,214,2,11,2,COMM.IMG,51,D7,1,1
을,215,2,11,3,COMM.IMG,341,D8,1,1
안,216,2,12,0,COMM.IMG,133,D9,1,1
운,217,2,12,1,COMM.IMG,149,DA,1,1
너,218,2,12,2,COMM.IMG,155,DB,1,1
호,219,2,12,3,COMM.IMG,125,DC,1,1
목,257,3,1,1,COMM.IMG,67,DD 26,1,1
많,263,3,2,3,COMM.IMG,28,DD 2C,1,1
즘,289,3,9,1,COMM.IMG,4,DD 46,1,1
잃,308,3,14,0,COMM.IMG,5,DD 59,1,1
록,360,4,6,0,COMM.IMG,38,DD 8D,1,1
렸,384,4,12,0,COMM.IMG,32,DD A5,1,1
델,411,4,18,3,COMM.IMG,18,DD C0,1,1
양,426,5,1,2,COMM.IMG,35,DD CF,1,1
던,460,5,10,0,COMM.IMG,68,DD F1,1,1
셔,501,5,20,1,COMM.IMG,3,DE 1B,1,1
센,526,6,5,2,COMM.IMG,1,DE 34,1,1
눈,527,6,5,3,COMM.IMG,14,DE 35,1,1
변,534,6,7,2,COMM.IMG,2,DE 3C,1,1
길,539,6,8,3,COMM.IMG,33,DE 41,1,1
떤,560,6,14,0,COMM.IMG,15,DE 56,1,1
득,565,6,15,1,COMM.IMG,2,DE 5B,1,1
후,570,6,16,2,COMM.IMG,28,DE 60,1,1
율,573,6,17,1,COMM.IMG,2,DE 63,1,1
바,581,6,19,1,COMM.IMG,99,DE 6B,1,1
닐,600,7,3,0,COMM.IMG,4,DE 7E,1,1
휩,603,7,3,3,COMM.IMG,1,DE 81,1,1
탑,622,7,8,2,COMM.IMG,1,DE 94,1,1
씀,630,7,10,2,COMM.IMG,11,DE 9C,1,1
뇨,637,7,12,1,COMM.IMG,1,DE A3,1,1
깁,657,7,17,1,COMM.IMG,2,DE B7,1,0
옛,659,7,17,3,COMM.IMG,11,DE B9,1,0
회,673,8,0,1,COMM.IMG,5,DE C7,1,1
확,674,8,0,2,COMM.IMG,13,DE C8,1,1
풍,675,8,0,3,COMM.IMG,8,DE C9,1,1
품,676,8,1,0,COMM.IMG,36,DE CA,1,1
폭,677,8,1,1,COMM.IMG,31,DE CB,1,1
튼,678,8,1,2,COMM.IMG,18,DE CC,1,1
템,679,8,1,3,COMM.IMG,41,DE CD,1,1
텐,680,8,2,0,COMM.IMG,5,DE CE,1,1
큼,681,8,2,1,COMM.IMG,11,DE CF,1,1
커,682,8,2,2,COMM.IMG,18,DE D0,1,1
춰,683,8,2,3,COMM.IMG,4,DE D1,1,1
점,684,8,3,0,COMM.IMG,22,DE D2,1,1
잠,686,8,3,2,COMM.IMG,17,DE D4,1,1
웬,687,8,3,3,COMM.IMG,19,DE D5,1,1
웠,688,8,4,0,COMM.IMG,17,DE D6,1,1
옷,690,8,4,2,COMM.IMG,5,DE D8,1,1
올,691,8,4,3,COMM.IMG,1,DE D9,1,1
옆,692,8,5,0,COMM.IMG,4,DE DA,1,1
엄,693,8,5,1,COMM.IMG,13,DE DB,1,1
쓴,694,8,5,2,COMM.IMG,3,DE DC,1,1
슈,695,8,5,3,COMM.IMG,29,DE DD,1,1
쉽,697,8,6,1,COMM.IMG,4,DE DF,1,1
쇠,698,8,6,2,COMM.IMG,3,DE E0,1,1
브,699,8,6,3,COMM.IMG,23,DE E1,1,1
별,700,8,7,0,COMM.IMG,18,DE E2,1,1
벗,701,8,7,1,COMM.IMG,3,DE E3,1,1
범,702,8,7,2,COMM.IMG,7,DE E4,1,1
번,703,8,7,3,COMM.IMG,58,DE E5,1,1
름,704,8,8,0,COMM.IMG,11,DE E6,1,1
렴,705,8,8,1,COMM.IMG,9,DE E7,1,1
련,706,8,8,2,COMM.IMG,24,DE E8,1,1
뛸,707,8,8,3,COMM.IMG,1,DE E9,1,1
뛴,708,8,9,0,COMM.IMG,3,DE EA,1,1
듭,709,8,9,1,COMM.IMG,3,DE EB,1,1
덮,710,8,9,2,COMM.IMG,1,DE EC,1,1
눌,711,8,9,3,COMM.IMG,3,DE ED,1,1
녀,712,8,10,0,COMM.IMG,35,DE EE,1,0
낼,713,8,10,1,COMM.IMG,13,DE EF,1,1
꿔,714,8,10,2,COMM.IMG,3,DE F0,1,1
꼭,715,8,10,3,COMM.IMG,2,DE F1,1,1
글,716,8,11,0,COMM.IMG,13,DE F2,1,1
검,717,8,11,1,COMM.IMG,20,DE F3,1,1
걱,718,8,11,2,COMM.IMG,6,DE F4,1,1
갚,719,8,11,3,COMM.IMG,6,DE F5,1,1
았,721,8,12,1,COMM.IMG,69,DE F7,1,1
향,722,8,12,2,COMM.IMG,23,DE F8,1,1
흩,724,8,13,0,COMM.IMG,2,DE FA,1,1
훨,725,8,13,1,COMM.IMG,3,DE FB,1,1
황,726,8,13,2,COMM.IMG,9,DE FC,1,1
화,728,8,14,0,COMM.IMG,23,DE FE,1,1
푼,730,8,14,2,COMM.IMG,12,DF 01,1,1
포,731,8,14,3,COMM.IMG,26,DF 02,1,1
평,732,8,15,0,COMM.IMG,10,DF 03,1,1
퍼,733,8,15,1,COMM.IMG,4,DF 04,1,0
판,734,8,15,2,COMM.IMG,5,DF 05,1,0
틀,735,8,15,3,COMM.IMG,18,DF 06,1,0
테,736,8,16,0,COMM.IMG,25,DF 07,1,1
태,737,8,16,1,COMM.IMG,16,DF 08,1,1
탁,738,8,16,2,COMM.IMG,17,DF 09,1,1
큰,739,8,16,3,COMM.IMG,30,DF 0A,1,1
칠,740,8,17,0,COMM.IMG,8,DF 0B,1,1
처,741,8,17,1,COMM.IMG,33,DF 0C,1,1
찌,742,8,17,2,COMM.IMG,7,DF 0D,1,1
짓,743,8,17,3,COMM.IMG,14,DF 0E,1,1
짊,744,8,18,0,COMM.IMG,2,DF 0F,1,1
진,745,8,18,1,COMM.IMG,48,DF 10,1,0
직,746,8,18,2,COMM.IMG,36,DF 11,1,1
즐,747,8,18,3,COMM.IMG,1,DF 12,1,0
죽,748,8,19,0,COMM.IMG,33,DF 13,1,1
져,749,8,19,1,COMM.IMG,42,DF 14,1,1
접,750,8,19,2,COMM.IMG,13,DF 15,1,1
읽,751,8,19,3,COMM.IMG,7,DF 16,1,1
움,752,8,20,0,COMM.IMG,41,DF 17,1,1
왜,753,8,20,1,COMM.IMG,11,DF 18,1,1
옥,754,8,20,2,COMM.IMG,8,DF 19,1,1
예,755,8,20,3,COMM.IMG,2,DF 1A,1,1
였,756,9,0,0,COMM.IMG,15,DF 1B,1,0
연,757,9,0,1,COMM.IMG,26,DF 1C,1,0
엇,758,9,0,2,COMM.IMG,29,DF 1D,1,1
얽,759,9,0,3,COMM.IMG,1,DF 1E,1,1
악,760,9,1,0,COMM.IMG,18,DF 1F,1,1
씬,761,9,1,1,COMM.IMG,2,DF 20,1,0
씨,762,9,1,2,COMM.IMG,45,DF 21,1,1
썼,763,9,1,3,COMM.IMG,1,DF 22,1,1
쌓,764,9,2,0,COMM.IMG,8,DF 23,1,1
싶,765,9,2,1,COMM.IMG,51,DF 24,1,1
심,766,9,2,2,COMM.IMG,2,DF 25,1,1
실,767,9,2,3,COMM.IMG,71,DF 26,1,1
쉬,769,9,3,1,COMM.IMG,4,DF 28,1,1
숨,770,9,3,2,COMM.IMG,15,DF 29,1,1
솟,771,9,3,3,COMM.IMG,5,DF 2A,1,1
셨,772,9,4,0,COMM.IMG,22,DF 2B,1,1
섯,773,9,4,1,COMM.IMG,14,DF 2C,1,1
섬,774,9,4,2,COMM.IMG,5,DF 2D,1,1
삼,775,9,4,3,COMM.IMG,6,DF 2E,1,1
빨,776,9,5,0,COMM.IMG,13,DF 2F,1,1
붙,777,9,5,1,COMM.IMG,12,DF 30,1,1
북,778,9,5,2,COMM.IMG,5,DF 31,1,1
봤,779,9,5,3,COMM.IMG,3,DF 32,1,1
복,780,9,6,0,COMM.IMG,8,DF 33,1,1
밖,781,9,6,1,COMM.IMG,22,DF 34,1,1
믿,782,9,6,2,COMM.IMG,22,DF 35,1,1
몸,783,9,6,3,COMM.IMG,12,DF 36,1,1
몬,784,9,7,0,COMM.IMG,3,DF 37,1,1
매,785,9,7,1,COMM.IMG,15,DF 38,1,1
막,786,9,7,2,COMM.IMG,26,DF 39,1,1
림,787,9,7,3,COMM.IMG,8,DF 3A,1,1
럼,789,9,8,1,COMM.IMG,51,DF 3C,1,1
뜻,790,9,8,2,COMM.IMG,7,DF 3D,1,1
뛰,791,9,8,3,COMM.IMG,5,DF 3E,1,1
떡,792,9,9,0,COMM.IMG,1,DF 3F,1,1
따,793,9,9,1,COMM.IMG,26,DF 40,1,1
드,794,9,9,2,COMM.IMG,52,DF 41,1,1
둘,795,9,9,3,COMM.IMG,26,DF 42,1,1
됩,796,9,10,0,COMM.IMG,28,DF 43,1,1
될,797,9,10,1,COMM.IMG,22,DF 44,1,1
된,798,9,10,2,COMM.IMG,24,DF 45,1,1
돕,799,9,10,3,COMM.IMG,2,DF 46,1,1
당,800,9,11,0,COMM.IMG,80,DF 47,1,1
담,801,9,11,1,COMM.IMG,4,DF 48,1,1
닫,802,9,11,2,COMM.IMG,6,DF 49,1,1
닙,804,9,12,0,COMM.IMG,10,DF 4B,1,1
닌,805,9,12,1,COMM.IMG,21,DF 4C,1,1
놈,806,9,12,2,COMM.IMG,34,DF 4D,1,0
녔,807,9,12,3,COMM.IMG,3,DF 4E,1,1
널,808,9,13,0,COMM.IMG,6,DF 4F,1,1
넌,809,9,13,1,COMM.IMG,3,DF 50,1,1
났,810,9,13,2,COMM.IMG,11,DF 51,1,1
끝,811,9,13,3,COMM.IMG,30,DF 52,1,1
끌,812,9,14,0,COMM.IMG,7,DF 53,1,1
끊,813,9,14,1,COMM.IMG,3,DF 54,1,1
끄,814,9,14,2,COMM.IMG,8,DF 55,1,1
꼬,815,9,14,3,COMM.IMG,5,DF 56,1,1
꺄,816,9,15,0,COMM.IMG,2,DF 57,1,1
깨,817,9,15,1,COMM.IMG,10,DF 58,1,1
까,818,9,15,2,COMM.IMG,8,DF 59,1,1
침,819,9,15,3,COMM.IMG,12,DF 5A,1,0
굉,820,9,16,0,COMM.IMG,7,DF 5B,1,1
곧,821,9,16,1,COMM.IMG,16,DF 5C,1,1
걷,822,9,16,2,COMM.IMG,2,DF 5D,1,1
외,823,9,16,3,COMM.IMG,8,DF 5E,1,0
갔,825,9,17,1,COMM.IMG,8,DF 60,1,1
밤,827,9,17,3,COMM.IMG,4,DF 62,0,0
문,852,10,3,0,strip_D_remap,25,DF 7B,1,0
머,853,10,3,1,strip_D_remap,43,DF 7C,1,0
뀌,854,10,3,2,strip_D_remap,4,DF 7D,1,0
금,855,10,3,3,strip_D_remap,53,DF 7E,1,0
규,856,10,4,0,strip_D_remap,1,DF 7F,1,0
혼,858,10,4,2,strip_D_remap,12,DF 81,1,0
피,859,10,4,3,strip_D_remap,42,DF 82,1,0
촌,860,10,5,0,strip_D_remap,1,DF 83,1,0
잇,861,10,5,1,strip_D_remap,1,DF 84,1,0
때,862,10,5,2,strip_D_remap,1,DF 85,1,0
결,863,10,5,3,strip_D_remap,53,DF 86,1,0
거,864,10,6,0,COMM.IMG,4,DF 87,1,0
킬,865,10,6,1,COMM.IMG,6,DF 88,1,0
꺼,866,10,6,2,COMM.IMG,10,DF 89,1,0
풀,867,10,6,3,COMM.IMG,8,DF 8A,1,0
팔,868,10,7,0,COMM.IMG,29,DF 8B,1,0
천,869,10,7,1,COMM.IMG,15,DF 8C,1,0
째,870,10,7,2,COMM.IMG,36,DF 8D,1,0
앞,871,10,7,3,COMM.IMG,25,DF 8E,1,0
알,872,10,8,0,COMM.IMG,77,DF 8F,1,0
쓸,873,10,8,1,COMM.IMG,9,DF 90,1,0
싫,874,10,8,2,COMM.IMG,6,DF 91,1,0
새,875,10,8,3,COMM.IMG,10,DF 92,1,0
봉,876,10,9,0,COMM.IMG,21,DF 93,1,0
롭,877,10,9,1,COMM.IMG,5,DF 94,1,0
렌,878,10,9,2,COMM.IMG,22,DF 95,1,0
둔,879,10,9,3,COMM.IMG,29,DF 96,1,0
내,880,10,10,0,COMM.IMG,3,DF 97,1,0
날,881,10,10,1,COMM.IMG,41,DF 98,1,0
꽃,882,10,10,2,COMM.IMG,30,DF 99,1,0
껐,883,10,10,3,COMM.IMG,3,DF 9A,1,0
흥,885,10,11,1,COMM.IMG,5,DF 9C,1,0
헤,886,10,11,2,COMM.IMG,17,DF 9D,1,0
플,887,10,11,3,COMM.IMG,6,DF 9E,1,0
프,888,10,12,0,COMM.IMG,19,DF 9F,1,0
파,889,10,12,1,COMM.IMG,26,DF A0,1,0
텅,890,10,12,2,COMM.IMG,2,DF A1,1,0
털,891,10,12,3,COMM.IMG,2,DF A2,1,0
코,892,10,13,0,COMM.IMG,51,DF A3,1,0
최,893,10,13,1,COMM.IMG,9,DF A4,1,0
쭐,894,10,13,2,COMM.IMG,1,DF A5,1,0
쪽,895,10,13,3,COMM.IMG,43,DF A6,1,0
질,896,10,14,0,COMM.IMG,27,DF A7,1,0
줬,897,10,14,1,COMM.IMG,2,DF A8,1,0
중,898,10,14,2,COMM.IMG,35,DF A9,1,0
줄,899,10,14,3,COMM.IMG,36,DF AA,1,0
좀,900,10,15,0,COMM.IMG,7,DF AB,1,0
젠,901,10,15,1,COMM.IMG,9,DF AC,1,0
잘,902,10,15,2,COMM.IMG,52,DF AD,1,0
워,903,10,15,3,COMM.IMG,41,DF AE,1,0
왔,904,10,16,0,COMM.IMG,32,DF AF,1,0
엘,905,10,16,1,COMM.IMG,5,DF B0,1,0
약,906,10,16,2,COMM.IMG,48,DF B1,1,0
않,907,10,16,3,COMM.IMG,1,DF B2,1,0
써,908,10,17,0,COMM.IMG,24,DF B3,1,0
식,910,10,17,2,COMM.IMG,26,DF B5,1,0
슬,911,10,17,3,COMM.IMG,11,DF B6,1,0
수,912,10,18,0,COMM.IMG,3,DF B7,1,0
송,913,10,18,1,COMM.IMG,13,DF B8,1,0
섞,914,10,18,2,COMM.IMG,1,DF B9,1,0
벌,915,10,18,3,COMM.IMG,19,DF BA,1,0
버,916,10,19,0,COMM.IMG,2,DF BB,1,0
뱀,917,10,19,1,COMM.IMG,1,DF BC,1,0
배,918,10,19,2,COMM.IMG,31,DF BD,1,0
민,919,10,19,3,COMM.IMG,11,DF BE,1,0
며,920,10,20,0,COMM.IMG,14,DF BF,1,0
멘,921,10,20,1,COMM.IMG,4,DF C0,1,0
멋,922,10,20,2,COMM.IMG,3,DF C1,1,0
먼,923,10,20,3,COMM.IMG,23,DF C2,1,0
먹,936,11,3,0,strip_D_remap,9,DF CF,0,1
립,937,11,3,1,strip_D_remap,13,DF D0,0,0
론,938,11,3,2,strip_D_remap,28,DF D1,0,0
레,939,11,3,3,strip_D_remap,26,DF D2,0,0
또,940,11,4,0,strip_D_remap,12,DF D3,0,1
든,941,11,4,1,strip_D_remap,72,DF D4,0,0
더,942,11,4,2,strip_D_remap,28,DF D5,0,0
달,943,11,4,3,strip_D_remap,9,DF D6,0,0
늘,944,11,5,0,strip_D_remap,39,DF D7 | E9 2B,1,0
년,945,11,5,1,strip_D_remap,29,DF D8,1,0
꾸,947,11,5,3,strip_D_remap,20,DF DA,0,0
껏,948,11,6,0,COMM.IMG,6,DF DB,0,0
굴,949,11,6,1,COMM.IMG,7,DF DC,0,0
광,950,11,6,2,COMM.IMG,2,DF DD,0,0
겁,951,11,6,3,COMM.IMG,19,DF DE,0,0
놀,954,11,7,2,COMM.IMG,6,DF E1,1,0
히,957,11,8,1,COMM.IMG,47,DF E4,1,0
희,958,11,8,2,COMM.IMG,56,DF E5,1,0
훌,959,11,8,3,COMM.IMG,6,DF E6,0,0
했,960,11,9,0,COMM.IMG,92,DF E7,1,0
터,961,11,9,1,COMM.IMG,11,DF E8,1,0
카,962,11,9,2,COMM.IMG,54,DF E9,1,0
친,963,11,9,3,COMM.IMG,6,DF EA,1,0
초,964,11,10,0,COMM.IMG,3,DF EB,1,0
첩,965,11,10,1,COMM.IMG,1,DF EC,1,0
찮,966,11,10,2,COMM.IMG,63,DF ED,1,0
쯤,967,11,10,3,COMM.IMG,5,DF EE,1,0
줘,968,11,11,0,COMM.IMG,19,DF EF,1,0
죠,969,11,11,1,COMM.IMG,2,DF F0,1,0
졌,970,11,11,2,COMM.IMG,18,DF F1,1,0
적,971,11,11,3,COMM.IMG,79,DF F2,1,0
쟁,972,11,12,0,COMM.IMG,12,DF F3,1,0
잡,973,11,12,1,COMM.IMG,15,DF F4,1,0
잖,974,11,12,2,COMM.IMG,25,DF F5,1,0
임,975,11,12,3,COMM.IMG,21,DF F6,0,0
응,976,11,13,0,COMM.IMG,15,DF F7,1,0
음,977,11,13,1,COMM.IMG,6,DF F8,1,0
울,978,11,13,2,COMM.IMG,31,DF F9,1,0
운,979,11,13,3,COMM.IMG,9,DF FA,1,0
역,980,11,14,0,COMM.IMG,34,DF FB,1,0
엔,981,11,14,1,COMM.IMG,9,DF FC,1,0
었,982,11,14,2,COMM.IMG,3,DF FD,1,0
애,983,11,14,3,COMM.IMG,15,DF FE,1,0
감,985,11,15,1,COMM.IMG,40,E0 01 | E9 04,1,1
쓰,986,11,15,2,COMM.IMG,31,E0 02,1,0
셋,987,11,15,3,COMM.IMG,20,E0 03,0,1
생,988,11,16,0,COMM.IMG,60,E0 04,1,0
살,990,11,16,2,COMM.IMG,29,E0 06,1,0
뿐,991,11,16,3,COMM.IMG,22,E0 07,0,0
빼,993,11,17,1,COMM.IMG,15,E0 09,1,0
불,994,11,17,2,COMM.IMG,85,E0 0A,1,0
부,995,11,17,3,COMM.IMG,3,E0 0B,0,0
봐,997,11,18,1,COMM.IMG,21,E0 0D,1,0
방,999,11,18,3,COMM.IMG,45,E0 0F,0,0
받,1000,11,19,0,COMM.IMG,81,E0 10,1,1
모,1001,11,19,1,COMM.IMG,12,E0 11,1,0
륭,1002,11,19,2,COMM.IMG,6,E0 12,1,0
것,1003,11,19,3,COMM.IMG,2,E0 13,0,1
게,1004,11,20,0,COMM.IMG,6,E0 14,1,1
려,1005,11,20,1,COMM.IMG,1,E0 15,1,0
겨,1006,11,20,2,COMM.IMG,25,E0 16,1,0
렇,1007,11,20,3,COMM.IMG,51,E0 17,0,0
씩,1017,12,2,1,strip_D_remap,5,E0 21,1,0
구,1020,12,3,0,strip_D_remap,2,E0 24,0,0
러,1021,12,3,1,strip_D_remap,7,E0 25,0,0
국,1022,12,3,2,strip_D_remap,100,E0 26,0,0
뜨,1023,12,3,3,strip_D_remap,16,E0 27,0,0
궤,1024,12,4,0,strip_D_remap,31,E0 28,0,0
그,1025,12,4,1,strip_D_remap,7,E0 29,0,1
긴,1026,12,4,2,strip_D_remap,17,E0 2A,0,0
께,1027,12,4,3,strip_D_remap,80,E0 2B,0,1
남,1028,12,5,0,strip_D_remap,61,E0 2C,1,1
책,1029,12,5,1,strip_D_remap,9,E0 2D,0,0
냐,1030,12,5,2,strip_D_remap,50,E0 2E,1,0
되,1031,12,5,3,strip_D_remap,1,E0 2F,0,0
돼,1032,12,6,0,COMM.IMG,27,E0 30,0,1
데,1033,12,6,1,COMM.IMG,10,E0 31,0,0
너,1034,12,6,2,COMM.IMG,1,E0 32,0,0
넣,1035,12,6,3,COMM.IMG,4,E0 33,0,0
누,1036,12,7,0,COMM.IMG,46,E0 34,1,0
니,1037,12,7,1,COMM.IMG,35,E0 35,1,0
대,1038,12,7,2,COMM.IMG,9,E0 36,1,0
단,1039,12,7,3,COMM.IMG,62,E0 37,0,0
늪,1040,12,8,0,COMM.IMG,4,E0 38,0,1
스,1041,12,8,1,COMM.IMG,13,E0 39,0,0
느,1042,12,8,2,COMM.IMG,33,E0 3A,0,0
들,1043,12,8,3,COMM.IMG,3,E0 3B | E9 3D,0,0
노,1044,12,9,0,COMM.IMG,50,E0 3C,0,0
난,1045,12,9,1,COMM.IMG,40,E0 3D,0,0
끼,1046,12,9,2,COMM.IMG,7,E0 3E,0,0
괜,1047,12,9,3,COMM.IMG,63,E0 3F,0,1
격,1048,12,10,0,COMM.IMG,77,E0 40,0,1
건,1049,12,10,1,COMM.IMG,82,E0 41,0,0
갈,1050,12,10,2,COMM.IMG,28,E0 42,0,0
각,1051,12,10,3,COMM.IMG,42,E0 43,0,0
루,1052,12,11,0,COMM.IMG,58,E0 44 | E9 4A,0,0
류,1053,12,11,1,COMM.IMG,38,E0 45,0,0
르,1054,12,11,2,COMM.IMG,3,E0 46,0,0
린,1056,12,12,0,COMM.IMG,21,E0 48,0,0
만,1057,12,12,1,COMM.IMG,4,E0 49,0,0
망,1058,12,12,2,COMM.IMG,42,E0 4A,0,0
맡,1059,12,12,3,COMM.IMG,25,E0 4B,0,0
면,1060,12,13,0,COMM.IMG,8,E0 4C,0,0
멸,1061,12,13,1,COMM.IMG,19,E0 4D,0,0
