row_number,source_file,offset,classification,target_korean,span_count,control_count,inline_spans,slot_a_spans,slot_b_spans,binary_changed,placement_json,review_status
295,21/S2041.DAT,0x48684,빌드대기,승무원: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.,2,1,0,2,0,1,"[{""mode"":""slot-A"",""bytes"":5,""room"":4,""rows"":1,""slot"":2,""disk_id"":""83"",""span"":0,""text"":""승무원:""},{""mode"":""slot-A"",""bytes"":44,""room"":40,""rows"":2,""slot"":4,""disk_id"":""85"",""span"":1,""text"":""자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.""}]",
308,21/S2042.DAT,0x47FF0,선택지,초핀: 더 도와드릴까요?|괜찮아|하나만 더,6,5,4,0,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":11,""room"":18,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""더 도와드릴까요?""},{""mode"":""inline"",""bytes"":5,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""괜찮아""},{""mode"":""inline"",""bytes"":6,""room"":13,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""하나만 더""}]",
334,21/S2044.DAT,0x4800A,빌드대기,초핀: 여러분의 여행을 도우라는 왕명을 받았습니다.,3,2,3,0,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":14,""room"":18,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""여러분의 여행을 도우라는""},{""mode"":""inline"",""bytes"":13,""room"":13,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""왕명을 받았습니다.""}]",
376,21/S2045.DAT,0x47F94,빌드대기,"초핀: 아이템, 장신구, 특수 능력은 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다.",2,1,2,0,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":57,""room"":65,""rows"":3,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""아이템, 장신구, 특수 능력은 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다.""}]",
385,21/S2045.DAT,0x4834A,선택지,|전투 요령 2|유용한 정보|그만,6,5,2,1,0,1,"[{""mode"":""inline"",""bytes"":8,""room"":12,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""전투 요령 2""},{""mode"":""slot-A"",""bytes"":7,""room"":6,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":3,""text"":""유용한 정보""},{""mode"":""inline"",""bytes"":2,""room"":9,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""그만""}]",
396,21/S2045.DAT,0x4876C,빌드대기,...,1,0,1,0,0,1,"[{""mode"":""inline"",""bytes"":3,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""...""}]",
401,21/S2045.DAT,0x48926,빌드대기,낙오자라니 누구를 말하는 게냐?,1,0,0,1,0,1,"[{""mode"":""slot-A"",""bytes"":20,""room"":16,""rows"":1,""slot"":3,""disk_id"":""84"",""span"":0,""text"":""낙오자라니 누구를 말하는 게냐?""}]",
402,21/S2045.DAT,0x48972,선택지,|아라라토스 유적|미르마나의 이후|라마다 수행|그만,8,7,4,0,0,1,"[{""mode"":""inline"",""bytes"":9,""room"":15,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""아라라토스 유적""},{""mode"":""inline"",""bytes"":10,""room"":10,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""미르마나의 이후""},{""mode"":""inline"",""bytes"":7,""room"":10,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""라마다 수행""},{""mode"":""inline"",""bytes"":2,""room"":9,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":7,""text"":""그만""}]",
406,21/S2045.DAT,0x48B10,빌드대기,"그래, 너희 힘으로 보물을 척척 손에 넣는 거다!",2,1,1,1,0,1,"[{""mode"":""inline"",""bytes"":12,""room"":15,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""그래, 너희 힘으로""},{""mode"":""slot-A"",""bytes"":18,""room"":13,""rows"":1,""slot"":6,""disk_id"":""87"",""span"":1,""text"":""보물을 척척 손에 넣는 거다!""}]",
408,21/S2045.DAT,0x48BC0,빌드대기,맡길 리가 없잖아!,1,0,0,1,0,1,"[{""mode"":""slot-A"",""bytes"":13,""room"":12,""rows"":1,""slot"":7,""disk_id"":""88"",""span"":0,""text"":""맡길 리가 없잖아!""}]",
413,21/S2045.DAT,0x48D6E,빌드대기,친절하기도 하군.,1,0,0,1,0,1,"[{""mode"":""slot-A"",""bytes"":11,""room"":8,""rows"":1,""slot"":14,""disk_id"":""8F"",""span"":0,""text"":""친절하기도 하군.""}]",
417,21/S2045.DAT,0x48EC0,빌드대기,초핀: 어느 것에 관해 말씀드릴까요?,2,1,1,1,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""slot-A"",""bytes"":18,""room"":15,""rows"":1,""slot"":18,""disk_id"":""93"",""span"":1,""text"":""어느 것에 관해 말씀드릴까요?""}]",
418,21/S2045.DAT,0x48F18,선택지,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지,8,7,4,0,0,1,"[{""mode"":""inline"",""bytes"":7,""room"":8,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""스톤 서클""},{""mode"":""inline"",""bytes"":10,""room"":12,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""링 위치 설정""},{""mode"":""inline"",""bytes"":9,""room"":10,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""소환수에 대해""},{""mode"":""inline"",""bytes"":6,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":7,""text"":""다음 페이지""}]",
419,21/S2045.DAT,0x48F94,선택지,|포코의 악기|투기장|키토우올|그만,8,7,3,1,0,1,"[{""mode"":""slot-A"",""bytes"":9,""room"":7,""rows"":1,""slot"":22,""disk_id"":""97"",""span"":1,""text"":""포코의 악기""},{""mode"":""inline"",""bytes"":4,""room"":4,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""투기장""},{""mode"":""inline"",""bytes"":5,""room"":9,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""키토우올""},{""mode"":""inline"",""bytes"":2,""room"":8,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":7,""text"":""그만""}]",
420,21/S2045.DAT,0x49006,선택지,|스톤 서클|링 위치 설정|소환수|다음 페이지,8,7,4,0,0,1,"[{""mode"":""inline"",""bytes"":7,""room"":8,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""스톤 서클""},{""mode"":""inline"",""bytes"":10,""room"":12,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""링 위치 설정""},{""mode"":""inline"",""bytes"":5,""room"":6,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""소환수""},{""mode"":""inline"",""bytes"":6,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":7,""text"":""다음 페이지""}]",
421,21/S2045.DAT,0x4907E,선택지,|포코의 악기|투기장|키토우올|다음 페이지,8,7,3,1,0,1,"[{""mode"":""slot-A"",""bytes"":9,""room"":7,""rows"":1,""slot"":22,""disk_id"":""97"",""span"":1,""text"":""포코의 악기""},{""mode"":""inline"",""bytes"":4,""room"":4,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""투기장""},{""mode"":""inline"",""bytes"":5,""room"":9,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""키토우올""},{""mode"":""inline"",""bytes"":6,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":7,""text"":""다음 페이지""}]",
422,21/S2045.DAT,0x490F0,선택지,|라마다사의 수행|로맨싱 스톤|장신구 비단 띠|그만,8,7,4,0,0,1,"[{""mode"":""inline"",""bytes"":9,""room"":9,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""라마다사의 수행""},{""mode"":""inline"",""bytes"":9,""room"":10,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""로맨싱 스톤""},{""mode"":""inline"",""bytes"":11,""room"":15,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""장신구 비단 띠""},{""mode"":""inline"",""bytes"":2,""room"":8,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":7,""text"":""그만""}]",
423,21/S2045.DAT,0x4916A,빌드대기,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,2,1,1,1,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""slot-A"",""bytes"":49,""room"":43,""rows"":3,""slot"":32,""disk_id"":""A1"",""span"":1,""text"":""고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?""}]",
424,21/S2045.DAT,0x491CE,빌드대기,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...,2,1,1,1,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""slot-A"",""bytes"":45,""room"":35,""rows"":3,""slot"":33,""disk_id"":""A2"",""span"":1,""text"":""여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...""}]",
428,21/S2045.DAT,0x4935A,빌드대기,초핀: 소환수는 전부 여섯까지라고 들었습니다. 그중엔 찾기 어려운 것도 있으니 여기저기 찾아 보십시오.,2,1,2,0,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":61,""room"":61,""rows"":3,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""소환수는 전부 여섯까지라고 들었습니다. 그중엔 찾기 어려운 것도 있으니 여기저기 찾아 보십시오.""}]",
437,21/S2045.DAT,0x49744,빌드대기,초핀: 경험치를 두 배로 주는 「비단 띠」는 누구나 착용할 수 있습니다.,3,2,3,0,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":34,""room"":44,""rows"":2,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""경험치를 두 배로 주는 「비단 띠」는 누구나""},{""mode"":""inline"",""bytes"":13,""room"":14,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""착용할 수 있습니다.""}]",
466,22/S2046.DAT,0x486DC,빌드대기,"이분은 클라프 왕국의 왕자, 톤 가바 헤모촌 님이시다!!",1,0,0,1,0,1,"[{""mode"":""slot-A"",""bytes"":38,""room"":34,""rows"":2,""slot"":1,""disk_id"":""82"",""span"":0,""text"":""이분은 클라프 왕국의 왕자, 톤 가바 헤모촌 님이시다!!""}]",
467,22/S2046.DAT,0x48730,빌드대기,병사: 클라프 왕국? 왕자? 당신이??,3,2,1,2,0,1,"[{""mode"":""slot-A"",""bytes"":4,""room"":3,""rows"":1,""slot"":4,""disk_id"":""85"",""span"":0,""text"":""병사:""},{""mode"":""inline"",""bytes"":10,""room"":10,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""클라프 왕국?""},{""mode"":""slot-A"",""bytes"":10,""room"":6,""rows"":1,""slot"":9,""disk_id"":""8A"",""span"":2,""text"":""왕자? 당신이??""}]",
469,22/S2046.DAT,0x487C0,빌드대기,"병사: 하아, 하지만 클라프 왕국 같은 나라는 들어 본 적도...",2,1,0,2,0,1,"[{""mode"":""slot-A"",""bytes"":4,""room"":3,""rows"":1,""slot"":4,""disk_id"":""85"",""span"":0,""text"":""병사:""},{""mode"":""slot-A"",""bytes"":38,""room"":29,""rows"":2,""slot"":12,""disk_id"":""8D"",""span"":1,""text"":""하아, 하지만 클라프 왕국 같은 나라는 들어 본 적도...""}]",
470,22/S2046.DAT,0x4881A,빌드대기,"무슨 소리냐!! 남쪽 바다에 떠 있는 이 세상의 낙원, 클라프 섬을 모른단 말이냐, 이놈!",3,2,0,1,0,1,"[{""mode"":""slot-A"",""bytes"":65,""room"":43,""rows"":3,""slot"":26,""disk_id"":""9B"",""span"":0,""text"":""무슨 소리냐!! 남쪽 바다에 떠 있는 이 세상의 낙원, 클라프 섬을 모른단 말이냐, 이놈!""}]",
580,22/S2055.DAT,0x47C88,빌드대기,잘 모르겠습니다. 정령은 아버지와 사람의 미래를 건 약속을 했다고 말했습니다.,4,3,0,3,0,1,"[{""mode"":""slot-A"",""bytes"":10,""room"":7,""rows"":1,""slot"":5,""disk_id"":""86"",""span"":0,""text"":""잘 모르겠습니다.""},{""mode"":""slot-A"",""bytes"":19,""room"":15,""rows"":1,""slot"":19,""disk_id"":""94"",""span"":2,""text"":""정령은 아버지와 사람의 미래를""},{""mode"":""slot-A"",""bytes"":21,""room"":19,""rows"":1,""slot"":22,""disk_id"":""97"",""span"":3,""text"":""건 약속을 했다고 말했습니다.""}]",
706,31/S3011.DAT,0x47FEE,빌드대기,병사: 스메리아국에서 온 사절을 환영합니다. 군 본부까지 안내하겠습니다.,2,1,0,2,0,1,"[{""mode"":""slot-A"",""bytes"":4,""room"":3,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":0,""text"":""병사:""},{""mode"":""slot-A"",""bytes"":44,""room"":37,""rows"":3,""slot"":1,""disk_id"":""82"",""span"":1,""text"":""스메리아국에서 온 사절을 환영합니다. 군 본부까지 안내하겠습니다.""}]",
715,31/S3012.DAT,0x47FF0,선택지,초핀: 제가 도와드릴 일이 있습니까?|없어|좀 물어보고 싶어,6,5,4,0,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":17,""room"":18,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""제가 도와드릴 일이 있습니까?""},{""mode"":""inline"",""bytes"":2,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""없어""},{""mode"":""inline"",""bytes"":11,""room"":13,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""좀 물어보고 싶어""}]",
718,31/S3012.DAT,0x4811E,선택지,|어떻게 하면 강해져?|무슨 싸움 요령이 있어?|그만,6,5,1,2,0,1,"[{""mode"":""slot-A"",""bytes"":14,""room"":13,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":1,""text"":""어떻게 하면 강해져?""},{""mode"":""slot-A"",""bytes"":16,""room"":13,""rows"":1,""slot"":1,""disk_id"":""82"",""span"":3,""text"":""무슨 싸움 요령이 있어?""},{""mode"":""inline"",""bytes"":2,""room"":9,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""그만""}]",
723,31/S3012.DAT,0x4831C,빌드대기,초핀: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.,2,1,1,1,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""slot-A"",""bytes"":44,""room"":40,""rows"":2,""slot"":2,""disk_id"":""83"",""span"":1,""text"":""자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.""}]",
734,31/S3013.DAT,0x47FF6,선택지,|물론이야|조금 더 있을래|더 알려 줘,6,5,3,0,0,1,"[{""mode"":""inline"",""bytes"":5,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""물론이야""},{""mode"":""inline"",""bytes"":11,""room"":15,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""조금 더 있을래""},{""mode"":""inline"",""bytes"":9,""room"":17,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""더 알려 줘""}]",
742,31/S3013.DAT,0x483C6,빌드대기,승무원: 프리 커서로 맵을 확인하고 계십니까? 자신의 턴에 LR 동시에 누르시면 됩니다.,4,3,2,2,0,1,"[{""mode"":""slot-A"",""bytes"":5,""room"":4,""rows"":1,""slot"":1,""disk_id"":""82"",""span"":0,""text"":""승무원:""},{""mode"":""inline"",""bytes"":18,""room"":19,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""프리 커서로 맵을 확인하고""},{""mode"":""slot-A"",""bytes"":19,""room"":6,""rows"":1,""slot"":14,""disk_id"":""8F"",""span"":2,""text"":""계십니까? 자신의 턴에 LR""},{""mode"":""inline"",""bytes"":16,""room"":20,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""동시에 누르시면 됩니다.""}]",
771,31/S3014.DAT,0x46FB4,빌드대기,"초핀: 아이템, 장신구, 특수 능력을 고를 때 L이나 R을 누르면 효과를 볼 수 있습니다.",2,1,2,0,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":56,""room"":65,""rows"":3,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""아이템, 장신구, 특수 능력을 고를 때 L이나 R을 누르면 효과를 볼 수 있습니다.""}]",
774,31/S3014.DAT,0x47108,빌드대기,초핀: 아이템 던지기는 반격당하지 않으므로 강한 적에게도 안전한 공격 수단입니다.,3,2,2,1,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""slot-A"",""bytes"":35,""room"":17,""rows"":2,""slot"":0,""disk_id"":""81"",""span"":1,""text"":""아이템 던지기는 반격당하지 않으므로 강한 적에게도""},{""mode"":""inline"",""bytes"":16,""room"":19,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""안전한 공격 수단입니다.""}]",
777,31/S3014.DAT,0x47232,빌드대기,초핀: 반대로 자신이 공격받을 때는 되도록 정면을 향하게 하면 적에게 반격하기 쉬워집니다.,4,3,3,1,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":19,""room"":20,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""반대로 자신이 공격받을 때는""},{""mode"":""inline"",""bytes"":16,""room"":16,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""되도록 정면을 향하게 하면""},{""mode"":""slot-A"",""bytes"":21,""room"":14,""rows"":1,""slot"":2,""disk_id"":""83"",""span"":3,""text"":""적에게 반격하기 쉬워집니다.""}]",
778,31/S3014.DAT,0x472A2,빌드대기,초핀: 특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.,2,1,1,1,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""slot-A"",""bytes"":66,""room"":47,""rows"":3,""slot"":3,""disk_id"":""84"",""span"":1,""text"":""특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.""}]",
779,31/S3014.DAT,0x47324,빌드대기,초핀: 무엇을 알고 싶으십니까?,2,1,1,1,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""slot-A"",""bytes"":16,""room"":10,""rows"":1,""slot"":5,""disk_id"":""86"",""span"":1,""text"":""무엇을 알고 싶으십니까?""}]",
780,31/S3014.DAT,0x4736E,선택지,|전투 요령 2|유용한 정보|그만,6,5,2,1,0,1,"[{""mode"":""inline"",""bytes"":8,""room"":12,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""전투 요령 2""},{""mode"":""slot-A"",""bytes"":7,""room"":6,""rows"":1,""slot"":6,""disk_id"":""87"",""span"":3,""text"":""유용한 정보""},{""mode"":""inline"",""bytes"":2,""room"":9,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""그만""}]",
782,31/S3014.DAT,0x4745A,빌드대기,초핀: 이쪽의 공격이 몬스터에게 통하지 않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.,3,2,2,1,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":21,""room"":42,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""이쪽의 공격이 몬스터에게 통하지""},{""mode"":""slot-A"",""bytes"":42,""room"":9,""rows"":2,""slot"":7,""disk_id"":""88"",""span"":2,""text"":""않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.""}]",
784,31/S3014.DAT,0x4752A,빌드대기,초핀: 그 밖에 날아다니는 몬스터에게는 바람 마법이 잘 통하는 경우도 있습니다.,3,2,2,1,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":19,""room"":19,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""그 밖에 날아다니는 몬스터에게는""},{""mode"":""slot-A"",""bytes"":27,""room"":19,""rows"":2,""slot"":14,""disk_id"":""8F"",""span"":2,""text"":""바람 마법이 잘 통하는 경우도 있습니다.""}]",
