member,file_offset,before,after,reason
1/S1021.DAT,0x45087,00,80,V356 dialogue reinsertion
1/S1021.DAT,0x45088,00,0D,V356 dialogue reinsertion
1/S1021.DAT,0x450FF,00,06,V356 dialogue reinsertion
1/S1021.DAT,0x45100,00,09,V356 dialogue reinsertion
1/S1021.DAT,0x45101,00,67,V356 dialogue reinsertion
1/S1021.DAT,0x45102,00,04,V356 dialogue reinsertion
1/S1021.DAT,0x45103,00,0F,V356 dialogue reinsertion
1/S1021.DAT,0x45104,00,A1,V356 dialogue reinsertion
1/S1021.DAT,0x45105,00,8A,V356 dialogue reinsertion
1/S1021.DAT,0x45106,00,DD,V356 dialogue reinsertion
1/S1021.DAT,0x45107,00,80,V356 dialogue reinsertion
1/S1021.DAT,0x45108,00,26,V356 dialogue reinsertion
1/S1021.DAT,0x45109,00,A1,V356 dialogue reinsertion
1/S1021.DAT,0x4510A,00,94,V356 dialogue reinsertion
1/S1021.DAT,0x4510B,00,DD,V356 dialogue reinsertion
1/S1021.DAT,0x4510C,00,69,V356 dialogue reinsertion
1/S1021.DAT,0x4510D,00,A1,V356 dialogue reinsertion
1/S1021.DAT,0x4510E,00,DD,V356 dialogue reinsertion
1/S1021.DAT,0x4510F,00,29,V356 dialogue reinsertion
1/S1021.DAT,0x4517F,00,0A,V356 dialogue reinsertion
1/S1021.DAT,0x479AA,DD,E2,V356 dialogue reinsertion
1/S1021.DAT,0x479AB,01,81,V356 dialogue reinsertion
1/S1021.DAT,0x479AC,DD,A1,V356 dialogue reinsertion
1/S1021.DAT,0x479AD,8E,A1,V356 dialogue reinsertion
1/S1021.DAT,0x479AF,DD,A1,V356 dialogue reinsertion
1/S1021.DAT,0x479B0,25,A1,V356 dialogue reinsertion
1/S1021.DAT,0x479B1,04,A1,V356 dialogue reinsertion
1/S1021.DAT,0x479B2,3A,A1,V356 dialogue reinsertion
1/S1021.DAT,0x479B3,A1,E6,V356 dialogue reinsertion
1/S1021.DAT,0x479B4,DF,01,V356 dialogue reinsertion
1/S1021.DAT,0x479B5,0F,DD,V356 dialogue reinsertion
1/S1021.DAT,0x479B6,38,09,V356 dialogue reinsertion
1/S1021.DAT,0x479B7,53,26,V356 dialogue reinsertion
1/S1021.DAT,0x479BA,09,85,V356 dialogue reinsertion
1/S1021.DAT,0x479BB,26,20,V356 dialogue reinsertion
1/S1021.DAT,0x479BC,A1,DE,V356 dialogue reinsertion
1/S1021.DAT,0x479BD,DD,0B,V356 dialogue reinsertion
1/S1021.DAT,0x479BE,85,DD,V356 dialogue reinsertion
1/S1021.DAT,0x479BF,20,CA,V356 dialogue reinsertion
1/S1021.DAT,0x479C0,DE,A1,V356 dialogue reinsertion
1/S1021.DAT,0x479C1,0B,E6,V356 dialogue reinsertion
1/S1021.DAT,0x479C2,DD,01,V356 dialogue reinsertion
1/S1021.DAT,0x479C3,CA,50,V356 dialogue reinsertion
1/S1021.DAT,0x479C5,50,1F,V356 dialogue reinsertion
1/S1021.DAT,0x479C6,A1,54,V356 dialogue reinsertion
1/S1021.DAT,0x479C7,1F,14,V356 dialogue reinsertion
1/S1021.DAT,0x479C8,54,21,V356 dialogue reinsertion
1/S1021.DAT,0x479C9,14,A1,V356 dialogue reinsertion
1/S1021.DAT,0x479CA,21,A1,V356 dialogue reinsertion
1/S1021.DAT,0x48A4E,09,E2,V356 dialogue reinsertion
1/S1021.DAT,0x48A4F,67,82,V356 dialogue reinsertion
1/S1021.DAT,0x48A50,04,A1,V356 dialogue reinsertion
1/S1021.DAT,0x48A51,0F,A1,V356 dialogue reinsertion
1/S1021.DAT,0x48A53,8A,A1,V356 dialogue reinsertion
1/S1021.DAT,0x48A54,E9,A1,V356 dialogue reinsertion
1/S1021.DAT,0x48A55,CD,A1,V356 dialogue reinsertion
1/S1021.DAT,0x48A56,0D,E6,V356 dialogue reinsertion
1/S1021.DAT,0x48A57,A1,01,V356 dialogue reinsertion
1/S1021.DAT,0x48AC7,BE,83,V356 dialogue reinsertion
1/S1021.DAT,0x48AC8,E6,A1,V356 dialogue reinsertion
1/S1021.DAT,0x48AC9,01,A1,V356 dialogue reinsertion
1/S1021.DAT,0x48ACA,45,A1,V356 dialogue reinsertion
1/S1021.DAT,0x48ACB,0D,A1,V356 dialogue reinsertion
1/S1021.DAT,0x48ACC,95,A1,V356 dialogue reinsertion
1/S1021.DAT,0x48ACE,0C,A1,V356 dialogue reinsertion
1/S1021.DAT,0x48ACF,47,A1,V356 dialogue reinsertion
1/S1021.DAT,0x48AD2,A1,E6,V356 dialogue reinsertion
1/S1021.DAT,0x48AD3,A1,01,V356 dialogue reinsertion
1/S1021.DAT,0x48AD4,A1,8B,V356 dialogue reinsertion
1/S1021.DAT,0x48AD5,A1,28,V356 dialogue reinsertion
1/S1021.DAT,0x48AD6,A1,0E,V356 dialogue reinsertion
1/S1021.DAT,0x48AD8,A1,1F,V356 dialogue reinsertion
1/S1021.DAT,0x48AD9,A1,0D,V356 dialogue reinsertion
1/S1021.DAT,0x48ADB,A1,32,V356 dialogue reinsertion
1/S1021.DAT,0x48ADC,A1,49,V356 dialogue reinsertion
1/S1021.DAT,0x48ADD,A1,21,V356 dialogue reinsertion
1/S1023.DAT,0x45000,14,09,V356 dialogue reinsertion
1/S1023.DAT,0x45001,DD,67,V356 dialogue reinsertion
1/S1023.DAT,0x45002,5D,04,V356 dialogue reinsertion
1/S1023.DAT,0x45003,07,0C,V356 dialogue reinsertion
1/S1023.DAT,0x45004,DD,A1,V356 dialogue reinsertion
1/S1023.DAT,0x45005,02,DD,V356 dialogue reinsertion
1/S1023.DAT,0x45006,A1,3D,V356 dialogue reinsertion
1/S1023.DAT,0x45007,09,DD,V356 dialogue reinsertion
1/S1023.DAT,0x45008,67,FB,V356 dialogue reinsertion
1/S1023.DAT,0x45009,04,A1,V356 dialogue reinsertion
1/S1023.DAT,0x4500A,A1,DD,V356 dialogue reinsertion
1/S1023.DAT,0x4500B,DD,79,V356 dialogue reinsertion
1/S1023.DAT,0x4500C,79,04,V356 dialogue reinsertion
1/S1023.DAT,0x4500D,04,36,V356 dialogue reinsertion
1/S1023.DAT,0x4500F,DD,DE,V356 dialogue reinsertion
1/S1023.DAT,0x45010,50,82,V356 dialogue reinsertion
1/S1023.DAT,0x45011,DD,0D,V356 dialogue reinsertion
1/S1023.DAT,0x45012,12,DD,V356 dialogue reinsertion
1/S1023.DAT,0x45013,D1,12,V356 dialogue reinsertion
1/S1023.DAT,0x45014,00,D1,V356 dialogue reinsertion
1/S1023.DAT,0x4507F,05,12,V356 dialogue reinsertion
1/S1023.DAT,0x45080,DF,DE,V356 dialogue reinsertion
1/S1023.DAT,0x45081,16,82,V356 dialogue reinsertion
1/S1023.DAT,0x45082,84,06,V356 dialogue reinsertion
1/S1023.DAT,0x45083,78,01,V356 dialogue reinsertion
1/S1023.DAT,0x45180,DE,28,V356 dialogue reinsertion
1/S1023.DAT,0x45181,82,3E,V356 dialogue reinsertion
1/S1023.DAT,0x45182,06,0F,V356 dialogue reinsertion
1/S1023.DAT,0x45183,01,A1,V356 dialogue reinsertion
1/S1023.DAT,0x45184,00,DE,V356 dialogue reinsertion
1/S1023.DAT,0x45185,00,42,V356 dialogue reinsertion
1/S1023.DAT,0x45186,00,6B,V356 dialogue reinsertion
1/S1023.DAT,0x45187,00,A1,V356 dialogue reinsertion
1/S1023.DAT,0x45188,00,77,V356 dialogue reinsertion
1/S1023.DAT,0x45189,00,A1,V356 dialogue reinsertion
1/S1023.DAT,0x4518A,00,DD,V356 dialogue reinsertion
1/S1023.DAT,0x4518B,00,D8,V356 dialogue reinsertion
1/S1023.DAT,0x4518C,00,DE,V356 dialogue reinsertion
1/S1023.DAT,0x4518D,00,88,V356 dialogue reinsertion
1/S1023.DAT,0x4518E,00,A1,V356 dialogue reinsertion
1/S1023.DAT,0x4518F,00,67,V356 dialogue reinsertion
1/S1023.DAT,0x45190,00,DD,V356 dialogue reinsertion
1/S1023.DAT,0x45191,00,F7,V356 dialogue reinsertion
1/S1023.DAT,0x45192,00,0D,V356 dialogue reinsertion
1/S1023.DAT,0x45193,00,A1,V356 dialogue reinsertion
1/S1023.DAT,0x45194,00,DD,V356 dialogue reinsertion
1/S1023.DAT,0x45195,00,32,V356 dialogue reinsertion
1/S1023.DAT,0x45196,00,29,V356 dialogue reinsertion
1/S1023.DAT,0x45197,00,0E,V356 dialogue reinsertion
1/S1023.DAT,0x45198,00,A1,V356 dialogue reinsertion
1/S1023.DAT,0x45199,00,DE,V356 dialogue reinsertion
1/S1023.DAT,0x4519A,00,D3,V356 dialogue reinsertion
1/S1023.DAT,0x4519B,00,20,V356 dialogue reinsertion
1/S1023.DAT,0x4519C,00,A1,V356 dialogue reinsertion
1/S1023.DAT,0x4519D,00,DD,V356 dialogue reinsertion
1/S1023.DAT,0x4519E,00,9D,V356 dialogue reinsertion
1/S1023.DAT,0x4519F,00,2E,V356 dialogue reinsertion
1/S1023.DAT,0x451A0,00,A1,V356 dialogue reinsertion
1/S1023.DAT,0x451A1,00,DD,V356 dialogue reinsertion
1/S1023.DAT,0x451A2,00,F6,V356 dialogue reinsertion
1/S1023.DAT,0x451A3,00,25,V356 dialogue reinsertion
1/S1023.DAT,0x451A4,00,D5,V356 dialogue reinsertion
1/S1023.DAT,0x451A5,00,A1,V356 dialogue reinsertion
1/S1023.DAT,0x451A6,00,38,V356 dialogue reinsertion
1/S1023.DAT,0x451A7,00,0A,V356 dialogue reinsertion
1/S1023.DAT,0x451A8,00,14,V356 dialogue reinsertion
1/S1023.DAT,0x451A9,00,25,V356 dialogue reinsertion
1/S1023.DAT,0x451AA,00,B3,V356 dialogue reinsertion
1/S1023.DAT,0x451FF,01,24,V356 dialogue reinsertion
1/S1023.DAT,0x47952,E2,14,V356 dialogue reinsertion
1/S1023.DAT,0x47953,81,DD,V356 dialogue reinsertion
1/S1023.DAT,0x47954,A1,5D,V356 dialogue reinsertion
1/S1023.DAT,0x47955,A1,07,V356 dialogue reinsertion
1/S1023.DAT,0x47956,A1,DD,V356 dialogue reinsertion
1/S1023.DAT,0x47957,A1,02,V356 dialogue reinsertion
1/S1023.DAT,0x4795B,A1,E2,V356 dialogue reinsertion
1/S1023.DAT,0x4795C,A1,81,V356 dialogue reinsertion
1/S1023.DAT,0x4797F,84,82,V356 dialogue reinsertion
1/S1023.DAT,0x47D0F,89,84,V356 dialogue reinsertion
1/S1023.DAT,0x47D10,E6,A1,V356 dialogue reinsertion
1/S1023.DAT,0x47D11,01,A1,V356 dialogue reinsertion
1/S1023.DAT,0x47D12,45,A1,V356 dialogue reinsertion
1/S1023.DAT,0x47D13,0D,A1,V356 dialogue reinsertion
1/S1023.DAT,0x47D14,95,A1,V356 dialogue reinsertion
1/S1023.DAT,0x47D16,0C,A1,V356 dialogue reinsertion
1/S1023.DAT,0x47D17,47,A1,V356 dialogue reinsertion
1/S1041.DAT,0x45100,00,5F,V356 dialogue reinsertion
1/S1041.DAT,0x45101,00,DD,V356 dialogue reinsertion
1/S1041.DAT,0x45102,00,A0,V356 dialogue reinsertion
1/S1041.DAT,0x45103,00,A1,V356 dialogue reinsertion
1/S1041.DAT,0x45104,00,DD,V356 dialogue reinsertion
1/S1041.DAT,0x45105,00,07,V356 dialogue reinsertion
1/S1041.DAT,0x45106,00,DD,V356 dialogue reinsertion
1/S1041.DAT,0x45107,00,D4,V356 dialogue reinsertion
1/S1041.DAT,0x45108,00,04,V356 dialogue reinsertion
1/S1041.DAT,0x45109,00,A1,V356 dialogue reinsertion
1/S1041.DAT,0x4510A,00,55,V356 dialogue reinsertion
1/S1041.DAT,0x4510B,00,70,V356 dialogue reinsertion
1/S1041.DAT,0x4510C,00,54,V356 dialogue reinsertion
1/S1041.DAT,0x4510D,00,7C,V356 dialogue reinsertion
1/S1041.DAT,0x4510E,00,21,V356 dialogue reinsertion
1/S1041.DAT,0x4517F,00,09,V356 dialogue reinsertion
1/S1041.DAT,0x47A5E,5F,E6,V356 dialogue reinsertion
1/S1041.DAT,0x47A5F,DD,01,V356 dialogue reinsertion
1/S1041.DAT,0x47A60,A0,E2,V356 dialogue reinsertion
1/S1041.DAT,0x47A61,A1,83,V356 dialogue reinsertion
1/S1041.DAT,0x47A62,DD,A1,V356 dialogue reinsertion
1/S1041.DAT,0x47A63,07,A1,V356 dialogue reinsertion
1/S1041.DAT,0x47A64,DD,A1,V356 dialogue reinsertion
1/S1041.DAT,0x47A65,D4,A1,V356 dialogue reinsertion
1/S1041.DAT,0x47A66,04,A1,V356 dialogue reinsertion
1/S1041.DAT,0x47A68,55,A1,V356 dialogue reinsertion
1/S1041.DAT,0x47A69,70,A1,V356 dialogue reinsertion
1/S1041.DAT,0x47A6A,54,A1,V356 dialogue reinsertion
1/S1041.DAT,0x47A6B,7C,E6,V356 dialogue reinsertion
1/S1041.DAT,0x47A6C,21,01,V356 dialogue reinsertion
1/S1041.DAT,0x47A6D,A1,DD,V356 dialogue reinsertion
1/S1041.DAT,0x47A6E,DD,6A,V356 dialogue reinsertion
1/S1041.DAT,0x47A6F,6A,A1,V356 dialogue reinsertion
1/S1041.DAT,0x47A70,A1,DD,V356 dialogue reinsertion
1/S1041.DAT,0x47A71,DD,B6,V356 dialogue reinsertion
1/S1041.DAT,0x47A72,B6,35,V356 dialogue reinsertion
1/S1041.DAT,0x47A73,35,0D,V356 dialogue reinsertion
1/S1041.DAT,0x47A74,0D,A1,V356 dialogue reinsertion
1/S1041.DAT,0x47A75,A1,2B,V356 dialogue reinsertion
1/S1041.DAT,0x47A76,DE,66,V356 dialogue reinsertion
1/S1041.DAT,0x47A77,FA,53,V356 dialogue reinsertion
1/S1041.DAT,0x47A7E,DD,E6,V356 dialogue reinsertion
1/S1041.DAT,0x47A7F,94,01,V356 dialogue reinsertion
1/S1041.DAT,0x47A81,01,94,V356 dialogue reinsertion
1/S1041.DAT,0x47A82,1C,03,V356 dialogue reinsertion
1/S1041.DAT,0x47A83,21,1C,V356 dialogue reinsertion
1/S1041.DAT,0x47A86,A1,21,V356 dialogue reinsertion
21/S2041.DAT,0x45000,AA,6D,V356 dialogue reinsertion
21/S2041.DAT,0x45001,E1,DF,V356 dialogue reinsertion
21/S2041.DAT,0x45002,C7,30,V356 dialogue reinsertion
21/S2041.DAT,0x45003,DE,03,V356 dialogue reinsertion
21/S2041.DAT,0x45004,3C,49,V356 dialogue reinsertion
21/S2041.DAT,0x45005,79,A9,V356 dialogue reinsertion
21/S2041.DAT,0x45006,02,00,V356 dialogue reinsertion
21/S2041.DAT,0x45080,95,09,V356 dialogue reinsertion
21/S2041.DAT,0x45081,DF,DD,V356 dialogue reinsertion
21/S2041.DAT,0x45082,11,7C,V356 dialogue reinsertion
21/S2041.DAT,0x45083,9C,A1,V356 dialogue reinsertion
21/S2041.DAT,0x45084,E0,DD,V356 dialogue reinsertion
21/S2041.DAT,0x45085,FB,14,V356 dialogue reinsertion
21/S2041.DAT,0x45086,88,3D,V356 dialogue reinsertion
21/S2041.DAT,0x45087,84,06,V356 dialogue reinsertion
21/S2041.DAT,0x45088,9C,A1,V356 dialogue reinsertion
21/S2041.DAT,0x45089,E0,DD,V356 dialogue reinsertion
21/S2041.DAT,0x4508A,B3,37,V356 dialogue reinsertion
21/S2041.DAT,0x4508B,D5,0D,V356 dialogue reinsertion
21/S2041.DAT,0x4508C,9C,A1,V356 dialogue reinsertion
21/S2041.DAT,0x4508D,E0,DD,V356 dialogue reinsertion
21/S2041.DAT,0x4508E,ED,CE,V356 dialogue reinsertion
21/S2041.DAT,0x4508F,E0,8F,V356 dialogue reinsertion
21/S2041.DAT,0x45090,A6,21,V356 dialogue reinsertion
21/S2041.DAT,0x45091,0F,00,V356 dialogue reinsertion
21/S2041.DAT,0x45100,95,69,V356 dialogue reinsertion
21/S2041.DAT,0x45101,DF,5F,V356 dialogue reinsertion
21/S2041.DAT,0x45102,11,7B,V356 dialogue reinsertion
21/S2041.DAT,0x45103,9C,DD,V356 dialogue reinsertion
21/S2041.DAT,0x45104,DE,02,V356 dialogue reinsertion
21/S2041.DAT,0x45105,AD,00,V356 dialogue reinsertion
21/S2041.DAT,0x45106,88,00,V356 dialogue reinsertion
21/S2041.DAT,0x45107,84,00,V356 dialogue reinsertion
21/S2041.DAT,0x45108,9C,00,V356 dialogue reinsertion
21/S2041.DAT,0x45109,DF,00,V356 dialogue reinsertion
21/S2041.DAT,0x4510A,87,00,V356 dialogue reinsertion
21/S2041.DAT,0x4510B,D5,00,V356 dialogue reinsertion
21/S2041.DAT,0x4510C,9C,00,V356 dialogue reinsertion
21/S2041.DAT,0x4510D,E1,00,V356 dialogue reinsertion
21/S2041.DAT,0x4510E,D4,00,V356 dialogue reinsertion
21/S2041.DAT,0x4510F,DE,00,V356 dialogue reinsertion
21/S2041.DAT,0x45110,74,00,V356 dialogue reinsertion
21/S2041.DAT,0x45111,0F,00,V356 dialogue reinsertion
21/S2041.DAT,0x4517F,0B,02,V356 dialogue reinsertion
21/S2041.DAT,0x45180,00,09,V356 dialogue reinsertion
21/S2041.DAT,0x45181,00,07,V356 dialogue reinsertion
21/S2041.DAT,0x45182,00,2C,V356 dialogue reinsertion
21/S2041.DAT,0x45200,00,28,V356 dialogue reinsertion
21/S2041.DAT,0x45201,00,3E,V356 dialogue reinsertion
21/S2041.DAT,0x45202,00,0F,V356 dialogue reinsertion
21/S2041.DAT,0x45203,00,A1,V356 dialogue reinsertion
21/S2041.DAT,0x45204,00,DE,V356 dialogue reinsertion
21/S2041.DAT,0x45205,00,42,V356 dialogue reinsertion
21/S2041.DAT,0x45206,00,6B,V356 dialogue reinsertion
21/S2041.DAT,0x45207,00,A1,V356 dialogue reinsertion
21/S2041.DAT,0x45208,00,77,V356 dialogue reinsertion
21/S2041.DAT,0x45209,00,A1,V356 dialogue reinsertion
21/S2041.DAT,0x4520A,00,DD,V356 dialogue reinsertion
21/S2041.DAT,0x4520B,00,D8,V356 dialogue reinsertion
21/S2041.DAT,0x4520C,00,DE,V356 dialogue reinsertion
21/S2041.DAT,0x4520D,00,88,V356 dialogue reinsertion
21/S2041.DAT,0x4520E,00,A1,V356 dialogue reinsertion
21/S2041.DAT,0x4520F,00,67,V356 dialogue reinsertion
21/S2041.DAT,0x45210,00,DD,V356 dialogue reinsertion
21/S2041.DAT,0x45211,00,F7,V356 dialogue reinsertion
21/S2041.DAT,0x45212,00,0D,V356 dialogue reinsertion
21/S2041.DAT,0x45213,00,A1,V356 dialogue reinsertion
21/S2041.DAT,0x45214,00,DD,V356 dialogue reinsertion
21/S2041.DAT,0x45215,00,32,V356 dialogue reinsertion
21/S2041.DAT,0x45216,00,29,V356 dialogue reinsertion
21/S2041.DAT,0x45217,00,0E,V356 dialogue reinsertion
21/S2041.DAT,0x45218,00,A1,V356 dialogue reinsertion
21/S2041.DAT,0x45219,00,DD,V356 dialogue reinsertion
21/S2041.DAT,0x4521A,00,55,V356 dialogue reinsertion
21/S2041.DAT,0x4521B,00,70,V356 dialogue reinsertion
21/S2041.DAT,0x4521C,00,3A,V356 dialogue reinsertion
21/S2041.DAT,0x4521D,00,A1,V356 dialogue reinsertion
21/S2041.DAT,0x4521E,00,DD,V356 dialogue reinsertion
21/S2041.DAT,0x4521F,00,9D,V356 dialogue reinsertion
21/S2041.DAT,0x45220,00,2E,V356 dialogue reinsertion
21/S2041.DAT,0x45221,00,A1,V356 dialogue reinsertion
21/S2041.DAT,0x45222,00,DD,V356 dialogue reinsertion
21/S2041.DAT,0x45223,00,F6,V356 dialogue reinsertion
21/S2041.DAT,0x45224,00,25,V356 dialogue reinsertion
21/S2041.DAT,0x45225,00,0C,V356 dialogue reinsertion
21/S2041.DAT,0x45226,00,A1,V356 dialogue reinsertion
21/S2041.DAT,0x45227,00,DD,V356 dialogue reinsertion
21/S2041.DAT,0x45228,00,AE,V356 dialogue reinsertion
21/S2041.DAT,0x45229,00,07,V356 dialogue reinsertion
21/S2041.DAT,0x4522A,00,01,V356 dialogue reinsertion
21/S2041.DAT,0x4522B,00,21,V356 dialogue reinsertion
21/S2041.DAT,0x4527F,00,26,V356 dialogue reinsertion
21/S2041.DAT,0x48171,DD,03,V356 dialogue reinsertion
21/S2041.DAT,0x48172,01,A1,V356 dialogue reinsertion
21/S2041.DAT,0x48173,A1,71,V356 dialogue reinsertion
21/S2041.DAT,0x48174,71,14,V356 dialogue reinsertion
21/S2041.DAT,0x48175,14,21,V356 dialogue reinsertion
21/S2041.DAT,0x48178,21,A1,V356 dialogue reinsertion
21/S2041.DAT,0x48180,83,82,V356 dialogue reinsertion
21/S2041.DAT,0x483D4,69,E2,V356 dialogue reinsertion
21/S2041.DAT,0x483D5,5F,83,V356 dialogue reinsertion
21/S2041.DAT,0x483D6,7B,A1,V356 dialogue reinsertion
21/S2041.DAT,0x483D7,DD,A1,V356 dialogue reinsertion
21/S2041.DAT,0x483D8,02,E6,V356 dialogue reinsertion
21/S2041.DAT,0x483D9,A1,01,V356 dialogue reinsertion
21/S2041.DAT,0x483DA,09,E2,V356 dialogue reinsertion
21/S2041.DAT,0x483DB,DE,84,V356 dialogue reinsertion
21/S2041.DAT,0x483DC,FA,E4,V356 dialogue reinsertion
21/S2041.DAT,0x483DD,A1,1F,V356 dialogue reinsertion
21/S2041.DAT,0x483DE,09,A1,V356 dialogue reinsertion
21/S2041.DAT,0x483DF,5F,A1,V356 dialogue reinsertion
21/S2041.DAT,0x483E0,18,E4,V356 dialogue reinsertion
21/S2041.DAT,0x483E1,33,1F,V356 dialogue reinsertion
21/S2041.DAT,0x483E3,09,A1,V356 dialogue reinsertion
21/S2041.DAT,0x483E4,DE,E4,V356 dialogue reinsertion
21/S2041.DAT,0x483E5,49,1F,V356 dialogue reinsertion
21/S2041.DAT,0x483E6,07,A1,V356 dialogue reinsertion
21/S2041.DAT,0x483E7,01,A1,V356 dialogue reinsertion
21/S2041.DAT,0x483E8,21,A1,V356 dialogue reinsertion
21/S2041.DAT,0x48685,8F,83,V356 dialogue reinsertion
21/S2041.DAT,0x48686,E9,A1,V356 dialogue reinsertion
