source_file,offset,controls,controls_byte_exact
4/S4022.DAT,0x47D34,+0x4:E601 +0xF:E601,1
4/S4022.DAT,0x47E1E,+0xA:E41F +0xC:E601,1
4/S4031.DAT,0x47F7A,+0x12:E601,1
4/S4031.DAT,0x48516,+0x3:E601,1
4/S4033.DAT,0x47CDC,+0x10:E601 +0x18:E601 +0x1A:E503 +0x1E:E601 +0x20:E503,1
4/S4034.DAT,0x47D30,+0xE:E601 +0x16:E601 +0x18:E503 +0x1C:E601 +0x1E:E503,1
4/S4035.DAT,0x47D30,+0xF:E601 +0x17:E601 +0x19:E503 +0x1D:E601 +0x1F:E503,1
4/S4035.DAT,0x484C8,,1
4/S4036.DAT,0x47CDC,+0xE:E601 +0x16:E601 +0x18:E503 +0x1C:E601 +0x1E:E503,1
5/S5011.DAT,0x4810A,,1
5/S5011.DAT,0x4815A,+0xD:E601 +0xF:E43D +0x11:E43D +0x13:E43D +0x23:E43D,1
5/S5013.DAT,0x47702,+0x5:E601,1
5/S5013.DAT,0x47A84,+0x5:E601,1
5/S5013.DAT,0x47D1E,+0x5:E601,1
5/S5013.DAT,0x47E4E,+0x5:E601,1
5/S5013.DAT,0x47F80,+0x5:E601,1
5/S5013.DAT,0x48336,+0x0:E503 +0xE:E601 +0x10:E503 +0x18:E601 +0x1A:E503,1
5/S5013.DAT,0x48758,,1
5/S5013.DAT,0x48912,,1
5/S5013.DAT,0x4895E,+0x0:E503 +0x11:E601 +0x13:E503 +0x1F:E601 +0x21:E503 +0x2D:E601 +0x2F:E503,1
5/S5013.DAT,0x489E2,+0x5:E601 +0x17:E601,1
5/S5013.DAT,0x48BAC,,1
5/S5013.DAT,0x48D5A,,1
5/S5013.DAT,0x48EAC,+0x5:E601,1
5/S5013.DAT,0x48F04,+0x0:E503 +0xA:E601 +0xC:E503 +0x1A:E601 +0x1C:E503 +0x28:E601 +0x2A:E503,1
5/S5013.DAT,0x48F80,+0x0:E503 +0x9:E601 +0xB:E503 +0x11:E601 +0x13:E503 +0x1E:E601 +0x20:E503,1
5/S5013.DAT,0x48FF2,+0x0:E503 +0xA:E601 +0xC:E503 +0x1A:E601 +0x1C:E503 +0x24:E601 +0x26:E503,1
5/S5013.DAT,0x4906A,+0x0:E503 +0x9:E601 +0xB:E503 +0x11:E601 +0x13:E503 +0x1E:E601 +0x20:E503,1
5/S5013.DAT,0x490DC,+0x0:E503 +0xB:E601 +0xD:E503 +0x19:E601 +0x1B:E503 +0x2C:E601 +0x2E:E503,1
5/S5013.DAT,0x49156,+0x5:E601,1
5/S5013.DAT,0x491BA,+0x5:E601,1
5/S5013.DAT,0x49346,+0x5:E601,1
5/S5013.DAT,0x49770,+0x5:E601 +0x32:E601,1
5/S5021.DAT,0x47B0E,+0x7:E601 +0x15:E601 +0x26:E601,1
5/S5021.DAT,0x47B70,+0xB:E601,1
5/S5021.DAT,0x47D3E,+0x6:E601,1
5/S5021.DAT,0x481D8,+0xB:E601 +0x1D:E601,1
5/S5022.DAT,0x478FC,+0x8:E601,1
5/S5023.DAT,0x4792E,+0xD:E601,1
5/S5023.DAT,0x47A38,+0xF:E601 +0x1F:E601,1
5/S5025.DAT,0x47DA4,+0xA:E601,1
6/S6013.DAT,0x4834E,+0x1D:E601,1
6/S6014.DAT,0x482E2,+0x0:E503 +0xE:E601 +0x10:E503 +0x18:E601 +0x1A:E503,1
6/S6014.DAT,0x48704,,1
6/S6014.DAT,0x4890A,+0x0:E503 +0x11:E601 +0x13:E503 +0x1F:E601 +0x21:E503 +0x2D:E601 +0x2F:E503,1
6/S6014.DAT,0x48B58,,1
6/S6014.DAT,0x48D06,,1
6/S6014.DAT,0x48E58,+0x5:E601,1
6/S6014.DAT,0x48EB0,+0x0:E503 +0xA:E601 +0xC:E503 +0x1A:E601 +0x1C:E503 +0x28:E601 +0x2A:E503,1
6/S6014.DAT,0x48F2C,+0x0:E503 +0x9:E601 +0xB:E503 +0x11:E601 +0x13:E503 +0x1E:E601 +0x20:E503,1
6/S6014.DAT,0x48F9E,+0x0:E503 +0xA:E601 +0xC:E503 +0x1A:E601 +0x1C:E503 +0x24:E601 +0x26:E503,1
6/S6014.DAT,0x49016,+0x0:E503 +0x9:E601 +0xB:E503 +0x11:E601 +0x13:E503 +0x1E:E601 +0x20:E503,1
6/S6014.DAT,0x49088,+0x0:E503 +0xB:E601 +0xD:E503 +0x19:E601 +0x1B:E503 +0x2C:E601 +0x2E:E503,1
6/S6014.DAT,0x49102,+0x5:E601,1
6/S6014.DAT,0x49166,+0x5:E601,1
6/S6014.DAT,0x492F2,+0x5:E601,1
6/S6014.DAT,0x4971C,+0x5:E601 +0x33:E601,1
6/S6021.DAT,0x48498,+0x4:E601,1
6/S6054.DAT,0x4506E,+0x5:E601,1
6/S6054.DAT,0x450AC,+0x5:E601,1
6/S6054.DAT,0x45160,+0x5:E601,1
6/S6054.DAT,0x4519E,+0x5:E601,1
6/S6054.DAT,0x451F4,+0x0:E503 +0x5:E601 +0x7:E503 +0xC:E601 +0xE:E503 +0x17:E601 +0x19:E503,1
6/S6054.DAT,0x4525C,+0x5:E601,1
6/S6054.DAT,0x4529A,+0x5:E601,1
6/S6054.DAT,0x4535A,+0x5:E601,1
6/S6054.DAT,0x45398,+0x5:E601,1
6/S6054.DAT,0x4544A,+0x5:E601,1
6/S6054.DAT,0x4548E,+0x5:E601,1
6/S6054.DAT,0x45542,+0x5:E601,1
6/S6054.DAT,0x45580,+0x5:E601,1
6/S6054.DAT,0x45648,+0x5:E601,1
6/S6054.DAT,0x45686,+0x5:E601,1
6/S6054.DAT,0x4573A,+0x5:E601,1
6/S6054.DAT,0x45778,+0x5:E601,1
6/S6054.DAT,0x457D4,+0x0:E503 +0x5:E601 +0x7:E503 +0xC:E601 +0xE:E503 +0x13:E601 +0x15:E503,1
6/S6054.DAT,0x45836,+0x5:E601,1
6/S6054.DAT,0x45874,+0x5:E601,1
6/S6054.DAT,0x458CE,+0x0:E503 +0x9:E601 +0xB:E503 +0x15:E601 +0x17:E503 +0x21:E601 +0x23:E503,1
6/S6054.DAT,0x45940,+0x5:E601,1
6/S6054.DAT,0x4597E,+0x5:E601,1
6/S6054.DAT,0x459CA,+0x0:E503 +0x5:E601 +0x7:E503 +0x12:E601 +0x14:E503 +0x1C:E601 +0x1E:E503,1
6/S6054.DAT,0x45A38,+0x5:E601,1
6/S6054.DAT,0x45A80,+0x5:E601,1
6/S6054.DAT,0x45AC8,+0x5:E601,1
6/S6054.DAT,0x45B2C,+0x5:E601,1
6/S6054.DAT,0x45BF4,,1
6/S6054.DAT,0x45C42,,1
6/S6054.DAT,0x45CA6,,1
6/S6054.DAT,0x45D02,+0x5:E601,1
6/S6054.DAT,0x45D52,+0x5:E601,1
6/S6054.DAT,0x45DA0,+0x5:E601,1
6/S6054.DAT,0x45E2E,+0x5:E601 +0x14:E601,1
6/S6054.DAT,0x45F00,+0x5:E601,1
6/S6054.DAT,0x45F6E,,1
6/S6054.DAT,0x45FDC,+0x5:E601 +0xE:E601,1
6/S6054.DAT,0x460DE,+0x5:E601 +0xE:E601,1
6/S6054.DAT,0x461E2,+0x5:E601 +0xE:E601,1
6/S6054.DAT,0x4623C,+0x5:E601 +0xE:E601,1
6/S6054.DAT,0x462E4,+0x5:E601 +0xE:E601,1
6/S6054.DAT,0x46394,+0x5:E601,1
6/S6054.DAT,0x46440,+0x5:E601,1
6/S6054.DAT,0x464EC,+0x5:E601,1
6/S6054.DAT,0x46598,+0x5:E601,1
6/S6054.DAT,0x4663E,+0x5:E601,1
6/S6054.DAT,0x466E2,+0x5:E601,1
6/S6054.DAT,0x46778,+0x5:E601,1
6/S6054.DAT,0x46828,+0x5:E601,1
6/S6054.DAT,0x46980,+0x5:E601,1
6/S6054.DAT,0x46A2E,+0x5:E601,1
6/S6054.DAT,0x46AD6,,1
7/S7012.DAT,0x47DDA,+0x0:E503 +0xE:E601 +0x10:E503 +0x18:E601 +0x1A:E503,1
7/S7012.DAT,0x481FC,,1
7/S7012.DAT,0x48402,+0x0:E503 +0x11:E601 +0x13:E503 +0x1F:E601 +0x21:E503 +0x2D:E601 +0x2F:E503,1
7/S7012.DAT,0x487FE,,1
7/S7012.DAT,0x48950,+0x5:E601,1
7/S7012.DAT,0x489A8,+0x0:E503 +0xA:E601 +0xC:E503 +0x1A:E601 +0x1C:E503 +0x28:E601 +0x2A:E503,1
7/S7012.DAT,0x48A24,+0x0:E503 +0x9:E601 +0xB:E503 +0x11:E601 +0x13:E503 +0x1E:E601 +0x20:E503,1
7/S7012.DAT,0x48A96,+0x0:E503 +0xA:E601 +0xC:E503 +0x1A:E601 +0x1C:E503 +0x24:E601 +0x26:E503,1
7/S7012.DAT,0x48B0E,+0x0:E503 +0x9:E601 +0xB:E503 +0x11:E601 +0x13:E503 +0x1E:E601 +0x20:E503,1
7/S7012.DAT,0x48B80,+0x0:E503 +0xB:E601 +0xD:E503 +0x19:E601 +0x1B:E503 +0x2C:E601 +0x2E:E503,1
7/S7012.DAT,0x48BFA,+0x5:E601,1
7/S7012.DAT,0x48C5E,+0x5:E601,1
7/S7012.DAT,0x48DEA,+0x5:E601,1
7/S7012.DAT,0x49214,+0x5:E601 +0x33:E601,1
7/S7021.DAT,0x48D26,+0x6:E601 +0x11:E601 +0x13:E503 +0x19:E601 +0x1B:E503,1
7/S7021.DAT,0x48EA4,+0x0:E503 +0x5:E601 +0x7:E503 +0xC:E601 +0xE:E503 +0x14:E601 +0x16:E503 +0x1F:E601,1
7/S7021.DAT,0x4908E,+0x0:E503 +0x4:E601 +0x6:E503 +0xE:E601 +0x10:E503 +0x16:E601 +0x18:E503 +0x21:E601,1
7/S7021.DAT,0x4921C,+0x0:E503 +0x8:E601 +0xA:E503 +0x13:E601 +0x15:E503 +0x1E:E601 +0x20:E503,1
7/S7022.DAT,0x489B6,+0x6:E601 +0x16:E601 +0x18:E503 +0x1C:E601 +0x1E:E503,1
7/S7023.DAT,0x48A4E,+0x6:E601 +0x16:E601 +0x18:E503 +0x1C:E601 +0x1E:E503,1
7/S7024.DAT,0x48AAE,+0x6:E601 +0x17:E601 +0x19:E503 +0x1D:E601 +0x1F:E503,1
7/S7025.DAT,0x48304,+0x3:E601 +0x5:E503 +0xD:E601 +0xF:E503,1
7/S7025.DAT,0x4851C,+0x2:E601 +0x4:E503 +0xC:E601 +0xE:E503,1
7/S7025.DAT,0x48AC2,+0x6:E601 +0x15:E601 +0x17:E503 +0x1B:E601 +0x1D:E503,1
7/S7026.DAT,0x48548,+0x3:E601 +0x5:E503 +0xD:E601 +0xF:E503,1
7/S7026.DAT,0x488BC,+0x6:E601 +0x1F:E41F +0x21:E601,1
7/S7026.DAT,0x48D28,+0x6:E601 +0x1B:E601 +0x1D:E503 +0x21:E601 +0x23:E503,1
7/S7027.DAT,0x48720,+0x4:E601 +0x16:E601,1
7/S7028.DAT,0x4729E,+0x2:E601 +0x4:E503 +0xC:E601 +0xE:E503,1
7/S7028.DAT,0x48028,+0x6:E601 +0x11:E601 +0x13:E503 +0x19:E601 +0x1B:E503,1
7/S7028.DAT,0x48228,,1
7/S7028.DAT,0x482EE,+0x0:E503 +0x5:E601 +0x7:E503 +0xC:E601 +0xE:E503 +0x14:E601 +0x16:E503 +0x1F:E601,1
7/S7028.DAT,0x484D8,+0x0:E503 +0x4:E601 +0x6:E503 +0xE:E601 +0x10:E503 +0x16:E601 +0x18:E503 +0x21:E601,1
7/S7028.DAT,0x48666,+0x0:E503 +0x8:E601 +0xA:E503 +0x13:E601 +0x15:E503 +0x1E:E601 +0x20:E503,1
7/S7028.DAT,0x48B70,+0x6:E601 +0x13:E601 +0x15:E503 +0x1F:E601 +0x21:E503,1
7/S7031.DAT,0x478B8,+0x6:E601 +0x1A:E601 +0x1C:E43D,1
7/S7032.DAT,0x478BA,+0x6:E601 +0x15:E43D +0x17:E601 +0x25:E479,1
8/S8013.DAT,0x47996,+0x0:E503 +0xA:E601 +0xC:E503 +0x1A:E601 +0x1C:E503 +0x28:E601 +0x2A:E503,1
8/S8013.DAT,0x47A12,+0x0:E503 +0x9:E601 +0xB:E503 +0x11:E601 +0x13:E503 +0x1E:E601 +0x20:E503,1
8/S8013.DAT,0x47A84,+0x0:E503 +0xA:E601 +0xC:E503 +0x1A:E601 +0x1C:E503 +0x24:E601 +0x26:E503,1
8/S8013.DAT,0x47AFC,+0x0:E503 +0x9:E601 +0xB:E503 +0x11:E601 +0x13:E503 +0x1E:E601 +0x20:E503,1
8/S8013.DAT,0x47B6E,+0x0:E503 +0xB:E601 +0xD:E503 +0x19:E601 +0x1B:E503 +0x2C:E601 +0x2E:E503,1
8/S8013.DAT,0x47BE8,+0x5:E601,1
8/S8013.DAT,0x47C4C,+0x5:E601,1
8/S8013.DAT,0x47DD8,+0x5:E601,1
8/S8013.DAT,0x48202,+0x5:E601 +0x33:E601,1
C1/SC011.DAT,0x46DE6,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC011.DAT,0x46E48,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC011.DAT,0x46EAA,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C1/SC011.DAT,0x46F0E,+0xE:E601 +0x10:E503 +0x14:E601 +0x16:E503,1
C1/SC011.DAT,0x46F74,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C1/SC011.DAT,0x46FD8,+0x4:E601 +0x6:E503 +0xA:E601 +0xC:E503,1
C1/SC011.DAT,0x47034,+0x7:E601 +0x9:E503 +0xD:E601 +0xF:E503,1
C1/SC021.DAT,0x46DE6,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC021.DAT,0x46E48,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC021.DAT,0x46EAA,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C1/SC021.DAT,0x46F0E,+0xE:E601 +0x10:E503 +0x14:E601 +0x16:E503,1
C1/SC021.DAT,0x46F74,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C1/SC021.DAT,0x46FD8,+0x4:E601 +0x6:E503 +0xA:E601 +0xC:E503,1
C1/SC021.DAT,0x47034,+0x7:E601 +0x9:E503 +0xD:E601 +0xF:E503,1
C1/SC031.DAT,0x46DE6,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC031.DAT,0x46E48,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC031.DAT,0x46EAA,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C1/SC031.DAT,0x46F0E,+0xE:E601 +0x10:E503 +0x14:E601 +0x16:E503,1
C1/SC031.DAT,0x46F74,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C1/SC031.DAT,0x46FD8,+0x4:E601 +0x6:E503 +0xA:E601 +0xC:E503,1
C1/SC031.DAT,0x47034,+0x7:E601 +0x9:E503 +0xD:E601 +0xF:E503,1
C1/SC041.DAT,0x46DE6,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC041.DAT,0x46E48,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC041.DAT,0x46EAA,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C1/SC041.DAT,0x46F0E,+0xE:E601 +0x10:E503 +0x14:E601 +0x16:E503,1
C1/SC041.DAT,0x46F74,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C1/SC041.DAT,0x46FD8,+0x4:E601 +0x6:E503 +0xA:E601 +0xC:E503,1
C1/SC041.DAT,0x47034,+0x7:E601 +0x9:E503 +0xD:E601 +0xF:E503,1
C1/SC051.DAT,0x46DE6,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC051.DAT,0x46E48,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC051.DAT,0x46EAA,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C1/SC051.DAT,0x46F0E,+0xE:E601 +0x10:E503 +0x14:E601 +0x16:E503,1
C1/SC051.DAT,0x46F74,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C1/SC051.DAT,0x46FD8,+0x4:E601 +0x6:E503 +0xA:E601 +0xC:E503,1
C1/SC051.DAT,0x47034,+0x7:E601 +0x9:E503 +0xD:E601 +0xF:E503,1
C1/SC061.DAT,0x46DE6,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC061.DAT,0x46E48,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC061.DAT,0x46EAA,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C1/SC061.DAT,0x46F0E,+0xE:E601 +0x10:E503 +0x14:E601 +0x16:E503,1
C1/SC061.DAT,0x46F74,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C1/SC061.DAT,0x46FD8,+0x4:E601 +0x6:E503 +0xA:E601 +0xC:E503,1
C1/SC061.DAT,0x47034,+0x7:E601 +0x9:E503 +0xD:E601 +0xF:E503,1
C1/SC081.DAT,0x46DE6,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC081.DAT,0x46E48,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C1/SC081.DAT,0x46F70,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C1/SC081.DAT,0x46FD4,+0x4:E601 +0x6:E503 +0xA:E601 +0xC:E503,1
C1/SC091.DAT,0x46DE6,+0x7:E601 +0x9:E503 +0xD:E601 +0xF:E503,1
C1/SC091.DAT,0x46E44,+0x6:E601 +0x8:E503 +0xC:E601 +0xE:E503,1
C1/SC091.DAT,0x46FC0,+0x4:E601 +0x6:E503 +0xA:E601 +0xC:E503,1
C2/SC0A1.DAT,0x46DE6,+0xB:E601 +0xD:E503 +0x11:E601 +0x13:E503,1
C2/SC0A1.DAT,0x46EA4,+0x4:E601 +0x6:E503 +0xA:E601 +0xC:E503,1
C2/SC0A1.DAT,0x46F00,+0xE:E601 +0x10:E503 +0x14:E601 +0x16:E503,1
C2/SC0A1.DAT,0x46F66,+0xC:E601 +0xE:E503 +0x12:E601 +0x14:E503,1
C2/SC0A1.DAT,0x46FCA,+0x4:E601 +0x6:E503 +0xA:E601 +0xC:E503,1
C2/SC0A1.DAT,0x47026,+0x7:E601 +0x9:E503 +0xD:E601 +0xF:E503,1
C2/SC0B6.DAT,0x45CD4,+0xE:E601 +0x24:E601,1
C2/SC0B6.DAT,0x463DC,+0xA:E821 +0x10:E601,1
C2/SC0B6.DAT,0x4648E,+0xE:E601 +0x1F:E601,1
C2/SC0B6.DAT,0x464F8,+0x0:E503 +0xD:E601 +0xF:E503 +0x1A:E601 +0x1C:E503 +0x26:E601 +0x28:E503,1
C2/SC0B6.DAT,0x466A0,,1
C2/SC0B6.DAT,0x4681A,+0xE:E601 +0x1F:E601,1
C2/SC0B6.DAT,0x46884,+0x0:E503 +0xA:E601 +0xC:E503 +0x15:E601 +0x17:E503 +0x24:E601 +0x26:E503,1
C2/SC0B6.DAT,0x46990,,1
C2/SC0B6.DAT,0x46A24,,1
C2/SC0B6.DAT,0x46BA0,+0xE:E601 +0x1F:E601,1
C2/SC0B6.DAT,0x46C0A,+0x0:E503 +0xA:E601 +0xC:E503 +0x15:E601 +0x17:E503 +0x23:E601 +0x25:E503,1
C2/SC0B6.DAT,0x46D1A,,1
C2/SC0B6.DAT,0x46F2E,+0xE:E601 +0x1F:E601,1
C2/SC0B6.DAT,0x472B4,+0xF:E601 +0x20:E601,1
C2/SC0B6.DAT,0x47446,+0xF:E601 +0x20:E601,1
C2/SC0B6.DAT,0x474B2,+0x0:E503 +0xB:E601 +0xD:E503 +0x1A:E601 +0x1C:E503 +0x28:E601 +0x2A:E503,1
C2/SC0B6.DAT,0x476F0,,1
C2/SC0B6.DAT,0x477D2,+0xF:E601 +0x20:E601,1
C2/SC0B6.DAT,0x47838,+0x0:E601 +0x2:E503,1
C2/SC0B6.DAT,0x4787C,,1
C2/SC0B6.DAT,0x47960,+0x10:E601 +0x21:E601,1
C2/SC0B6.DAT,0x47AA0,,1
C2/SC0B6.DAT,0x47B72,,1
C2/SC0B6.DAT,0x47BB6,,1
C2/SC0B6.DAT,0x47C8A,,1
C2/SC0B6.DAT,0x47F4E,,1
C2/SC0B6.DAT,0x47F92,,1
C2/SC0B6.DAT,0x47FD6,,1
C2/SC0B6.DAT,0x48064,+0xD:E601 +0x18:E43D,1
C2/SC0C1.DAT,0x48B40,,1
