row_number,source_file,offset,classification,visible_text,target_text,controls,unchanged_from_v354
418,21/S2045.DAT,0x48F18,선택지,스톤 서클 링 위치 설정 소환수에 대해 다음 페이지,스톤 서클 링 위치 설정 소환수에 대해 다음 페이지,7,0
419,21/S2045.DAT,0x48F94,선택지,포코의 악기 투기장 키토우올 그만,포코의 악기 투기장 키토우올 그만,7,0
420,21/S2045.DAT,0x49006,선택지,스톤 서클 링 위치 설정 소환수 다음 페이지,스톤 서클 링 위치 설정 소환수 다음 페이지,7,0
421,21/S2045.DAT,0x4907E,선택지,포코의 악기 투기장 키토우올 다음 페이지,포코의 악기 투기장 키토우올 다음 페이지,7,0
422,21/S2045.DAT,0x490F0,선택지,라마다사의 수행 로맨싱 스톤 장신구 비단 띠 그만,라마다사의 수행 로맨싱 스톤 장신구 비단 띠 그만,7,0
423,21/S2045.DAT,0x4916A,빌드대기,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,1,0
424,21/S2045.DAT,0x491CE,빌드대기,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...,1,0
428,21/S2045.DAT,0x4935A,빌드대기,초핀: 소환수는 전부 여섯까지라고 들었습니다. 그중엔 찾기 어려운 것도 있으니 여기저기 찾아 보십시오.,초핀: 소환수는 전부 여섯까지라고 들었습니다. 그중엔 찾기 어려운 것도 있으니 여기저기 찾아 보십시오.,1,0
437,21/S2045.DAT,0x49744,빌드대기,초핀: 경험치를 두 배로 주는 「비단 띠」는 누구나 착용할 수 있습니다.,초핀: 경험치를 두 배로 주는 「비단 띠」는 누구나 착용할 수 있습니다.,2,0
466,22/S2046.DAT,0x486DC,빌드대기,"이분은 클라프 왕국의 왕자, 톤 가바 헤모촌 님이시다!!","이분은 클라프 왕국의 왕자, 톤 가바 헤모촌 님이시다!!",0,0
467,22/S2046.DAT,0x48730,빌드대기,병사: 클라프 왕국? 왕자? 당신이??,병사: 클라프 왕국? 왕자? 당신이??,2,0
469,22/S2046.DAT,0x487C0,빌드대기,"병사: 하아, 하지만 클라프 왕국 같은 나라는 들어 본 적도...","병사: 하아, 하지만 클라프 왕국 같은 나라는 들어 본 적도...",1,0
470,22/S2046.DAT,0x4881A,빌드대기,"무슨 소리냐!! 남쪽 바다에 떠 있는 이 세상의 낙원, 클라프 섬을 모른단 말이냐, 이놈!","무슨 소리냐!! 남쪽 바다에 떠 있는 이 세상의 낙원, 클라프 섬을 모른단 말이냐, 이놈!",2,0
580,22/S2055.DAT,0x47C88,빌드대기,잘 모르겠습니다. 정령은 아버지와 사람의 미래를 건 약속을 했다고 말했습니다.,잘 모르겠습니다. 정령은 아버지와 사람의 미래를 건 약속을 했다고 말했습니다.,3,0
706,31/S3011.DAT,0x47FEE,빌드대기,병사: 스메리아국에서 온 사절을 환영합니다. 군 본부까지 안내하겠습니다.,병사: 스메리아국에서 온 사절을 환영합니다. 군 본부까지 안내하겠습니다.,1,0
715,31/S3012.DAT,0x47FF0,선택지,초핀: 제가 도와드릴 일이 있습니까? 없어 좀 물어보고 싶어,초핀: 제가 도와드릴 일이 있습니까? 없어 좀 물어보고 싶어,5,0
718,31/S3012.DAT,0x4811E,선택지,어떻게 하면 강해져? 무슨 싸움 요령이 있어? 그만,어떻게 하면 강해져? 무슨 싸움 요령이 있어? 그만,5,0
723,31/S3012.DAT,0x4831C,빌드대기,초핀: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.,초핀: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.,1,0
734,31/S3013.DAT,0x47FF6,선택지,물론이야 조금 더 있을래 더 알려 줘,물론이야 조금 더 있을래 더 알려 줘,5,0
742,31/S3013.DAT,0x483C6,빌드대기,승무원: 프리 커서로 맵을 확인하고 계십니까? 자신의 턴에 LR 동시에 누르시면 됩니다.,승무원: 프리 커서로 맵을 확인하고 계십니까? 자신의 턴에 LR 동시에 누르시면 됩니다.,3,0
771,31/S3014.DAT,0x46FB4,빌드대기,"초핀: 아이템, 장신구, 특수 능력을 고를 때 L이나 R을 누르면 효과를 볼 수 있습니다.","초핀: 아이템, 장신구, 특수 능력을 고를 때 L이나 R을 누르면 효과를 볼 수 있습니다.",1,0
774,31/S3014.DAT,0x47108,빌드대기,초핀: 아이템 던지기는 반격당하지 않으므로 강한 적에게도 안전한 공격 수단입니다.,초핀: 아이템 던지기는 반격당하지 않으므로 강한 적에게도 안전한 공격 수단입니다.,2,0
777,31/S3014.DAT,0x47232,빌드대기,초핀: 반대로 자신이 공격받을 때는 되도록 정면을 향하게 하면 적에게 반격하기 쉬워집니다.,초핀: 반대로 자신이 공격받을 때는 되도록 정면을 향하게 하면 적에게 반격하기 쉬워집니다.,3,0
778,31/S3014.DAT,0x472A2,빌드대기,초핀: 특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.,초핀: 특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.,1,0
779,31/S3014.DAT,0x47324,빌드대기,초핀: 무엇을 알고 싶으십니까?,초핀: 무엇을 알고 싶으십니까?,1,0
780,31/S3014.DAT,0x4736E,선택지,전투 요령 2 유용한 정보 그만,전투 요령 2 유용한 정보 그만,5,0
782,31/S3014.DAT,0x4745A,빌드대기,초핀: 이쪽의 공격이 몬스터에게 통하지 않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.,초핀: 이쪽의 공격이 몬스터에게 통하지 않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.,2,0
784,31/S3014.DAT,0x4752A,빌드대기,초핀: 그 밖에 날아다니는 몬스터에게는 바람 마법이 잘 통하는 경우도 있습니다.,초핀: 그 밖에 날아다니는 몬스터에게는 바람 마법이 잘 통하는 경우도 있습니다.,2,0
785,31/S3014.DAT,0x4758C,빌드대기,초핀: 싸움은 머리를 쓰지 않으면 안 됩니다. 힘만으로는 안 되는 법입니다.,초핀: 싸움은 머리를 쓰지 않으면 안 됩니다. 힘만으로는 안 되는 법입니다.,2,0
787,31/S3014.DAT,0x4762E,B검수필요,초핀: 강한 상대와 싸울수록 더 많은 경험을 쌓을 수 있습니다.,초핀: 강한 상대와 싸울수록 더 많은 경험을 쌓을 수 있습니다.,1,0
791,31/S3014.DAT,0x47790,빌드대기,...,...,0,0
792,31/S3014.DAT,0x477D6,B검수필요,초핀: 동료가 늘어나면 전투에서 맡은 역할에 따라 레벨 차이도 커집니다.,초핀: 동료가 늘어나면 전투에서 맡은 역할에 따라 레벨 차이도 커집니다.,2,0
794,31/S3014.DAT,0x4788A,B검수필요,초핀: 캐릭터들의 방어력이 비슷해지도록 맞춰 보는 건 어떨까요?,초핀: 캐릭터들의 방어력이 비슷해지도록 맞춰 보는 건 어떨까요?,1,0
796,31/S3014.DAT,0x4794A,B검수필요,"낙오자라니, 누구를 말하는 게냐?","낙오자라니, 누구를 말하는 게냐?",0,0
797,31/S3014.DAT,0x47996,선택지,아라라토스 유적 미르마나의 이후 라마다 수행 그만,아라라토스 유적 미르마나의 이후 라마다 수행 그만,7,0
799,31/S3014.DAT,0x47A78,B검수필요,초핀: 그곳에서만 얻을 수 있고 몬스터가 지키는 장신구도 있다고 들었습니다.,초핀: 그곳에서만 얻을 수 있고 몬스터가 지키는 장신구도 있다고 들었습니다.,3,0
800,31/S3014.DAT,0x47ADE,B검수필요,초핀: 실력도 시험할 겸 가끔 가 보는 건 어떨까요?,초핀: 실력도 시험할 겸 가끔 가 보는 건 어떨까요?,2,0
806,31/S3014.DAT,0x47CD6,B검수필요,초핀: 미르마나에는 배틀 에어리어가 세 곳 있습니다. 가끔 찾아가 이야기를 들어 보세요.,초핀: 미르마나에는 배틀 에어리어가 세 곳 있습니다. 가끔 찾아가 이야기를 들어 보세요.,3,0
807,31/S3014.DAT,0x47D42,B검수필요,초핀: 찾아가면 만능약을 받을 수 있다고 합니다.,초핀: 찾아가면 만능약을 받을 수 있다고 합니다.,1,0
808,31/S3014.DAT,0x47D92,B검수필요,참 친절하구나.,참 친절하구나.,0,0
812,31/S3014.DAT,0x47EE4,B검수필요,초핀: 어느 것에 관해 말씀드릴까요?,초핀: 어느 것에 관해 말씀드릴까요?,1,0
813,31/S3014.DAT,0x47F3C,선택지,스톤 서클 링 위치 설정 소환수에 대해 다음 페이지,스톤 서클 링 위치 설정 소환수에 대해 다음 페이지,7,0
814,31/S3014.DAT,0x47FB8,선택지,포코의 악기 투기장 키토우올 그만,포코의 악기 투기장 키토우올 그만,7,0
815,31/S3014.DAT,0x4802A,선택지,스톤 서클 링 위치 설정 소환수 다음 페이지,스톤 서클 링 위치 설정 소환수 다음 페이지,7,0
816,31/S3014.DAT,0x480A2,선택지,포코의 악기 투기장 키토우올 다음 페이지,포코의 악기 투기장 키토우올 다음 페이지,7,0
817,31/S3014.DAT,0x48114,선택지,라마다사의 수행 로맨싱 스톤 장신구 비단 띠 그만,라마다사의 수행 로맨싱 스톤 장신구 비단 띠 그만,7,0
818,31/S3014.DAT,0x4818E,B검수필요,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,1,0
819,31/S3014.DAT,0x481F2,B검수필요,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클이니까요...,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클이니까요...,1,0
821,31/S3014.DAT,0x482B6,B검수필요,초핀: 그때 커서와 버튼으로 링 안의 기술을 고른 뒤 아이콘 위치를 변경할 수 있습니다.,초핀: 그때 커서와 버튼으로 링 안의 기술을 고른 뒤 아이콘 위치를 변경할 수 있습니다.,2,0
822,31/S3014.DAT,0x48320,B검수필요,초핀: 한 번 바꾸면 저장되므로 계속 사용할 수 있습니다.,초핀: 한 번 바꾸면 저장되므로 계속 사용할 수 있습니다.,2,0
823,31/S3014.DAT,0x4837E,빌드대기,초핀: 소환수는 전부 여섯까지라고 들었습니다. 그중엔 찾기 어려운 것도 있으니 여기저기 찾아 보십시오.,초핀: 소환수는 전부 여섯까지라고 들었습니다. 그중엔 찾기 어려운 것도 있으니 여기저기 찾아 보십시오.,1,0
824,31/S3014.DAT,0x483F8,B검수필요,초핀: 포코 님의 악기는 모두 8개라고 들었습니다. 전부 찾으면 상당히 강해질 겁니다.,초핀: 포코 님의 악기는 모두 8개라고 들었습니다. 전부 찾으면 상당히 강해질 겁니다.,1,0
833,31/S3014.DAT,0x487A8,B검수필요,초핀: 경험치를 두 배로 주는 「비단 띠」는 누구나 착용할 수 있습니다.,초핀: 경험치를 두 배로 주는 「비단 띠」는 누구나 착용할 수 있습니다.,2,0
862,31/S3022.DAT,0x48822,선택지,병사: 출발하시겠습니까? 출발한다 그만둔다,병사: 출발하시겠습니까? 출발한다 그만둔다,5,0
903,31/S3024.DAT,0x45ECA,빌드대기,병사 흥! 좀 강하다고 잘난 척하지 마.,병사 흥! 좀 강하다고 잘난 척하지 마.,3,0
935,31/S3024.DAT,0x46966,빌드대기,아이 앗! 뱀파이어 배트 버스터다.,아이 앗! 뱀파이어 배트 버스터다.,2,0
961,31/S3024.DAT,0x47F68,선택지,아크 쿠쿠루 토슈,아크 쿠쿠루 토슈,6,0
969,31/S3031.DAT,0x47C40,빌드대기,야군: 하지만 그건 아이들에게는 무리입니다. 너무 위험합니다.,야군: 하지만 그건 아이들에게는 무리입니다. 너무 위험합니다.,2,0
993,31/S3032.DAT,0x47994,빌드대기,야군: 알겠습니다. 숲까지 가는 열차 탑승을 허가하지요.,야군: 알겠습니다. 숲까지 가는 열차 탑승을 허가하지요.,2,0
1035,32/S3061.DAT,0x48344,빌드대기,"은혜의 정령: 자, 스메리아의 토우빌로 돌아가거라.","은혜의 정령: 자, 스메리아의 토우빌로 돌아가거라.",2,0
1045,32/S3062.DAT,0x47E48,빌드대기,"은혜의 정령: 자, 토우빌로 향하거라.","은혜의 정령: 자, 토우빌로 향하거라.",1,0
1048,32/S3063.DAT,0x47D88,빌드대기,은혜의 정령: 그는 그곳에서 너희의 역사를 계속 지켜보고 있었단다.,은혜의 정령: 그는 그곳에서 너희의 역사를 계속 지켜보고 있었단다.,2,0
1108,4/S4021.DAT,0x47992,빌드대기,병사1: 팔렌시아 최고의 경호원도 잘됐군.,병사1: 팔렌시아 최고의 경호원도 잘됐군.,2,0
1113,4/S4021.DAT,0x47AFA,빌드대기,"병사2: 개조하는 거지, 살기 좋게.","병사2: 개조하는 거지, 살기 좋게.",2,0
1115,4/S4021.DAT,0x47B8E,빌드대기,무슨 개조냐. 살고 있는 사람들을 뭐라고 생각하는 거야!,무슨 개조냐. 살고 있는 사람들을 뭐라고 생각하는 거야!,2,0
1119,4/S4022.DAT,0x47A0C,빌드대기,병사2: 대신이 밀고 있는 팔렌시아 개조 계획에 맞선 죄로 말이지.,병사2: 대신이 밀고 있는 팔렌시아 개조 계획에 맞선 죄로 말이지.,1,0
1120,4/S4022.DAT,0x47A68,빌드대기,"너희, 약속만은 지켜 줄 거지!","너희, 약속만은 지켜 줄 거지!",0,0
1122,4/S4022.DAT,0x47AFA,빌드대기,두목과 부하들의 목숨을 담보로 난 이 일을 하는 거야.,두목과 부하들의 목숨을 담보로 난 이 일을 하는 거야.,2,0
1125,4/S4022.DAT,0x47BF6,빌드대기,병사2: 그런데 정말 잘 타는군.,병사2: 그런데 정말 잘 타는군.,1,0
1129,4/S4022.DAT,0x47D34,빌드대기,병사1: 결행은 내일이다. 곧 그놈들과 같은 곳으로 갈 수 있을 거야.,병사1: 결행은 내일이다. 곧 그놈들과 같은 곳으로 갈 수 있을 거야.,2,0
1131,4/S4022.DAT,0x47E1E,빌드대기,두목님... 동생분들...,두목님... 동생분들...,2,0
1150,4/S4031.DAT,0x47F7A,빌드대기,앞으로 네 여행에 도움이 될 옛 전기는 토우빌 안쪽의,앞으로 네 여행에 도움이 될 옛 전기는 토우빌 안쪽의,1,0
1168,4/S4031.DAT,0x48516,빌드대기,좋아! 우선 전기를 손에 넣자.,좋아! 우선 전기를 손에 넣자.,1,0
1181,4/S4033.DAT,0x47CDC,선택지,다음 정령은 그레이시누에 있다. 읽으시겠습니까? 읽는다 읽지 않는다,다음 정령은 그레이시누에 있다. 읽으시겠습니까? 읽는다 읽지 않는다,5,0
1215,4/S4034.DAT,0x47D30,선택지,다음 정령은 카데르에게. 읽으시겠습니까? 읽는다 읽지 않는다,다음 정령은 카데르에게. 읽으시겠습니까? 읽는다 읽지 않는다,5,0
1245,4/S4035.DAT,0x47D30,선택지,다음 정령은 아리바샤에게. 읽으시겠습니까? 읽는다 읽지 않는다,다음 정령은 아리바샤에게. 읽으시겠습니까? 읽는다 읽지 않는다,5,0
1267,4/S4035.DAT,0x484C8,빌드대기,내 소환 몬스터는 쓸 만한 녀석뿐이니까 말이야.,내 소환 몬스터는 쓸 만한 녀석뿐이니까 말이야.,0,0
1271,4/S4036.DAT,0x47CDC,선택지,마지막 정령은 스메리아에. 읽으시겠습니까? 읽는다 읽지 않는다,마지막 정령은 스메리아에. 읽으시겠습니까? 읽는다 읽지 않는다,5,0
1312,5/S5011.DAT,0x4810A,빌드대기,이쪽도 장사니까 말이야.,이쪽도 장사니까 말이야.,0,0
1313,5/S5011.DAT,0x4815A,빌드대기,"장사가 뭐냐고, 이 자식아! 한 대 맞아 볼래, 이 자식아!","장사가 뭐냐고, 이 자식아! 한 대 맞아 볼래, 이 자식아!",5,0
1348,5/S5013.DAT,0x47702,빌드대기,초핀: 정비하여 기다리고 있습니다.,초핀: 정비하여 기다리고 있습니다.,1,0
1352,5/S5013.DAT,0x47A84,빌드대기,초핀: 정비하여 기다리고 있습니다.,초핀: 정비하여 기다리고 있습니다.,1,0
1357,5/S5013.DAT,0x47D1E,빌드대기,"초핀: 그럼,이쪽으로","초핀: 그럼,이쪽으로",1,0
1358,5/S5013.DAT,0x47E4E,빌드대기,초핀: 정비하여 기다리고 있습니다.,초핀: 정비하여 기다리고 있습니다.,1,0
1361,5/S5013.DAT,0x47F80,빌드대기,"초핀: 아이템, 장신구, 특수 능력을 고를 때 L이나 R을 누르면 효과를 볼 수 있습니다.","초핀: 아이템, 장신구, 특수 능력을 고를 때 L이나 R을 누르면 효과를 볼 수 있습니다.",1,0
1370,5/S5013.DAT,0x48336,선택지,전투 요령 2 유용한 정보 그만,전투 요령 2 유용한 정보 그만,5,0
1381,5/S5013.DAT,0x48758,빌드대기,...,...,0,0
1386,5/S5013.DAT,0x48912,빌드대기,낙오자라니 누구를 말하는 게냐?,낙오자라니 누구를 말하는 게냐?,0,0
1387,5/S5013.DAT,0x4895E,선택지,아라라토스 유적 미르마나의 이후 라마다 수행 그만,아라라토스 유적 미르마나의 이후 라마다 수행 그만,7,0
1388,5/S5013.DAT,0x489E2,빌드대기,초핀: 아라라토스의 유적 던전은 층이 상당히 많은것 같습니다.,초핀: 아라라토스의 유적 던전은 층이 상당히 많은것 같습니다.,2,0
1393,5/S5013.DAT,0x48BAC,빌드대기,맡길 리가 없잖아!,맡길 리가 없잖아!,0,0
1398,5/S5013.DAT,0x48D5A,빌드대기,친절하기도 하군.,친절하기도 하군.,0,0
1402,5/S5013.DAT,0x48EAC,빌드대기,초핀: 어느 것에 관해 말씀드릴까요?,초핀: 어느 것에 관해 말씀드릴까요?,1,0
1403,5/S5013.DAT,0x48F04,선택지,스톤 서클 링 위치 설정 소환수에 대해 다음 페이지,스톤 서클 링 위치 설정 소환수에 대해 다음 페이지,7,0
1404,5/S5013.DAT,0x48F80,선택지,포코의 악기 투기장 키토우올 그만,포코의 악기 투기장 키토우올 그만,7,0
1405,5/S5013.DAT,0x48FF2,선택지,스톤 서클 링 위치 설정 소환수 다음 페이지,스톤 서클 링 위치 설정 소환수 다음 페이지,7,0
1406,5/S5013.DAT,0x4906A,선택지,포코의 악기 투기장 키토우올 다음 페이지,포코의 악기 투기장 키토우올 다음 페이지,7,0
1407,5/S5013.DAT,0x490DC,선택지,라마다사의 수행 로맨싱 스톤 장신구 비단 띠 그만,라마다사의 수행 로맨싱 스톤 장신구 비단 띠 그만,7,0
1408,5/S5013.DAT,0x49156,빌드대기,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,1,0
1409,5/S5013.DAT,0x491BA,빌드대기,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...,1,0
1413,5/S5013.DAT,0x49346,빌드대기,초핀: 소환수는 전부 여섯까지라고 들었습니다. 그중엔 찾기 어려운 것도 있으니 여기저기 찾아 보십시오.,초핀: 소환수는 전부 여섯까지라고 들었습니다. 그중엔 찾기 어려운 것도 있으니 여기저기 찾아 보십시오.,1,0
1423,5/S5013.DAT,0x49770,빌드대기,초핀: 경험치를 두 배로 주는 「비단 띠」는 누구나 착용할 수 있습니다.,초핀: 경험치를 두 배로 주는 「비단 띠」는 누구나 착용할 수 있습니다.,2,0
1430,5/S5021.DAT,0x47B0E,빌드대기,나는 거기서 보물을 찾아내어 장사로 삼는 모험가란 말이지.,나는 거기서 보물을 찾아내어 장사로 삼는 모험가란 말이지.,3,0
1431,5/S5021.DAT,0x47B70,빌드대기,네 장사 이야기를 듣고 있는 게 아니야.,네 장사 이야기를 듣고 있는 게 아니야.,1,0
1437,5/S5021.DAT,0x47D3E,빌드대기,이제부터가 장사 이야기라는 거지?,이제부터가 장사 이야기라는 거지?,1,0
1452,5/S5021.DAT,0x481D8,빌드대기,그곳 지하 5층에 있는 소환의 항아리를 가져와 주었으면 하네.,그곳 지하 5층에 있는 소환의 항아리를 가져와 주었으면 하네.,2,0
1461,5/S5022.DAT,0x478FC,빌드대기,지하 5층에 있는 소환의 항아리라네.,지하 5층에 있는 소환의 항아리라네.,1,0
1463,5/S5023.DAT,0x4792E,빌드대기,"훌륭하군, 소환의 항아리를 손에 넣은 모양이구나.","훌륭하군, 소환의 항아리를 손에 넣은 모양이구나.",1,0
1466,5/S5023.DAT,0x47A38,빌드대기,확실히 소환의 항아리로군. 그런데 어째서 정령 따위를 만나고 싶은 겐가?,확실히 소환의 항아리로군. 그런데 어째서 정령 따위를 만나고 싶은 겐가?,2,0
1483,5/S5025.DAT,0x47DA4,빌드대기,우효효효효! 또 수집품이 늘었구먼!,우효효효효! 또 수집품이 늘었구먼!,1,0
1552,6/S6013.DAT,0x4834E,빌드대기,"카데르라면 해마다 무투 대회가 있고, 그 상품이 바람의 오브라는 것이었던 걸로 기억하는데?","카데르라면 해마다 무투 대회가 있고, 그 상품이 바람의 오브라는 것이었던 걸로 기억하는데?",1,0
1580,6/S6014.DAT,0x482E2,선택지,전투 요령 2 유용한 정보 그만,전투 요령 2 유용한 정보 그만,5,0
1591,6/S6014.DAT,0x48704,빌드대기,...,...,0,0
1597,6/S6014.DAT,0x4890A,선택지,아라라토스 유적 미르마나의 이후 라마다 수행 그만,아라라토스 유적 미르마나의 이후 라마다 수행 그만,7,0
1603,6/S6014.DAT,0x48B58,빌드대기,맡길 리가 없잖아!,맡길 리가 없잖아!,0,0
1608,6/S6014.DAT,0x48D06,빌드대기,친절하기도 하군.,친절하기도 하군.,0,0
1612,6/S6014.DAT,0x48E58,빌드대기,초핀: 어느 것에 관해 말씀드릴까요?,초핀: 어느 것에 관해 말씀드릴까요?,1,0
1613,6/S6014.DAT,0x48EB0,선택지,스톤 서클 링 위치 설정 소환수에 대해 다음 페이지,스톤 서클 링 위치 설정 소환수에 대해 다음 페이지,7,0
1614,6/S6014.DAT,0x48F2C,선택지,포코의 악기 투기장 키토우올 그만,포코의 악기 투기장 키토우올 그만,7,0
1615,6/S6014.DAT,0x48F9E,선택지,스톤 서클 링 위치 설정 소환수 다음 페이지,스톤 서클 링 위치 설정 소환수 다음 페이지,7,0
1616,6/S6014.DAT,0x49016,선택지,포코의 악기 투기장 키토우올 다음 페이지,포코의 악기 투기장 키토우올 다음 페이지,7,0
1617,6/S6014.DAT,0x49088,선택지,라마다사의 수행 로맨싱 스톤 장신구 비단 띠 그만,라마다사의 수행 로맨싱 스톤 장신구 비단 띠 그만,7,0
1618,6/S6014.DAT,0x49102,빌드대기,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,1,0
1619,6/S6014.DAT,0x49166,빌드대기,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...,1,0
1623,6/S6014.DAT,0x492F2,빌드대기,초핀: 소환수는 전부 여섯까지라고 들었습니다. 그중엔 찾기 어려운 것도 있으니 여기저기 찾아 보십시오.,초핀: 소환수는 전부 여섯까지라고 들었습니다. 그중엔 찾기 어려운 것도 있으니 여기저기 찾아 보십시오.,1,0
1633,6/S6014.DAT,0x4971C,빌드대기,초핀: 경험치를 두 배로 주는 「비단 띠」는 누구나 착용할 수 있습니다.,초핀: 경험치를 두 배로 주는 「비단 띠」는 누구나 착용할 수 있습니다.,2,0
1634,6/S6021.DAT,0x48498,빌드대기,"봐 봐, 방향 전환의 피리를 손에 넣었어.","봐 봐, 방향 전환의 피리를 손에 넣었어.",1,0
1704,6/S6054.DAT,0x4506E,빌드대기,라마다승려: 정답!,라마다승려: 정답!,1,0
1705,6/S6054.DAT,0x450AC,B검수필요,라마다 승려: 스파이는 어디에 있었지?,라마다 승려: 스파이는 어디에 있었지?,1,0
