member,offset,label,char,old_code,risky_code,safe_code,old_lead_is_control
21/S2021.DAT,287246,slot:21/S2021.DAT:36,린,E0 48,E1 D7,,0
21/S2021.DAT,287764,slot:21/S2021.DAT:40,얻,E0 B1,E1 BE,,0
21/S2022.DAT,282898,slot:21/S2022.DAT:2,디,E0 A1,E1 D8,,0
21/S2022.DAT,283156,slot:21/S2022.DAT:4,임,DF F6,E1 CE,,0
21/S2022.DAT,293589,body:21/S2022.DAT:0x47AB8,뿐,E0 07,E1 D6,,0
21/S2031.DAT,293177,body:21/S2031.DAT:0x47932,빌,E0 54,E1 C4,,0
21/S2033.DAT,284186,slot:21/S2033.DAT:12,디,E0 A1,E1 D8,,0
21/S2033.DAT,284428,slot:21/S2033.DAT:14,뭔,E0 D8,E1 E9,,0
21/S2033.DAT,284556,slot:21/S2033.DAT:15,됐,E0 F0,E1 EE,,0
21/S2041.DAT,284456,slot:21/S2041.DAT:14,커,DE D0,E1 F0,,0
21/S2041.DAT,284701,slot:21/S2041.DAT:16,절,E0 E6,E1 DB,,0
21/S2041.DAT,285073,slot:21/S2041.DAT:19,임,DF F6,E1 CE,,0
21/S2041.DAT,285082,slot:21/S2041.DAT:19,돼,E0 30,E1 CA,,0
21/S2041.DAT,285097,slot:21/S2041.DAT:19,련,DE E8,E1 D1,,0
21/S2041.DAT,285108,slot:21/S2041.DAT:19,벨,EA 43,E1 EA,EA 43,0
21/S2041.DAT,285112,slot:21/S2041.DAT:19,맞,E0 DD,E1 C9,,0
21/S2041.DAT,285606,slot:21/S2041.DAT:23,른,E0 AF,E1 CB,,0
21/S2041.DAT,285615,slot:21/S2041.DAT:23,갈,E0 42,E1 C3,EA 19,0
21/S2041.DAT,286215,slot:21/S2041.DAT:28,임,DF F6,E1 CE,,0
21/S2041.DAT,295196,body:21/S2041.DAT:0x48118,됐,E0 F0,E1 EE,,0
21/S2041.DAT,295630,body:21/S2041.DAT:0x482C2,릴,E0 EC,E1 D5,,0
21/S2041.DAT,295834,body:21/S2041.DAT:0x48398,슨,E0 EA,E1 C0,,0
21/S2041.DAT,296192,body:21/S2041.DAT:0x484FE,른,E0 AF,E1 CB,,0
21/S2041.DAT,296301,body:21/S2041.DAT:0x48554,집,E0 D2,E1 DF,E9 DD,0
21/S2041.DAT,296393,body:21/S2041.DAT:0x485A6,맞,E0 DD,E1 C9,,0
21/S2041.DAT,296503,body:21/S2041.DAT:0x4861A,넘,E0 97,E1 EF,,0
21/S2041.DAT,296585,body:21/S2041.DAT:0x48684,차,E0 96,E1 CC,E9 DF,0
21/S2041.DAT,296601,body:21/S2041.DAT:0x48684,함,E0 85,E1 D2,EA 09,0
21/S2042.DAT,282652,slot:21/S2042.DAT:0,절,E0 E6,E1 DB,,0
21/S2042.DAT,282791,slot:21/S2042.DAT:1,커,DE D0,E1 F0,,0
21/S2042.DAT,282921,slot:21/S2042.DAT:2,련,DE E8,E1 D1,,0
21/S2042.DAT,282935,slot:21/S2042.DAT:2,맞,E0 DD,E1 C9,,0
21/S2042.DAT,283408,slot:21/S2042.DAT:6,임,DF F6,E1 CE,,0
21/S2042.DAT,283551,slot:21/S2042.DAT:7,릴,E0 EC,E1 D5,,0
21/S2042.DAT,294903,body:21/S2042.DAT:0x47FF0,더,DF D5,E1 C1,,0
21/S2042.DAT,294910,body:21/S2042.DAT:0x47FF0,릴,E0 EC,E1 D5,,0
21/S2042.DAT,294940,body:21/S2042.DAT:0x47FF0,더,DF D5,E1 C1,,0
21/S2042.DAT,295814,body:21/S2042.DAT:0x4837E,커,DE D0,E1 F0,,0
21/S2044.DAT,282660,slot:21/S2044.DAT:0,궤,E0 28,E1 BF,,0
21/S2044.DAT,283150,slot:21/S2044.DAT:4,함,E0 85,E1 D2,EA 09,0
21/S2045.DAT,284308,slot:21/S2045.DAT:13,별,DE E2,E1 ED,,0
21/S2045.DAT,284314,slot:21/S2045.DAT:13,련,DE E8,E1 D1,,0
21/S2045.DAT,284341,slot:21/S2045.DAT:13,얻,E0 B1,E1 BE,,0
21/S2045.DAT,284563,slot:21/S2045.DAT:15,뿐,E0 07,E1 D6,,0
21/S2045.DAT,284583,slot:21/S2045.DAT:15,얻,E0 B1,E1 BE,,0
21/S2045.DAT,284711,slot:21/S2045.DAT:16,절,E0 E6,E1 DB,,0
21/S2045.DAT,285088,slot:21/S2045.DAT:19,얻,E0 B1,E1 BE,,0
21/S2045.DAT,285221,slot:21/S2045.DAT:20,벨,EA 43,E1 EA,EA 43,0
21/S2045.DAT,285224,slot:21/S2045.DAT:20,차,E0 96,E1 CC,E9 DF,0
21/S2045.DAT,285461,slot:21/S2045.DAT:22,얻,E0 B1,E1 BE,,0
21/S2045.DAT,285478,slot:21/S2045.DAT:22,클,EA 7B,E1 EC,EA 7B,0
21/S2045.DAT,285732,slot:21/S2045.DAT:24,벨,EA 43,E1 EA,EA 43,0
21/S2045.DAT,285735,slot:21/S2045.DAT:24,차,E0 96,E1 CC,E9 DF,0
21/S2045.DAT,285741,slot:21/S2045.DAT:24,더,DF D5,E1 C1,,0
21/S2045.DAT,285975,slot:21/S2045.DAT:26,개,EA 1A,E1 C2,EA 1A,0
21/S2045.DAT,286216,slot:21/S2045.DAT:28,커,DE D0,E1 F0,,0
21/S2045.DAT,286232,slot:21/S2045.DAT:28,술,E3 04,E1 E2,EA 54,1
21/S2045.DAT,286254,slot:21/S2045.DAT:28,꾸,DF DA,E1 E3,,0
21/S2045.DAT,286396,slot:21/S2045.DAT:29,집,E0 D2,E1 DF,E9 DD,0
21/S2045.DAT,287012,slot:21/S2045.DAT:34,탄,EA 7C,E1 DA,EA 7C,0
21/S2045.DAT,287021,slot:21/S2045.DAT:34,탄,EA 7C,E1 DA,EA 7C,0
21/S2045.DAT,287115,slot:21/S2045.DAT:35,함,E0 85,E1 D2,EA 09,0
21/S2045.DAT,287505,slot:21/S2045.DAT:38,꾸,DF DA,E1 E3,,0
21/S2045.DAT,288265,slot:21/S2045.DAT:44,능,EA 27,E1 E0,EA 27,0
21/S2045.DAT,294825,body:21/S2045.DAT:0x47F94,능,EA 27,E1 E0,EA 27,0
21/S2045.DAT,294939,body:21/S2045.DAT:0x4800E,능,EA 27,E1 E0,EA 27,0
21/S2045.DAT,296663,body:21/S2045.DAT:0x486D2,욕,EA 62,E1 E1,EA 62,0
21/S2045.DAT,297193,body:21/S2045.DAT:0x488C8,겁,DF DE,E1 E7,,0
21/S2045.DAT,297827,body:21/S2045.DAT:0x48B62,론,DF D1,E1 C7,,0
21/S2045.DAT,297844,body:21/S2045.DAT:0x48B62,맡,E0 4B,E1 CD,,0
21/S2045.DAT,298001,body:21/S2045.DAT:0x48C0A,케,E0 78,E1 E8,E9 E9,0
21/S2045.DAT,298098,body:21/S2045.DAT:0x48C5E,켜,E0 79,E1 D3,,0
21/S2045.DAT,298446,body:21/S2045.DAT:0x48DB4,련,DE E8,E1 D1,,0
21/S2045.DAT,298453,body:21/S2045.DAT:0x48DB4,개,EA 1A,E1 C2,EA 1A,0
21/S2045.DAT,300300,body:21/S2045.DAT:0x49506,겐,E1 2F,E1 C5,EA 1C,1
21/S2045.DAT,300327,body:21/S2045.DAT:0x49506,탄,EA 7C,E1 DA,EA 7C,0
21/S2045.DAT,300738,body:21/S2045.DAT:0x496A6,빌,E0 54,E1 C4,,0
21/S2045.DAT,300752,body:21/S2045.DAT:0x496A6,겐,E1 2F,E1 C5,EA 1C,1
22/S2046.DAT,282753,slot:22/S2046.DAT:1,슨,E0 EA,E1 C0,,0
22/S2046.DAT,282774,slot:22/S2046.DAT:1,떠,E0 B8,E1 DE,,0
22/S2046.DAT,282792,slot:22/S2046.DAT:1,클,EA 7B,E1 EC,EA 7B,0
22/S2046.DAT,282804,slot:22/S2046.DAT:1,른,E0 AF,E1 CB,,0
22/S2046.DAT,283043,slot:22/S2046.DAT:3,겁,DF DE,E1 E7,,0
22/S2046.DAT,283149,slot:22/S2046.DAT:4,클,EA 7B,E1 EC,EA 7B,0
22/S2046.DAT,283315,slot:22/S2046.DAT:5,케,E0 78,E1 E8,E9 E9,0
22/S2046.DAT,283538,slot:22/S2046.DAT:7,능,EA 27,E1 E0,EA 27,0
22/S2046.DAT,283781,slot:22/S2046.DAT:9,클,EA 7B,E1 EC,EA 7B,0
22/S2046.DAT,283909,slot:22/S2046.DAT:10,됐,E0 F0,E1 EE,,0
22/S2046.DAT,284165,slot:22/S2046.DAT:12,클,EA 7B,E1 EC,EA 7B,0
22/S2046.DAT,284434,slot:22/S2046.DAT:14,갈,E0 42,E1 C3,EA 19,0
22/S2046.DAT,284933,slot:22/S2046.DAT:18,슨,E0 EA,E1 C0,,0
22/S2046.DAT,285583,slot:22/S2046.DAT:23,빌,E0 54,E1 C4,,0
22/S2046.DAT,285825,slot:22/S2046.DAT:25,슨,E0 EA,E1 C0,,0
22/S2046.DAT,295105,body:22/S2046.DAT:0x480B0,맡,E0 4B,E1 CD,,0
22/S2046.DAT,295605,body:22/S2046.DAT:0x4829E,더,DF D5,E1 C1,,0
22/S2046.DAT,296180,body:22/S2046.DAT:0x484EA,뭔,E0 D8,E1 E9,,0
22/S2046.DAT,297613,body:22/S2046.DAT:0x48A80,겐,E1 2F,E1 C5,EA 1C,1
22/S2046.DAT,298126,body:22/S2046.DAT:0x48C8C,앗,EA 9C,E1 C6,,0
22/S2046.DAT,298135,body:22/S2046.DAT:0x48C8C,슨,E0 EA,E1 C0,,0
22/S2047.DAT,282676,slot:22/S2047.DAT:0,몰,E0 ED,E1 D4,,0
22/S2047.DAT,282774,slot:22/S2047.DAT:1,뿐,E0 07,E1 D6,,0
22/S2051.DAT,285610,slot:22/S2051.DAT:23,궤,E0 28,E1 BF,,0
22/S2051.DAT,285614,slot:22/S2051.DAT:23,관,E0 F3,E1 DD,,0
22/S2051.DAT,285712,slot:22/S2051.DAT:24,함,E0 85,E1 D2,EA 09,0
22/S2051.DAT,286091,slot:22/S2051.DAT:27,멸,E0 4D,E1 DC,,0
22/S2051.DAT,286478,slot:22/S2051.DAT:30,멸,E0 4D,E1 DC,,0
22/S2051.DAT,286874,slot:22/S2051.DAT:33,더,DF D5,E1 C1,,0
22/S2051.DAT,287240,slot:22/S2051.DAT:36,맡,E0 4B,E1 CD,,0
22/S2051.DAT,287499,slot:22/S2051.DAT:38,멸,E0 4D,E1 DC,,0
22/S2051.DAT,293204,body:22/S2051.DAT:0x4792C,더,DF D5,E1 C1,,0
22/S2051.DAT,294310,body:22/S2051.DAT:0x47D9C,뭔,E0 D8,E1 E9,,0
22/S2051.DAT,294328,body:22/S2051.DAT:0x47D9C,얻,E0 B1,E1 BE,,0
22/S2052.DAT,283795,slot:22/S2052.DAT:9,쳐,E0 D3,E1 E4,,0
22/S2052.DAT,285342,slot:22/S2052.DAT:21,멸,E0 4D,E1 DC,,0
22/S2052.DAT,285358,slot:22/S2052.DAT:21,릴,E0 EC,E1 D5,,0
22/S2052.DAT,286479,slot:22/S2052.DAT:30,멸,E0 4D,E1 DC,,0
22/S2052.DAT,293626,body:22/S2052.DAT:0x47ADE,멸,E0 4D,E1 DC,,0
22/S2053.DAT,284191,slot:22/S2053.DAT:12,관,E0 F3,E1 DD,,0
22/S2053.DAT,284437,slot:22/S2053.DAT:14,쳐,E0 D3,E1 E4,,0
22/S2053.DAT,293667,body:22/S2053.DAT:0x47B0E,궤,E0 28,E1 BF,,0
22/S2055.DAT,282642,slot:22/S2055.DAT:0,쳐,E0 D3,E1 E4,,0
22/S2055.DAT,282776,slot:22/S2055.DAT:1,앗,EA 9C,E1 C6,,0
22/S2055.DAT,282897,slot:22/S2055.DAT:2,빌,E0 54,E1 C4,,0
22/S2055.DAT,283803,slot:22/S2055.DAT:9,른,E0 AF,E1 CB,,0
22/S2055.DAT,284177,slot:22/S2055.DAT:12,맡,E0 4B,E1 CD,,0
22/S2055.DAT,284296,slot:22/S2055.DAT:13,궤,E0 28,E1 BF,,0
22/S2055.DAT,284314,slot:22/S2055.DAT:13,슨,E0 EA,E1 C0,,0
22/S2055.DAT,284317,slot:22/S2055.DAT:13,관,E0 F3,E1 DD,,0
22/S2055.DAT,284678,slot:22/S2055.DAT:16,슨,E0 EA,E1 C0,,0
22/S2055.DAT,284806,slot:22/S2055.DAT:17,욕,EA 62,E1 E1,EA 62,0
22/S2055.DAT,284838,slot:22/S2055.DAT:17,꾸,DF DA,E1 E3,,0
22/S2055.DAT,285343,slot:22/S2055.DAT:21,른,E0 AF,E1 CB,,0
22/S2055.DAT,295409,body:22/S2055.DAT:0x481EC,앗,EA 9C,E1 C6,,0
22/S2056.DAT,282636,slot:22/S2056.DAT:0,뭔,E0 D8,E1 E9,,0
22/S2056.DAT,282766,slot:22/S2056.DAT:1,궤,E0 28,E1 BF,,0
22/S2056.DAT,282894,slot:22/S2056.DAT:2,궤,E0 28,E1 BF,,0
22/S2056.DAT,283014,slot:22/S2056.DAT:3,뭔,E0 D8,E1 E9,,0
22/S2056.DAT,293201,body:22/S2056.DAT:0x47946,빌,E0 54,E1 C4,,0
22/S2057.DAT,284443,slot:22/S2057.DAT:14,겁,DF DE,E1 E7,,0
22/S2058.DAT,282631,slot:22/S2058.DAT:0,슨,E0 EA,E1 C0,,0
22/S2058.DAT,282659,slot:22/S2058.DAT:0,궤,E0 28,E1 BF,,0
22/S205A.DAT,282645,slot:22/S205A.DAT:0,개,EA 1A,E1 C2,EA 1A,0
22/S205A.DAT,282653,slot:22/S205A.DAT:0,슨,E0 EA,E1 C0,,0
22/S205A.DAT,282769,slot:22/S205A.DAT:1,개,EA 1A,E1 C2,EA 1A,0
22/S205A.DAT,282803,slot:22/S205A.DAT:1,개,EA 1A,E1 C2,EA 1A,0
22/S205A.DAT,282895,slot:22/S205A.DAT:2,개,EA 1A,E1 C2,EA 1A,0
22/S205B.DAT,282640,slot:22/S205B.DAT:0,개,EA 1A,E1 C2,EA 1A,0
22/S205B.DAT,282768,slot:22/S205B.DAT:1,디,E0 A1,E1 D8,,0
22/S205C.DAT,282924,slot:22/S205C.DAT:2,린,E0 48,E1 D7,,0
22/S205C.DAT,283656,slot:22/S205C.DAT:8,차,E0 96,E1 CC,E9 DF,0
22/S205C.DAT,284802,slot:22/S205C.DAT:17,돼,E0 30,E1 CA,,0
22/S205C.DAT,293998,body:22/S205C.DAT:0x47C5C,궤,E0 28,E1 BF,,0
22/S205C.DAT,294013,body:22/S205C.DAT:0x47C5C,궤,E0 28,E1 BF,,0
22/S205C.DAT,294020,body:22/S205C.DAT:0x47C5C,넘,E0 97,E1 EF,,0
22/S205C.DAT,294371,body:22/S205C.DAT:0x47DCC,넘,E0 97,E1 EF,,0
22/S205C.DAT,294726,body:22/S205C.DAT:0x47F32,디,E0 A1,E1 D8,,0
23/S2061.DAT,296274,body:23/S2061.DAT:0x4853A,디,E0 A1,E1 D8,,0
23/S2061.DAT,297197,body:23/S2061.DAT:0x488E4,빌,E0 54,E1 C4,,0
23/S2071.DAT,282648,slot:23/S2071.DAT:0,릴,E0 EC,E1 D5,,0
23/S2071.DAT,282651,slot:23/S2071.DAT:0,뿐,E0 07,E1 D6,,0
23/S2071.DAT,282902,slot:23/S2071.DAT:2,떠,E0 B8,E1 DE,,0
23/S2071.DAT,283167,slot:23/S2071.DAT:4,함,E0 85,E1 D2,EA 09,0
23/S2071.DAT,283411,slot:23/S2071.DAT:6,떠,E0 B8,E1 DE,,0
23/S2071.DAT,283416,slot:23/S2071.DAT:6,릴,E0 EC,E1 D5,,0
23/S2071.DAT,283911,slot:23/S2071.DAT:10,린,E0 48,E1 D7,,0
23/S2071.DAT,293602,body:23/S2071.DAT:0x47AD6,술,E3 04,E1 E2,EA 54,1
23/S2081.DAT,283536,slot:23/S2081.DAT:7,빌,E0 54,E1 C4,,0
23/S2081.DAT,283555,slot:23/S2081.DAT:7,궤,E0 28,E1 BF,,0
23/S2081.DAT,293129,body:23/S2081.DAT:0x478F0,린,E0 48,E1 D7,,0
23/S2082.DAT,283815,slot:23/S2082.DAT:9,빌,E0 54,E1 C4,,0
23/S2082.DAT,283912,slot:23/S2082.DAT:10,궤,E0 28,E1 BF,,0
23/S2082.DAT,283929,slot:23/S2082.DAT:10,넘,E0 97,E1 EF,,0
23/S2082.DAT,293250,body:23/S2082.DAT:0x47972,관,E0 F3,E1 DD,,0
31/S3011.DAT,282771,slot:31/S3011.DAT:1,절,E0 E6,E1 DB,,0
31/S3011.DAT,294902,body:31/S3011.DAT:0x47FEE,절,E0 E6,E1 DB,,0
31/S3012.DAT,283815,slot:31/S3012.DAT:9,커,DE D0,E1 F0,,0
31/S3012.DAT,284060,slot:31/S3012.DAT:11,절,E0 E6,E1 DB,,0
31/S3012.DAT,284457,slot:31/S3012.DAT:14,련,DE E8,E1 D1,,0
31/S3012.DAT,284471,slot:31/S3012.DAT:14,맞,E0 DD,E1 C9,,0
31/S3012.DAT,284944,slot:31/S3012.DAT:18,임,DF F6,E1 CE,,0
31/S3012.DAT,295814,body:31/S3012.DAT:0x4837E,커,DE D0,E1 F0,,0
31/S3013.DAT,282646,slot:31/S3013.DAT:0,절,E0 E6,E1 DB,,0
31/S3013.DAT,282670,slot:31/S3013.DAT:0,얻,E0 B1,E1 BE,,0
31/S3013.DAT,282762,slot:31/S3013.DAT:1,커,DE D0,E1 F0,,0
31/S3013.DAT,282897,slot:31/S3013.DAT:2,련,DE E8,E1 D1,,0
31/S3013.DAT,282918,slot:31/S3013.DAT:2,갈,E0 42,E1 C3,EA 19,0
31/S3013.DAT,283168,slot:31/S3013.DAT:4,갈,E0 42,E1 C3,EA 19,0
31/S3013.DAT,283183,slot:31/S3013.DAT:4,더,DF D5,E1 C1,,0
31/S3013.DAT,283288,slot:31/S3013.DAT:5,몰,E0 ED,E1 D4,,0
31/S3013.DAT,283546,slot:31/S3013.DAT:7,갈,E0 42,E1 C3,EA 19,0
31/S3013.DAT,283654,slot:31/S3013.DAT:8,뭔,E0 D8,E1 E9,,0
31/S3013.DAT,283666,slot:31/S3013.DAT:8,얻,E0 B1,E1 BE,,0
31/S3013.DAT,284181,slot:31/S3013.DAT:12,겁,DF DE,E1 E7,,0
31/S3013.DAT,294917,body:31/S3013.DAT:0x47FF6,더,DF D5,E1 C1,,0
31/S3013.DAT,294932,body:31/S3013.DAT:0x47FF6,더,DF D5,E1 C1,,0
31/S3013.DAT,295515,body:31/S3013.DAT:0x48236,른,E0 AF,E1 CB,,0
31/S3014.DAT,284200,slot:31/S3014.DAT:12,탄,EA 7C,E1 DA,EA 7C,0
31/S3014.DAT,284209,slot:31/S3014.DAT:12,탄,EA 7C,E1 DA,EA 7C,0
31/S3014.DAT,284308,slot:31/S3014.DAT:13,별,DE E2,E1 ED,,0
31/S3014.DAT,284312,slot:31/S3014.DAT:13,련,DE E8,E1 D1,,0
31/S3014.DAT,284339,slot:31/S3014.DAT:13,얻,E0 B1,E1 BE,,0
31/S3014.DAT,284563,slot:31/S3014.DAT:15,뿐,E0 07,E1 D6,,0
31/S3014.DAT,284583,slot:31/S3014.DAT:15,얻,E0 B1,E1 BE,,0
31/S3014.DAT,290876,body:31/S3014.DAT:0x4702E,능,EA 27,E1 E0,EA 27,0
31/S3014.DAT,292603,body:31/S3014.DAT:0x476F6,욕,EA 62,E1 E1,EA 62,0
31/S3014.DAT,293133,body:31/S3014.DAT:0x478EC,겁,DF DE,E1 E7,,0
31/S3014.DAT,293767,body:31/S3014.DAT:0x47B86,론,DF D1,E1 C7,,0
31/S3014.DAT,293784,body:31/S3014.DAT:0x47B86,맡,E0 4B,E1 CD,,0
31/S3014.DAT,293860,body:31/S3014.DAT:0x47BE4,맡,E0 4B,E1 CD,,0
31/S3014.DAT,293941,body:31/S3014.DAT:0x47C2E,케,E0 78,E1 E8,E9 E9,0
31/S3014.DAT,294038,body:31/S3014.DAT:0x47C82,켜,E0 79,E1 D3,,0
31/S3014.DAT,294386,body:31/S3014.DAT:0x47DD8,련,DE E8,E1 D1,,0
31/S3014.DAT,294393,body:31/S3014.DAT:0x47DD8,개,EA 1A,E1 C2,EA 1A,0
31/S3014.DAT,296240,body:31/S3014.DAT:0x4852A,겐,E1 2F,E1 C5,EA 1C,1
31/S3014.DAT,296267,body:31/S3014.DAT:0x4852A,탄,EA 7C,E1 DA,EA 7C,0
31/S3014.DAT,296678,body:31/S3014.DAT:0x486CA,빌,E0 54,E1 C4,,0
