slot,code,lookup_value,target_char,bounded_occurrences,raw_archive_occurrences,protected,globally_absent_candidate
100,E9 65,0x810C,청,4,75,0,0
101,E9 66,0x801E,물,8,120,0,0
102,E9 67,0x80FF,답,5,39,0,0
103,E9 68,0x80CC,땅,10,20,0,0
104,E9 69,0x80B7,밀,10,22,0,0
105,E9 6A,0x80BE,란,11,30,0,0
106,E9 6B,0x80AF,듣,15,24,0,0
107,E9 6C,0x80D9,햣,8,18,0,0
108,E9 6D,0x812A,엽,2,17,0,0
109,E9 6E,0x80F4,딘,6,14,0,0
110,E9 6F,0x810D,떨,4,18,0,0
111,E9 70,0x80E3,쨌,7,72,0,0
112,E9 71,0x80AE,료,16,23,0,0
113,E9 72,0x80D7,범,8,23,0,0
114,E9 73,0x812B,엑,2,17,0,0
115,E9 74,0x8023,변,11,24,0,0
116,E9 75,0x006A,,2,7,1,0
117,E9 76,0x812C,긋,2,42,0,0
118,E9 77,0x0089,보,7,151,0,0
119,E9 78,0x80D4,훗,8,12,0,0
120,E9 79,0x811B,힌,3,69,0,0
121,E9 7A,0x80DA,셈,7,17,0,0
122,E9 7B,0x00B1,부,21,58,0,0
123,E9 7C,0x812D,챔,2,6,0,0
124,E9 7D,0x00BE,분,2,9,0,0
125,E9 7E,0x8100,킨,4,29,0,0
126,E9 7F,0x811C,권,3,47,0,0
127,E9 80,0x812E,탐,2,271,0,0
128,E9 81,0x80B4,설,14,183,0,0
129,E9 82,0x811D,썩,3,19,0,0
130,E9 83,0x0069,사,31,61,0,0
131,E9 84,0x811E,맙,3,4,0,0
132,E9 85,0x8020,상,60,60,0,0
133,E9 86,0x80C0,큼,11,12,0,0
134,E9 87,0x811F,백,3,21,0,0
135,E9 88,0x0058,서,7,52,0,0
136,E9 89,0x8101,철,5,20,0,0
137,E9 8A,0x812F,둬,2,14,0,0
138,E9 8B,0x80DB,횟,8,12,0,0
139,E9 8C,0x8131,랜,2,6,0,0
140,E9 8D,0x8013,수,19,43,0,0
141,E9 8E,0x80E5,재,7,9,0,0
142,E9 8F,0x810E,늪,3,47,0,0
143,E9 90,0x006E,스,42,95,0,0
144,E9 91,0x8133,탱,2,29,0,0
145,E9 92,0x008D,승,38,53,0,0
146,E9 93,0x8008,시,39,39,0,0
147,E9 94,0x8123,즉,3,25,0,0
148,E9 95,0x0085,신,11,33,0,0
149,E9 96,0x80DC,낳,8,143,0,0
150,E9 97,0x00A5,심,3,64,0,0
151,E9 98,0x8124,교,3,58,0,0
152,E9 99,0x810A,쓴,4,50,0,0
153,E9 9A,0x0094,아,47,72,0,0
154,E9 9B,0x8134,옮,2,16,0,0
155,E9 9C,0x00D8,안,5,40,0,0
156,E9 9D,0x80F7,딸,5,13,0,0
157,E9 9E,0x0078,야,4,26,0,0
158,E9 9F,0x8146,뛸,1,15,0,0
159,E9 A0,0x80C1,턴,11,61,0,0
160,E9 A1,0x8003,어,18,22,0,0
161,E9 A2,0x8110,취,4,8,0,0
162,E9 A3,0x00A0,없,6,6,0,0
163,E9 A4,0x8001,에,25,42,0,0
164,E9 A5,0x800D,여,7,7,0,0
165,E9 A6,0x80C2,찬,11,14,0,0
166,E9 A7,0x8111,액,4,23,0,0
167,E9 A8,0x8012,오,7,17,0,0
168,E9 A9,0x80E8,므,7,39,0,0
169,E9 AA,0x00B7,올,3,96,0,0
170,E9 AB,0x80F8,캐,6,7,0,0
171,E9 AC,0x00B6,와,7,52,0,0
172,E9 AD,0x00A4,왕,6,18,0,0
173,E9 AE,0x8112,릭,4,24,0,0
174,E9 AF,0x008A,요,18,56,0,0
175,E9 B0,0x8113,슷,4,17,0,0
176,E9 B1,0x0087,우,12,43,0,0
177,E9 B2,0x00D9,운,4,24,0,0
178,E9 B3,0x8147,덤,1,5,0,0
179,E9 B4,0x8114,급,4,6,0,0
180,E9 B5,0x00B4,원,12,20,0,0
181,E9 B6,0x00BA,위,6,8,0,0
182,E9 B7,0x00CA,유,10,73,0,0
183,E9 B8,0x8136,냈,2,31,0,0
184,E9 B9,0x0079,으,13,26,0,0
185,E9 BA,0x0055,은,7,15,0,0
186,E9 BB,0x8026,을,23,76,0,0
187,E9 BC,0x00C5,음,6,63,0,0
188,E9 BD,0x8002,의,76,93,0,0
189,E9 BE,0x8148,몇,1,54,0,0
190,E9 BF,0x8018,인,11,55,0,0
191,E9 C0,0x009C,일,9,48,0,0
192,E9 C1,0x80EA,끼,7,52,0,0
193,E9 C2,0x00A1,입,3,29,0,0
194,E9 C3,0x0088,자,11,34,0,0
195,E9 C4,0x8137,흘,2,18,0,0
196,E9 C5,0x8138,존,2,24,0,0
197,E9 C6,0x8149,등,1,36,0,0
198,E9 C7,0x8021,장,22,42,0,0
199,E9 C8,0x813A,값,2,20,0,0
200,E9 C9,0x814A,념,1,9,0,0
201,E9 CA,0x8017,전,17,19,0,0
202,E9 CB,0x8103,쁘,5,92,0,0
203,E9 CC,0x80EC,칭,6,85,0,0
204,E9 CD,0x800A,정,16,186,0,0
205,E9 CE,0x00B3,제,6,47,0,0
206,E9 CF,0x813B,겼,2,157,0,0
207,E9 D0,0x00A3,조,3,22,0,0
208,E9 D1,0x814B,끓,1,57,0,0
209,E9 D2,0x814C,앙,1,7,0,0
210,E9 D3,0x814D,똑,0,20,0,0
211,E9 D4,0x0086,주,11,31,0,0
212,E9 D5,0x814E,왠,0,11,0,0
213,E9 D6,0x8058,줄,0,22,0,0
214,E9 D7,0x8057,중,0,35,0,0
215,E9 D8,0x80A7,증,17,28,0,0
216,E9 D9,0x8010,지,48,63,0,0
217,E9 DA,0x02EA,직,0,10,0,0
218,E9 DB,0x02E9,진,0,12,0,0
219,E9 DC,0x8055,질,0,46,0,0
220,E9 DD,0x05B6,집,0,83,0,0
221,E9 DE,0x02E6,찌,0,58,0,0
222,E9 DF,0x05A3,차,0,295,0,0
223,E9 E0,0x0365,천,0,60,0,0
224,E9 E1,0x8078,첩,0,29,0,0
225,E9 E2,0x809A,체,0,54,0,0
226,E9 E3,0x006D,초,6,45,0,0
227,E9 E4,0x00C8,촌,6,33,0,0
228,E9 E5,0x8052,최,0,24,0,0
229,E9 E6,0x02F3,치,0,38,0,0
230,E9 E7,0x0333,침,0,41,0,0
231,E9 E8,0x8075,카,0,57,0,0
232,E9 E9,0x05BF,케,0,24,0,0
233,E9 EA,0x8051,코,0,50,0,0
234,E9 EB,0x0265,쿠,0,43,0,0
235,E9 EC,0x009D,크,22,65,0,0
236,E9 ED,0x02E3,큰,0,28,0,0
237,E9 EE,0x806F,키,0,240,0,0
238,E9 EF,0x0361,킬,0,47,0,0
239,E9 F0,0x808B,타,0,45,0,0
240,E9 F1,0x026E,탑,0,113,0,0
241,E9 F2,0x02E1,태,0,42,0,0
242,E9 F3,0x008C,터,39,68,0,0
243,E9 F4,0x8022,토,10,82,0,0
244,E9 F5,0x8041,투,0,55,0,0
245,E9 F6,0x80A0,트,0,71,0,0
246,E9 F7,0x02DF,틀,0,46,0,0
247,E9 F8,0x804E,파,0,58,0,0
248,E9 F9,0x02DE,판,0,48,0,0
249,E9 FA,0x0364,팔,0,34,0,0
250,E9 FB,0x02DD,퍼,0,106,0,0
251,E9 FC,0x808C,편,0,97,0,0
252,E9 FD,0x02DC,평,0,143,0,0
253,E9 FE,0x02DB,포,0,125,0,0
254,EA 01,0x03B8,폭,0,707,0,0
255,EA 02,0x0363,풀,0,473,0,0
256,EA 03,0x02A3,풍,0,179,0,0
257,EA 04,0x804D,프,0,154,0,0
258,EA 05,0x0377,플,0,79,0,0
259,EA 06,0x8040,피,0,215,0,0
260,EA 07,0x801D,하,34,1582,0,0
261,EA 08,0x0084,한,4,118,0,0
262,EA 09,0x05A9,함,0,517,0,0
263,EA 0A,0x02B3,합,0,62,0,0
264,EA 0B,0x05BD,항,0,53,0,0
265,EA 0C,0x8011,해,26,159,0,0
266,EA 0D,0x8035,행,0,777,0,0
267,EA 0E,0x02D2,향,0,782,0,0
268,EA 0F,0x80C4,허,10,224,0,0
269,EA 10,0x806D,험,0,305,0,0
270,EA 11,0x0376,헤,0,64,0,0
271,EA 12,0x02D8,화,0,74,0,0
272,EA 13,0x02A2,확,0,70,0,0
273,EA 14,0x809E,활,0,86,0,0
274,EA 15,0x02D6,황,0,86,0,0
275,EA 16,0x00B5,회,24,95,0,0
276,EA 17,0x023A,후,0,76,0,0
277,EA 18,0x009E,힘,4,604,0,0
278,EA 19,0x059A,갈,0,42,0,0
279,EA 1A,0x0599,개,0,20,0,0
280,EA 1B,0x8166,갯,1,23,0,0
281,EA 1C,0x059C,겐,0,20,0,0
282,EA 1D,0x80FB,곤,5,201,0,0
283,EA 1E,0x8143,골,2,48,0,0
284,EA 1F,0x80CB,귀,9,81,0,0
285,EA 20,0x80CD,극,10,245,0,0
286,EA 21,0x8151,껍,1,45,0,0
287,EA 22,0x80BF,끈,11,94,0,0
288,EA 23,0x8165,낫,1,11,0,0
289,EA 24,0x8154,냉,1,52,0,0
290,EA 25,0x00BD,네,2,30,0,0
291,EA 26,0x813E,뇌,2,41,0,0
292,EA 27,0x05B7,능,0,17,0,0
293,EA 28,0x8150,닷,1,22,0,0
294,EA 29,0x8132,덴,2,35,0,0
295,EA 2A,0x80F9,독,6,10,0,0
296,EA 2B,0x8048,둔,0,12,0,0
297,EA 2C,0x0235,득,0,28,0,0
298,EA 2D,0x8167,듦,1,16,0,0
299,EA 2E,0x8163,띄,1,7,0,0
300,EA 2F,0x80E7,띠,7,13,0,0
301,EA 30,0x80DF,락,7,318,0,0
302,EA 31,0x80E2,랑,7,65,0,0
303,EA 32,0x816B,랙,1,50,0,0
304,EA 33,0x816E,랩,1,31,0,0
305,EA 34,0x815A,렉,1,88,0,0
306,EA 35,0x8144,렘,2,45,0,0
307,EA 36,0x814F,렛,1,19,0,0
308,EA 37,0x815F,렬,1,7,0,0
309,EA 38,0x8046,롭,0,25,0,0
310,EA 39,0x8140,뢰,2,12,0,0
311,EA 3A,0x8160,룬,1,82,0,0
312,EA 3B,0x8104,률,5,6,0,0
313,EA 3C,0x80E4,링,7,46,0,0
314,EA 3D,0x80A6,맨,17,79,0,0
315,EA 3E,0x0399,멘,0,908,0,0
316,EA 3F,0x8127,묵,3,42,0,0
317,EA 40,0x80FE,박,5,467,0,0
318,EA 41,0x8068,벌,0,21,0,0
319,EA 42,0x80A4,베,18,42,0,0
320,EA 43,0x05C1,벨,0,42,0,0
321,EA 44,0x80F5,벽,6,42,0,0
322,EA 45,0x8139,붕,2,31,0,0
323,EA 46,0x816D,뷰,1,17,0,0
324,EA 47,0x816A,블,1,8,0,0
325,EA 48,0x8141,빙,2,14,0,0
326,EA 49,0x8130,뿔,2,15,0,0
327,EA 4A,0x8087,살,0,5,0,0
328,EA 4B,0x8120,샘,3,6,0,0
329,EA 4C,0x80D2,샤,9,13,0,0
330,EA 4D,0x8142,샬,2,14,0,0
331,EA 4E,0x8098,석,0,6,0,0
332,EA 4F,0x0306,섬,0,31,0,0
333,EA 50,0x01F5,셔,0,73,0,0
334,EA 51,0x8115,션,1,146,0,0
335,EA 52,0x03B9,속,0,183,0,0
336,EA 53,0x8122,순,3,11,0,0
337,EA 54,0x05B9,술,0,27,0,0
338,EA 55,0x80B3,싱,14,43,0,0
339,EA 56,0x815C,썬,1,36,0,0
340,EA 57,0x0368,알,0,31,0,0
341,EA 58,0x80D5,암,9,35,0,0
342,EA 59,0x8153,압,1,10,0,0
343,EA 5A,0x0367,앞,0,8,0,0
344,EA 5B,0x813D,앵,2,12,0,0
345,EA 5C,0x80F6,얼,6,22,0,0
346,EA 5D,0x80FD,업,5,7,0,0
347,EA 5E,0x8080,엔,0,12,0,0
348,EA 5F,0x805E,엘,0,27,0,0
349,EA 60,0x8116,염,3,304,0,0
350,EA 61,0x80A3,영,18,31,0,0
351,EA 62,0x05B8,욕,0,5,0,0
352,EA 63,0x8135,월,2,29,0,0
353,EA 64,0x815B,윈,1,48,0,0
354,EA 65,0x80EB,익,4,1901,0,0
355,EA 66,0x80B9,잎,12,39,0,0
356,EA 67,0x8118,잔,3,11,0,0
357,EA 68,0x8157,젤,1,10,0,0
358,EA 69,0x813F,즌,2,174,0,0
359,EA 6A,0x02E7,짓,0,14,0,0
360,EA 6B,0x810F,짜,4,15,0,0
361,EA 6C,0x8164,찍,1,1,0,0
362,EA 6D,0x806B,참,0,39,0,0
363,EA 6E,0x80EF,창,6,20,0,0
364,EA 6F,0x80C3,책,11,53,0,0
365,EA 70,0x02E5,처,0,48,0,0
366,EA 71,0x813C,척,2,18,0,0
367,EA 72,0x8156,추,1,34,0,0
368,EA 73,0x80A5,축,18,40,0,0
369,EA 74,0x8121,츠,3,14,0,0
370,EA 75,0x80C8,층,10,20,0,0
371,EA 76,0x8162,칸,1,13,0,0
372,EA 77,0x816C,컬,1,32,0,0
373,EA 78,0x8125,켈,3,4,0,0
374,EA 79,0x80E9,콘,6,29,0,0
375,EA 7A,0x006F,,1,13,1,0
376,EA 7B,0x05C3,클,0,19,0,0
377,EA 7C,0x05B1,탄,0,11,0,0
378,EA 7D,0x80B0,탈,15,26,0,0
379,EA 7E,0x8169,텀,1,33,0,0
380,EA 7F,0x02E0,테,0,84,0,0
381,EA 80,0x815E,텔,1,453,0,0
382,EA 81,0x8081,템,0,68,0,0
383,EA 82,0x809D,톤,0,18,0,0
384,EA 83,0x815D,톰,1,15,0,0
385,EA 84,0x810B,퇴,4,40,0,0
386,EA 85,0x80BC,특,11,15,0,0
387,EA 86,0x8102,티,5,6,0,0
388,EA 87,0x8152,팡,1,5,0,0
389,EA 88,0x8126,패,3,18,0,0
390,EA 89,0x8168,팬,1,14,0,0
391,EA 8A,0x816F,펀,1,60,0,0
392,EA 8B,0x8159,폴,1,3,0,0
393,EA 8C,0x8097,표,0,85,0,0
394,EA 8D,0x80C5,필,10,22,0,0
395,EA 8E,0x8170,현,1,16,0,0
396,EA 8F,0x00DB,호,4,17,0,0
397,EA 90,0x03EC,환,0,98,0,0
398,EA 91,0x80E6,획,7,36,0,0
399,EA 92,0x80B2,효,14,27,0,0
400,EA 93,0x8155,흑,1,11,0,0
401,EA 94,0x8161,흡,1,28,0,0
402,EA 95,0x03BE,희,0,1,0,0
403,EA 96,0x03BD,히,0,6,0,0
404,EA 97,0x8158,힐,1,132,0,0
405,EA 98,0x8171,<VIRTUAL:405>,2,13,1,0
406,EA 99,0x007E,,2,36,1,0
407,EA 9A,0x007F,,0,109,1,0
408,EA 9B,0x14B0,,0,6,0,0
