char,kind,code_1byte,code_2byte,physical_index,source_id,frequency
박,dynamic,,EA 40,,92,5
밖,static,,DF 34,781,,22
반,static,,E0 8A,1122,,57
받,static,,E0 10,1000,,83
발,static,,DE A5,639,,93
밤,dynamic,,E9 18,,99,4
방,static,,DF 70,841,,71
배,static,,DF BD,918,,35
백,dynamic,,E9 87,,125,3
뱀,static,,DF BC,917,,2
버,static,A8,E9 11,167,,214
번,static,,DF 97,880,,61
벌,static,,DF BA,915,,20
범,dynamic,,E9 72,,53,8
법,static,,DF 87,864,,63
벗,dynamic,,E9 06,,117,3
베,dynamic,,EA 42,,2,18
벨,static,,E1 EA,1473,,19
벽,dynamic,,EA 44,,83,6
변,static,D2,E9 74,209,,175
별,static,,E1 ED,1476,,18
병,static,B3,,178,,160
보,static,8A,E9 77,137,,245
복,static,,DF 33,780,,29
본,static,,DF CD,934,,50
볼,dynamic,,E9 3A,,10,16
봉,static,,DF 93,876,,25
봐,static,,E0 0D,997,,21
봤,static,,DF 32,779,,3
부,static,B2,E9 7B,177,,219
북,static,,DF 31,778,,7
분,static,BF,E9 7D,190,,138
불,static,,E0 0A,994,,91
붕,dynamic,,EA 45,,151,2
붙,static,,DF 30,777,,12
뷰,dynamic,,EA 46,,203,1
브,static,,DE E1,699,,24
블,dynamic,,EA 47,,200,1
비,static,,DE 7C,598,,115
빌,static,,E1 C4,1435,,29
빙,dynamic,,EA 48,,159,2
빛,static,,E1 D0,1447,,25
빠,dynamic,,E9 41,,27,11
빨,static,,DF 2F,776,,15
빼,static,,E0 09,993,,15
뿐,static,,E1 D6,1453,,22
뿔,dynamic,,EA 49,,142,2
쁘,dynamic,,E9 CB,,97,5
쁜,dynamic,,E9 5A,,81,6
사,static,6A,E9 83,105,,473
산,static,,DF B7,912,,55
살,static,,E0 06,990,,30
삼,static,,DF 2E,775,,6
상,static,CD,E9 85,204,,210
새,static,,DF 92,875,,11
샘,dynamic,,EA 4B,,126,3
생,static,,E0 04,988,,64
샤,dynamic,,EA 4C,,48,9
샬,dynamic,,EA 4D,,160,2
서,static,59,E9 88,88,,569
석,static,,E0 71,1097,,35
섞,static,,DF B9,914,,1
선,static,,DF C5,926,,51
설,dynamic,,E9 81,,18,14
섬,static,,DF 2D,774,,7
섯,static,,DF 2C,773,,14
성,static,,DE BE,664,,87
세,static,D3,E9 1D,210,,157
센,static,,DE 34,526,,2
셈,dynamic,,E9 7A,,56,8
셋,static,,E1 E5,1468,,20
셔,static,,DE 1B,501,,4
션,dynamic,,EA 51,,115,4
셨,static,,DF 2B,772,,22
소,static,,DE 83,605,,114
속,static,,DF E0,953,,46
손,static,C3,E9 05,194,,159
솟,static,,DF 2A,771,,5
송,static,,DF B8,913,,13
쇠,static,,DE E0,698,,3
수,static,76,E9 8D,117,,327
순,dynamic,,EA 53,,128,3
술,static,,E1 E2,1465,,20
숨,static,,DF 29,770,,15
숲,static,,E0 74,1100,,33
쉬,static,,DF 28,769,,4
쉽,static,,DE DF,697,,4
슈,static,,E0 6E,1094,,35
스,static,6F,E9 90,110,,409
슨,static,,E1 C0,1431,,31
슬,static,,DF B6,911,,17
습,static,61,E9 15,96,,512
슷,dynamic,,E9 B0,,113,4
승,static,8E,E9 92,141,,242
시,static,5D,E9 93,92,,570
식,static,,DF B5,910,,27
신,static,86,E9 95,133,,400
실,static,,DF 26,767,,73
싫,static,,DF 91,874,,6
심,static,A6,E9 97,165,,80
십,static,97,,150,,259
싱,dynamic,,EA 55,,17,14
싶,static,,DF 24,765,,51
싸,static,,DE AD,647,,90
쌓,static,,DF 23,764,,8
써,static,,DF B3,908,,24
썩,dynamic,,E9 82,,123,3
썬,dynamic,,EA 56,,186,1
썼,static,,DF 22,763,,1
쓰,static,,E0 02,986,,33
쓴,dynamic,,E9 99,,104,4
쓸,static,,DF 90,873,,9
씀,static,,DE 9C,630,,11
씨,static,,DF 21,762,,45
씩,static,,E0 21,1017,,5
씬,static,,DF 20,761,,2
아,static,95,E9 9A,148,,1028
악,static,,DF 1F,760,,19
안,static,D9,E9 9C,216,,141
않,static,AE,E9 03,173,,182
알,static,,DF 8F,872,,78
암,dynamic,,EA 58,,51,9
압,dynamic,,EA 59,,177,1
앗,static,,E1 C6,1437,,29
았,static,,DE F7,721,,69
앙,dynamic,,E9 D2,,170,1
앞,static,,DF 8E,871,,26
애,static,,DF FE,983,,16
액,dynamic,,E9 A7,,111,4
앵,dynamic,,EA 5B,,155,2
야,static,79,E9 9E,120,,362
약,static,,DF B1,906,,55
양,static,,DD CF,426,,36
어,static,4E,E9 A1,77,,760
억,dynamic,,E9 3C,,46,9
언,static,,DF 78,849,,68
얻,static,,E1 BE,1429,,32
얼,dynamic,,EA 5C,,84,6
얽,static,,DF 1E,759,,1
엄,dynamic,,E9 13,,19,13
업,dynamic,,EA 5D,,91,5
없,static,A1,E9 A3,160,,202
엇,static,,DF 1D,758,,29
었,static,91,E9 1A,144,,239
에,static,46,E9 A4,69,,931
엑,dynamic,,E9 73,,137,2
엔,static,,DF FC,981,,10
엘,static,,DF B0,905,,8
여,static,67,E9 A5,102,,305
역,static,,DF FB,980,,34
연,static,,DF 1C,757,,27
열,static,,E0 35,1037,,36
염,dynamic,,EA 60,,116,4
엽,dynamic,,E9 6D,,136,2
였,static,,DF 1B,756,,15
영,dynamic,,EA 61,,1,18
옆,dynamic,,E9 21,,101,4
예,static,C7,E9 25,198,,132
옛,static,,DE B9,659,,11
오,static,75,E9 A8,116,,380
옥,static,,DF 19,754,,11
온,static,,DF D9,946,,47
올,static,B8,E9 AA,183,,119
옮,dynamic,,E9 9B,,146,2
옷,static,,DE D8,690,,5
와,static,B7,E9 AC,182,,162
왔,static,,DF AF,904,,32
왕,static,A5,E9 AD,164,,215
왜,static,,DF 18,753,,11
왠,dynamic,,E9 D5,,172,1
외,static,,DF 5E,823,,10
요,static,8B,E9 AF,138,,240
욕,static,,E1 E1,1464,,20
용,static,,DE C0,666,,85
우,static,88,E9 B1,135,,413
운,static,DA,E9 B2,217,,161
울,static,,DF F9,978,,35
움,static,,DF 17,752,,41
워,static,,DF AE,903,,44
원,static,B5,E9 B5,180,,180
월,dynamic,,EA 63,,147,2
웠,static,,DE D6,688,,17
웬,static,,DE D5,687,,19
위,static,BB,E9 B6,186,,145
윈,dynamic,,EA 64,,185,1
유,static,CB,E9 B7,202,,159
율,static,,DE 63,573,,5
으,static,7A,E9 B9,121,,328
은,static,56,E9 BA,85,,562
을,static,D5,E9 BB,212,,1241
음,static,C6,E9 BC,197,,155
응,static,,DF F7,976,,15
의,static,4D,E9 BD,76,,974
이,static,,DE 3C,534,,1442
익,dynamic,,EA 65,,73,7
인,static,83,E9 BF,130,,453
일,static,9D,E9 C0,156,,217
읽,static,,DF 16,751,,7
잃,static,,DD 59,308,,5
임,static,,E1 CE,1445,,25
입,static,A2,E9 C2,161,,170
잇,static,,DF 84,861,,1
있,static,53,E9 04,82,,680
잊,dynamic,,E9 5B,,11,16
잎,dynamic,,EA 66,,23,12
자,static,89,E9 C3,136,,619
작,static,,DF EB,964,,45
잔,dynamic,,EA 67,,118,3
잖,static,,DF F5,974,,25
잘,static,,DF AD,902,,52
잠,static,,DE D4,686,,17
잡,static,,DF F4,973,,15
장,static,CE,E9 C7,205,,442
재,dynamic,,E9 8E,,67,7
쟁,static,,DF F3,972,,12
저,static,,DF 37,784,,73
적,static,,DF F2,971,,106
전,static,82,E9 CA,129,,323
절,static,,E1 DB,1458,,22
점,static,,DE D2,684,,23
접,static,,DF 15,750,,13
정,static,5F,E9 CD,94,,470
제,static,B4,E9 CE,179,,227
젠,static,,DF AC,901,,9
젤,dynamic,,EA 68,,181,1
져,static,,DF 14,749,,43
졌,static,,DF F1,970,,18
조,static,A4,E9 D0,163,,148
족,static,,E0 18,1008,,38
존,dynamic,,E9 C5,,150,2
좀,static,,DF AB,900,,9
좋,static,,DE 95,623,,94
죄,dynamic,,E9 2B,,76,6
죠,static,,DF F0,969,,2
주,static,87,E9 D4,134,,391
죽,static,,DF 13,748,,33
준,static,,E0 6C,1092,,35
줄,static,,DF AA,899,,36
중,static,,DF A9,898,,40
줘,static,,DF EF,968,,19
줬,static,,DF A8,897,,2
즉,dynamic,,E9 94,,129,3
즌,dynamic,,EA 69,,157,2
즐,static,,DF 12,747,,1
즘,static,,DD 46,289,,4
증,dynamic,,E9 D8,,5,17
지,static,72,E9 D9,113,,1244
직,static,,DF 11,746,,37
진,static,,DF 10,745,,59
질,static,,DF A7,896,,28
짊,static,,DF 0F,744,,2
집,static,,E1 DF,1462,,20
짓,static,,DF 0E,743,,15
짜,dynamic,,EA 6B,,109,4
째,static,,DF 8D,870,,36
쨌,dynamic,,E9 70,,65,7
쩌,dynamic,,E9 62,,90,5
쪽,static,,DF A6,895,,43
쭐,static,,DF A5,894,,1
쯤,static,,DF EE,967,,5
찌,static,,DF 0D,742,,10
찍,dynamic,,EA 6C,,194,1
차,static,,E1 CC,1443,,25
착,dynamic,,E9 3F,,36,10
찬,dynamic,,E9 A6,,32,11
찮,static,,DF ED,966,,63
참,static,,DF C6,927,,51
창,dynamic,,EA 6E,,77,6
찾,static,,DF FA,979,,44
책,dynamic,,EA 6F,,33,11
챔,dynamic,,E9 7C,,139,2
처,static,,DF 0C,741,,34
척,dynamic,,EA 71,,154,2
천,static,,DF 8C,869,,18
철,dynamic,,E9 89,,95,5
첩,static,,DF EC,965,,9
청,dynamic,,E9 65,,106,4
체,static,,E0 73,1099,,34
쳐,static,,E1 E4,1467,,20
쳤,dynamic,,E9 28,,102,4
초,static,6E,E9 E3,109,,418
촌,static,C9,E9 E4,200,,223
최,static,,DF A4,893,,14
추,dynamic,,EA 72,,180,1
축,dynamic,,EA 73,,3,18
출,static,C1,E9 32,192,,184
춰,dynamic,,E9 1F,,100,4
취,dynamic,,E9 A2,,110,4
츠,dynamic,,EA 74,,127,3
층,dynamic,,EA 75,,38,10
치,static,,DF 1A,755,,79
친,static,,DF EA,963,,6
칠,static,,DF 0B,740,,8
침,static,,DF 5A,819,,17
칭,dynamic,,E9 CC,,74,7
카,static,,DF E9,962,,64
칸,dynamic,,EA 76,,192,1
캐,dynamic,,E9 AB,,86,6
커,static,,E1 F0,1479,,18
컬,dynamic,,EA 77,,202,1
케,static,,E1 E8,1471,,19
켈,dynamic,,EA 78,,131,3
켜,static,,E1 D3,1450,,23
코,static,,DF A3,892,,59
콘,dynamic,,EA 79,,71,7
콜,dynamic,,E9 40,,103,4
쿠,static,,DE 8B,613,,99
크,static,9E,E9 EC,157,,413
큭,dynamic,,E9 47,,163,1
큰,static,,DF 0A,739,,32
클,static,,E1 EC,1475,,19
큼,dynamic,,E9 86,,30,11
키,static,,DF CE,935,,49
킨,dynamic,,E9 7E,,94,5
킬,static,,DF 88,865,,7
타,static,,E0 1A,1010,,37
탁,static,,DF 09,738,,17
탄,static,,E1 DA,1457,,22
탈,dynamic,,EA 7D,,14,15
탐,dynamic,,E9 80,,140,2
탑,static,,DE 94,622,,2
태,static,,DF 08,737,,22
택,dynamic,,E9 33,,52,8
탱,dynamic,,E9 91,,145,2
터,static,8D,E9 F3,140,,309
턴,dynamic,,E9 A0,,31,11
털,static,,DF A2,891,,2
텀,dynamic,,EA 7E,,199,1
텅,static,,DF A1,890,,2
테,static,,DF 07,736,,26
텐,dynamic,,E9 0B,,88,5
텔,dynamic,,EA 80,,188,1
템,static,,DF FD,982,,43
토,static,D1,E9 F4,208,,169
톤,static,,E0 76,1102,,32
톨,static,,E1 EB,1474,,19
톰,dynamic,,EA 83,,187,1
통,dynamic,,E9 2F,,20,13
퇴,dynamic,,EA 84,,105,4
투,static,,DF 83,860,,64
트,static,,E0 82,1114,,46
특,dynamic,,EA 85,,26,11
튼,dynamic,,E9 38,,0,18
틀,static,,DF 06,735,,19
티,dynamic,,EA 86,,96,5
파,static,,DF A0,889,,37
판,static,,DF 05,734,,5
팔,static,,DF 8B,868,,39
팡,dynamic,,EA 87,,176,1
패,dynamic,,EA 88,,132,3
팬,dynamic,,EA 89,,198,1
퍼,static,,DF 04,733,,7
펀,dynamic,,EA 8A,,205,1
편,static,,E0 1B,1011,,37
평,static,,DF 03,732,,12
폐,static,,E0 83,1115,,3
포,static,,DF 02,731,,38
폭,static,,DF DF,952,,47
폴,dynamic,,EA 8B,,183,1
표,static,,E0 6F,1095,,35
푼,static,,DF 01,730,,12
풀,static,,DF 8A,867,,10
품,static,,E0 23,1019,,36
풍,static,,DE C9,675,,12
프,static,,DF 9F,888,,30
플,static,,DF 9E,887,,11
피,static,,DF 82,859,,61
핀,static,71,,112,,370
필,dynamic,,EA 8D,,35,10
하,static,A9,EA 07,168,,900
한,static,85,EA 08,132,,280
할,static,C5,E9 2E,196,,175
함,static,,E1 D2,1449,,24
합,static,,DE D9,691,,82
항,static,,E1 E6,1469,,20
해,static,74,EA 0C,115,,552
했,static,,DF E7,960,,92
행,static,,DF 76,847,,69
햣,dynamic,,E9 6C,,55,8
향,static,,DE F8,722,,26
허,dynamic,,EA 0F,,34,10
험,static,,DF CC,933,,50
헤,static,,DF 9D,886,,24
혀,dynamic,,E9 43,,37,10
현,dynamic,,EA 8E,,206,1
형,static,,E0 36,1038,,36
혜,static,,DF BB,916,,53
호,static,DC,EA 8F,219,,129
혼,static,,DF 81,858,,12
화,static,,DE FE,728,,35
확,static,,DE C8,674,,17
환,static,,E0 14,1004,,41
활,static,,E0 80,1112,,24
황,static,,DE FC,726,,10
회,static,B6,EA 16,181,,191
획,dynamic,,EA 91,,68,7
횟,dynamic,,E9 8B,,57,8
효,dynamic,,EA 92,,16,14
후,static,,DE 60,570,,31
훌,dynamic,,E9 57,,80,6
훗,dynamic,,E9 78,,50,9
훨,static,,DE FB,725,,3
휩,static,,DE 81,603,,1
흑,dynamic,,EA 93,,179,1
흘,dynamic,,E9 C4,,149,2
흡,dynamic,,EA 94,,191,1
흥,static,,DF 9C,885,,5
흩,static,,DE FA,724,,2
희,static,,DF E5,958,,57
히,static,,DF E4,957,,48
힌,dynamic,,E9 79,,121,3
힐,dynamic,,EA 97,,182,1
힘,static,9F,EA 18,158,,190
