state,y,x_min,x_max,glyph_count,text,physical_indices,source_codes_hex
HASH-FE27CFD4E73EF39_4,180,46,262,19,そして森도始末しろ。森ま도案内して량れ,64 29 32 235 47 310 513 29 84 54 235 38 47 446 348 29 32 63 49,41 | 1E | 21 | DD 10 | 30 | DD 5B | DE 27 | 1E | 55 | 37 | DD 10 | 27 | 30 | DD E3 | DD 81 | 1E | 21 | 40 | 32
HASH-FE27CFD4E73EF39_4,194,154,214,6,계말しれん。,31 55 29 49 44 54,20 | 38 | 1E | 32 | 2D | 37
HASH-FE27CFD4E73EF39_4,214,18,138,12,<1661>결정 <1657>돌아가기합니다,1661 863 1219 155 1657 1197 1140 1176 1156 1118 1037 1177,E2 A7 | DF 86 | E0 EB | 9C | E2 A3 | E0 D5 | E0 9C | E0 C0 | E0 AC | E0 86 | E0 35 | E0 C1
HASH-FE27CFD4E73EF39_5,104,178,238,6,시겠습니까?,1081 1152 1079 1037 818 1055,E0 61 | E0 A8 | E0 5F | E0 35 | DF 59 | E0 47
HASH-FE27CFD4E73EF39_5,109,88,202,12,적 민첩 감소게 피해해,1492 155 1343 1569 155 985 1379 1250 155 1636 1642 1642,E1 FD | 9C | E1 68 | E2 4B | 9C | E0 01 | E1 8C | E1 0B | 9C | E2 8E | E2 94 | E2 94
HASH-FE27CFD4E73EF39_5,114,82,238,7, 입력일반강활,155 1185 1124 1091 1122 1226 1112,9C | E0 C9 | E0 8C | E0 6B | E0 8A | E0 F2 | E0 80
HASH-FE27CFD4E73EF39_5,120,164,206,5,니다습니다,1037 1177 1079 1037 1177,E0 35 | E0 C1 | E0 5F | E0 35 | E0 C1
HASH-FE27CFD4E73EF39_5,122,102,174,10,예      아니요,755 155 155 155 155 155 155 1140 1037 1086,DF 1A | 9C | 9C | 9C | 9C | 9C | 9C | E0 9C | E0 35 | E0 66
HASH-FE27CFD4E73EF39_5,130,46,250,14,돌아가기 확인확인안함확인함,1197 1140 1176 1156 155 674 1090 674 1090 1217 1117 674 1090 1117,E0 D5 | E0 9C | E0 C0 | E0 AC | 9C | DE C8 | E0 6A | DE C8 | E0 6A | E0 E9 | E0 85 | DE C8 | E0 6A | E0 85
HASH-FE27CFD4E73EF39_5,137,107,128,3, <553><363>,0 553 363,01 | DE 4F | DD 90
HASH-FE27CFD4E73EF39_5,146,46,256,12,도움말 보기보기안 보기,1151 752 1174 155 1131 1156 1131 1156 1217 155 1131 1156,E0 A7 | DF 17 | E0 BE | 9C | E0 93 | E0 AC | E0 93 | E0 AC | E0 E9 | 9C | E0 93 | E0 AC
HASH-FE27CFD4E73EF39_5,149,88,130,5,마력의 먼,1321 1310 1480 155 923,E1 52 | E1 47 | E1 F1 | 9C | DF C2
HASH-FE27CFD4E73EF39_5,166,46,82,4,ヤ뒤사 ,186 127 51 36,BB | 80 | 34 | 25
HASH-FE27CFD4E73EF39_5,180,46,262,19,そして森도始末しろ。森ま도案内して량れ,64 29 32 235 47 310 513 29 84 54 235 38 47 446 348 29 32 63 49,41 | 1E | 21 | DD 10 | 30 | DD 5B | DE 27 | 1E | 55 | 37 | DD 10 | 27 | 30 | DD E3 | DD 81 | 1E | 21 | 40 | 32
HASH-FE27CFD4E73EF39_5,194,154,214,6,계말しれん。,31 55 29 49 44 54,20 | 38 | 1E | 32 | 2D | 37
HASH-FE27CFD4E73EF39_5,214,18,138,12,다음 대상을 선택합니다,1177 977 155 1038 1070 1147 155 1072 1166 1118 1037 1177,E0 C1 | DF F8 | 9C | E0 36 | E0 56 | E0 A3 | 9C | E0 58 | E0 B6 | E0 86 | E0 35 | E0 C1
HASH-FE27CFD4E73EF39_6,89,108,150,5,작은 폭<1429>,1487 1425 155 1631 1429,E1 F8 | E1 BA | 9C | E2 89 | E1 BE
HASH-FE27CFD4E73EF39_6,104,178,238,6,시겠습니까?,1081 1152 1079 1037 818 1055,E0 61 | E0 A8 | E0 5F | E0 35 | DF 59 | E0 47
HASH-FE27CFD4E73EF39_6,109,88,202,12,적 민첩 감소게 피해해,1492 155 1343 1569 155 985 1379 1250 155 1636 1642 1642,E1 FD | 9C | E1 68 | E2 4B | 9C | E0 01 | E1 8C | E1 0B | 9C | E2 8E | E2 94 | E2 94
HASH-FE27CFD4E73EF39_6,114,82,238,7, 입력일반강활,155 1185 1124 1091 1122 1226 1112,9C | E0 C9 | E0 8C | E0 6B | E0 8A | E0 F2 | E0 80
HASH-FE27CFD4E73EF39_6,120,164,206,5,니다습니다,1037 1177 1079 1037 1177,E0 35 | E0 C1 | E0 5F | E0 35 | E0 C1
HASH-FE27CFD4E73EF39_6,122,102,174,10,예      아니요,755 155 155 155 155 155 155 1140 1037 1086,DF 1A | 9C | 9C | 9C | 9C | 9C | 9C | E0 9C | E0 35 | E0 66
HASH-FE27CFD4E73EF39_6,130,46,250,14,돌아가기 확인확인안함확인함,1197 1140 1176 1156 155 674 1090 674 1090 1217 1117 674 1090 1117,E0 D5 | E0 9C | E0 C0 | E0 AC | 9C | DE C8 | E0 6A | DE C8 | E0 6A | E0 E9 | E0 85 | DE C8 | E0 6A | E0 85
HASH-FE27CFD4E73EF39_6,137,107,128,3, <553><363>,0 553 363,01 | DE 4F | DD 90
HASH-FE27CFD4E73EF39_6,146,46,256,12,도움말 보기보기안 보기,1151 752 1174 155 1131 1156 1131 1156 1217 155 1131 1156,E0 A7 | DF 17 | E0 BE | 9C | E0 93 | E0 AC | E0 93 | E0 AC | E0 E9 | 9C | E0 93 | E0 AC
HASH-FE27CFD4E73EF39_6,166,46,82,4,ヤ뒤사 ,186 127 51 36,BB | 80 | 34 | 25
HASH-FE27CFD4E73EF39_6,180,46,262,19,そして森도始末しろ。森ま도案内して량れ,64 29 32 235 47 310 513 29 84 54 235 38 47 446 348 29 32 63 49,41 | 1E | 21 | DD 10 | 30 | DD 5B | DE 27 | 1E | 55 | 37 | DD 10 | 27 | 30 | DD E3 | DD 81 | 1E | 21 | 40 | 32
HASH-FE27CFD4E73EF39_6,194,154,214,6,계말しれん。,31 55 29 49 44 54,20 | 38 | 1E | 32 | 2D | 37
HASH-FE27CFD4E73EF39_6,214,18,138,12,다음 대상을 선택합니다,1177 977 155 1038 1070 1147 155 1072 1166 1118 1037 1177,E0 C1 | DF F8 | 9C | E0 36 | E0 56 | E0 A3 | 9C | E0 58 | E0 B6 | E0 86 | E0 35 | E0 C1
