index,status,char,unicode
347,pilgi_legacy_piece_agreement,품,U+D488
348,pilgi_legacy_piece_agreement,줄,U+C904
349,pilgi_legacy_piece_agreement,양,U+C591
350,pilgi_legacy_piece_agreement,화,U+D654
351,pilgi_legacy_piece_agreement,놈,U+B188
352,pilgi_legacy_piece_agreement,쓰,U+C4F0
353,pilgi_legacy_piece_agreement,슈,U+C288
354,pilgi_legacy_piece_agreement,녀,U+B140
355,pilgi_legacy_piece_agreement,왔,U+C654
356,pilgi_legacy_piece_agreement,열,U+C5F4
357,pilgi_legacy_piece_agreement,표,U+D45C
358,pilgi_legacy_piece_agreement,석,U+C11D
359,pilgi_legacy_piece_agreement,꽃,U+AF43
360,pilgi_legacy_piece_agreement,후,U+D6C4
361,pilgi_legacy_piece_agreement,걸,U+AC78
362,pilgi_legacy_piece_agreement,처,U+CC98
363,pilgi_legacy_piece_agreement,체,U+CCB4
364,pilgi_legacy_piece_agreement,역,U+C5ED
365,pilgi_legacy_piece_agreement,울,U+C6B8
366,pilgi_legacy_piece_agreement,배,U+BC30
367,pilgi_legacy_piece_agreement,죽,U+C8FD
368,pilgi_legacy_piece_agreement,길,U+AE38
369,pilgi_legacy_piece_agreement,더,U+B354
370,pilgi_legacy_piece_agreement,숲,U+C232
371,pilgi_legacy_piece_agreement,큰,U+D070
372,pilgi_legacy_piece_agreement,느,U+B290
373,pilgi_legacy_piece_agreement,톤,U+D1A4
374,pilgi_legacy_piece_agreement,렸,U+B838
375,pilgi_legacy_piece_agreement,얻,U+C5BB
376,pilgi_legacy_piece_agreement,프,U+D504
377,pilgi_legacy_piece_agreement,궤,U+ADA4
378,pilgi_legacy_piece_agreement,복,U+BCF5
379,pilgi_legacy_piece_agreement,슨,U+C2A8
380,pilgi_legacy_piece_agreement,검,U+AC80
381,pilgi_legacy_piece_agreement,살,U+C0B4
382,pilgi_legacy_piece_agreement,끝,U+B05D
383,pilgi_legacy_piece_agreement,앗,U+C557
384,pilgi_legacy_piece_agreement,년,U+B144
385,pilgi_legacy_piece_agreement,갈,U+AC08
386,pilgi_legacy_piece_agreement,빌,U+BE4C
387,pilgi_legacy_piece_agreement,엇,U+C5C7
388,pilgi_legacy_piece_agreement,겐,U+AC90
389,pilgi_legacy_piece_agreement,질,U+C9C8
390,pilgi_legacy_piece_agreement,막,U+B9C9
391,pilgi_legacy_piece_agreement,많,U+B9CE
392,pilgi_legacy_piece_agreement,연,U+C5F0
393,pilgi_legacy_piece_agreement,됩,U+B429
394,pilgi_legacy_piece_agreement,문,U+BB38
395,pilgi_legacy_piece_agreement,렌,U+B80C
396,pilgi_legacy_piece_agreement,맞,U+B9DE
397,pilgi_legacy_piece_agreement,향,U+D5A5
398,pilgi_legacy_piece_agreement,키,U+D0A4
399,pilgi_legacy_piece_agreement,개,U+AC1C
400,pilgi_legacy_piece_agreement,식,U+C2DD
401,pilgi_legacy_piece_agreement,봉,U+BD09
402,pilgi_legacy_piece_agreement,차,U+CC28
403,pilgi_legacy_nonhangul,:,U+003A
404,pilgi_legacy_piece_agreement,따,U+B530
405,pilgi_legacy_piece_agreement,앞,U+C55E
406,pilgi_legacy_piece_agreement,둘,U+B458
407,pilgi_legacy_piece_agreement,잖,U+C796
408,pilgi_legacy_piece_agreement,겨,U+ACA8
409,pilgi_legacy_piece_agreement,테,U+D14C
410,pilgi_legacy_piece_agreement,른,U+B978
411,pilgi_legacy_piece_agreement,맡,U+B9E1
412,pilgi_legacy_piece_agreement,먼,U+BA3C
413,pilgi_legacy_piece_agreement,임,U+C784
414,pilgi_legacy_piece_agreement,헤,U+D5E4
415,pilgi_legacy_piece_agreement,빛,U+BE5B
416,pilgi_legacy_piece_agreement,련,U+B828
417,pilgi_legacy_piece_agreement,된,U+B41C
418,pilgi_legacy_piece_agreement,써,U+C368
419,pilgi_legacy_piece_agreement,브,U+BE0C
420,pilgi_legacy_piece_agreement,매,U+B9E4
421,pilgi_legacy_piece_agreement,릴,U+B9B4
422,pilgi_legacy_piece_agreement,켜,U+CF1C
423,pilgi_legacy_piece_agreement,돼,U+B3FC
424,pilgi_legacy_piece_agreement,디,U+B514
425,pilgi_legacy_piece_agreement,몰,U+BAB0
426,pilgi_legacy_piece_agreement,함,U+D568
427,pilgi_legacy_piece_agreement,점,U+C810
428,pilgi_legacy_piece_agreement,탄,U+D0C4
429,pilgi_legacy_piece_agreement,태,U+D0DC
430,pilgi_legacy_piece_agreement,뿐,U+BFD0
431,pilgi_legacy_piece_agreement,린,U+B9B0
432,pilgi_legacy_piece_agreement,셨,U+C168
433,pilgi_legacy_piece_agreement,밖,U+BC16
434,pilgi_piece_recovered,통,U+D1B5
435,pilgi_legacy_nonhangul,L,U+004C
436,pilgi_legacy_piece_agreement,될,U+B420
437,pilgi_legacy_piece_agreement,절,U+C808
438,pilgi_legacy_piece_agreement,믿,U+BBFF
439,pilgi_legacy_piece_agreement,됐,U+B410
440,pilgi_legacy_piece_agreement,멸,U+BA78
441,pilgi_legacy_piece_agreement,봐,U+BD10
442,pilgi_legacy_piece_agreement,닌,U+B2CC
443,pilgi_legacy_piece_agreement,틀,U+D2C0
444,pilgi_legacy_piece_agreement,활,U+D65C
445,pilgi_legacy_piece_agreement,집,U+C9D1
446,pilgi_legacy_piece_agreement,욕,U+C695
447,pilgi_legacy_piece_agreement,벌,U+BC8C
448,pilgi_legacy_piece_agreement,술,U+C220
449,pilgi_legacy_piece_agreement,꾸,U+AFB8
450,pilgi_legacy_piece_agreement,천,U+CC9C
451,pilgi_legacy_piece_agreement,떠,U+B5A0
452,pilgi_legacy_piece_agreement,델,U+B378
453,pilgi_legacy_piece_agreement,줘,U+C918
454,pilgi_legacy_piece_agreement,악,U+C545
455,pilgi_legacy_piece_agreement,민,U+BBFC
456,pilgi_legacy_piece_agreement,능,U+B2A5
457,pilgi_legacy_piece_agreement,겁,U+AC81
458,pilgi_legacy_piece_agreement,벨,U+BCA8
459,pilgi_legacy_piece_agreement,톨,U+D1A8
460,pilgi_legacy_piece_agreement,쳐,U+CCD0
461,pilgi_legacy_piece_agreement,항,U+D56D
462,pilgi_legacy_piece_agreement,별,U+BCC4
463,pilgi_legacy_piece_agreement,넘,U+B118
464,pilgi_piece_recovered,큼,U+D07C
465,pilgi_legacy_piece_agreement,커,U+CEE4
466,pilgi_legacy_piece_agreement,튼,U+D2BC
467,pilgi_legacy_piece_agreement,케,U+CF00
468,pilgi_legacy_piece_agreement,뭔,U+BB54
469,pilgi_legacy_piece_agreement,영,U+C601
470,pilgi_legacy_piece_agreement,긴,U+AE34
471,pilgi_legacy_piece_agreement,슬,U+C2AC
472,pilgi_legacy_piece_agreement,졌,U+C84C
473,pilgi_legacy_piece_agreement,베,U+BCA0
474,blank_preserved,,
475,pilgi_legacy_piece_agreement,클,U+D074
476,pilgi_legacy_piece_agreement,축,U+CD95
477,pilgi_legacy_piece_agreement,엄,U+C5C4
478,pilgi_legacy_piece_agreement,잠,U+C7A0
479,pilgi_legacy_piece_agreement,탁,U+D0C1
480,pilgi_legacy_piece_agreement,침,U+CE68
481,pilgi_legacy_nonhangul,P,U+0050
482,pilgi_legacy_piece_agreement,맨,U+B9E8
483,pilgi_legacy_piece_agreement,증,U+C99D
484,pilgi_legacy_piece_agreement,견,U+ACAC
485,pilgi_legacy_piece_agreement,뜨,U+B728
486,pilgi_legacy_piece_agreement,갑,U+AC11
487,pilgi_legacy_piece_agreement,눈,U+B208
488,pilgi_legacy_piece_agreement,곧,U+ACE7
489,pilgi_legacy_piece_agreement,애,U+C560
490,pilgi_legacy_piece_agreement,잡,U+C7A1
491,pilgi_legacy_piece_agreement,잊,U+C78A
492,pilgi_legacy_piece_agreement,료,U+B8CC
493,pilgi_legacy_piece_agreement,빼,U+BE7C
494,pilgi_legacy_piece_agreement,탈,U+D0C8
495,pilgi_legacy_piece_agreement,웠,U+C6E0
496,pilgi_legacy_piece_agreement,였,U+C600
497,pilgi_legacy_piece_agreement,응,U+C751
498,pilgi_piece_recovered,찬,U+CC2C
499,blank_preserved,,
500,pilgi_legacy_piece_agreement,글,U+AE00
501,pilgi_piece_recovered,횟,U+D69F
502,pilgi_legacy_piece_agreement,짓,U+C9D3
503,pilgi_legacy_piece_agreement,관,U+AD00
504,pilgi_legacy_piece_agreement,떤,U+B5A4
505,pilgi_legacy_piece_agreement,며,U+BA70
506,pilgi_legacy_piece_agreement,빨,U+BE68
507,pilgi_legacy_piece_agreement,듣,U+B4E3
508,pilgi_legacy_piece_agreement,숨,U+C228
509,pilgi_legacy_piece_agreement,놓,U+B193
510,pilgi_legacy_piece_agreement,효,U+D6A8
511,pilgi_legacy_piece_agreement,섯,U+C12F
512,pilgi_legacy_piece_agreement,싱,U+C2F1
513,pilgi_legacy_piece_agreement,최,U+CD5C
514,pilgi_legacy_piece_agreement,설,U+C124
515,pilgi_legacy_piece_agreement,림,U+B9BC
516,pilgi_legacy_piece_agreement,접,U+C811
517,pilgi_legacy_piece_agreement,확,U+D655
518,pilgi_legacy_piece_agreement,낼,U+B0BC
519,pilgi_legacy_piece_agreement,몸,U+BAB8
520,pilgi_legacy_piece_agreement,풍,U+D48D
521,pilgi_legacy_piece_agreement,립,U+B9BD
522,pilgi_legacy_piece_agreement,송,U+C1A1
523,pilgi_legacy_piece_agreement,쟁,U+C7C1
524,pilgi_legacy_piece_agreement,붙,U+BD99
525,pilgi_legacy_piece_agreement,밀,U+BC00
526,pilgi_legacy_piece_agreement,평,U+D3C9
527,pilgi_legacy_piece_agreement,빠,U+BE60
528,pilgi_legacy_piece_agreement,플,U+D50C
529,pilgi_legacy_piece_agreement,혼,U+D63C
530,pilgi_legacy_piece_agreement,름,U+B984
531,pilgi_legacy_piece_agreement,옥,U+C625
532,pilgi_legacy_piece_agreement,특,U+D2B9
533,pilgi_legacy_piece_agreement,씀,U+C500
534,pilgi_legacy_piece_agreement,황,U+D669
535,pilgi_legacy_piece_agreement,새,U+C0C8
536,pilgi_legacy_piece_agreement,란,U+B780
537,pilgi_legacy_piece_agreement,왜,U+C65C
538,pilgi_legacy_piece_agreement,끈,U+B048
539,pilgi_legacy_piece_agreement,훗,U+D6D7
540,pilgi_legacy_piece_agreement,턴,U+D134
541,pilgi_legacy_piece_agreement,책,U+CC45
542,pilgi_legacy_piece_agreement,엔,U+C5D4
543,pilgi_legacy_piece_agreement,풀,U+D480
544,pilgi_legacy_piece_agreement,깨,U+AE68
545,pilgi_legacy_piece_agreement,꺼,U+AEBC
546,pilgi_legacy_piece_agreement,허,U+D5C8
547,pilgi_legacy_piece_agreement,닙,U+B2D9
548,pilgi_legacy_piece_agreement,필,U+D544
549,pilgi_legacy_piece_agreement,착,U+CC29
550,pilgi_legacy_piece_agreement,외,U+C678
551,pilgi_legacy_piece_agreement,혀,U+D600
552,pilgi_legacy_piece_agreement,옛,U+C61B
553,pilgi_legacy_piece_agreement,또,U+B610
554,pilgi_legacy_piece_agreement,층,U+CE35
555,pilgi_legacy_piece_agreement,굉,U+AD49
556,pilgi_legacy_piece_agreement,재,U+C7AC
557,pilgi_legacy_piece_agreement,땅,U+B545
558,pilgi_piece_recovered,링,U+B9C1
559,pilgi_legacy_piece_agreement,났,U+B0AC
560,pilgi_legacy_piece_agreement,찌,U+CC0C
561,pilgi_legacy_piece_agreement,쓸,U+C4F8
562,pilgi_legacy_piece_agreement,렴,U+B834
563,pilgi_legacy_piece_agreement,갔,U+AC14
564,pilgi_legacy_piece_agreement,낙,U+B099
565,pilgi_legacy_piece_agreement,듯,U+B4EF
566,pilgi_legacy_piece_agreement,샤,U+C0E4
567,pilgi_legacy_piece_agreement,젠,U+C820
568,pilgi_legacy_piece_agreement,좀,U+C880
569,pilgi_legacy_piece_agreement,달,U+B2EC
570,pilgi_piece_recovered,값,U+AC12
571,pilgi_legacy_piece_agreement,칠,U+CE60
572,pilgi_legacy_nonhangul,H,U+0048
573,pilgi_legacy_piece_agreement,범,U+BC94
574,pilgi_legacy_piece_agreement,북,U+BD81
575,pilgi_legacy_piece_agreement,쌓,U+C313
576,pilgi_legacy_piece_agreement,먹,U+BA39
577,pilgi_legacy_piece_agreement,굴,U+AD74
