state,object,header,count,source_pointer,assignment_text,bitmap_text,assignment_equals_bitmap,identities
slot3.state,OT0,,17,,약속대로<S:155>이<S:155>마을에서<S:155>내보내<S:155>줄,약속대로<S:155>이<S:155>마을에서<S:155>내보내<S:155>줄,1,"xy94,36:T5:U192:V120:C7FC2:약 xy106,36:T5:U84:V132:C7FC1:속 xy118,36:T5:U96:V12:C7FC2:대 xy130,36:T5:U240:V72:C7FC2:로 xy142,36:T5:U204:V12:C7FC3:<S:155> xy148,36:T5:U84:V72:C7FC2:이 xy160,36:T5:U204:V12:C7FC3:<S:155> xy166,36:T5:U120:V24:C7FC3:마 xy178,36:T5:U132:V24:C7FC0:을 xy190,36:T5:U204:V0:C7FC1:에 xy202,36:T5:U12:V12:C7FC0:서 xy214,36:T5:U204:V12:C7FC3:<S:155> xy220,36:T5:U180:V12:C7FC3:내 xy232,36:T5:U156:V12:C7FC1:보 xy244,36:T5:U180:V12:C7FC3:내 xy256,36:T5:U204:V12:C7FC3:<S:155> xy262,36:T5:U168:V120:C7FC3:줄"
slot3.state,OT1,,17,,<S:155>거지<S:1055><S:155>정말로<S:155>자유롭게<S:155>해<S:155>줄,<S:155>거지<S:1055><S:155>정말로<S:155>자유롭게<S:155>해<S:155>줄,1,"xy94,50:T5:U204:V12:C7FC3:<S:155> xy100,50:T5:U12:V24:C7FC2:거 xy112,50:T5:U84:V12:C7FC1:지 xy124,50:T5:U132:V144:C7FC3:<S:1055> xy136,50:T5:U204:V12:C7FC3:<S:155> xy142,50:T5:U24:V12:C7FC2:정 xy154,50:T5:U180:V12:C7FC1:말 xy166,50:T5:U240:V72:C7FC2:로 xy178,50:T5:U204:V12:C7FC3:<S:155> xy184,50:T5:U156:V12:C7FC0:자 xy196,50:T5:U96:V24:C7FC2:유 xy208,50:T5:U108:V120:C7FC1:롭 xy220,50:T5:U48:V12:C7FC1:게 xy232,50:T5:U204:V12:C7FC3:<S:155> xy238,50:T5:U84:V12:C7FC3:해 xy250,50:T5:U204:V12:C7FC3:<S:155> xy256,50:T5:U168:V120:C7FC3:줄"
slot3.state,OT2,,4,,<S:155>거지<S:1055>,<S:155>거지<S:1055>,1,"xy94,64:T5:U204:V12:C7FC3:<S:155> xy100,64:T5:U12:V24:C7FC2:거 xy112,64:T5:U84:V12:C7FC1:지 xy124,64:T5:U132:V144:C7FC3:<S:1055>"
slot4.state,0,0x801F031C,5,0x8019C262,정령의<S:155>산,정령의<S:155>산,1,S94 S128 S76 S155 S912
slot4.state,OT0,,9,,촌장<S:857><S:155>아아<S:12><S:155>물,촌장<S:857><S:155>아아<S:12><S:155>물,1,"xy46,36:T5:U96:V24:C7FC0:촌 xy58,36:T5:U108:V24:C7FC1:장 xy70,36:T5:U48:V120:C7FC1:<S:857> xy82,36:T5:U204:V12:C7FC3:<S:155> xy88,36:T5:U192:V12:C7FC0:아 xy100,36:T5:U192:V12:C7FC0:아 xy112,36:T5:U36:V0:C7FC0:<S:12> xy124,36:T5:U204:V12:C7FC3:<S:155> xy130,36:T5:U0:V24:C7FC1:물"
slot5.state,0,0x801F031C,2,0x8019C116,르성,르성,1,S152 S664
slot5.state,OT0,,21,,승무원<S:857><S:155>아크<S:155>님이시군요<S:14><S:155>이제<S:155>미르마,승무원<S:857><S:155>아크<S:155>님이시군요<S:14><S:155>이제<S:155>미르마,1,"xy46,36:T5:U168:V12:C7FC1:승 xy58,36:T5:U192:V12:C7FC1:무 xy70,36:T5:U36:V24:C7FC0:원 xy82,36:T5:U48:V120:C7FC1:<S:857> xy94,36:T5:U204:V12:C7FC3:<S:155> xy100,36:T5:U192:V12:C7FC0:아 xy112,36:T5:U216:V12:C7FC1:크 xy124,36:T5:U204:V12:C7FC3:<S:155> xy130,36:T5:U12:V120:C7FC0:님 xy142,36:T5:U84:V72:C7FC2:이 xy154,36:T5:U24:V12:C7FC0:시 xy166,36:T5:U204:V12:C7FC2:군 xy178,36:T5:U156:V12:C7FC2:요 xy190,36:T5:U36:V0:C7FC2:<S:14> xy202,36:T5:U204:V12:C7FC3:<S:155> xy208,36:T5:U84:V72:C7FC2:이 xy220,36:T5:U24:V24:C7FC3:제 xy232,36:T5:U204:V12:C7FC3:<S:155> xy238,36:T5:U0:V120:C7FC3:미 xy250,36:T5:U204:V12:C7FC0:르 xy262,36:T5:U120:V24:C7FC3:마"
slot5.state,OT1,,12,,나로<S:155>출발하겠습니다만<S:12>,나로<S:155>출발하겠습니다만<S:12>,1,"xy46,50:T5:U240:V0:C7FC1:나 xy58,50:T5:U240:V72:C7FC2:로 xy70,50:T5:U204:V12:C7FC3:<S:155> xy76,50:T5:U72:V24:C7FC0:출 xy88,50:T5:U144:V84:C7FC3:발 xy100,50:T5:U0:V24:C7FC0:하 xy112,50:T5:U72:V24:C7FC3:겠 xy124,50:T5:U36:V12:C7FC0:습 xy136,50:T5:U204:V0:C7FC0:니 xy148,50:T5:U96:V12:C7FC3:다 xy160,50:T5:U48:V12:C7FC3:만 xy172,50:T5:U36:V0:C7FC0:<S:12>"
slot6.state,0,0x801F031C,2,0x8019C116,르성,르성,1,S152 S664
slot6.state,OT0,,8,,<S:0><S:0><S:0>물<S:938><S:1173>야<S:1>,<S:0><S:0><S:0>물<S:938><S:1173>야<S:1>,1,"xy46,36:T5:U0:V0:C7FC0:<S:0> xy58,36:T5:U0:V0:C7FC0:<S:0> xy70,36:T5:U0:V0:C7FC0:<S:0> xy82,36:T5:U0:V24:C7FC1:물 xy94,36:T5:U36:V132:C7FC2:<S:938> xy106,36:T5:U240:V156:C7FC1:<S:1173> xy118,36:T5:U108:V12:C7FC0:야 xy130,36:T5:U0:V0:C7FC1:<S:1>"
slot6.state,OT1,,17,,<S:0><S:0><S:0>조금<S:155>자신이<S:155>없어<S:14><S:14><S:14><S:155><S:155>,<S:0><S:0><S:0>조금<S:155>자신이<S:155>없어<S:14><S:14><S:14><S:155><S:155>,1,"xy46,50:T5:U0:V0:C7FC0:<S:0> xy58,50:T5:U0:V0:C7FC0:<S:0> xy70,50:T5:U0:V0:C7FC0:<S:0> xy82,50:T5:U228:V12:C7FC3:조 xy94,50:T5:U36:V120:C7FC3:금 xy106,50:T5:U204:V12:C7FC3:<S:155> xy112,50:T5:U156:V12:C7FC0:자 xy124,50:T5:U144:V12:C7FC1:신 xy136,50:T5:U84:V72:C7FC2:이 xy148,50:T5:U204:V12:C7FC3:<S:155> xy154,50:T5:U228:V12:C7FC0:없 xy166,50:T5:U228:V0:C7FC1:어 xy178,50:T5:U36:V0:C7FC2:<S:14> xy190,50:T5:U36:V0:C7FC2:<S:14> xy202,50:T5:U36:V0:C7FC2:<S:14> xy214,50:T5:U204:V12:C7FC3:<S:155> xy220,50:T5:U204:V12:C7FC3:<S:155>"
slot6.state,OT2,,16,,<S:0><S:0><S:0>아직<S:155><S:1235>우는<S:155><S:1163>을<S:155><S:1221><S:1150><S:14>,<S:0><S:0><S:0>아직<S:155><S:1235>우는<S:155><S:1163>을<S:155><S:1221><S:1150><S:14>,1,"xy46,64:T5:U0:V0:C7FC0:<S:0> xy58,64:T5:U0:V0:C7FC0:<S:0> xy70,64:T5:U0:V0:C7FC0:<S:0> xy82,64:T5:U192:V12:C7FC0:아 xy94,64:T5:U216:V96:C7FC2:직 xy106,64:T5:U204:V12:C7FC3:<S:155> xy112,64:T5:U168:V168:C7FC3:<S:1235> xy124,64:T5:U144:V12:C7FC3:우 xy136,64:T5:U132:V12:C7FC3:는 xy148,64:T5:U204:V12:C7FC3:<S:155> xy154,64:T5:U204:V156:C7FC3:<S:1163> xy166,64:T5:U132:V24:C7FC0:을 xy178,64:T5:U204:V12:C7FC3:<S:155> xy184,64:T5:U132:V168:C7FC1:<S:1221> xy196,64:T5:U168:V156:C7FC2:<S:1150> xy208,64:T5:U36:V0:C7FC2:<S:14>"
slot7.state,0,0x801F031C,11,0x8019B870,용암으로<S:155>적에게<S:155>피해,용암으로<S:155>적에게<S:155>피해,1,S666 D51 S121 S586 S155 S971 S69 S101 S155 S859 S115
slot7.state,1,0x801F0E18,9,0x8019C715,잎결정<S:155><S:1657>돌아가기,잎결정<S:155><S:1657>돌아가기,1,D23 S863 S94 S155 S1657 S176 S148 S142 S104
slot7.state,2,0x801F1DB4,6,0x8019B5D4,번<S:155>그라운드,번<S:155>그라운드,1,S880 S155 S78 S590 S217 S794
slot7.state,OT0,,6,,번<S:155>그라운드,번<S:155>그라운드,1,"xy198,41:T5:U120:V120:C7FC0:번 xy210,41:T5:U204:V12:C7FC3:<S:155> xy216,41:T5:U228:V0:C7FC2:그 xy228,41:T5:U0:V84:C7FC2:라 xy240,41:T5:U144:V24:C7FC1:운 xy252,41:T5:U108:V108:C7FC2:드"
slot7.state,OT1,,8,,잎결정<S:155> 돌아가기,잎결정<S:155> 돌아가기,1,"xy18,214:T31:U4:V224:C7FC2:잎 xy30,214:T5:U60:V120:C7FC3:결 xy42,214:T5:U24:V12:C7FC2:정 xy54,214:T5:U204:V12:C7FC3:<S:155> xy74,214:T5:U24:V24:C7FC0:돌 xy86,214:T5:U192:V12:C7FC0:아 xy98,214:T5:U168:V12:C7FC2:가 xy110,214:T5:U60:V12:C7FC0:기"
slot8.state,0,0x801F031C,11,0x8019B870,용암으로<S:155>적에게<S:155>피해,용암으로<S:155>적에게<S:155>피해,1,S666 D51 S121 S586 S155 S971 S69 S101 S155 S859 S115
slot8.state,1,0x801F0E18,12,0x8019C5DF,다음<S:155>대상을<S:155>선택합니다,다음<S:155>대상을<S:155>선택합니다,1,S119 S197 S155 S118 S204 S212 S155 S926 D52 S691 S68 S119
slot8.state,2,0x801F1DB4,6,0x8019B5D4,번<S:155>그라운드,번<S:155>그라운드,1,S880 S155 S78 S590 S217 S794
slot8.state,OT0,,6,,번<S:155>그라운드,번<S:155>그라운드,1,"xy198,41:T5:U120:V120:C7FC0:번 xy210,41:T5:U204:V12:C7FC3:<S:155> xy216,41:T5:U228:V0:C7FC2:그 xy228,41:T5:U0:V84:C7FC2:라 xy240,41:T5:U144:V24:C7FC1:운 xy252,41:T5:U108:V108:C7FC2:드"
slot8.state,OT1,,11,,용암으로<S:155>적에게<S:155>피해,용암으로<S:155>적에게<S:155>피해,1,"xy88,109:T5:U228:V84:C7FC2:용 xy100,109:T31:U4:V224:C7FC3:암 xy112,109:T5:U108:V12:C7FC1:으 xy124,109:T5:U240:V72:C7FC2:로 xy136,109:T5:U204:V12:C7FC3:<S:155> xy142,109:T5:U132:V132:C7FC3:적 xy154,109:T5:U204:V0:C7FC1:에 xy166,109:T5:U48:V12:C7FC1:게 xy178,109:T5:U204:V12:C7FC3:<S:155> xy184,109:T5:U48:V120:C7FC3:피 xy196,109:T5:U84:V12:C7FC3:해"
slot8.state,OT2,,15,,<S:0><S:127><S:18><S:0><S:553><S:363> <S:16><S:24> <S:16><S:18><S:20><S:15><S:16><S:18><S:20>,<S:0><S:127><S:18><S:0><S:553><S:363> <S:16><S:24> <S:16><S:18><S:20><S:15><S:16><S:18><S:20>,1,"xy86,137:T5:U4:V0:C7FC0:<S:0> xy92,137:T5:U124:V12:C7FC3:<S:127> xy101,137:T5:U52:V0:C7FC2:<S:18> xy107,137:T5:U0:V0:C7FC0:<S:0> xy119,137:T5:U144:V72:C7FC1:<S:553> xy128,137:T5:U72:V48:C7FC3:<S:363> xy142,137:T5:U52:V0:C7FC0:<S:16> xy148,137:T5:U76:V0:C7FC0:<S:24> xy186,137:T5:U52:V0:C7FC0:<S:16> xy192,137:T5:U52:V0:C7FC2:<S:18> xy198,137:T5:U64:V0:C7FC0:<S:20> xy204,137:T5:U40:V0:C7FC3:<S:15> xy210,137:T5:U52:V0:C7FC0:<S:16> xy216,137:T5:U52:V0:C7FC2:<S:18> xy222,137:T5:U64:V0:C7FC0:<S:20>"
slot8.state,OT3,,12,,다음<S:155>대상을<S:155>선택합니다,다음<S:155>대상을<S:155>선택합니다,1,"xy18,214:T5:U96:V12:C7FC3:다 xy30,214:T5:U84:V24:C7FC1:음 xy42,214:T5:U204:V12:C7FC3:<S:155> xy48,214:T5:U96:V12:C7FC2:대 xy60,214:T5:U108:V24:C7FC0:상 xy72,214:T5:U132:V24:C7FC0:을 xy84,214:T5:U204:V12:C7FC3:<S:155> xy90,214:T5:U0:V132:C7FC2:선 xy102,214:T31:U4:V224:C7FC0:택 xy114,214:T5:U48:V96:C7FC3:합 xy126,214:T5:U204:V0:C7FC0:니 xy138,214:T5:U96:V12:C7FC3:다"
slot9.state,0,0x801F031C,11,0x8019B870,용암으로<S:155>적에게<S:155>피해,용암으로<S:155>적에게<S:155>피해,1,S666 D51 S121 S586 S155 S971 S69 S101 S155 S859 S115
slot9.state,1,0x801F0E18,5,0x8019C866,대상<S:155>변경,대상<S:155>변경,1,S118 S204 S155 S209 S153
slot9.state,2,0x801F1DB4,6,0x8019B5D4,번<S:155>그라운드,번<S:155>그라운드,1,S880 S155 S78 S590 S217 S794
slot9.state,OT0,,5,,대상<S:155>변경,대상<S:155>변경,1,"xy18,214:T5:U96:V12:C7FC2:대 xy30,214:T5:U108:V24:C7FC0:상 xy42,214:T5:U204:V12:C7FC3:<S:155> xy48,214:T5:U120:V24:C7FC1:변 xy60,214:T5:U204:V12:C7FC1:경"
slot10.state,0,0x801F031C,0,0x8019B870,,,1,
slot10.state,1,0x801F0E18,0,0x801928DB,,,1,
slot10.state,2,0x801F1DB4,0,0x8019B5D4,,,1,
slot10.state,OT0,,12,,<S:1149>찾드<S:155><S:1236><S:1124> <S:1041>테<S:939><S:1082> 류<S:1044>,<S:1149>찾드<S:155><S:1236><S:1124> <S:1041>테<S:939><S:1082> 류<S:1044>,1,"xy46,98:T5:U168:V156:C7FC1:<S:1149> xy58,98:T5:U156:V132:C7FC3:찾 xy70,98:T5:U108:V108:C7FC2:드 xy82,98:T5:U204:V12:C7FC3:<S:155> xy88,98:T5:U180:V168:C7FC0:<S:1236> xy100,98:T5:U96:V156:C7FC0:<S:1124> xy166,98:T5:U96:V144:C7FC1:<S:1041> xy178,98:T5:U192:V96:C7FC0:테 xy190,98:T5:U36:V132:C7FC3:<S:939> xy202,98:T5:U216:V144:C7FC2:<S:1082> xy226,98:T5:U228:V132:C7FC1:류 xy238,98:T5:U108:V144:C7FC0:<S:1044>"
slot10.state,OT1,,10,,형<S:1051><S:1072><S:155><S:1185><S:1124> <S:1091>반 <S:1226>활,형<S:1051><S:1072><S:155><S:1185><S:1124> <S:1091>반 <S:1226>활,1,"xy46,114:T5:U84:V144:C7FC2:형 xy58,114:T5:U120:V144:C7FC3:<S:1051> xy70,114:T5:U192:V144:C7FC0:<S:1072> xy82,114:T5:U204:V12:C7FC3:<S:155> xy88,114:T5:U24:V168:C7FC1:<S:1185> xy100,114:T5:U96:V156:C7FC0:<S:1124> xy166,114:T5:U240:V144:C7FC3:<S:1091> xy178,114:T5:U84:V156:C7FC2:반 xy226,114:T5:U144:V168:C7FC2:<S:1226> xy238,114:T5:U60:V156:C7FC0:활"
slot10.state,OT2,,14,,<S:1197><S:1140><S:1176><S:1156><S:155>확<S:1090> 확<S:1090><S:1217><S:1117> 확<S:1090><S:1117>,<S:1197><S:1140><S:1176><S:1156><S:155>확<S:1090> 확<S:1090><S:1217><S:1117> 확<S:1090><S:1117>,1,"xy46,130:T5:U60:V168:C7FC1:<S:1197> xy58,130:T5:U144:V156:C7FC0:<S:1140> xy70,130:T5:U0:V168:C7FC0:<S:1176> xy82,130:T5:U192:V156:C7FC0:<S:1156> xy94,130:T5:U204:V12:C7FC3:<S:155> xy100,130:T5:U0:V96:C7FC2:확 xy112,130:T5:U240:V144:C7FC2:<S:1090> xy166,130:T5:U0:V96:C7FC2:확 xy178,130:T5:U240:V144:C7FC2:<S:1090> xy190,130:T5:U120:V168:C7FC1:<S:1217> xy202,130:T5:U72:V156:C7FC1:<S:1117> xy226,130:T5:U0:V96:C7FC2:확 xy238,130:T5:U240:V144:C7FC2:<S:1090> xy250,130:T5:U72:V156:C7FC1:<S:1117>"
slot10.state,OT3,,12,,<S:1151>움<S:1174><S:155><S:1131><S:1156> <S:1131><S:1156> <S:1217><S:155><S:1131><S:1156>,<S:1151>움<S:1174><S:155><S:1131><S:1156> <S:1131><S:1156> <S:1217><S:155><S:1131><S:1156>,1,"xy46,146:T5:U168:V156:C7FC3:<S:1151> xy58,146:T5:U240:V96:C7FC0:움 xy70,146:T5:U240:V156:C7FC2:<S:1174> xy82,146:T5:U204:V12:C7FC3:<S:155> xy88,146:T5:U108:V156:C7FC3:<S:1131> xy100,146:T5:U192:V156:C7FC0:<S:1156> xy166,146:T5:U108:V156:C7FC3:<S:1131> xy178,146:T5:U192:V156:C7FC0:<S:1156> xy226,146:T5:U120:V168:C7FC1:<S:1217> xy238,146:T5:U204:V12:C7FC3:<S:155> xy244,146:T5:U108:V156:C7FC3:<S:1131> xy256,146:T5:U192:V156:C7FC0:<S:1156>"
