pointer,japanese,current,original_hex,current_hex,missing_controls,empty_after
0x781cc,,메모리 카드가 가득합니다. 계속하시겠습니까?,78 5f 6b 31 bc 31 95 2a 1b 29 75 1b 30 2b 2a dd 4d 31 d8 2f 45 dd f9 49 27 2b 20 3c,dd 2c 55 2e a1 dd 38 17 0c a1 0c de a9 dd 1d 07 01 21 a1 dd 11 dd 5f 19 29 54 2d 07 3b d1,,False
0x781d0,,쓰지 않는 데이터를 지우거나 다른 카드를 넣으세요,1b 33 1d 1b a6 de 4e 65 53 2f 49 2b 20 24 dd 35 45 1c bc 31 95 2f dd 60 82 5c 1e 21 3e 35 3a 1b,dd 85 04 a1 78 06 a1 81 03 02 36 a1 04 3d 32 1e a1 01 dd bf a1 dd 38 17 36 a1 6f 4e 8c 2c,,False
0x78220,,메모리 카드를 확인하고 있습니다,78 5f 6b 31 bc 31 95 2f 6c df 5d 82 4e 1e 21 1b 27 2b,dd 2c 55 2e a1 dd 38 17 36 a1 de 2b 35 19 1c a1 1f 2d 07 01,,False
0x78224,,메모리 카드를 초기화하고 있습니다,78 5f 6b 31 bc 31 95 2f a6 de b4 31 64 82 5c 1e 21 1b 27 2b,dd 2c 55 2e a1 dd 38 17 36 a1 39 24 dd 83 19 1c a1 1f 2d 07 01,,False
0x78228,,데이터를 저장하고 있습니다,81 31 62 2f dd 60 31 c9 1e 21 1b 27 2b,81 03 02 36 a1 dd 24 56 19 1c a1 1f 2d 07 01,,False
0x7822c,,데이터를 불러오고 있습니다,81 31 62 2f a2 31 95 1e 21 1b 27 2b,81 03 02 36 a1 dd 13 20 46 1c a1 1f 2d 07 01,,False
0x804a4,炎の守り,불꽃의 수호,bf 1c dd 1e 39,dd 13 dd 8c 0f a1 50 95,,False
0x804a8,氷の守り,얼음의 수호,df 14 1c dd 1e 39,de 93 8d 0f a1 50 95,,False
0x804ac,アンチへモジー,안티 헤모지,42 34 6c dd 3b 5f 7f 31,94 df 51 a1 dd c3 55 04,,False
0x804b0,いやしのお守り,치유의 부적,1b 40 1e 1c 3b dd 1e 39,dd 1f 8a 0f a1 6c dd 09,,False
0x804b4,きぬのおび,비단 허리띠,44 dd 4f 1c 3b 99,dd 06 dd 35 a1 de 48 2e de 7a,,False
0x804b8,魔法のカート,마법 카드,dd 1b dd 51 1c bc 31 95,45 dd 37 a1 dd 38 17,,False
0x804bc,スリー<N:フ:11><N:リ:12>スカート,수면 방지 카드,47 6b 31 dd 55 6f 47 bc 31 95,50 3a a1 dd 29 04 a1 dd 38 17,,False
0x804c0,パワーアーム,파워 암,a3 dd a0 31 42 31 d8,dd 7b dd 68 a1 df 6c,,False
0x804c4,カ<N:｣:11><N:ザ:8>ー<N:ク:12>ローフ,카이저 글러브,bc 65 dd c8 31 80 a2 31 c9,dd 38 03 dd 24 a1 de 1a 20 dd c8,,False
0x804c8,幻のこて,환상의 장갑,dd f2 1c 2e 21,dd 65 8b 0f a1 56 de 0c,,False
0x804cc,サン<N:ク:12>ラス,선글라스,77 34 80 57 47,dd 53 de 1a 8f 30,,False
0x804d0,当て方の絵巻,명중의 두루마리,dd 42 21 c4 1c de f7 de f6,dd 34 dd 73 0f a1 dd 21 dd 42 45 2e,,False
0x804d4,ぶん投げの絵巻,투척의 두루마리,ca 2d de 04 9c 1c de f7 de f6,dd 39 df 93 0f a1 dd 21 dd 42 45 2e,,False
0x804d8,神のこぶし,신의 주먹,dd 2f 1c 2e ca 1e,3e 0f a1 40 de 66,,False
0x804dc,バ<N:｣:11>オ<N:リ:12>ット<N:リ:12>ーサー,바이올렛 레이저,af 65 8f 6f 82 5c 6f 31 77 31,dd 08 03 99 df 2c a1 dd 66 03 dd 24,,False
0x804e0,<N:ネ:13>ック<N:リ:12>ス,목걸이,dd c6 82 4e 6f 47,dd 33 dd 8e 03,,False
0x804e4,じ<N:ぃ:20>す,염주,4a de 20 8c,df 89 40,,False
0x804e8,長老のはちまき,장로의 머리띠,d4 a8 1c 28 4b 27 44,56 d5 0f a1 dd 5d 2e de 7a,,False
0x804ec,しつ<N:ぷ:23>うのバンダナ,질풍의 반다나,1e 29 de b5 26 1c af 34 67 7c,dd aa de 2e 0f a1 dd 46 01 1e,,False
0x804f0,<N:ハ:12><N:｣:11>パーフーツ,하이퍼 부츠,dd a2 65 a3 31 c9 31 df 01,19 03 de 78 a1 6c de cd,,False
0x804f4,まにあわせのくつ,임시 신발,27 23 3f 43 59 1c 3e 45,dd c2 29 a1 3e dd 0e,,False
0x804f8,フ<N:リ:12>ス<N:リ:12>ット,팔찌 1,c9 6f 47 6f 82 5c,dd 6c de 56 a1 4a,,False
0x804fc,フ<N:リ:12>ス<N:リ:12>ット,팔찌 2,c9 6f 47 6f 82 5c,dd 6c de 56 a1 0b,,False
0x80500,技のフ<N:リ:12>ス<N:リ:12>ット,기술의 팔찌,dd 4c 1c c9 6f 47 6f 82 5c,24 dd e5 0f a1 dd 6c de 56,,False
0x80504,女神のいのり,여신의 기도,de 6b dd 2f 1c 1b 1c 39,1a 3e 0f a1 24 33,,False
0x80508,パワーリスト,파워 리스트,a3 dd a0 31 6b 47 5c,dd 7b dd 68 a1 2e 30 dd 5b,,False
0x8050c,デ<N:ｲ:6>ールの<N:牙:4>,데일의 이빨,81 dd 03 31 53 1c de b0,81 6b 0f a1 03 de 20,,False
0x80510,幻獣の<N:牙:4>,환수의 이빨,dd f2 de 6e 1c de b0,dd 65 50 0f a1 03 de 20,,False
0x80514,しおかぜの調ベ,바닷바람의 선율,1e 3b 20 a7 1c dd 86 dd 35,dd 08 df 1f dd 08 dd 22 0f a1 dd 53 de a6,,False
0x80518,<N:貝:2>がら,조개껍데기,df 50 2a 33,90 dd b4 df 18 81 24,,False
0x8051c,一角獣の角,유니콘의 뿔,8e de 7c de 6e 1c de 7c,8a 07 de 96 0f a1 de e1,,False
0x80520,<N:悲:5>劇のめがね,비극의 안경,dd ba de 15 1c 51 2a 4c,dd 06 df 17 0f a1 94 68,,False
0x80524,鏡,거울,dd ae,32 dd 92,,False
0x80528,古代の<N:ｴ:24>びわ,고대의 반지,dd 69 dd a8 1c dd 04 99 43,1c 37 0f a1 dd 46 04,,False
0x8052c,幻の<N:ｴ:24>びわ,환상의 반지,dd f2 1c dd 04 99 43,dd 65 8b 0f a1 dd 46 04,,False
0x80530,魔導の<N:ｴ:24>びわ,마도의 반지,dd 1b de 03 1c dd 04 99 43,45 33 0f a1 dd 46 04,,False
0x80534,おもちゃの<N:ｴ:24>びわ,장난감 반지,3b 38 4b 48 1c dd 04 99 43,56 dd 6a dd 77 a1 dd 46 04,,False
0x80538,<N:毒:1>よけの<N:ｴ:24>びわ,독막이 반지,dd cf 3d 49 1c dd 04 99 43,df 22 dd ab 03 a1 dd 46 04,,False
0x8053c,幻の盾,환상의 방패,dd f2 1c de db,dd 65 8b 0f a1 dd 29 de d7,,False
0x80540,戦士の守り,전사의 수호,63 68 1c dd 1e 39,4f 34 0f a1 50 95,,False
0x80544,長老の盾,장로의 방패,d4 a8 1c de db,56 d5 0f a1 dd 29 de d7,,False
0x80548,強力な<N:杖:1>,강력한 지팡이,dd 19 61 1d df 32,dd 28 dd 2b 53 a1 04 df 52 03,,False
0x8054c,じごくのスニー<N:フ:11>,지옥의 스누프,4a 79 3e 1c 47 d1 31 dd 55,04 de 39 0f a1 30 dd 55 dd 9d,,False
0x80550,王様の像,왕의 상,5d cb 1c de 64,6a 0f a1 8b,,False
0x80554,たかの像,매의 상,1f 20 1c de 64,dd c9 0f a1 8b,,False
0x80558,まがいの像,모조상,27 2a 1b 1c de 64,55 90 8b,,False
0x8055c,たん剣,단검,1f 2d dd 8d,dd 35 dd a1,,False
0x80560,幻の剣,환상의 검,dd f2 1c dd 8d,dd 65 8b 0f a1 dd a1,,False
0x80564,<N:リ:12><N:｣:11>ラのかみか<N:ざ:2>り,리라의 머리장식,6f 65 57 1c 20 6d 20 dd 3d 39,2e 8f 0f a1 dd 5d 2e 56 dd b5,,False
0x80568,乱れる宝石,요동치는 보석,de 54 32 22 dd c9 94,2c dd 32 dd 1f 06 a1 60 dd 8b,,False
0x8056c,アーマーストーン,아머 스톤,42 31 64 31 47 5c 31 34,09 dd 5d a1 30 dd 9a,,False
0x80570,ロマンシン<N:ク:12>ストーン,로맨싱 스톤,a2 64 34 60 34 80 47 5c 31 34,d5 de 08 de 26 a1 30 dd 9a,,False
0x80574,ロマンシン<N:ク:12>ストーン,로맨싱 스톤,a2 64 34 60 34 80 47 5c 31 34,d5 de 08 de 26 a1 30 dd 9a,,False
0x80578,ロマンシン<N:ク:12>ストーン,로맨싱 스톤,a2 64 34 60 34 80 47 5c 31 34,d5 de 08 de 26 a1 30 dd 9a,,False
0x8057c,ロマンシン<N:ク:12>ストーン,로맨싱 스톤,a2 64 34 60 34 80 47 5c 31 34,d5 de 08 de 26 a1 30 dd 9a,,False
0x80580,太陽の<N:げ:26>うし,태양의 거울,dd a9 df 07 1c d2 26 1e,dd d2 dd 82 0f a1 32 dd 92,,False
0x80584,おし花の本,압화 책,3b 1e de 1b 1c 92,df 6d dd 83 a1 de 43,,False
0x80588,クラウ<N:ｲ:6>スの本,클라우스의 책,4e 57 dd 39 dd 03 47 1c 92,de 01 8f 3d 30 0f a1 de 43,,False
0x8058c,音楽集,음악집,de f9 dd df dd 5a,8d dd eb dd e2,,False
0x80590,ラークの紋章,라크의 문장,57 31 4e 1c de 56 de 34,8f 58 0f a1 dd af 56,,False
0x80594,<N:ｴ:24>かりの紋章,유카리의 문장,dd 04 20 39 1c de 56 de 34,8a dd 38 2e 0f a1 dd af 56,,False
0x80598,フ<N:リ:12><N:｣:11>の紋章,포니의 문장,a6 6f 65 1c de 56 de 34,dd 78 07 0f a1 dd af 56,,False
0x8059c,勇者の証,용자의 증표,dd 47 7e 1c de 0c,dd 1a 28 0f a1 de 09 dd 8a,,False
0x805a0,？？？？？,?????,3c 3c 3c 3c 3c,d1 d1 d1 d1 d1,,False
0x80a94,炎系の攻撃に強くなります,화염 공격 피해 감소,bf de ed 1c d0 b1 23 dd 19 3e 1d 39 27 2b,dd 83 df 89 a1 dd 10 dd 0a a1 dd 3c 2b a1 dd 77 dd 07,,False
0x80a98,水系の攻撃に強くなります,냉기 공격 피해 감소,b8 de ed 1c d0 b1 23 dd 19 3e 1d 39 27 2b,df 1d 24 a1 dd 10 dd 0a a1 dd 3c 2b a1 dd 77 dd 07,,False
0x80a9c,<N:ｌ:5>へモジーへを回避します,헤모지 방지,5b dd 3b 5f 7f 31 5a 2f 9e dd 96 1e 27 2b,dd c3 55 04 a1 dd 29 04,,False
0x80aa0,自分の<N:Π:10><N:Ｐ:10>の回復量が大きくなります,회복 효과 증가,a4 b2 1c dd fa dd 90 1c 9e dd 2c dd 46 2a 50 44 3e 1d 39 27 2b,7a dd 9f a1 de 24 dd 18 a1 de 09 0c,,False
0x80aa4,戦闘で入る経験値が2倍になります,획득 경험치 2배,63 93 30 86 22 dd de de 75 dd d2 2a 13 df 17 23 1d 39 27 2b,de 79 de a9 a1 68 dd 54 dd 1f a1 0b dd 93,,False
0x80aa8,魔力が10<N:X:20>上昇します,마력 10% 상승,dd 1b 61 2a 12 11 06 b9 dd 59 1e 27 2b,45 dd 2b a1 4a 91 dd b8 a1 8b 69,,False
0x80aac,<N:ｌ:5><N:眠:5>りへを回避します,수면 방지,5b dd b9 39 5a 2f 9e dd 96 1e 27 2b,50 3a a1 dd 29 04,,False
0x80ab0,防御力が30<N:X:20>上昇します（チョン<N:力:5>ラ）,촌가라 방어력 30% 상승,dd a6 dd ad 61 2a 14 11 06 b9 dd 59 1e 27 2b 09 6c 69 34 dd 02 57 0a,96 0c 8f a1 dd 29 14 dd 2b a1 27 91 dd b8 a1 8b 69,,False
0x80ab4,<N:ｌ:5>投げるへが<N:リ:12>ベル1になります,던지기 레벨 1,5b de 04 9c 22 5a 2a 6f dd b4 53 12 23 1d 39 27 2b,dd 25 04 24 a1 dd 66 dd ef a1 4a,,False
0x80ab8,攻撃力が<N:ｃ:12>0<N:X:20>上昇します,공격력 50% 상승,d0 b1 61 2a 16 11 06 b9 dd 59 1e 27 2b,dd 10 dd 0a dd 2b a1 9e 91 dd b8 a1 8b 69,,False
0x80abc,<N:ｌ:5>暗闇へを回避します,암흑 방지,5b de b3 de b2 5a 2f 9e dd 96 1e 27 2b,df 6c df 59 a1 dd 29 04,,False
0x80ac0,攻撃が<N:非:1>常に当たりやすくなります,명중률 상승,d0 b1 2a de 5a de 68 23 dd 42 1f 39 40 2b 3e 1d 39 27 2b,dd 34 dd 73 df 5b a1 8b 69,,False
0x80ac4,<N:ｌ:5>投げるへが<N:ｌ:5>ぶん投げるへになります,던지기가 강력 투척으로 변화,5b de 04 9c 22 5a 2a 5b ca 2d de 04 9c 22 5a 23 1d 39 27 2b,dd 25 04 24 0c a1 dd 28 dd 2b a1 dd 39 df 93 4e d5 a1 80 dd 83,,False
0x80ac8,攻撃が特定の敵に強くなります,특정 적에게 추가 피해,d0 b1 2a de 96 dd 97 1c bd 23 dd 19 3e 1d 39 27 2b,de 3a 31 a1 dd 09 0e 41 a1 df 95 0c a1 dd 3c 2b,,False
0x80acc,攻撃が必す当たるようになります,공격이 반드시 명중,d0 b1 2a dd cc 8c dd 42 1f 22 3d 26 23 1d 39 27 2b,dd 10 dd 0a 03 a1 dd 46 17 29 a1 dd 34 dd 73,,False
0x80ad0,<N:リ:12>ベルアッ<N:フ:11>時に<N:Π:10><N:Ｐ:10>の伸びが大きくなります,레벨업 시 최대 체력 증가량 상승,6f dd b4 53 42 82 dd 55 cf 23 dd fa dd 90 1c df 31 99 2a 50 44 3e 1d 39 27 2b,dd 66 dd ef de 9e a1 29 a1 de 27 37 a1 dd 90 dd 2b a1 de 09 0c d2 a1 8b 69,,False
0x80ad4,魔力が30<N:X:20>上昇します （<N:ニ:13>ーゲン）,고겐 마력 30% 상승,dd 1b 61 2a 14 11 06 b9 dd 59 1e 27 2b 01 09 dd 3c 31 dd 4d 34 0a,1c dd a9 a1 45 dd 2b a1 27 91 dd b8 a1 8b 69,,False
0x80ad8,攻撃が当たりやすくなります,명중률 상승,d0 b1 2a dd 42 1f 39 40 2b 3e 1d 39 27 2b,dd 34 dd 73 df 5b a1 8b 69,,False
0x80adc,すばやさが10<N:X:20>上昇します,민첩 10% 상승,2b 58 40 3a 2a 12 11 06 b9 dd 59 1e 27 2b,dd ec df 5e a1 4a 91 dd b8 a1 8b 69,,False
0x80ae0,すばやさが30<N:X:20>上昇します,민첩 30% 상승,2b 58 40 3a 2a 14 11 06 b9 dd 59 1e 27 2b,dd ec df 5e a1 27 91 dd b8 a1 8b 69,,False
0x80ae4,<N:ｌ:5>ジャン<N:フ:11>へが<N:リ:12>ベル1になります,점프 레벨 1,5b 7f d6 34 dd 55 5a 2a 6f dd b4 53 12 23 1d 39 27 2b,dd d0 dd 9d a1 dd 66 dd ef a1 4a,,False
0x80ae8,反撃しやすくなります,반격률 상승,de 02 b1 1e 40 2b 3e 1d 39 27 2b,dd 46 dd 0a df 5b a1 8b 69,,False
0x80aec,<N:ｌ:5>受け取るへが<N:リ:12>ベル1になります,받기 레벨 1,5b dd 68 49 dd 29 22 5a 2a 6f dd b4 53 12 23 1d 39 27 2b,dd 19 24 a1 dd 66 dd ef a1 4a,,False
0x80af0,<N:ｌ:5>受け取るへが<N:ｌ:5>投げ返すへになります,받기가 되던지기로 변화,5b dd 68 49 dd 29 22 5a 2a 5b de 04 9c de 57 2b 5a 23 1d 39 27 2b,dd 19 24 0c a1 73 dd 25 04 24 d5 a1 80 dd 83,,False
0x80af4,半分の<N:∪:20><N:Ｐ:10>で能力を使用できます,능력 MP 소비 절반,df 16 b2 1c de 4f dd 90 30 dd 80 61 2f dd 33 dd 3e 30 44 27 2b,dd ed dd 2b a1 df 0b de 07 a1 dd 07 dd 06 a1 dd da dd 46,,False
0x80af8,攻撃力が30<N:X:20>上昇します,공격력 30% 상승,d0 b1 61 2a 14 11 06 b9 dd 59 1e 27 2b,dd 10 dd 0a dd 2b a1 27 91 dd b8 a1 8b 69,,False
0x80afc,反撃ダメージが大きくなります（<N:｣:11>ー<N:力:5>）,이가 반격 피해 증가,de 02 b1 67 78 31 7f 2a 50 44 3e 1d 39 27 2b 09 65 31 dd 02 0a,03 0c a1 dd 46 dd 0a a1 dd 3c 2b a1 de 09 0c,,False
0x80b00,効果はわかつていません,효과 불명,dd c1 dd 1f 28 43 20 29 21 1b 27 59 2d,de 24 dd 18 a1 dd 13 dd 34,,False
0x80b04,行動する度まわりの<N:午:15>ャラを回復します（ククル）,쿠쿠루 행동 시 주변 아군 회복,74 dc 2b 22 dd 20 27 43 39 1c dd 4e d6 57 2f 9e dd 2c 1e 27 2b 09 4e 4e 53 0a,dd 0c dd 0c dd 42 a1 dd 31 dd 32 a1 29 a1 40 80 a1 09 7c a1 7a dd 9f,,False
0x80b08,敵がア<N:｣:11>テムを落としやすくなります,아이템 드롭률 상승,bd 2a 42 65 db d8 2f dd a4 36 1e 40 2b 3e 1d 39 27 2b,09 03 dd 5e a1 17 de 94 df 5b a1 8b 69,,False
0x80b0c,敵を倒すとほ<N:げ:26>ア<N:｣:11>テムが出ます,적 처치 시 희귀 아이템 획득,bd 2f dd 83 2b 36 dd 05 d2 42 65 db d8 2a 56 27 2b,dd 09 a1 dd 8f dd 1f a1 29 a1 dd 43 de 6c a1 09 03 dd 5e a1 de 79 de a9,,False
0x80b10,効果はわかつていません,효과 불명,dd c1 dd 1f 28 43 20 29 21 1b 27 59 2d,de 24 dd 18 a1 dd 13 dd 34,,False
0x80b14,<N:ｌ:5>石化へを回避します,석화 방지,5b 94 dd 7c 5a 2f 9e dd 96 1e 27 2b,dd 8b dd 83 a1 dd 29 04,,False
0x80b18,効果はわかつていません （アーク）,아크 전용 효과 불명,dd c1 dd 1f 28 43 20 29 21 1b 27 59 2d 01 09 42 31 4e 0a,09 58 a1 4f dd 1a a1 de 24 dd 18 a1 dd 13 dd 34,,False
0x80b1c,魔力が<N:ｃ:12>0<N:X:20>上昇します,마력 50% 상승,dd 1b 61 2a 16 11 06 b9 dd 59 1e 27 2b,45 dd 2b a1 9e 91 dd b8 a1 8b 69,,False
0x80b20,魔力が30<N:X:20>上昇します,마력 30% 상승,dd 1b 61 2a 14 11 06 b9 dd 59 1e 27 2b,45 dd 2b a1 27 91 dd b8 a1 8b 69,,False
0x80b24,<N:ｌ:5>向き直りの笛への効果が<N:∪:20><N:∧:11><N:Ｐ:10>全体（ポニ）,포코의 방향 전환 효과가 전체화,5b dd 01 44 dd 85 39 1c de 2f 5a 1c dd c1 dd 1f 2a de 4f de 83 dd 90 dd 08 dd 2d 09 d7 d1 0a,dd 78 dd 40 0f a1 dd 29 dd b2 a1 4f dd 65 a1 de 24 dd 18 0c a1 4f dd 90 dd 83,,False
0x80b28,<N:ｌ:5><N:毒:1>へを回避します,독 방지,5b dd cf 5a 2f 9e dd 96 1e 27 2b,df 22 a1 dd 29 04,,False
0x80b2c,防御力が<N:ｃ:12>0<N:X:20>上昇します,방어력 50% 상승,dd a6 dd ad 61 2a 16 11 06 b9 dd 59 1e 27 2b,dd 29 14 dd 2b a1 9e 91 dd b8 a1 8b 69,,False
0x80b30,防御力が30<N:X:20>上昇します,방어력 30% 상승,dd a6 dd ad 61 2a 14 11 06 b9 dd 59 1e 27 2b,dd 29 14 dd 2b a1 27 91 dd b8 a1 8b 69,,False
0x80b34,防御しやすくなります,방어율 상승,dd a6 dd ad 1e 40 2b 3e 1d 39 27 2b,dd 29 14 de a6 a1 8b 69,,False
0x80b38,攻撃力が<N:７:11>0<N:X:20>上昇します（<N:ニ:13>ーゲン）,고겐 공격력 70% 상승,d0 b1 61 2a 18 11 06 b9 dd 59 1e 27 2b 09 dd 3c 31 dd 4d 34 0a,1c dd a9 a1 dd 10 dd 0a dd 2b a1 9a 91 dd b8 a1 8b 69,,False
0x80b3c,<N:ｌ:5>心<N:眼:3>法への<N:乾:16>囲が広くなります（<N:｣:11>ー<N:力:5>）,이가 심안법 범위 확장,5b dd 11 de 7b dd 51 5a 1c de 93 df 5b 2a df 43 3e 1d 39 27 2b 09 65 31 dd 02 0a,03 0c a1 9d 94 dd 37 a1 de 63 8e a1 de 2b 56,,False
0x80b40,召喚<N:午:15>ャラの経験値が自分に入ります（チョン<N:力:5>ラ）,촌가라가 소환수 경험치 획득,dd 78 dd 7b dd 4e d6 57 1c dd de de 75 dd d2 2a a4 b2 23 86 39 27 2b 09 6c 69 34 dd 02 57 0a,96 0c 8f 0c a1 dd 07 dd 65 50 a1 68 dd 54 dd 1f a1 de 79 de a9,,False
0x80b44,<N:ｌ:5>沈黙へを回避します,침묵 방지,5b df 1e de 8b 5a 2f 9e dd 96 1e 27 2b,de 06 df 5f a1 dd 29 04,,False
0x80b48,攻撃を避けやすくなります,회피율 상승,d0 b1 2f dd 96 49 40 2b 3e 1d 39 27 2b,7a dd 3c de a6 a1 8b 69,,False
0x80b4c,攻撃力が10<N:X:20>上昇します,공격력 10% 상승,d0 b1 61 2a 12 11 06 b9 dd 59 1e 27 2b,dd 10 dd 0a dd 2b a1 4a 91 dd b8 a1 8b 69,,False
0x80b50,<N:与:3>えるダメージの当たりはすれが大きくなります,피해 편차 증가,dd 3f 46 22 67 78 31 7f 1c dd 42 1f 39 28 8c 32 2a 50 44 3e 1d 39 27 2b,dd 3c 2b a1 dd 79 dd b7 a1 de 09 0c,,False
0x80b54,復活魔法で<N:Π:10><N:Ｐ:10>最大で復活します（ククル）,쿠쿠루 부활 시 최대 체력 회복,dd 2c de 49 dd 1b dd 51 30 dd fa dd 90 dd 2b 50 30 dd 2c de 49 1e 27 2b 09 4e 4e 53 0a,dd 0c dd 0c dd 42 a1 6c dd e1 a1 29 a1 de 27 37 a1 dd 90 dd 2b a1 7a dd 9f,,False
0x80b58,当たりはすれが大きくなります,피해 편차 증가,dd 42 1f 39 28 8c 32 2a 50 44 3e 1d 39 27 2b,dd 3c 2b a1 dd 79 dd b7 a1 de 09 0c,,False
0x80b5c,防御力が10<N:X:20>上昇します,방어력 10% 상승,dd a6 dd ad 61 2a 12 11 06 b9 dd 59 1e 27 2b,dd 29 14 dd 2b a1 4a 91 dd b8 a1 8b 69,,False
0x80b60,効果はわかつていません,효과 불명,dd c1 dd 1f 28 43 20 29 21 1b 27 59 2d,de 24 dd 18 a1 dd 13 dd 34,,False
0x80b64,効果はわかつていません,효과 불명,dd c1 dd 1f 28 43 20 29 21 1b 27 59 2d,de 24 dd 18 a1 dd 13 dd 34,,False
0x80b68,効果はわかつていません,효과 불명,dd c1 dd 1f 28 43 20 29 21 1b 27 59 2d,de 24 dd 18 a1 dd 13 dd 34,,False
0x80b6c,効果はわかつていません,효과 불명,dd c1 dd 1f 28 43 20 29 21 1b 27 59 2d,de 24 dd 18 a1 dd 13 dd 34,,False
0x80b70,行動するたびに<N:Π:10><N:Ｐ:10>が回復します,매 행동 체력 회복,74 dc 2b 22 1f 99 23 dd fa dd 90 2a 9e dd 2c 1e 27 2b,dd c9 a1 dd 31 dd 32 a1 dd 90 dd 2b a1 7a dd 9f,,False
0x80b74,攻撃が<N:非:1>常に当たりやすくなります（トッシュ）,토슈 공격 명중률 상승,d0 b1 2a de 5a de 68 23 dd 42 1f 39 40 2b 3e 1d 39 27 2b 09 5c 82 60 ab 0a,83 dd 86 a1 dd 10 dd 0a a1 dd 34 dd 73 df 5b a1 8b 69,,False
0x80b78,全ステータスしょう害を回避します,모든 상태 이상 방지,dd 08 47 db 31 62 47 1e 73 26 de 7e 2f 9e dd 96 1e 27 2b,55 dd 26 a1 8b dd d2 a1 03 8b a1 dd 29 04,,False
0x80b7c,魔力が30<N:X:20>上昇します （ポニ）,포코 마력 30% 상승,dd 1b 61 2a 14 11 06 b9 dd 59 1e 27 2b 01 09 d7 d1 0a,dd 78 dd 40 a1 45 dd 2b a1 27 91 dd b8 a1 8b 69,,False
0x80b80,<N:ｌ:5>マ<N:ヒ:5>へを回避します,마비 방지,5b 64 dd b5 5a 2f 9e dd 96 1e 27 2b,45 dd 06 a1 dd 29 04,,False
0x80b84,桜花雷爆斬でマ<N:ヒ:5>させることができます（トッシュ）,토슈 앵화뇌폭참에 마비 부여,de 3c de 1b dd a5 dd 41 dd 5c 30 64 dd b5 3a 59 22 2e 36 2a 30 44 27 2b 09 5c 82 60 ab 0a,83 dd 86 a1 df 6e dd 83 df 1e dd 62 dd 4c 0e a1 45 dd 06 a1 6c 1a,,False
0x80b88,攻撃が特定の敵に強くなります,특정 적에게 추가 피해,d0 b1 2a de 96 dd 97 1c bd 23 dd 19 3e 1d 39 27 2b,de 3a 31 a1 dd 09 0e 41 a1 df 95 0c a1 dd 3c 2b,,False
0x80b8c,行動するごとに<N:∪:20><N:Ｐ:10>が回復します（アーク）,아크 매행동 MP회복,74 dc 2b 22 79 36 23 de 4f dd 90 2a 9e dd 2c 1e 27 2b 09 42 31 4e 0a,09 58 a1 dd c9 dd 31 dd 32 a1 df 0b de 07 7a dd 9f,,False
0x80b90,？？？？？,?????,3c 3c 3c 3c 3c,d1 d1 d1 d1 d1,,False
0x80c9c,ねばねば,끈끈이,4c 58 4c 58,de 40 de 40 03,,False
0x80ca0,やる気<N:г:23>リー,의욕 젤리,40 22 a9 dd f8 6b 31,0f dd e3 a1 df 8f 2e,,False
0x80ca4,みなぎる果実,넘치는 열매,6d 1d dd 7d 22 dd 1f de 37,dd f4 dd 1f 06 a1 dd 89 dd c9,,False
0x80ca8,回復果物,회복 열매,9e dd 2c dd 1f dd 49,7a dd 9f a1 dd 89 dd c9,,False
