char,unicode,width,occurrences,mode,code_hex,physical_index,virtual_slot,new_physical_plane,target_was_blank_in_v318
녔,U+B154,2,4,direct_existing,DE B0,650,,0,0
노,U+B178,2,49,direct_existing,DD 57,306,,0,0
놀,U+B180,2,6,direct_existing,DE 84,606,,0,0
놈,U+B188,2,35,direct_existing,DD 84,351,,0,0
놓,U+B193,2,14,direct_existing,DE 23,509,,0,0
뇌,U+B1CC,2,2,virtual_static_new,EA 26,759,291,1,1
누,U+B204,2,49,direct_existing,DD 55,304,,0,0
눈,U+B208,2,16,direct_existing,DE 0D,487,,0,0
느,U+B290,2,33,direct_existing,DD 99,372,,0,0
는,U+B294,2,13,virtual_static_existing,E9 2A,5,41,0,0
늘,U+B298,2,40,direct_existing,DD 71,332,,0,0
능,U+B2A5,2,19,direct_existing,DD ED,456,,0,0
늪,U+B2AA,2,3,direct_existing,DE CF,681,,0,0
니,U+B2C8,2,40,virtual_static_existing,E9 2C,6,43,0,0
닌,U+B2CC,2,21,direct_existing,DD DF,442,,0,0
님,U+B2D8,2,85,direct_existing,DD 2E,265,,0,0
닙,U+B2D9,2,10,direct_existing,DE 49,547,,0,0
다,U+B2E4,2,51,virtual_static_existing,E9 2D,0,44,0,0
단,U+B2E8,2,65,direct_existing,DD 35,272,,0,0
달,U+B2EC,2,9,direct_existing,DE 5F,569,,0,0
담,U+B2F4,2,4,direct_existing,DE B8,658,,0,0
답,U+B2F5,2,5,direct_existing,DE A0,634,,0,0
닷,U+B2F7,2,1,virtual_static_new,EA 28,760,293,1,1
당,U+B2F9,2,82,direct_existing,DD 1C,247,,0,0
대,U+B300,2,149,virtual_static_existing,E9 31,54,48,0,0
더,U+B354,2,33,direct_existing,DD 96,369,,0,0
던,U+B358,2,73,direct_existing,DD 25,256,,0,0
덤,U+B364,2,2,direct_existing,DE E7,705,,0,0
덮,U+B36E,2,1,direct_existing,DE EE,712,,0,0
데,U+B370,2,15,virtual_static_existing,E9 07,128,6,0,0
덴,U+B374,2,2,virtual_static_new,EA 29,761,294,1,1
델,U+B378,2,19,direct_existing,DD E9,452,,0,0
도,U+B3C4,2,7,virtual_static_existing,E9 36,50,53,0,0
독,U+B3C5,2,6,virtual_static_new,EA 2A,763,295,1,1
돌,U+B3CC,2,5,virtual_static_existing,E9 37,113,54,0,0
동,U+B3D9,2,68,direct_existing,DD 32,269,,0,0
돼,U+B3FC,2,22,direct_existing,DD CC,423,,0,0
됐,U+B410,2,21,direct_existing,DD DC,439,,0,0
되,U+B418,2,2,virtual_static_existing,E9 39,114,56,0,0
된,U+B41C,2,24,direct_existing,DD C6,417,,0,0
될,U+B420,2,22,direct_existing,DD D9,436,,0,0
됩,U+B429,2,28,direct_existing,DD AE,393,,0,0
두,U+B450,2,115,direct_existing,DD 21,252,,0,0
둔,U+B454,2,30,virtual_static_new,EA 2B,764,296,1,1
둘,U+B458,2,26,direct_existing,DD BB,406,,0,0
둬,U+B46C,2,2,direct_existing,DE E0,698,,0,0
뒤,U+B4A4,2,1,virtual_static_existing,E9 22,74,33,0,0
드,U+B4DC,2,75,direct_existing,DD 23,254,,0,0
든,U+B4E0,2,73,direct_existing,DD 26,257,,0,0
듣,U+B4E3,2,15,direct_existing,DE 21,507,,0,0
들,U+B4E4,2,2,direct_new,DF 24,765,,1,1
듦,U+B4E6,2,1,virtual_static_new,EA 2D,766,298,1,1
듯,U+B4EF,2,9,direct_existing,DE 5B,565,,0,0
등,U+B4F1,2,1,direct_existing,DE F5,719,,0,0
디,U+B514,2,23,direct_existing,DD CD,424,,0,0
딘,U+B518,2,6,direct_existing,DE 91,619,,0,0
따,U+B530,2,26,direct_existing,DD B9,404,,0,0
딸,U+B538,2,5,direct_existing,DE A5,639,,0,0
땅,U+B545,2,10,direct_existing,DE 53,557,,0,0
때,U+B54C,2,3,virtual_static_existing,E9 01,118,0,0,0
떠,U+B5A0,2,19,direct_existing,DD E8,451,,0,0
떨,U+B5A8,2,4,direct_existing,DE B5,655,,0,0
떻,U+B5BB,2,56,direct_existing,DD 44,287,,0,0
또,U+B610,2,10,direct_existing,DE 4F,553,,0,0
뛸,U+B6F8,2,1,direct_existing,DE F0,714,,0,0
뜨,U+B728,2,16,direct_existing,DE 0B,485,,0,0
띄,U+B744,2,1,virtual_static_new,EA 2E,767,299,1,1
띠,U+B760,2,7,direct_existing,DE 7A,596,,0,0
라,U+B77C,2,475,direct_existing,DD 05,224,,0,0
락,U+B77D,2,7,virtual_static_new,EA 30,768,301,1,1
란,U+B780,2,11,direct_existing,DE 3E,536,,0,0
람,U+B78C,2,79,direct_existing,DD 22,253,,0,0
랑,U+B791,2,7,direct_existing,DE 74,590,,0,0
래,U+B798,2,92,direct_existing,DD 12,237,,0,0
랙,U+B799,2,1,virtual_static_new,EA 32,769,303,1,1
랜,U+B79C,2,2,direct_existing,DE E2,700,,0,0
랩,U+B7A9,2,1,virtual_static_new,EA 33,770,304,1,1
러,U+B7EC,2,11,virtual_static_existing,E9 42,31,65,0,0
런,U+B7F0,2,70,direct_existing,DD 2A,261,,0,0
럼,U+B7FC,2,53,direct_existing,DD 49,292,,0,0
럽,U+B7FD,2,3,direct_existing,DE C5,671,,0,0
렇,U+B807,2,51,direct_existing,DD 4D,296,,0,0
레,U+B808,2,45,direct_existing,DD 66,321,,0,0
렉,U+B809,2,1,virtual_static_new,EA 34,771,305,1,1
렌,U+B80C,2,27,direct_existing,DD B0,395,,0,0
렘,U+B818,2,2,virtual_static_new,EA 35,772,306,1,1
렛,U+B81B,2,1,virtual_static_new,EA 36,773,307,1,1
려,U+B824,2,1,virtual_static_existing,E9 46,59,69,0,0
력,U+B825,2,70,direct_existing,DD 2B,262,,0,0
련,U+B828,2,24,direct_existing,DD C5,416,,0,0
렬,U+B82C,2,1,virtual_static_new,EA 37,775,308,1,1
렴,U+B834,2,9,direct_existing,DE 58,562,,0,0
렸,U+B838,2,32,direct_existing,DD 9B,374,,0,0
령,U+B839,2,1,virtual_static_existing,E9 48,80,71,0,0
례,U+B840,2,7,virtual_static_new,E9 34,776,51,1,1
로,U+B85C,2,457,direct_existing,DD 04,223,,0,0
록,U+B85D,2,40,direct_existing,DD 72,333,,0,0
론,U+B860,2,28,direct_new,DF 30,777,,1,1
뢰,U+B8B0,2,2,virtual_static_new,EA 39,778,310,1,1
료,U+B8CC,2,16,direct_existing,DE 12,492,,0,0
루,U+B8E8,2,58,direct_existing,DD 42,285,,0,0
룬,U+B8EC,2,1,virtual_static_new,EA 3A,779,311,1,1
류,U+B958,2,42,direct_existing,DD 6E,329,,0,0
률,U+B960,2,5,virtual_static_new,EA 3B,820,312,1,1
르,U+B974,2,7,virtual_static_existing,E9 4C,111,75,0,0
른,U+B978,2,25,direct_existing,DD BF,410,,0,0
를,U+B97C,2,14,virtual_static_existing,E9 4D,53,76,0,0
름,U+B984,2,11,direct_existing,DE 38,530,,0,0
리,U+B9AC,2,41,virtual_static_existing,E9 4F,45,78,0,0
릭,U+B9AD,2,4,direct_existing,DE 70,586,,0,0
린,U+B9B0,2,22,direct_existing,DD D4,431,,0,0
릴,U+B9B4,2,23,direct_existing,DD CA,421,,0,0
립,U+B9BD,2,13,direct_existing,DE 2F,521,,0,0
링,U+B9C1,2,7,direct_existing,DE 54,558,,0,0
마,U+B9C8,2,47,virtual_static_existing,E9 52,68,81,0,0
막,U+B9C9,2,28,direct_existing,DD AB,390,,0,0
만,U+B9CC,2,6,virtual_static_existing,E9 54,55,83,0,0
많,U+B9CE,2,28,direct_existing,DD AC,391,,0,0
말,U+B9D0,2,3,virtual_static_existing,E9 1C,26,27,0,0
맙,U+B9D9,2,3,direct_existing,DE CA,676,,0,0
망,U+B9DD,2,43,direct_existing,DD 6B,326,,0,0
맞,U+B9DE,2,27,direct_existing,DD B1,396,,0,0
맡,U+B9E1,2,25,direct_existing,DD C0,411,,0,0
매,U+B9E4,2,24,direct_existing,DD C9,420,,0,0
맨,U+B9E8,2,17,direct_existing,DE 08,482,,0,0
맵,U+B9F5,2,2,direct_existing,DE D8,690,,0,0
머,U+BA38,2,46,direct_existing,DD 5D,312,,0,0
먹,U+BA39,2,8,direct_existing,DE 66,576,,0,0
먼,U+BA3C,2,25,direct_existing,DD C1,412,,0,0
멋,U+BA4B,2,3,direct_existing,DE C4,670,,0,0
메,U+BA54,2,70,direct_existing,DD 2C,263,,0,0
멘,U+BA58,2,6,direct_existing,DE 8C,614,,0,0
며,U+BA70,2,15,direct_existing,DE 1F,505,,0,0
면,U+BA74,2,12,virtual_static_existing,E9 5C,57,91,0,0
멸,U+BA78,2,21,direct_existing,DD DD,440,,0,0
명,U+BA85,2,67,direct_existing,DD 34,271,,0,0
몇,U+BA87,2,1,direct_existing,DE F4,718,,0,0
모,U+BAA8,2,39,virtual_static_existing,E9 5F,84,94,0,0
목,U+BAA9,2,68,direct_existing,DD 33,270,,0,0
몬,U+BAAC,2,8,virtual_static_existing,E9 61,99,96,0,0
몰,U+BAB0,2,23,direct_existing,DD CE,425,,0,0
못,U+BABB,2,39,direct_existing,DD 76,337,,0,0
무,U+BB34,2,11,virtual_static_existing,E9 64,94,99,0,0
묵,U+BB35,2,3,virtual_static_new,EA 3F,824,316,1,1
문,U+BB38,2,28,direct_existing,DD AF,394,,0,0
물,U+BB3C,2,8,virtual_static_existing,E9 66,108,101,0,0
뭐,U+BB50,2,46,direct_existing,DD 60,315,,0,0
뭔,U+BB54,2,18,direct_existing,DD F9,468,,0,0
뭘,U+BB58,2,6,direct_existing,DE 85,607,,0,0
므,U+BBC0,2,7,direct_existing,DE 7B,597,,0,0
미,U+BBF8,2,68,direct_existing,DD 2F,266,,0,0
민,U+BBFC,2,19,direct_existing,DD EC,455,,0,0
믿,U+BBFF,2,22,direct_existing,DD DB,438,,0,0
밀,U+BC00,2,12,direct_existing,DE 33,525,,0,0
바,U+BC14,2,109,direct_existing,DD 08,227,,0,0
박,U+BC15,2,5,direct_existing,DE 9F,633,,0,0
밖,U+BC16,2,22,direct_existing,DD D6,433,,0,0
반,U+BC18,2,55,direct_existing,DD 46,289,,0,0
받,U+BC1B,2,86,direct_existing,DD 19,244,,0,0
발,U+BC1C,2,94,direct_existing,DD 0E,233,,0,0
밤,U+BC24,2,4,direct_existing,DE AA,644,,0,0
방,U+BC29,2,71,direct_existing,DD 29,260,,0,0
배,U+BC30,2,34,direct_existing,DD 93,366,,0,0
백,U+BC31,2,3,virtual_static_new,E9 87,825,134,1,1
버,U+BC84,2,2,virtual_static_existing,E9 11,102,16,0,0
번,U+BC88,2,62,direct_existing,DD 3E,281,,0,0
벌,U+BC8C,2,20,direct_existing,DD E4,447,,0,0
범,U+BC94,2,8,direct_existing,DE 63,573,,0,0
법,U+BC95,2,65,direct_existing,DD 37,274,,0,0
벗,U+BC97,2,3,virtual_static_new,E9 06,826,5,1,1
베,U+BCA0,2,18,direct_existing,DD FE,473,,0,0
벽,U+BCBD,2,6,direct_existing,DE 92,620,,0,0
변,U+BCC0,2,11,virtual_static_existing,E9 74,127,115,0,0
별,U+BCC4,2,18,direct_existing,DD F3,462,,0,0
보,U+BCF4,2,7,virtual_static_existing,E9 77,95,118,0,0
볼,U+BCFC,2,17,direct_existing,DD 50,299,,0,0
봉,U+BD09,2,26,direct_existing,DD B6,401,,0,0
봐,U+BD10,2,21,direct_existing,DD DE,441,,0,0
봤,U+BD24,2,3,direct_existing,DE C7,673,,0,0
부,U+BD80,2,22,virtual_static_existing,E9 7B,107,122,0,0
북,U+BD81,2,8,direct_existing,DE 64,574,,0,0
분,U+BD84,2,2,virtual_static_existing,E9 7D,145,124,0,0
불,U+BD88,2,91,direct_existing,DD 13,238,,0,0
붕,U+BD95,2,2,direct_existing,DE EC,710,,0,0
붙,U+BD99,2,12,direct_existing,DE 32,524,,0,0
뷰,U+BDF0,2,1,virtual_static_new,EA 46,827,323,1,1
브,U+BE0C,2,24,direct_existing,DD C8,419,,0,0
블,U+BE14,2,1,virtual_static_new,EA 47,828,324,1,1
비,U+BE44,2,131,direct_existing,DD 06,225,,0,0
빌,U+BE4C,2,29,direct_existing,DD A7,386,,0,0
빙,U+BE59,2,2,virtual_static_new,EA 48,829,325,1,1
빛,U+BE5B,2,25,direct_existing,DD C4,415,,0,0
빠,U+BE60,2,11,direct_existing,DE 35,527,,0,0
빨,U+BE68,2,15,direct_existing,DE 20,506,,0,0
빼,U+BE7C,2,16,direct_existing,DE 13,493,,0,0
뿐,U+BFD0,2,22,direct_existing,DD D3,430,,0,0
뿔,U+BFD4,2,2,direct_existing,DE E1,699,,0,0
쁘,U+C058,2,5,direct_existing,DE A8,642,,0,0
쁜,U+C05C,2,6,direct_existing,DE 8E,616,,0,0
사,U+C0AC,2,31,virtual_static_existing,E9 83,51,130,0,0
산,U+C0B0,2,55,direct_existing,DD 45,288,,0,0
살,U+C0B4,2,30,direct_existing,DD A2,381,,0,0
삼,U+C0BC,2,6,direct_existing,DE 7E,600,,0,0
상,U+C0C1,2,60,virtual_static_existing,E9 85,138,132,0,0
새,U+C0C8,2,11,direct_existing,DE 3D,535,,0,0
샘,U+C0D8,2,3,direct_existing,DE CC,678,,0,0
생,U+C0DD,2,65,direct_existing,DD 36,273,,0,0
샤,U+C0E4,2,9,direct_existing,DE 5C,566,,0,0
샬,U+C0EC,2,2,virtual_static_new,EA 4D,830,330,1,1
서,U+C11C,2,25,virtual_static_existing,E9 88,36,135,0,0
석,U+C11D,2,35,direct_existing,DD 8B,358,,0,0
섞,U+C11E,2,1,direct_new,DF 66,831,,1,1
선,U+C120,2,50,direct_existing,DD 53,302,,0,0
설,U+C124,2,32,direct_existing,DE 28,514,,0,0
섯,U+C12F,2,14,direct_existing,DE 25,511,,0,0
성,U+C131,2,87,direct_existing,DD 17,242,,0,0
세,U+C138,2,10,virtual_static_existing,E9 1D,139,28,0,0
셈,U+C148,2,7,direct_existing,DE 76,592,,0,0
셔,U+C154,2,4,direct_existing,DE B3,653,,0,0
