state,ordinal,packet_address,x,y,u,v,w,h,clut,plane,physical_index,char,bitmap_sha256
5,13,0x801BEC60,206,52,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
5,14,0x801BEC94,220,52,224,192,16,16,0x7FC1,1,777,론,08AFEC903F6F1994688BE72FA07535B612C98EE55825A94E0E519F62032C8A31
5,15,0x801BECC8,234,52,208,128,16,16,0x7FC2,2,534,황,4ECFCAFF6C72D07C9052D2DD282F30A821DDE82ABF36A726B3135F235B676676
5,16,0x801BECFC,248,52,80,16,16,16,0x7FC0,0,80,령,BBBEEF5B6734408C9E470F29909B3E20EBCD4120FC37AC4168FFE6AFFC8364A5
5,17,0x801BED30,94,68,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
5,18,0x801BED64,108,68,0,48,16,16,0x7FC3,3,183,<183>,66687AADF862BD776C8FC18B8E9F8E20089714856EE233B3902A591D0D5F2925
5,19,0x801BED98,122,68,160,16,16,16,0x7FC1,1,101,제,BE82A07150063CA6D37EE41E43B632A60A7552B268F2EC165D971BDF87BFE37B
5,20,0x801BEDCC,136,68,0,32,16,16,0x7FC0,0,120,러,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431
6,0,0x801F0798,52,104,64,16,16,16,0x7FC2,2,78,전,E9B7C80DAFFD2053DD1033D49B8E1C41D69E26327539BB365481E55AF9A30888
6,1,0x801F07CC,66,104,176,48,16,16,0x7FC0,0,224,라,23A656796D587893E6F5F1FD6E72222F5A36402B5A2FB1FD065663B82DE87C61
6,2,0x801F0800,80,104,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
6,3,0x801F0834,94,104,64,16,16,16,0x7FC2,2,78,전,E9B7C80DAFFD2053DD1033D49B8E1C41D69E26327539BB365481E55AF9A30888
6,4,0x801F0868,108,104,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
6,5,0x801F089C,122,104,96,16,16,16,0x7FC1,1,85,장,0FF9452ED91BA6AC698DDB6983CD474D09C8B5949ADB263DB1FC931ADA453D9B
6,6,0x801F08D0,136,104,224,144,16,16,0x7FC2,2,598,끼,74034CEE64CCE341423B0BF11F487134ACFDDAF2A8BBF348385C7079E5FCEEA7
6,7,0x801F0904,150,104,208,0,16,16,0x7FC1,1,53,를,0EF5D69B77823A8A9512202F785A0E4AAF3AC82A372297F8DF10CCBCE4945EBC
6,8,0x801F0938,164,104,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
6,9,0x801F096C,178,104,192,0,16,16,0x7FC0,0,48,정,8AFDF36E16E88AB656A25FEC4B8978932D22503439CCD05958F17E250CBF3442
6,10,0x801F09A0,192,104,224,144,16,16,0x7FC2,2,598,끼,74034CEE64CCE341423B0BF11F487134ACFDDAF2A8BBF348385C7079E5FCEEA7
6,11,0x801F09D4,206,104,96,0,16,16,0x7FC0,0,24,하,0FDC927E27D9A0D278FA0BB0AB472C0B8B205B5080C9AC1D3FBE3C6EFE27B6FC
6,12,0x801F0A08,220,104,160,0,16,16,0x7FC0,0,40,시,F571A0D4368752B0215C652D1EEA7AF24751A757A2D923F03A1B02313DC0B272
6,13,0x801F0A3C,234,104,80,16,16,16,0x7FC3,3,83,겠,77EE79FF3155AE1AD3139EAC8B4BE96BF8DFEBBF4634B2D1377CC55DADEC7BF8
6,14,0x801F0A70,248,104,176,0,16,16,0x7FC0,0,44,습,6B16D0728AA58887B8FF738D827E2E920CB81C3B6099B39CB5B16733DC1231E7
6,15,0x801F0AA4,262,104,16,0,16,16,0x7FC2,2,6,니,0D57471CC63372022A5FBF83885C04D8E479E60BA969FC3FE489AC9C8746A9F8
6,16,0x801F0AD8,276,104,224,0,16,16,0x7FC2,2,58,까,F6A8BEF950F2DC24EF6FD13924AA22C8348086E6A8DB731B1E14073EED5DAA5A
6,17,0x801F0B0C,290,104,128,16,16,16,0x7FC3,3,95,보,6BF2599F1A46CC15259832E10EB631C55281BC8E9D57C5DCC13B534922DC6390
6,18,0x801F0B40,102,122,112,32,16,16,0x7FC2,2,150,예,A1FF1B823781C7BACD970E710837D67943A4BAB30FC42D5B22222392864212D7
6,19,0x801F0B74,116,122,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
6,20,0x801F0BA8,130,122,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
6,21,0x801F0BDC,144,122,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
6,22,0x801F0C10,158,122,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
6,23,0x801F0C44,172,122,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
6,24,0x801F0C78,186,122,128,32,16,16,0x7FC3,3,155,),1C4D0B9F39B3F838E328052A161B863541FBD07E954B378DC320256C2CF206D7
6,25,0x801F0CAC,200,122,32,0,16,16,0x7FC0,0,8,아,C5F772DD2DAC424E208A2EAE042E10EC7B93C2D0277DF15680BB7923CE3EF0E1
6,26,0x801F0CE0,214,122,16,0,16,16,0x7FC2,2,6,니,0D57471CC63372022A5FBF83885C04D8E479E60BA969FC3FE489AC9C8746A9F8
6,27,0x801F0D14,228,122,160,0,16,16,0x7FC3,3,43,요,58EBD70D7FE2A6D0C58EAE1CCED422E60845B976EC216CE2AE3FA56C152226D9
